according to,"根据, 按照；取决于；据…所说"
ranch,"n. 大牧场
v. 经营牧场"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
ransom,"n. 赎金, 赎身, 赎回
vt. 赎, 赎身, 赎回, 勒索赎金"
rape,"n. 抢夺, 掠夺, 强奸, 葡萄渣, 芸苔
vt. 掠夺, 抢夺, 强奸"
rascal,"n. 流氓, 无赖, 坏蛋, 淘气鬼
"
rash,"a. 轻率的, 匆忙的, 鲁莽的
n. 皮疹"
raspberry,"n. 悬钩子, 呸声
"
ratepayer,n. 地方税纳税人
rating,"n. 等级, 额定功率, 责骂
"
ration,"n. 定额, 定量, 配给
vt. 配给, 定量供应"
rational,"a. 理性的, 合理的
n. 有理数"
rattlesnake,"n. 响尾蛇
"
raven,"n. 渡鸦, 掠夺
a. 乌黑的
v. 掠夺, 狼吞虎咽"
raw,"n. 擦伤处, 半成品
a. 生的, 未加工的, 生疏的, 不成熟的, 阴冷的, 刺痛的, 擦掉皮的
vt. 擦伤
"
reactionary,"n. 反动分子
a. 反动的, 反动主义的, 反对改革的"
reactor,"n. 反应者, 反应器, 反应堆, 电抗器
"
realm,"n. 王国, 领土, 领域
"
rear,"n. 后面, 背后, 后方
a. 后面的, 背面的, 后方的
vt. 养育, 培养, 饲养, 举起, 树立, 栽种
vi. 高耸, 暴跳"
rearrange,"vt. 再排列, 重新整理
"
reassemble,"vt. 重新召集, 重新装配
vi. 重新集合"
reassessment,[经] 重新估价
rebel,"n. 叛徒, 反叛者
vi. 造反, 反抗, 抵抗, 反感
a. 造反的, 反抗的"
rebellion,"n. 谋反, 叛乱, 反抗
"
rebellious,"a. 造反的, 反抗的
"
rebirth,"n. 再生, 复活, 新生"
rebuff,"n. 断然拒绝, 严厉拒绝, 漠不关心
vt. 严厉拒绝"
rebuild,"vt. 改建, 重建, 改造
vi. 重建"
rebuke,"n. 指责, 谴责, 非难
vt. 斥责, 指责, 制止"
recede,"vi. 向后退, 退却, 收回, 降低, 减弱
"
recess,"n. 休息, 休会, 放假, 凹进处, 深处
vt. 使凹进
vi. 休假, 休息"
recipe,"n. 食谱, 处方, 秘诀
"
reciprocal,"a. 互惠的, 相互的, 相等的, 倒数的, 彼此相反的
n. 倒数, 互相起作用的事物"
recital,"n. 背诵, 吟诵, 详述
"
recitation,"n. 详述, 吟诵, 背诵的诗
"
reckless,"a. 不介意的, 大意的, 鲁莽的, 不顾后果的
"
reckon,"vt. 计算, 总计, 估计, 认为, 猜想
vi. 数, 计算, 估计, 依赖, 料想"
reclaim,"vt. 开垦, 改造, 感化, 纠正, 回收
vi. 喊叫, 抗议"
reconnaissance,"n. 侦察, 勘察队
"
reconstruct,"vt. 重建, 改造
"
recreate,"v. (使)得到休养, (使)得到娱乐, 再创造"
recreation,"n. 娱乐, 消遣, 休息, 再创造
"
recruit,"n. 新兵, 新手, 新会员, 补给品
vt. 恢复, 补充, 充实, 征募
vi. 征募新兵, 复原, 得到补充"
rectangle,"n. 长方形, 矩形
"
rectangular,"a. 成直角的
"
recurrence,"n. 再现, 再发生, 反复, 循环
"
recycle,"vt. 使再循环, 重新利用, 再制
n. 再循环"
reddish,"a. 微红的, 略带红色的"
redeem,"vt. 赎回, 挽回, 恢复, 偿还, 补偿
"
redevelopment,n. 再开发；重点恢复
red-hot, 红热
redistribute,"vt. 重新分配, 再分发
"
reed,"n. 芦苇, 芦笛, 簧舌, 纤弱的人
vt. 用芦苇盖, 用小凸嵌线装饰"
reef,"n. 暗礁, 礁, 缩帆
v. 缩(帆)"
reel,"n. 卷轴, 一卷, 纺车, 旋转, 蹒跚
vt. 卷...于轴上, 绕, 使旋转
vi. 蹒跚地走, 旋转, 眩晕, 摇晃, 退缩
"
refer,"vt. 提交, 归诸于, 把...提交, 使求助于
vi. 提到, 涉及, 查阅, 查询, 咨询"
referee,"n. 仲裁人, 调解人, 裁判员
v. 仲裁, 裁判"
reference,"n. 参考, 索引, 参照
vt. 给...加上参考资料
vt. 引用
vi. 引用
"
refine,"vt. 精炼, 净化, 使优雅, 使精炼
vi. 被精炼, 被净化"
refined,"a. 精炼的, 优雅的, 精细的
"
refinement,"n. 精致, 高尚, 精巧
"
refinery,"n. 精炼厂
"
reflex,"n. 反射, 反射光, 映像
a. 反射的, 折转的
vt. 使折转, 使折回"
reformer,"n. 改革家, 改革运动者
"
refrain,"n. 重复的话, 叠句, 副歌
vi. 节制, 避免, 克制"
refreshing,"a. 使清爽的, 有精神的, 爽快的"
refute,"vt. 反驳, 驳斥；驳倒"
regardless,"a. 不管, 不注意, 不顾"
regency,"n. 摄政统治, 摄政权, 摄政统治区
"
regime,"n. 政权, 当权期间, 政体, 社会制度, 体制, 情态
"
regiment,"n. （军队）团, 大量（人或物）
v. 组编成团，组织，严格管制"
registration,"n. 登记, 挂号, 注册
"
regulate,"vt. 管理, 控制, 调节, 调整, 校准
"
regulation,"n. 规则, 管理, 调整
"
rehabilitate,"vt. 恢复原状, 修复, 使康复
"
rehearsal,"n. 预演, 排演, 练习, 叙述, 复述
"
rehouse,"vt. 给...安排新房子, 给...安排好房屋"
rejoice,"vt. 使欢喜
vi. 欣喜, 高兴, 庆祝"
relay,"n. 驿马, 替班, 中继, 接力
vt. 分程传递, 转播, 使接替
vi. 接力传送, 转播"
relic,"n. 遗物, 遗迹, 纪念物, 遗风, 残留物"
reluctance,"n. 不情愿, 勉强
"
rely,"vi. 信赖, 依赖, 信任"
remainder,"n. 剩余物, 其他人, 残余, 余数
v. 削价出售(图书)
a. 剩余的, 出售削价剩书的
"
remains,"n. 剩余物, 废墟, 残余
"
remarkable,"a. 不平常的, 值得注意的, 显著的"
remedy,"n. 药物, 治疗法, 治疗, 补救, 赔偿
vt. 治疗, 补救, 矫正, 改善, 修补, 修缮"
reminder,"n. 提醒的人, 暗示
"
reminiscence,"n. 回想, 回忆, 怀旧, 话旧"
removable,"a. 可移去的, 可免职的, 可移动的
"
renaissance,"n. 复活, 复兴, 文艺复兴
a. 文艺复兴的"
renounce,"vt. 拒绝, 放弃, 否认, 垫牌
vi. 垫牌, 声明放弃权利
n. 垫牌"
renovation,"n. 革新, 刷新, 修理
"
renowned,"a. 有名的, 有声誉的"
repeal,"n. 废止, 撤消
vt. 废止, 撤消, 放弃"
repent,"vi. 后悔, 懊悔, 忏悔
vt. 后悔
a. 匍匐生根的"
repertory,"n. 仓库, 库存, 储备, 保留剧目轮演"
replay,"vt. 重新比赛, 重演
n. 重赛"
representation,"n. 表示法, 表现, 陈述, 代表
"
reprint,"n. 再版, 翻版, 重印
vt. 再版, 翻版"
reproach,"n. 责备, 耻辱
vt. 责备, 申斥, 使丢脸"
reptile,"n. 爬行动物, 爬虫, 卑鄙的人
a. 爬行的, 爬虫类的, 卑鄙的"
reputation,"n. 名誉, 名声, 声望
"
request,"n. 请求, 需要, 申请书
vt. 请求, 要求, 邀请
"
requirement,"n. 需求, 必要条件, 要求
"
resent,"vt. 愤恨, 憎恶, 怨恨"
resentful,"a. 岔恨的, 易怨恨的, 不满的, 显然不满的"
resentment,"n. 怨恨, 愤恨"
reservoir,"n. 贮水池, 贮藏处, 贮备, 水库
vt. 储藏"
reside,"vi. 住, 居留, 属于
"
residence,"n. 住宅, 居留, 驻扎, 居住期间
"
residual,"a. 残渣的, 剩余的
n. 残渣, 剩余, 余数"
resign,"vt. 辞职, 放弃, 使顺从
vi. 辞职, 屈从"
resignation,"n. 辞职, 辞呈, 听从
"
resistance,"n. 抵抗力, 反抗, 耐力, 阻力, 电阻
"
resistant,"n. 抵抗者, 反抗者
a. 抵抗的, 反抗的, 耐...的"
resistor,"n. 电阻器
"
resolute,"n. 果断的人
a. 坚决的, 刚毅的, 毅然的"
resonance,"n. 共鸣, 回声, 反响, 谐振, 共振
"
resort,"n. 度假胜地, 手段, 凭借, 常去之地
vi. 诉诸, 常去"
respective,"a. 分别的, 各自的"
respondent,"a. 回答的, 应答的, 反射的
n. 应答者, 被告"
responsive,"a. 回答的, 应答的, 易感应的"
restless,"a. 不安静的, 慌张的, 休息不充分的
"
restoration,"n. 恢复, 归还, 复位
"
restraint,"n. 抑制, 克制, 束缚
"
restrictive,"a. 限制的, 约束的, 限定的
n. 限制词"
resume,"vt. 重新开始, 取回, 恢复
vi. 再开始
n. 摘要, 个人简历
"
resume,"vt. 重新开始, 取回, 恢复
vi. 再开始
n. 摘要, 个人简历
"
retailer,"n. 零售商人, 传播的人
"
retain,"vt. 保持, 保有, 留住, 记得, 付定金聘请
"
retell,"vt. 再讲, 重复, 重说"
retina,"n. 视网膜
"
retire,"n. 隐居
vi. 引退, 退役, 退休, 退去, 撤退, 退却
vt. 使...撤退, 辞退"
retort,"n. 反驳, 顶嘴, 蒸馏器, 曲颈甑
vi. 反驳, 回嘴, 反击
vt. 反击, 反驳, 蒸馏"
retreat,"n. 休息寓所, 撤退, 隐居, 退避
vi. 撤退, 隐退, 向后倾
vt. 退(棋)"
reunion,"n. 团圆, 重聚
"
reunite,v. (使)再联合
revaluation,"n. 再评价
"
revenge,"n. 报仇, 复仇, 报复
vt. 报仇, 报复"
reversal,"n. 翻转, 颠倒, 反转
"
reversible,"a. 可逆的, 可撤消的
n. 双面可用织物"
revitalize,"vt. 使恢复生气, 使复活, 使复兴"
revitalise,"vt. 使有新的活力, 使新生, 使恢复元气"
revival,"n. 复兴, 复活, 恢复精神, 苏醒
"
revivify,"v. (使)再生, (使)复活, (使)振奋精神"
revolt,"n. 叛乱, 反抗, 反感
vi. 叛乱, 反抗, 起义, 厌恶, 反感
vt. 使反感, 使恶心"
revolutionary,"n. 革命者, 革命党人
a. 革命的, 革命性的"
revolve,"v. (使)旋转, 反复考虑, 循环出现"
revolver,"n. 左轮手枪
"
rhetoric,"n. 修辞, 修辞学, 雄辩(术)"
rhetorical,"a. 修辞学的, 符合修辞学的, 修辞的"
rheumatism,"n. 风湿病
"
rhino,"n. 钱, 现金, 犀牛"
rhyme,"n. 韵, 押韵, 韵文
vi. 押韵
vt. 使押韵, 用韵诗表达"
rhythm,"n. 旋律, 节奏, 韵律, 匀称, 张弛节律
"
rhythmic,"a. 有韵律的, 有节奏的"
rhythmical,"a. 有韵律的, 有节奏的
"
rib,"n. 肋骨, 肋状物, 笑话
vt. 装肋状物于, 戏弄"
rid,"vt. 免除, 以...清除, 使获自由, 使摆脱
"
riddle,"n. 谜, 谜语, 粗筛
vt. 解谜, 给...出谜, 筛, 寻根究底地检验, 充满于
vi. 出谜"
ridge,"n. 脊, 山脊, 山脉
"
ridicule,"n. 嘲笑, 愚弄, 笑柄
vt. 嘲笑, 嘲弄, 愚弄"
ridiculous,"a. 荒谬的, 可笑的"
rifle,"n. 来复枪, 步枪
vt. 用步枪射击, 抢夺
vi. (抱有不良意图)迅速翻查"
rifleman,"n. 步枪射手, 步兵"
rigid,"a. 坚硬的, 刚性的, 严格的, 精密的, 刻板的"
rim,"n. 边, 轮缘, 框
vt. 镶边, 为...装边
vi. 形成边缘"
riot,"n. 暴动, 喧闹, 放纵
vi. 发动, 暴动, 纵情, 放荡
vt. 浪费, 挥霍"
rip,"n. 裂痕, 破绽, 拉裂, 浪子, 巨浪
vi. 被拉开, 裂开, 猛冲
vt. 撕, 扯, 劈"
ripple,"n. 涟波, 涟漪, 波纹, 粗钢梳
vt. 使起涟漪
vi. 起微波, 起潺潺声"
risky,a. 危险的
ritual,"n. 仪式, 典礼, 宗教仪式
a. 仪式的, 依仪式进行的"
rivalry,"n. 竞争, 对抗
"
roadway,"n. 车道, 道路, 轨道
"
roam,"v. 漫游, 闲逛, 徜徉
n. 漫步, 漫游"
roar,"n. 吼, 咆哮, 轰鸣
vi. 吼, 大声说出, 叫喊, 喧闹
vt. 呼喊, 使轰鸣"
roast,"n. 烤肉, 烘烤, 嘲笑
a. 烘烤的, 烤过的
vt. 烤, 炙, 烘焙, 嘲笑
vi. 烤, 炙, 烘焙"
rob,"v. 抢夺, 抢掠, 剥夺"
robbery,"n. 抢掠, 抢夺
"
robe,"n. 宽松长袍, 礼服, 披肩, 覆盖物
v. (给)穿长袍"
robin,"n. 旅鸫
"
rod,"n. 竿, 笞鞭, 小枝
"
rolling pin,n. 擀面杖
romanticism,"n. 浪漫主义精神, 浪漫主义"
rosy,"a. 蔷薇色的, 玫瑰红色的"
rot,"n. 腐烂, 腐蚀, 败坏
vi. 腐烂, 烂, 堕落, 憔悴
vt. 使腐烂, 使腐朽, 使堕落"
rotary,"a. 旋转的, 轮流的
n. 旋转式机器"
rotate,"a. 辐状的
vt. 使旋转, 使转动, 使轮流
vi. 旋转, 循环
"
rotational,"a. 转动的, 轮流的"
rotten,"a. 腐烂的, 恶臭的, 堕落的, 风化的, 虚弱的
"
rough,"n. 粗糙的东西, 毛坯, 未加工品, 梗概, 草图, 暴徒, 艰难
a. 粗糙的, 粗暴的, 蓬乱的, 草率的, 大致的, 简陋的, 暴风雨的, 艰难的
vt. 使粗糙, 使不平, 使蓬乱, 粗制, 草拟, 粗暴对待, 对...动粗
vi. 变粗糙
adv. 粗糙地, 粗暴地"
roundabout,"a. 迂回的, 委婉的
n. 迂回路线"
rower,n. 桨手
royalty,"n. 皇室, 王族成员, 王权, 特权阶层, 庄严
"
rub,"n. 摩擦, 困难, 障碍, 磨损处
vt. 擦, 搓, 摩擦, 惹怒
vi. 摩擦, 擦破"
ruby,"n. 红宝石, 深红色
a. 红宝石色的, 深红色的
vt. 使带红宝石色
"
ruckus,"n. 喧闹, 骚动"
rug,"n. 小块地毯, 揭露某人"
rugby,"n. 橄榄球, 橄榄球赛"
rugged,"a. 高低不平的, 崎岖的, 粗糙的"
runaway,"n. 逃跑, 逃走的人, 逃亡, 压倒性的优胜
a. 逃亡的, 逃走的"
runway,"n. 跑道, 河床, 过道
"
rural,"a. 乡下的, 田园的, 乡村风味的
"
rust,"n. 锈, 生锈, 衰退
vi. 生锈, 衰退
vt. 使生锈, 腐蚀"
rustic,"n. 乡下人, 乡巴佬
a. 乡村的, 纯朴的, 手工粗糙的"
rusty,"a. 生锈的, 腐蚀的, 生疏的, 顽固的, 腐烂的
"
ruthless,"a. 无情的, 残忍的, 毫不留情的, 彻底的
"
rye,"n. 黑麦, 吉卜赛绅士
"
sack,"n. 麻布袋, 洗劫
vt. 把...装入袋, 洗劫"
sacking,"n. 袋布, 麻袋布"
sacred,"a. 神圣的, 献给上帝的, 庄严的, 祭祀的
"
saddle,"n. 鞍, 马鞍, 车座, 鞍状物
vt. 装以马鞍, 使负担
vi. 跨上马鞍"
safeguard,"n. 保卫, 保护措施, 防护设施
vt. 保卫, 保护"
saint,"n. 圣徒, 圣人
a. 神圣的
"
sake,"n. 目的, 缘故, 理由"
saliva,"n. 唾液, 唾沫, 涎
"
salmon,"n. 鲑鱼, 大麻哈鱼
"
salon,"n. 大会客室, 大厅, 客厅, 交谊室, 沙龙, 美术展览馆, 画廊, 美容院, 发廊"
saloon,"n. 大厅, 沙龙, 酒吧, 会客室"
salute,"vi. 行礼, 致意, 问候, 放礼炮
vt. 向...致意, 迎接, 赞扬
n. 招呼, 敬礼, 礼炮"
salvation,"n. 拯救, 救助, 救世"
sampan,n. 舢板
sample,"n. 样品, 范例, 样本
vt. 抽样, 尝试
"
sanatorium,"n. 疗养院, 疗养所, 静养地
"
sandal,"n. 凉鞋, 拖鞋, 檀香木
vt. 穿以便鞋"
sane,"a. 神智健全的, 稳健的, 没病的, 合理的
"
sanguinary,"a. 流血的, 血腥的, 嗜血的"
sanitary,"a. 卫生的
n. 公共厕所"
sanity,"n. 神智健全, 头脑清楚, 通情达理
"
Santa Claus,圣诞老人
sap,"n. 树液, 体液, 活力, 坑道, 消弱, 警棍
vt. 使排出体液, 使伤元气, 使衰竭, 挖坑道逼近, 逐渐侵蚀
vi. 挖坑道, 消弱
"
sapling,"n. 树苗, 小树"
sarcasm,"n. 挖苦, 讽刺, 讽刺话, 讽刺性"
sardine,n. 沙丁鱼
Satan,"n. 撒旦, 魔鬼"
satanic,"a. 魔鬼似的, 穷凶极恶的, 邪恶的, 非常残酷的, 罪恶的, 极恶劣的"
satchel,"n. 书包, 小背包"
satin,"n. 缎子
a. 绸缎做的, 缎子一般的, 光滑的"
satire,"n. 讽刺文学, 讽刺"
satirical,"a. 讽刺的, 讥讽的, 好挖苦的, 写讽刺作品的"
satirist,"n. 讽刺作者, 爱挖苦的人"
satirize,"vt. 讽刺, 挖苦
vi. 写讽刺作品"
satirise,"vt. 讽刺, 讥刺, 用讽刺文抨击, 讽刺地描绘
vi. 写讽刺文, 讲讽刺话"
saturate,"vt. 使渗透, 浸透, 使充满, 使饱和
a. 浸透的, 饱和度高的, 深颜色的
n. 饱和化合物, 饱和脂肪酸"
Saturn,n. 土星
saucepan,"n. (长柄有盖)深平底锅, 炖锅"
sauna,n. 桑拿浴
saunter,"n. 闲逛, 漫步
vi. 闲逛, 漫步"
savage,"a. 未开化的, 野蛮的, 无礼的, 残酷的, 原始的, 粗鲁的, 未开发的
vt. 用暴力对付, 凶猛攻击
n. 原始人, 粗鲁人"
savory,"a. 风味极佳的, 可口的, 味香的
n. 开胃菜"
sawmill,"n. 锯木厂, 锯木机"
scaffolding,"n. 脚手架, 台架, (搭脚手架用的)支杆和木板, (喻)(论点等的)支柱
"
scalar,"n. 数量, 纯量
a. 数量的, 分等级的, 梯状的
"
scalp,"v. 剥头皮
n. 头皮, 战利品"
scan,"n. 审视, 浏览, 扫描, 细查
vt. 细看, 浏览, 扫描, 详细调查, 标出格律
vi. 押韵, 扫描
"
scandalous,"a. 不体面的, 可耻的, 诽谤性的, 爱传播丑闻的"
Scandinavian,"n. 斯堪的纳维亚人, 斯堪的纳维亚语, 北欧日耳曼语系
a. 斯堪的纳维亚人的, 斯堪的纳维亚语的, 北欧日耳曼语系的"
scanner,"n. 扫描仪, 扫描盘, 审视者
"
scant,"a. 不充分的, 不足的
vt. 减少, 吝啬, 限制, 藐视, 忽略"
scapegoat,"n. 替罪羔羊, 替人顶罪者, 替身
"
scarce,"a. 难得的, 稀罕的, 缺乏的"
scarcely,"adv. 简直不, 一定不, 仅仅"
scarcity,"n. 缺乏, 不足, 缺少
"
scare,"n. 惊吓, 恐慌
vt. 惊吓, 使恐慌
vi. 受惊"
scarlet,"n. 猩红色, 绯红色, 红衣
a. 绯红色的, 鲜红色的"
scatter,"n. 消散, 分散, 散播, 散射, 散布, 酒馆
vi. 散布, 散播, 消散
vt. 使消散, 使分散, 撒, 散布, 散播, 散射
"
scenic,"a. 风景好的, 戏剧性的, 舞台的, 布景的
n. 风光影片, 风景照片"
scent,"n. 气味, 香味, 香水, 踪迹, 痕迹, 线索, 嗅觉
vt. 闻出, 嗅, 发觉, 使充满气味
vi. 嗅猎, 发出气味"
scepticism,"n. 怀疑论, 怀疑主义
"
scold,"n. 好骂街的人, 责骂
v. 责骂"
scoop,"n. 铲子, 勺子, 穴, 口, 独家新闻
vt. 汲取, 舀取, 挖空, 抢先报道"
scooter,"n. 小型摩托车, 踏板车
"
scope,"n. 范围, 机会, 广度, 眼界, 观察仪器, 导弹射程
"
scorch,"n. 烧焦, 枯萎
v. 烧焦, 拷焦, (使)枯萎, 讽刺"
scorching,"a. 灼热的, 激烈的
"
scorn,"n. 轻蔑, 藐视, 嘲笑, 被嘲弄的人
vt. 轻蔑, 不屑做"
scorpion,"n. 蝎子, 心黑的人, 蝎尾鞭
"
scotch,"n. 苏格兰人, 苏格兰语, 刻痕
a. 苏格兰人的, 苏格兰语的
vt. 刻痕于, 伤害, 镇压, 妨碍"
Scotland,n. 苏格兰
Scots,"a. 苏格兰的, 苏格兰式的"
Scotsman,n. 苏格兰人
Scotswoman,"n. 苏格兰人, 苏格兰女人"
Scottish,"a. 苏格兰的, 苏格兰人的"
scoundrel,"n. 恶棍
a. 卑鄙的"
scour,"vt. 擦亮, 洗涤, 清洗, 冲刷成, 急速穿过
vi. 擦, 洗, 冲刷, 腹泻, 急速穿行
n. 擦, 洗, 腹泻, 洗涤剂"
scout,"n. 守候, 侦察, 搜索, 侦察员, 侦察机
vi. 守候, 侦察, 巡视, 嘲笑
vt. 侦察, 跟踪, 发现, 监视, 嘲弄"
scrap,"n. 碎片, 残余物, 些微, 片断, 铁屑, 吵架
vt. 扔弃, 敲碎, 拆毁
vi. 互相殴打
a. 零碎拼凑成的, 废弃的"
scrape,"n. 刮, 擦, 挖, 擦痕, 刮擦声, 困境
vi. 刮掉, 擦掉, 刮出刺耳声
vt. 刮, 擦, 擦伤, 挖成, 积蓄"
scratch,"n. 抓痕, 搔, 抓, 擦伤, 刮擦声, 乱写, 零分, 起跑线
vt. 搔, 抓, 挖出, 擦, 刮, 乱涂, 勾抹掉
vi. 搔, 抓, 发刮擦声, 勉强糊口
a. 碰巧的, 凑合的, 打草稿用的
"
screenplay,n. 电影剧本
screw,"n. 螺旋, 螺杆, 螺钉, 螺旋桨, 吝啬鬼
vt. 调节, 扭紧, 旋, 拧, 加强, 压榨, 勒索
vi. 转动, 旋, 拧"
screwdriver,"n. 螺丝起子
"
scribble,"n. 潦草的写法, 潦草写成的东西, 拙劣的作品
v. 潦草地书写, 乱写, 滥写"
scriptwriter,n. 编剧
scroll,"n. 卷轴, 画卷, 名册, 条幅, 滚动
v. (使)成卷形
"
scrub,"n. 用力擦洗, 矮树, 矮人, 渺小之物
vt. 用力擦洗, 擦掉, 摩擦
vi. 擦洗干净, 进行手臂消毒
a. 次等的, 矮小的, 非正规球队的, 临时凑合的"
scrutiny,"n. 细看, 仔细检查, 监视, 选票检查
"
sculptor,n. 雕刻家
sculpture,"n. 雕刻, 雕塑
vt. 雕刻, 雕塑
vi. 当雕刻师"
scythe,"n. 长柄大镰刀, 大钐镰
vt. 用大镰刀割"
seafood,"n. 海味, 海鲜, 鱼类"
seagull,n. 鸥
seam,"n. 缝合线, 衔接口, 接缝, 线缝, 伤疤
vt. 缝合, 接合, 焊合, 使留下伤痕
vi. 裂开, 发生裂痕"
seasick,a. 晕船的
seasickness,[医] 晕船
seasoning,"n. 调味品, 作料, 佐料, 锻练
"
seatbelt,n. 座位安全带
seaward,"n. 朝海的方向
a. 面海的, 向海的
adv. 往海那边"
seaweed,"n. 海草, 海藻
"
secretarial,"a. 秘书的, 书记的"
secretariat,"n. 书记处, 秘书之职, 秘书处"
sect,"n. 宗派, 教派"
sector,"n. 扇形, 部门, 部分, 函数尺, 象限仪, 段, 区段
vt. 把...分成扇形
"
secular,"n. 修道院外的教士
a. 世俗的, 现世的, 长期的"
sediment,"n. 沉淀物, 沉积
"
seemingly,"adv. 看来似乎, 表面上看来"
seesaw,"n. 跷跷板, 跷跷板游戏, 起伏交替的动作
a. 上下或前后摇动的, 交互的
vi. 玩跷跷板, 上下或来回摇动
vt. 使上下或来回摇动"
segment,"n. 片段, 部分, 分节, 段
v. 分割, 分裂
"
seizure,"n. 捕获, 夺取, 占领, 捕获物, 没收, 充公
"
self-assured, [体]自信
self-confidence,自信
self-conscious,"adj. 自觉的；怕难为情的；害羞的
"
self-contained, [体]自给的
self-contradictory,adj. 自相矛盾的；前后矛盾的
self-determination,"n. 自决；民族自决；【哲】(强调意志自由的)自我决定
"
self-employed, 自营；个体经营的
self-evident,adj. 不证自明的
self-government,"n. 自治；克己
"
self-interest,"私心
利己
自我利益"
selfless,"a. 不顾自己的, 无私的"
self-pity,"n. 自怜
"
self-reliant,a. 独断独行的
self-respect, [体]自尊
self-service,自饲
self-sufficient,"adj. 自给自足的；过于自信的；傲慢的
"
self-taught,"adj. 自学的；自学而获得的
"
semester,n. 学期
semicolon,"n. 分号
"
semiconductor,"n. 半导体
"
seminar,"n. 研究班, 专题讨论会
"
semi-skilled,"adj. 半熟练；半熟链的
n. 半熟练的
"
senate,"n. 参议院, 立法机构, 评议会"
senator,"n. 参议员, (某些大学的)理事
"
senior,"n. 年长者, 资深者, 毕业班学生
a. 年长的, 高级的, 资深的"
seniority,"n. 长辈, 老资格
"
sensation,"n. 感觉, 轰动
"
sensational,"a. 使人感动的, 非常好的"
sensibility,"n. 感性, 感觉, 情感
"
sentiment,"n. 感情, 感伤, 情操, 情绪, 感想, 意见
"
sentimental,"a. 感伤的, 感情用事的"
separatist,"n. 分离主义者, 独立派"
sequence,"n. 序列, 续发事件, 顺序, 连续
vt. 按顺序排好
"
serene,"a. 宁静的, 沉着的, 安详的, 晴朗的
n. 晴朗, 平静"
serenely,"adv. 安详地, 沉着地, 宁静地"
serenity,"n. 宁静, 沉着, 晴朗"
sergeant,"n. 警察小队长, 军士"
sesame,"n. 芝麻
"
sermon,"n. 说教, 启示, 布道"
serpent,"n. 巨蛇座, 蛇, 蛇形管, 狡猾的人"
serviceman,"n. 军人, 维修人员
"
session,"n. 期间, 开庭期, 会议, 学期
"
setback,"n. 挫折, 退步, 逆流"
settee,n. 长靠背椅
sever,"vt. 切断, 脱离, 分开, 使分离, 断绝, 中断
vi. 断, 裂开"
sewage,"n. 脏水, 污水
"
sewer,"n. 下水道, 阴沟, 裁缝师
vt. 用下水道排, 铺设下水道于"
sewerage,"n. 排水设备, 污水
"
shabby,"a. 衣衫褴褛的, 低劣的, 破旧的, 吝啬的, 卑鄙的"
shadowy,"a. 有影的, 暗黑的, 朦胧的, 虚幻的"
shady,"a. 荫凉的, 成荫的, 阴暗的, 隐蔽的
"
shaft,"n. 轴, 箭杆, 矛, 矿井
vt. 装杆于, 利用"
shaky,"a. 震动的, 摇晃的, 动摇的"
shallow,"n. 水浅的地方, 浅滩
a. 浅的, 肤浅的
v. (使)变浅"
shamefaced,"a. 害羞的, 谦逊的, 不惹眼的, 羞耻的"
shameful,"a. 可耻的, 丢脸的, 不道德的, 淫猥的, 猥亵的, 不体面的"
shameless,a. 不知羞耻的
shareholder,"n. 股东
"
shawl,"n. 披肩, 围巾
vt. 用披肩裹"
shed,"n. 车棚, 小屋, 脱落之物, 分水岭
vt. 使流出, 放射, 脱落, 散发, 摆脱
vi. 流出, 散布, 脱落"
sheer,"a. 绝对的, 全然的, 纯粹的, 透明的, 峻峭的
vi. 偏转, 偏航
vt. 使急转向, 使偏航
adv. 完全, 全然, 峻峭
n. 偏航"
shellfish,"n. 贝, 甲壳类水生物
"
shepherd,"n. 牧羊人, 牧羊犬, 牧师, 保护者
vt. 看守, 领导, 指导, 牧羊"
sheriff,"n. 郡治安官, 县治安官
"
sherry,"n. 雪利酒, 葡萄酒"
shilling,"n. 先令
"
shipboard,"n. 舷侧, 船
a. 船用的"
shipment,"n. 装船, 出货
"
shipping,"n. 装运, 航行, 船舶, 船舶吨数
"
shipwreck,"n. 遇难船, 海难
vt. 遇海难, 毁灭, 使失事"
shipyard,"n. 造船厂
"
shit,"vi. 拉屎
vt. 欺骗, 在...拉屎
n. 粪, 屎
interj. 狗屁"
shiver,"vi. 颤抖, 哆嗦, 被打碎
vt. 使迎风飘动, 粉碎
n. 战栗, 碎块"
shockproof,a. 防震的
shoemaker,"n. 鞋店营业员, 皮鞋匠"
shoplift,vi.vt. 入店偷窃商品
short-circuit,"短路
"
shortcoming,"n. 缺点, 短处"
shortcut,"n. 捷径, 最短路线
"
shorthand,"n. 速记
"
shorts,"n. 短裤, (美)男人的短衬裤
"
shortsighted,"a. 近视的, 目光短浅的, 缺乏想像力的"
shotgun,"n. 散弹猎枪, 媒人
v. 用猎枪射击"
shovel,"n. 铲, 铁铲
v. 铲"
showcase,"n. 陈列橱
"
showdown,"n. 摊牌, 暴露, 紧要关头"
shred,"n. 碎布条, 细片, 少量
v. 撕碎"
shriek,"n. 尖锐的响声
vi. 尖叫, 发尖声
vt. 尖声发出"
shrill,"n. 尖声
a. 尖锐的, 刺耳的
vt. 尖声说出
vi. 发出刺耳声"
shrimp,"n. 虾, 小虾, 矮子
vi. 捕小虾"
