primarily,"adv. 主要地, 首先地"
penguin,"n. 企鹅, 空军地勤人员"
sake,"n. 目的, 缘故, 理由"
humble,"a. 低下的, 谦逊的, 粗陋的
vt. 使...卑下, 降低...地位, 贬抑"
sensible,"a. 有感觉的, 敏感的, 明智的
"
vain,"a. 无价值的, 徒然的, 空虚的, 自负的, 愚蠢的"
illusion,"n. 幻影, 错觉, 幻想
"
anxious,"a. 忧虑的, 发愁的, 渴望的"
ivory,"n. 象牙, 乳白色
a. 象牙制的, 乳白色的"
courtesy,"n. 礼貌, 谦恭, 好意
"
pearl,"n. 珍珠, 珠灰色, 杰出者, 珍贵之物
vt. 用珍珠镶, 使成珠状
vi. 成珠子状, 采珍珠, 用珍珠做"
comprehension,"n. 理解, 包含"
bacteria,"pl. 细菌
"
boom,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
slap,"n. 掴, 掌击, 侮辱, 拍击声
v. 拍击, 惩罚
adv. 正面地, 直接地, 突然地"
deem,"v. 认为, 相信"
accessory,"n. 附件, 零件, 附加物, 从犯, 同谋
a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的
"
gasp,"n. 喘气
vi. 喘气, 喘息, 渴望
vt. 气喘吁吁地说"
occupy,"vt. 占领, 占(时间、空间等), 住进, 担任, 使从事, 使全神贯注
"
patent,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
valve,"n. 活瓣, 阀, 活门
v. 装阀, 用阀调节"
spine,"n. 背骨, 脊柱, 尖刺
"
murmur,"n. 低语, 低声的怨言
vi. 低语, 低声而言
vt. 低声说"
masterpiece,"n. 杰作, 名著"
explore,"v. 探险, 探测, 探究"
van,"n. 货车, 篷车, 先锋, 前驱, 前卫
vt. 用货车搬运
"
chorus,"n. 合唱队, 齐声
v. 齐声说道, 合唱"
semester,n. 学期
entity,"n. 实体, 实存物, 存在
"
drastic,"a. 激烈的
"
fake,"n. 假货, 欺骗, 诡计
a. 假的
vt. 假造, 仿造
vi. 伪装"
basis,"n. 基础, 主要成分
"
epoch,"n. 新纪元, 时代, 时期"
collide,"vi. 碰撞, 互撞, 抵触"
inland,"a. 内陆的, 国内的
n. 内地"
petty,"a. 琐碎的, 小规模的, 小气的, 委琐的
"
brink,"n. 边缘, 陡岸"
jeopardize,"vt. 危害, 使受危困, 使陷危地"
vast,"a. 巨大的, 广大的, 非常的, 大量的"
revenge,"n. 报仇, 复仇, 报复
vt. 报仇, 报复"
vegetation,"n. 植物
"
vehicle,"n. 交通工具, 车辆, 传播媒介
"
priest,"n. 祭司, 牧师, 神父, 神质人员, 僧侣, 泰斗"
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
"
hurl,"n. 用力的投掷
vt. 用力投掷, 发射, 愤慨地说出, 丢下
vi. 猛投, 猛掷"
hop,"n. 单脚跳, 跳跃, 舞会, 飞行
vi. 单脚跳, 跳跃
vt. 跃过, 跳上, 加蛇麻子于, 服麻醉药
"
drama,"n. 戏剧, 戏剧艺术"
blink,"vi. 眨眼, 闪亮
vt. 眨眼, 使闪亮
n. 眨眼, 瞬间, 闪光, 闪烁
"
rhythm,"n. 旋律, 节奏, 韵律, 匀称, 张弛节律
"
comply,"vi. 顺从, 依从
"
auxiliary,"n. 辅助者, 辅助物, 附属机构, 助动词
a. 辅助的, 备用的"
format,"n. 开本, 版式, 形式, 格式
vt. 格式化
"
medium,"n. 媒体, 方法, 媒介
a. 半生熟的, 中间的
"
occasion,"n. 场合, 时机, 机会, 诱因, 理由
vt. 惹起, 引起"
magnet,"n. 磁铁, 有吸引力之人, 有吸引力之物
"
repertoire,"n. 全部剧目, 全部技能, 全部节目, 全部作品"
knob,"n. 把手, 瘤, 旋钮, 球形突出物
vt. 使有球形突出物
vi. 鼓起"
velocity,"n. 速度, 迅速
"
reciprocal,"a. 互惠的, 相互的, 相等的, 倒数的, 彼此相反的
n. 倒数, 互相起作用的事物"
radius,"n. 半径, 范围, 辐射光线
"
bulletin,"n. 公告, 布告, 公报
"
pilgrim,"n. 旅行者, 朝圣者, 香客
vi. 朝圣"
leisure,"n. 空闲, 闲暇, 悠闲
a. 空闲的, 有闲的"
velvet,"n. 天鹅绒
a. 天鹅绒的"
blaze,"n. 火焰, 烈火, 光辉
vi. 燃烧, 发光
vt. 使燃烧, 宣布, 在树皮上刻痕"
irrigation,"n. 灌溉, 冲洗
"
chase,"n. 追求, 狩猎, 追逐
vt. 追捕, 追逐, 雕刻, 在...上镶嵌宝石
vi. 追赶, 奔跑"
delicate,"a. 细致优雅的, 微妙的, 美味的
"
clamp,"n. 夹钳
vt. 夹紧, 强加"
adore,"vt. 崇拜, 爱慕, 喜爱
vi. 崇拜, 爱慕"
ingenious,"a. 灵敏的, 精巧的, 聪明的"
permissible,"a. 可允许的, 可容许程度的
"
contact,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
displace,"vt. 移置, 替换, 转移"
perfume,"n. 香水, 香气, (悦人的)气氛, 美名
vt. 洒香水于, 薰香, 使充满香气"
ventilate,"vt. 使空气流通, 使通风, 公开讨论, 公开
"
legend,"n. 传说, 传奇文学, 图例
"
ballet,n. 芭蕾舞
forum,"n. 论坛, 公开讨论的广场, 法庭, 讨论会
"
exceptional,"a. 例外的, 异常的, 特别的"
distill,"vt. 蒸馏
vi. 滴下"
ecology,"n. 生态学, 社会生态学
"
integrity,"n. 正直, 廉正, 完整
"
verbal,"a. 用言辞的, 言语的, 口头的, 逐字的, 动词的
"
silicon,"n. 硅
"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
dual,"a. 双重的, 双的
n. 双数"
induce,"vt. 引诱, 招致, 归纳出, 感应
"
hesitate,"vi. 犹豫, 迟疑, 踌躇, 支吾, 停顿"
bribery,"n. 贿赂行为, 行贿, 受贿
"
pave,"vt. 铺设, 安排, 铺满, 为...铺路
"
irrespective,"a. 不顾的, 无关的, 没关系的"
protein,"n. 蛋白质
a. 蛋白质的"
verge,"n. 边缘, 边界, 起始点
vi. 处在边缘, 接近, 下沉, 趋向"
lever,"n. 杠杆, 似杠杆之工具
vt. 撬开
vi. 使用杠杆"
solitary,"n. 独居者
a. 孤独的, 独居的"
verify,"vt. 证明, 查证, 证实, 检验, 校验
"
verdict,"n. 裁决, 判决, 判断性意见, 定论, 结论
"
version,"n. 一种描述, 版本, 译文
"
verse,"n. 诗, 韵文, 诗句
vt. 用诗表达
vi. 作诗"
versatile,"a. 多才多艺的, 万用的, 万向的"
corporate,"a. 社团的, 合伙的, 公司的
"
messenger,"n. 报信者, 使者
"
lofty,"a. 高的, 傲慢的, 崇高的, 高级的, 玄虚的"
embed,"vt. 使插入, 使嵌入, 使深留脑中
"
offset,"n. 抵消, 把...并列, 旁系, 支管, 用胶印法印
vt. 弥补, 抵消, 胶印
vi. 装支管
n. 偏移量
"
capture,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
"
senator,"n. 参议员, (某些大学的)理事
"
gown,"n. 睡衣, 法衣, 大学全体师生
vt. 使穿睡衣"
intimidate,"vt. 威胁, 恐吓
"
lash,"n. 鞭子, 鞭打, 睫毛, 责骂, 讽刺
vt. 鞭打, 摆动, 扎捆, 冲击, 讽刺, 煽动
vi. 冲洗, 鞭打, 责骂"
apt,"a. 有...倾向的, 易于的, 恰当的, 聪明的
"
offense,"n. 犯罪, 伤感情, 攻击"
nominate,"vt. 提名, 任命, 命名
"
vertical,"a. 垂直的, 直立的
"
mobile,"a. 移动的, 易变的, 机动的
n. 活动物体"
chip,"n. 屑片, 薄片, 碎片
vt. 削, 切, 削成碎片, 使摔倒, 凿
vi. 削下屑片
"
vice,"n. 恶习, 恶行, 罪恶, 堕落, 缺陷, 恶癖, 老虎钳
vt. 钳住
prep. 代替"
overlap,"n. 重叠, 重复, 部分的同时发生
vt. 重叠, 重复, 与...同时发生
vi. 迭盖, 部分的同时发生
"
veto,"n. 否决权
vt. 否决, 禁止"
melody,"n. 曲子, 美妙音乐, 曲调"
injection,"n. 注射, 注射剂
"
congress,"n. 国会, 会议, 讨论会
"
ideal,"n. 理想, 典范, 观念, 思想, 最后目标
a. 理想的, 完美的, 空想的, 观念的, 唯心论的"
focus,"n. 焦点, 焦距
vi. 聚焦, 注视
vt. 使聚焦, 调焦, 集中
"
bruise,"n. 青肿, 挫伤, 擦伤
vi. 受伤, 擦伤
vt. 使受伤, 研碎"
hike,"n. 徒步旅行, 远足, 涨价, 提高
vi. 步行, 徒步旅行, 上升
vt. 使高涨, 拉起"
rotary,"a. 旋转的, 轮流的
n. 旋转式机器"
vicinity,"n. 附近, 邻近, 附近地区, 近处
"
moreover,"adv. 而且, 此外"
partition,"n. 分割, 隔离物, 隔墙, 财产分割
vt. 区分, 瓜分, 隔开, 分割
"
penalty,"n. 处罚, 刑罚, 罚款, 罚球, 报应, 不利结果, 妨碍
"
vicious,"a. 邪恶的, 堕落的, 品性不端的, 恶毒的, 恶性的, 有错误的
"
fusion,"n. 熔合物, 结合, 熔合
"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
slope,"n. 倾斜, 斜坡, 斜率, 扛枪姿势
vt. 使倾斜, 弄斜, 扛
vi. 倾斜, 走, 逃走"
industrial,"a. 工业的, 供工业用的, 工业高度发展的, 产业的
n. 工业工人, 工业股票"
mask,"n. 面具, 假面具, 掩饰, 石膏面模
vt. 戴面具, 掩饰, 使模糊
vi. 化装, 戴面具, 掩饰, 参加化装舞会
"
monetary,"a. 货币的, 金钱的
"
artificial,"a. 人造的, 假的, 非原地产的
"
outset,"n. 着手, 开头, 最初"
positive,"a. 肯定的, 积极的, 有把握的
"
vigorous,"a. 精力充沛的, 元气旺盛的, 茁壮的, 有力的"
create,"vt. 创造, 建造, 引起, 任命"
recreate,"v. (使)得到休养, (使)得到娱乐, 再创造"
despite,"n. 轻视, 憎恨
prep. 虽然, 尽管"
nasty,"a. 污秽的, 下流的, 险恶的"
responsibility,"n. 责任, 职责, 负担, 可靠性
"
dimension,"n. 尺寸, 次元, 面积, 维数
vt. 标出尺寸"
violate,"vt. 违犯, 亵渎, 违反, 侵犯, 妨碍
"
sour,"a. 酸的, 酸臭的, 发酵的, 愠怒的, 讨厌的, 拙劣的, 不健全的
vi. 变酸, 发酵, 厌烦, 变坏
vt. 使变酸, 使失望
n. 酸味, 酸饮料"
prune,"n. 洋李, 李子干, 深紫红色, 傻瓜
vt. 修剪, 砍掉, 删除
vi. 删除, 删节"
commence,"v. (使)开始, 得学位"
logical,"a. 合乎逻辑的, 合理的
"
spacious,"a. 广大的, 宽广的"
neutral,"n. 中立者, 中立国, 非彩色, 空档
a. 中立的, 中性的, 无色的"
pope,"n. 罗马教皇, 主教"
item,"n. 项目, 条款, 一则, 项
"
isolate,"vt. 使隔离, 使孤立, 使绝缘
n. 隔离种群"
fluctuate,"vi. 变动, 起伏, 动摇
vt. 使波动, 使动摇"
seemingly,"adv. 看来似乎, 表面上看来"
posture,"n. 姿势, 态度, 情形, 形势
vt. 作...的姿势
vi. 作姿势"
recipient,"a. 领受的, 容易接受的, 感受性强的
n. 领受者, 容纳者, 容器"
virgin,"n. 处女
a. 处女的, 贞洁的, 纯洁的, 初始的, 纯的"
booklet,n. 小册子
enormous,"a. 巨大的, 庞大的"
obtain,"vt. 获得, 达到
vi. 流行, 得到公认"
petition,"n. 请愿, 诉状, 陈情书, 申请, 祈求, 祷文
v. 正式请求, 恳求, 请愿"
disclose,"vt. 揭露, 透露
"
formal,"a. 正式的, 形式的, 礼仪的, 拘于礼节的, 拘谨的
n. 正式的社交活动"
virtual,"a. 实际上起作用的, 虚的, 实质的, 有效的, 事实上生效的
"
continuity,"n. 连续性
"
optical,"a. 眼睛的, 视觉的, 光学的
"
conform,"vt. 使一致, 使遵守, 使符合
vi. 一致, 符合, 适应"
compact,"a. 紧凑的, 紧密的, 简洁的
vt. 使紧密结合, 压缩
vi. 变坚实"
cylinder,"n. 圆筒, 圆筒状物, 汽缸, 柱面
"
ore,"n. 矿石
"
layman,"n. 俗人, 门外汉, 凡人
"
buzz,"n. 嗡嗡声, 流言
vi. 发出嗡嗡声, 说闲话
vt. 使嗡嗡叫, 散布"
haunt,"n. 常到的地方, 生息地
vt. 常到, 出没于, 萦绕于
vi. 出没, 作祟"
overt,"a. 明显的, 公然的, 蓄意的
"
nurture,"n. 养育, 营养物, 培育
vt. 养育, 供给营养物, 教养"
shrug,"n. 耸肩
v. 耸肩"
dreadful,a. 可怕的
diffuse,"v. 散播, 传播
a. 散开的, 弥漫的"
exile,"n. 放逐, 流放, 被放逐者
vt. 放逐, 流放, 使背井离乡"
cannon,"n. 大炮, 加农炮
v. 炮轰"
corrupt,"a. 腐败的, 贪污的, 讹误充斥的
vt. 使腐烂, 腐蚀, 使恶化
vi. 腐烂, 堕落"
prophet,"n. 预言者, 先知, 提倡者"
furthermore,"adv. 此外, 而且"
shed,"n. 车棚, 小屋, 脱落之物, 分水岭
vt. 使流出, 放射, 脱落, 散发, 摆脱
vi. 流出, 散布, 脱落"
virtue,"n. 德行, 美德, 优点, 功效, 效力
"
compound,"n. 混合物, 复合词, 化合物, 院子
a. 复合的, 混合的, 化合的
vi. 化合, 和解, 妥协
vt. 使复合, 使化合"
bizarre,a. 奇异的
paragraph,"n. 段落, 短评
vt. 将...分段, 分段落
vi. 写短讯
"
exotic,"a. 异国的, 外来的
n. 外来人, 外来物, 舶来品"
draft,"n. 气流, 草稿, 汇票, 草案
vt. 起草, 征兵
"
mental,"a. 心智的, 精神病的, 心理的, 颏的
n. 精神病患者"
coupon,"n. 息票, 赠券
"
beyond,"prep. 超过, 在那一边, 迟于
adv. 在远处
n. 更远处"
visa,"n. 签证
vt. 签发"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
glance,"n. 一瞥, 闪光, 掠过, 辉矿类
vi. 扫视, 闪光, 掠过, 提到, 略说
vt. 扫视, 反射, 使掠过"
formula,"n. 客套语, 公式, 准则
"
navigation,"n. 航行, 航海, 导航
"
acquire,"vt. 获得, 学到
"
ancient,"a. 古代的, 古老的, 年老的, 旧的"
aisle,"n. 走廊, 侧廊, 过道
"
visualize,"vt. 使看得见, 使具体化, 想象, 设想
vi. 想象, 显形"
elastic,"n. 松紧带, 橡皮筋
a. 有弹性的, 能伸缩的, 可通融的"
pulse,"n. 脉冲, 脉搏, 情绪, 意向, 拍子, 豆类
vi. 跳动, 脉跳
vt. 使跳动, 用脉冲调制
"
correspond,"vi. 符合, 通信, 相当
"
intact,"a. 尚未被人碰过的, 原封不动的, 完整的
"
culture,"n. 文化, 修养, 耕种
vt. 耕种, 培养"
heave,"n. 举, 抛, 起伏, 鼓起
vt. 用力举起, 使举起, 使鼓起
vi. 抛出, 起伏, 喘息, 凸起"
comet,n. 彗星
vocation,"n. 职业, 天命, 天职, 才能, 行业
"
prey,"n. 被掠食者, 牺牲者
vi. 捕食"
instinct,"n. 本能, 直觉
a. 充满着的"
cripple,"n. 跛者, 残废
vt. 使跛, 使成残废, 削弱
a. 跛的, 残废的"
phenomenon,"n. 现象, 迹象, 表现, 奇迹, 奇才
"
pest,"n. 令人讨厌之物, 有害之物, 害虫, 瘟疫
"
database,"n. 数据库
"
volume,"n. 册, 卷, 体积, 容量, 大量, 许多, 份量, 音量
vi. 成团卷起
vt. 把...收集成卷
a. 大量的
"
shepherd,"n. 牧羊人, 牧羊犬, 牧师, 保护者
vt. 看守, 领导, 指导, 牧羊"
negligible,"a. 可以忽略的, 不足取的, 无用的
"
mortgage,"n. 抵押, 约束性义务, 抵押借款
vt. 抵押, 以...作担保, 把...许给"
air-conditioning,"用空调设备调节空气, 空调设备
"
defence,"n. 防卫, 防卫设备
"
herb,"n. 药草, 香草
"
package,"n. 包裹, 套装软件, 包, 包装用物, 程序包
vt. 包装, 打包
a. 一揽子的
"
massacre,"n. 大屠杀
vt. 大屠杀, 残杀"
quantitative,"a. 数量的, 定量的
"
kidnap,"vt. 绑架, 诱拐, 拐骗
"
ruin,"n. 毁灭, 推翻, 废墟
vi. 毁灭, 衰败, 破坏, 破产, 堕落
vt. 使毁灭, 毁坏, 使破产"
elevate,"vt. 举起, 提拔, 鼓舞"
bulk,"n. 大小, 体积, 大块, 大多数
vt. 显得大, 显得重要"
hitherto,"adv. 迄今, 至今"
quart,"n. 夸脱
"
sniff,"n. 以鼻吸气, 嗅, 气息
vi. 嗅, 蔑视, 嗤之以鼻
vt. 闻, 用力吸, 发觉"
design,"n. 设计, 图样, 方案, 企图
v. 设计, 计划"
prestige,"n. 声望, 威望, 威信
"
bug,"n. 错误, 虫, 病菌, 缺陷, 窃听器, 癖好, 防盗报警器, 双座小汽车, 要人
vt. 装防盗报警器, 装窃听器, 激怒
vi. 捉虫, 暴突
"
keen,"a. 锋利的, 敏锐的, 强烈的, 敏捷的, 热心的, 渴望的
n. 挽歌, 痛哭
v. 唱挽歌, 痛哭"
reckless,"a. 不介意的, 大意的, 鲁莽的, 不顾后果的
"
deadly,"a. 致命的, 致死的
adv. 非常, 如死一般地"
sober,"a. 未醉的, 稳重的, 节制的, 严肃的, 不夸大的, 合理的, 朴素的
vt. 使醒酒, 使严肃
vi. 从醉里醒来, 变严肃"
cafeteria,"n. 自助餐厅
"
marble,"n. 大理石, 石弹, 雕刻品
a. 大理石的, 冷酷无情的, 有大理石花纹的"
impair,"vt. 损害, 减少, 削弱
"
breach,"n. 裂口, 违背, 破坏, 违反, 突破, 破裂
vt. 攻破, 突破
vi. 跳出水面"
divorce,"n. 离婚
vt. 与...离婚"
mall,n. 林荫路
destined,"a. 预定的, 注定的, 命定的"
seam,"n. 缝合线, 衔接口, 接缝, 线缝, 伤疤
vt. 缝合, 接合, 焊合, 使留下伤痕
vi. 裂开, 发生裂痕"
boring,"a. 烦人的, 无聊的, 无趣的
"
orbit,"n. 轨道, 常轨, 眼眶
vt. 绕...轨道而行
vi. 进入轨道, 盘旋"
lame,"a. 跛足的, 僵痛的, 不完全的, 金属薄板, 不知内情的人
vi. 变跛
vt. 使成残废, 使无用"
engage,"vi. 答应, 从事, 交战
vt. 使忙碌, 雇佣, 预定, 使从事于, 使参加"
oppress,"vt. 压迫, 压抑, 使烦恼"
bully,"n. 欺凌弱小者, 土霸
vt. 威胁, 恐吓, 欺负
vi. 欺负
a. 特好的, 第一流的
adv. 十分"
vulgar,"a. 粗俗的, 庸俗的, 普通的, 通俗的, 方言的
"
magnify,"vt. 放大, 扩大, 赞美, 夸大
vi. 有放大能力"
briefcase,n. 公事包
wallet,"n. 皮夹
"
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
"
garment,"n. 衣服, 衣装, 外表"
client,"n. 客户, 顾客, 委托人
"
investigation,"n. 调查, 审查
"
cooperative,a. 合作的；合作社的
bud,"n. 芽, 花蕾
vi. 发芽, 萌芽
vt. 使发芽"
capsule,"n. 胶囊, 蒴果, 瓶帽, 航天舱
"
exposition,"n. 阐述, 讲解, 说明, 博览会, 展览会
"
ward,"n. 病房, 守卫, 保卫, 保护, 监护, 牢房, 行政区, 锁孔内的榫舌
vt. 使入病房, 守护, 保卫"
insurance,"n. 保险, 保险业, 保险费
"
compile,"vt. 编译, 编辑, 编纂, 收集
"
slice,"n. 薄的切片, 一部分, 菜刀
vt. 切成薄片, 切下
vi. 切
"
lens,"n. 透镜, 镜头, 镜片, 晶状体
vt. 给...摄影"
foul,"a. 污秽的, 邪恶的, 恶臭的, 肮脏的, 恶劣的, 淤塞的
vt. 弄脏, 妨害, 污蔑, 犯规, 淤塞
vi. 腐烂, 犯规, 缠结
adv. 违反规则地, 不正当地
n. 犯规, 缠绕"
misfortune,"n. 不幸, 灾祸, 坏运气
"
fragrance,"n. 芬芳, 香味"
combat,"n. 争斗, 战斗
vi. 战斗, 争斗
vt. 与...战斗, 与...斗争"
directory,"n. 目录, 工商名录, 指南
"
eccentric,"n. 怪人, 偏心圆
a. 古怪的, 反常的, 不同圆心的"
persuade,"vt. 劝, 使相信, 恳求, 敦促, 说服
vi. 劝服, 被说服"
million,"n. 百万, 无数
num. 百万"
classify,"vt. 分类, 归类, 分等
"
series,"n. 串联, 序列, 连续, 系列, 丛书, 套, 级数, 组
"
peel,"n. 皮, 外壳
vt. 削...皮, 剥去...的壳
vi. 蜕皮, 剥落, 脱皮, 脱去衣服"
wardrobe,"n. 衣橱, 衣室, 全部衣服"
elicit,"vt. 引出, 推导出, 引起"
layer,"n. 层, 产卵鸡, 放置者
vt. 分层堆积, 压植
"
insist,"v. 坚持, 坚决主张, 强调"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
warehouse,"n. 仓库, 货栈, 大商店
vt. 储入仓库"
oath,"n. 誓约, 誓言, 咒骂
"
ancestor,"n. 祖先, 祖宗"
solemn,"a. 严肃的, 郑重的, 庄严的"
eternal,"a. 永恒的, 永远的, 不灭的"
salute,"vi. 行礼, 致意, 问候, 放礼炮
vt. 向...致意, 迎接, 赞扬
n. 招呼, 敬礼, 礼炮"
doctrine,"n. 教条, 学说
"
cherish,"vt. 珍爱, 怀有, 爱护"
offspring,"n. 子孙, 后代, 产物
"
warfare,"n. 战争, 战斗, 交战, 斗争, 竞争
"
configuration,"n. 结构, 表面配置, 外形, 配置
"
plateau,"n. 高地, 高原, (上升后的)稳定水平
"
motel,n. 汽车旅馆
overflow,"n. 溢值, 超值, 泛滥
v. (使)泛滥, (使)溢出, (使)充溢
"
commonplace,"n. 寻常事, 老生常谈, 普通的东西
a. 平凡的, 普通的"
warrant,"n. 授权, 正当理由, 根据, 证明, 批准, 凭证, 令状, 委任状
vt. 授权给, 保证, 担保, 批准, 使有正当理由"
span,"n. 指距, 全长, 跨距, 一段时间, 小范围
vt. 以手指测量, 跨越, 架设, 持续"
compatible,"a. 能共处的, 可并立的, 适合的
"
enrich,"vt. 使富足, 使肥沃"
reel,"n. 卷轴, 一卷, 纺车, 旋转, 蹒跚
vt. 卷...于轴上, 绕, 使旋转
vi. 蹒跚地走, 旋转, 眩晕, 摇晃, 退缩
"
realistic,"a. 现实的, 逼真的, 现实主义的, 实在论的"
watertight,"a. 不透水的, 不漏水的, 无懈可击的
"
dean,"n. 院长, 主持牧师
"
parallel,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
"
convey,"vt. 传达, 运输, 转让
"
embark,"vi. 乘船, 着手, 从事, 上飞机
vt. 使上船, 使上飞机, 使从事"
premise,"n. 前提, 房屋连地基, 上述各项
vt. 预先提出, 引出, 作为...的前提
vi. 作出前提"
litter,"n. 垃圾, 杂乱, 轿, 担架
vt. 乱丢, 铺草, 弄乱
vi. 产仔, 乱丢垃圾"
nominal,"a. 名义上的, 名字的, 有名无实的, 稍许的
n. 名词性词"
watt,"n. 瓦(特)
"
wax,"n. 蜡, 蜡状物, 一阵发怒, 增加, (月亮)渐盈
vi. 变大, 增大, 月亮渐满
vt. 上蜡于"
flatter,"vt. 奉承, 阿谀, 使高兴
"
exempt,"n. 免税者, 被免除义务者
a. 免除的
vt. 使免除, 豁免"
align,"vi. 排列, 排成一行, 结盟
vt. 使结盟, 使成一行, 校正"
weary,"a. 疲倦的, 萎靡的, 厌倦的, 厌烦的
vt. 使疲倦, 使厌烦
vi. 疲乏, 生厌, 不耐烦"
concede,"vt. 承认, 退让
vi. 让步"
weapon,"n. 武器, 兵器
vt. 武装"
cocaine,"n. 可卡因, 古柯碱
"
scale,"n. 刻度, 衡量, 比例, 比例尺, 数值范围, 等级, 规模, 天平, 秤, 鳞, 积垢
vt. 依比例决定, 攀登, 测量, 绘制, 刮鳞, 使生垢, 过秤
vi. 剥落, 生水垢, 重量为, 攀登, 衡量
"
foster,"a. 收养的, 养育的
vt. 养育, 抚育, 培养, 鼓励, 抱(希望)"
savage,"a. 未开化的, 野蛮的, 无礼的, 残酷的, 原始的, 粗鲁的, 未开发的
vt. 用暴力对付, 凶猛攻击
n. 原始人, 粗鲁人"
web,"n. 网, 蛛丝, 蹼, 织物, 圈套, 卷筒纸
vi. 结网, 形成网
vt. 织蜘蛛网于, 使落入圈套"
reluctant,"a. 不情愿的, 勉强的
"
comprehensive,"a. 广泛的, 有理解力的, 综合的
"
arbitrary,"a. 任意的, 武断的, 专治的, 霸道的"
siege,"n. 包围, 围攻, 再三的努力
vt. 包围, 围攻"
engine,"n. 引擎, 发动机, 机车
vt. 安装发动机于"
accurate,"a. 正确的, 精确的
"
pledge,"n. 诺言, 保证, 誓言, 抵押, 信物, 保人, 祝愿
vt. 许诺, 保证, 使发誓, 抵押, 典当, 举杯祝...健康"
restrict,"vt. 限制, 限定, 约束
"
bewilder,"vt. 使迷惑, 使不知所措"
whereas,"conj. 然而, 鉴于
"
molecule,"n. 分子, 些微
"
spectrum,"n. 光谱, 范围, 系列
"
whereby,"adv. 靠什么, 如何, 为何, 靠那个, 因此, 由此
"
hardy,"a. 难的, 艰苦的, 坚硬的, 勇敢的
adv. 努力地, 辛苦地, 坚硬地"
whirl,"n. 回旋, 旋转, 急走, 眩晕
vt. 使旋转, 使回旋, 卷走
vi. 回旋, 旋转, 急走, 发晕"
patrol,"n. 巡逻, 巡逻员, 侦察队
v. 巡逻, 巡视"
cemetery,"n. 墓地, 公墓
"
slight,"n. 轻蔑, 怠慢
a. 轻微的, 纤细的, 脆弱的, 苗条的
vt. 轻视, 忽略, 怠慢"
polar,"a. 两极的, 极地的, 正好相反的, 极性的
n. 极线, 极面"
rape,"n. 抢夺, 掠夺, 强奸, 葡萄渣, 芸苔
vt. 掠夺, 抢夺, 强奸"
closet,"n. 壁橱, 小室
a. 秘密的, 空谈的
vt. 把...关入小室"
sneak,"vi. 鬼鬼祟祟做事
vt. 偷偷地做
n. 鬼鬼祟祟的人, 偷偷摸摸的行为, 帆布胶底运动鞋
a. 暗中进行的"
relish,"n. 滋味, 风味, 美味, 爱好, 食欲, 调味品
vt. 调味, 喜欢, 玩味
vi. 有味道"
plausible,"a. 貌似真实的, 貌似合理的, 说得煞有其事的
"
withdraw,"vt. 撤回, 取回, 撤消, 使撤退, 拉开, 移开
vi. 撤退, 离开"
humanity,"n. 人性, 人类, 博爱"
attractive,"a. 吸引人的, 有魅力的
"
spectator,"n. 观众, 目击者, 旁观者"
municipal,"a. 市政的, 自治区的, 内政的
"
avert,"vt. 转开, 避免, 防止"
scrub,"n. 用力擦洗, 矮树, 矮人, 渺小之物
vt. 用力擦洗, 擦掉, 摩擦
vi. 擦洗干净, 进行手臂消毒
a. 次等的, 矮小的, 非正规球队的, 临时凑合的"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
worthwhile,"a. 值得花时间的, 值得做的, 有真实价值的"
graphic,"a. 生动的, 轮廓分明的, 绘画似的, 图解的
"
witness,"n. 证人, 目击者, 证据, 证词
vt. 目击, 作证, 证明, 表明
vi. 作证人, 作为证据"
lounge,"n. 闲逛, 休闲室, 长沙发
vi. 闲混, (懒洋洋地)躺
vt. 闲混"
wreck,"n. 失事, 残骸, 破坏
vt. 使失事, 拆毁, 破坏
vi. (船)失事, 营救失事船只"
retrieve,"vt. 取回, 挽回, 弥补, 恢复, 补偿, 回忆, 检索
vi. 找回猎物
n. 取回, 恢复, 救险球
"
commute,"vt. 交换, 折偿, 减轻
vi. 代偿, 经常乘车来往"
