irrational,"n. 无理数
a. 无理性的, 不合理的"
span,"n. 指距, 全长, 跨距, 一段时间, 小范围
vt. 以手指测量, 跨越, 架设, 持续"
impel,"vt. 推动, 激励, 驱使, 迫使"
on that score,在那点上
on this score,"在这一点上, 在这一方面"
hitch,"n. 猛拉, 急推, 蹒跚, 故障
vt. 猛拉, 系住
vi. 蹒跚, 被钩住"
snag,"n. (尖利的)突出物, (衣服等的)戳破处, 断牙, 意外障碍
vt. 造成阻碍, 抓住机会, 抢到, 清除障碍物"
archetypal,a. 原型的
croon,"v. 低声歌唱, 低唱, 低吟
n. 低唱, 低吟, 轻哼"
subtle,"a. 敏锐的, 精细的, 狡猾的, 稀薄的, 灵巧的, 微妙的
"
nuanced,(色彩、音调、措词、意味、香韵、感情等)有细微差别的
subtlety,"n. 微妙, 精明"
brilliance,"n. 卓越, 光辉
"
derision,n. 嘲笑
mockery,"n. 嘲弄, 笑柄, 歪曲"
plodding,"a. 沉重缓慢的, 单调乏味的"
vehement,"a. 热烈的, 激烈的"
presage,"n. 预感, 预兆, 预知
vt. 预示, 预言
vi. 预感, 预言"
prefigure,"vt. 预示, 预见, 预想"
portend,"vt. 成为...的前兆, 预知, 给与...的警告"
predict,"v. 预知, 预言, 预报"
abnegation,"n. 放弃, 舍弃, 克制"
stance,"n. 准备击球姿势, 站立的姿势, 位置, 姿态
"
contend,"vi. 奋斗, 斗争, 竞争
vt. 为...斗争"
contention,"n. 争论, 争辩, 所持的论点
"
discordance,"n. 不调和, 不和, 冲突"
contentious,"a. 好争吵的, 爱争论的, 有异议的
"
controversial,"a. 争论的, 论争的, 被议论的"
utterance,"n. 发声, 言辞, 表达, 说话的方式, 死
"
negligible,"a. 可以忽略的, 不足取的, 无用的
"
insignificant,"a. 无关紧要的, 无意义的, 琐碎的"
render,"vt. 回报, 给于, 付给, 汇报, 提出, 舍弃, 反映, 表示, 表演, 致使, 执行, 实施
vi. 给予补偿
n. 交纳, 打底"
amorphous,"a. 无定形的, 无组织的
"
venal,"a. 可收买的, 贪污的, 用金钱买得的
"
perpetuate,"vt. 使永存, 使不朽, 保持"
gross,"n. 总数, 总量
a. 总共的, 未打折扣的, 恶劣的, 粗野的
vt. 总共收入"
controvert,"vt. 议论, 辩驳, 驳击
vi. 参加辩论"
imprudent,"a. 轻率的, 鲁莽的"
irreversible,"a. 不可逆的, 不可改变的, 不能倒置的, 不能翻转的, 不能倒转的, 不可撤销的
"
intensify,"vt. 加强
vi. 强化"
intensification,"n. 增强, 强化
"
intensity,"n. 强烈, 紧张, 强度
"
deception,"n. 欺骗, 诡计
"
deceptive,"a. 迷惑的, 虚伪的, 欺诈的"
extol,"vt. 颂扬, 称赞, 吹捧"
quell,"vt. 压制, 平息, 减轻"
fervor,"n. 热情, 热心, 炽热"
fervent,"a. 热的, 炎热的, 热心的"
historic,"a. 历史上著名的, 有历史性的"
historicism,n. 历史相对论
insofar as,"至于, 就..."
gratify,vt. 使满足
please,"adv. 请
vt. 使高兴, 合...的心意, 取悦
vi. 使人满意, 讨好, 愿意, 敬请"
prevail,"vi. 获胜, 流行, 盛行
"
prevailing,"a. 盛行很广的, 优势的, 主要的, 普遍的
"
prevalent,"a. 普遍的, 流行的"
prevalence,"n. 普遍, 流行, 广泛
"
altruistic,"a. 利他的, 无私心的"
selfless,"a. 不顾自己的, 无私的"
altruism,"n. 利他主义, 利他"
beneficence,"n. 慈善, 善行, 赠物
"
be a far cry from,与…大不相同，是两回事
adjunct,"n. 附属物, 附件, 助手, 修饰语
a. 附属的"
abash,"vt. 使不安, 使羞愧, 使困窘"
unabashed,"a. 不脸红的, 不害羞的, 脸皮厚的"
warble,"n. 用颤音唱的歌, 鸟啭, 颤声
v. 鸟鸣, 用柔和的颤声唱"
pernicious,"a. 有害的, 致命的, 恶劣的, 险恶的
"
ultra,"a. 过分的, 极端的
n. 极端主义者, 过激论者, 急进论者"
vivacity,"n. 快活, 活泼, 精神充沛"
dwindle,"vi. 减少, 缩小, 衰落
vt. 使缩小"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
relish,"n. 滋味, 风味, 美味, 爱好, 食欲, 调味品
vt. 调味, 喜欢, 玩味
vi. 有味道"
delight in,"喜爱,以…为乐"
scads,n. 很多；巨额
crucial,"a. 决定性的, 重要的, 严厉的
"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
indispensable,"n. 不可缺少之物
a. 不可缺少的, 责无旁贷的, 绝对必要的"
clog,"n. 障碍, 脚坠
v. 障碍, 阻塞"
conscientious,"a. 有责任心的, 负责的, 本着良心的
"
nullify,"vt. 使无效, 废弃, 取消
"
impute,"vt. 归罪, 使负责, 嫁祸于"
adolescent,"a. 青春期的, 青少年的
n. 青少年"
adolescence,"n. 青春期
"
alacrity,"n. 敏捷, 轻快, 乐意"
not least,"在一定程度上, 相当重要地"
proponent,"n. 建议者, 支持者
"
defend,"vt. 防护, 辩护, 防卫
"
defensive,"a. 防卫的, 防备用的, 自卫的
n. 守势, 防卫姿势, 防卫物"
affliction,"n. 苦恼, 折磨, 苦恼的事由"
monotonous,"a. 单调的, 无变化的"
thriller,"n. 使人激动的东西, 使人毛骨悚然的东西, 使人毛骨悚然的小说"
thrilling,"a. 毛骨悚然的, 令人兴奋的, 令人发抖的"
causality,"n. 因果关系
"
authoritarian,"a. 独裁的, 独裁主义的"
authoritative,"a. 权威性的, 官方的, 命令式的
"
authorize,"vt. 授权, 批准, 委托
"
endorse,"vt. 支持, 赞同, 背书于, 签署
"
spontaneous,"a. 自然的, 自发的, 未经琢磨的
"
spontaneity,"n. 自然发生, 自生, 自发"
rally,"n. 重振旗鼓, 集合, 群众集会, 跌停回升
v. 重整旗鼓, 集合, 恢复精神, 团结, 挖苦, 嘲笑"
grumble,"n. 怨言, 满腹牢骚
vi. 抱怨, 发牢骚, 发隆隆声
vt. 抱怨"
neutrality,"n. 中立, 不偏不倚, 中间状态
"
derive,"vt. 得自
vi. 起源"
derivative,"a. 引出的, 派生的
n. 引出之物, 派生物, 衍生字"
supersede,"vt. 代替, 取代, 接替
"
yield,"n. 生产量, 投资收益
vt. 出产, 给予, 让出, 放弃, 使屈服
vi. 出产, 屈服, 投降, 倒塌"
engender,"vt. 产生, 引起
vi. 发生, 形成"
output,"n. 输出, 产品, 产量
"
succumb,"vi. 屈从, 屈服, 死"
unyielding,"a. 不易弯曲的, 不屈的"
implacable,"a. 不能安抚的, 难和解的, 不变的"
averse,"a. 不愿意的, 反对的"
aversion,"n. 厌恶, 讨厌的事, 讨厌的人
"
invaluable,"a. 无价的, 价值无法衡量的"
disown,"vt. 否认
"
genealogy,"n. 系谱, 宗谱, 家系, 世系, 血统
"
mammal,"n. 哺乳动物
"
sidestep,"n. 横跨的一步, 台阶
vt. 横跨一步躲避, 回避
vi. 回避问题, 躲避打击"
circumvent,"vt. 绕行, 陷害, 包围, 智取"
auction,"n. 拍卖
vt. 拍卖"
patent,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
antiquated,"a. 陈旧的, 过时的, 年老的"
vacuous,"a. 空的, 空虚的, 没有思想的"
drawback,"n. 缺点, 退税
"
vague,"a. 含糊的, 不清楚的, 茫然的"
nebulous,"a. 星云的, 星云状的, 朦胧的"
delegate,"n. 代表
vt. 委派...为代表"
pugnacious,a. 好斗的
truculent,"a. 野蛮的, 粗暴的, 致命的, 好斗的"
pugnacity,n. 好斗
belligerence,"n. 交战, 好战性, 斗争性"
obsolete,"a. 荒废的, 成废物的, 陈旧的, 老式的
n. 废词, 废物"
outmoded,"a. 过时的, 废弃的
"
trace,"n. 痕迹, 踪迹, 微量, 迹线, 缰绳
vt. 追踪, 回溯, 描绘
vi. 追溯, 沿路走"
prestige,"n. 声望, 威望, 威信
"
prestigious,a. 享有声望的
nebulous,"a. 星云的, 星云状的, 朦胧的"
vague,"a. 含糊的, 不清楚的, 茫然的"
demolish,"vt. 毁坏, 破坏, 粉碎"
dissension,"n. 意见不合, 纠纷, 争吵
"
intimate,"a. 亲密的, 私人的, 秘密的
vt. 暗示, 通知, 告诉
n. 至交"
scold,"n. 好骂街的人, 责骂
v. 责骂"
conceive,"vt. 构思, 认为
vi. 怀孕"
conceivable,"a. 想得到的, 可想象的, 可理解的"
plausible,"a. 貌似真实的, 貌似合理的, 说得煞有其事的
"
misconception,n. 误解
unrelenting,"a. 不怜悯的, 无情的, 冷酷的"
persistent,"a. 固执的, 坚持的, 持续的, 作用持久的
"
vice versa,"反之亦然
"
devolve,"vt. 转移, 下放(权力等), 委托
vi. 被移交"
impetuous,"a. 冲动的, 猛烈的, 轻率的, 狂暴的"
bagatelle,"n. 琐事, 小事, 弹球戏"
replicate,"vt. 折叠, 折转, 复制
n. 复现试验, 复制品, 高八度音
a. 复现的, 复制的, 折转的, 弯回的"
detest,"vt. 厌恶, 憎恨"
detestation,"n. 憎恶, 嫌恶, 令人厌恶的人"
girth,"n. (树的)干围, 周长, 肚带
vt. 围绕, 包围
vi. 围长为"
sentiment,"n. 感情, 感伤, 情操, 情绪, 感想, 意见
"
sentimental,"a. 感伤的, 感情用事的"
fallacious,"a. 使人误解的, 谬误的, 不合理的, 骗人的"
fallibility,"n. 易错, 易误, 出错性"
obligation,"n. 义务, 责任, 约束, 契约, 恩惠, 债务
"
obligatory,"a. 义务的, 必须的, 强制性的
"
resonate,"v. (使)共鸣, (使)共振"
ring true,听起来有道理
imperative,"n. 命令, 必要的事, 规则, 祈使语气
a. 命令式的, 急需的, 势在必行的, 强制的"
appurtenance,"n. 附属物, 附件
"
spin,"n. 旋转, 自旋, 疾驰, 情绪低落
vt. 纺织, 纺, 使旋转, 编造
vi. 纺纱, 吐丝, 作茧, 结网, 旋转, 自旋, 疾驰"
merchandise,"n. 商品, 货物
v. 交易, 买卖"
aspire,"vi. 渴望, 立志于"
deviate,"vi. 脱离, 偏离
vt. 使偏离
a. 脱离常规的
n. 脱离常规的人"
deviation,"n. 背离
"
compulsory,"a. 被强制的, 强迫的, 义务的
"
compulsive,"a. 强制的, 强迫的
"
jettison,"n. 投弃, 投弃货物
"
well-being,n. 健康; 幸福; 保持良好状态
retroactive,"a. 反动的, 追溯的, 有追溯效力的
"
bypass,"n. 旁路
vt. 省略, 绕过, 忽视, 回避"
circumvent,"vt. 绕行, 陷害, 包围, 智取"
humanitarian,"n. 人道主义者, 博爱者, 基督凡人论者
a. 人道主义的, 博爱的, 凡人论的"
self-knowledge, [体]自知
shoulder,"n. 肩, 肩膀, 衣肩
vt. 肩负, 负担, 担任
vi. 用肩推挤"
biotic,"a. 生命的, 生物的
"
overreach oneself,"弄巧成拙, 由于雄心过大而失败"
hybrid,"n. 混血儿, 杂种, 混合物
a. 混合的, 杂种的, 混合语的
"
coalesce,"vi. 合并, 联合, 合生
"
collect,"v. 收集, 聚集, 集中, 搜集
a. 由收到者付款的
adv. 由收到者付款地"
conform,"vt. 使一致, 使遵守, 使符合
vi. 一致, 符合, 适应"
square with,"v. 与…相符合
"
conformity,"n. 遵照, 适合, 一致, 相似
"
indolent,"a. 懒惰的, 无痛的
"
lethargic,"a. 昏睡的, 无生气的, 泠漠的, 冷淡的
"
indolence,"n. 怠惰, 无痛
"
nutrient,"a. 营养的, 滋养的
n. 营养物, 滋养物"
placid,"a. 平静的, 温和的, 沉着的, 平稳的"
confused,"a. 困惑的, 混乱的"
meteoric,"a. 流星的, 疾速的, 大气的"
mien,"n. 风采, 态度, 样子, 外表, 面条"
repackage,vt. 重新包装
mobility,"n. 可动性, 流动性, 机动性
"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
perceptive,"a. 知觉的, 有知觉力的, 感知的
"
perceptible,"a. 可察觉的, 能感觉得到的, 看得见的"
wont,"n. 习惯
a. 惯常的, 易于...的
vi. 习惯
vt. 使习惯于"
unwonted,"a. 不习惯的, 不寻常的, 非惯常的"
encode,"vt. 把(电文、情报等)译成密码
"
incentive,"n. 动机
a. 激励的"
shrewd,"a. 精明的, 锐利的, 剧烈的, 机灵的, 厉害的"
hodgepodge,"n. 杂烩菜, 混杂物"
patchwork,"n. 拼缝物, 拼凑物"
dire,"a. 可怕的, 悲惨的, 阴沉的, 极端的"
recount,"vt. 详述, 叙述, 重新计算
n. 重新计算"
simultaneous,"a. 同时的, 同时发生的
"
magnanimity,n. 宽宏大量
benevolence,"n. 善意, 慈悲, 善行
"
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
cumulative,"a. 累积的
"
rhetoric,"n. 修辞, 修辞学, 雄辩(术)"
eloquence,"n. 口才, 雄辩术, 雄辩
"
obeisance,"n. 敬礼, 鞠躬, 敬重"
project,"n. 计划, 设计, 事业
vt. 计划, 设计, 投掷, 发射, 使凸出, 放映
vi. 凸出"
projection,"n. 发射, 计划, 突出部分, 设计, 推测
"
flagrant,"a. 极端明显的, 不能容忍的, 恶名昭著的
"
polish,"a. 波兰的
n. 波兰人, 上光剂, 光泽, 优雅
vt. 擦亮, 擦去, 使完美
vi. 擦亮, 变得光亮"
tyrant,"n. 暴君
"
quotidian,"a. 每日的, 每日发作的, 司空见惯的, 平凡的
n. 日发热"
lavish,"a. 大方的, 丰富的, 浪费的
vt. 浪费, 滥用, 慷慨给予"
noticeable,"a. 显而易见的, 显著的, 值得注意的"
warrant,"n. 授权, 正当理由, 根据, 证明, 批准, 凭证, 令状, 委任状
vt. 授权给, 保证, 担保, 批准, 使有正当理由"
unwarranted,"a. 未获保证的, 无保证的, 未经授权的"
groundless,"a. 无根据的, 无理由的
"
unfounded,"a. 没有事实根据的, 没有理由的, 虚幻的, 未建立的
"
baseless,a. 无根据的
unjustified,"[计] 未经调整的, 未对齐的"
scarce,"a. 难得的, 稀罕的, 缺乏的"
scarcity,"n. 缺乏, 不足, 缺少
"
functional,"a. 功能的
"
utilitarian,"a. 有效用的, 实利主义的, 功利主义的
n. 功利主义者"
munificent,"a. 丰厚的, 慷慨的"
crack,"n. 裂缝, 爆裂声
v. (使)爆裂, (使)裂开, (使)发出爆裂声
a. 第一流的
adv. 啪地一声"
proscribe,"vt. 剥夺...的公民权, 使失去法律保护, 把...充军, 把...放逐, 排斥, 禁止"
forbid,"vt. 禁止, 不准, 妨碍
"
proscription,"n. 剥夺人权, 放逐
"
proscriptive,"a. 剥夺人权的, 放逐的
"
participant,"n. 参加者, 参与者
a. 有份的, 参加的, 参与的"
pleasantry,"n. 幽默, 开玩笑"
involuntary,"a. 自然而然的, 无意识的, 不知不觉的, 偶然的, 不随意的
"
qualify,"vi. 取得资格, 有资格
vt. 使有资格, 使合格, 限定, 限制, 准予"
unqualified,"a. 不合格的, 无资格的, 不胜任的
"
unqualified,"a. 不合格的, 无资格的, 不胜任的
"
unalloyed,"a. 未搀杂的, 纯粹的, 非合金的"
qualification,"n. 资格, 条件, 限制
"
plausible,"a. 貌似真实的, 貌似合理的, 说得煞有其事的
"
conceivable,"a. 想得到的, 可想象的, 可理解的"
implausible,"a. 难以置信的, 不象真实的"
incredible,a. 难以置信的
whim,"n. 一时的兴致, 冲动, 怪念头, 绞盘"
fantasy,"n. 幻想, 想象的产物
"
whimsical,"a. 怪念头多的, 反复无常的, 古怪的, 异想天开的"
obtuse,"a. 钝的, 不锋利的, 愚钝的
"
fluctuation,"n. 变动, 波动, 动摇
"
variance,"n. 不一致, 变化, 变异, 分歧, 不和
"
urbane,a. 彬彬有礼的
elegant,"a. 优雅的, 端庄的, 高雅的"
civil,"a. 市民的, 公民的, 有礼貌的
"
suggestive,"a. 提示性的, 影射的, 暗示的
"
benevolent,"a. 善意的, 慈善的"
benevolence,"n. 善意, 慈悲, 善行
"
magnanimity,n. 宽宏大量
milieu,"n. 周围, 社会环境, 环境, 表达的手法
"
belie,"vt. 掩饰, 与...不符, 使失望"
mask,"n. 面具, 假面具, 掩饰, 石膏面模
vt. 戴面具, 掩饰, 使模糊
vi. 化装, 戴面具, 掩饰, 参加化装舞会
"
disprove,"vt. 证明...是不对的, 提出...的反证, 反驳
"
soothe,"vt. 缓和, 使安静, 安慰, 奉承
vi. 起安慰作用"
spur,"n. 马刺, 刺激物, 鼓舞
vt. 刺激, 激励, 用马刺策(马)前进
vi. 用马刺驱马, 疾驰"
foster,"a. 收养的, 养育的
vt. 养育, 抚育, 培养, 鼓励, 抱(希望)"
galvanize,"vt. 通电, 镀锌, 使...感到震惊"
foment,"vt. 热敷, 煽动"
virgin,"n. 处女
a. 处女的, 贞洁的, 纯洁的, 初始的, 纯的"
characterize,"vt. 描绘...的特性, 刻划...的性格"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
"
uncharacteristic,a. 无典型特征的；不典型的
innovation,"n. 改革, 创新
"
innovative,"a. 革新的, 创新的, 富有革新精神的"
experimental,"a. 实验的, 根据实验的
"
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
novel,"n. 小说, 长篇故事
a. 新奇的, 异常的"
precocity,"n. 早熟
"
dour,"a. 阴沉的, 严厉的, 顽强的"
exasperate,"vt. 使恼怒, 激怒, 恶化
a. 糙面的, 恼怒的, 激怒的"
exasperation,"n. 恼怒, 恼怒的原因"
irascibility,"n. 易怒, 脾气暴躁
"
exalt,"vt. 提升, 提高, 赞扬, 使得意
vi. 使人兴奋, 使人得意"
valorize,"vt. 限定价格, 稳定物价
"
tepid,"a. 微温的, 温热的, 不太热烈的
"
covert,"a. 隐蔽的, 偷偷摸摸的, 隐密的
n. 树丛, 隐藏处"
clandestine,"a. 偷偷摸摸的
"
surreptitious,"a. 秘密的, 暗中的, 偷偷摸摸的
"
voluble,"a. 流利的, 健谈的, 易旋转的, 缠绕的"
roil,"vt. 搅浑, 使焦急"
unassailable,"a. 攻不破的, 不容置疑的, 无懈可击的
"
opportune,"a. 恰好的, 时机适宜的, 适当的"
timely,"a. 及时的, 适时的
adv. 及时地"
proselytizer,n. 劝导者; 说客; 改变宗教信仰者
wherewithal,"n. 必要的资金
"
obtrusive,"a. 强迫人的, 冒失的, 莽撞的, 伸出的"
slacken,"vt. 使松弛, 放松, 放慢
vi. 变松弛, 减弱, 松劲"
documentary,"n. 记录片
a. 文件的"
undocumented,"a. 无正式文件的, 无事实证明的"
fiery,"a. 炽热的, 热烈的, 暴躁的"
impassioned,"a. 充满激情的, 狂热的, 热烈的"
warehouse,"n. 仓库, 货栈, 大商店
vt. 储入仓库"
vista,"n. 远景, 展望, 回想"
repulse,"n. 击退, 拒绝
vt. 厌恶, 击退, 拒绝"
burdensome,"a. 累赘的, 恼人的, 繁重的
"
onerous,"a. 繁重的, 负有法律责任的
"
taxing,"a. 繁重的, 费力的
"
exacting,"a. 苛求的, 吃力的"
arduous,"a. 费力的, 努力的, 险峻的"
imperial,"a. 帝王的, 宗主国的, 至尊的, 壮丽的
n. 特等品"
imperialist,"n. 帝国主义者, 皇帝统治的拥护者, 皇帝派的人
a. 帝国主义的"
imperious,"a. 专横的, 傲慢的, 迫切的
"
eccentric,"n. 怪人, 偏心圆
a. 古怪的, 反常的, 不同圆心的"
eccentricity,"n. 古怪, 古怪行为, 怪癖
"
carnivore,"n. 食肉动物
"
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
impasse,"n. 难局, 僵局, 死路, 死胡同"
diverge,"vi. 分歧, 岔开
vt. 使岔开"
proprietary,"a. 所有者的, 所有权的, 私有的
n. 所有者, 业主, 所有权"
querulous,"a. 抱怨的, 爱发牢骚的, 易怒的"
skirt,"n. 裙子, 下摆, 边缘, 郊区
vt. 位于...边缘, 绕过, 回避
vi. 位于边缘"
compensate,"v. 偿还, 补偿, 付报酬"
offset,"n. 抵消, 把...并列, 旁系, 支管, 用胶印法印
vt. 弥补, 抵消, 胶印
vi. 装支管
n. 偏移量
"
mainstay,"n. 主桅支索, 支柱, 中流砥柱"
pedant,"n. 自夸学问的人, 空谈家, 书呆子"
pedantic,"a. 卖弄学问的, 学究式的, 假装学者的"
fence,"n. 围墙, 栅栏, 买卖赃物的人, 剑术
vt. 用篱笆围住, 练习剑术, 防护
vi. 击剑, 搪塞"
stale,"n. 尿
a. 不新鲜的, 陈腐的, 疲惫的, 陈旧的
vt. 使变旧, 走味
vi. 变陈旧, 走味, 失时效, 撒尿"
scrupulous,"a. 小心谨慎的, 细心的"
pretext,"n. 借口, 托词
v. 以...为借口"
awareness,"n. 意识, 认识
"
novel,"n. 小说, 长篇故事
a. 新奇的, 异常的"
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
innovative,"a. 革新的, 创新的, 富有革新精神的"
experimental,"a. 实验的, 根据实验的
"
unprecedented,"a. 空前的
"
novelty,"n. 新奇, 新鲜, 新奇的事物"
originality,"n. 创意, 新奇, 独创能力, 原始"
compunction,"n. 良心的责备, 后悔, 悔恨"
accede,"vi. 同意, 正式加入, 就任, 继任"
defer,"vi. 推迟, 延期, 听从
vt. 使推迟, 使延期"
rationale,"n. 基本原理
"
rationalize,"vt. 使合理, 合理地处理, 使有理化
vi. 合理地思考"
explain,"v. 解释, 说明"
decode,"vt. 解码, 译解
"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
advocacy,"n. 拥护, 支持, 鼓吹, 辩护, 辩护术
"
stagnate,"v. (使)淤塞, (使)停滞, (使)变萧条"
stagnation,"n. 淤塞, 停滞
"
supplant,"vt. 排挤掉, 代替"
bankruptcy,"n. 破产者
"
myriad,"n. 无数, 无数的人(或物)
a. 无数的, 种种的"
betray,"vt. 出卖, 背叛, 辜负, 暴露
"
litigation,"n. 诉讼, 起诉
"
far-reaching,adj. 影响深远的; 有广泛影响的
cluster,"n. 串, 丛, 群, 簇
vi. 成串, 丛生
vt. 使聚集
"
adversary,"n. 敌手, 对手
a. 敌手的, 敌对的"
adversarial,"a. 敌手的,对手的,对抗(性)的"
antagonistic,"a. 对抗的, 敌对的
"
distinguished,"a. 卓著的, 著名的"
illustrious,"a. 著名的, 辉煌的, 明亮的"
distinction,n. 区别
mechanistic,"a. 机械学的, 机械论的, 机械论者的
"
bar,"n. 条, 棒, 酒吧, 栅, 障碍物
vt. 禁止, 阻挡, 妨碍
"
preclude,"vt. 预先排除, 预防, 阻止, 妨碍
"
prevent,"v. 预防, 防止, 阻止, 妨碍"
rule out,"na. 排除
"
barring,"prep. 不包括, 除非"
kindred,"n. 家族, 相似, 亲戚关系
a. 同族的, 同类的, 血缘的"
acumen,"n. 敏锐, 聪明"
didactic,"a. 教训的, 说教的, 教导的, 教诲的
"
didacticism,"n. 教导(性), 说教(性), 教诲(性)"
diminish,"v. (使)减少, (使)变小"
weaken,"vt. 削弱, 减弱, 使虚弱
vi. 变弱, 变软弱"
convulsion,"n. 震动, 震撼, 动乱, 惊厥, 痉挛
"
upheaval,"n. 举起, 隆起, 大变动, 剧变"
justify,"vt. 替...辩护, 证明
vi. 证明合法
"
rationalize,"vt. 使合理, 合理地处理, 使有理化
vi. 合理地思考"
justification,"n. 辩护, 证明正当, 释罪
"
justification,"n. 辩护, 证明正当, 释罪
"
justified,"a. 有道理的, 合乎情理的
"
afresh,adv. 重新
spurious,"a. 假造的, 伪造的, 欺骗的
"
artificial,"a. 人造的, 假的, 非原地产的
"
specious,"a. 徒有其表的, 似是而非的, 外表美观的"
fabricated,"a. 焊接的；组合的, 装配式的"
hubris,"n. 傲慢, 狂妄野心"
hubristic,"a. 傲慢的, 目中无人的。"
arrogant,"a. 自大的, 傲慢的"
err,"vi. 犯错, 做错, 犯罪
"
unerring,"a. 不犯错误的, 无过失的, 没有打歪的
"
errant,"a. 周游的, 离开正道的, 不定的"
erroneous,"a. 错误的, 不正确的
"
inaccurate,"a. 错误的, 不准确的
"
erratic,"n. 古怪的人, 漂泊无定的人
a. 不稳定的, 奇怪的"
tantalize,"vt. 逗弄, 使干着急"
primate,"n. 大主教, 灵长目动物
"
quixotic,"a. 堂吉诃德式的, 愚侠的, 狂热而侠义的, 理想而不实际的, 充满幻想的"
idealistic,"a. 理想主义的, 唯心论的, 唯心主义的, 唯心主义者的"
greet,"vt. 问候, 致敬, 欢迎, 映入眼帘"
magisterial,"a. 长官的, 威严的, 有权威的
"
controversy,"n. 论争, 辩论, 论战, 争论
"
controversial,"a. 争论的, 论争的, 被议论的"
contentious,"a. 好争吵的, 爱争论的, 有异议的
"
fraught,"a. 含有...的, 伴着...的, 充满...的"
provocative,"a. 激发感情的, 挑拨的, 刺激的
n. 刺激物, 挑拨物, 兴奋剂"
oversee,"vt. 向下看, 了望, 监督, 偷看到
"
gloat,"vi. 满足地看, 幸灾乐祸, 贪婪地盯视
n. 贪婪的盯视, 满足的注视, 幸灾乐祸"
strip,"n. 长条, 条状, 带, 脱衣舞
vt. 脱衣, 被剥去, 剥夺, 拆卸
vi. 脱衣服"
remove,"vt. 移动, 调动, 除去, 迁移, 开除, 移交
vi. 迁移, 移动, 搬家
n. 班级, 升级, 移动, 搬家, 间距
"
courteous,"a. 彬彬有礼, 谦恭的"
anomaly,"n. 不规则, 反常事物, 畸形
"
aberration,"n. 离开正路, 偏离, 畸变, 光行差, 心理失常, 色差
"
anomalous,"a. 不规则的, 反常的
"
aberrant,"a. 偏离正路的, 偏离常轨的, 畸变的
"
marginal,"a. 边缘的, 最低限度的, 有旁注的
"
escalate,"vi. 逐步扩大, 逐步升高, 逐步增强
vt. 使逐步上升"
timely,"a. 及时的, 适时的
adv. 及时地"
hackneyed,"a. 使用过于频繁的, 常见的, 陈腐的"
plunder,"n. 抢夺, 掠夺品, 战利品
v. 掠夺, 抢劫, 抢夺"
awash,"a. 与水面齐平的, 被浪冲打的"
concoct,"vt. 调合, 捏造, 编造
"
quip,"n. 妙语, 遁辞, 讽刺
v. 说讽刺话, 嘲弄"
benighted,"a. 赶路到天黑的, 陷入黑暗的, 愚昧的"
setback,"n. 挫折, 退步, 逆流"
fret,"n. 烦躁, 磨损, 焦急, 网状饰物
vi. 烦恼, 不满, 磨损
vt. 使烦恼, 腐蚀, 使磨损, 使起波纹"
extinguish,"vt. 熄灭, 使消亡, 压制, 使减色
"
douse,"vt. 插入水中, 浇(或洒、泼)水在...上, 熄(灯、火等), 平息
vi. 浸泡
n. 泼洒"
evanescent,"a. 逐渐消失的, 容易消散的, 短暂的
"
ephemeral,"a. 朝生暮死的, 短命的, 短暂的
"
momentary,"a. 瞬间的, 刹那间的"
fleeting,"a. 疾驰的, 短暂的, 飞逝的"
transitory,"a. 暂时的, 短暂的, 昙花一现的
"
compatible,"a. 能共处的, 可并立的, 适合的
"
infuriating,"a. 令人大怒的
v. 使大怒, 激怒( infuriate的现在分词)"
dignified,"a. 有尊严的, 高尚的"
mightily,"adv. 强烈地, 非常地"
comity,"n. 礼貌, 礼让
"
civility,"n. 礼貌, 礼仪"
illuminate,"vt. 照明, 用灯装饰, 阐明, 说明, 使灿烂
vi. 照亮, 用灯装饰"
immerse,"vt. 沉浸, 使陷入
"
dwarf,"n. 矮子, 侏儒
v. (使)变矮小"
orthodox,"a. 正统的, 传统的, 惯常的"
blithe,"a. 愉快的, 高兴的"
cheerful,"a. 快活的, 高兴的, 兴高采烈的"
seditious,"a. 煽动性的, 妨害治安的
"
posit,"vt. 假设, 安置, 布置"
encyclopedic,"a. 如百科辞典的, 百科全书式的"
polymathic,a. polymath的变形
exhaustive,"a. 消耗的, 枯竭的, 彻底的, 详尽的"
comprehensive,"a. 广泛的, 有理解力的, 综合的
"
innate,"a. 先天的, 天生的
"
covet,"v. 妄想, 垂涎"
envy,"n. 羡慕, 嫉妒
vt. 羡慕, 嫉妒"
equivocal,"a. 意义不明确的, 模棱两可的
"
