actual,"a. 真实的, 实际的, 现行的
"
selection,"n. 选择, 选文, 精选品
"
sensation,"n. 感觉, 轰动
"
session,"n. 期间, 开庭期, 会议, 学期
"
situation,"n. 情形, 境遇, 位置
"
solution,"n. 解决, 解答, 溶液
"
specification,"n. 规格, 详述, 详细说明书
"
station,"n. 车站, 站, 局, 驻地, 位置, 身分, 地位
vt. 安置, 配置, 驻扎
"
succession,"n. 连续, 继承权, 继位, 演替, 地层次序
"
suggestion,"n. 提议, 意见
"
superstition,"n. 迷信
"
suspicion,"n. 怀疑, 觉察, 嫌疑
"
temptation,"n. 诱惑, 诱惑物
"
tension,"n. 紧张, 不安, 拉紧, 张力, 压力, 电压
vt. 拉紧, 使紧张"
tradition,"n. 传说, 传统, 交付
"
transaction,"n. 交易, 办理, 学报, 和解协议
"
transition,"n. 转变, 转换, 变迁, 过渡时期, 临时转调
"
translation,"n. 翻译, 译文, 转化, 调任, 平移, 转译
"
transmission,"n. 传输, 传送, 变速器
"
tuition,"n. 学费, 讲授"
TV,"n. 电视；电视机
abbr. (=television)
"
union,"n. 联盟, 联合, 结合, 工会
"
Marxism,"n. 马克思主义
"
socialism,"n. 社会主义, 社会主义运动"
capitalism,"n. 资本主义
"
communism,n. 共产主义
criticism,"n. 批评, 评论, 非难
"
mechanism,"n. 机械, 机构, 结构, 机理, 技巧
"
organism,"n. 生物, 有机体, 社会组织
"
socialism,"n. 社会主义, 社会主义运动"
psychiatrist,"n. 精神病医生, 精神病学家
"
violinist,"n. 小提琴演奏者, 小提琴家"
artist,"n. 艺术家, 画家"
chemist,"n. 化学家, 药剂师
"
Christ,"n. 基督, 救世主"
dentist,"n. 牙科医生
"
journalist,"n. 新闻记者, 从事新闻杂志业的人"
Marxist,"a. 马克思主义的
n. 马克思主义者"
physicist,"n. 物理学家, 机械唯物论者, 自然科学家
"
scientist,"n. 科学家
"
specialist,"n. 专门医师, 专家
a. 专业的, 专家的"
tourist,"n. 观光客, 旅行者
a. 旅游的"
typist,n. 打字员
cruelty,"n. 残酷, 野蛮, 残酷行为
"
purity,"n. 纯净, 纯正, 纯粹
"
anxiety,"n. 焦虑, 忧虑, 令人焦虑的事
"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
beauty,"n. 美, 美人"
capacity,"n. 容量, 能力, 才能, 资格
"
casualty,"n. 意外事故, 伤亡, 受害者
"
celebrity,"n. 名声, 名人"
certainty,"n. 确定, 确实的事情
"
charity,"n. 慈悲, 博爱, 慈善团体, 施舍
"
city,"n. 城市, 市
"
clarity,"n. 清楚, 明晰
"
commodity,"n. 农产品, 商品, 有用的物品
"
community,"n. 社区, 公众, 共有, 共同体
"
curiosity,"n. 好奇心, 新奇的事物, 珍品"
density,"n. 密度
"
dignity,"n. 尊严, 高贵
"
electricity,"n. 电, 电流, 电学, 热情, 电力供应
"
entity,"n. 实体, 实存物, 存在
"
equality,"n. 平等, 均匀, 相等
"
facility,"n. 容易, 灵巧, 设备
"
gravity,"n. 地心引力, 重力
"
hospitality,"n. 款待, 亲切, 殷勤"
humanity,"n. 人性, 人类, 博爱"
movement,"n. 运动, 动作, 运转, 移动, 倾向, 变化, 活动, 乐章
"
retirement,"n. 退休, 隐居, 撤退
"
agreement,"n. 同意, 合约, 协议
"
apartment,"n. 房间, 公寓"
appointment,"n. 约会, 委任的职位, 委派
"
argument,"n. 争论, 论证, 论据, 自变量
"
assignment,"n. 分配, 功课, 任务, 转让, 归因, 陈述
"
augment,"v. 增加, 增长
"
basement,"n. 地下室, 墙脚
"
cement,"n. 水泥, 胶结剂
vt. 胶合, 用水泥涂
vi. 黏牢"
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
compartment,"n. 分隔间, 卧车包房, 防水舱隔
"
complement,"n. 补足物, 补语, 补数
vt. 补充, 补足
"
compliment,"n. 称赞, 恭维, 敬意
vt. 称赞, 褒扬, 恭维"
department,"n. 部门, 系, 机关
"
element,"n. 元件, 元素, 要素
"
employment,"n. 雇用, 职业, 工作
"
engagement,"n. 诺言, 约会, 婚约, 交战
"
entertainment,"n. 娱乐, 款待, 娱乐表演"
environment,"n. 环境, 外界, 围绕
"
equipment,"n. 装备, 设备, 才能
"
establishment,"n. 确立, 制定, 设施
"
excitement,"n. 刺激, 兴奋
"
experiment,"n. 实验, 试验, 实验仪器
vi. 实验, 尝试"
fragment,"n. 碎片, 破片, 片段
"
garment,"n. 衣服, 衣装, 外表"
government,"n. 政府, 内阁
"
harassment,"n. 困扰, 烦扰, 烦恼
"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
installment,"n. 就职, 装设, 分期付款
"
instrument,"n. 工具, 手段, 仪器
"
investment,"n. 投资
"
judgement,"n. 审判, 判决, 判断
"
management,"n. 经营, 支配, 管理
"
moment,"n. 片刻, 瞬间, 重要, 阶段, 力矩
"
monument,"n. 纪念碑, 纪念物, 石碑"
ornament,"n. 装饰, 点缀品, 教堂用品
vt. 装饰, 修饰"
parliament,"n. 国会, 议会
"
pavement,"n. 路面, 人行道, 铺面路, 铺路材料"
payment,"n. 付款, 支付的款项(或实物), 偿还, 报应, 惩罚
"
refreshment,"n. 点心, 起提神作用的事物, 精神爽快"
replacement,"n. 归还, 更换, 代替者
"
requirement,"n. 需求, 必要条件, 要求
"
segment,"n. 片段, 部分, 分节, 段
v. 分割, 分裂
"
sentiment,"n. 感情, 感伤, 情操, 情绪, 感想, 意见
"
settlement,"n. 安顿, 解决, 处理, 结算, 殖民, 殖民地, 沉降
"
shipment,"n. 装船, 出货
"
statement,"n. 陈述, 指令, 声明
"
supplement,"n. 补充物, 增刊, 补充, 补遗, 补编, 附录, 补角
vt. 补充, 增补"
temperament,"n. 气质, 性格, 性情
"
torment,"n. 使人痛苦的东西, 折磨者, 苦痛
vt. 使苦恼, 纠缠, 歪曲, 拷问"
unemployment,"n. 失业, 失业人数
"
darkness,"n. 黑暗, 暗, 深色, 隐密, 模糊, 无知"
happiness,"n. 快乐, 幸运, 适当"
business,"n. 生意, 事情, 业务, 商业, 商行, 职责
"
goodness,"n. 仁慈, 善良"
harness,"n. 马具, 挽具状带子, 甲胄
vt. 给...上挽具, 驾驭, 披上甲胄, 利用...以产生动力"
illness,"n. 疾病, 恶意
"
kindness,"n. 仁慈, 亲切, 和蔼"
witness,"n. 证人, 目击者, 证据, 证词
vt. 目击, 作证, 证明, 表明
vi. 作证人, 作为证据"
climatology,"n. 气候学
"
futurology,"n. 未来学
"
biology,"n. 生物学
"
ecology,"n. 生态学, 社会生态学
"
geology,"n. 地质学, 地质情况"
ideology,"n. 思想体系, 意识形态, 观念学, 空论
"
psychology,"n. 心理学, 心理状态
"
sociology,"n. 社会学
"
technology,"n. 技术, 工业技术, 术语
"
friendship,"n. 友谊, 友爱, 友善"
scholarship,"n. 学问, 学术成就, 奖学金"
fellowship,"n. 伙伴关系, 共同参与, 团体, 奖学金, 友谊
"
hardship,"n. 艰难, 辛苦, 苦难
"
leadership,"n. 领导能力, 领导阶层"
membership,"n. 会员的资格, 全体会员, 会员数目
"
ownership,"n. 所有权, 物主身份
"
relationship,"n. 关系, 关联
"
spaceship,n. 宇宙飞船
worship,"n. 崇拜, 礼拜, 尊敬
vi. 参加礼拜
vt. 崇拜, 尊敬"
growth,"n. 生长, 栽培, 增长
"
width,"n. 宽度, 宽广, 广博
"
bath,"n. 沐浴, 浴室
"
birth,"n. 出生, 起源
"
booth,"n. 亭, 摊棚
"
breadth,"n. 宽度
"
breath,"n. 呼吸, 气息, 瞬间
"
cloth,"n. 布料, 织品, 布
"
commonwealth,n. 共和国；联邦；国民整体
death,"n. 死亡
"
depth,"n. 深度, 深处, 深奥
"
earth,"n. 地球, 泥土, 世界, 尘世
vt. 埋入土中, 赶入洞内
vi. 躲入洞内"
faith,"n. 信心, 信任, 忠实, 保证
"
health,"n. 健康, 卫生, 蓬勃, 健康状态
"
length,"n. 长度, 长, 期间, 一段
"
month,"n. 月
"
mouth,"n. 嘴, 口, 口腔, 口状物
vi. 装腔作势说话, 做鬼脸
vt. 说出, 做作地说"
myth,"n. 神话, 虚构的事, 虚构的人"
north,"n. 北方, 北
a. 北的, 北方的
adv. 向北方, 在北方"
oath,"n. 誓约, 誓言, 咒骂
"
path,"n. 路径, 小路, 道路, 途径, 路线, 轨道
"
south,"n. 南方, 南
a. 南的, 向南的
adv. 在南方
vi. 转向南方"
strength,"n. 力量, 实力, 强度, 浓度, 人数, 抵抗力
"
tooth,"n. 牙齿, 齿状物, 爱好
vt. 装以齿, 将...切成齿状
vi. 啮合"
truth,"n. 事实, 实情
"
warmth,"n. 温暖, 温情, 暖和, 激动, 生气"
wealth,"n. 财富, 资源, 财产, 丰富, 富裕, 大量
"
worth,"n. 价值, 财产
a. 值...的, 值得的"
wreath,"n. 花圈, 花环, 圈状物
"
youth,"n. 年轻, 青年时代, 青年们, 青春
"
closure,"n. 关闭
vt. 使终止"
exposure,"n. 暴露, 揭发, 揭露
"
adventure,"n. 冒险, 冒险经历
v. 冒险"
agriculture,"n. 农业
"
architecture,"n. 建筑学, 建筑式样
"
brochure,"n. 小册子, 小册"
capture,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
"
creature,"n. 人, 动物, 创造物, 生物"
culture,"n. 文化, 修养, 耕种
vt. 耕种, 培养"
departure,"n. 离开, 出发, 违背, 偏离
"
enclosure,"n. 附件, 围墙, 围绕
"
expenditure,"n. 开支, 费用, 用光, 消费额
"
failure,"n. 失败, 失败者, 不足, 缺乏, 破产
"
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
"
figure,"n. 数字, 价格, 图形, 形状
vt. 描绘, 表示, 演算, 认为
vi. 计算, 出现, 估计"
fixture,"n. 固定(状态), 固定物, 设备
"
fracture,"n. 破碎, 骨折
v. (使)破碎, (使)破裂"
furniture,"n. 家具, 帆具"
gesture,"n. 手势, 姿态
vi. 作手势, 作姿态"
infrastructure,"n. 基础结构, 基础设施
"
lecture,"n. 演讲, 谴责, 讲稿
vt. 演讲, 训诫, 说教
vi. 讲演"
leisure,"n. 空闲, 闲暇, 悠闲
a. 空闲的, 有闲的"
literature,"n. 文学, 文艺, 著作
"
lure,"n. 饵, 诱惑
vt. 引诱, 诱惑"
manufacture,"n. 产品, 制造
vt. 制造, 假造
vi. 制造"
measure,"n. 尺寸, 量度器, 量度标准, 测量, 量具, 程度, 范围, 限度, 分寸, 措施, 方法
vt. 测量, 测度, 估量, 权衡, 调节, 拿(自己或自己的力量等)作较量
vi. 度量"
miniature,"n. 缩图, 小画像
a. 小规模的, 纤小的"
mixture,"n. 混合, 混淆, 混合物
"
moisture,"n. 湿气, 水分, 降雨
"
nature,"n. 自然, 大自然, 本性, 性格, 性质
"
nurture,"n. 养育, 营养物, 培育
vt. 养育, 供给营养物, 教养"
pasture,"n. 牧场, 草地, 牧草
vt. 放牧
vi. 吃草"
picture,"n. 图画, 照片, 景色, 美丽如画的人(或物), 化身, 生动的描述, 想像, 形象思维
vt. 画, 拍摄, 用图说明, 描写, 想像
"
pleasure,"n. 快乐, 愉快, 令人高兴的事, 娱乐, 希望
v. (使)高兴"
posture,"n. 姿势, 态度, 情形, 形势
vt. 作...的姿势
vi. 作姿势"
pressure,"n. 压, 榨, 按, 强制, 压力, 压迫, 压强
vt. 迫使, 使增压, 密封"
procedure,"n. 程序, 过程, 手续
"
sculpture,"n. 雕刻, 雕塑
vt. 雕刻, 雕塑
vi. 当雕刻师"
signature,"n. 签字, 识别标志, 调号
"
structure,"n. 结构, 构造, 建筑物
vt. 构成, 组织"
temperature,"n. 温度, 发烧, 热度
"
texture,"n. (织物的)密度, (材料等的)结构, 纹理
"
torture,"n. 拷问, 苦闷
vt. 拷问, 曲解, 折磨, 使弯曲"
treasure,"n. 宝物, 财富
vt. 珍爱, 重视, 秘藏"
venture,"n. 冒险, 风险
vt. 敢于, 冒...的危险
vi. 冒险"
deepen,"vi. 深化
vt. 使加深, 使强烈"
fasten,"vt. 拴紧, 使固定, 系, 集中于, 强加于
vi. 扣紧"
burden,"n. 负担, 重载, 担子, 责任
vt. 装货于, 烦扰, 使负担"
enlighten,"vt. 教育, 启发, 启蒙, 开导, 教导"
frighten,"vt. 使惊吓
vi. 惊恐"
happen,"vi. 发生, 发生, 恰巧"
harden,"vt. 使变硬, 使坚强, 使冷酷
vi. 变硬, 变冷酷"
heighten,"vt. 增高, 提高, 加强
vi. 升高, 变大"
listen,"vi. 听, 倾听, 听从
n. 听, 倾听"
loosen,"vt. 放松, 松开, 解除
vi. 变松, 松弛"
threaten,"vt. 恐吓, 威胁, 预示...的凶兆
vi. 威胁, 恫吓, 可能来临"
waken,"vt. 唤醒, 使觉醒, 激发
vi. 觉醒, 醒来"
classify,"vt. 分类, 归类, 分等
"
simplify,"vt. 单一化, 简单化"
amplify,"vt. 增强, 放大, 扩大, 详述
vi. 引伸"
certify,"v. 证明, 保证"
clarify,"vi. 澄清, 阐明
vt. 使明晰"
exemplify,"vt. 例证, 例示
"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
justify,"vt. 替...辩护, 证明
vi. 证明合法
"
magnify,"vt. 放大, 扩大, 赞美, 夸大
vi. 有放大能力"
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
"
notify,"vt. 通知, 通告, 报告
"
purify,"vi. 变纯净
vt. 使纯净, 净化, 提纯, 精炼"
qualify,"vi. 取得资格, 有资格
vt. 使有资格, 使合格, 限定, 限制, 准予"
quantify,"vt. 定量, 用数量表示, 测量"
rectify,"vt. 订正, 矫正, 改正, 调正, 校正, 精馏, 整流
"
signify,"vt. 象征, 预示
vi. 要紧, 重要"
specify,"vt. 详列, 指定, 说明
"
terrify,"vt. 使恐惧, 恐吓"
testify,"v. 证明, 作证, 声明, 表明"
unify,"v. 统一, 使成一体"
verify,"vt. 证明, 查证, 证实, 检验, 校验
"
modernize,"vi. 现代化
vt. 使现代化"
popularize,"vt. 使成通俗性, 使平易, 使普及
vi. 通俗化"
advertise,"vt. 做广告, 通知, 公布
vi. 做广告"
advise,"vt. 劝告, 给...出主意, 通知, 建议
vi. 提意见, 商量"
apologise,vi. 道歉（等于apologize）
characterize,"vt. 描绘...的特性, 刻划...的性格"
civilize,"vt. 使开化, 使文明
vi. 变文明"
criticize,"v. 批评, 吹毛求疵, 非难"
emphasize,"vt. 强调, 加强语气, 着重"
generalize,"vt. 一般化, 概括, 推广
vi. 形成概念, 笼统讲"
industrialize,"vt. 使工业化
vi. 实现工业化"
minimize,"vt. 将...减到最少
vt. 最小化
vi. 最小化
"
mobilize,"vt. 动员, 调动, 使流通
vi. 动员"
organize,"vt. 组织, 有机化, 给予生机
vi. 组织起来"
realise,"vt. 实现, 认识到, 体会到, 了解, 认清, 使显得逼真, 变卖财产为现钱"
recognize,"vt. 认出, 认可, 承认, 公认, 识别, 赏识
vi. 承认, 具结"
seize,"vt. 抓住, 逮捕, 俘获, 没收, 扣押, 掌握
vi. 突然抓住, 利用"
summarize,"v. 概述, 总结"
sympathize,"vi. 同情, 怜悯, 同意, 体谅"
utilize,vt. 利用
bruise,"n. 青肿, 挫伤, 擦伤
vi. 受伤, 擦伤
vt. 使受伤, 研碎"
comprise,"vt. 包含, 构成"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
cruise,"n. 巡航, 巡弋, 漫游
v. 巡航, 巡弋, 漫游"
despise,vt. 轻视
devise,"vt. 设计, 发明, 图谋, 遗赠给
n. 遗赠"
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
exercise,"n. 行使, 执行, 运动, 练习, 作业
vt. 运用, 练习, 运动
vi. 练习, 锻炼"
practise,"v. 实践, 实行, 练习, 实习, 从事(职业)"
praise,"n. 赞美, 称赞, 崇拜
vt. 称赞, 赞美
vi. 赞扬, 表扬"
premise,"n. 前提, 房屋连地基, 上述各项
vt. 预先提出, 引出, 作为...的前提
vi. 作出前提"
promise,"n. 诺言, 约定的事情, 有指望
vt. 允诺, 约定, 预示
vi. 允诺, 有前途, 有指望"
supervise,"v. 监督, 管理, 指导"
surprise,"n. 惊奇, 奇袭, 诧异
vt. 使惊奇, 撞见, 奇袭"
concise,"a. 简洁的, 简明的"
enterprise,"n. 企业, 事业心, 进取心, 干事业
"
expertise,"n. 专家意见, 专门技术
"
merchandise,"n. 商品, 货物
v. 交易, 买卖"
noise,"n. 噪音, 杂音, 响声, 喧闹
vt. 谣传
vi. 喧闹
"
precise,"a. 精确的, 严谨的, 明确的
"
suitable,"a. 适当的, 相配的
"
questionable,"a. 可疑的
"
advisable,"a. 适当的, 明智的"
agreeable,"a. 令人愉快的, 同意的
"
amiable,"a. 亲切的, 和蔼可亲的
"
applicable,"a. 合适的, 可应用的
"
available,"a. 可利用的, 可获得的, 有效的
"
capable,"a. 有能力的, 能的, 能干的"
comfortable,"a. 舒服的, 轻松的
n. 盖被"
comparable,"a. 可比较的, 比得上的"
considerable,"a. 相当的, 可观的, 重要的"
desirable,"a. 令人想望的, 可取的"
durable,"a. 持久的, 耐用的"
fashionable,"a. 时髦的, 上流社会的, 流行的"
favorable,"a. 有利的, 赞许的, 良好的"
formidable,"a. 巨大的, 优秀的, 可怕的, 艰难的"
honorable,"a. 值得尊敬的, 荣耀的, 高贵的"
inevitable,"a. 不可避免的, 必然的
"
innumerable,"a. 无数的, 数不清的"
invaluable,"a. 无价的, 价值无法衡量的"
liable,"a. 有义务的, 应负责的, 有...倾向的
"
miserable,a. 悲惨的；痛苦的；卑鄙的
notable,"n. 著名人士, 值得注意之事物
a. 值得注意的, 显著的"
noticeable,"a. 显而易见的, 显著的, 值得注意的"
portable,"a. 可携带的, 可搬运的, 可移动的
"
preferable,"a. 更可取的, 更好的, 更合意的"
probable,"a. 很可能的, 大概的, 可信的
n. 很有希望的候选人, 很可能的事情"
profitable,"a. 有利润的, 有利益的, 赚钱的
"
reasonable,"a. 合理的, 明理的, 适当的
"
reliable,"a. 可靠的, 可信赖的
"
remarkable,"a. 不平常的, 值得注意的, 显著的"
sociable,"a. 好交际的, 社交的, 过社会生活的
n. 联谊会"
stable,"n. 马房, 牛棚
a. 稳定的, 安定的, 坚固的, 坚定的
vt. 赶入马房
vi. 被关在马厩"
valuable,"a. 有价值的, 贵重的, 宝贵的, 可估价的
"
variable,"n. 易变的事物, 变数, 可变物, 变量
a. 可变的, 不定的, 易变的, 变量的
"
vegetable,"n. 蔬菜, 植物, 无精打采之人
a. 蔬菜的, 植物的"
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
"
compatible,"a. 能共处的, 可并立的, 适合的
"
edible,"n. 食品, 食物
a. 可食用的"
eligible,"a. 有资格当选的, 合格的
n. 有资格者, 合格者, 适任者"
feasible,"a. 能实行的, 可行的, 适宜的
"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
"
horrible,"a. 可怕的, 遭透的, 极讨厌的"
impossible,"a. 不可能的, 难以置信的, 令人无法忍受的"
incredible,a. 难以置信的
intelligible,"a. 可理解的, 易理解的, 纯概念性的"
invisible,"a. 看不见的, 无形的
"
negligible,"a. 可以忽略的, 不足取的, 无用的
"
plausible,"a. 貌似真实的, 貌似合理的, 说得煞有其事的
"
possible,"a. 可能的, 潜在的, 合适的
n. 可能性, 可能的事物"
responsible,"a. 有责任的, 负责的, 责任重大的
"
sensible,"a. 有感觉的, 敏感的, 明智的
"
susceptible,"a. 易受影响的, 易感动的, 容许...的
"
terrible,"a. 可怕的, 令人恐惧的, 极坏的"
visible,"a. 看得见的, 明显的, 显然的
n. 可见物"
feeble,"a. 微弱的, 衰弱的, 无效的
"
humble,"a. 低下的, 谦逊的, 粗陋的
vt. 使...卑下, 降低...地位, 贬抑"
noble,"n. 贵族
a. 高贵的, 高尚的, 贵族的, 辉煌的"
soluble,"a. 溶解的, 可溶解的, 可以解决的
"
natural,"n. 白痴
a. 自然的, 自然界的, 本能的, 天然的, 物质的, 正常的, 原始的, 自然数的"
structural,"a. 结构的, 建筑的
"
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
accidental,"a. 意外的, 偶然的, 非主要的, 附属的
n. 临时记号, 次要方面"
actual,"a. 真实的, 实际的, 现行的
"
additional,"a. 附加的, 另外的, 额外的
"
artificial,"a. 人造的, 假的, 非原地产的
"
aural,"a. 耳的, 听觉的, 气氛的, 气味的, 光环的
"
beneficial,"a. 有益的, 受益的
"
brutal,"a. 残忍的, 野蛮的, 不讲理的"
casual,"a. 偶然的, 不经意的, 便装的
n. 临时工, 待命士兵"
central,"a. 中央的, 重要的
"
confidential,"a. 机密的, 获他人信赖的, 易于信任他人的
"
continual,"a. 持续不断的, 继续的
"
controversial,"a. 争论的, 论争的, 被议论的"
conventional,"a. 传统的, 习惯的, 约定的
"
cordial,"n. 兴奋剂, 补品
a. 热忱的, 诚恳的, 有兴奋作用的"
crucial,"a. 决定性的, 重要的, 严厉的
"
dental,"a. 牙齿的
"
exceptional,"a. 例外的, 异常的, 特别的"
experimental,"a. 实验的, 根据实验的
"
external,"n. 外部, 外面
a. 外部的, 客观的, 表面的"
fatal,"a. 致命的, 重大的, 命运注定的, 粗心的, 不幸的
"
federal,"a. 联邦的, 联合的, 同盟的
"
feudal,"a. 封建制度的, 封地的, 领地的"
financial,"a. 财政的, 金融的
"
formal,"a. 正式的, 形式的, 礼仪的, 拘于礼节的, 拘谨的
n. 正式的社交活动"
global,"a. 通用的, 全球的, 球形的, 综合的, 普遍的
"
gradual,"a. 逐渐的, 渐增的
n. 弥撒升阶圣歌"
horizontal,"n. 水平线, 水平面, 水平位置
a. 水平线的, 平坦的, 横的
n. 水平
"
illegal,"a. 违法的, 不合规定的
"
imperial,"a. 帝王的, 宗主国的, 至尊的, 壮丽的
n. 特等品"
industrial,"a. 工业的, 供工业用的, 工业高度发展的, 产业的
n. 工业工人, 工业股票"
influential,"a. 有影响的, 有势力的"
instrumental,"a. 仪器的, 器具的, 可作为手段的
"
integral,"n. 整体, 积分, 整数
a. 固有的, 整体的, 整数的, 积分的
"
internal,"a. 内在的, 国内的
"
international,"a. 国际的
n. 国别设定
"
judicial,"a. 法庭的, 公正的, 审判上的, 司法的
"
legal,"a. 法律的, 法定的, 合法的
"
liberal,"n. 自由主义者
a. 慷慨的, 不拘泥的, 宽大的, 自由主义的"
local,"a. 地方性的, 当地的, 局部的, 乡土的, 本地的
n. 当地居民, 本地新闻, 局部
"
loyal,"a. 忠诚的, 忠实的, 忠贞的"
marginal,"a. 边缘的, 最低限度的, 有旁注的
"
marital,"a. 丈夫的, 婚姻的, 夫妇间的
"
medieval,"a. 中古的, 中世纪的"
mental,"a. 心智的, 精神病的, 心理的, 颏的
n. 精神病患者"
municipal,"a. 市政的, 自治区的, 内政的
"
mutual,"a. 相互的, 共有的
"
national,"a. 国家的, 国立的, 全国性的, 民族的
"
optional,"a. 可选择的, 随意的
"
natural,"n. 白痴
a. 自然的, 自然界的, 本能的, 天然的, 物质的, 正常的, 原始的, 自然数的"
neutral,"n. 中立者, 中立国, 非彩色, 空档
a. 中立的, 中性的, 无色的"
nominal,"a. 名义上的, 名字的, 有名无实的, 稍许的
n. 名词性词"
normal,"n. 常态, 标准, 正常, 普通
a. 正常的, 正规的, 标准的, 师范的, 正态的
"
occasional,"a. 偶然的, 临时的
"
operational,"a. 操作的, 运作的
"
oral,"n. 口试
a. 口头的, 口述的, 口部的"
partial,"a. 部分的, 偏袒的, 偏爱的
n. 分音"
perpetual,"a. 永久的, 不断的, 无期限的, 没完没了的, 四季开花的
"
personal,"a. 私人的, 涉及隐私的, 有人性的, 人称的, 亲自的, 身体的
"
punctual,"a. 准时的, 守时的, 点状的, 中肯的
"
racial,"a. 人种的, 种族的
"
rational,"a. 理性的, 合理的
n. 有理数"
reciprocal,"a. 互惠的, 相互的, 相等的, 倒数的, 彼此相反的
n. 倒数, 互相起作用的事物"
royal,"n. 王室, 皇族
a. 王室的, 皇家的, 盛大的, 庄严的"
rural,"a. 乡下的, 田园的, 乡村风味的
"
several,"a. 几个的, 一些的, 各自的
pron. 几个"
social,"a. 社会的, 群居的, 社交的
n. 联欢会"
special,"n. 专辑, 专车, 号外, 特别的东西, 负有特别任务的人员
a. 特别的, 专门的, 特殊的, 额外的, 附加的, 特别亲密的"
spiritual,"a. 精神上的, 神圣的, 崇高的, 高尚的, 鬼的, 招魂术的
n. 有关教会的事"
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
thermal,"a. 热的, 热量的, 温泉的
n. 上升温暖气流"
trivial,"a. 琐碎的, 不重要的, 轻微的, 平常的"
universal,"a. 全世界的, 普遍的, 宇宙的, 通用的
n. 一般概念"
unusual,"a. 不寻常的, 罕见的, 与众不同的"
usual,"a. 平常的, 通常的"
verbal,"a. 用言辞的, 言语的, 口头的, 逐字的, 动词的
"
virtual,"a. 实际上起作用的, 虚的, 实质的, 有效的, 事实上生效的
"
visual,"a. 视觉的
"
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
"
aerial,"a. 空中的, 航空的, 空气的, 空想的
n. 天线"
animal,"n. 动物
"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
capital,"n. 首都, 大写字母, 资本
a. 首都的, 重要的"
cardinal,"n. 红衣主教, 鲜红色
a. 主要的, 深红色的"
colonial,"a. 殖民的, 殖民地的
"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
criminal,"n. 罪犯, 犯人, 刑事
a. 犯了罪的, 刑事的, 有罪的"
crystal,"n. 水晶, 水晶装饰品, 结晶
a. 水晶的, 水晶一样的, 透明的"
decimal,"a. 十进位的, 小数的
n. 十进制, 小数
"
digital,"a. 数字显示的, 数字的
n. 数字仪表, 数字式电子表(或时钟)
"
equal,"n. 对手, 匹敌, 同辈
a. 相等的, 平等的, 胜任的, 合适的, 平静的, 不相上下的
vt. 等于, 比得上
"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
final,"n. 期末考试, 结局, 决赛
a. 最后的, 终极的, 决定性的"
fundamental,"n. 基本原理, 原则, 基波
a. 基本的, 重要的, 原音的"
general,"n. 一般, 将军, 大体
a. 全面的, 大体的, 总的, 一般的, 普遍的
n. 常规
"
ideal,"n. 理想, 典范, 观念, 思想, 最后目标
a. 理想的, 完美的, 空想的, 观念的, 唯心论的"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
manual,"n. 手册, 指南
a. 手的, 手动的, 手工的, 体力的
"
material,"n. 材料, 物资, 素材, 布料, 资料
a. 物质的, 肉体的, 重要的"
memorial,"n. 纪念物, 请愿书
a. 记念的, 记忆的"
mineral,"n. 矿物, 无机物, 苏打水
a. 矿物的, 似矿物的"
moral,"n. 道德, 品行, 寓意
a. 道德的, 品性端正的, 精神上的"
mortal,"n. 生物, 人类
a. 不免一死的, 人类的, 临终的"
official,"n. 官员, 公务员, 职员
a. 公务的, 官方的, 正式的"
oriental,"n. 东方人, 亚洲人
a. 东方诸国的, 亚洲的, 东方的"
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
oval,"n. 椭圆形
a. 卵形的, 椭圆形的"
plural,"n. 复数
a. 复数的, 两个以上的"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
