similar,"a. 相似的, 类似的
n. 相似的东西"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
conservation,"n. 保护, 保存
"
conservative,"a. 保守的, 守旧的, 有保存力的
"
amaze,vt. 使吃惊
amazing,a. 令人惊异的
amuse,"vt. 消遣, 娱乐, 使发笑"
amusement,"n. 兴味, 娱乐, 消遣
"
confuse,"vt. 使混乱, 使狼狈, 使困惑
"
annoy,"vt. 使恼怒, 骚扰"
awkward,"a. 笨拙的, 棘手的"
aspect,"n. 外观, 方面, 面貌, 方向
"
angle,"n. 角, 角度, 角落
vi. 钓鱼, 谋取, 博取, 斜向移动, 转变角度
vt. 使转动角度, 在...钓鱼, 获取"
trip,"n. 旅行, 绊倒, 摔倒, 失足, 差错, 旅程
vt. 使跌倒, 使犯错, 使失败
vi. 轻快地走, 绊倒, 失误, 犯错, 结巴, 旅行, 远足"
travel,"n. 旅行, 游历, 行进
vi. 旅行, 行进, 移动, 被传播
vt. 旅行, 通过, 使移动"
tour,"n. 旅游, 观光旅行, 任期
vi. 旅行, 周游, 巡回
vt. 周游, 观光, 游历, 使巡回演出"
tourism,"n. 观光业, 游览
"
decorate,v. 装饰
decoration,"n. 装饰, 装饰品"
classify,"vt. 分类, 归类, 分等
"
classic,"n. 古典作品, 杰作, 大艺术家
a. 第一流的, 最优秀的, 古典的"
occupy,"vt. 占领, 占(时间、空间等), 住进, 担任, 使从事, 使全神贯注
"
occupation,"n. 职业, 占有, 占有期, 占领, 占领军
"
paint,"n. 油漆, 颜料, 绘画作品, 涂漆
vt. 油漆, 绘, 画, 描绘, 装饰, 点缀
vi. 绘画, 涂漆"
accommodation,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款
"
equip,"vt. 装备, 配备
"
equipment,"n. 装备, 设备, 才能
"
lay,"vt. 放置, 产, 铺设, 布置, 提出, 平息
vi. 下蛋, 打赌
n. 位置, 层, 隐藏处
a. 世俗的, 外行的
lie的过去式"
settle,"n. 有背长椅
vt. 决定, 整理, 安放, 使定居, 使平静, 支付, 安排, 解决, 结算
vi. 停留, 下陷, 沉淀, 澄清, 安下心来, 结清, 定居, 安家"
settlement,"n. 安顿, 解决, 处理, 结算, 殖民, 殖民地, 沉降
"
solid,"n. 固体
a. 坚硬的, 稳固的, 固体的, 实心的, 纯质的, 立体的, 立方的
"
fierce,"a. 凶猛的, 猛烈的, 热烈的, 暴躁的"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
notice,"n. 注意, 布告, 通知, 预告, 短评
vt. 注意, 通知, 评论, 提及, 关注
vi. 注意"
evident,"a. 显然的, 明显的"
evidence,"n. 根据, 证据, 迹象
"
choose,"vt. 选择, 宁愿, 欲
vi. 作出选择, 愿意
"
choice,"n. 选择, 精选品, 选择权
a. 精选的, 挑三拣四的, 上等的
"
select,"a. 挑选出来的, 极好的
v. 选择, 挑选
n. 被挑选者, 精萃
"
glance,"n. 一瞥, 闪光, 掠过, 辉矿类
vi. 扫视, 闪光, 掠过, 提到, 略说
vt. 扫视, 反射, 使掠过"
stare,"vi. 注视, 凝视, 瞪视, 显眼
vt. 盯
n. 凝视"
glare,"n. 闪耀光, 刺眼
vi. 发眩光, 瞪视
vt. 瞪眼表示"
overlook,"vt. 俯瞰, 远眺, 没注意到
n. 眺望, 俯瞰到的景色"
boil,"n. 煮沸, 沸腾, 疖
v. 煮沸, 激动"
mess,"n. 食堂, 伙食, 用膳, 一份食品, 混乱, 乱七八糟, 困境
vt. 将...弄糟, 妨碍, 使紊乱, 使就餐
vi. 陷入困境, 搞乱, 用膳"
various,"a. 不同的, 各种的, 多方面的, 许多的, 个别的, 杂色的
"
diverse,"a. 不同的, 变化多的"
affair,"n. 事件, 事务, 恋爱事件"
task,"n. 工作, 任务, 作业, 困难的工作
vt. 派给...工作, 使辛劳
"
dislike,"n. 嫌恶
vt. 讨厌, 不喜欢"
shortly,"adv. 不久, 简短, 唐突地"
blow,"n. 吹, 打击, 殴打, 花开
v. 吹, 风吹, 吹响, 开花"
topic,"n. 主题, 论题, 话题"
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
subjective,"a. 主观的, 个人的
"
knock,"n. 敲, 敲打, 敲门
v. 敲击, 互撞, 攻击"
share,"n. 部分, 参与, 一份, 参股, 份额
vt. 均分, 分担, 分享, 分配, 共有
vi. 分享
"
realise,"vt. 实现, 认识到, 体会到, 了解, 认清, 使显得逼真, 变卖财产为现钱"
realize,"vt. 了解, 实现, 使显得逼真, 变卖
vi. 变卖"
reality,"n. 实在, 事实, 实体, 逼真
"
ignore,"vt. 不理睬, 忽视, 驳回, 忽略
"
suffer,"vt. 遭受, 经历, 忍受
vi. 受痛苦, 受损害"
suffering,"n. 苦难, 受苦"
copy,"n. 副本, 摹仿, 一册
v. 复印, 抄袭, 复制
"
misunderstand,"vt. 误解, 误会"
flow,"n. 流程, 流动, 流量, 洋溢, 泛滥, 涨潮
vi. 流动, 流泄, 畅流, 川流不息, 飘扬, 涌出
vt. 使流动, 淹没, 流出"
pour,"n. 流出, 倾泻, 骤雨
vt. 倒, 灌, 注, 倾泻, 诉说, 倾吐
vi. 倾泻, 蜂涌而来, 下大雨"
imagine,"vt. 想像, 设想, 猜测
vi. 想像起来"
section,"n. 区段, 部分, 区域, 节, 截面, 处, 科, 区, 扇区
vt. 把...分段, 把...切片
vi. 被切成片
"
district,"n. 区域, 地方
"
zone,"n. 地带, 带, 地区
vt. 环绕, 使分成地带
vi. 分成区
"
department,"n. 部门, 系, 机关
"
depart,"vi. 离开, 出发, 背离, 违反, 去世"
departure,"n. 离开, 出发, 违背, 偏离
"
material,"n. 材料, 物资, 素材, 布料, 资料
a. 物质的, 肉体的, 重要的"
raw,"n. 擦伤处, 半成品
a. 生的, 未加工的, 生疏的, 不成熟的, 阴冷的, 刺痛的, 擦掉皮的
vt. 擦伤
"
fact,"n. 事实, 真实性, 真相, 细节, 论据"
deed,"n. 行为, 实行, 契约
vt. 立契转让"
indeed,"adv. 的确, 实在, 真正地, 甚至"
enthusiastic,"a. 狂热的, 热心的, 热烈的"
dynamic,"a. 动态的, 有活力的, 有力的, 动力的, 不断变化的
n. 动力, 动态
"
eager,"a. 热心的, 渴望的, 热望的"
honest,"a. 诚实的, 坦直的, 可靠的"
plain,"n. 平原, 草原, 朴实无华的东西, 无格式
a. 简单的, 明白的, 平常的, 不好看的, 朴素的, 清晰的, 普通的, 平坦的, 十足的
adv. 清楚地, 显然地
"
sincerely,adv. 真诚地
devote,"vt. 投入于, 献身"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
commitment,"n. 委托, 交押, 承担义务, 赞助
"
ambition,"n. 野心, 志向"
aim,"n. 目标, 瞄准, 击中目标的能力
vi. 对准目标, 致力, 打算
vt. 瞄准
"
goal,"n. 目标, 终点, 得分, 球门, 守门员
vi. 攻门, 射门得分"
target,"n. 目标, 靶子, 指标
vt. 对准, 订指标"
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
administration,"n. 行政, 管理, 政府机关
"
corporation,"n. 公司, 合作, 法人团体
"
add,"vt. 增加, 添加, 附带说明, 计算...总和
vi. 做加法, 积累而成, 增添
"
addition,"n. 加法, 增加的人(或物)
"
plus,"prep. 加上, 加, 外加
a. 正的, 附加的
n. 正号, 加号, 附加额, 正数, 增益
"
introduce,"vt. 介绍, 引入, 采用, 输入
"
introduction,"n. 介绍, 传入, 采用, 初步"
deliver,"vt. 递送, 陈述, 释放, 发表, 引渡, 投递, 交付
"
convey,"vt. 传达, 运输, 转让
"
transport,"n. 运输, 运输工具, 激动, 狂喜, 流放犯
vt. 传送, 运输, 流放
"
grasp,"n. 把握, 抓紧, 理解, 抓, 柄, 控制
vt. 抓住, 紧握, 领会
vi. 抓"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
consumer,"n. 消费者
"
custom,"n. 习惯, 风俗, 海关, 自定义
a. 定制的
"
accustomed,"a. 惯常的, 习惯了的"
export,"n. 输出品, 输出
vt. 输出, 出口
vi. 输出物资
"
import,"n. 进口货, 进口, 输入, 含义, 重要性
vt. 输入, 引入, 进口, 含...的意思, 重要
vi. 有关系
"
advertise,"vt. 做广告, 通知, 公布
vi. 做广告"
advertisement,"n. 广告, 启事, 广告宣传
"
ad,"n. 广告
"
brand,"n. 商标, 牌子, 烙印
vt. 打烙印于"
cycle,"n. 周期, 循环, 自行车, 一段时间, 整套
vi. 循环, 轮转, 骑自行车
vt. 使循环, 使轮转
"
recycle,"vt. 使再循环, 重新利用, 再制
n. 再循环"
schedule,"n. 时间表, 一览表, 计划表, 议事日程
vt. 预定, 编制目录, 制...表, 安排"
daily,"a. 每日的, 日常的
adv. 每日地, 日常地
n. 日报"
punctual,"a. 准时的, 守时的, 点状的, 中肯的
"
delay,"n. 耽搁, 迟滞
v. 耽搁, 延迟
"
postpone,"vt. 延迟, 使延期, 缓办, 搁延
vi. 延缓, 延缓发作"
cancel,"n. 取消, 撤消, 盖销(邮票)
vt. 取消, 删去, 抵销, 盖销
vi. 相互抵销
"
pause,"n. 暂停, 中止, 停顿, 间歇, 踌躇, 休止符
vi. 暂停, 中止, 停顿, 踌躇
"
hesitate,"vi. 犹豫, 迟疑, 踌躇, 支吾, 停顿"
wise,"a. 明智的, 慎虑的, 聪明的, 博学的, 狡猾的, 机灵的
vi. 知道
vt. 教导, 告诉, 劝导
n. 方法, 方式
"
wisdom,"n. 智慧, 明智行为, 学识, 名言, 贤人"
legal,"a. 法律的, 法定的, 合法的
"
illegal,"a. 违法的, 不合规定的
"
law,"n. 法律, 法则, 定律, 法律的制约, 法学, 司法界, 诉讼
v. 起诉"
valid,"a. 有确实根据的, 有法律效力的, 正当的, 正确的
"
innocent,"a. 无罪的, 不懂事的, 无知的
n. 天真的人, 笨蛋"
mature,"a. 成熟的, 到期的, 充分考虑的
vt. 使成熟
vi. 成熟, 到期"
fresh,"a. 新鲜的, 新奇的, 另外的, 淡的, 精神饱满的, 冒失的
adv. 最新地, 刚刚
n. 开始, 泛滥"
refresh,"vt. 使清新, 使恢复, 使生气蓬勃
vi. 提起精神, 恢复精神, 吃点心, 喝饮料
vt. 刷新, 重新整理
vi. 刷新, 重新整理
"
apart,"adv. 成零碎, 成距离, 分别地, 分离着
a. 分离的"
apartment,"n. 房间, 公寓"
flat,"a. 平坦的, 单调的, 无力的, 浅的, 萧条的, 干脆的, 无聊的
adv. 平直地, 断然地
n. 扁平物, 平面, 平地, 平原, 平板车
v. (使)变平"
weight,"n. 重, 重量, 体重, 砝码, 重大, 影响, 力量
vt. 加重量于, 压迫, 使加权, 称重量
"
weigh,"vt. 称...重量, 衡量, 把...压弯, 考虑, 权衡, 起锚
vi. 称分量, 有意义, 重压, 起锚
n. 过秤, 称分量"
loose,"n. 发射, 放任, 放纵
a. 宽松的, 松的, 宽的, 不牢固的, 散漫的, 自由的, 不精确的
vt. 释放, 放枪, 开船
vi. 变松, 开火
adv. 松散地"
tight,"a. 紧的, 密封的, 吝啬的, 严厉的
adv. 紧紧地"
rigid,"a. 坚硬的, 刚性的, 严格的, 精密的, 刻板的"
strict,"a. 严厉的, 绝对的, 详尽的, 严格的, 精确的
"
precise,"a. 精确的, 严谨的, 明确的
"
approximately,"adv. 大约, 大致, 近于
"
assess,"vt. 估定, 对...征税, 评定
"
beg,"v. 乞求, 乞讨, 请求"
seek,"vt. 寻求, 寻找, 探索, 追求, 搜索, 请求
vi. 寻找, 搜索
"
remain,"vi. 保持, 逗留, 剩余
"
desert,"n. 沙漠, 应得的赏罚, 功劳
a. 沙漠的, 不毛的
vt. 放弃, 遗弃, 擅离
vi. 逃掉"
proud,"a. 骄傲的, 自大的, 自豪的, 辉煌的, 壮丽的"
pride,"n. 骄傲, 自尊心, 自豪, 精华, 勇气
vt. 以...自豪"
prejudice,"n. 偏见, 成见, 侵害
vt. 使存偏见, 使有成见, 侵害"
stubborn,"a. 顽固的, 不听话的, 执拗的, 棘手的"
wonderful,"a. 令人惊奇的, 奇妙的, 极好的"
wonder,"n. 奇迹, 惊奇, 惊愕
vt. 惊奇, 想知道
vi. 惊讶, 怀疑"
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
glory,"n. 光荣, 荣耀, 荣誉, 壮丽, 繁荣
vi. 自豪"
award,"n. 奖品, 裁定, 判决
vt. 授予, 给予"
reward,"n. 报酬, 酬谢, 赏金
vt. 奖赏, 酬谢, 给...应有报应"
prize,"n. 奖赏, 奖金, 奖品, 战利品, 捕获
a. 得奖的
vt. 珍视, 估价, 捕获, 撬, 撬动"
single,"a. 单身的, 单程的, 单一的, 个别的, 孤独的, 专一的
n. 一个, 单打, 单程票
vt. 选出
vi. 击出一垒打
"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
self,"n. 自己, 自我, 本性, 本质, 私心, 本人
vt. 使近亲繁殖, 使自花授精
vi. 自花授精
a. 同一的"
bachelor,"n. 单身汉, 学士
"
marry,"vt. 与...结婚, 娶, 嫁
vi. 结婚"
spot,"n. 污点, 地点, 斑点, 点, 娱乐场所, 处境, 少量
a. 当场的, 现场的, 现货买卖的, 现金交易的, 抽样的
vt. 点缀, 玷污, 认出, 准确定...的位, 用灯光照射
vi. 玷污, (从空中)侦察敌方目标"
blank,"n. 空格, 空白
a. 空白的, 空虚的, 完全的, 无色的
vi. 消失, 成为空白
vt. 使无效, 取消, 封锁
"
stain,"n. 污染, 污点, 着色剂
vt. 沾染, 染污, 着色
vi. 变脏"
shelter,"n. 庇护所, 避难所, 庇护, 隐蔽处, 掩蔽
vt. 庇护, 保护, 隐匿
vi. 躲避"
relief,"n. 减轻, 解除, 救济, 安慰, 调剂, 浮雕, 换班, (地势的)起伏
"
defend,"vt. 防护, 辩护, 防卫
"
defence,"n. 防卫, 防卫设备
"
defense,"n. 防卫, 防卫物
"
guard,"n. 守卫者, 警戒, 护卫队, 防护装置
vt. 保卫, 看守, 当心
vi. 防止, 警惕, 警卫, 看守"
duty,"n. 责任, 关税, 职务, 尊敬
"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
mistake,"n. 错误, 误会
vi. 犯错, 误认
vt. 误解, 弄错
"
fault,"n. 过错, 故障, 毛病
vt. 挑剔
vi. 产生断层, 弄错
"
error,"n. 错误, 过失, 失误, 误差
"
shortcoming,"n. 缺点, 短处"
otherwise,"adv. 否则, 不同地, 别的方式"
bare,"a. 赤裸的, 缺少的, 无遮蔽的, 坦率的
vt. 使赤裸, 露出"
grand,"a. 庄重的, 壮观的, 显赫的, 重大的, 最高的, 雄伟的, 宏大的, 豪华的, 傲慢的
"
distinguish,"v. 区别, 辨别"
distinction,n. 区别
discuss,"vt. 讨论, 论述
"
discussion,n. 讨论
announce,"vt. 宣布, 声称, 显示, 预告
vi. 当报幕员, 宣布参加竞选"
broadcast,"n. 广播, 传播
a. 广播的
v. 广播
adv. 经广播, 四散地
"
industry,"n. 勤劳, 工业, 企业, 产业, 有组织的劳动
"
agriculture,"n. 农业
"
harvest,"n. 收获, 成果, 收获物, 收获期
v. 收割, 收获"
exchange,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所
v. 交换, 交易, 兑换
"
bargain,"n. 交易, 买卖协定, 特价商品
v. 讲价, 交易"
trade,"n. 贸易, 商业, 交易, 生意, 职业, 顾客, 信风
vi. 进行交易, 做买卖, 经商, 对换, 购物
vt. 用...进行交换"
business,"n. 生意, 事情, 业务, 商业, 商行, 职责
"
enterprise,"n. 企业, 事业心, 进取心, 干事业
"
company,"n. 公司, 友伴, 交往, 连队, 朋友, 一群
vt. 陪伴
vi. 交往"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
companion,"n. 朋友, 陪伴, 指南, 升降口围罩
vt. 陪伴"
couple,"n. 对, 夫妇, 数个
vt. 使成双, 连接, 使成婚, 把...联系起来
vi. 结合, 成婚"
colleague,"n. 同事, 同僚"
fellow,"n. 男人, 朋友, 同事
a. 同伴的, 同事的, 同道的"
folk,"n. 人们, 家人, 亲属, 民族
a. 民间的"
undertake,"vt. 试图, 从事, 保证, 承担, 同意, 接受
"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
movement,"n. 运动, 动作, 运转, 移动, 倾向, 变化, 活动, 乐章
"
sacrifice,"n. 牺牲, 供奉, 祭品
vt. 牺牲, 祭祀, 贱卖
vi. 献祭"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
victim,"n. 受害人, 牺牲者, 牺牲品
"
blind,"n. 蒙蔽物, 窗帘
a. 盲目的, 瞎的, 不加思考的
vt. 使失明, 蒙蔽, 遮暗
adv. 盲目地"
sponsor,"n. 保证人, 赞助者, 发起者, 倡议者, 教父
vt. 发起, 赞助, 倡议"
donate,v. 捐赠
organise,"vt. 组织, 有机化, 给予生机"
organize,"vt. 组织, 有机化, 给予生机
vi. 组织起来"
organisation,"n. 组织, 团体, 体制, 编制"
organization,"n. 组织, 结构, 团体, 体制
"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
academy,"n. 学院, 院校, 学会"
institute,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
institution,"n. 机构, 惯例, 制度
"
branch,"n. 树枝, 支店, 支流, 分部
vi. 分支, 出枝
vt. 分割, 用枝状叶脉刺绣花纹装饰
"
committee,"n. 委员会
"
faith,"n. 信心, 信任, 忠实, 保证
"
religion,"n. 宗教, 信仰
"
pray,"v. 祈祷, 恳求, 请"
parallel,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
"
suitable,"a. 适当的, 相配的
"
suit,"n. 套装, 诉讼, 请求, 起诉, 套, 组
vt. 适合, 使适应
vi. 合适, 相称"
willing,"a. 乐意的, 自愿的, 甘愿的"
swift,"n. 褐雨燕, 快速爬行的小蜥蜴, 蝙蝠蛾, 大滚筒
a. 迅速的, 快的, 敏捷的, 立刻的
adv. 迅速地, 敏捷地
"
hurry,"n. 匆忙, 急忙, 急促
vt. 急派, 催促
vi. 匆忙, 赶快"
rapid,"a. 迅速的, 飞快的, 急促的, 陡的
n. 急流"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
probably,"adv. 大概, 或许"
likely,"a. 有可能的, 合适的, 前途有望的
adv. 或许, 可能"
unlike,"a. 不像的, 不同的
prep. 不像, 和...不同"
alike,"a. 相似的, 同样的
adv. 一样, 以同样的方式"
lately,"adv. 近来, 最近"
screen,"n. 幕, 银幕, 屏风, 掩蔽物, 屏蔽, 筛子
vt. 掩蔽, 放映, 拍摄, 掩护, 筛, 甄别
vi. 拍电影
"
repair,"n. 修理, 补救, 修复
vt. 修理, 修补, 补救, 恢复, 补偿
vi. 修理, 修补, 补救, 恢复, 去, 常去, 集合"
beyond,"prep. 超过, 在那一边, 迟于
adv. 在远处
n. 更远处"
adequate,"a. 适当的, 足够的
"
distribute,"vt. 分配, 散布, 分发
"
seal,"n. 印章, 封条, 海豹, 海豹皮, 火漆, 封蜡, 玺, 保证, 批准, 象征, 标志
vt. 封闭, 盖印, 盖章
vi. 猎海豹"
seed,"n. 种子, 籽, 萌芽, 子孙, 精液
vt. 在...播种, 催...发育, 脱...籽
vi. 结实, 播种"
sob,"vi. 啜泣, 呜咽
vt. 哭诉, 哭得使
n. 啜泣, 呜咽"
yell,"vi. 叫喊, 大叫, (齐声)呐喊欢呼
vt. 喊叫着说
n. 叫声, 喊声, 呐喊"
sigh,"n. 叹息
vi. 叹息, 渴望
vt. 叹息着说"
howl,"n. 嗥叫, 吠声, 号叫
vi. 狂吠, 咆哮, 呼啸
vt. 对...吼叫, 狂喊着说"
clumsy,"a. 笨拙的, 不雅观的, 粗陋的"
deliberately,adv. 故意地
accident,"n. 意外事件, 机遇, 事故, 次要方面
"
incident,"n. 事件, 事变, 小事
a. 附带的, 易于发生的, 外来的, 入射的"
coincidence,"n. 巧合, 同时发生
"
entire,"n. 整个, 全部
a. 全体的, 完全的, 全部的"
thorough,"a. 十分的, 彻底的"
extreme,"n. 极端, 末端
a. 极端的, 尽头的, 极度的, 偏激的"
extension,"n. 延长, 扩充, 范围, 扩展名
a. 伸缩的
"
broad,"a. 宽广的, 辽阔的, 广大的, 显著的
adv. 宽阔地
n. 宽阔部分"
enlarge,"vt. 扩大, 增大
vi. 扩大, 详述"
rob,"v. 抢夺, 抢掠, 剥夺"
horrible,"a. 可怕的, 遭透的, 极讨厌的"
scare,"n. 惊吓, 恐慌
vt. 惊吓, 使恐慌
vi. 受惊"
shock,"n. 震动, 冲突, 震惊, 冲击, 突击, 禾束堆, 休克, 长毛狗
vt. 使震动, 使休克, 使受电击, 震惊得
vi. 震动, 吓人
a. 蓬乱浓密的"
terrible,"a. 可怕的, 令人恐惧的, 极坏的"
terrify,"vt. 使恐惧, 恐吓"
terror,"n. 恐怖, 可怕的人
"
sort,"n. 种类, 方式, 品质, 态度, 举止
vt. 分类, 排序, 挑选
vi. 交往, 协调
"
category,"n. 种类, 类项
"
type,"n. 类型, 样式, 典型, 榜样, 标志, 符号, 型, 式
vi. 打字
vt. 作为代表, 测定类型, 用打字机打
"
typical,"a. 典型的, 象征性的
"
standard,"n. 标准, 规格, 旗, 军旗, 本位
a. 标准的, 合规格的
"
criterion,"n. 标准, 准则, 规范
"
ordinary,"a. 平常的, 普通的, 平凡的
n. 平常的人(或事)"
extraordinary,"a. 非常的, 特别的, 非凡的
"
outstanding,"a. 杰出的, 突出的, 未偿付的, 未决定的
"
magic,"n. 魔术, 魔法
a. 魔术的, 有魔力的, 不可思议的"
ridiculous,"a. 荒谬的, 可笑的"
principle,"n. 原则, 原理, 主义
"
alcohol,"n. 酒精, 酒
"
mood,"n. 心情, 气氛, 生气, 基调
"
journalist,"n. 新闻记者, 从事新闻杂志业的人"
photographer,"n. 摄影师, 摄影者"
media,"n. 媒体
"
press,"n. 压, 揿, 按, 人群, 印刷机, 压力, 出版社, 记者, 报刊, 新闻舆论, 紧迫
vt. 压, 压榨, 紧抱, 逼迫, 推进, 强迫征募, 催逼
vi. 压, 重压, 催促, 拥挤, 奋力前进, 受压"
pressure,"n. 压, 榨, 按, 强制, 压力, 压迫, 压强
vt. 迫使, 使增压, 密封"
burden,"n. 负担, 重载, 担子, 责任
vt. 装货于, 烦扰, 使负担"
rough,"n. 粗糙的东西, 毛坯, 未加工品, 梗概, 草图, 暴徒, 艰难
a. 粗糙的, 粗暴的, 蓬乱的, 草率的, 大致的, 简陋的, 暴风雨的, 艰难的
vt. 使粗糙, 使不平, 使蓬乱, 粗制, 草拟, 粗暴对待, 对...动粗
vi. 变粗糙
adv. 粗糙地, 粗暴地"
tough,"n. 恶棍
a. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的"
insist,"v. 坚持, 坚决主张, 强调"
swear,"vt. 发誓, 咒骂, 使宣誓
vi. 发誓, 诅咒
n. 诅咒, 誓言"
suppose,"vt. 推想, 假设, 以为, 想像, 假定
vi. 料想"
guess,"n. 猜测, 臆测
v. 猜测, 臆测"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
assumption,"n. 假定, 自负, 担任, 假装
"
theory,"n. 理论, 学说, 原理, 意见, 推测
"
theoretical,"a. 理论的, 理论上的, 假设的, 推理的
"
describe,"vt. 描述, 描绘, 画"
description,"n. 描述, 说明, 种类
"
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
urgent,"a. 紧急的, 急迫的, 催逼的
"
tense,"a. 紧张的, 拉紧的
v. (使)紧张, (使)拉紧
n. 时态"
tension,"n. 紧张, 不安, 拉紧, 张力, 压力, 电压
vt. 拉紧, 使紧张"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
immigration,"n. 移民, 移居
"
journey,"n. 旅程, 旅行, 行程
vi. 旅行
vt. 游历"
luggage,"n. 行李, 皮箱"
destination,"n. 目的地, 目标, 目的
"
adventure,"n. 冒险, 冒险经历
v. 冒险"
necessary,a. 必要的；必然的；必需的
content,"n. 内容, 满足, 意义, 要旨
a. 满足的, 满意的
vt. 使...满足, 使...安心
"
concept,"n. 观念, 概念
"
correspond,"vi. 符合, 通信, 相当
"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
battle,"n. 战役
v. 战斗"
war,"n. 战争, 战争状态, 战术, 军事, 冲突, 斗争, 竞争
vi. 进行战争, 作战, 打仗, 战斗
a. 战争的, 战时用的"
collision,"n. 碰撞, 冲突, 抵触
"
crash,"n. 哗啦声, 猛撞, 崩溃, 粗布
v. 撞碎, 破碎, (使)...坠毁
a. 速成的
"
oppose,"vt. 反对, 以...对抗, 抗争
vi. 反对"
opposite,"a. 相对的, 相反的, 对面的
prep. 对面
n. 对立面"
offence,"n. 犯罪, 冒犯, 违反, 罪过, 过错, 攻击
"
offense,"n. 犯罪, 伤感情, 攻击"
disturb,"vt. 扰乱, 妨碍, 使不安
"
bother,"vt. 烦扰, 迷惑
vi. 烦恼, 操心
n. 麻烦, 纠纷, 讨厌的人"
boom,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
explode,"vi. 爆炸, 爆发, 激增
vt. 使爆炸"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
multiply,"v. 繁殖, 乘, 增加
"
erupt,"vi. 爆发
vt. 喷出"
struggle,"n. 斗争, 努力, 奋斗
vi. 努力, 奋斗, 挣扎"
rescue,"n. 援救, 解救, 营救
vt. 援救, 救出, 营救"
dilemma,"n. 困境, (进退两难的)窘境"
breakthrough,"n. 突破
"
evolution,"n. 进化, 发展, 进展, (气体)放出, 开方
"
revolution,"n. 革命, 大变革, 旋转, 转数, 循环
"
march,"n. 三月, 进行, 行军, 步伐, 长途跋涉, 进行曲, 边界
vi. 进军, 前进, 交界
vt. 使行军, 使行进"
wander,"vi. 游荡, 漫步, 徘徊, 迷路, 离题, 蜿蜒
vt. 在...漫游"
pace,"n. 速度, 步调, 步法
vi. 踱步, 缓慢走
vt. 用步测, 踱步于"
trend,"n. 趋势, 倾向, 走向
vi. 倾向, 转向
"
speed,"n. 速率, 速度, 迅速
vi. 加速, 超速, 快进
vt. 快速传送, 促进, 使加速
"
rate,"n. 比率, 率, 速度, 价格, 费用, 等级
vt. 估价, 认为, 鉴定等级, 责骂
vi. 被评价, 责骂"
pity,"n. 遗憾, 同情, 怜悯, 憾事, 可惜
vt. 同情, 怜悯
vi. 觉得可怜, 有同情心"
mercy,"n. 仁慈, 宽恕, 慈悲, 怜悯, 幸运
"
skip,"n. 跳跃, 跳读
vi. 跳越, 跳读, 跳绳, 遗漏, 跳级
vt. 跳过, 遗漏
"
scan,"n. 审视, 浏览, 扫描, 细查
vt. 细看, 浏览, 扫描, 详细调查, 标出格律
vi. 押韵, 扫描
"
sweep,"n. 扫除, 打扫, 肃清, 视野, 范围, 全胜
vt. 扫除, 掸去, 猛拉, 扫荡, 肃清, 冲走, 刮起, 环视, 掠过, 扫射
vi. 扫, 打扫, 袭击, 席卷, 扫视, 掠过"
