define,"vt. 定义, 规定, 使明确
"
legislature,"n. 立法机关, 议会, 立法院
"
legislator,"n. 立法者, 立法官, 立法委员
"
trial,"n. 审判, 试验, 艰苦, 麻烦事, 考验
a. 审讯的, 试验性的"
entitle,"vt. 给...权利, 取名为, 给予名称, 叫做
"
legitimate,"a. 合法的, 正当的, 婚生的
vt. 认为正当, 立为嫡嗣, 使合法"
legitimacy,"n. 合法, 正统, 正当
"
patent,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
retiree,"n. 退休人员, 退休者
"
jury,"n. 陪审团, 评判委员会
a. 应急的"
verdict,"n. 裁决, 判决, 判断性意见, 定论, 结论
"
innocent,"a. 无罪的, 不懂事的, 无知的
n. 天真的人, 笨蛋"
charter,"n. 特许状, 执照, 宪章
vt. 特许, 发给特许执照"
prosecution,"n. 执行, 经营, 起诉"
prosecutor,"n. 实行者, 告发者, 公诉人
"
statute,"n. 法令, 成文法律, 法规, 章程, 条例
"
legacy,"n. 祖先传下来之物, 遗赠物
"
lawsuit,"n. 诉讼
"
charge,"n. 指控, 费用, 冲锋, 电荷, 炸药, 主管, 被托管人, 命令
vt. 控诉, 加罪于, 使充满, 使充电, 使承担
vi. 冲锋, 要价, 收费"
complain,"v. 抱怨, 抗议, 控诉"
complaint,"n. 诉苦, 抱怨, 控诉
"
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
sue,"vt. 控告, 起诉, 请求
vi. 提出诉讼, 提出请求"
profit,"n. 利润, 赢利, 利益
vi. 有益, 获利, 赚钱
vt. 有益于"
profitable,"a. 有利润的, 有利益的, 赚钱的
"
reward,"n. 报酬, 酬谢, 赏金
vt. 奖赏, 酬谢, 给...应有报应"
rewarding,"a. 有益的, 有报酬的, 报答的"
crop,"n. 农作物, 产量, 平头
vt. 收割, 修剪, 种植
vi. 收获
"
welfare,"n. 福利, 安宁, 幸福, 福利事业
a. 福利的"
beneficial,"a. 有益的, 受益的
"
trade,"n. 贸易, 商业, 交易, 生意, 职业, 顾客, 信风
vi. 进行交易, 做买卖, 经商, 对换, 购物
vt. 用...进行交换"
purchase,"n. 购买, 购买品, 紧握, 绞辘
vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
e-commerce, [计]电子商务
commerce,"n. 商业, 商务, 贸易
"
consumption,"n. 消费, 消费量, 痨病
"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
marketing,"n. 行销, 买卖
"
brand,"n. 商标, 牌子, 烙印
vt. 打烙印于"
entrepreneur,"n. 企业家, 主办人
"
compensate,"v. 偿还, 补偿, 付报酬"
compensation,"n. 补偿, 赔偿金, 工资
"
retailer,"n. 零售商人, 传播的人
"
retail,"n. 零售
a. 零售的
vt. 零售, 详述, 传播
vi. 零售"
transaction,"n. 交易, 办理, 学报, 和解协议
"
commodity,"n. 农产品, 商品, 有用的物品
"
sponsor,"n. 保证人, 赞助者, 发起者, 倡议者, 教父
vt. 发起, 赞助, 倡议"
costly,"a. 昂贵的, 奢华的, 费用大的"
chain,"n. 链, 枷锁, 束缚
vt. 用铁练锁住, 束缚, 囚禁"
bid,"n. 出价
v. 命令, 吩咐, 请求, 表示, 宣布, 投标"
bargain,"n. 交易, 买卖协定, 特价商品
v. 讲价, 交易"
enterprise,"n. 企业, 事业心, 进取心, 干事业
"
wholesale,"n. 批发
a. 批发的, 大规模的
adv. 大规模, 照批发方式
vi. 经营批发业, 批发
vt. 批发"
client,"n. 客户, 顾客, 委托人
"
export,"n. 输出品, 输出
vt. 输出, 出口
vi. 输出物资
"
luxury,"n. 奢侈, 豪华
a. 奢侈的, 豪华的"
subscriber,"n. 签署者, 捐献者, 订户
"
subscribe,"vt. 捐献, 签署
vi. 赞成, 同意, 捐款, 预订, 认购
"
industry,"n. 勤劳, 工业, 企业, 产业, 有组织的劳动
"
industrial,"a. 工业的, 供工业用的, 工业高度发展的, 产业的
n. 工业工人, 工业股票"
industrialization,"n. 工业化, 产业化
"
industrialized,a. 工业化的
banking,"n. 银行业务
"
craft,"n. 技艺, 手艺, 诡计
vt. 精心制作"
architecture,"n. 建筑学, 建筑式样
"
accounting,"n. 会计学, 帐单, 清帐
"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
accountable,"a. 负有责任的, 可说明的, 可解释的
"
vocational,"a. 职业的
"
pottery,"n. 陶器, 陶器厂
"
comic,"n. 连环漫画, 喜剧演员, 滑稽的人
a. 滑稽的, 有趣的, 喜剧的"
conference,"n. 会议
"
congress,"n. 国会, 会议, 讨论会
"
congressional,"a. 会议的, 议会的, 国会的
"
council,"n. 会议, 委员会
"
parliament,"n. 国会, 议会
"
salary,"n. 薪水
vt. 给...加薪"
income,"n. 收入, 收益, 流入
"
revenue,"n. 收入, 岁入, 税收, 税务局
"
wage,"n. 工资, 报应, 报偿
vt. 开展, 进行
vi. 进行"
bonus,"n. 奖金, 红利
"
heritage,"n. 遗产, 祖先遗留物, 继承物
"
pension,"n. 养老金, 退休金, 津贴, 年金, 抚恤金, 膳宿学校, 膳宿费
vt. 发给退休金, 用津贴拉拢"
subsidy,"n. 补助金, 津贴
"
allowance,"n. 津贴, 零用钱, 限额, 折扣, 允许
vt. 定量供应"
paycheck,"n. 付薪水的支票, 薪水"
crime,"n. 犯罪, 罪行, 罪恶
"
criminal,"n. 罪犯, 犯人, 刑事
a. 犯了罪的, 刑事的, 有罪的"
guilty,"a. 犯罪的, 有过失的, 自觉有错的, 心虚的
"
violate,"vt. 违犯, 亵渎, 违反, 侵犯, 妨碍
"
tort,"n. 民事侵权行为
"
conviction,"n. 定罪, 信服, 坚信
"
religious,"a. 宗教性的, 虔诚的, 宗教上的, 严谨的
n. 修道士, 出家人"
religion,"n. 宗教, 信仰
"
sermon,"n. 说教, 启示, 布道"
sacred,"a. 神圣的, 献给上帝的, 庄严的, 祭祀的
"
preach,"v. 传道, 讲道, 说教, 宣讲, 鼓吹
n. 说教, 布道"
kilogram,"n. 千克, 公斤
"
degree,"n. 程度, 度数, 学位, 度
"
row,"n. 排, 行, 街道, 划船, 吵闹
vt. 使成排, 划, 划船, 参加(赛船), 痛骂
vi. 划船, 划动, 争吵
"
quarter,"n. 四分之一, 一刻钟, 季度, 地区
vt. 四等分, 肢解
vi. 驻扎, 住宿"
dimension,"n. 尺寸, 次元, 面积, 维数
vt. 标出尺寸"
dose,"n. 剂量, 服用量
vt. 给药, (用药)医治
vi. 服药"
dosage,"n. 剂量, 用量, 配药
"
array,"n. 排列, 衣服, 大批, 军队
vt. 布署, 打扮, 排列
"
dozen,"n. 打, 十二个
a. 一打的"
inch,"n. 英寸, 身高, 小岛
vi. 慢慢前进, 慢慢移动
vt. 使缓慢地移动"
volume,"n. 册, 卷, 体积, 容量, 大量, 许多, 份量, 音量
vi. 成团卷起
vt. 把...收集成卷
a. 大量的
"
pile,"n. 堆, 大堆, 大厦, 建筑群, 电池, 大量, 桥桩, 软毛, 痔疮
vi. 堆起, 堆积, 积累, 挤, 猛烈攻击
vt. 堆于, 累积, 堆叠, 打桩于, 用桩支撑"
digital,"a. 数字显示的, 数字的
n. 数字仪表, 数字式电子表(或时钟)
"
digit,"n. 数字, 位数, 指头
"
technical,"a. 技术上的, 专门的, 工业的, 严格根据法律的
"
technique,"n. 技巧, 技术, 方法
"
medium,"n. 媒体, 方法, 媒介
a. 半生熟的, 中间的
"
database,"n. 数据库
"
satellite,"n. 人造卫星
"
automation,"n. 自动化, 自动操作
"
default,"n. 违约, 不履行责任, 缺席, 默认值
v. 疏怠职责, 缺席, 拖欠, 默认
"
browser,"n. 吃嫩叶的动物, 浏览书本的人
"
reactor,"n. 反应者, 反应器, 反应堆, 电抗器
"
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
philosopher,"n. 哲学家, 哲人, 思想开创人, 达观的人
"
philosophical,"a. 哲学的, 冷静的, 达观的, 哲学上的, 哲学家似的"
genetically,"adv. 创始, 遗传学, 生殖, 基因, 遗传, 发生"
genetic,"a. 创始的, 遗传的, 起源的, 遗传学的
"
genetics,"n. 遗传学
"
mechanism,"n. 机械, 机构, 结构, 机理, 技巧
"
mechanical,"a. 机械的, 机械性的, 力学的
"
nuclear,"a. 核子的, 原子能的, 核的, 中心的
"
anthropologist,n. 人类学家
anthropology,"n. 人类学
"
anthropological,"a. 人类学的, 人类学上的"
geological,"a. 地质学的, 地质的"
geologist,"n. 地质学家, 地质学者"
geology,"n. 地质学, 地质情况"
futurologist,n. 未来学家
archaeologist,n. 考古学家
archaeological,"a. 考古学的, 考古学上的"
astronomy,n. 天文学
astronomer,n. 天文学家
geophysical,a. 地球物理学的
specialization,"n. 专业化, 特殊化, 专门化
"
specialist,"n. 专门医师, 专家
a. 专业的, 专家的"
specialize,"vt. 使特殊化, 列举, 特别指明, 限定...的范围
vi. 成为专家, 专攻"
literature,"n. 文学, 文艺, 著作
"
literary,"a. 文学的, 文艺的, 精通文学的
"
literacy,"n. 读写能力, 识字, 精通文学"
literally,"adv. 逐字地, 按照字面上地, 不夸张地"
verbal,"a. 用言辞的, 言语的, 口头的, 逐字的, 动词的
"
linguistic,"a. 语言的, 语言学的
"
linguist,n. 语言学家
grammatical,"a. 语法的, 合乎语法的
"
tone,"n. 音调, 音质, 语调, 语气, 色调, 气氛, 状况, 思想状态
vt. 给...定色调, 增强, 使...的声调和谐, 定音调
vi. 颜色调和
"
narrative,"n. 叙述, 故事
a. 叙述的, 叙事的, 故事体的"
proverb,"n. 谚语, 格言, 箴言
vt. 使众所周知, 用谚语表达"
membership,"n. 会员的资格, 全体会员, 会员数目
"
citizen,"n. 市民, 公民
"
citizenry,"n. 市民
"
civil,"a. 市民的, 公民的, 有礼貌的
"
civilization,"n. 文明, 教化
"
ethnic,"a. 人种的, 种族的
"
lineage,"n. 血统, 直系
"
desire,"n. 欲望, 要求
vt. 想要, 请求
vi. 渴望"
attempt,"n. 尝试, 企图
vt. 尝试, 企图"
pursuit,"n. 追踪, 追求, 追赶, 娱乐, 职业
"
pursue,"vt. 追赶, 追踪, 追随, 追求, 实行, 继续, 从事
vi. 追赶, 继续"
quest,"n. 探索, 寻求, 调查
v. 寻找, 找, 追寻猎物"
ambition,"n. 野心, 志向"
ambitious,"a. 有野心的, 抱负不凡的, 雄心勃勃的"
desperate,"a. 不顾一切的, 危急的, 令人绝望的, 极渴望的"
envy,"n. 羡慕, 嫉妒
vt. 羡慕, 嫉妒"
enviable,"a. 令人羡慕的, 可羡慕的"
oppose,"vt. 反对, 以...对抗, 抗争
vi. 反对"
opposition,"n. 反对, 敌对, 相反, 在野党
"
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
deny,"v. 否认, 拒绝"
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体
vi. 反对, 抱反感
vt. 提出...来反对
"
objection,"n. 异议, 反对, 不喜欢, 缺点, 缺陷, 妨碍, 拒绝之理由
"
protest,"n. 抗议, 反对, 抗议书, 断言
v. 反对, 抗议, 断言"
defy,"vt. 藐视, 挑衅, 使落空
n. 挑战"
mental,"a. 心智的, 精神病的, 心理的, 颏的
n. 精神病患者"
emotional,"a. 情绪的, 情感的
"
psychology,"n. 心理学, 心理状态
"
psychological,"a. 心理学的, 精神上的, 心灵的
"
psychologist,"n. 心理学家
"
sentiment,"n. 感情, 感伤, 情操, 情绪, 感想, 意见
"
opinion,"n. 意见, 评价, 主张
"
regard,"n. 关心, 注意, 尊敬, 关系, 问候
vt. 视为, 注意, 考虑, 和...有关, 看待
vi. 注视, 注意"
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
remark,"n. 评论, 注意
vt. 评论, 注意
vi. 评论, 谈论
"
remarkable,"a. 不平常的, 值得注意的, 显著的"
notion,"n. 概念, 观念, 想法, 打算, 别致的小东西
"
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
"
deem,"v. 认为, 相信"
posture,"n. 姿势, 态度, 情形, 形势
vt. 作...的姿势
vi. 作姿势"
expectation,"n. 期待, 指望, 展望
"
expectancy,"n. 期待, 期望的事物, 嘱望, 希望, 期望, 预期
"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
outlook,"n. 观点, 景色, 前途, 了望
"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
anticipation,"n. 预期, 预料
"
foresee,"vt. 预见, 预知"
praise,"n. 赞美, 称赞, 崇拜
vt. 称赞, 赞美
vi. 赞扬, 表扬"
merit,"n. 优点, 功绩, 价值, 功过, 真相
vt. 值得
vi. 应受"
deserve,"vt. 该得到, 值得
vi. 应得报答"
approve,"vt. 赞同, 核准, 为...提供证据
vi. 赞许"
approval,"n. 赞成, 批准
"
disapproval,n. 不赞成
grant,"n. 授予, 授予物, 允许
vt. 允许, 承认, 授与
"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
admission,"n. 准许进入, 入场费, 录用, 承认
"
authorize,"vt. 授权, 批准, 委托
"
permit,"n. 许可证, 许可, 执照, 通行证
vt. 允许, 容许, 可能, 使放手做
vi. 容许, 给以机会, 提供可能"
permission,"n. 许可, 允许
"
consent,"n. 同意, 许可
vi. 同意, 赞同"
serious,"a. 严肃的, 认真的, 重要的, 严重的
"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
"
rigid,"a. 坚硬的, 刚性的, 严格的, 精密的, 刻板的"
stern,"n. 尾部, 船尾, 臀
a. 严厉的, 严格的, 坚定的, 坚决的"
harsh,"a. 粗糙的, 刺耳的, 严厉的
"
intend,"vt. 计划, 打算, 意思是
"
instinct,"n. 本能, 直觉
a. 充满着的"
deliberately,adv. 故意地
inclination,"n. 倾向, 趋向, 倾斜度, 点头
"
incline,"n. 倾斜, 斜坡, 斜面
vt. 使倾向于, 使倾斜
vi. 倾向, 倾斜, 爱好, 易于"
intention,"n. 意图, 目的, 含义
"
intentionally,"adv. 故意地, 有意地"
voluntary,"a. 自动的, 自愿的, 故意的, 志愿的, 自发的
n. 自愿行动, 志愿者, 自由调"
intuitive,a. 直觉的
fear,"n. 恐怖, 害怕, 担心
v. 害怕, 恐惧, 为...担心, 敬畏"
panic,"n. 恐慌, 惊慌
a. 惊慌的, 没有理由的, 恐慌的
vt. 使惊慌, 使狂热
vi. 惊慌"
astonishing,a. 令人惊讶的
dreadful,a. 可怕的
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
plead,"vi. 辩护, 恳求
vt. 为...辩护, 提出...借口, 托称, 恳求"
puzzle,"n. 难题, 迷惑
vt. 使困惑, 使为难
vi. 迷惑, 苦思"
curiosity,"n. 好奇心, 新奇的事物, 珍品"
confusing,a. 令人困惑的；混淆的；混乱的
confusion,"n. 混乱, 混淆, 无秩序
"
depression,"n. 不景气, 消沉, 沮丧, 洼地
"
upset,"a. 弄翻的, 混乱的, 心烦的
vt. 弄翻, 颠覆, 推翻, 打乱, 使不适, 使心烦
vi. 翻倒"
frustration,"n. 挫折, 顿挫
"
frown,"n. 皱眉
vi. 皱眉头
vt. 皱眉表示"
despair,"n. 绝望, 失望
vi. 绝望"
tolerance,"n. 宽容, 忍受, 容忍, 容许量, 公差
"
tolerate,"vt. 宽容, 容许, 有耐力"
tolerant,"a. 宽容的, 容忍的, (对冷、热)能耐的
"
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
"
durable,"a. 持久的, 耐用的"
abide,"vi. 停留, 遵守, 居留, 继续下去
vt. 忍受, 经受, 屈从于"
objective,"n. 目的, 目标, 宗旨, 宾格, 实物
a. 客观的, 如实的, 无偏见的, 宾格的"
objectivity,"n. 客观, 客观现实, 客观性
"
impartial,"a. 公平的, 不偏不倚的
"
partial,"a. 部分的, 偏袒的, 偏爱的
n. 分音"
indifferent,"a. 漠不关心的, 无重要性的, 中立的
"
indifference,"n. 不重视, 无兴趣, 漠不关心
"
remote,"a. 遥远的, 偏僻的, 疏远的, 微少的
"
prejudice,"n. 偏见, 成见, 侵害
vt. 使存偏见, 使有成见, 侵害"
impulse,"n. 冲动, 驱使, 刺激, 推动, 冲力, 建议, 脉冲
vt. 推动"
prefer,"vt. 宁可, 较喜欢, 提出
"
preference,"n. 偏爱, 优先, 喜爱物
"
preferable,"a. 更可取的, 更好的, 更合意的"
favor,"n. 好意, 喜爱
vt. 赐予, 支持, 喜欢, 证实"
appreciation,"n. 感激, 赏识, 鉴别
"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
appreciative,"a. 有欣赏力的, 感激的"
amateur,"n. 业余爱好者, 外行, 爱好者
"
obsess,"vt. 迷住, 使困扰"
obsession,"n. 困扰, 困扰人的情绪
"
fascination,"n. 令人着迷的事物, 入迷, 魅力"
fascinate,"vt. 令人入神, 使着迷
vi. 入迷"
favoritism,"n. 偏爱, 偏袒"
favorable,"a. 有利的, 赞许的, 良好的"
worship,"n. 崇拜, 礼拜, 尊敬
vi. 参加礼拜
vt. 崇拜, 尊敬"
adore,"vt. 崇拜, 爱慕, 喜爱
vi. 崇拜, 爱慕"
cautious,"a. 谨慎的, 小心的"
caution,"n. 小心, 慎重, 警示
vt. 警告
"
lest,"conj. 以免, 唯恐, 免得"
thoughtful,"a. 深思的, 体贴的"
prudent,"a. 审慎的, 三思而后行的, 精明的, 节俭的"
alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
contempt,"n. 轻视, 轻蔑
"
contemptuous,"a. 轻蔑的, 鄙视的, 瞧不起人的"
contemptible,"a. 卑鄙的, 可轻蔑的, 不足挂齿的"
disregard,"n. 忽视, 漠视
vt. 忽视, 不顾"
patronize,"vt. 保护, 支援, 赞助, 庇护, 惠顾"
optimism,"n. 乐观主义, 乐观, 乐天
"
optimist,"n. 乐观者, 乐观主义者"
conventional,"a. 传统的, 习惯的, 约定的
"
convention,"n. 大会, 协定, 惯例, 约定
"
pessimistic,"a. 悲观的, 厌世的, 悲观主义的"
pessimism,"n. 悲观, 悲观情绪, 悲观主义
"
superstition,"n. 迷信
"
hostile,"a. 敌人的, 怀敌意的, 敌对的
n. 敌对分子"
hostility,"n. 敌意, 敌对, 反对"
rival,"n. 对手, 竞争者
a. 竞争的"
opponent,"n. 对手, 敌手, 反对者
a. 敌对的, 反对的, 对面的"
counterbalance,"vt. 使平均, 使平衡, 使弥补
n. 平衡量, 平衡力, 势均力敌"
counteract,"vt. 抵消, 阻碍, 中和
"
resent,"vt. 愤恨, 憎恶, 怨恨"
provoke,"vt. 激怒, 惹起, 诱导
"
indignation,"n. 愤怒, 愤慨, 义愤"
anxiety,"n. 焦虑, 忧虑, 令人焦虑的事
"
strain,"n. 紧张, 拉紧, 张力, 过劳, 扭伤, 血缘, 种, 族, 气质, 曲调, 旋律, 口吻
vt. 使劳累, 拉紧, 过分使用, 扭伤, 滥用, 曲解, 滤
vi. 尽力, 努力, 紧拉, 弯曲, 被滤出"
uneasy,"a. 心神不安的, 不自在的, 不稳定的, 不舒服的"
enthusiastic,"a. 狂热的, 热心的, 热烈的"
enthusiasm,"n. 巨大的热情, 热心"
passionate,"a. 热情的, 热烈的, 易怒的, 热恋的"
eager,"a. 热心的, 渴望的, 热望的"
eagerness,n. 热心
sharp,"n. 半升音调, 利刃, 骗子
a. 锋利的, 明显的, 敏锐的, 急剧的, 尖刻的, 严厉的, 刺耳的, 精明的
adv. 锐利地, 急速地"
sharpen,"vt. 使尖锐, 使敏捷, 加重, 削尖
vi. 尖锐化, 变锋利"
mock,"n. 嘲笑, 戏弄, 模仿
a. 假的, 伪造的, 模拟的
adv. 虚伪地
vt. 嘲弄, 模仿, 使失望, 欺骗, 挫败
vi. 嘲弄"
ironic,"a. 冷嘲的, 挖苦的, 反话的, 讽刺的, 令人啼笑皆非的, 出乎意料的"
ironically,"adv. 冷嘲地, 挖苦地, 讽刺地, 令人啼笑皆非地"
sarcastic,"a. 讽刺的, 讥讽的"
delight,"n. 高兴, 愉快
vt. 使高兴, 乐于
vi. 感到高兴(或愉快、快乐)"
gratitude,n. 感激之情
gratification,"n. 令人满足的事(或物), 满足, 喜悦
"
unwilling,"a. 不愿意的, 勉强的
"
reluctant,"a. 不情愿的, 勉强的
"
tentative,"n. 试验
a. 试验性的, 暂时的"
outrage,"n. 暴行, 侮辱, 愤怒
vt. 凌辱, 虐待, 触犯"
rage,"n. 愤怒, 情绪激动, 狂暴
vi. 大怒, 狂吹, 流行"
hesitate,"vi. 犹豫, 迟疑, 踌躇, 支吾, 停顿"
boast,"n. 吹牛
vi. 吹牛, 自夸
vt. 夸口说, 自恃有"
exaggerate,"v. 夸大, 夸张"
exaggeration,"n. 夸张, 夸大的事物, 夸大之词"
awkward,"a. 笨拙的, 棘手的"
vanity,"n. 虚荣心, 虚无, 自负, 空虚, 时髦的小摆饰"
feverish,"a. 发热的, 极度兴奋的, 不安的"
situation,"n. 情形, 境遇, 位置
"
condition,"n. 情况, 条件
vt. 使健康, 以...为条件, 决定, 使适应
"
unconditional,"a. 无条件的, 无限制的, 绝对的
"
conditional,"a. 有条件的, 有前提的
"
instance,"n. 建议, 情况, 例子, 场合
vt. 引以为例, 举例说明"
circumstance,"n. 环境, 状况, 事件"
extent,"n. 范围, 程度, 区域
"
atmosphere,"n. 大气, 空气, 气氛
"
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
progressive,"n. 改革论者, 进步论者
a. 前进的, 累进的, 进步的"
course,"n. 课程, 路线, 过程, 一道菜, 道路
v. 追, (使)跑"
evolve,"vi. 进展, 进化, 展开
vt. 使发展, 使推断出, 使进化"
evolution,"n. 进化, 发展, 进展, (气体)放出, 开方
"
evolutionary,"a. 展开的, 进化论的, 进化的, 发展的
"
procedure,"n. 程序, 过程, 手续
"
pace,"n. 速度, 步调, 步法
vi. 踱步, 缓慢走
vt. 用步测, 踱步于"
proceed,"vi. 继续进行, 进行, 开始, 发出, 起诉
"
remain,"vi. 保持, 逗留, 剩余
"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
maintenance,"n. 维护, 保持, 维修, 生活费用, 坚持, 扶养
"
sustain,"vt. 承受, 支持, 供养, 继续, 忍受, 蒙受, 证实, 准许
"
sustainable,"a. 足可支撑的, 养得起的, 可以忍受的"
sustainability,"n. 持续性, 能维持性, 永续性"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
retain,"vt. 保持, 保有, 留住, 记得, 付定金聘请
"
consequence,"n. 结果, 重要性
"
consequently,adv. 所以
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
eventually,"adv. 最后, 终于"
outcome,"n. 结果, 出口"
incur,"vt. 招致, 蒙受, 遭遇
"
postwar,a. 战后的
therefore,"adv. 因此, 所以"
thus,"adv. 如此, 因此, 到如此程度
"
hence,"adv. 因此, 从此"
owe,"vt. 亏欠, 负...债, 归功于, 怀有, 应给予, 感恩
vi. 欠钱"
thereby,adv. 因此
whereby,"adv. 靠什么, 如何, 为何, 靠那个, 因此, 由此
"
sake,"n. 目的, 缘故, 理由"
source,"n. 来源, 水源, 根源, 原始资料, 源
"
origin,"n. 起源, 起因, 出身, 开端
"
originate,"vt. 创始, 发明, 发起
vi. 发源, 发生, 起航
"
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
stem,"n. 茎, 干, 柄, 船首, 血统, 堵塞物
vt. 摘掉茎, 装柄于, 阻止, 堵住, 逆行
vi. 堵住, 逆行"
derive,"vt. 得自
vi. 起源"
arise,"vi. 站立, 出现, 起来"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
emergence,"n. 出现, 浮现, 发生"
launch,"n. 下水, 汽艇, 发射
vt. 使下水, 发射, 发动
vi. 起飞, 下水, 投入, 开始"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
initiative,"n. 主动行动, 首创精神, 主动权
a. 自发的, 起始的"
initiate,"n. 入会, 开始
a. 新加入的
vt. 开始, 传授基本知识给"
pioneer,"n. 先锋, 拓荒者, 创始人
vt. 提倡, 开辟, 开创, 倡导
vi. 作先驱, 开路
a. 最早的, 开拓的, 先驱的, 有开拓者特点的"
preliminary,"n. 初步做法, 初步措施, 预试, 预选赛
a. 初步的, 开始的, 预备的"
finish,"n. 完成, 结束, 末道漆, 磨光, 完美
vt. 完成, 结束, 用完, 毁掉
vi. 结束
"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
inconclusive,"a. 非决定性的, 无效果的, 不得要领的
"
conclusive,"a. 决定性的, 确定性的, 最后的
"
cease,"n. 停止
v. 停止, 终了"
threat,"n. 恐吓, 恶兆, 威胁
"
threaten,"vt. 恐吓, 威胁, 预示...的凶兆
vi. 威胁, 恫吓, 可能来临"
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
risk,"n. 冒险, 危险, 保险额
vt. 冒...的危险, 冒险干"
crisis,"n. 危机, 危险期, 紧要关头
"
poverty,"n. 贫穷, 贫困, 缺乏
"
capture,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
"
captive,"n. 俘虏, 迷恋者
a. 被俘的, 被迷住的"
disorder,"n. 杂乱, 混乱
vt. 扰乱, 使失调"
aggravate,"vt. 使恶化, 使更严重, 加重"
misery,"n. 痛苦, 悲惨, 不幸, 穷困"
disaster,"n. 灾祸, 不幸, 彻底失败"
undergo,"vt. 遭受, 经历, 忍受
"
trick,"n. 诡计, 欺诈, 谋略, 恶作剧, 习惯, 决窍
vt. 愚弄, 欺骗, 装饰
vi. 哄骗, 戏弄
a. 有决窍的, 特技的, 欺诈的, 漂亮的, 靠不住的"
dilemma,"n. 困境, (进退两难的)窘境"
nightmare,"n. 梦魇, 恶梦, 可怕的事物(或情景、人物)
"
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
trap,"n. 圈套, 陷阱, 诡计, 存水弯
vi. 设圈套, 设陷阱
vt. 诱捕, 诱骗, 抓住, 使受限制
"
setback,"n. 挫折, 退步, 逆流"
extinction,"n. 消失, 消灭, 废止
"
tragedy,"n. 悲剧, 惨案, 悲剧作品
"
phenomenon,"n. 现象, 迹象, 表现, 奇迹, 奇才
"
myth,"n. 神话, 虚构的事, 虚构的人"
mythical,"a. 神话的, 存在于神话中的, 神话式的, 不真实的, 虚构的, 幻想出来的"
marvel,"n. 奇异事物, 罕见例子
vt. 惊异于
vi. 惊异"
sight,"n. 景观, 视力, 眼界, 阅读, 见解, 意见
vt. 看见, 瞄准
vi. 瞄准, 观看
a. 即席的, 见票即付的"
sightseer,n. 观光客
scene,"n. 场, 情景, 镜头, 发生地点, 道具, 布景, 景色
"
visible,"a. 看得见的, 明显的, 显然的
n. 可见物"
invisible,"a. 看不见的, 无形的
"
visualize,"vt. 使看得见, 使具体化, 想象, 设想
vi. 想象, 显形"
vision,"n. 视觉, 眼光, 视力, 幻想
vt. 梦见, 想象, 显示"
envision,"vt. 想象, 预想"
landscape,"n. 风景, 山水, 风景画
vi. 从事景观美化
vt. 美化...景观
"
