Abacavir,"n. 【药】阿巴卡韦
"
praziquantel,[化] 吡喹酮; 环吡异喹酮
preantral,[网络] 前滤泡腔
preattack,[网络] 抢先
prebiotic,a. 生命起源以前的
precancerous,a. 癌症前期的
precarcinogen,n. [生化]前致癌物
precaution,"n. 预防, 留心, 警戒
vt. 预先警告"
precede,"vt. 在...之前, 优于, 较...优先
vi. 在前面"
precedence,"n. 优先, 居先
"
preceding,"a. 在前的, 前面的
"
precipitate,"n. 沉淀物, 凝结物, 结果
vt. 猛抛, 使陷入, 促成, 使沉淀
vi. 猛地落下
a. 突然的, 猛地落下的, 轻率的"
precipitin,"n. 沉淀素
"
precise,"a. 精确的, 严谨的, 明确的
"
precisely,"adv. 精确地, 明确地, 刻板地, 拘泥地, 正好, 恰恰, 对, 正是如此, 确实如此, 不错"
precision,"n. 精密, 精确, 精确度, 精度
a. 精密的, 精确的
"
preclinical,"a. 临床使用前的
"
preclude,"vt. 预先排除, 预防, 阻止, 妨碍
"
precondition,"vt. 事先准备, 事先处理
n. 先决条件, 前提
"
preconditioning,
precursor,"n. 先驱者, 前导, 前兆
"
predecessor,"n. 前任, 先辈, 前身
"
predialysis,[网络] 透析前
predictable,a. 可预言的
predictably,adv. 可预言地
prediction,"n. 预言, 预报
"
predilection,"n. 嗜好, 偏爱"
predispose,"vt. 预先处置, 使预先有倾向"
predisposition,"n. 爱好, 素质, 癖性, 天性, 倾向, 易感受性
"
prednisolone,"n. 氢化泼尼松, 强的松龙, 去氢氢化可的粉
"
prednisone,"n. 泼尼松, 强的松
"
predominant,"a. 占主导地位的, 卓越的
"
predominantly,"adv. 主要地, 显著地, 大多数地, 突出地"
predominate,"vt. 掌握, 控制, 支配
vi. 占主导地位, 占优势"
preeclampsia,"[医] 子痫前期, 惊厥前期"
preemptive,"a. 先买的, 先买权的, 有先买权的
"
preexist,v. 先前存在
preferable,"a. 更可取的, 更好的, 更合意的"
preferably,"adv. 更可取地, 更好地, 更合意地"
preference,"n. 偏爱, 优先, 喜爱物
"
prefrontal,"a. 前额的
"
preganglionic,a. [解]神经节前的
pregnancy,"n. 怀孕；丰富, 多产；意义深长"
pregnant,"a. 怀孕的, 充满的, 思想丰富的, 成果丰硕的
"
preimplantation,a. [医](子宫中)胚胎植入前的
prejudice,"n. 偏见, 成见, 侵害
vt. 使存偏见, 使有成见, 侵害"
preliminary,"n. 初步做法, 初步措施, 预试, 预选赛
a. 初步的, 开始的, 预备的"
preload,
prelude,"n. 前奏, 序幕, 序诗, 前奏曲
vi. 作为前奏
vt. 作为...的开头"
premature,"a. 早产的, 过早的, 不成熟的
n. 早产儿, 过早发生的事物"
prematurity,"n. 提早, 早熟, 过早, 不成熟, 早产
"
premedication,"[医] 前驱给药法, 术前用药法"
premise,"n. 前提, 房屋连地基, 上述各项
vt. 预先提出, 引出, 作为...的前提
vi. 作出前提"
premium,"n. 额外补贴, 奖金, 奖赏, 保险费
"
premunition,"n. 抗病, 抗病力, 预免疫
"
premutation,前突变
prenatal,"a. 出生以前的, 孕期的
"
preoperative,"a. 手术前的
"
preovulatory,a. [生]排卵期前的
preparation,"n. 准备, 预备, 预习
"
prepartum,[网络] 产前感染
preponderance,"n. 优势, 多数
"
prepotency,"n. 优势, 遗传优势
"
prepubertal,a. 青春期前的
prerenal,[医] 肾前的
prerequisite,"a. 先决条件的, 必要的
n. 先决条件, 必备条件"
prescribe,"v. 规定, 指定, 嘱咐, 开处方"
prescription,"n. 处方, 命令, 指定
"
presenile,"a. 过早衰老的,未老先衰的"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
presentation,"n. 赠与, 描述, 介绍
"
presently,"adv. 目前, 不久"
preservation,"n. 保存, 保藏, 保护
"
preservative,"a. 有助于保存的, 有保存力的
n. 预防药, 防腐剂"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
preside,"vi. 统辖, 当主人, 主持
"
prespecified, 预先设定的
prespecify,[网络] 预先指定
presumably,"adv. 推测上, 大概"
presume,"vt. 假定, 推测, 擅自, 意味着
vi. 擅自行动, 相信"
presumption,"n. 专横, 放肆, 假定, 推测
"
presumptive,"a. 根据推定的, 假定的, 预期的
"
presurgical,a. (外科)手术前的
presymptomatically,症状出现之前地
presynaptic,a. [解]突触前的
pretend,"v. 假装, 伪称, 自命, 自称"
preterm,a. 早产的
prevail,"vi. 获胜, 流行, 盛行
"
prevailing,"a. 盛行很广的, 优势的, 主要的, 普遍的
"
prevalence,"n. 普遍, 流行, 广泛
"
prevalent,"a. 普遍的, 流行的"
prevent,"v. 预防, 防止, 阻止, 妨碍"
preventable,"a. 可防止的, 可阻止的, 可预防的"
prevention,"n. 阻止, 妨碍, 预防
"
preventive,"a. 预防的, 防止的
n. 防止物, 预防方法, 预防药"
previa,[医] 前置的(如胎盘)
previously,"adv. 先, 先前, 以前, 前, (非正式)过早, 过急, 在前, 在...以前, 在先
"
primaquine,"[化]首喹, 伯氨喹"
primarily,"adv. 主要地, 首先地"
primary,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
"
prime,"n. 最佳部分, 初期, 全盛期
a. 主要的, 最初的, 根本的
v. 加油启动, 灌注, 填装"
primigravida,n. 初孕妇
primiparous,"a. 初产的
"
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
"
primordial,"a. 原始的, 自原始时代的
"
principal,"n. 校长, 首长, 本金, 主犯, 资本, 委托人
a. 主要的, 最重要的, 首要的"
principally,"adv. 主要地, 大部分"
print,"n. 打印, 版, 印刷物, 痕迹, 印刷业, 印刷字体, 图片, 印花布, 印章
v. 打印, 印刷, 铭记, 留印记于, 用印刷体写
"
prion,"n. 感染性蛋白质, 普列昂; 锯鹱"
prior,"a. 更重要的, 较早的, 在先的
n. 小隐修院院长, 大隐修院副院长"
priority,"n. 优先权, 优先
"
privacy,"n. 隐私, 隐居, 秘密
"
proactive,a. 〈心理〉前摄的
proarrhythmia,致心律失常
probability,"n. 可能性, 或然率, 几率, 概率
"
probable,"a. 很可能的, 大概的, 可信的
n. 很有希望的候选人, 很可能的事情"
probably,"adv. 大概, 或许"
probe,"n. 探索, 调查, 探针, 探测器
v. 用探针探测, 调查, 探索"
probenicid,无
probiotics,n. 前生论
procainamide,[医] 普鲁卡因[酰]胺
procaine,"n. 普鲁卡因
"
procarcinogen,前致癌剂
procedure,"n. 程序, 过程, 手续
"
proceeding,"n. 进行, 程序, 行动, 诉讼程序, 事项
"
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
proctoscope,"n. 直肠镜
"
prodromal,"a. [医]前驱的,有前驱症状的"
prodrome,"n. 前驱症状
"
prodrug,"n. 前体药物；药物前体
"
product,"n. 产品, 结果, 乘积
"
proenzyme,"n. 酶原
"
profession,"n. 职业, 表白, 声明
"
professional,"n. 专业人才
a. 专业的, 职业的"
proficiency,"n. 精通, 熟练, 精练"
profile,"n. 侧面, 轮廓, 传略
vt. 描绘...轮廓, 写...的传略
"
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
profuse,"a. 很多的, 丰富的, 浪费的, 慷慨的"
profusely,"adv. 极其丰富地, 大量地"
progenitor,"n. 祖先, 先辈, 原本
"
progeny,"n. 子孙, 后裔, 成果
"
progesterone,"n. 孕酮, 孕激素
"
progestogen,
prognosis,"n. 预测, 预后
"
prognostic,"a. 预兆的, 预后的
n. 先兆, 预测"
program,"n. 节目, 节目单, 程序, 纲要, 大纲, 计划
vt. 规划, 拟...计划
vi. 安排节目, 编程序
"
progress,"n. 进步, 发展, 前进
vi. 进步, 进行"
progression,"n. 前进, 连续, 级数
"
progressive,"n. 改革论者, 进步论者
a. 前进的, 累进的, 进步的"
progressively,"adv. 进步, 先进, 向前进, 不断前进, 累进, 渐进, 逐渐, 渐次, 主张进步, 进行性"
proguanil,氯胍
prohibit,"vt. 禁止, 阻止
"
prohormone,n. [生化]激素原
proinflammatory, [医]促炎症反应
project,"n. 计划, 设计, 事业
vt. 计划, 设计, 投掷, 发射, 使凸出, 放映
vi. 凸出"
projectile,"n. 发射体, 抛射物
a. 发射的, 投射的"
projection,"n. 发射, 计划, 突出部分, 设计, 推测
"
prokaryote,[化] 原核生物
prolactin,"n. 催乳激素
"
prolapse,"vi. 脱出, 脱垂
n. 脱出, 脱垂"
proliferate,"vi. 增殖, 激增, 扩散
vt. 使激增"
proliferation,"n. 增殖, 激增
"
proliferative,"a. 增殖, 多育, 繁殖, 增生, 激增, 扩散
"
prolong,"vt. 延长, 拖延, 拖长
"
prolongation,"n. 延伸, 延长, 延长部分
"
promethazine,"n. [药]普鲁米近,异丙嗪,抗胺荨(一种抗过敏及安定药)"
prominence,"n. 突起, 突出, 显著, 突出物, 凸出
"
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
promise,"n. 诺言, 约定的事情, 有指望
vt. 允诺, 约定, 预示
vi. 允诺, 有前途, 有指望"
promising,"a. 有希望的, 前途有望的
"
promonocyte,"前单核细胞, 幼单核细胞"
promotion,"n. 晋级, 创建, 增进
"
promotor,"n. （常与of连用）发起人；倡导者, 赞助人"
promptly,"adv. 敏捷地, 迅速地"
promutagen,前诱变剂
promyelocyte,"前髓细胞, 早幼粒细胞"
prone,"a. 俯伏的, 面向下的, 有...倾向的
"
pronounce,"v. 发音, 宣告, 断言"
pronounced,"a. 发出音的, 读出来的, 显著的, 断然的, 明显的
"
pronucleus,"n. 前核, 原核
"
proof,"n. 证据, 证明, 试验, 检验, 考验
a. 不能透入的, 证明用的, 防...的, 耐...的
vt. 检验, 试验, 校对, 使不被穿透
"
proopiomelanocortin,[网络] 阿黑皮素原；前促黑激素；黑色素皮质素
propagation,"n. 增殖, 繁殖, 宣传
"
propantheline,"n. 普鲁本辛；丙胺太林
"
propellant,"n. 推进剂, 发射火药, 推进者
"
propensity,"n. 倾向, 爱好, 习性"
properdin,(血液中)一种能消灭细菌和病毒的血清
properly,"adv. 适当地, 相当地"
property,"n. 财产, 所有权, 性质, 属性
"
prophase,"n. 前期
"
prophylactic,"a. 预防性的
n. 预防药, 预防法, 避孕用品"
prophylactically," [医]adv.预防地, 预防上"
prophylaxis,"n. 预防
"
propionic, [医]丙酸的
propionic acidemia,丙酸血症
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
proportional,"a. 比例的, 相称的
n. 比例项"
proposal,"n. 提议, 计划, 求婚
"
propranolol,[化] 普萘洛尔; 萘心安; 心得安
proprietary,"a. 所有者的, 所有权的, 私有的
n. 所有者, 业主, 所有权"
propylthiouracil,丙基硫尿嘧啶
prospective,"a. 预期的, 将来的
"
prostacyclin,[化] 前列腺环素
prostaglandin,
prostate,"a. 前列腺的
n. 前列腺"
prostatectomy,[医] 前列腺切除术
prostatic,[医] 前列腺的
prostatitis,"n. 前列腺炎
"
prostatodynia,前列腺痛
prosthesis,"n. 弥补, 添字首音"
prosthetic,"a. 修复术的, 弥补性的, 非朊基的
"
prostrate,"a. 拜倒的, 降伏的, 俯卧的, 衰竭的, 沮丧的
vt. 弄倒, 使屈服, 使俯伏, 使平卧"
prostration,"n. 平伏, 跪倒, 疲劳, 虚脱
"
protamine,n. [生化](鱼)精蛋白
protean,"a. 千变万化的, 变化不定的, (海神)普罗透斯的
"
protease,"n. 朊酶, 蛋白酶
"
proteasome, [医]蛋白酶体
protection,"n. 保护, 防卫, 贸易保护制度
"
protein,"n. 蛋白质
a. 蛋白质的"
proteinaceous,"a. 朊的, 蛋白质的"
proteinuria,"n. 蛋白尿
"
proteolysis,"n. 解朊作用, 蛋白水解作用
"
proteolytic,"a. 解朊的, 水解蛋白质的, 蛋白水解作用的
"
proteome, 蛋白质组
proteomics, 蛋白质组学
proteose,"[化]朊间质, "
proteus,"n. 普罗透斯(海神), 多变的人
"
prothrombin,"n. 凝血酶原
"
prothrombotic,[网络] 血栓；前血栓形成；血栓阻塞性
protist,n. 原生生物
protocol,"n. 草案, 礼仪, 协议
v. 拟定
"
proton,"n. 质子
"
protoplasm,"n. 原生质
"
protoporphyrin,n. [化]原卟啉
prototype,"n. 原型
"
protozoa,[医] 原生动物门
protozoal,"a. 原生动物的
"
protozoan,"n. 原生动物
"
protract,"vt. 延长, 拖延, 伸出, 绘制
"
protracted,a. 拖延的
protrude,"vi. 伸出, 突出
vt. 使伸出, 使突出"
protrusion,"n. 突出, 突出部, 露出
"
protuberant,"a. 突起的, 招人注意的"
prove,"vt. 证明, 查验, 检验, 勘探, 显示
vi. 证明是"
provide,"vt. 提供, 供应, 规定, 预备
vi. 作准备, 抚养, 规定"
province,"n. 省, 地方, 职权, 领域
"
provirus,n. [微]前病毒
provision,"n. (政府提供的)钱和设备, 准备, 供应品, 规定, 条款
vt. 供给...食物及必需品"
provocation,"n. 激怒, 刺激, 挑拨
"
provoke,"vt. 激怒, 惹起, 诱导
"
proximal,"a. 最接近的, 近中心的, 近身体中央的
"
proximally, [医]adv.最近地
proximity,"n. 接近, 亲近"
prudent,"a. 审慎的, 三思而后行的, 精明的, 节俭的"
pruritic,"a. 痒的
"
pruritus,"n. 瘙痒症
"
psammoma,沙瘤
pseudo,"a. 假的, 冒充的"
pseudoallele,n. [生]拟等位基因
pseudoaneurysm, 假动脉瘤
pseudoautosomal,[网络] 染色体
pseudodementia,[医] 假[性]痴呆
pseudogene,"n. 假遗传因子,假基因"
pseudoginseng, 田七
pseudogout,假性痛风; 软骨钙质沉着病
pseudomembranous,[医] 假膜的
pseudomonas,[医] 假单胞菌属
pseudomosaicism,无
pseudomyxoma,[医] 假粘液瘤
pseudopodium,"n. 假足, 虚足
"
pseudopyloric,假幽门腺
pseudorabies,"[医]狂犬病恐怖症(其症侯类似狂犬症), 伪狂犬病"
psittacosis,"n. 鹦鹉热
"
psoriasis,"n. 牛皮癣
"
psoriatic,"[医] 牛皮癣的, 牛皮癣患者"
psyche,"n. 灵魂, 精神, 普赛克(希腊神话中人类灵魂的化身)
"
psychiatric,"a. 精神病学的, 医精神病的
"
psychiatrist,"n. 精神病医生, 精神病学家
"
psychiatry,"n. 精神病学, 精神病治疗
"
psychoactive,"a. 对神经起显著作用的, 对神经起特殊作用的"
psychoanalysis,"n. 心理分析
"
psychodynamic,"a. 心理动力的
"
psychogenic,"[医] 精神性的, 心理性的"
psychologic,[医] 心理学的
psychologist,"n. 心理学家
"
psychology,"n. 心理学, 心理状态
"
psychometric,"a. 心理测量的,心理测量学的"
psychomotor,"a. 精神运动的
"
psychopathology,"n. 精神病理学
"
psychopathy,"n. 精神病, 精神变态, 精神疗法
"
psychosensory,"[医] 精神性感觉的, 心理感觉的"
psychosis,"n. 精神病, 精神不正常
"
psychosocial,社会心理的(指社会环境影响下的个人心理变化)
psychosomatic,"a. 身心的, 身心失调的
"
psychostimulant, 精神兴奋药
psychotherapy,"n. 精神疗法, 心理疗法
"
psychotic,"a. 精神病的
n. 精神病患者"
psychotropic,a. 治疗精神病的
pterin,n. [生化]蝶呤
puberty,"n. 青春期, 春情发动期
"
public,"n. 公众, 民众
a. 公众的, 公共的, 公立的, 公用的"
publication,"n. 出版物, 出版, 公布
"
puerarin,葛根素
puerperal,"a. 分娩的, 产后的
"
puerperium,"n. 产后期
"
puffiness,"n. 膨胀, 肿胀; 虚胖; 虚肿"
pulmonary,"a. 肺的, 与肺有关的, 有肺的
"
pulmonologist,n. 胸腔科医师
pulp,"n. 果肉, 纸浆
vt. 使化成纸浆, 除去...果肉
vi. 变成纸浆"
pulsate,"vi. 搏动, 悸动, 震动
"
pulsation,"n. 悸动, 震动
"
pulse,"n. 脉冲, 脉搏, 情绪, 意向, 拍子, 豆类
vi. 跳动, 脉跳
vt. 使跳动, 用脉冲调制
"
pump,"n. 抽水机, 打气筒, 泵, 抽吸
vt. 用唧筒抽水, 打气, 盘问, 倾注, 使疲惫
vi. 抽水, 上下(或往复)运动"
punch,"n. 打洞器, 钻孔机, 冲压机, 冲床, 潘趣酒
vt. 以拳重击, 开洞, 冲压
vi. 用拳猛击"
punctate,"a. 有小刻点的, 点状的
"
punctual,"a. 准时的, 守时的, 点状的, 中肯的
"
puncture,"n. 刺痕, 穿刺
vt. 刺穿, 刺, 揭穿
vi. 被刺穿"
pupil,"n. 学生, 门生, 未成年人, 瞳孔
"
pupillary,[医] 瞳孔的
purgation,"n. 清洁, 净化, 洗罪, 通便
"
purification,"n. 纯化, 提纯, 涤罪
"
purify,"vi. 变纯净
vt. 使纯净, 净化, 提纯, 精炼"
purine,"n. 嘌呤
"
purple,"n. 紫色, 帝位
a. 紫色的, 帝王的, 华而不实的
v. (使)成紫色"
purpura,"n. 紫癜
"
purpuric,"a. 紫癜的
"
pursue,"vt. 追赶, 追踪, 追随, 追求, 实行, 继续, 从事
vi. 追赶, 继续"
purulence,"n. 脓, 化脓
"
purulent,"a. 脓的, 化脓性的, 化脓的
"
pus,"n. 脓, 脓汁
"
putrefaction,"n. 腐败
"
putrefactive,"a. 腐败的, 易腐败的, 使腐败的
"
putrid,"a. 腐败的
"
puzzle,"n. 难题, 迷惑
vt. 使困惑, 使为难
vi. 迷惑, 苦思"
pycnometer,"n. 比重计
"
pyelectasis,[医] 肾盂扩张
pyelocystitis,[医] 肾盂膀胱炎
pyelography,n. [医]肾盂造影术
pyelonephritis,n. [医]肾盂肾炎
pyelostomy,[医] 肾盂造口术
pyemia,"n. 脓毒症, 脓血症
"
pyknosis,"n. [生化]固缩(现象),细胞致密变化"
pyloric,"a. 幽门的
"
pyloroplasty,幽门成形术
pylorus,"n. 幽门
"
pyogenic,"a. [医]生脓的,化脓的"
pyonephrosis,脓性肾病
pyothorax,脓胸
pyquiton,吡喹酮
pyrazinamide,吡嗪酰胺
pyrexia,"n. 发热, 热病
"
pyridoxine,n. [生化]维生素B6
pyrimethamine,"n. [药]乙嘧啶,息疟定"
pyrimidine,"n. 嘧啶
"
pyrogen,"n. 致热质, 发热原
"
pyrogenic,"发热的, 由热引起的, 热性的
"
pyrola,n. [植]鹿蹄草
pyrosequencing,[网络] 焦磷酸测序；焦磷酸测序技术；焦磷酸测序法
pyrosis,"n. 胃灼热
"
pyruvate,n. [化]丙酮酸盐(或酯)
pyuria,"n. 脓尿
"
quack,"n. 鸭叫声, 冒牌医生, 冒充内行之人
a. 冒牌医生的
v. 嘎嘎叫, 当冒牌医生, 夸大广告"
quadrant,"n. 四分之一圆, 象限, 象限仪
"
quadrate,"a. 正方形的, 长方形的
n. 正方形, 方骨
vt. 使适合, 使一致"
quadratipronator,[医] 旋前方肌
quadriceps,"n. 四头肌
"
quadriplegia,"n. 四肢瘫痪
"
quadruplet,"n. 四个构成的一组, 成套的四件, 四胞胎之一
"
qualification,"n. 资格, 条件, 限制
"
qualify,"vi. 取得资格, 有资格
vt. 使有资格, 使合格, 限定, 限制, 准予"
qualitative,"a. 性质的, 质的, 定性的"
qualitatively,adv. 质量上
quality,"n. 品质, 特性, 才能, 质量
a. 优质的
"
quantifiable,a. 可以计量的
quantify,"vt. 定量, 用数量表示, 测量"
quantitate,"vt. 测定...的数量, 用数量表示, 估计...的数量
"
quantitation," [医]定量, 测数量; 作定量估计"
quantitative,"a. 数量的, 定量的
"
quantitatively,"adv. 量, 数量上, 定量"
quantity,"n. 量, 数量, 总量
"
quarantine,"n. 隔离, 封锁交通, 检疫期
vt. 隔离, 排斥"
quartan,"a. 每第四天复发的
n. 三日症"
quartz,"n. 石英
"
quaternary,"a. 四个一组的, 四元的, 四价的, 季的
"
quest,"n. 探索, 寻求, 调查
v. 寻找, 找, 追寻猎物"
questionnaire,"n. 调查表, 问卷
"
quickening,"n. 胎动初期
a. 加快的, 活跃的"
quick-frozen,冻的
quiescent,"a. 静止的, 不活动的, 寂静的
"
quinidine,"n. 奎尼丁
"
quinine,"n. 奎宁
"
quit,"vi. 离开, 辞职, 停止
vt. 离开, 放弃, 使解除, 停止
n. 离开
"
quota,"n. 配额, 限额
"
quotient,"n. 商, 份额
"
rabies,"n. 狂犬病
"
raceme,"n. 总状花序
"
racemization,n. [化] 外消旋作用
radial,"a. 光线的, 光线状的, 放射状的, 半径的, 径向的
n. 光线, 射线"
radiate,"vt. 放射, 散发, 辐射, 传播, 广播
vi. 发光, 辐射, 流露
a. 有射线的, 辐射状的"
radiation,"n. 辐射
"
radical,"n. 激进分子, 词根, 基础, 根式, 根
a. 激进的, 根本的, 基本的, 根的"
radically,"adv. 根本地, 完全地"
radicular,"a. 根的, 小根的"
radioactive,"a. 放射性的, 有放射能的
"
radioactivity,"n. 放射性
"
radiochemical,a. 
radiograph,"n. 射线照片, 射线照相
vt. 拍射线照片"
radiographer,"n. 射线照相技师
"
radiography,"n. 射线照相术
"
radioimmunoassay,"n. 放射免疫测定, 放射免疫测定法
"
radioimmunometric,无
radioiodine,n. [特医][核] 放射碘
radioisotope,"n. 放射性同位素
"
radiolabel,vt.[化]用放射性同位素给…示踪或做标记
radioligand,放射性配体
radiologic,"a. 辐射学, 放射学
"
radiologically,adv. radiological的变形
radiology,"n. 辐射学, 放射学
"
radiolucent,"a. 射线可透过的
"
radionuclide,"n. 放射性核素
"
radiopaque,"a. 辐射不能显著穿透的
"
radiopharmaceutical,"n. & adj.(供诊断或治疗用的)放射性药物(的),放射药剂(的)"
radiopharmaceutics,放射药剂学
radioprotector,n. 辐射防护药物
radioreceptor,[生]辐射感受器
radiosensitizer,[化] 放射致敏剂
radiotherapy,"n. 放射疗法
"
radiotoxicology,n. 辐射毒害学
radishseed,无
radium,"n. 镭
"
radon,"n. 氡
"
rage,"n. 愤怒, 情绪激动, 狂暴
vi. 大怒, 狂吹, 流行"
rale,"n. 罗音, 水泡音
"
raman,n. 拉曼（姓氏）；拉曼（印度物理学家）
rampant,"a. 猖獗的, 蔓生的, 猛烈的, 跃立作扑击状的"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
randomize,"vt. 使随机化
"
randomly,"adv. 偶然, 胡乱, 无目的, 任意, 随便, 任取, 无规则, 机遇, 胡乱地, 任意地, 随便地
"
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
"
rank,"n. 等级, 排, 横列, 队伍, 阶级
a. 茂密丛生的, 恶臭的, 十足的, 粗俗的
vt. 排列, 归类于, 把...分等
vi. 列为, 列队
n. 秩
"
rapamycin, 纳巴霉素；雷怕霉素；雷帕霉素
rapidity,"n. 迅速, 急速, 速度"
rash,"a. 轻率的, 匆忙的, 鲁莽的
n. 皮疹"
rate,"n. 比率, 率, 速度, 价格, 费用, 等级
vt. 估价, 认为, 鉴定等级, 责骂
vi. 被评价, 责骂"
ratemeter,[电] 速率计
ratio,"n. 比, 比率
"
rational,"a. 理性的, 合理的
n. 有理数"
rationale,"n. 基本原理
"
rattle,"vt. 使嘎嘎响, 喋喋不休地说
vi. 格格响, 喋喋不休
n. 格格声, 拨浪鼓, 喋喋不休的话"
ravage,"n. 破坏, 蹂躏
v. 毁坏, 破坏, 掠夺"
reabsorb,[医] 重吸收
reabsorption,"n. 重吸收, 重吸收作用
"
reaction,"n. 反应, 反作用, 反动
"
readily,"adv. 迅速地, 轻易地, 乐意地"
reagent,"n. 试剂, 反应物
"
reaginic, [医]反应素的
realgar,"n. 雄黄
"
realm,"n. 王国, 领土, 领域
"
real-world, 真实世界
reanimate,"vt. 使复活, 鼓舞, 鼓励
"
rearrangement,
reasonable,"a. 合理的, 明理的, 适当的
"
reasonably,"adv. 适度地, 相当地"
reassurance,"n. 安心, 放心, 再保证"
reassure,"vt. 使...安心, 向...再保证
"
recall,"n. 回忆, 召回, 撤消
vt. 回想, 回忆, 召回, 撤消, 使恢复
"
recanalisation,管道再造
recapitulate,"v. 重述要点, 概括, 摘要"
receptacle,"n. 容器, 花托, 插座
"
reception,"n. 接待, 接受, 招待会
"
receptive,"a. 能接纳的
"
receptor,"n. 受体, 感觉器官
"
recess,"n. 休息, 休会, 放假, 凹进处, 深处
vt. 使凹进
vi. 休假, 休息"
recessive,"a. 后退的, 逆行的, 隐性的
n. 隐性性状"
recessively, 逆行的
recipient,"a. 领受的, 容易接受的, 感受性强的
n. 领受者, 容纳者, 容器"
reciprocal,"a. 互惠的, 相互的, 相等的, 倒数的, 彼此相反的
n. 倒数, 互相起作用的事物"
reckon,"vt. 计算, 总计, 估计, 认为, 猜想
vi. 数, 计算, 估计, 依赖, 料想"
reclosure,[化] 再次接入
recognition,"n. 赞誉, 认得, 识别, 承认, 认可, 认识
"
recognizable,"a. 可认识的, 可承认的, 可识别的
"
recognize,"vt. 认出, 认可, 承认, 公认, 识别, 赏识
vi. 承认, 具结"
recombinant,"n. 重组, 重组物"
recombination,"n. 再组合.重组合, 复合, 再化合
"
recommend,"vt. 推荐, 介绍, 劝告, 使受欢迎, 托付
"
reconfirm,"vt. 再证实, 再确认
"
reconstitution,"n. 重新组建, 重新构建"
reconstruction,"n. 改造, 再建
"
reconstructive,"a. 再建的, 改造的"
recount,"vt. 详述, 叙述, 重新计算
n. 重新计算"
recoverability,可复(原)性
recovery,"n. 恢复, 复原, 痊愈, 重获
"
recreational,"a. 消遣的, 娱乐的"
recruitment,"n. 新兵征召
"
rectal,"a. 直肠的
"
rectovaginal,[医] 直肠阴道的
rectum,"n. 直肠
"
recumbent,"a. 斜靠着的, 躺着的, 不活泼的, 休息着的
"
recuperation,"n. 恢复
"
recur,"vi. 复发, 回到, 重现, 再来, 诉诸, 采用, 循环"
recurrence,"n. 再现, 再发生, 反复, 循环
"
recurrent,"a. 再发生的, 定期重复的, 循环的
"
redistribute,"vt. 重新分配, 再分发
"
redress,"n. 赔偿, 补救, 矫正
vt. 纠正, 赔偿, 救济"
reduce,"vt. 减少, 分解, 降低, 使衰退, 把...分解, 把...归纳
vi. 减少, 减肥, 缩小
"
reduced,a. 减少的；简化的；缩减的
reducible,"a. 可缩小的, 可降低的
"
reduction,"n. 减少, 缩影, 变化
"
redundancy,"n. 过多, 冗长, 累赘, 多余, 冗余位, 冗余度, 冗余码, 多余信息
"
reemphasize,vt. 再度（重新）强调
reentry,"n. 再入, 再进"
reestablish,"vt. 重建, 复兴, 恢复"
refer,"vt. 提交, 归诸于, 把...提交, 使求助于
vi. 提到, 涉及, 查阅, 查询, 咨询"
referable,"a. 可归诸...的, 与...有关的"
reference,"n. 参考, 索引, 参照
vt. 给...加上参考资料
vt. 引用
vi. 引用
"
referral,"n. 参照, 介绍, 被介绍人, 转诊病人"
refine,"vt. 精炼, 净化, 使优雅, 使精炼
vi. 被精炼, 被净化"
refined,"a. 精炼的, 优雅的, 精细的
"
refinement,"n. 精致, 高尚, 精巧
"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
reflection,"n. 反映, 沉思, 映像, 想法, 责难
"
reflex,"n. 反射, 反射光, 映像
a. 反射的, 折转的
vt. 使折转, 使折回"
reflux,"n. 逆流, 退潮
"
refraction,"n. 折光, 折射
"
refractive,"a. 折射的, 有折射力的
"
refractory,"a. 不听话的, 执拗的, 难治疗的, 耐火的
"
refresh,"vt. 使清新, 使恢复, 使生气蓬勃
vi. 提起精神, 恢复精神, 吃点心, 喝饮料
vt. 刷新, 重新整理
vi. 刷新, 重新整理
"
refrigerate,"vt. 使冷却, 使清凉, 冷藏
"
refrigeration,"n. 冷却, 冷藏, 冷冻
"
refutation,"n. 反驳, 辩驳, 反驳的证据
"
refute,"vt. 反驳, 驳斥；驳倒"
regenerate,"vt. 使再生, 重建, 革新
vi. 新生, 再生
a. 新生的, 再生的
"
