counteract,"vt. 抵消, 阻碍, 中和
"
flawed,a. 有缺陷的；有裂纹的；有瑕疵的
flint,"n. 打火石, 燧石, 极硬的东西
"
gallery,"n. 走廊, 最高楼座, 画廊, 收集, 图库
"
gloss,"n. 光彩, 假象, 注释
vt. 使光彩, 掩盖, 上光于, 注释, 曲解
vi. 发光, 作注释"
grand,"a. 庄重的, 壮观的, 显赫的, 重大的, 最高的, 雄伟的, 宏大的, 豪华的, 傲慢的
"
half human,[网络] 半人；半人的；半人类
hall,"n. 门厅, 走廊, 会堂"
hallowed,"a. 神圣化的, 神圣的"
harridan,"n. 凶恶的老妇, 丑婆, 鬼婆"
have ... in common with,[网络] 与…有共同之处；和…有共同之处；有共同点
historic,"a. 历史上著名的, 有历史性的"
hitherto,"adv. 迄今, 至今"
hollow,"n. 洞, 窟窿, 山谷
a. 空的, 虚伪的, 空腹的, 凹的
vi. 形成空洞
vt. 挖空"
homestay,n. （在国外的访问者）在当地居民家居住的时期
humanity,"n. 人性, 人类, 博爱"
imitation,"n. 模仿, 效法, 冒充, 赝品
"
intricate,"a. 复杂的, 错综的, 缠结的, 难懂的"
irony,"n. 反语, 讽刺, 具有讽刺意味的事"
keystone,"n. 拱顶石, 楔石, 重点"
location,"n. 位置, 场所, 特定区域
"
loop,"n. 环, 圈, 弯曲部分, 循环
vt. 使成环, 以圈结, 以环连结
vi. 打环, 翻筋斗
"
make-believe world,无
marvel,"n. 奇异事物, 罕见例子
vt. 惊异于
vi. 惊异"
masterpiece,"n. 杰作, 名著"
metaphor,n. 隐喻
motif,"n. 主题, 基调, 动机, 基本图案
"
narrative,"n. 叙述, 故事
a. 叙述的, 叙事的, 故事体的"
offspring,"n. 子孙, 后代, 产物
"
overlap,"n. 重叠, 重复, 部分的同时发生
vt. 重叠, 重复, 与...同时发生
vi. 迭盖, 部分的同时发生
"
pedigree,"n. 血统, 家谱, 名门世系
"
picturesque,"a. 生动的, 如画的, 独特的, 别致的, 栩栩如生的"
pitch,"n. 程度, 坡度, 顶点, 前倾, 倾斜, 投掷, 音高, 螺距, 节距, 摊位, 树脂, 沥青
vt. 投, 掷, 向前倾跌, 扎营, 竭力推销, 为...定调, 定位于, 用沥青涂
vi. 搭帐篷, 投掷, 向前跌, 猛然摔倒, 坠落, 倾斜
"
reel,"n. 卷轴, 一卷, 纺车, 旋转, 蹒跚
vt. 卷...于轴上, 绕, 使旋转
vi. 蹒跚地走, 旋转, 眩晕, 摇晃, 退缩
"
romance,"n. 冒险故事, 浪漫史, 传奇文学
vi. 写传奇, 作空想, 虚构"
shade,"n. 荫, 阴暗, 遮光物, 灯罩, 帘, 浓淡, 微量, 底纹
vi. 渐变
vt. 使阴暗, 使渐变, 遮蔽, 微减
"
shed,"n. 车棚, 小屋, 脱落之物, 分水岭
vt. 使流出, 放射, 脱落, 散发, 摆脱
vi. 流出, 散布, 脱落"
situated,"a. 位于...的, 坐落在...的, 处于某种境地的
"
spontaneous,"a. 自然的, 自发的, 未经琢磨的
"
storey,"n. 楼, 楼层, 层楼"
strand,"n. (绳索的)股, 绳, 串, 海滨, 河岸
vi. 搁浅
vt. 使搁浅, 使落后, 使陷于困境, 弄断, 搓"
string,"n. 线, 细绳, 一串, 字符串
vt. 串起, 成串, 收紧, 缚, 扎
vi. 成一串
"
suspenseful tension,无
technique,"n. 技巧, 技术, 方法
"
tilt,"n. 倾斜, 倾向, 船篷, 车篷
vt. 使倾斜, 使倾侧, 用帆布篷遮盖
vi. 倾斜, 翘起, 冲, 评击
"
trace,"n. 痕迹, 踪迹, 微量, 迹线, 缰绳
vt. 追踪, 回溯, 描绘
vi. 追溯, 沿路走"
tragic,"a. 悲惨的, 悲剧的"
tune,"n. 歌曲, 主旋律, 心情, 声调, 和谐, 一致, 语调, 程度
vt. 为...调音, 调整, 调谐, 使一致
vi. 协调, 调谐"
unique,"a. 独一无二的, 独特的, 稀罕的"
unquote,"vi. 结束(引文)
"
vernacular,"n. 本地话, 方言
a. 地方的, 用本地语写成的"
wonder,"n. 奇迹, 惊奇, 惊愕
vt. 惊奇, 想知道
vi. 惊讶, 怀疑"
average,"n. 平均, 平均数, 一般水平, 海损
a. 平均的, 中等的, 平常的
vt. 算出...平均数, 平均做, 均分, 使平衡
vi. 平均为, 呈中间色"
binary unit,二进制单位
centrifugal force,[化] 离心力
clockwise,"a. 顺时针方向的
adv. 顺时针方向地"
cube,"n. 立方体, 立方
"
dot,"n. 点, 圆点, 小数点, 小东西, 嫁妆
vt. 作小点记号, 加小点于
vi. 打上点
"
electrical,"a. 电的, 有关电的
"
element,"n. 元件, 元素, 要素
"
flask,"n. 细颈瓶, 烧瓶, 小水瓶
"
frequency,"n. 频率, 频数
"
friction,"n. 摩擦, 摩擦治疗, 不和
"
fuse,"n. 保险丝, 导火线
v. 熔化, 融合"
gauge,"n. 标准度量, 计量器
vt. 精确计量, 估计
"
geometrical,"a. 几何学的, 几何的
"
glutamate,"n. 谷氨酸盐, 味精, 谷氨酸脂
"
halve,"vt. 二等分, 对半分享, 把...减半"
helix,"n. 螺旋, 螺旋状物, 耳轮
"
historical,"a. 历史的, 史实的, 历史上的
"
horizontal,"n. 水平线, 水平面, 水平位置
a. 水平线的, 平坦的, 横的
n. 水平
"
intensity,"n. 强烈, 紧张, 强度
"
ion,"n. 离子
"
magnet,"n. 磁铁, 有吸引力之人, 有吸引力之物
"
magnetic,"a. 有磁性的, 有吸引力的, 催眠术的
"
momentum,"n. 动力, 动量
"
odd,"a. 奇数的, 古怪的, 剩余的, 零散的, 各种各样的, 少量的
n. 奇特的事物, 怪人
"
on the same wavelength,"na. 观点一致
"
orbit,"n. 轨道, 常轨, 眼眶
vt. 绕...轨道而行
vi. 进入轨道, 盘旋"
particulate,"n. 微粒
a. 微粒的"
plus,"prep. 加上, 加, 外加
a. 正的, 附加的
n. 正号, 加号, 附加额, 正数, 增益
"
polar explanations,无
pulley,"n. 滑车, 滑轮
"
qualitative,"a. 性质的, 质的, 定性的"
radius,"n. 半径, 范围, 辐射光线
"
ratio,"n. 比, 比率
"
rim,"n. 边, 轮缘, 框
vt. 镶边, 为...装边
vi. 形成边缘"
sample,"n. 样品, 范例, 样本
vt. 抽样, 尝试
"
statistic,"n. 统计量
a. 统计的, 统计学的"
statistical,"a. 统计的, 统计上的, 统计学的
"
sundial,"n. 日规, 日晷"
twofold,"a. 两倍的, 两重的
adv. 两倍地, 两重地"
vertical,"a. 垂直的, 直立的
"
volt,"n. 伏特
"
attitude,"n. 态度, 看法, 姿势
"
back up,"na. 支持；堵塞；【棒球】抢救后方；【计算机】把(文件等备份)
"
beam,"n. 横梁, 杆, 光线, 容光焕发
vi. 用梁支承, 微笑, 射出光线
vt. 照耀, 感到欣喜
"
bet,"n. 打赌, 赌注
v. 打赌"
blast,"n. 一阵风, 爆炸, 枯萎病
vt. 炸, 使枯萎
vi. 炸, 猛攻, 猛烈抨击, 枯萎"
blaze,"n. 火焰, 烈火, 光辉
vi. 燃烧, 发光
vt. 使燃烧, 宣布, 在树皮上刻痕"
blend,"vt. 混合
n. 混合"
blonde,"a. (头发)亚麻色的, 淡色的, 白肤金发碧眼的, 白里透红的, 白皙的, 淡黄色的
n. 肤色白皙的金发女人"
bring out,"na. 公布；说出；出版；上演
"
bulge,"n. 胀, 膨胀
vi. 凸出
vt. 使膨胀"
bulletin,"n. 公告, 布告, 公报
"
bully,"n. 欺凌弱小者, 土霸
vt. 威胁, 恐吓, 欺负
vi. 欺负
a. 特好的, 第一流的
adv. 十分"
burgeon,"n. 芽, 嫩枝
v. 萌芽, 发芽"
catastrophe,"n. 大灾难, 大祸
"
champion,"n. 冠军, 拥护者, 战士
vt. 保卫, 拥护
a. 优胜的"
chaos,"n. 大混乱, 混沌
"
come down to,"流传下来;压缩为,归结为,简化为"
come to the fore,"出名, 成为显赫人物"
convenient,"a. 方便的, 合宜的
"
cosset,"n. 供玩赏的小动物, 爱畜
vt. 宠爱, 珍爱, 溺爱"
county,"n. 县, 郡"
couple,"n. 对, 夫妇, 数个
vt. 使成双, 连接, 使成婚, 把...联系起来
vi. 结合, 成婚"
crack,"n. 裂缝, 爆裂声
v. (使)爆裂, (使)裂开, (使)发出爆裂声
a. 第一流的
adv. 啪地一声"
despite,"n. 轻视, 憎恨
prep. 虽然, 尽管"
dice with death,冒巨大危险
district,"n. 区域, 地方
"
fact sheet,n. 情况说明书
fake,"n. 假货, 欺骗, 诡计
a. 假的
vt. 假造, 仿造
vi. 伪装"
fashion,"n. 流行, 风尚, 时样
vt. 形成, 造, 作"
feedback,"n. 反馈, 反应
"
fitting,"a. 适宜的
n. 试穿, 试衣, 装配, 装置"
flame,"n. 火焰, 火舌, 热情, 光辉
vt. 焚烧, 用火焰给...灭菌, 用火焰传送(信号), 点燃, 激动
vi. 燃烧, 爆发, 闪耀
"
front-line,"前线, 第一线"
glimpse,"n. 一瞥, 一闪
vi. 投以一瞥, 闪烁不定
vt. 瞥见"
grab,"n. 抓握, 掠夺, 强占, 东方沿岸帆船
vi. 抓取, 抢去
vt. 攫取, 捕获, 霸占"
grudge,"n. 怨恨, 恶意
vt. 怀恨, 嫉妒, 吝惜"
guiding spirit,[网络] 引导的灵；灵魂导向；牵魂圣灵
hand out,"na. 分；拿出来；施舍
"
hinder,"a. 后面的
v. 阻碍, 打扰"
honour,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
huddle,"n. 杂乱一团, 混乱, 拥挤
vt. 把...挤在一起, 乱堆, 草率了事, 蜷曲
vi. 挤作一团, 蜷缩"
ideal,"n. 理想, 典范, 观念, 思想, 最后目标
a. 理想的, 完美的, 空想的, 观念的, 唯心论的"
in store,"贮藏着, 保存着, 准备着, 将要发生
"
in the offing,即将发生的
invading soldiers,无
invoice,"n. 发票, 发货单
v. 开发票, 记清单"
jeopardise,"vt. 使受危险, 危及, 危害
"
jostle,"n. 推挤, 冲撞
vi. 推挤, 冲撞
vt. 推, 挤, 煽动"
knock down,"na. 打倒；拆除；拆卸；(拍卖时)敲槌卖出
"
large-scale,"[计] 大型的, 大规模的"
libel,"n. 以文字损害名誉, 诽谤罪, 侮辱
v. 诽谤, 中伤, 损害名誉"
make a contribution, 建树
make a fuss of sb.,"使倍受注目,对…过分体贴"
make a fuss over sb.,过分关心(或体贴)
mass,"n. 块, 大多数, 质量, 大量, 群众, 弥撒
a. 群众的, 大规模的, 整个的
vt. 使集合, 集中
vi. 聚集"
mitigate,"vt. 温和, 缓和, 减轻
"
newsletter,"n. 时事通讯, 业务通讯, 时事传报
"
notice board,[化] 警告牌
onslaught,"n. 突击, 猛击, 猛攻"
out of print,"已绝版, 已售完
"
pamper,"vt. 放纵, 使吃饱, 使过量"
panic,"n. 恐慌, 惊慌
a. 惊慌的, 没有理由的, 恐慌的
vt. 使惊慌, 使狂热
vi. 惊慌"
periodical,"n. 期刊
a. 定期出版的, (有关)期刊的, 间歇(性的), 周期的, 定期的"
precarious,"a. 不稳定的, 不安的, 危险的"
printed reproduction,无
prone,"a. 俯伏的, 面向下的, 有...倾向的
"
prorated system,无
punch,"n. 打洞器, 钻孔机, 冲压机, 冲床, 潘趣酒
vt. 以拳重击, 开洞, 冲压
vi. 用拳猛击"
questionnaire,"n. 调查表, 问卷
"
requirement,"n. 需求, 必要条件, 要求
"
rescue,"n. 援救, 解救, 营救
vt. 援救, 救出, 营救"
resident,"n. 居民, 常驻程序, 居住者, 留鸟
a. 居留的, 定居的"
residential,"a. 住宅的, 与居住有关的
"
restore,"vt. 回复, 恢复, 归还, 修补, 修复
vt. 还原
vi. 还原
"
rig,"n. 装备, 帆装
vt. 装配, 装扮, 给船装帆, 垄断, 操纵"
rumour,"n. 谣言, 传闻
vt. 谣传"
scamper,"n. 蹦跳, 奔跑, 浏览
vi. 蹦跳, 奔跑, 浏览"
scatter,"n. 消散, 分散, 散播, 散射, 散布, 酒馆
vi. 散布, 散播, 消散
vt. 使消散, 使分散, 撒, 散布, 散播, 散射
"
scour,"vt. 擦亮, 洗涤, 清洗, 冲刷成, 急速穿过
vi. 擦, 洗, 冲刷, 腹泻, 急速穿行
n. 擦, 洗, 腹泻, 洗涤剂"
scout,"n. 守候, 侦察, 搜索, 侦察员, 侦察机
vi. 守候, 侦察, 巡视, 嘲笑
vt. 侦察, 跟踪, 发现, 监视, 嘲弄"
scream,"n. 尖叫声
vi. 尖叫, 大笑, 尖啸, 令人震惊
vt. 尖叫着说, 大叫大嚷着要求"
scuffle,"vi. 扭打, 混战, 拖着脚走, 敷衍了事
n. 扭打, 混战, 拖着脚走"
shatter,"n. 碎片, 粉碎, 落叶, 喷洒
vt. 打碎, 使散开, 粉碎, 破坏
vi. 粉碎, 损坏, 脱落"
skew,"a. 斜的, 歪的
n. 歪斜, 偏态家庭关系
vi. 歪斜, 侧转
vt. 使歪斜, 曲解
"
slander,"n. 中伤, 诽谤
vt. 中伤, 诽谤"
spill,"n. 溢出, 溅出, 摔下, 溢出量, 木片, 小塞子
vt. 使溢出, 使散落, 洒, 使流出, 倒出, 使摔下
vi. 溢出, 涌流, 摔下"
spoil,"n. 战利品, 赃物, 奖品, 变质, 次品
vt. 损坏, 破坏, 溺爱
vi. 腐坏, 掠夺"
spouse,n. 配偶
starve,"v. (使)饿死, (使)挨饿"
strike,"n. 罢工, 打击, 殴打
vt. 打, 撞击, 冲击, 侵袭, 取消, 结算, 打掉, 罢工, 刺透, 使生根, 遇见
vi. 打, 打击, 抓, 罢工, 搏动, 触礁, 敲, 响, 穿透, 打动"
swap,"n. 以货易货
v. 交换, 替换, 交易
"
take its toll,"造成损失,造成伤亡"
tempt,"vt. 诱惑, 引诱, 引起...的兴趣, 吸引, 冒...风险"
tense,"a. 紧张的, 拉紧的
v. (使)紧张, (使)拉紧
n. 时态"
trend,"n. 趋势, 倾向, 走向
vi. 倾向, 转向
"
union,"n. 联盟, 联合, 结合, 工会
"
victim,"n. 受害人, 牺牲者, 牺牲品
"
wealthy,"a. 富有的, 丰裕的, 充分的"
wretch,"n. 可怜的人, 卑鄙的人, 家伙"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
argue,"vi. 提出理由, 争论, 辩论
vt. 主张, 辩论, 证明, 说服"
badge,"n. 徽章, 标记
"
be pierced by,无
betray,"vt. 出卖, 背叛, 辜负, 暴露
"
bound,"n. 跃, 回跳, 范围, 边界
a. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的
vi. 跳跃, 弹起
vt. 使跳, 限制, 形成...的疆界
bind过去式和过去分词
"
brutal,"a. 残忍的, 野蛮的, 不讲理的"
burglar,"n. 窃贼
"
cameral,a. 有关立法或司法机构之一院的
cancel,"n. 取消, 撤消, 盖销(邮票)
vt. 取消, 删去, 抵销, 盖销
vi. 相互抵销
"
clue,"n. 线索, 暗示
vt. 暗示, 提供线索"
compensation,"n. 补偿, 赔偿金, 工资
"
concealed drug,无
counsel,"n. 商议, 忠告, 法律顾问
v. 商议, 劝告"
crime,"n. 犯罪, 罪行, 罪恶
"
defence,"n. 防卫, 防卫设备
"
deny,"v. 否认, 拒绝"
dismantle,"vt. 拆除...的设备, 分解, 去除覆盖物"
draw up,"na. 写出；正容；整(队)；拉起(鱼网等)
"
drug detection,无
dupe,"n. 傻瓜, 易受骗的人
vt. 欺骗, 愚弄"
entice,"vt. 诱骗, 引诱, 怂恿"
execution,"n. 实行, 完成, 执行, 死刑
"
feeble,"a. 微弱的, 衰弱的, 无效的
"
flee,"vt. 逃避, 逃跑, 逃走
vi. 逃, 消失"
frame,"n. 框, 结构, 体格
vt. 构成, 设计, 制定, 使适合, 陷害
"
fraud,"n. 欺骗, 欺诈, 诡计, 骗子
"
gang,"n. 队, 群, 帮
vi. 成群结队, 结成一伙
vt. 使成群结队"
gender,"n. 性
vt. 产生"
given,"a. 赠予的, 沉溺的, 约定的
give的过去分词"
gullibly,"易受骗地
轻信地"
hang,"n. 悬挂, 诀窍, 意义
vt. 悬挂, 附着, 装饰, 垂下, 踌躇, 绞死, 使悬而未决
vi. 悬着, 垂下, 被绞死, 悬而不决"
hazard,"n. 冒险, 危险, 机会
vt. 冒...的危险, 赌运气, 使冒危险
"
in accordance with,"与...一致, 依照"
item,"n. 项目, 条款, 一则, 项
"
jargon,"n. 专门术语, 行话, 梦话, 土语
"
lawsuit,"n. 诉讼
"
menace,"n. 威胁, 胁迫
v. 威吓, 胁迫"
murder,"n. 谋杀
vt. 谋杀, 损毁, 破坏
vi. 犯杀人罪"
pirate,"n. 海盗, 盗印者, 侵犯专利权者
vt. 盗印, 掠夺, 翻印
vi. 做海盗, 从事劫掠"
pitfall,"n. 陷阱, 诱惑, 阴谋, 易犯的错误, 意想不到的困难"
plot,"n. 小块土地, 地区图, 图, 阴谋, 情节
vt. 划分, 绘图, 密谋
vi. 密谋, 策划
"
poison,"n. 毒药, 毒, 毒物, 有毒害的事物
vt. 毒害, 毒杀, 使中毒
vi. 放毒, 下毒"
post-mortem,
proof,"n. 证据, 证明, 试验, 检验, 考验
a. 不能透入的, 证明用的, 防...的, 耐...的
vt. 检验, 试验, 校对, 使不被穿透
"
regardless,"a. 不管, 不注意, 不顾"
responsibility,"n. 责任, 职责, 负担, 可靠性
"
retaliate,"vt. 报复, 回敬
vi. 报复, 以牙还牙"
sack,"n. 麻布袋, 洗劫
vt. 把...装入袋, 洗劫"
sinister,"a. 不吉利的, 凶恶的, 左边的
"
smear,"vt. 涂, 擦上, 玷污, 把...擦模糊
vi. 被弄脏
n. 污点, 污迹, 污蔑"
smother,"vt. 使喘不过气, 使窒息, 闷熄, 忍住, 抑制, 覆盖
vi. 窒息, 被抑制
n. 浓烟, 窒息状态, 杂乱无章"
solicitor,"n. (英)律师, 初级律师, (美)法务官, (美)掮客, 游说者, (美)募捐者
"
spite,"n. 恶意, 怨恨, 使人烦恼的事物
vt. 故意刁难, 欺侮"
spot,"n. 污点, 地点, 斑点, 点, 娱乐场所, 处境, 少量
a. 当场的, 现场的, 现货买卖的, 现金交易的, 抽样的
vt. 点缀, 玷污, 认出, 准确定...的位, 用灯光照射
vi. 玷污, (从空中)侦察敌方目标"
standard,"n. 标准, 规格, 旗, 军旗, 本位
a. 标准的, 合规格的
"
stash,"vt. 藏起来
n. 隐藏处, 隐藏物"
strip,"n. 长条, 条状, 带, 脱衣舞
vt. 脱衣, 被剥去, 剥夺, 拆卸
vi. 脱衣服"
swear,"vt. 发誓, 咒骂, 使宣誓
vi. 发誓, 诅咒
n. 诅咒, 誓言"
threaten,"vt. 恐吓, 威胁, 预示...的凶兆
vi. 威胁, 恫吓, 可能来临"
trap,"n. 圈套, 陷阱, 诡计, 存水弯
vi. 设圈套, 设陷阱
vt. 诱捕, 诱骗, 抓住, 使受限制
"
trick,"n. 诡计, 欺诈, 谋略, 恶作剧, 习惯, 决窍
vt. 愚弄, 欺骗, 装饰
vi. 哄骗, 戏弄
a. 有决窍的, 特技的, 欺诈的, 漂亮的, 靠不住的"
venue,"n. 犯罪地点, 审判地, 发生地点"
vicious,"a. 邪恶的, 堕落的, 品性不端的, 恶毒的, 恶性的, 有错误的
"
vile,"a. 恶劣的, 肮脏的, 低廉的, 卑鄙的
"
violate,"vt. 违犯, 亵渎, 违反, 侵犯, 妨碍
"
violence,"n. 猛烈, 暴力, 暴虐, 暴行
"
witness,"n. 证人, 目击者, 证据, 证词
vt. 目击, 作证, 证明, 表明
vi. 作证人, 作为证据"
administer,"vt. 管理, 料理, 执行
vi. 执行遗产管理人的职责, 给予帮助"
alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
ambassador,"n. 大使
"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
banner,"n. 旗帜
a. 显著的, 特别好的"
belief,"n. 信念, 相信, 信仰"
bolster,"n. 支持, 长枕
vt. 支持, 支撑"
bureau,"n. 局, 办公处
"
cede,"vt. 割让
"
ceremony,"n. 典礼, 仪式, 礼节
"
chief,"n. 领袖, 酋长, 长官, 主要部分
a. 主要的, 首位的"
civil,"a. 市民的, 公民的, 有礼貌的
"
clash,"n. 冲突, 撞击声, 抵触
vi. 冲突, 抵触
vt. 使发出撞击声
"
colony,"n. 殖民地, 移民队
"
come to light,"na. 显露
"
commence,"v. (使)开始, 得学位"
commonwealth,n. 共和国；联邦；国民整体
consulate,"n. 领事, 领事任期, 领事馆
"
cut back,"na. 缩减；修剪(树枝等)；回叙往事
"
discharge,"vt. 卸下, 放出, 解雇, 拔染, 履行, 放电
vi. 卸货, 流出
n. 卸货, 流出, 放电"
downsize,vt. 以较小尺寸设计；缩小尺寸；裁减人数
drop out of,"退出,辍学,脱离"
effective,"a. 有效的, 有力的, 实际的
n. 有生力量"
embassy,"n. 大使馆, 大使馆全体人员
"
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
exile,"n. 放逐, 流放, 被放逐者
vt. 放逐, 流放, 使背井离乡"
favour,"n. 好感, 偏爱, 喜爱, 相信, 庇护, 赞同, 支持, 信赖, 善行, 恩惠, 徽章, 礼物
vt. 赞成, 帮助, 支持, 喜爱, 偏袒, 关切, 赐与, 给与, 有利于, 有助于, 像, 体恤"
govern,"v. 统治, 支配, 管理"
grope,"v. 摸索
n. 摸索"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
harmony,"n. 协调, 和睦, 调和
"
hierarchy,"n. 等级制度, 僧侣统治, 等级体系
"
highlight,"n. 加亮区, 精彩场面
vt. 加亮, 使显著, 以强光照射, 突出
"
improve,"vt. 改良, 提高...的价值, 改善, 利用
vi. 变得更好, 增加"
improvement,"n. 进步, 改善, 利用
"
in opposition to,"反对,与…背道而驰"
initiative,"n. 主动行动, 首创精神, 主动权
a. 自发的, 起始的"
internal,"a. 内在的, 国内的
"
interpretation,"n. 解释, 演出, 翻译
"
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
keep an open mind,"愿听取〔接受, 考虑〕别人的意见〔想法〕"
lobby,"n. 大厅, 休息室, 游说议员者
vi. 游说议员, 游说
vt. 游说"
loose,"n. 发射, 放任, 放纵
a. 宽松的, 松的, 宽的, 不牢固的, 散漫的, 自由的, 不精确的
vt. 释放, 放枪, 开船
vi. 变松, 开火
adv. 松散地"
make a deal, 成交；达成交易
manoeuvre,"n. 调遣, 演习, 策略
vi. 调动, 演习, 用策略
vt. 调动, 操纵"
martial,"a. 战争的, 军事的, 尚武的, 威武的
"
outlook,"n. 观点, 景色, 前途, 了望
"
patriotic,"a. 爱国的, 有爱国心的
"
pave the way for ...,为...铺平道路
poll,"n. 投票, 民意测验, 选举投票, 投票数, 一组人中的一个, 头颈和后脑部, 鹦鹉
vt. 对...进行民意测验, 获得...票, 剪树枝, 轮询
vi. 投票
a. 剪过毛的, 修过枝的
"
premier,"n. 总理, 首相
a. 首位的, 最初的"
presence,"n. 出席, 面前, 存在, 仪态, 风度
"
proposition,"n. 建议, 命题, 主张
vt. 向...提议, 向...提出猥亵的要求"
provisional,"a. 暂时的, 暂定的, 临时的
"
realistic,"a. 现实的, 逼真的, 现实主义的, 实在论的"
rigid,"a. 坚硬的, 刚性的, 严格的, 精密的, 刻板的"
round off,"na. 弄圆；使成熟；使完美；使圆满
"
scandal,"n. 丑闻, 中伤, 耻辱, 反感, 流言蜚语
"
session,"n. 期间, 开庭期, 会议, 学期
"
slash,"v. 猛砍, 乱砍
n. 猛砍, 乱砍, 删减
"
standpoint,"n. 立场, 观点"
symbolic,"a. 象征的, 符号的
"
take action,"采取行动, 提出诉讼"
target,"n. 目标, 靶子, 指标
vt. 对准, 订指标"
the tip of the iceberg,"重要情况〔重大问题等〕显露出的小部分, 冰山的一角"
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
vote down,"na. 否决
"
weigh,"vt. 称...重量, 衡量, 把...压弯, 考虑, 权衡, 起锚
vi. 称分量, 有意义, 重压, 起锚
n. 过秤, 称分量"
well-being,n. 健康; 幸福; 保持良好状态
add up to,合计达
advertise,"vt. 做广告, 通知, 公布
vi. 做广告"
amount,"n. 总数, 总额
vi. 总计, 等同"
an alarming turn,无
assess,"vt. 估定, 对...征税, 评定
"
asset,"n. 资产, 有益的东西"
balance,"n. 平衡, 差额
vi. 平衡, 相等
vt. 称, 权衡, 比较, 使平衡, 结算, 抵消"
be based in,无
behalf,"n. 利益, 方面"
bid,"n. 出价
v. 命令, 吩咐, 请求, 表示, 宣布, 投标"
bounce,"n. 跳, 跳跃, 弹力, 撞击
vi. 反跳, 弹跳
vt. 使跳回, 撞击
"
brand,"n. 商标, 牌子, 烙印
vt. 打烙印于"
bubble,"n. 泡沫
vi. 冒泡, 沸腾
vt. 使冒泡, 滔滔不绝地说"
budget,"n. 预算
vi. 编预算
vt. 编入预算, 安排
a. 廉价的"
coffer,"n. 保险箱, 金库
vt. 把...锁进箱子"
crisis,"n. 危机, 危险期, 紧要关头
"
curb,"n. 抑制, 勒马绳, 边石
vt. 抑制, 束缚, 勒住"
cut down on, 减少; 节省
debt,"n. 债务, 罪过
"
discount,"n. 折扣, 贴现率
vt. 打折扣
vi. 贴现"
due,"n. 应得的东西, 应付款
a. 到期的, 应得的, 应付的, 约定的"
dwindle,"vi. 减少, 缩小, 衰落
vt. 使缩小"
economical,"a. 节俭的, 经济的, 合算的
"
enhance,"vt. 提高, 加强, 增加"
estimate,"n. 估计, 判断
vt. 估计, 评价, 判断
vi. 估计"
fair,"n. 展览会, 市集, 美好的事物
a. 公平的, 按规则进行的, 不好不坏的, 晴朗的, 美丽的
adv. 公平地, 正面地, 有教养地, 清楚地
vi. 转晴"
financial,"a. 财政的, 金融的
"
forum,"n. 论坛, 公开讨论的广场, 法庭, 讨论会
"
free up, 开放 （市场、经济或体制）; 释放
fund,"n. 基金, 资金, 存款, 财源, 贮藏
vt. 提供资金, 积累"
guinea,n. 几内亚
hit back,"反击,击退"
interference with, 干涉; 妨碍，打扰
jumble,"vi. 搀杂, 混杂
vt. 搞乱, 使混乱
n. 混乱, 薄饼"
keep pace with,"并驾齐驱, 齐头并进"
lag,"n. 落后, 囚犯, 迟延, 桶板, 防护套
a. 最后的
vi. 落后, 蹒跚, 缓缓而行, 滞后
vt. 落后于, 押往监狱, 加上外套
"
lend support to ...,向...提供支持
license,"n. 执照, 许可证, 特许
vt. 许可, 特许"
loan,"n. 贷款, 借出
v. 借, 供应货款, 借给"
make a difference,"有区别,有很大关系"
make a lot of differences,无
margin,"n. 页边的空白, 边缘, 界限, 余裕, 差数, 差额, 保证金
vt. 加边于, 加旁注于
"
milestone,"n. 里程碑, 里程石, 里程标"
monetary value, 币值，货币价值
nickel,"n. 镍, 镍币, 五分镍币
vt. 镀镍于"
offset,"n. 抵消, 把...并列, 旁系, 支管, 用胶印法印
vt. 弥补, 抵消, 胶印
vi. 装支管
n. 偏移量
"
opulence,"n. 富裕, 丰富, 大量"
overdue,"a. 过期的, 未兑的, 迟到的, 早就成熟的
"
owe,"vt. 亏欠, 负...债, 归功于, 怀有, 应给予, 感恩
vi. 欠钱"
pay off,"na. 偿清(债务等)；付清；发清(工钱)；发清工钱解雇
"
pay the price,[网络] 付出代价；我知道我必须付出代价；付上代价
per capita,"每人, 按人口, 按人口计算
"
pledge,"n. 诺言, 保证, 誓言, 抵押, 信物, 保人, 祝愿
vt. 许诺, 保证, 使发誓, 抵押, 典当, 举杯祝...健康"
poverty,"n. 贫穷, 贫困, 缺乏
"
