intellect,"n. 智力, 出众的才华, 知识分子
"
special,"n. 专辑, 专车, 号外, 特别的东西, 负有特别任务的人员
a. 特别的, 专门的, 特殊的, 额外的, 附加的, 特别亲密的"
arrow,"n. 箭, 箭状物, 箭头记号"
compare,"vt. 比较, 比喻, 对照
vi. 相比
n. 比较
"
dose,"n. 剂量, 服用量
vt. 给药, (用药)医治
vi. 服药"
policymaker,n. 政策制定者；决策人
species,"n. 种, 类, 外形
"
art,"n. 艺术, 人文科学, 技术, 巧妙, 诡计, 美术
"
compass,"n. 指南针, 范围, 音域
vt. 包围, 达到, 图谋, 理解"
pool,"n. 池, 水塘, 石油层, 联营
vt. 合伙经营, 共享, 采掘, 汇聚成
vi. 汇合成塘, 淤积, 联营"
rip,"n. 裂痕, 破绽, 拉裂, 浪子, 巨浪
vi. 被拉开, 裂开, 猛冲
vt. 撕, 扯, 劈"
specify,"vt. 详列, 指定, 说明
"
arthritis,"n. 关节炎
"
compassionate,"a. 慈悲的, 富于同情心的, 照顾性的
vt. 怜悯, 同情"
routine,"n. 常规, 日常工作, 惯例, 例行公事
a. 日常的, 常规的
"
stable,"n. 马房, 牛棚
a. 稳定的, 安定的, 坚固的, 坚定的
vt. 赶入马房
vi. 被关在马厩"
astound,"vt. 使惊骇, 使大惊"
condition,"n. 情况, 条件
vt. 使健康, 以...为条件, 决定, 使适应
"
dumb,"a. 哑的, 不说话的, 无声音的
"
precedent,"n. 先例, 前例
a. 在先的, 在前的"
row,"n. 排, 行, 街道, 划船, 吵闹
vt. 使成排, 划, 划船, 参加(赛船), 痛骂
vi. 划船, 划动, 争吵
"
staff,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖
a. 职员的, 雇员的, 参谋的
vt. 为...配备人员"
astray,"adv. 迷途地, 入歧途地
"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
duplicate,"n. 副本, 复本, 复制品
a. 复制的, 二重的
vt. 复制, 使加倍
"
precious,"a. 宝贵的, 珍贵的, 过于精致的, 珍爱的"
royal,"n. 王室, 皇族
a. 王室的, 皇家的, 盛大的, 庄严的"
stage,"n. 阶段, 舞台, 场所, 戏剧, 站, 驿站, 级, 层, 脚手架
vt. 上演, 表演, 筹划
vi. 适于上演, 乘驿车旅行"
astrology,"n. 占星术, 占星学"
confer,"vt. 授予, 带来
vi. 协商"
durable,"a. 持久的, 耐用的"
precise,"a. 精确的, 严谨的, 明确的
"
rude,"a. 粗鲁无礼的, 粗陋的, 粗暴的, 原始的, 未开化的, 大略的, 崎岖不平的, 狂暴的"
stain,"n. 污染, 污点, 着色剂
vt. 沾染, 染污, 着色
vi. 变脏"
atmosphere,"n. 大气, 空气, 气氛
"
predator,"n. 食肉动物, 掠夺者
"
ruin,"n. 毁灭, 推翻, 废墟
vi. 毁灭, 衰败, 破坏, 破产, 堕落
vt. 使毁灭, 毁坏, 使破产"
stake,"n. 桩, 炮烙刑, 木柱, 赌注, 奖金
vt. 打桩, 用桩撑, 下赌注, 资助
vi. 打赌"
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
predict,"v. 预知, 预言, 预报"
rule,"n. 规则, 统治, 控制, 支配, 规律, 标准, 章程, 破折号, 铅线
vt. 规定, 统治, 管理, 控制, 支配, 裁决
vi. 统治, 管辖, 裁定
"
attack,"n. 攻击, 抨击
vt. 攻击, 抨击, 动手干
vi. 攻击"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
preface,"n. 序, 绪言, 前言
vi. 作序, 写前言
vt. 给...作序, 以...开始"
stamina,"n. 精力, 活力, 耐力, 雄蕊
"
attempt,"n. 尝试, 企图
vt. 尝试, 企图"
conform,"vt. 使一致, 使遵守, 使符合
vi. 一致, 符合, 适应"
dynamic,"a. 动态的, 有活力的, 有力的, 动力的, 不断变化的
n. 动力, 动态
"
prefer,"vt. 宁可, 较喜欢, 提出
"
rush,"n. 匆促, 冲进, 急流, 灯心草
vi. 冲, 奔, 闯, 赶紧, 匆促行事, 涌现
vt. 使冲, 匆忙地做, 突袭, 飞跃, 用灯心草做
a. 紧急的"
stand,"n. 站立, 站住, 停顿, 讲台, 看台, 立场, 法院证人席
vi. 站, 立, 坐落, 停滞, 位于, 坚持, 维持原状
vt. 忍受, 使站立, 抵挡"
attend,"vt. 参加, 照料, 伴随
vi. 专心于, 照顾, 服侍, 出席"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
dirt-cheap,"a. & adv. 非常便宜的[地], 毫无价值的[地]"
prefrontal,"a. 前额的
"
rut,"n. 辙迹, 凹槽, 常规, 惯例, 发情期
vi. 交尾, 发情
vt. 挖槽于"
standard,"n. 标准, 规格, 旗, 军旗, 本位
a. 标准的, 合规格的
"
attitude,"n. 态度, 看法, 姿势
"
confuse,"vt. 使混乱, 使狼狈, 使困惑
"
pregnant,"a. 怀孕的, 充满的, 思想丰富的, 成果丰硕的
"
attorney,"n. 代理人, 律师
"
congress,"n. 国会, 会议, 讨论会
"
prehistoric,"a. 历史以前的, 史前的"
attract,"vt. 吸引, 诱惑
vi. 有吸引力"
conjunction,"n. 连接词, 联合, 结合
"
preliminary,"n. 初步做法, 初步措施, 预试, 预选赛
a. 初步的, 开始的, 预备的"
rocket,"n. 火箭, 烟火
vi. 急升, 猛涨, 飞驰
vt. 用火箭运载"
sponsor,"n. 保证人, 赞助者, 发起者, 倡议者, 教父
vt. 发起, 赞助, 倡议"
assess,"vt. 估定, 对...征税, 评定
"
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
"
role,"n. 角色, 职责, 任务
"
spontaneous,"a. 自然的, 自发的, 未经琢磨的
"
asset,"n. 资产, 有益的东西"
compose,"vt. 组成, 写作, 作曲, 使平静
vi. 创作, 排字
"
postmodern,a. 后现代的
roll,"n. 卷, 滚动, 名单, 案卷, 压路机
vi. 滚, 滚动, 飘流, 起伏, 卷, 绕
vt. 使滚动, 卷, 绕"
spook,"n. 幽灵, 鬼
vt. 惊吓, 鬼怪般地出没
vi. 惊吓而逃窜, 受惊"
assign,"vt. 分配, 指派, 赋值
"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
drift,"n. 漂流物, 漂流, 动向
v. (使)漂流"
posture,"n. 姿势, 态度, 情形, 形势
vt. 作...的姿势
vi. 作姿势"
spotlight,"n. 照明灯, 反光灯, 聚光灯"
assimilate,"vt. 使同化, 吸收, 使相拟, 把...比作
vi. 被吸收, 被同化"
conception,"n. 观念, 概念
"
root,"n. 根, 根本, 根源, 基础, 底部
vt. 使扎根, 使固定, 根除, 肃清, 搜出, 用鼻拱
vi. 生根, 固定, 源于, 用鼻拱土, 寻找, 捧场, 支持"
spouse,n. 配偶
assist,"n. 帮助, 协助
vt. 帮助, 促进
vi. 协助, 参加"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
pound,"n. 磅, 英镑, 重击, 鱼塘, 拘留所, 兽栏
vt. 强烈打击, 捣烂, 监禁, 关入栏内
vi. 连续重击, 苦干"
pour,"n. 流出, 倾泻, 骤雨
vt. 倒, 灌, 注, 倾泻, 诉说, 倾吐
vi. 倾泻, 蜂涌而来, 下大雨"
rough,"n. 粗糙的东西, 毛坯, 未加工品, 梗概, 草图, 暴徒, 艰难
a. 粗糙的, 粗暴的, 蓬乱的, 草率的, 大致的, 简陋的, 暴风雨的, 艰难的
vt. 使粗糙, 使不平, 使蓬乱, 粗制, 草拟, 粗暴对待, 对...动粗
vi. 变粗糙
adv. 粗糙地, 粗暴地"
spur,"n. 马刺, 刺激物, 鼓舞
vt. 刺激, 激励, 用马刺策(马)前进
vi. 用马刺驱马, 疾驰"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
concert,"n. 音乐会, 和声, 一致
vt. 协力, 协调
vi. 协力
"
drug,"n. 药, 麻药, 麻醉药
vi. 吸毒
vt. 使服麻醉药, 使麻木"
power,"n. 力, 体力, 力量, 势力, 动力, 权力, 强国, 乘方, 强度, 幂, 功率
vt. 使...有力量, 供以动力, 激励
"
round,"n. 圆, 圆形物, 巡回, 循环, 一轮, 一回合, 一局, 范围, 轮唱
a. 圆的, 球形的, 丰满的, 肥胖的, 完全的, 大概的, 完美的, 圆润的
prep. 围着, 附近, 绕过, 在...周围
adv. 围绕着, 在周围, 迂回地, 挨个, 朝反方向
vt. 弄圆, 使成圆形, 绕行, 完成, 围捕, 把...四舍五入
vi. 变圆, 发胖, 环行, 拐弯, 进展"
spy,"n. 间谍, 侦探, 侦察
vt. 侦察, 找出, 发现
vi. 做密探, 侦查"
assure,"vt. 保证, 使确信, 弄清楚, 担保
"
concession,"n. 特许, 让步, 认可
"
practice,"n. 实践, 练习, 实行, 惯例, 习惯, 开业
v. 实践, 实行, 练习, 实习, 业务"
route,"n. 路径, 途径, 路线
vt. 确定路线, 按规定路线发送
"
spymaster,n. 间谍组织的首脑
asteroid,"n. 小行星, 海盘车
a. 星状的"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
due,"n. 应得的东西, 应付款
a. 到期的, 应得的, 应付的, 约定的"
praise,"n. 赞美, 称赞, 崇拜
vt. 称赞, 赞美
vi. 赞扬, 表扬"
constitution,"n. 构成, 宪法, 体格
"
pronounce,"v. 发音, 宣告, 断言"
steward,"n. 管理人, 招待员, 管家, 乘务员
"
constrain,"vt. 强迫, 限制, 关押"
proof,"n. 证据, 证明, 试验, 检验, 考验
a. 不能透入的, 证明用的, 防...的, 耐...的
vt. 检验, 试验, 校对, 使不被穿透
"
stick,"n. 棍, 棒, 刺, 枯枝, 茎, 条状物
vt. 插进, 刺入, 钉住, 伸出, 粘贴, 停止
vi. 粘住, 停留, 坚持, 陷住, 伸出"
construct,"vt. 构造, 建造, 对...进行构思, 作图
n. 构成物"
propagate,"vt. 繁殖, 传播, 传送
vi. 繁殖, 蔓延"
stiff,"a. 坚硬的, 严厉的, 呆板的, 生硬的, 刚强的, 强烈的, 粘的, 稠的, 艰难的
n. 死尸, 醉鬼, 钞票
vt. 不肯付...小费"
awake,"a. 醒着的
vt. 唤醒, 唤起, 使意识到
vi. 醒来, 被唤起, 意识到"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
proper,"a. 适当的, 固有的, 高尚的, 专属的
adv. 完全地, 彻底地"
stimulate,"vt. 刺激, 激励, 鼓舞
vi. 起刺激作用"
award,"n. 奖品, 裁定, 判决
vt. 授予, 给予"
contact,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
property,"n. 财产, 所有权, 性质, 属性
"
sting,"n. 叮, 刺痛, 刺激, 讽刺
vt. 叮, 刺痛, 刺激, 使苦恼
vi. 叮, 刺痛"
aggravate,"vt. 使恶化, 使更严重, 加重"
arrange,"v. 安排, 排列, 达成协议
"
aware,"a. 知道的, 有觉悟的"
contain,"vt. 包含, 容纳, 控制
vi. 自制"
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
disintegrate,"vt. (使)分解, (使)碎裂
"
indulge,"vt. 纵情于, 使高兴, 放任, 迁就
vi. 沉溺"
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
register,"n. 寄存器, 记录, 登记簿, 注册
vt. 记录, 注册, 提示, 表达, 把...挂号
vi. 登记, 注册, 挂号
"
religious,"a. 宗教性的, 虔诚的, 宗教上的, 严谨的
n. 修道士, 出家人"
rid,"vt. 免除, 以...清除, 使获自由, 使摆脱
"
spite,"n. 恶意, 怨恨, 使人烦恼的事物
vt. 故意刁难, 欺侮"
stakeholder,"n. 赌金保管者
"
stock,"n. 树干, 祖先, 血统, 原料, 备料, 库存, 牲畜, 股票, 股份, 保留剧目
a. 存货的, 常备的, 平凡的, 普通的, 股票的, 保留剧目的, 繁殖用的
vt. 装把手于, 进货, 备有, 放牧
vi. 出新芽, 备货, 囤积"
trap,"n. 圈套, 陷阱, 诡计, 存水弯
vi. 设圈套, 设陷阱
vt. 诱捕, 诱骗, 抓住, 使受限制
"
underlying,"a. 在下面的
"
auction,"n. 拍卖
vt. 拍卖"
connect,"v. 连接, 联合, 联系"
preoccupy,"vt. 抢先占领, 使全神贯注"
startle,"n. 惊愕, 惊恐
vt. 吃惊, 使惊愕
vi. 惊起"
audience,"n. 听众, 观众, 读者
"
connotation,"n. 含蓄, 内涵"
state,"n. 州, 状态, 情形, 国家, 政府, 领土, 国务, 社会地位
a. 国家的, 正式的, 礼仪用的, 州的
vt. 说明, 陈述, 规定
"
audit,"n. 审计, 查帐
vt. 查(帐), 旁听
vi. 查账
"
conscience,"n. 良心
"
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
statistics,"n. 统计学, 统计资料
"
augment,"v. 增加, 增长
"
consent,"n. 同意, 许可
vi. 同意, 赞同"
status,"n. 状态, 情形, 地位, 要人身份
"
authentic,"a. 可靠的, 可信的, 真正的
"
consequence,"n. 结果, 重要性
"
progress,"n. 进步, 发展, 前进
vi. 进步, 进行"
statute,"n. 法令, 成文法律, 法规, 章程, 条例
"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
conserve,"n. 蜜饯, 果酱
vt. 保存, 使(能量等)守恒"
project,"n. 计划, 设计, 事业
vt. 计划, 设计, 投掷, 发射, 使凸出, 放映
vi. 凸出"
autobiography,n. 自传
consider,"v. 考虑, 思考, 认为"
prolong,"vt. 延长, 拖延, 拖长
"
steal,vt. 剽窃；偷偷地做；偷窃；vi. 窃取；偷偷地行动；[棒球]偷垒；n. [口]偷窃；便宜货；偷垒；[篮球]断球
automotive,a. 汽车的
consist,"vi. 组成, 存在于, 一致"
promise,"n. 诺言, 约定的事情, 有指望
vt. 允诺, 约定, 预示
vi. 允诺, 有前途, 有指望"
consolidate,"vt. 巩固, 使联合, 统一
vi. 巩固
"
promising,"a. 有希望的, 前途有望的
"
steep,"n. 浸渍, 悬崖
a. 险峻的, 陡峭的, 急剧升降的, 夸大的
v. 浸, 泡"
avail,"vi. 有用, 有利
vt. 有利于
n. 效用, 利益"
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
"
promote,"vt. 促进, 晋升, 创办, 推销
"
stem,"n. 茎, 干, 柄, 船首, 血统, 堵塞物
vt. 摘掉茎, 装柄于, 阻止, 堵住, 逆行
vi. 堵住, 逆行"
average,"n. 平均, 平均数, 一般水平, 海损
a. 平均的, 中等的, 平常的
vt. 算出...平均数, 平均做, 均分, 使平衡
vi. 平均为, 呈中间色"
exist,"vi. 存在, 生存, 发生"
freight,"n. 船货, 运费, 货运
vt. 装货, 使充满, 以货运运送, 租(或出租)(船等)"
Internet,[网络] 互联网；因特网；网际网路
place,"n. 地方, 地点, 位置, 住所, 座位, 地位, 处境, 特权, 空间, 余地, 职务, 位
vt. 放置, 寄予, 认出, 评定, 任命
vi. 名次列前"
restore,"vt. 回复, 恢复, 归还, 修补, 修复
vt. 还原
vi. 还原
"
trunk,"n. 树干, 干线, 躯干, 主干, 象鼻, 箱子
vt. 把...放入旅行箱内
a. 树干的, 躯干的, 干线的, 箱形的
"
anti-smoking,"n. 反对吸烟；禁止吸烟
adj. 反对吸烟的
v. 反对吸烟（antismoke的现在分词）"
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
exorable,a. 可说服的
frequent,"a. 时常发生的, 频繁的, 快速的
vt. 时常来访, 常常聚集, 常与...交往"
Internet-based,[网络] 以网络为基础的；网考；基于互联网
plain,"n. 平原, 草原, 朴实无华的东西, 无格式
a. 简单的, 明白的, 平常的, 不好看的, 朴素的, 清晰的, 普通的, 平坦的, 十足的
adv. 清楚地, 显然地
"
restrict,"vt. 限制, 限定, 约束
"
turbulent,"a. 狂暴的, 骚乱的, 紊乱的"
anxiety,"n. 焦虑, 忧虑, 令人焦虑的事
"
collaborate,"vi. 合作, 勾结
"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
fresh,"a. 新鲜的, 新奇的, 另外的, 淡的, 精神饱满的, 冒失的
adv. 最新地, 刚刚
n. 开始, 泛滥"
interpersonal,"a. 人与人之间的, 人际(关系)的
"
smooth,"a. 平滑的, 平稳的, 流畅的, 和蔼的, 安祥的, 圆滑的, 调匀的, 无毛的
vt. 使光滑, 烫平, 使平和, 消除
vi. 变平滑, 变平静
n. 一块平地, 平滑部分"
turn,"n. 转弯, 转动, 旋转, 翻转, 一圈, 顺次, 改动, 变化, 性格, 特色, 形状, 转折
vt. 使旋转, 转弯, 转动, 使转向, 驱赶, 阻挡, 兑换, 改写, 使作对, 绕过, 使流通
vi. 转动, 转弯, 转向, 翻转, 回转, 改变, 转身, 变成, 变质, 晕眩, 易脱手"
apart,"adv. 成零碎, 成距离, 分别地, 分离着
a. 分离的"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
expect,"vt. 预期, 盼望, 期待"
interpret,"vt. 解释, 演出, 翻译, 理解
vi. 翻译, 解释"
retail,"n. 零售
a. 零售的
vt. 零售, 详述, 传播
vi. 零售"
sober,"a. 未醉的, 稳重的, 节制的, 严肃的, 不夸大的, 合理的, 朴素的
vt. 使醒酒, 使严肃
vi. 从醉里醒来, 变严肃"
turnaround,"n. 转向, 回车道, 转变
"
apparent,"a. 清晰可见的, 显然的, 表面上的
"
colleague,"n. 同事, 同僚"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
expend,"vt. 花费, 消耗, 用光"
fright,"n. 惊骇, 吃惊
"
intervention,"n. 插入, 介入, 调停
"
planet,"n. 行星, 命运星辰, 杰出的人, 重大影响的事"
retain,"vt. 保持, 保有, 留住, 记得, 付定金聘请
"
turnover,"n. 翻倒, 翻转, 半圆酥饼, 营业额, 流通, 周转
a. 可翻转的"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
collect,"v. 收集, 聚集, 集中, 搜集
a. 由收到者付款的
adv. 由收到者付款地"
disorder,"n. 杂乱, 混乱
vt. 扰乱, 使失调"
frost,"n. 霜, 冰冻, 冷漠
vt. 覆着霜, 冻结, 结霜
vi. 受冻, 起霜"
interview,"n. 面谈, 访问, 接见, 面试
vt. 接见, 对...进行面谈(试)"
retreat,"n. 休息寓所, 撤退, 隐居, 退避
vi. 撤退, 隐退, 向后倾
vt. 退(棋)"
social,"a. 社会的, 群居的, 社交的
n. 联欢会"
twist,"n. 一扭, 扭曲, 曲折, 歪曲, 螺旋状, 新手法
vt. 拧, 扭, 捻, 编织, 使扭转, 缠绕, 盘绕, 歪曲, 使转动, 使苦恼, 使混乱, 使旋转
vi. 转向, 弯曲, 缠绕, 扭动, 呈螺旋形"
applicable,"a. 合适的, 可应用的
"
colony,"n. 殖民地, 移民队
"
display,"n. 显示, 陈列, 炫耀, 显示器
vt. 陈列, 显示, 表现, 夸示
"
intimate,"a. 亲密的, 私人的, 秘密的
vt. 暗示, 通知, 告诉
n. 至交"
discontent,n. 不满
executive,"n. 执行部门, 执行委员会, 执行者, 经理主管人员
a. 执行的, 善于执行的, 善于经营的
"
fracture,"n. 破碎, 骨折
v. (使)破碎, (使)破裂"
intend,"vt. 计划, 打算, 意思是
"
physiology,"n. 生理学, 生理机能
"
resist,"v. 抵抗, 耐得住, 抵制, 反抗
n. 防染材料"
slave,"n. 奴隶, 从动装置, 卑鄙的人
vi. 拼命工作
"
announce,"vt. 宣布, 声称, 显示, 预告
vi. 当报幕员, 宣布参加竞选"
discourse,"n. 谈话, 演讲
vi. 谈话, 讲述"
fragile,"a. 易碎的, 脆的
"
intense,"a. 非常的, 强烈的, 紧张的, 热情的
"
pick,"n. 精选, 选择, 掘, 精华, 牙签, 鹤嘴锄
v. 摘, 掘, 凿, 挖, 挑选
"
resource,"n. 资源, 财力, 办法, 策略, 急智, 消遣
"
slice,"n. 薄的切片, 一部分, 菜刀
vt. 切成薄片, 切下
vi. 切
"
troublemaker,n. 惹麻烦的人
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
discover,"vt. 发现, 找到, 暴露
vi. 发现"
exert,"vt. 发挥, 运用, 施以影响
"
frame,"n. 框, 结构, 体格
vt. 构成, 设计, 制定, 使适合, 陷害
"
interact,"vi. 互相影响, 交互作用
n. 幕间剧, 幕间休息"
respect,"n. 尊敬, 尊重, 问候
vt. 尊敬, 注意, 遵守"
slight,"n. 轻蔑, 怠慢
a. 轻微的, 纤细的, 脆弱的, 苗条的
vt. 轻视, 忽略, 怠慢"
troupe,"n. 团, 班, 一伙
vi. 巡回演出"
code,"n. 代码, 密码, 法规, 法典
vt. 把...编码
"
discriminate,"v. 区别, 差别待遇"
exhaust,"n. 排气, 排气装置, 废气
vt. 抽完, 用尽, 耗尽, 使精疲力尽
vi. 排气"
interest,"n. 兴趣, 嗜好, 利息, 利益, 爱好, 趣味, 势力
vt. 使感兴趣, 与...有关系"
respond,"vt. 以...回答
vi. 回答, 响应, 回报, 有反应, 承担责任"
slip,"n. 滑, 滑行, 事故, 溜, 差错, 滑台, 下降, 插条, 后裔, 板条, 瘦长的年轻人
vi. 滑动, 滑倒, 失足, 溜走, 滑落, 犯错, 变坏
vt. 使滑动, 滑过, 摆脱, 闪开, 塞入, 从...取接枝
a. 滑动的, 滑移的, 活络的, 有活结的
"
anthropology,"n. 人类学
"
cognitive,"a. 认知的, 认识的"
exhibit,"n. 显示, 显现, 展览品, 陈列品, 展览
vt. 展现, 陈列, 展览
vi. 开展览会"
intermarriage,"n. 异族结婚, 近亲结婚
"
pilot,"n. 飞行员, 领航员, 航船者, 导向器, 驾驶仪, 向导, 领导人
vt. 领航, 驾驶, 引导, 试用
a. 引导的, 控制的, 试点的
"
slit,"n. 裂缝, 投币口, 狭长裂口
vt. 切开, 扯裂, 使有狭缝
vi. 纵切, 纵裂"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
coincide,"vi. 一致, 符合
"
disgrace,"n. 耻辱, 不名誉
vt. 使受耻辱, 使失体面"
gaping,a. 多洞穴的
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
kin,"n. 亲戚, 同族, 血缘关系, 家族
a. 有亲属关系的, 性质类似的, 同类的"
laboratory,"n. 实验室, 研究室, 化工厂
"
obscure,"a. 模糊的, 昏暗的, 难解的, 晦涩的, 偏僻的, 微贱的, 无名的
vt. 使变暗, 隐藏, 使变模糊, 使难解"
propose,"vt. 计划, 打算, 建议, 提议, 求(婚)
vi. 打算, 求婚"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
quantity,"n. 量, 数量, 总量
"
radical,"n. 激进分子, 词根, 基础, 根式, 根
a. 激进的, 根本的, 基本的, 根的"
tailor,"n. 裁缝, 成衣匠
vt. 缝制, 制作, 使适应
vi. 做裁缝"
unacceptable,"a. 无法接受的, 不受欢迎的
"
vague,"a. 含糊的, 不清楚的, 茫然的"
war,"n. 战争, 战争状态, 战术, 军事, 冲突, 斗争, 竞争
vi. 进行战争, 作战, 打仗, 战斗
a. 战争的, 战时用的"
abound,"vi. 大量存在, 富于, 充满"
back-up,"na. 支持；堵塞；【棒球】抢救后方；【计算机】把(文件等备份)
"
calorie,n. 卡路里（热量单位）
context,"n. 上下文, 背景, 来龙去脉
n. 上下文
"
damp,"n. 潮湿, 湿气
a. 潮湿的
vt. 使潮湿, 使阻尼, 抑止
vi. 变潮湿, 衰减"
easy,"a. 容易的, 缓缓的, 舒适的, 从容的, 宽容的, 流畅的, 随便的, 自在的, 疲软的
adv. 容易地, 慢慢地"
factor,"n. 因素, 因数, 系数, 基因, 代理人
"
garment,"n. 衣服, 衣装, 外表"
ideology,"n. 思想体系, 意识形态, 观念学, 空论
"
lack,"n. 缺乏, 无, 不足
vt. 缺乏, 短少, 不足, 需要
vi. 缺乏"
nasty,"a. 污秽的, 下流的, 险恶的"
observe,"vt. 觉察到, 遵守, 注意到, 庆祝
vi. 注意, 评论"
packet,"n. 小包, 一批信件, 大量, 信息包
vt. 打包, 装进小包
"
protect,"vt. 防卫, 保护, 警戒
"
raft,"n. 筏, 救生筏, 大量
vi. 乘筏
vt. 筏运, 制成筏"
straight,"n. 直线, 直
a. 直的, 笔直的, 正直的, 直接的, 连续的, 整齐的
adv. 直接地, 立即, 不断地"
take,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费
vi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产
n. 拿, 取, 收成, 奏效"
unaffordable,"a. 买不起的, 负担不起的"
vain,"a. 无价值的, 徒然的, 空虚的, 自负的, 愚蠢的"
ward,"n. 病房, 守卫, 保卫, 保护, 监护, 牢房, 行政区, 锁孔内的榫舌
vt. 使入病房, 守护, 保卫"
about-face,"v. 〈美〉向后转(指操练动作),(立场,观点的)彻底改变"
bait,"n. 饵
vt. 以饵引诱, 欺负
vi. 中途休息"
camp,"n. 露营, 帐篷
vi. 露营, 扎营
vt. 使扎营"
continue,"vi. 继续, 延续, 延长
vt. 使继续, 使延长"
economy,"n. 经济, 理财, 节约
"
fad,"n. 时尚
"
hale,"a. 强壮的, 矍铄的, 健壮的
vt. 猛拉, 拖曳"
ignore,"vt. 不理睬, 忽视, 驳回, 忽略
"
joint,"n. 连接处, 接合, 关节
a. 共同的, 联合的, 连接的, 合办的
vt. 连接, 接合, 使有接头
vi. 贴合, 长节"
kit,"n. 装备, 工具箱, 成套工具
"
lamb,"n. 小羊, 羔羊
v. 产羊羔"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
obsess,"vt. 迷住, 使困扰"
page,"n. 页, 记录, 事件, 专栏, 男侍
vt. 标明...的页数, 翻...的书页, 分页排版, 呼叫, 侍候
vi. 翻书页, 侍侯
"
protein,"n. 蛋白质
a. 蛋白质的"
quarter,"n. 四分之一, 一刻钟, 季度, 地区
vt. 四等分, 肢解
vi. 驻扎, 住宿"
rage,"n. 愤怒, 情绪激动, 狂暴
vi. 大怒, 狂吹, 流行"
straightforward,"a. 笔直的, 率直的, 明确的, 简单的, 直接的"
abide,"vi. 停留, 遵守, 居留, 继续下去
vt. 忍受, 经受, 屈从于"
contempt,"n. 轻视, 轻蔑
"
eager,"a. 热心的, 渴望的, 热望的"
jaw,"n. 颚, 颌
v. 闲谈, 教训, 唠叨"
key,"n. 钥匙, 键, 解答, 关键, 要害, 基调, 线索, 答案, 暗礁
vt. 调音, 锁上, 提供线索
vi. 使用钥匙
"
label,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
"
machine,"n. 机器, 机械装置, 机构, 自动售货机, 机械般工作的人
vt. 以机器制造"
naked,"a. 裸体的, 无装饰的, 无保护的, 赤贫的
"
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体
vi. 反对, 抱反感
vt. 提出...来反对
"
pace,"n. 速度, 步调, 步法
vi. 踱步, 缓慢走
vt. 用步测, 踱步于"
quake,"vi. 颤抖, 地震
n. 颤抖, 地震"
safari,"n. 旅行, 旅行队, 科学考察"
tact,"n. 机智, 手法, 老练
"
