alter,v. 改变
reservation,"n. 保留, 预定, 保留品, 保留地
"
accommodation,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款
"
click,"n. 咔哒声, 啪嗒声
vi. 作咔哒声
vt. 使发咔哒声
"
compose,"vt. 组成, 写作, 作曲, 使平静
vi. 创作, 排字
"
symphony,"n. 交响乐, 交响曲"
conductor,"n. 领导者, 指挥者, 售票员, 向导
"
absurd,"a. 荒谬的, 不合理的, 可笑的
n. 荒诞"
conceal,"vt. 隐藏, 掩盖, 隐瞒
"
condense,"vt. 使浓缩, 使压缩, 缩短
vi. 浓缩, 凝结"
extensive,"a. 广的, 广泛的, 多方面的
"
confine,"vt. 限制, 使不外出, 禁闭
vi. 邻接, 交界
n. 边缘, 范围, 区域"
ward,"n. 病房, 守卫, 保卫, 保护, 监护, 牢房, 行政区, 锁孔内的榫舌
vt. 使入病房, 守护, 保卫"
suicide,"n. 自杀, 自杀者
v. 自杀
a. 自杀的"
presently,"adv. 目前, 不久"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
challenging,"a. 挑战的, 引起争论的"
reasonably,"adv. 适度地, 相当地"
fluent,"a. 流利的, 流畅的"
confuse,"vt. 使混乱, 使狼狈, 使困惑
"
typically,adv. 代表性地；作为特色地
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
vast amounts of ...,无
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
riches,"pl. 财富, 财产, 富有
"
patron,"n. 赞助人, 顾客, 保护人
"
cope,"vi. 竞争, 应付
n. 长袍"
loneliness,"n. 寂寞, 孤独, 清静"
unfamiliar,a. 不熟悉的
cultivate,"vt. 培养, 耕作"
fertile,"a. 可繁殖的, 肥沃的, 生产多的
"
organic,"a. 器官的, 有机的, 组织的, 根本的
"
desperate,"a. 不顾一切的, 危急的, 令人绝望的, 极渴望的"
wholly,"adv. 完全地, 整个, 统统, 全部
"
deprive,"vt. 剥夺, 使丧失
"
dignity,"n. 尊严, 高贵
"
devote,"vt. 投入于, 献身"
historic,"a. 历史上著名的, 有历史性的"
architecture,"n. 建筑学, 建筑式样
"
around the country,[网络] 环绕国家；全国各地
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
embassy,"n. 大使馆, 大使馆全体人员
"
dine,"vi. 用正餐, 进餐
vt. 宴请"
ambassador,"n. 大使
"
dip,"v. 浸, 降下, 把(手、勺等)伸入, 舀取
n. 浸, 涉猎
"
sunglasses,"n. 太阳镜, 墨镜, 太阳眼镜"
liver,"n. 肝脏, 生活者, 居民
"
disorder,"n. 杂乱, 混乱
vt. 扰乱, 使失调"
discharge,"vt. 卸下, 放出, 解雇, 拔染, 履行, 放电
vi. 卸货, 流出
n. 卸货, 流出, 放电"
surgery,"n. 外科, 手术, 手术室, 换球术"
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
mechanic,"n. 机械工, 技工
a. 手工的"
break into ...,"破门而入, 侵占
"
environmental,"a. 周围的, 环境的
"
dispose,"vt. 处理, 排列, 布置
vi. 处置"
legally,"adv. 法律上, 合法地
"
disturb,"vt. 扰乱, 妨碍, 使不安
"
drain,"n. 排水沟, 消耗, 排水
vt. 排出, 喝光, 耗尽
vi. 排水, 流干"
surprisingly,"adv. 使人惊奇, 出人意外, 惊人, 令人惊讶"
hairdresser,"n. 美发师, 理发师"
dye,"n. 颜料, 染料
vt. 染, 染色
vi. 被着色"
blond,"a. 金发的
n. 白肤碧眼金发的人"
edit,"vt. 编辑, 编校, 修订, 剪辑
"
adventurer,"n. 冒险家, 投机者
"
magnificent,"a. 华丽的, 高尚的, 宏伟的"
expedition,"n. 远征, 探险队, 迅速"
the South Pole,"n. 南极
"
accomplishment,"n. 成就, 完成"
entitle,"vt. 给...权利, 取名为, 给予名称, 叫做
"
researcher,n. 研究人员
evaluate,"vt. 评估, 评价, 赋值"
remedy,"n. 药物, 治疗法, 治疗, 补救, 赔偿
vt. 治疗, 补救, 矫正, 改善, 修补, 修缮"
powerless,"a. 无力的, 无权的, 无效能的"
stomachache,"n. 胃痛, 肚子痛"
exclude,"vt. 除外, 排除, 排斥
"
sentiment,"n. 感情, 感伤, 情操, 情绪, 感想, 意见
"
out of consideration for ...,"出于对…的考虑,考虑到…"
forbid,"vt. 禁止, 不准, 妨碍
"
physically,"adv. 按自然规律, 完全地, 实际上, 真正地, 身体上地"
fulfill,"vt. 实践, 履行, 实行, 完成, 结束, 满足
"
obligation,"n. 义务, 责任, 约束, 契约, 恩惠, 债务
"
generously,adv. 宽大地；慷慨地；丰盛地
furnish,"vt. 供给, 提供, 装设
"
grind,"n. 磨, 碾, 苦差, 摩擦声, 用功的学生
vt. 磨擦, 磨碎, 磨光, 折磨, 压榨
vi. 磨, 磨碎, 苦干"
hasten,"vt. 催促, 加紧
vi. 赶快, 急忙"
punctual,"a. 准时的, 守时的, 点状的, 中肯的
"
impatient,"a. 不耐烦的, 着急的, 急切的"
survival,"n. 生存, 残存, 幸存者
a. 赖以生存的"
highlight,"n. 加亮区, 精彩场面
vt. 加亮, 使显著, 以强光照射, 突出
"
significance,"n. 重要性, 意义, 意味
"
rental,"n. 租费, 租金收入
a. 租赁的, 收取租金的"
hitchhike,"vi. 搭便车
vt. 要求(搭便车)"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
Thanksgiving,n. 感谢
feast,"n. 宴会, 酒席, 享受, 节日
vt. 款待, 享乐, 请客
vi. 参加宴会, 尽情地吃, 享受"
recipe,"n. 食谱, 处方, 秘诀
"
leadership,"n. 领导能力, 领导阶层"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
numerous,"a. 很多的, 数目众多的, 多数的
"
imply,"vt. 暗示, 意味
"
prime,"n. 最佳部分, 初期, 全盛期
a. 主要的, 最初的, 根本的
v. 加油启动, 灌注, 填装"
robbery,"n. 抢掠, 抢夺
"
inspect,"vt. 检查, 检阅, 检验
vi. 检查"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
at random,"胡乱地, 随便地
"
install,"vt. 安装, 安置, 使就职
"
burglar,"n. 窃贼
"
had better do, 最好（做）
glorious,a. 光荣的
insure,"vt. 保险, 确保
vi. 投保"
respectable,"a. 值得尊重的, 人格高尚的, 相当数量的
n. 品格高尚的人"
interpret,"vt. 解释, 演出, 翻译, 理解
vi. 翻译, 解释"
offensive,"a. 令人不快的, 侮辱的, 攻击性的
"
architect,"n. 建筑师, 设计者, 缔造者"
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
"
astonishing,a. 令人惊讶的
infection,"n. 传染, 影响, 传染病
"
oblige,"vt. 强制, 施恩惠于, 使感激
vi. 施恩惠, 帮忙"
isolated,"a. 孤立的, 孤零零的
"
omit,"vt. 省略, 删除, 疏忽, 遗漏
"
unimportant,a. 不重要的
satisfactory,"a. 满意的, 赎罪的
"
someday,adv. 有一天
overtake,"vt. 赶上, 突然降临于, 压倒, 代替"
considering,"prep. 就...而论
conj. 考虑到"
tournament,"n. 比赛, 竞赛, 锦标赛, 联赛"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
peel,"n. 皮, 外壳
vt. 削...皮, 剥去...的壳
vi. 蜕皮, 剥落, 脱皮, 脱去衣服"
awkward,"a. 笨拙的, 棘手的"
touching,"a. 动人的, 令人同情的"
portray,"vt. 描绘, 描写, 描绘...的肖像"
courageous,"a. 勇敢的, 大胆的, 有胆量的"
prejudice,"n. 偏见, 成见, 侵害
vt. 使存偏见, 使有成见, 侵害"
conservation,"n. 保护, 保存
"
ivory,"n. 象牙, 乳白色
a. 象牙制的, 乳白色的"
utterly,"adv. 完全地, 全然, 绝对"
prohibit,"vt. 禁止, 阻止
"
for the sake of ...,"为...缘故, 为...起见, 为了某人, 为...目的, 为了...的利益"
punch,"n. 打洞器, 钻孔机, 冲压机, 冲床, 潘趣酒
vt. 以拳重击, 开洞, 冲压
vi. 用拳猛击"
at a time,"每次, 在某时"
distinguished,"a. 卓著的, 著名的"
novelist,n. 小说家
qualify,"vi. 取得资格, 有资格
vt. 使有资格, 使合格, 限定, 限制, 准予"
honorable,"a. 值得尊敬的, 荣耀的, 高贵的"
quote,"n. 引用
vt. 引述, 举证, 报(价)
vi. 引用"
medieval,"a. 中古的, 中世纪的"
proverb,"n. 谚语, 格言, 箴言
vt. 使众所周知, 用谚语表达"
comprehension,"n. 理解, 包含"
carelessly,"adv. 不注意地, 粗心地"
recycle,"vt. 使再循环, 重新利用, 再制
n. 再循环"
approximately,"adv. 大约, 大致, 近于
"
refine,"vt. 精炼, 净化, 使优雅, 使精炼
vi. 被精炼, 被净化"
facility,"n. 容易, 灵巧, 设备
"
one third of ...,无
undergraduate,"n. 大学本科生, 大学肄业生
a. 大学生的"
register,"n. 寄存器, 记录, 登记簿, 注册
vt. 记录, 注册, 提示, 表达, 把...挂号
vi. 登记, 注册, 挂号
"
oriental,"n. 东方人, 亚洲人
a. 东方诸国的, 亚洲的, 东方的"
regulate,"vt. 管理, 控制, 调节, 调整, 校准
"
marketing,"n. 行销, 买卖
"
advertising,"n. 广告业, 广告
a. 广告的
"
ridiculous,"a. 荒谬的, 可笑的"
renew,"vt. 使更新, 使恢复, 复兴, 修补, 补充, 继续, 重订, 重申, 续借
vi. 更新, 重新开始"
printing,"n. 印刷, 印刷术, 印花
"
reproduce,"v. 繁殖, 再生, 复制, 生殖
"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
prudent,"a. 审慎的, 三思而后行的, 精明的, 节俭的"
resign,"vt. 辞职, 放弃, 使顺从
vi. 辞职, 屈从"
severely,"adv. 严格, 尖锐, 严肃, 严重, 严厉, 朴素"
restrict,"vt. 限制, 限定, 约束
"
commander,"n. 司令官, 指挥官"
retreat,"n. 休息寓所, 撤退, 隐居, 退避
vi. 撤退, 隐退, 向后倾
vt. 退(棋)"
killer,"n. (非正式)杀人者, 屠杀者, 猛兽, 致死(疾病), 杀手, 止痛药, 限制器, 瞄准器
"
rinse,"n. 清洗, 染发, 染发剂
vt. 以清水冲洗, 漱, 漂清
vi. 被漂净"
shed,"n. 车棚, 小屋, 脱落之物, 分水岭
vt. 使流出, 放射, 脱落, 散发, 摆脱
vi. 流出, 散布, 脱落"
marathon,"n. 马拉松, 耐力的考验"
desperately,adv. 拼命地；绝望地；极度地
shorten,"vt. 弄短, 缩短, 减少
vi. 缩小, 变短"
deadline,"n. 最后期限, 截止期限
"
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
"
moisture,"n. 湿气, 水分, 降雨
"
soften,"v. (使)变柔软, (使)变柔和"
bulb,"n. 球茎, 电灯泡
"
sow,"n. 母猪, 懒胖女人
vt. 播种, 散布, 使密布
vi. 播种"
daisy,"n. 雏菊, 一流人物
a. 第一流的"
sprinkle,"vt. 洒, 散置, 撒, 点缀
vi. 洒, 撒, 下小雨
n. 洒, 撒, 散置, 小雨, 少量"
finely,"adv. 雅致地, 仔细地, 敏锐地, 微细地"
if desired,[网络] 必要时；若须要；若需要
stern,"n. 尾部, 船尾, 臀
a. 严厉的, 严格的, 坚定的, 坚决的"
steer,"vt. 引导, 驾驶, 航行, 控制
vi. 驾驶, 掌舵, 行驶
n. 驾驶指示, 劝告"
chat,"n. 闲谈
vi. 闲谈, 聊天"
stimulate,"vt. 刺激, 激励, 鼓舞
vi. 起刺激作用"
productivity,"n. 生产力
"
tragic,"a. 悲惨的, 悲剧的"
strengthen,"vt. 加强, 变坚固
vi. 变强, 股票上涨"
solidly,adv. 坚硬地；坚固地；团结一致地
strive,"vi. 努力, 奋斗, 斗争"
diplomatic,"a. 外交的, 老练的
"
a conflict with ...,无
consumer,"n. 消费者
"
sue,"vt. 控告, 起诉, 请求
vi. 提出诉讼, 提出请求"
manufacturer,"n. 制造业者, 厂商
"
summon,"vt. 召唤, 召集, 号召, 振奋, 唤起, 鼓起
"
executive,"n. 执行部门, 执行委员会, 执行者, 经理主管人员
a. 执行的, 善于执行的, 善于经营的
"
privately,adv. 秘密地；私下地
suspend,"vt. 悬, 吊, 使悬浮, 暂停, 中止, 推迟
vi. 暂停, 中止, 悬浮, 停止偿付债务
"
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
sustain,"vt. 承受, 支持, 供养, 继续, 忍受, 蒙受, 证实, 准许
"
overwhelming,"a. 压倒性的, 无法抵抗的"
tempt,"vt. 诱惑, 引诱, 引起...的兴趣, 吸引, 冒...风险"
grocery,"n. 食品杂货店, 食品杂货业"
lastly,"adv. 最后, 终于"
tighten,"vt. 勒紧, 使变紧
vi. 变紧, 绷紧"
apparatus,"n. 装置, 器具, 器官
"
tolerate,"vt. 宽容, 容许, 有耐力"
unjust,"a. 不公平的
"
ethnic,"a. 人种的, 种族的
"
trim,"n. 整齐, 情形, 修剪
a. 整齐的
vt. 使整齐, 整理, 修剪
vi. 调整, 见风使舵
"
hedge,"n. 树篱, 障碍, 套头交易
vt. 用树篱围, 套期保值, 妨碍, 两面下注以防...的损失
vi. 筑树篱, 躲闪, 两面下注以防损失
a. 树篱的, 偷偷摸摸的"
uncover,"vt. 揭露, 揭开, 暴露, 脱帽致敬
vi. 脱帽致敬, 揭去盖子"
clue,"n. 线索, 暗示
vt. 暗示, 提供线索"
unlike,"a. 不像的, 不同的
prep. 不像, 和...不同"
undergo,"vt. 遭受, 经历, 忍受
"
depression,"n. 不景气, 消沉, 沮丧, 洼地
"
retirement,"n. 退休, 隐居, 撤退
"
undertake,"vt. 试图, 从事, 保证, 承担, 同意, 接受
"
acquisition,"n. 获得, 获得物
"
cunning,"a. 狡猾的, 巧妙的, 可爱的
"
violate,"vt. 违犯, 亵渎, 违反, 侵犯, 妨碍
"
morally,"adv. 道德上, 德性上, 有道德地"
unacceptable,"a. 无法接受的, 不受欢迎的
"
vow,"n. 誓约, 誓言, 许愿
vi. 起誓, 发誓, 郑重宣言
vt. 立誓, 起誓要, 郑重地宣布"
eternal,"a. 永恒的, 永远的, 不灭的"
precisely,"adv. 精确地, 明确地, 刻板地, 拘泥地, 正好, 恰恰, 对, 正是如此, 确实如此, 不错"
violently,"adv. 猛烈地, 激烈地, 极端地"
waken,"vt. 唤醒, 使觉醒, 激发
vi. 觉醒, 醒来"
electronics,"n. 电子学
"
officially,"adv. 作为公务员, 职务上, 官方地"
withdraw,"vt. 撤回, 取回, 撤消, 使撤退, 拉开, 移开
vi. 撤退, 离开"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
moderate,"a. 适度的, 稳健的, 中等的, 节制的
vt. 节制, 减轻, 使缓和
vi. 变缓和, 主持会议"
conceive,"vt. 构思, 认为
vi. 怀孕"
fantastic,"a. 奇妙的, 稀奇的, 空想的"
despise,vt. 轻视
inferior,"a. 次等的, 较差的, 下方的, 下级的
n. 部下, 次品, 下标(符号)"
inferior to ..., 次于，劣于; 不如; 不及
detect,"vt. 发现, 察觉, 探测
"
suspicious,"a. 可疑的, 多疑的, 怀疑的
"
dread,"n. 恐惧, 可怕的人(或事)
a. 可怕的, 可怖的
v. 恐惧, 害怕"
go by air, 坐飞机去
grieve,"vt. 使悲伤
vi. 悲痛, 伤心"
distress,"n. 苦恼, 贫困, 痛苦
vt. 使苦恼
a. 亏本出售的"
destiny,"n. 命运, 定数"
regardless,"a. 不管, 不注意, 不顾"
conviction,"n. 定罪, 信服, 坚信
"
mourn,"v. 哀悼, 忧伤, 服丧"
pope,"n. 罗马教皇, 主教"
regardless of ...,"不注意, 不关心"
influential,"a. 有影响的, 有势力的"
economist,"n. 经济学者, 经济家
"
predict,"v. 预知, 预言, 预报"
recession,"n. 后退, 凹处, 衰退, 归还
"
dim,"a. 暗淡的, 模糊的
vt. 使暗淡
"
startle,"n. 惊愕, 惊恐
vt. 吃惊, 使惊愕
vi. 惊起"
garment,"n. 衣服, 衣装, 外表"
alligator,"n. 短吻鳄
"
beetle,"n. 甲虫, 大槌
vi. 快速移动
vt. 捶"
calf,"n. 小牛, 小牛皮, 腓肠
"
cricket,"n. 蟋蟀, 板球"
crocodile,n. 鳄鱼
dinosaur,n. 恐龙
dolphin,n. 海豚
donkey,"n. 驴子, 笨蛋, 顽固者, 辅助发动机, 辅助泵"
dove,"n. 鸽子
dive的过去式"
giraffe,"n. 长颈鹿, 鹿豹座"
herd,"n. 兽群, 人群, 牧人
vt. 群集, 使成群, 放牧
vi. 聚在一起"
lark,"n. 云雀, 百灵鸟, 欢乐, 嬉耍
vi. 嬉耍, 骑马玩乐
vt. 愚弄"
lobster,n. 龙虾
sparrow,n. 麻雀
squirrel,"n. 松鼠, 松鼠毛皮
vt. 贮藏"
turtle,n. 海龟
zebra,n. 斑马
ballet,n. 芭蕾舞
beating,"n. 打, 挫败, 搏动
"
championship,"n. 冠军身份, 冠军称号, 捍卫"
handling,"n. 处理
a. 操作的"
riding,"n. 骑, 乘车, 乘, 骑术, 骑马"
rugby,"n. 橄榄球, 橄榄球赛"
surfing,n. 冲浪运动
arithmetic,"n. 算术, 算术知识
"
biology,"n. 生物学
"
calculation,"n. 计算, 考虑, 计算的结果
"
evolution,"n. 进化, 发展, 进展, (气体)放出, 开方
"
noun,n. 名词
organism,"n. 生物, 有机体, 社会组织
"
renaissance,"n. 复活, 复兴, 文艺复兴
a. 文艺复兴的"
theme,"n. 主题, 话题, 题目"
tragedy,"n. 悲剧, 惨案, 悲剧作品
"
verb,"n. 动词
"
belly,"n. 腹部, 食欲
vt. 使鼓起
vi. 鼓起, 匍匐前进"
footprint,"n. 足迹
"
footstep,"n. 脚步, 脚步声, 足迹"
appreciation,"n. 感激, 赏识, 鉴别
"
awareness,"n. 意识, 认识
"
awe,"n. 敬畏
vt. 使敬畏"
creativity,"n. 创造力, 创造性"
daring,a. 大胆的
disgrace,"n. 耻辱, 不名誉
vt. 使受耻辱, 使失体面"
eagerness,n. 热心
esteem,"n. 尊敬, 尊重
vt. 尊敬, 尊重, 认为"
fantasy,"n. 幻想, 想象的产物
"
illusion,"n. 幻影, 错觉, 幻想
"
inspiration,"n. 灵感, 鼓舞人心的人或物, 妙计, 吸气
"
motive,"n. 动机, 目的, 主题, 基调
a. 运动的, 成为动机的"
perception,"n. 知觉, 感觉, 领悟力, 获取
"
preference,"n. 偏爱, 优先, 喜爱物
"
seriousness,"n. 严肃, 认真, 严重性"
suspicion,"n. 怀疑, 觉察, 嫌疑
"
wit,"n. 机智, 智力, 头脑, 理智, 妙语, 机智的人"
clay,"n. 泥土, 肉体, 黏土
"
clover,"n. 红花草
"
daylight,"n. 白昼, 日光
vt. 使沐浴于日光
vi. 享有日光"
hay,"n. 干草
vt. 制干草, 供给干草
vi. 晒干草"
moss,"n. 苔藓, 泥沼
vt. 使长满苔藓"
pansy,"n. 圆三色堇
"
raindrop,"n. 雨滴, 雨点"
thorn,"n. 刺, 棘, 荆棘"
twilight,"n. 暮光, 曙光, 黎明, 黄昏, 微光, 朦胧状态
a. 微明的"
typhoon,n. 台风
vine,"n. 藤本植物, 葡萄, 藤, 蔓
vi. 形成藤蔓"
volcano,n. 火山
allowance,"n. 津贴, 零用钱, 限额, 折扣, 允许
vt. 定量供应"
assumption,"n. 假定, 自负, 担任, 假装
"
assurance,"n. 保证, 把握, 信心, 保险
"
bang,"n. 重击, 突然巨响, 刘海
v. 发巨响, 重击
adv. 砰然地, 突然巨响地, 直接地
"
belonging,[法] 附属物
climax,"n. 高潮, 极点, 层进法
v. (使)达到顶点, (使)达到高潮"
congratulation,"n. 祝贺, 恭喜"
decoration,"n. 装饰, 装饰品"
defect,"n. 缺点
"
earning,n. 收入（earn的现在分词）
Easter,n. 复活节
errand,"n. 任务, 差使, 使命"
exploration,"n. 探险, 踏勘, 探测
"
exposure,"n. 暴露, 揭发, 揭露
"
farewell,"n. 辞别, 再见, 再会
interj. 再会"
ferry,"n. 渡船, 渡口
"
format,"n. 开本, 版式, 形式, 格式
vt. 格式化
"
graduation,"n. 毕业, 得学位, 分划, 刻度, 分等级
"
heading,"n. 标题, 起始字, 方向
"
headline,"n. 大标题, 新闻摘要
vt. 为...做标题, 写标题"
heap,"n. 堆, 许多, 累积
vt. 堆积, 装满
"
hike,"n. 徒步旅行, 远足, 涨价, 提高
vi. 步行, 徒步旅行, 上升
vt. 使高涨, 拉起"
housekeeping,"n. 家事, 家政, 持家
"
hug,"n. 紧抱, 拥抱
vt. 紧抱, 坚持, 使沾沾自喜"
incline,"n. 倾斜, 斜坡, 斜面
vt. 使倾向于, 使倾斜
vi. 倾向, 倾斜, 爱好, 易于"
input,"n. 输入, 输入电路
vt. 输入
"
keyword,[计] 关键字
knitting,"n. 编结, 针织法, 针织, 编结法, 编结物, 针织品
"
lighting,"n. 照明, 照明设备, 舞台灯光"
listing,
lump,"n. 块, 瘤, 很多, 肿块, 笨人
vt. 使成块状, 混在一起
vi. 结块"
midday,"n. 正午, 中午
a. 正午的"
mixture,"n. 混合, 混淆, 混合物
"
nightmare,"n. 梦魇, 恶梦, 可怕的事物(或情景、人物)
"
objective,"n. 目的, 目标, 宗旨, 宾格, 实物
a. 客观的, 如实的, 无偏见的, 宾格的"
offering,"n. 提供, 奉献物, 牲礼, 上市的股票(或证券等)
"
outlet,"n. 出口, 发泄方法, 市场
"
packaging,"n. 包装, 包装业, 包装术
"
packing,"n. 包装, 填垫材料, 封函, 行李
"
password,"n. 密码, 口令, 通行手段
"
phase,"n. 时期, 局面, 方面, 位相, 相, 阶段
vt. 使调整相位, 使定相, 使一致, 逐步执行, 实行
"
phenomenon,"n. 现象, 迹象, 表现, 奇迹, 奇才
"
prescription,"n. 处方, 命令, 指定
"
prevention,"n. 阻止, 妨碍, 预防
"
procession,"n. 队伍, 连续, 列队行进, 涌出"
profile,"n. 侧面, 轮廓, 传略
vt. 描绘...轮廓, 写...的传略
"
publishing,"n. 出版, 刊印, 发行"
reflection,"n. 反映, 沉思, 映像, 想法, 责难
"
removal,"n. 移动, 移居, 迁移, 排除, 切除
"
routine,"n. 常规, 日常工作, 惯例, 例行公事
a. 日常的, 常规的
"
scar,"n. 疤痕, 伤痕, 悬崖
vi. 结疤, 愈合, 痊愈
vt. 使有伤痕"
shipping,"n. 装运, 航行, 船舶, 船舶吨数
"
sightseeing,"n. 观光, 游览
a. 观光的, 游览的"
similarity,"n. 类似, 类似处
"
solitude,"n. 孤独, 单独, 孤寂"
standing,"n. 起立, 持续, 身分
a. 立着的, 不动的, 经常的, 持续的"
stitch,"n. 一针, 疼痛, 针法, 碎布条, 针脚
v. 缝, 缝合, 装订"
streetcar,n. 有轨电车
testing,"n. 测试
a. 吃力的, 试验的"
topping,"a. 极好的, 主要的, 一流的
n. 除顶部, 修剪树稍, 剪落之小树枝"
vacuum,"n. 真空, 空间, 真空吸尘器
a. 真空的, 产生真空的, 利用真空的
vt. 用吸尘器打扫"
vigor,"n. 精力, 活力"
warming,"n. 暖和, 加温, 暖热, 温暖, (非正式)打, 鞭打"
alliance,"n. 联盟, 联合
"
assembly,"n. 与会者, 集会, 装配, 组件
"
behalf,"n. 利益, 方面"
broadcasting,"n. 广播
"
capitalism,"n. 资本主义
"
charter,"n. 特许状, 执照, 宪章
vt. 特许, 发给特许执照"
combat,"n. 争斗, 战斗
vi. 战斗, 争斗
vt. 与...战斗, 与...斗争"
commitment,"n. 委托, 交押, 承担义务, 赞助
"
concept,"n. 观念, 概念
"
conquest,"n. 战胜, 征服, 战利品
"
consensus,"n. 合意, 一致, 同感
"
dealing,"n. 经营行为, 行为, 交易
"
declaration,"n. 宣告, 说明, 宣布
"
demonstration,"n. 示范, 实证
"
distinction,n. 区别
evaluation,"n. 评估, 估价, 求值
"
expansion,"n. 扩充, 开展, 膨胀
"
fairness,"n. 晴朗, 光明正大, 美丽
"
famine,"n. 饥荒, 缺乏, 饥饿"
guideline,"n. 指导路线, 方针, 指标
"
inflation,"n. 胀大, 夸张, 通货膨胀
"
invasion,"n. 侵犯, 侵入, 侵害
"
limitation,"n. 限制, 缺陷, 限额
"
majesty,"n. 最高权威, 威严, 王权, 雄伟, 庄严"
missile,"n. 发射物, 导弹, 飞弹, 火箭
a. 可发射的"
outlook,"n. 观点, 景色, 前途, 了望
"
partnership,"n. 合伙, 合股, 合作关系
"
poll,"n. 投票, 民意测验, 选举投票, 投票数, 一组人中的一个, 头颈和后脑部, 鹦鹉
vt. 对...进行民意测验, 获得...票, 剪树枝, 轮询
vi. 投票
a. 剪过毛的, 修过枝的
"
provision,"n. (政府提供的)钱和设备, 准备, 供应品, 规定, 条款
vt. 供给...食物及必需品"
publicity,"n. 名声, 宣传, 公开场合
"
refuge,"n. 避难所, 安全地带, 避难, 庇护
vi. 躲避
vt. 给予...庇护"
revival,"n. 复兴, 复活, 恢复精神, 苏醒
"
satellite,"n. 人造卫星
"
senate,"n. 参议院, 立法机构, 评议会"
separation,"n. 分离, 分居, 缺口, 退职
"
sphere,"n. 球, 球面, 球体, 天体, 地球仪, 范围
vt. 包围, 使成球体, 放入球内"
trading,[经] 交易
transition,"n. 转变, 转换, 变迁, 过渡时期, 临时转调
"
unity,"n. 一致, 联合, 单一(性), 个体
"
wartime,n. 战时
blueberry,n. 乌饭树
cereal,"n. 谷类食品, 谷类植物
a. 谷类的"
cider,"n. 苹果汁, 苹果酒
"
coconut,"n. 椰子
"
cucumber,"n. 黄瓜
"
liquor,"n. 酒, 液体, 汁, 溶液
vt. 浸水
vi. 喝酒"
mango,"n. 芒果
"
oyster,"n. 牡蛎, 蚝, 沉默者"
pasta,"n. 意大利面食
"
raisin,n. 葡萄干
raspberry,"n. 悬钩子, 呸声
"
abundance,"n. 丰富, 充足, 大量
"
breadth,"n. 宽度
"
bulk,"n. 大小, 体积, 大块, 大多数
vt. 显得大, 显得重要"
calorie,n. 卡路里（热量单位）
frequency,"n. 频率, 频数
"
hardness,"n. 坚硬, 困难, 严厉, 勇气
"
ounce,"n. 盎司, 少量, 雪豹
"
particle,"n. 颗粒, 粒子, 质点, 极小量
"
shilling,"n. 先令
"
academy,"n. 学院, 院校, 学会"
aisle,"n. 走廊, 侧廊, 过道
"
arcade,"n. 拱廊, 拱形建筑物, 有拱廊的街道
"
arena,"n. 角斗场, 舞台, 场地
"
barn,"n. 谷仓
"
brim,"n. 边, 边缘, (河)边
vt. 注满, 使满溢
vi. 满溢"
bureau,"n. 局, 办公处
"
cape,"n. 岬, 海角, 披肩, 斗蓬"
cathedral,n. 大教堂
chamber,"n. 室, 房间, 枪膛
vt. 装(弹药), 把...关在室内
a. 室内的"
coffeehouse,n. 咖啡馆
corridor,"n. 走廊, 回廊, 人口密集地带"
crossroad,"n. 交叉路, 岔道, 十字路口"
crosswalk,n. 行人穿越道
disco,"n. 夜总会, 迪斯科, 的士高"
dock,"n. 码头, 船坞, 被告席, 尾巴的骨肉部分
vt. 使靠码头, 使(船)进港, 剪短
vi. 进港"
farmhouse,n. 农舍
freeway,n. 高速公路
greenhouse,n. 温室
headquarters,"n. 总部, 司令部, 总部人员
"
hilltop,n. 小山顶
laboratory,"n. 实验室, 研究室, 化工厂
"
lounge,"n. 闲逛, 休闲室, 长沙发
vi. 闲混, (懒洋洋地)躺
vt. 闲混"
margin,"n. 页边的空白, 边缘, 界限, 余裕, 差数, 差额, 保证金
vt. 加边于, 加旁注于
"
nursery,"n. 托儿所, 苗圃, 温床
"
pyramid,"n. 角锥, 金字塔
v. (使)成金字塔状, (使)渐增, (使)上涨"
riverside,"n. 河边, 河畔"
schoolhouse,n. 校舍
schoolroom,"n. 教室, 讲堂"
veranda,"n. 阳台, 走廊"
viewpoint,n. 观点
workshop,"n. 工场, 车间, 研讨会
"
attendant,"n. 随从, 侍者, 出席者
a. 侍候的, 伴随的, 出席的, 在场的"
