antenna,"n. 天线, 触须, 触角
"
virtual,"a. 实际上起作用的, 虚的, 实质的, 有效的, 事实上生效的
"
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
"
abundant,"a. 丰富的, 充分的, 大量的"
apparent,"a. 清晰可见的, 显然的, 表面上的
"
coherent,"a. 互相耦合的, 清晰的, 明了的，凝聚性的, 连贯的"
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
"
constituent,"n. 成分, 选民, 构成物
a. 构成的, 组织的, 选举的"
current,"n. 涌流, 趋势, 流
a. 流通的, 现在的, 当前的, 流行的
"
dependent,"n. 依赖他人者
a. 依赖的, 从属的"
different,"a. 不同的
"
dominant,"a. 占优势的, 支配的
"
efficient,"a. 有效率的, 能干的"
elegant,"a. 优雅的, 端庄的, 高雅的"
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
"
evident,"a. 显然的, 明显的"
giant,"n. 巨人, 大力士, 巨大怪物
a. 庞大的, 巨大的"
ignorant,"a. 无知识的, 不知道的, 由无知产生的
"
immigrant,"n. 移民
a. 移入的, 移民的"
important,"a. 重要的, 有地位的, 大量的, 显要的, 自负的
"
independent,"n. 独立自主者, 无党派者
a. 独立的, 有主见的, 不须依赖的, 不受约束的"
indifferent,"a. 漠不关心的, 无重要性的, 中立的
"
inefficient,"a. 无效率的, 无能的
"
inherent,"a. 固有的, 与生俱来的
"
innocent,"a. 无罪的, 不懂事的, 无知的
n. 天真的人, 笨蛋"
insignificant,"a. 无关紧要的, 无意义的, 琐碎的"
insufficient,"a. 不够的, 不能胜任的, 不充足的
"
intelligent,"a. 聪明的, 智能的, 了解的"
irrelevant,"a. 不恰当的, 无关系的, 不相干的
"
participant,"n. 参加者, 参与者
a. 有份的, 参加的, 参与的"
patent,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
persistent,"a. 固执的, 坚持的, 持续的, 作用持久的
"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
reluctant,"a. 不情愿的, 勉强的
"
resident,"n. 居民, 常驻程序, 居住者, 留鸟
a. 居留的, 定居的"
resistant,"n. 抵抗者, 反抗者
a. 抵抗的, 反抗的, 耐...的"
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
subsequent,"a. 后来的, 接下去的
"
sufficient,"a. 充分的, 足够的
"
turbulent,"a. 狂暴的, 骚乱的, 紊乱的"
complementary,"a. 补充的, 补足的
"
contrary,"a. 相反的, 矛盾的, 对立的
n. 相反, 对立面
adv. 相反地"
evolutionary,"a. 展开的, 进化论的, 进化的, 发展的
"
exclusionary,"a. <正>排斥（性）的, 排除在外的"
extraordinary,"a. 非常的, 特别的, 非凡的
"
literary,"a. 文学的, 文艺的, 精通文学的
"
necessary,a. 必要的；必然的；必需的
ordinary,"a. 平常的, 普通的, 平凡的
n. 平常的人(或事)"
primary,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
"
revolutionary,"n. 革命者, 革命党人
a. 革命的, 革命性的"
temporary,"a. 暂时的, 临时的
n. 临时工, 临时雇员
"
unnecessary,a. 不必要的
voluntary,"a. 自动的, 自愿的, 故意的, 志愿的, 自发的
n. 自愿行动, 志愿者, 自由调"
addicted,"a. 沉溺于...的, 无法摆脱(某种嗜好)的
"
aligned,a. 对齐的；均衡的
biased,"a. 有偏见的
"
complicated,"a. 复杂的
"
confined,"a. 被限制的, 狭窄的, 在分娩中的, 坐月子的
"
delighted,"a. 高兴的, 快乐的"
detached,"a. 超然的, 分离的, 冷淡的
"
disappointed,a. 失望的
experienced,"a. 富有经验的, 老练的, 熟练的"
interested,"a. 感兴趣的
"
obsessed,a. 着迷的；无法摆脱的
oriented,"a. 导向的
"
qualified,"a. 有资格的
"
sacred,"a. 神圣的, 献给上帝的, 庄严的, 祭祀的
"
satisfied,a. 感到满意的
stained,"a. 沾污的, 褪色的, 着色的, 染色的
"
standardized,a. 标准化的；标准的；定型的
surprised,a. 感到惊讶的
threatened,"a. 受到威胁的
v. 威胁(threaten的过去分词)"
unexpected,"a. 料想不到的, 突然的, 意外的
"
unrelated,[法] 无关的
careful,"a. 小心的, 谨慎的"
distasteful,"a. 味道差的, 使人不愉快的, 讨厌的"
doubtful,"a. 可疑的, 疑心的, 不明确的
"
fearful,"a. 可怕的, 恐怕的, 担心的"
helpful,"a. 有帮助的, 有益的, 有用的"
thoughtful,"a. 深思的, 体贴的"
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
credible,"a. 可信的, 可靠的
"
eligible,"a. 有资格当选的, 合格的
n. 有资格者, 合格者, 适任者"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
"
impossible,"a. 不可能的, 难以置信的, 令人无法忍受的"
incredible,a. 难以置信的
permissible,"a. 可允许的, 可容许程度的
"
plausible,"a. 貌似真实的, 貌似合理的, 说得煞有其事的
"
responsible,"a. 有责任的, 负责的, 责任重大的
"
sensible,"a. 有感觉的, 敏感的, 明智的
"
susceptible,"a. 易受影响的, 易感动的, 容许...的
"
visible,"a. 看得见的, 明显的, 显然的
n. 可见物"
bureaucratic,"a. 官僚的
"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
"
chronic,"a. 慢性的, 习惯性的
n. 慢性病患者"
democratic,"a. 民主的
"
dramatic,"a. 戏剧性的, 生动的"
dynamic,"a. 动态的, 有活力的, 有力的, 动力的, 不断变化的
n. 动力, 动态
"
economic,"a. 经济上的, 实用的, 节省的
"
electronic,"a. 电子的
"
enthusiastic,"a. 狂热的, 热心的, 热烈的"
epidemic,"n. 传染病, 流行病
a. 流行的, 传染性的"
ethic,"n. 道德规范, 伦理"
genetic,"a. 创始的, 遗传的, 起源的, 遗传学的
"
geographic,"a. 地理(学)的, 地区(性)的"
intrinsic,"a. 本质的, 原有的, 真正的
"
journalistic,"a. 新闻业的, 新闻工作者的, 报刊特有的, 新闻工作的"
linguistic,"a. 语言的, 语言学的
"
optimistic,"a. 乐观的, 乐观主义的, 乐天的"
panic,"n. 恐慌, 惊慌
a. 惊慌的, 没有理由的, 恐慌的
vt. 使惊慌, 使狂热
vi. 惊慌"
pessimistic,"a. 悲观的, 厌世的, 悲观主义的"
public,"n. 公众, 民众
a. 公众的, 公共的, 公立的, 公用的"
scientific,"a. 科学的, 系统的, 符合科学规律的
"
specific,"n. 特效药, 特性
a. 特殊的, 明确的, 具有特效的, 特定地, 具体地"
strategic,"a. 战略的, 战略上的
"
analytical,"a. 分析的, 善于分析的, 解析的
"
archaeological,"a. 考古学的, 考古学上的"
biomedical,a. 生物医学
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
ethical,"a. 伦理的, 民族的, 民族特有的
"
identical,"a. 同一的, 恒等的, 完全相同的
"
ideological,"a. 意识形态的, 空想的
"
mechanical,"a. 机械的, 机械性的, 力学的
"
paradoxical,"a. 似非而是的, 矛盾的, 诡论的
"
philosophical,"a. 哲学的, 冷静的, 达观的, 哲学上的, 哲学家似的"
physical,"a. 身体的, 物质的, 自然的, 物理学的, 好色的
n. 体格检查"
political,"a. 政治的, 政治上的, 政党的, 从事政治的
"
practical,"a. 实际的, 现实的, 实用性的
"
psychological,"a. 心理学的, 精神上的, 心灵的
"
radical,"n. 激进分子, 词根, 基础, 根式, 根
a. 激进的, 根本的, 基本的, 根的"
sceptical,"a. 怀疑论的, 怀疑的"
statistical,"a. 统计的, 统计上的, 统计学的
"
technical,"a. 技术上的, 专门的, 工业的, 严格根据法律的
"
typical,"a. 典型的, 象征性的
"
stylish,"a. 现代风格的, 流行的, 潇洒的"
adaptive,"a. 适应的, 能适应的"
adoptive,"a. 有收养关系的, 采用的
"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
assimilative,"a. 吸收的, 同化的"
attractive,"a. 吸引人的, 有魅力的
"
captive,"n. 俘虏, 迷恋者
a. 被俘的, 被迷住的"
cognitive,"a. 认知的, 认识的"
collaborative,"a. 合作的, 协作的"
collective,"a. 集体的, 聚集的, 共同的
"
comparative,"a. 比较的, 相对的
n. 对手"
competitive,"a. 竞争的
"
comprehensive,"a. 广泛的, 有理解力的, 综合的
"
conservative,"a. 保守的, 守旧的, 有保存力的
"
creative,"a. 有创造力的, 创作的, 产生的"
disruptive,"a. 分裂的, 破坏(性)的
"
distinctive,"a. 有特色的, 出众的"
effective,"a. 有效的, 有力的, 实际的
n. 有生力量"
excessive,"a. 过度的, 过多的, 极端的
"
exclusive,"a. 排外的, 独占的, 唯一的
"
executive,"n. 执行部门, 执行委员会, 执行者, 经理主管人员
a. 执行的, 善于执行的, 善于经营的
"
expressive,"a. 表达的, 富于表情的"
extensive,"a. 广的, 广泛的, 多方面的
"
generative,"a. 生殖的, 生产的, 有生殖力的
"
impressive,"a. 给人深刻印象的, 威严的"
impulsive,"a. 冲动的, 受感情驱使的, 任性的
"
incentive,"n. 动机
a. 激励的"
inconclusive,"a. 非决定性的, 无效果的, 不得要领的
"
ineffective,"a. 无效的
"
initiative,"n. 主动行动, 首创精神, 主动权
a. 自发的, 起始的"
innovative,"a. 革新的, 创新的, 富有革新精神的"
insensitive,"a. 对...没有感觉的, 感觉迟钝的
"
intensive,"a. 加强的, 内涵的, 集中的
n. 加强器"
intuitive,a. 直觉的
legislative,"n. 立法机构
a. 立法的, 有立法权的"
massive,"a. 大而重的, 宽大的, 宏伟的
"
motive,"n. 动机, 目的, 主题, 基调
a. 运动的, 成为动机的"
native,"n. 本地人, 土产, 当地人
a. 本国的, 与生俱来的, 自然的"
negative,"n. 否定, 否定语, 负数, 底片
a. 否定的, 消极的, 负的, 阴性的
n. 负数, 负值
"
objective,"n. 目的, 目标, 宗旨, 宾格, 实物
a. 客观的, 如实的, 无偏见的, 宾格的"
operative,"a. 动作的, 运转的, 有效的, 关键的, 手术的
n. 技工, 侦探"
passive,"a. 消极的, 被动的, 冷漠的, 顺从的, 无源的
"
permissive,"a. 许可的, 获准的, 宽容的, 放任的, 放纵的, 允许选择的, 自由的
"
persuasive,"a. 有说服力的, 劝诱的, 劝导性的"
positive,"a. 肯定的, 积极的, 有把握的
"
productive,"a. 能生产的, 有生产价值的, 多产的
"
progressive,"n. 改革论者, 进步论者
a. 前进的, 累进的, 进步的"
relative,"n. 亲戚, 关系词
a. 有关系的, 相对的, 比较的"
representative,"n. 代表, 众议员, 典型
a. 描写的, 表现的, 代理的, 代表的, 代议制的, 典型的"
restrictive,"a. 限制的, 约束的, 限定的
n. 限制词"
sensitive,"a. 敏感的, 易感的, 灵敏的, 感光的
"
supportive,"a. 支撑, 支承, 资助, 赞助, 支援, 经受, 忍受, 扶养, 证实, 鼓励, 维持, 伴奏"
tentative,"n. 试验
a. 试验性的, 暂时的"
unattractive,"a. 无吸引力的, 无魅力的, 乏味的, 不美的"
childless,a. 无儿女的
endless,"a. 不停的, 无穷尽的, 无尽的
"
groundless,"a. 无根据的, 无理由的
"
helpless,"a. 无助的, 无能为力的, 无依无靠的"
pointless,"a. 不尖的, 钝的, 不得要领的"
regardless,"a. 不管, 不注意, 不顾"
worthless,"a. 无价值的, 无益的, 无足轻重的
"
alike,"a. 相似的, 同样的
adv. 一样, 以同样的方式"
costly,"a. 昂贵的, 奢华的, 费用大的"
likely,"a. 有可能的, 合适的, 前途有望的
adv. 或许, 可能"
scholarly,"a. 学者派头的, 学者风度的, 有学问的, 博学的, 好学的"
advisory,"a. 顾问的, 咨询的, 劝告的
"
regulatory,"a. 受控制的, 统制的, 调整的
"
ambiguous,"a. 不明确的, 模棱两可的
"
autonomous,"a. 自治的
"
cautious,"a. 谨慎的, 小心的"
conscious,"a. 有意识的, 知觉的, 觉察的
"
contemptuous,"a. 轻蔑的, 鄙视的, 瞧不起人的"
courageous,"a. 勇敢的, 大胆的, 有胆量的"
enormous,"a. 巨大的, 庞大的"
generous,"a. 慷慨的, 有雅量的, 大量的, 丰富的"
humorous,"a. 富幽默感的, 滑稽的, 诙谐的"
obvious,"a. 明显的, 明白的, 显然的, 平淡无奇的"
precious,"a. 宝贵的, 珍贵的, 过于精致的, 珍爱的"
previous,"a. 早先的, 前面的, 过急的
"
religious,"a. 宗教性的, 虔诚的, 宗教上的, 严谨的
n. 修道士, 出家人"
serious,"a. 严肃的, 认真的, 重要的, 严重的
"
subconscious,"n. 潜在意识, 下意识
a. 下意识的, 潜意识的"
suspicious,"a. 可疑的, 多疑的, 怀疑的
"
unconscious,"a. 未意识到的, 无意识的, 无知觉的
"
vicious,"a. 邪恶的, 堕落的, 品性不端的, 恶毒的, 恶性的, 有错误的
"
virtuous,"a. 品德高尚的, 公正的, 贞洁的, 有效力的"
burdensome,"a. 累赘的, 恼人的, 繁重的
"
fearsome,"a. 吓人的, 可怕的, 害怕的"
nationwide,"a. 全国性的
"
worldwide,a. 全世界的
guilty,"a. 犯罪的, 有过失的, 自觉有错的, 心虚的
"
risky,a. 危险的
tiny,"a. 很少的, 微小的"
worthy,"n. 杰出人物
a. 有价值的, 可敬的, 值得的"
arch,"n. 拱门, 拱形, 足弓
vt. 使成弓形
vi. 拱起, 成弓形
a. 主要的, 调皮的, 傲慢无礼的, 狡猾的"
archaeological,"a. 考古学的, 考古学上的"
archaeologist,n. 考古学家
archaeology,n. 考古学
architect,"n. 建筑师, 设计者, 缔造者"
architecture,"n. 建筑学, 建筑式样
"
monarch,"n. 帝王, 统治者, 元首
"
monarchy,"n. 君主政体, 君主国, 君主政治
"
battle,"n. 战役
v. 战斗"
combat,"n. 争斗, 战斗
vi. 战斗, 争斗
vt. 与...战斗, 与...斗争"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
biomass,"n. 生物量
"
biomedical,a. 生物医学
acceptable,"a. 可接受的, 合意的, 可忍受的"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
capability,"n. 能力, 性能, 约束力
"
capable,"a. 有能力的, 能的, 能干的"
capacity,"n. 容量, 能力, 才能, 资格
"
captive,"n. 俘虏, 迷恋者
a. 被俘的, 被迷住的"
capture,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
"
concept,"n. 观念, 概念
"
deceptive,"a. 迷惑的, 虚伪的, 欺诈的"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
occupy,"vt. 占领, 占(时间、空间等), 住进, 担任, 使从事, 使全神贯注
"
participant,"n. 参加者, 参与者
a. 有份的, 参加的, 参与的"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
participation,"n. 参与, 分享
"
principal,"n. 校长, 首长, 本金, 主犯, 资本, 委托人
a. 主要的, 最重要的, 首要的"
principle,"n. 原则, 原理, 主义
"
receptor,"n. 受体, 感觉器官
"
recipient,"a. 领受的, 容易接受的, 感受性强的
n. 领受者, 容纳者, 容器"
susceptible,"a. 易受影响的, 易感动的, 容许...的
"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
ancestor,"n. 祖先, 祖宗"
excess,"n. 过度, 剩于, 超过, 超额
a. 过量的, 额外的"
excessive,"a. 过度的, 过多的, 极端的
"
excessively,"adv. 过多, 极度, 过度, 过分"
necessarily,"adv. 必然地, 必须地, 必要地"
necessary,a. 必要的；必然的；必需的
necessity,"n. 需要, 必需品, 必然
"
precede,"vt. 在...之前, 优于, 较...优先
vi. 在前面"
procedure,"n. 程序, 过程, 手续
"
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
recession,"n. 后退, 凹处, 衰退, 归还
"
succession,"n. 连续, 继承权, 继位, 演替, 地层次序
"
unnecessary,a. 不必要的
unprecedented,"a. 空前的
"
accident,"n. 意外事件, 机遇, 事故, 次要方面
"
accidentally,"adv. 偶然地, 意外地"
coincidence,"n. 巧合, 同时发生
"
concise,"a. 简洁的, 简明的"
decision,"n. 决定, 决心, 决断
"
homicide,"n. 杀人, 杀人者
"
incidentally,"adv. 伴随地, 偶然, 顺便"
precise,"a. 精确的, 严谨的, 明确的
"
precisely,"adv. 精确地, 明确地, 刻板地, 拘泥地, 正好, 恰恰, 对, 正是如此, 确实如此, 不错"
precision,"n. 精密, 精确, 精确度, 精度
a. 精密的, 精确的
"
suicide,"n. 自杀, 自杀者
v. 自杀
a. 自杀的"
circular,"a. 圆形的, 循环的, 间接的
"
circulate,"v. (使)流通, (使)循环, (使)传播"
circumstance,"n. 环境, 状况, 事件"
encyclopedia,n. 百科全书
recycle,"vt. 使再循环, 重新利用, 再制
n. 再循环"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
disclose,"vt. 揭露, 透露
"
enclose,"vt. 围绕, 圈起, 放入封套, 附上"
exclude,"vt. 除外, 排除, 排斥
"
exclusion,"n. 排除, 除外, 逐出
"
exclusionary,"a. <正>排斥（性）的, 排除在外的"
exclusive,"a. 排外的, 独占的, 唯一的
"
exclusively,"adv. 排他地, 仅仅, 专门, 只, 仅, 唯一地, 专有地"
inclusive,"a. 包含的, 包括的"
inconclusive,"a. 非决定性的, 无效果的, 不得要领的
"
preclude,"vt. 预先排除, 预防, 阻止, 妨碍
"
concrete,"n. 凝结物, 混凝土
a. 具体的, 实在的, 混凝土的
v. (使)凝结, 用混凝土浇筑"
create,"vt. 创造, 建造, 引起, 任命"
creation,"n. 创造, 创作物, 发明
"
creative,"a. 有创造力的, 创作的, 产生的"
creativity,"n. 创造力, 创造性"
creature,"n. 人, 动物, 创造物, 生物"
decrease,"n. 减少, 减少量
v. 减少"
increase,"n. 增加, 增进, 利益
vt. 增加, 加大
vi. 增加, 繁殖"
increasingly,"adv. 逐渐地, 渐增地"
credential,"n. 国书, 凭据, 证明书
"
credibility,"n. 可信用, 确实性, 可靠
"
credible,"a. 可信的, 可靠的
"
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
"
incredible,a. 难以置信的
accuracy,"n. 精确, 正确
"
concur,"vi. 同意, 一致, 同时发生
"
cure,"n. 治疗, 治愈, 治疗法
vt. 治疗, 治愈, 改正, 腌制, 加工处理, 使硫化
vi. 受治疗, 被加工处理, 被硫化"
current,"n. 涌流, 趋势, 流
a. 流通的, 现在的, 当前的, 流行的
"
currently,"adv. 现在, 当前, 一般, 普通
"
discourse,"n. 谈话, 演讲
vi. 谈话, 讲述"
excursion,"n. 远足, 游览圆, 短程旅行
"
incur,"vt. 招致, 蒙受, 遭遇
"
occur,"vi. 发生, 被想到, 存在"
recur,"vi. 复发, 回到, 重现, 再来, 诉诸, 采用, 循环"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
"
addict,"vt. 使沉溺, 使上瘾
n. 入迷的人, 上瘾者"
addicted,"a. 沉溺于...的, 无法摆脱(某种嗜好)的
"
addiction,"n. 入迷, 瘾
"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
dedicate,"vt. 献出, 贡献"
dictate,"vi. 听写, 口述, 口授
vt. 口述, 使听写, 命令
n. 命令, 指挥, 指令"
indicate,"vt. 显示, 象征, 指示, 指出
"
indicator,"n. 指示器, 指示剂, 指标
"
predict,"v. 预知, 预言, 预报"
prediction,"n. 预言, 预报
"
verdict,"n. 裁决, 判决, 判断性意见, 定论, 结论
"
domain,"n. 领域, 领土, 产业, 范围
"
domestic,"a. 家庭的, 国内的, 驯养的
"
dominance,"n. 优势, 显性, 统治, 控制, 支配
"
dominant,"a. 占优势的, 支配的
"
dominate,"v. 支配, 占优势"
freedom,"n. 自由, 坦率, 特权
"
predominance,"n. 主导地位, 优势"
predominant,"a. 占主导地位的, 卓越的
"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
wisdom,"n. 智慧, 明智行为, 学识, 名言, 贤人"
adduce,"vt. 引证, 举出
"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
conductor,"n. 领导者, 指挥者, 售票员, 向导
"
deduce,"vt. 推论, 演绎出
"
educate,"vt. 教育, 培养, 训练"
education,"n. 教育, 训练, 教育学
"
educational,"a. 教育的, 教育性的"
educator,n. 教育家
induce,"vt. 引诱, 招致, 归纳出, 感应
"
introduction,"n. 介绍, 传入, 采用, 初步"
produce,"n. 生产品, 物产, 后代
vt. 产生, 生产, 提出, 出示
vi. 生产, 制造"
producer,"n. 生产者, 制作者, 制作人
"
product,"n. 产品, 结果, 乘积
"
production,"n. 制造, 生产, 产物
"
productive,"a. 能生产的, 有生产价值的, 多产的
"
productivity,"n. 生产力
"
reduce,"vt. 减少, 分解, 降低, 使衰退, 把...分解, 把...归纳
vi. 减少, 减肥, 缩小
"
reduction,"n. 减少, 缩影, 变化
"
ecology,"n. 生态学, 社会生态学
"
economic,"a. 经济上的, 实用的, 节省的
"
economical,"a. 节俭的, 经济的, 合算的
"
economics,"n. 经济学
"
economist,"n. 经济学者, 经济家
"
economy,"n. 经济, 理财, 节约
"
ecosystem,"n. 生态系统
"
confer,"vt. 授予, 带来
vi. 协商"
defer,"vi. 推迟, 延期, 听从
vt. 使推迟, 使延期"
differ,"vi. 不一致, 不同
"
difference,"n. 不同, 差异
"
different,"a. 不同的
"
differentiate,"v. 区别, 区分"
fertile,"a. 可繁殖的, 肥沃的, 生产多的
"
indifference,"n. 不重视, 无兴趣, 漠不关心
"
indifferent,"a. 漠不关心的, 无重要性的, 中立的
"
infer,"vt. 推论出, 推断
vi. 作推论"
inference,"n. 推论
"
interference,"n. 冲突, 干涉
"
refer,"vt. 提交, 归诸于, 把...提交, 使求助于
vi. 提到, 涉及, 查阅, 查询, 咨询"
suffer,"vt. 遭受, 经历, 忍受
vi. 受痛苦, 受损害"
conform,"vt. 使一致, 使遵守, 使符合
vi. 一致, 符合, 适应"
formal,"a. 正式的, 形式的, 礼仪的, 拘于礼节的, 拘谨的
n. 正式的社交活动"
formally,"adv. 正式地, 形式上"
former,"a. 从前的, 前者的
n. 起形成作用的人(或物), 模型, 样板"
formulate,"vt. 用公式表示, 明确叙述, 制订
"
inform,"vt. 通知, 使了解, 使充满
vi. 提供资料, 告发"
information,"n. 消息, 知识, 通知, 情报, 信息, 问讯处, 起诉
"
perform,"vt. 进行, 履行, 完成, 执行, 表演
vi. 行动, 工作, 执行, 演出"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
performer,"n. 表演者, 执行者, 完成者
"
platform,"n. 站台, 月台, 讲台, 论坛, 平台
"
reform,"n. 改革, 改正, 改造
vt. 改革, 改过, 革新, 重整
vi. 革新, 改过"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
uniform,"n. 制服
a. 统一的, 一律的, 始终如一的"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
adherence,"n. 依附, 固执, 坚持
"
cohere,"vi. 附着, 粘着, 凝聚, 一致
"
coherence,"n. 黏合(性), 连贯性, 一致性
"
coherent,"a. 互相耦合的, 清晰的, 明了的，凝聚性的, 连贯的"
heritage,"n. 遗产, 祖先遗留物, 继承物
"
hesitate,"vi. 犹豫, 迟疑, 踌躇, 支吾, 停顿"
inherent,"a. 固有的, 与生俱来的
"
inherit,"vt. 继承, 遗传
vi. 接受遗产"
consider,"v. 考虑, 思考, 认为"
considerable,"a. 相当的, 可观的, 重要的"
considerably,"adv. 非常地, 很, 颇"
consideration,"n. 考虑, 原因
"
insidious,"a. 隐伏的, 阴险的, 狡猾的
"
preside,"vi. 统辖, 当主人, 主持
"
presidential,"a. 总统制的, 总统的, 首长的, 统辖的
"
reside,"vi. 住, 居留, 属于
"
residence,"n. 住宅, 居留, 驻扎, 居住期间
"
resident,"n. 居民, 常驻程序, 居住者, 留鸟
a. 居留的, 定居的"
subsidy,"n. 补助金, 津贴
"
aspect,"n. 外观, 方面, 面貌, 方向
"
inspect,"vt. 检查, 检阅, 检验
vi. 检查"
inspection,"n. 检验, 检查, 视察
"
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
respect,"n. 尊敬, 尊重, 问候
vt. 尊敬, 注意, 遵守"
respectable,"a. 值得尊重的, 人格高尚的, 相当数量的
n. 品格高尚的人"
spectrum,"n. 光谱, 范围, 系列
"
speculate,"vi. 深思, 推测, 投机
"
suspect,"n. 被怀疑者, 嫌疑犯
a. 令人怀疑的, 不可信的, 可疑的
v. 怀疑, 猜想"
suspicious,"a. 可疑的, 多疑的, 怀疑的
"
aspiration,"n. 热望, 志向, 渴望
"
aspire,"vi. 渴望, 立志于"
conspire,"vi. 阴谋, 协力, 共谋
vt. 图谋"
expire,"vi. 期满, 呼气, 断气
vt. 呼出"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
spirit,"n. 精神, 心灵, 灵魂, 态度, 志气, 人格, 情绪, 心情, 烈酒
vt. 诱拐, 鼓励, 鼓舞"
adverse,"a. 不利的, 敌对的, 相反的, 逆的
"
advertisement,"n. 广告, 启事, 广告宣传
"
advertising,"n. 广告业, 广告
a. 广告的
"
controversial,"a. 争论的, 论争的, 被议论的"
controversy,"n. 论争, 辩论, 论战, 争论
"
controvert,"vt. 议论, 辩驳, 驳击
vi. 参加辩论"
convert,"n. 皈依者, 改变宗教信仰者
vt. 使改变信仰, 转换, 兑换, 倒置
vi. 皈依
"
diverse,"a. 不同的, 变化多的"
diversity,"n. 差异, 多样性
"
divert,"vt. 转移, 使欢娱
vi. 转移"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
"
revert,"vi. 恢复, 复归, 回复, 还原
vt. 使回复原状, 使回转
n. 恢复原信仰的人
"
universal,"a. 全世界的, 普遍的, 宇宙的, 通用的
n. 一般概念"
universality,"n. 普遍性, 一般性, 广泛性
"
universe,"n. 宇宙, 星系, (思想等)范围"
versatile,"a. 多才多艺的, 万用的, 万向的"
version,"n. 一种描述, 版本, 译文
"
