enjoyable,"a. 可从中得到乐趣的, 令人愉快的"
mask,"n. 面具, 假面具, 掩饰, 石膏面模
vt. 戴面具, 掩饰, 使模糊
vi. 化装, 戴面具, 掩饰, 参加化装舞会
"
carve,"v. 雕刻, 切开"
claw,"n. 爪, 螯, 抓伤
v. 用爪抓, 挖, 搜刮"
wolf,"n. 狼, 残忍贪婪之人, 极度穷困
vt. 狼吞虎咽, 大吃"
Aborigine,从起初
Kakado,无
govern,"v. 统治, 支配, 管理"
musical,"n. 音乐片, 音乐舞台剧
a. 音乐的, 声音美妙的, 喜爱音乐的"
boomerang,"n. 回飞镖, 飞去归来器"
mysterious,"a. 神秘的, 难解的, 不可思议的"
Maori,"n. 毛利人, 毛利语
a. 毛利人的, 毛利语的"
Polynesia,n. 波利尼西亚
Rotura,无
steam,"n. 蒸汽, 精力
a. 蒸汽的
vi. 蒸发, 行驶, 发怒
vt. 蒸, 煮, 散发"
stove,"n. 火炉, 窑
vt. 用火炉烤
stave的过去式和过去分词"
Indian,"n. 印度人, 印第安人, 印第安语
a. 印度的, 印度群岛的, 印第安语的"
tribe,"n. 宗族, 部落, 一群人
"
plain,"n. 平原, 草原, 朴实无华的东西, 无格式
a. 简单的, 明白的, 平常的, 不好看的, 朴素的, 清晰的, 普通的, 平坦的, 十足的
adv. 清楚地, 显然地
"
Plains Indian,[网络] 平原印第安人；大平原印第安人；平原印地安
have power over,对...有控制权
peace pipe,n. （北美印第安人用来表示和睦的）和睦烟斗
bow,"n. 弓, 眼睛框
v. 用弓拉琴, 弯成弓形
n. 鞠躬, 屈服"
arrow,"n. 箭, 箭状物, 箭头记号"
retell,"vt. 再讲, 重复, 重说"
roast,"n. 烤肉, 烘烤, 嘲笑
a. 烘烤的, 烤过的
vt. 烤, 炙, 烘焙, 嘲笑
vi. 烤, 炙, 烘焙"
lack,"n. 缺乏, 无, 不足
vt. 缺乏, 短少, 不足, 需要
vi. 缺乏"
running water,自来水
refer to,"v. 查阅；提到
"
ambassador,"n. 大使
"
description,"n. 描述, 说明, 种类
"
political,"a. 政治的, 政治上的, 政党的, 从事政治的
"
worthy,"n. 杰出人物
a. 有价值的, 可敬的, 值得的"
victim,"n. 受害人, 牺牲者, 牺牲品
"
addition,"n. 加法, 增加的人(或物)
"
equal,"n. 对手, 匹敌, 同辈
a. 相等的, 平等的, 胜任的, 合适的, 平静的, 不相上下的
vt. 等于, 比得上
"
voluntary,"a. 自动的, 自愿的, 故意的, 志愿的, 自发的
n. 自愿行动, 志愿者, 自由调"
draw someone's attention to,无
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
acquire,"vt. 获得, 学到
"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
worthwhile,"a. 值得花时间的, 值得做的, 有真实价值的"
under the umbrella of,在...的保护下
urgent,"a. 紧急的, 急迫的, 催逼的
"
starvation,"n. 饥饿, 饿死
"
AIDS,"n. 爱滋病(获得性免疫缺陷综合征)
"
boil,"n. 煮沸, 沸腾, 疖
v. 煮沸, 激动"
carpet,"n. 地毯, 地毯状物
vt. 铺以地毯, 铺盖"
wool,"n. 羊毛, 毛织物, 毛线, 绒线
"
fetch,"n. 取得, 拿, 诡计, 魂
vt. 接来, 取来, 售得, 带来, 推出, 引出, 杀死, 吸引, 到达
vi. 取物, 前进
"
export,"n. 输出品, 输出
vt. 输出, 出口
vi. 输出物资
"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
if only,只要
remote,"a. 遥远的, 偏僻的, 疏远的, 微少的
"
charity,"n. 慈悲, 博爱, 慈善团体, 施舍
"
possession,"n. 拥有, 占有, 所有, 财产, 领土, 领地, 自制, 着迷
"
mountainous,"a. 多山的, 如山的, 巨大的"
poverty,"n. 贫穷, 贫困, 缺乏
"
means,"n. 方法, 手段, 工具, 财产, 收入
"
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
"
obtain,"vt. 获得, 达到
vi. 流行, 得到公认"
heating,"n. 加热, 供热, 暖气设备, 供暖系统, 暖气装置
a. 加热的, 供暖的"
well,"n. 井, 泉水, 源泉, 好
v. 涌出
a. 健康的, 良好的, 适宜的, 恰当的
adv. 很好地, 适当地, 好意地, 很, 完全
interj. 好啦"
container,"n. 容器, 集装箱
"
break down,"v. 分解；抛锚；分析；划分
"
troublesome,"a. 麻烦的, 令人讨厌的"
wage,"n. 工资, 报应, 报偿
vt. 开展, 进行
vi. 进行"
commitment,"n. 委托, 交押, 承担义务, 赞助
"
chaos,"n. 大混乱, 混沌
"
colleague,"n. 同事, 同僚"
assistant,"n. 助手, 助理, 助教
a. 有帮助的, 辅助的, 助理的"
vacant,"a. 空的, 空白的, 空虚的, 空闲的, 茫然的, 空缺的
"
get hold of,"抓住, 得到"
muddy,"a. 泥泞的, 浑浊的, 模糊的
vt. 使污浊, 使沾上泥污"
damp,"n. 潮湿, 湿气
a. 潮湿的
vt. 使潮湿, 使阻尼, 抑止
vi. 变潮湿, 衰减"
bacteria,"pl. 细菌
"
shelter,"n. 庇护所, 避难所, 庇护, 隐蔽处, 掩蔽
vt. 庇护, 保护, 隐匿
vi. 躲避"
crowd,"n. 群众, 一伙人
vt. 拥挤, 挤满, 挤进"
remind,"vt. 提醒, 使想起"
staff,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖
a. 职员的, 雇员的, 参谋的
vt. 为...配备人员"
barrier,"n. 障碍, 栅栏
"
interpreter,"n. 直译程序, 解释者, 口译者, 注释器
"
think back to,回想，回忆；重新思考(往事)
angle,"n. 角, 角度, 角落
vi. 钓鱼, 谋取, 博取, 斜向移动, 转变角度
vt. 使转动角度, 在...钓鱼, 获取"
make a difference,"有区别,有很大关系"
keep in touch with,与...保持联络
evolution,"n. 进化, 发展, 进展, (气体)放出, 开方
"
device,"n. 装置, 设计, 策略, 发明物, 设备
"
drawback,"n. 缺点, 退税
"
principle,"n. 原则, 原理, 主义
"
construct,"vt. 构造, 建造, 对...进行构思, 作图
n. 构成物"
delay,"n. 耽搁, 迟滞
v. 耽搁, 延迟
"
black-and-white,"白纸黑字, 黑白照片
"
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
satellite dish,n. 圆盘式卫星电视天线
distribute,"vt. 分配, 散布, 分发
"
percentage,"n. 百分比, 比率, 部分, 可能性
"
receiver,"n. 接收器；接受者；收信机；收款员, 接待者"
tube,"n. 管, 软管, 隧道
vt. 把...装管, 使通过管子
"
disc,"n. 圆盘, 唱片
vt. 灌唱片"
wind,"n. 风, 气息, 气味, 呼吸, 风声, 趋势, 空谈, 卷绕, 弯曲
vt. 使通风, 嗅出, 使喘气, 吹号角, 上发条, 缠绕, 包, 绞起, 吊起, 使弯曲, 使迂回
vi. 嗅出猎物, 吹响号角, 卷曲, 蜿蜒, 迂回, 缠绕"
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
"
eventually,"adv. 最后, 终于"
portable,"a. 可携带的, 可搬运的, 可移动的
"
cassette,"n. 盒式磁带, 珠宝箱, 暗盒
"
digital,"a. 数字显示的, 数字的
n. 数字仪表, 数字式电子表(或时钟)
"
VCD,[电] 可变电容二极体的简写
storage,"n. 存储器, 储藏, 保管, 库存, 仓库
"
foresee,"vt. 预见, 预知"
patent,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
adaptation,"n. 适应, 改编, 改编本
"
relay,"n. 驿马, 替班, 中继, 接力
vt. 分程传递, 转播, 使接替
vi. 接力传送, 转播"
sceptical,"a. 怀疑论的, 怀疑的"
ample,"a. 大量的, 充足的, 丰富的"
casual,"a. 偶然的, 不经意的, 便装的
n. 临时工, 待命士兵"
insurance,"n. 保险, 保险业, 保险费
"
obvious,"a. 明显的, 明白的, 显然的, 平淡无奇的"
all-round,"周围, 四处"
electronic,"a. 电子的
"
translation,"n. 翻译, 译文, 转化, 调任, 平移, 转译
"
idiom,"n. 习语, 成语, 惯用语法, 方言"
gram,"n. 克, 绿豆, 鹰嘴豆
"
suitable,"a. 适当的, 相配的
"
scan,"n. 审视, 浏览, 扫描, 细查
vt. 细看, 浏览, 扫描, 详细调查, 标出格律
vi. 押韵, 扫描
"
elegant,"a. 优雅的, 端庄的, 高雅的"
battery,"n. 电池, 殴打
"
Christian,"n. 基督徒, 正派人
a. 基督的, 基督教的"
carriage,"n. 马车, 客车, 举止, 运输
"
refrigerator,"n. 电冰箱, 冷藏库
"
religious,"a. 宗教性的, 虔诚的, 宗教上的, 严谨的
n. 修道士, 出家人"
vote,"n. 投票, 选举, 选票, 表决, 选举权, 得票数
vi. 投票, 选举
vt. 投票选举, 投票决定, 公认, 使投票"
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
tight,"a. 紧的, 密封的, 吝啬的, 严厉的
adv. 紧紧地"
oppose,"vt. 反对, 以...对抗, 抗争
vi. 反对"
valid,"a. 有确实根据的, 有法律效力的, 正当的, 正确的
"
circumstance,"n. 环境, 状况, 事件"
merely,adv. 只
dial,"n. 刻度盘, 钟面, 转盘
v. 拨"
typical,"a. 典型的, 象征性的
"
text message, 正文消息
shallow,"n. 水浅的地方, 浅滩
a. 浅的, 肤浅的
v. (使)变浅"
sacrifice,"n. 牺牲, 供奉, 祭品
vt. 牺牲, 祭祀, 贱卖
vi. 献祭"
stable,"n. 马房, 牛棚
a. 稳定的, 安定的, 坚固的, 坚定的
vt. 赶入马房
vi. 被关在马厩"
dustbin,n. 垃圾箱
for good measure,"作为额外增添, 另外"
rid,"vt. 免除, 以...清除, 使获自由, 使摆脱
"
chemist,"n. 化学家, 药剂师
"
acupuncture,"n. 针刺, 针刺疗法
vt. 施以针灸"
needle,"n. 针, 尖
vt. 用针缝
vi. 缝纫
"
surgeon,"n. 外科医生, 军医, 船医
"
operating theatre, 手术室
life-saving,救生
revolution,"n. 革命, 大变革, 旋转, 转数, 循环
"
cupboard,"n. 食橱, 碗柜, 餐具柜"
counter,"n. 计算器, 计算者, 柜台, 筹码
a. 反方向的, 相反的
adv. 反方向地, 相反地
"
aspirin,"n. 阿斯匹林
"
penicillin,"n. 盘尼西林, 青霉素
"
beneficial,"a. 有益的, 受益的
"
chew,"vt. 咀嚼, 嚼碎
vi. 咀嚼, 细想
n. 咀嚼, 咀嚼物"
possess,"vt. 持有, 占有, 拥有, 克制, 支配, 迷住
"
salicylic acid,
acid,"n. 酸, 酸类物质, 尖刻, 迷幻药
a. 酸的, 酸性的, 尖刻的, 敏锐的
"
tablet,"n. 平板, 门牌, 笔记簿, 碑, 匾, 药片
"
best-selling,"a. 最畅销的, 畅销作品的"
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
heart attack,心脏病发作
circulate,"v. (使)流通, (使)循环, (使)传播"
stroke,"n. 笔划, 打, 中风, 抚, 摩, 冲程
vt. 划尾桨, 抚, 摩, 划去
"
blood sugar,[医] 血糖
diabetes,"n. 糖尿病, 多尿症
"
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
mould,"n. 模子, 模制品, 松软沃土, 霉
vt. 形成, 浇铸, 用泥土覆盖
vi. 发霉"
astonish,vt. 使惊讶
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
"
application,"n. 应用, 申请, 志愿书, 应用程序
"
unable,"a. 不能的, 不会的
"
effective,"a. 有效的, 有力的, 实际的
n. 有生力量"
approval,"n. 赞成, 批准
"
accelerate,"v. 加速, 促进"
mass,"n. 块, 大多数, 质量, 大量, 群众, 弥撒
a. 群众的, 大规模的, 整个的
vt. 使集合, 集中
vi. 聚集"
sickness,"n. 疾病, 不健康, 呕吐
"
symptom,"n. 症状, 征候, 征兆
"
bleed,"vi. 流血, 悲痛, 渗出
vt. 使出血, 榨取"
wear somebody out, 使疲乏，使筋疲力尽，使厌烦
reasonable,"a. 合理的, 明理的, 适当的
"
outcome,"n. 结果, 出口"
applaud,"v. 拍手喝彩, 称赞, 赞同"
arrangement,"n. 排列, 整齐, 安排
"
dull,"a. 钝的, 无趣的, 呆滞的, 阴暗的
vt. 使迟钝, 使阴暗, 缓和
vi. 变迟钝, 减少"
pressure point, （身体上的）压迫点
sword,"n. 刀, 剑, 战争, 武力, 剑状物"
let out,[网络] 阿尔都塞思想的全部整体
swell,"n. 增大, 隆起的部分, 巨浪, 肿胀
a. 优秀的, 一流的
vi. 增大, 膨胀, 肿胀, 增强, 骄傲
vt. 使膨胀, 使增大, 使上涨, 使骄傲"
acupuncturist,n. 针灸医生
stainless,"a. 无瑕疵的, 不锈的
"
sharp,"n. 半升音调, 利刃, 骗子
a. 锋利的, 明显的, 敏锐的, 急剧的, 尖刻的, 严厉的, 刺耳的, 精明的
adv. 锐利地, 急速地"
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
pulse,"n. 脉冲, 脉搏, 情绪, 意向, 拍子, 豆类
vi. 跳动, 脉跳
vt. 使跳动, 用脉冲调制
"
heartbeat,n. 心跳
wrist,"n. 手腕, 腕关节
"
organ,"n. 风琴, 器官, 元件, 机构, 机关
"
alcoholic,"n. 酒鬼, 酒精中毒者
a. 酒精的"
addicted,"a. 沉溺于...的, 无法摆脱(某种嗜好)的
"
theory,"n. 理论, 学说, 原理, 意见, 推测
"
phenomenon,"n. 现象, 迹象, 表现, 奇迹, 奇才
"
relate,"vt. 讲, 叙述, 使互相关联
vi. 有关, 符合, 相处得好"
subscribe,"vt. 捐献, 签署
vi. 赞成, 同意, 捐款, 预订, 认购
"
brand,"n. 商标, 牌子, 烙印
vt. 打烙印于"
source,"n. 来源, 水源, 根源, 原始资料, 源
"
turn to somebody,无
turn to something,[网络] 转向某事
click,"n. 咔哒声, 啪嗒声
vi. 作咔哒声
vt. 使发咔哒声
"
abundant,"a. 丰富的, 充分的, 大量的"
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
assumption,"n. 假定, 自负, 担任, 假装
"
statistics,"n. 统计学, 统计资料
"
bond,"n. 捆绑物, 结合, 债券, 契约, 粘合剂, 保证人, 键, 关栈保留
vt. 存入关栈, 使黏合
vi. 结合"
diverse,"a. 不同的, 变化多的"
what is more,而且
correspond,"vi. 符合, 通信, 相当
"
globe,"n. 球, 球状物, 地球仪, 天体
v. (使)成球状"
avenue,"n. 大街, 途径, 林荫路"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
evaluate,"vt. 评估, 评价, 赋值"
accuracy,"n. 精确, 正确
"
up to date,"最近的, 最新的
"
weakness,"n. 虚弱, 薄弱, 弱点
"
false,"a. 错误的, 虚伪的, 假的, 不老实的
adv. 不准确地, 欺诈地"
educator,n. 教育家
reference,"n. 参考, 索引, 参照
vt. 给...加上参考资料
vt. 引用
vi. 引用
"
booth,"n. 亭, 摊棚
"
drop out,"掉出, 退出, 离队
"
withdraw,"vt. 撤回, 取回, 撤消, 使撤退, 拉开, 移开
vi. 撤退, 离开"
conference,"n. 会议
"
explicit,"a. 详述的, 清楚的, 直言的"
alarm,"n. 惊恐, 警报, 警钟
vt. 使惊恐, 警告
"
lifetime,"n. 一生, 终生
a. 一生的, 终生的"
competence,"n. 胜任, 职称, 能力
"
inventor,"n. 发明家
"
bulb,"n. 球茎, 电灯泡
"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
appointment,"n. 约会, 委任的职位, 委派
"
sample,"n. 样品, 范例, 样本
vt. 抽样, 尝试
"
terminal,"n. 终端机, 终点, 末端, 极限, 终点站
a. 终点的, 定期的, 致死的, 结尾的, 末端的, 晚期的
"
search engine,(指关键字搜寻演算法或是指包括搜寻演算法的套装软件)
directory,"n. 目录, 工商名录, 指南
"
classify,"vt. 分类, 归类, 分等
"
type,"n. 类型, 样式, 典型, 榜样, 标志, 符号, 型, 式
vi. 打字
vt. 作为代表, 测定类型, 用打字机打
"
web,"n. 网, 蛛丝, 蹼, 织物, 圈套, 卷筒纸
vi. 结网, 形成网
vt. 织蜘蛛网于, 使落入圈套"
qualification,"n. 资格, 条件, 限制
"
comb,"n. 头梳, 鸡冠
vt. 梳头发, 梳毛
vi. (浪)涌起"
specific,"n. 特效药, 特性
a. 特殊的, 明确的, 具有特效的, 特定地, 具体地"
category,"n. 种类, 类项
"
bunch,"n. 串, 束
"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
bother,"vt. 烦扰, 迷惑
vi. 烦恼, 操心
n. 麻烦, 纠纷, 讨厌的人"
correction,"n. 订正, 改正, 改正的地方
"
plus,"prep. 加上, 加, 外加
a. 正的, 附加的
n. 正号, 加号, 附加额, 正数, 增益
"
sparrow,n. 麻雀
minus,"n. 负号, 不足
a. 减的, 负的, 阴性的
prep. 减, 缺
"
outline,"n. 大纲, 轮廓, 概要
vt. 描画轮廓, 描述要点
n. 大纲, 分级, 轮廓
"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
route,"n. 路径, 途径, 路线
vt. 确定路线, 按规定路线发送
"
drop off,"na. 同“drop”；睡着；(客)(一一)散去；衰落
"
rail,"n. 横杆, 围栏, 栏杆, 铁轨, 扶手, 秧鸡
vt. 以横木围栏, 给...铺铁轨
vi. 责骂, 抱怨"
outer,"a. 外部的, 外面的, 在外的, 远离中心的
"
horse-drawn,"adj. 马拉的
n. 马拉的
"
tram,"n. 电车轨道, 煤车, 纬纱, 纬丝
vt. 用煤车运载
vi. 乘电车"
cab,"n. 出租车, 出租汽车, 出租马车
vi. 乘出租马车(或汽车)"
convey,"vt. 传达, 运输, 转让
"
unfortunately,"adv. 恐怕, 不幸的是"
unbelievable,a. 难以置信的
traffic jam,"塞车, 交通阻塞"
metropolitan,"n. 大都市居民, 都主教, 宗主国的公民
a. 大都市的, 都主教区的, 宗主国的"
via,"prep. 经由, 经过, 通过
"
postpone,"vt. 延迟, 使延期, 缓办, 搁延
vi. 延缓, 延缓发作"
tunnel,"n. 隧道, 地下道
vi. 挖隧道
vt. 掘隧道于"
section,"n. 区段, 部分, 区域, 节, 截面, 处, 科, 区, 扇区
vt. 把...分段, 把...切片
vi. 被切成片
"
link up," （使）连接, （使）结合, （使）合并; 贯通; 连贯; 沟通"
interval,"n. 间隔, 距离, 间歇, 间隙
"
choke,"vt. 窒息, 阻塞, 噎, 抑制
vi. 窒息, 阻塞, 噎
n. 窒息, 噎, 阻气门"
undertake,"vt. 试图, 从事, 保证, 承担, 同意, 接受
"
ownership,"n. 所有权, 物主身份
"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
architect,"n. 建筑师, 设计者, 缔造者"
prime,"n. 最佳部分, 初期, 全盛期
a. 主要的, 最初的, 根本的
v. 加油启动, 灌注, 填装"
minister,"n. 部长, 牧师, 公使
vi. 服侍, 救助, 主持宗教仪式"
Prime Minister,"总理, 首相
"
enlarge,"vt. 扩大, 增大
vi. 扩大, 详述"
user-friendly,[电] 使用者亲和性
anniversary,n. 周年纪念
subway,"n. 地铁, 地道
vi. 乘地铁"
platform,"n. 站台, 月台, 讲台, 论坛, 平台
"
growth,"n. 生长, 栽培, 增长
"
put through,"na. 经受；测试；试验；使…通过
"
decide on,"决定,选定,确定…"
decide upon,对…作出决定[决议]
put off,"na. 延期；辩解
"
turn up,"v. 朝上翻；出现
"
enquiry,"n. 询问
"
fill in,"na. 填充；填写；同“fill”
"
handful,"n. 少数, 一把, 棘手事"
split,"n. 劈开, 裂片, 裂缝, 分裂, 派系, 派别, 柳条
a. 劈开的
vi. 分离, 分开, 裂开, 被劈开
vt. 劈开, 切开, 使分裂, 使分离
"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
receptionist,n. 接待员
detail,"n. 细节, 详情
vt. 详述, 选派
vi. 画详图
"
reservation,"n. 保留, 预定, 保留品, 保留地
"
newsflash,n. 简明新闻
speed up,"加速
"
timetable,n. 时间表
departure,"n. 离开, 出发, 违背, 偏离
"
ferry,"n. 渡船, 渡口
"
port,"n. 港口, 埠, 舱门, 避风港, 左舷, 炮眼, 姿势, 意义
vt. 左转舵, 持(枪)
vi. 左转舵
"
punctual,"a. 准时的, 守时的, 点状的, 中肯的
"
arise,"vi. 站立, 出现, 起来"
cyclist,n. 骑脚踏车的人
pedestrian,"n. 行人, 步行者
a. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的"
minibus,"n. 中客车, 小型公共汽车"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
lane,"n. 小路, 巷, 弄, 单行道"
crash,"n. 哗啦声, 猛撞, 崩溃, 粗布
v. 撞碎, 破碎, (使)...坠毁
a. 速成的
"
fine,"n. 罚款, 罚金, 晴天, 精细
a. 好的, 晴朗的, 健康的, 细小的, 精细的
vt. 罚款, 精炼, 澄清
vi. 变清, 变细
adv. 很好
"
drunk,"a. 喝醉了的
drink的过去式"
violate,"vt. 违犯, 亵渎, 违反, 侵犯, 妨碍
"
beer,"n. 啤酒
"
turning,"n. 旋转, 转弯处, 车削工作
"
load,"n. 负荷, 担子, 重担, 装载量, 负载, 工作量, 加载
vt. 装载, 装填, 使担负
vi. 装货, 上客, 装料
"
brake,"n. 刹车, 阻碍, 丛林
v. 刹车"
tyre,"n. 轮胎
vt. 装轮胎于"
crossing,"n. 横越, 横渡, 交叉点, 渡口
"
bookworm,"n. 书呆子, 蛀书虫"
poetry,"n. 诗, 韵文, 诗歌艺术"
drama,"n. 戏剧, 戏剧艺术"
fiction,"n. 小说, 虚构故事
"
antique,"n. 古董, 古物
a. 古老的, 古风的, 旧式的, 过时的"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
"
novelist,n. 小说家
chapter,"n. 章, 篇, 重要章节
"
opera,n. 歌剧
author,"n. 作家, 作家的著作, 创始人
"
abuse,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
cemetery,"n. 墓地, 公墓
"
desperate,"a. 不顾一切的, 危急的, 令人绝望的, 极渴望的"
criminal,"n. 罪犯, 犯人, 刑事
a. 犯了罪的, 刑事的, 有罪的"
tension,"n. 紧张, 不安, 拉紧, 张力, 压力, 电压
vt. 拉紧, 使紧张"
twist,"n. 一扭, 扭曲, 曲折, 歪曲, 螺旋状, 新手法
vt. 拧, 扭, 捻, 编织, 使扭转, 缠绕, 盘绕, 歪曲, 使转动, 使苦恼, 使混乱, 使旋转
vi. 转向, 弯曲, 缠绕, 扭动, 呈螺旋形"
plot,"n. 小块土地, 地区图, 图, 阴谋, 情节
vt. 划分, 绘图, 密谋
vi. 密谋, 策划
"
generous,"a. 慷慨的, 有雅量的, 大量的, 丰富的"
vain,"a. 无价值的, 徒然的, 空虚的, 自负的, 愚蠢的"
rigid,"a. 坚硬的, 刚性的, 严格的, 精密的, 刻板的"
civil,"a. 市民的, 公民的, 有礼貌的
"
bent,"a. 弯曲的, 决心的
n. 爱好
bend的过去式和过去分词"
theme,"n. 主题, 话题, 题目"
violent,"a. 暴力的, 猛烈的, 激烈的, 极端的, 凶暴的"
on the run,"跑着, 逃跑, 急急忙忙, 奔走, 被通辑着
"
painter,"n. 画家, 油漆匠
"
live up to,"实践, 做到"
workhouse,"n. (英)贫民习艺所, 济贫院, (美)感化院, 教养所"
millionaire,"n. 百万富翁, 大富豪
"
vice,"n. 恶习, 恶行, 罪恶, 堕落, 缺陷, 恶癖, 老虎钳
vt. 钳住
prep. 代替"
reform,"n. 改革, 改正, 改造
vt. 改革, 改过, 革新, 重整
vi. 革新, 改过"
threat,"n. 恐吓, 恶兆, 威胁
"
violence,"n. 猛烈, 暴力, 暴虐, 暴行
"
resist,"v. 抵抗, 耐得住, 抵制, 反抗
n. 防染材料"
reunite,v. (使)再联合
home-made,家庭制造；家里做的
bind,"vt. 绑, 约束, 装订, 包扎, 使结合
vi. 凝固, 有约束力
"
spin,"n. 旋转, 自旋, 疾驰, 情绪低落
vt. 纺织, 纺, 使旋转, 编造
vi. 纺纱, 吐丝, 作茧, 结网, 旋转, 自旋, 疾驰"
sneaker,"n. 鬼鬼祟祟做事的人, 卑鄙者, 帆布胶底运动鞋"
pin,"n. 大头针, 针, 别针, 栓, 销子, 图钉, 插头, 管脚, 品(液量单位)
vt. 将...用针别住, 钉住, 压住, 牵制, 使不能动, 归罪于
a. 针的, 销子的, 闩的"
worn out, 磨穿; 疲乏
envelope,"n. 信封, 封套, 封袋
"
brand new,"崭新的,全新的"
spit,"n. 唾液, 唾吐, 小雨, 炙叉, 一铲的深度
vt. 唾吐, 吐出, 降小雨, 用炙叉穿过
vi. 吐唾沫, 吐痰, 唾弃, 飘霏霏细雨"
chest,"n. 胸, 胸部, 衣柜, 箱子
"
attic,"n. 阁楼, 顶楼
"
modern-day,a. 现代的；当代的
stepmother,n. 继母
stepsister,n. 异父(母)姊妹
rag,"n. 碎布, 抹布, 碎片, 碎屑, 少量, 破旧衣服
vt. 责骂, 揶揄, 戏弄
vi. 喧闹"
Ireland,n. 爱尔兰
rescue,"n. 援救, 解救, 营救
vt. 援救, 救出, 营救"
wrap,"n. 外套, 围巾, 包裹物, 限制, 约束, 秘密, 换行
vt. 包装, 卷, 缠绕, 包, 裹, 覆盖, 遮蔽, 隐藏, 掩护
vi. 缠绕, 穿外衣, 包起来
"
Scotland,n. 苏格兰
supreme,"n. 至高, 霸权
a. 至高的, 终极的, 极端的, 最大的"
reputation,"n. 名誉, 名声, 声望
"
debt,"n. 债务, 罪过
"
holy,"a. 神圣的, 圣洁的, 至善的
n. 神圣的东西"
widow,"n. 寡妇, 孀妇
vt. 使成寡妇"
monument,"n. 纪念碑, 纪念物, 石碑"
adore,"vt. 崇拜, 爱慕, 喜爱
vi. 崇拜, 爱慕"
romantic,"a. 浪漫的, 风流的, 传奇性的, 夸大的, 空想的, 浪漫派的"
touch on,"与...有关, 涉及..., 提到..., 提及, 谈及"
intend,"vt. 计划, 打算, 意思是
"
paragraph,"n. 段落, 短评
vt. 将...分段, 分段落
vi. 写短讯
"
rhyme,"n. 韵, 押韵, 韵文
vi. 押韵
vt. 使押韵, 用韵诗表达"
melodic,"a. 有旋律的, 旋律美妙的"
tune,"n. 歌曲, 主旋律, 心情, 声调, 和谐, 一致, 语调, 程度
vt. 为...调音, 调整, 调谐, 使一致
vi. 协调, 调谐"
thou,"pron. 汝, 你, 尔"
thee,pron. 你
farewell,"n. 辞别, 再见, 再会
interj. 再会"
spring,"n. 春天, 弹簧, 跳跃, 弹性, 活力, 泉, 源泉
a. 春天的
vi. 跳, 弹跳, 涌出, 生长, 裂开, 高耸
vt. 使跳起, 使爆炸, 突然提出"
bonnie,a. 漂亮的
lass,"n. 少女, 爱人, 情妇"
melt,"n. 熔化, 熔化物, 溶解
v. (使)熔化, (使)溶解, (使)消散, (使)变软"
universal,"a. 全世界的, 普遍的, 宇宙的, 通用的
n. 一般概念"
jazz,"n. 爵士乐, 喧闹
a. 爵士乐的, 喧吵的
vi. 演奏爵士乐, 跳爵士舞, 游荡
vt. 奏爵士乐, 使活泼"
string,"n. 线, 细绳, 一串, 字符串
vt. 串起, 成串, 收紧, 缚, 扎
vi. 成一串
"
cast,"n. 演员阵容, 投掷, 铸件, 预测, 特性
vt. 投, 掷, 抛, 脱落, 铸, 使弯曲, 计算
vi. 投, 计算, 浇铸成型"
butterfly,"n. 蝴蝶
"
awesome,"a. 引起敬畏的, 可怕的"
