foolishly,"adv. 愚笨地, 无聊地"
remove,"vt. 移动, 调动, 除去, 迁移, 开除, 移交
vi. 迁移, 移动, 搬家
n. 班级, 升级, 移动, 搬家, 间距
"
flee,"vt. 逃避, 逃跑, 逃走
vi. 逃, 消失"
chronicle,"n. 年代记, 记录, 编年史
vt. 把...载入编年史"
doom,"n. 厄运, 不幸, 法律, 宣告, 判决, 死亡
vt. 命中注定, 判决"
commission,"n. 委任状, 任官令, 所委职责, 佣金, 犯, 委托, 所托之事
vt. 委任, 委托制作, 使服役"
charitable,"a. 大慈大悲的, 宽厚的, 慈善的
"
subsidize,"vt. 补助, 资助, 贿赂
"
threaten,"vt. 恐吓, 威胁, 预示...的凶兆
vi. 威胁, 恫吓, 可能来临"
advertising,"n. 广告业, 广告
a. 广告的
"
federal,"a. 联邦的, 联合的, 同盟的
"
launch,"n. 下水, 汽艇, 发射
vt. 使下水, 发射, 发动
vi. 起飞, 下水, 投入, 开始"
corporation,"n. 公司, 合作, 法人团体
"
shrug off,na. (耸肩)表示轻蔑
margin,"n. 页边的空白, 边缘, 界限, 余裕, 差数, 差额, 保证金
vt. 加边于, 加旁注于
"
inhabit,"vt. 居住于, 占据, 栖息"
routine,"n. 常规, 日常工作, 惯例, 例行公事
a. 日常的, 常规的
"
stay afloat,n. 顺利运营
overboard,"adv. 自船上落下, 在船外"
newsroom,"n. 新闻编辑部, 报刊阅览室, 售报处"
nerve,"n. 精神, 勇气, 叶脉, 神经
vt. 鼓起勇气"
suburb,"n. 市郊住宅区, 郊区, 边缘"
journalist,"n. 新闻记者, 从事新闻杂志业的人"
reckon,"vt. 计算, 总计, 估计, 认为, 猜想
vi. 数, 计算, 估计, 依赖, 料想"
slim,"a. 瘦的, 苗条的, 微小的, 稀少的, 微薄的
vi. 变苗条
vt. 使苗条"
refuse,"vt. 拒绝, 谢绝
vi. 拒绝
n. 废物
a. 扔掉的, 无用的"
balanced,"a. 公平的, 平衡的
"
revenue,"n. 收入, 岁入, 税收, 税务局
"
advertiser,"n. 做广告者, 广告客户
"
cooperation,"n. 合作, 协力, 配合
"
stable,"n. 马房, 牛棚
a. 稳定的, 安定的, 坚固的, 坚定的
vt. 赶入马房
vi. 被关在马厩"
reliance,"n. 信任, 信赖, 受信赖的人(或事)
"
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
whirlwind,n. 旋风
harm,"n. 伤害, 害处
vt. 伤害, 损害"
distinctive,"a. 有特色的, 出众的"
savagely,adv. 野蛮地；残忍地
sweep,"n. 扫除, 打扫, 肃清, 视野, 范围, 全胜
vt. 扫除, 掸去, 猛拉, 扫荡, 肃清, 冲走, 刮起, 环视, 掠过, 扫射
vi. 扫, 打扫, 袭击, 席卷, 扫视, 掠过"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
bureaus,n. 局( bureau的名词复数 ); （提供某方面信息的）办事处; （美国政府部门）局; （附抽屉及活动写字台的）书桌
virtue,"n. 德行, 美德, 优点, 功效, 效力
"
swear,"vt. 发誓, 咒骂, 使宣誓
vi. 发誓, 诅咒
n. 诅咒, 誓言"
intensity,"n. 强烈, 紧张, 强度
"
semester,n. 学期
insult,"n. 侮辱, 无礼, 损害
vt. 损害, 侮辱, 攻击"
detect,"vt. 发现, 察觉, 探测
"
prose,"n. 散文
v. 写散文
a. 散文的, 平凡的"
peer,"n. 同等的人, 匹敌, 贵族
vi. 凝视, 窥视, 费力地看, 隐现
vt. 与...同等, 封为贵族"
assignment,"n. 分配, 功课, 任务, 转让, 归因, 陈述
"
composition,"n. 作文, 创作, 组成
"
essay,"n. 随笔, 短文, 评论, 企图
vt. 试图"
intelligence,"n. 智力, 情报, 信息
"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
polished,"a. 擦亮的, 优雅的, 精良的"
resort,"n. 度假胜地, 手段, 凭借, 常去之地
vi. 诉诸, 常去"
fingerprint,"n. 指纹
vt. 采指纹"
conditional,"a. 有条件的, 有前提的
"
bargain,"n. 交易, 买卖协定, 特价商品
v. 讲价, 交易"
interference,"n. 冲突, 干涉
"
distress,"n. 苦恼, 贫困, 痛苦
vt. 使苦恼
a. 亏本出售的"
unpaid,"a. 未付款的, 不支薪水的
"
divine,"a. 神的, 神圣的, 非凡的
n. 神学家"
gratitude,n. 感激之情
fulfill,"vt. 实践, 履行, 实行, 完成, 结束, 满足
"
exception,"n. 例外, 除外, 异议
"
dean,"n. 院长, 主持牧师
"
vocabulary,"n. 词汇(量), 词汇表
"
borderline,"n. 边界, 界线
a. 边界的"
turn in,"v. 向里弯曲
"
thesis,"n. 论题, 论文"
question,"n. 问题, 询问
v. 询问, 审问, 怀疑
"
faulty,"a. 有过失的, 有缺点的, 不完美的, 应受责备的
"
confront sb. with sth.,"na. 使(被告)和(原告)对质
"
identical,"a. 同一的, 恒等的, 完全相同的
"
logic,"n. 逻辑, 逻辑学, 推理的方法, 推理, 逻辑性
"
previous,"a. 早先的, 前面的, 过急的
"
protest,"n. 抗议, 反对, 抗议书, 断言
v. 反对, 抗议, 断言"
compassionate,"a. 慈悲的, 富于同情心的, 照顾性的
vt. 怜悯, 同情"
resent,"vt. 愤恨, 憎恶, 怨恨"
circumstance,"n. 环境, 状况, 事件"
indicate,"vt. 显示, 象征, 指示, 指出
"
instructor,"n. 教员, 讲师
"
label,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
"
widow,"n. 寡妇, 孀妇
vt. 使成寡妇"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
emerge from,从…出现
tin-roofed,[网络] 铁皮房顶的；铁皮屋顶
undivided,"a. 未分开的, 专一的, (组织等)未分裂的
"
jackpot,"n. 最大赌注, (彩票的)头奖, 最大成功, 意外的成功/奖赏, 困境"
fulfilment,"n. 履行, 结束, 完成, 实现, 满意, 称心
"
lottery,"n. 奖券, 彩票, 运气
"
new-found,a. 新发现的；新得到的
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
behavioral,a. 行为的
counterintuitive,a. 违反直觉的
fantasy,"n. 幻想, 想象的产物
"
vision,"n. 视觉, 眼光, 视力, 幻想
vt. 梦见, 想象, 显示"
extravagant,"a. 奢侈的, 挥霍无度的, 浪费的"
satisfaction,"n. 满足, 满意, 快事, 赔偿, 赎罪, 报仇的机会
"
old-hat,"老式的, 过时的"
unique,"a. 独一无二的, 独特的, 稀罕的"
an array of,"一排,一大批…"
rewarding,"a. 有益的, 有报酬的, 报答的"
involve,"vt. 包括, 使陷于, 潜心于, 包围
"
fancy,"n. 想象力, 幻想, 喜好
a. 想象的, 精美的, 新奇的, 奇特的, 高价的, 特级的
vt. 想象, 设想, 相信, 喜爱
vi. 想象, 幻想"
wear off,"逐渐减弱, 消失, 磨损, 耗损"
creep in,开始发生
slim,"a. 瘦的, 苗条的, 微小的, 稀少的, 微薄的
vi. 变苗条
vt. 使苗条"
volume,"n. 册, 卷, 体积, 容量, 大量, 许多, 份量, 音量
vi. 成团卷起
vt. 把...收集成卷
a. 大量的
"
pack,"n. 包裹, 一伙, 一副, 背包, 包装
vt. 包装, 捆扎, 塞满, 压紧, 挑选
vi. 包装货物, 挤, 群集, 被包装
"
wage,"n. 工资, 报应, 报偿
vt. 开展, 进行
vi. 进行"
bang for one's buck,无
be better off,境况好
whopping,"a. 巨大的, 天大的
adv. 非常地"
charity,"n. 慈悲, 博爱, 慈善团体, 施舍
"
pleasurable,"a. 快乐的, 愉快的, 舒适的, 心情舒畅的"
luxury,"n. 奢侈, 豪华
a. 奢侈的, 豪华的"
enjoyable,"a. 可从中得到乐趣的, 令人愉快的"
sparingly,"adv. 节约地, 爱惜地, 吝惜地, 少量地, 贫乏地"
availability,"n. 有效性, 可利用性, 可利用的人
"
trick,"n. 诡计, 欺诈, 谋略, 恶作剧, 习惯, 决窍
vt. 愚弄, 欺骗, 装饰
vi. 哄骗, 戏弄
a. 有决窍的, 特技的, 欺诈的, 漂亮的, 靠不住的"
obsession,"n. 困扰, 困扰人的情绪
"
tip,"n. 顶, 尖端, 梢, 末端, 倾斜, 垃圾场, 小费, 轻击, 指点, 秘密消息
vt. 装顶端, 使倾斜, 使翻倒, 泄露, 告诫, 暗示, 给...小费, 轻击
vi. 倾斜, 翻倒, 倾覆, 踮脚走, 给小费
"
slave,"n. 奴隶, 从动装置, 卑鄙的人
vi. 拼命工作
"
commute,"vt. 交换, 折偿, 减轻
vi. 代偿, 经常乘车来往"
jolly,"a. 愉快的, 高兴的, 宜人的
vt. 恭维, 使高兴, 取笑
vi. 开玩笑
adv. 非常, 极为"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
restrict,"vt. 限制, 限定, 约束
"
privileged,"a. 有特权的, 有特别恩典的
"
anxious,"a. 忧虑的, 发愁的, 渴望的"
enhance,"vt. 提高, 加强, 增加"
incentive,"n. 动机
a. 激励的"
lot,"n. 运气, 签, 抽签, 份额, 许多, 一堆
vt. 划分
vi. 抽签, 抓阄"
scarcity,"n. 缺乏, 不足, 缺少
"
mandate,"n. 命令, 指令, 要求
vt. 委任统治"
come away,脱开
overweight,"n. 超过重量, 过重, 优势
a. 超过重量的, 超重的
vt. 使超重, 重于, 过于重视"
calcium,"n. 钙
"
likewise,"adv. 同样地, 也"
indicator,"n. 指示器, 指示剂, 指标
"
protective,"a. 给予保护的, 保护的
"
deficiency,"n. 缺乏, 不足
"
somewhat,"n. 某物, 几分
adv. 多少, 几分"
obesity,"n. 肥胖
"
define,"vt. 定义, 规定, 使明确
"
index,"n. 索引, 指针, 指数, 指标
vt. 编入索引中, 指出
vi. 做索引
"
divide,"vi. 分开, 分配, 分裂
vt. 分, 分开, 分裂, 除
n. 分配, 分水岭
"
obese,"a. 肥胖的
"
severely,"adv. 严格, 尖锐, 严肃, 严重, 严厉, 朴素"
turn out,"v. 证明；原来；到场
"
mass,"n. 块, 大多数, 质量, 大量, 群众, 弥撒
a. 群众的, 大规模的, 整个的
vt. 使集合, 集中
vi. 聚集"
equal,"n. 对手, 匹敌, 同辈
a. 相等的, 平等的, 胜任的, 合适的, 平静的, 不相上下的
vt. 等于, 比得上
"
square,"n. 正方形, 街区, 广场, 平方, 直角尺
a. 正方形的, 正直的, 公正的, 平方的, 方正的, 结清的
adv. 成直角地, 对准地
vi. 一致, 符合, 结清
vt. 使成方形, 使平方自乘, 调正, 结清, 使一致"
moderately,"adv. 适当地, 适度地, 中庸地"
numerical,"a. 数字的, 数值的, 以数字表示的, 擅长于计数的
"
straightforward,"a. 笔直的, 率直的, 明确的, 简单的, 直接的"
extremely,"adv. 极端地, 非常地"
collegiate,"a. 学院的
"
percentage,"n. 百分比, 比率, 部分, 可能性
"
frame,"n. 框, 结构, 体格
vt. 构成, 设计, 制定, 使适合, 陷害
"
standard,"n. 标准, 规格, 旗, 军旗, 本位
a. 标准的, 合规格的
"
fit,"n. 适宜, 合身, 发作, 痉挛
a. 适宜的, 对的, 准备好的
vt. 适合, 安装, 使合身, 使适应, 使合格
vi. 适合, 符合, 合身
"
professional,"n. 专业人才
a. 专业的, 职业的"
conversely,"adv. 相反, 逆, 颠倒, 反题, 反"
label,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
"
stereotype,"n. 铅版, 陈规, 老套
vt. 使用铅版, 把...印制成盲文, 套用老套, 使一成不变"
disgrace,"n. 耻辱, 不名誉
vt. 使受耻辱, 使失体面"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
laziness,"n. 怠惰, 无精打采"
professional,"n. 专业人才
a. 专业的, 职业的"
bias,"n. 偏见, 斜纹
a. 偏斜的
adv. 偏斜
vt. 使有偏见
"
tease,"n. 揶揄, 戏弄, 逗惹
vt. 戏弄, 取笑, 强求, 梳理, 使起毛"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
harbor,"n. 港, 避难所
v. 庇护, 藏匿, (使)入港停泊"
look down on,"轻视, 看不起"
negative,"n. 否定, 否定语, 负数, 底片
a. 否定的, 消极的, 负的, 阴性的
n. 负数, 负值
"
ban,"n. 禁令
vt. 禁止, 取缔"
facility,"n. 容易, 灵巧, 设备
"
fitness,"n. 适合, 合宜, 合理, 恰当, 健康
"
launch,"n. 下水, 汽艇, 发射
vt. 使下水, 发射, 发动
vi. 起飞, 下水, 投入, 开始"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
represent,"vt. 表现, 表示, 描绘, 讲述, 代表, 象征, 回忆, 再赠送, 再上演
vi. 提出异议"
threat,"n. 恐吓, 恶兆, 威胁
"
stimulate,"vt. 刺激, 激励, 鼓舞
vi. 起刺激作用"
sugary,"a. 含糖的, 糖一般的, 甜的"
institute,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
initiative,"n. 主动行动, 首创精神, 主动权
a. 自发的, 起始的"
visibility,"n. 可见性, 能见度, 能见距离
"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
"
pour,"n. 流出, 倾泻, 骤雨
vt. 倒, 灌, 注, 倾泻, 诉说, 倾吐
vi. 倾泻, 蜂涌而来, 下大雨"
moan,"n. 呻吟, 悲叹
vi. 呻吟, 抱怨, 悲叹
vt. 呻吟着说"
under fire,受攻击
Conservative,"a. 保守的, 守旧的, 有保存力的
"
prime minister,"总理, 首相
"
election,"n. 选举, 当选, 选择权
"
queue,"n. 辫子, 一队人, 队列
vt. 使排队, 将...梳成辫子
vi. 排队
"
drive up,"抬高
"
national,"a. 国家的, 国立的, 全国性的, 民族的
"
chancellor,"n. 大臣, 总理, 首相, 大使馆/领事馆的一等秘书, 司法官, 大学校长"
financing,"n. 融资, 理财, 筹集的资金
"
fuss,"n. 大惊小怪, 小题大作, 忙乱
vi. 无事自扰, 焦急, 焦燥, 忙乱
vt. 使激动, 使烦燥"
lengthy,"a. 冗长的, 漫长的"
affluence,"n. 富裕, 丰富, 流注
"
income,"n. 收入, 收益, 流入
"
soar,"n. 高扬, 翱翔
vi. 往上飞舞, 高耸, 翱翔"
swell,"n. 增大, 隆起的部分, 巨浪, 肿胀
a. 优秀的, 一流的
vi. 增大, 膨胀, 肿胀, 增强, 骄傲
vt. 使膨胀, 使增大, 使上涨, 使骄傲"
uninsured,"a. 未保过险的
"
bankruptcy,"n. 破产者
"
announcement,"n. 公告, 发表, 告知
"
legacy,"n. 祖先传下来之物, 遗赠物
"
domestic,"a. 家庭的, 国内的, 驯养的
"
retiring,"a. 行将隐退的, 行将退休的, 就寝的"
unveil,"vt. 揭开, 揭幕, 除去...的面纱
vi. 显露, 除去面纱"
squeeze,"n. 紧握, 挤, 榨, 榨取, 佣金
vt. 紧握, 挤, 榨取
vi. 压榨, 榨"
ill,"n. 疾病, 坏事, 罪恶, 灾难
a. 生病的, 邪恶的, 不吉利的, 敌意的, 不良的, 不顺利的
adv. 有害地, 不幸地, 几乎不"
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
"
crush,"n. 压碎, 粉碎, 群众, 迷恋
vt. 压破, 征服, 塞, 弄皱, 榨出
vi. 被压碎, 起皱, 挤"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
unlike,"a. 不像的, 不同的
prep. 不像, 和...不同"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
coverage,"n. 覆盖的范围, 保险总额, 新闻报导
"
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
"
universal,"a. 全世界的, 普遍的, 宇宙的, 通用的
n. 一般概念"
thanks to,由于
curious,"a. 好奇的, 求知的, 古怪的"
innovative,"a. 革新的, 创新的, 富有革新精神的"
cite,"vt. 引用, 引证, 表彰
"
unequal,"a. 不相等的, 不规则的, 不能胜任的
"
inefficiency,"n. 无效率, 无能
"
strength,"n. 力量, 实力, 强度, 浓度, 人数, 抵抗力
"
weakness,"n. 虚弱, 薄弱, 弱点
"
out of choice, 出于自由选择
shocking,"a. 令人震惊的, 极坏的, 不正当的"
disapprove,v. 不赞成
proportionately,"adv. 成比例地, 相称地"
share,"n. 部分, 参与, 一份, 参股, 份额
vt. 均分, 分担, 分享, 分配, 共有
vi. 分享
"
version,"n. 一种描述, 版本, 译文
"
default,"n. 违约, 不履行责任, 缺席, 默认值
v. 疏怠职责, 缺席, 拖欠, 默认
"
privately,adv. 秘密地；私下地
run up bills,无
socialize,"vt. 使社会化, 使社会主义化, 使适合社会需要
vi. (美)(非正式)参加社交活动, 发生社交往来"
