cent,"n. 分
"
doctorship,博士学位
professorship,n. 教授之职
apprenticeship,"n. 学徒身分, 见习(期)
"
acceptable,"a. 可接受的, 合意的, 可忍受的"
adjustable,"a. 可调节的
"
agreeable,"a. 令人愉快的, 同意的
"
comparable,"a. 可比较的, 比得上的"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
"
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
desirable,"a. 令人想望的, 可取的"
sensible,"a. 有感觉的, 敏感的, 明智的
"
knowable,"a. 可知的, 能认识的, 易知的"
producible,"a. 可生产的, 可上演的, 可延长的"
eligible,"a. 有资格当选的, 合格的
n. 有资格者, 合格者, 适任者"
conceivable,"a. 想得到的, 可想象的, 可理解的"
tractable,"a. 驯服的, 易于管教的
"
presumably,"adv. 推测上, 大概"
equitably,"adv. 公正地, 依据衡平法"
notably,"adv. 显著地, 著名地, 尤其, 特别"
suitably,"adv. 合适地, 适当地, 相配地"
favorably,"adv. 顺利地, 亲切地, 好意地"
inflammability,"n. 可燃性, 易兴奋性, 易激动性
"
usability,"n. 可用性
"
conductibility,"n. 传导性
"
adaptability,"n. 适应性
"
sensibility,"n. 感性, 感觉, 情感
"
nationality,"n. 国籍, 国家, 民族性
"
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人
"
frugality,"n. 节俭, 俭省"
vitality,"n. 活力, 生命力
"
hospitality,"n. 款待, 亲切, 殷勤"
mortality,"n. 必死的命运, 死亡数目, 死亡率
"
liberality,"n. 慷慨, 宽宏大量, 心胸宽大, 胸怀广阔, 公正, 丰富, 宽阔, 丰满"
neighborhood,"n. 附近, 邻近"
childhood,"n. 孩童时期
"
brotherhood,"n. 手足情谊, 兄弟关系"
boyhood,n. 少年时代
manhood,"n. 成年, 勇气, 男儿
"
likelihood,"n. 可能, 可能性"
failure,"n. 失败, 失败者, 不足, 缺乏, 破产
"
torture,"n. 拷问, 苦闷
vt. 拷问, 曲解, 折磨, 使弯曲"
pressure,"n. 压, 榨, 按, 强制, 压力, 压迫, 压强
vt. 迫使, 使增压, 密封"
fracture,"n. 破碎, 骨折
v. (使)破碎, (使)破裂"
closure,"n. 关闭
vt. 使终止"
signature,"n. 签字, 识别标志, 调号
"
miniature,"n. 缩图, 小画像
a. 小规模的, 纤小的"
expenditure,"n. 开支, 费用, 用光, 消费额
"
scripture,"n. 圣经, 圣经的一节, 圣经的一句, 铭文"
censure,"n. 责难
vt. 非难, 指责"
condemnatory,"a. 非难的, 处罚的
"
mandatory,"a. 命令的, 托管的
"
defamatory,"a. 破坏名誉的, 诽谤的
"
explanatory,"a. 说明的, 解释的, 辩明的
"
anticipatory,"a. 期待着的, 先行的, 提早发生的
"
compensatory,"a. 赔偿的, 补偿的, 代偿的
"
laboratory,"n. 实验室, 研究室, 化工厂
"
lavatory,"n. 洗脸盆, 厕所"
conservatory,"a. 保存性的, 有保存力的
n. 温室, 音乐学校"
auction,"n. 拍卖
vt. 拍卖"
inaugurate,"vt. 开始, 举行...就职典礼"
augment,"v. 增加, 增长
"
august,"n. 八月
a. 威严的, 令人敬畏的"
inaugural,"a. 就任的, 开幕的
n. 就职演讲"
lucent,"a. 透明的, 光亮的；美国朗讯科技公司（原AT&T实验室）"
lucid,"a. 明晰的, 清澈的, 透明的, 透彻的
"
elucidate,"vt. 阐明, 说明"
luster,"n. 光彩, 荣誉, 光泽
vi. 有光泽, 发亮
vt. 使发光辉"
lusty,"a. 健壮的, 精力充沛的"
acidify,"vt. 使变酸, 使成酸
vi. 变酸"
acidity,"n. 酸性
"
exacerbate,"vt. 使恶化, 使增剧, 激怒, 使加剧"
acerbic,"a. 酸的, 尖刻的"
acetic,"a. 醋的, 乙酸的
"
aeroplane,"n. 飞机
"
aerospace,"n. 航天空间, 航天技术"
aeroview,n. 空中俯瞰图
aerial,"a. 空中的, 航空的, 空气的, 空想的
n. 天线"
aerophotography,n. 航空摄影术
aeriform,"a. 空气状的, 气态的, 无实质的
"
aerogram,"n. 无线电报, 航空邮简
"
aerosphere,"n. 大气圈
"
aerate,"vt. 使暴露于空气中, 使充满气体
"
lithiasis,"n. 结石病
"
lithosphere,"n. 岩石圈, 陆界
"
aerolith,n. 陨石
nephrolith,n. 肾结石
paleolithic,a. 旧石器时代的
calculate,"v. 计算, 预测, 计划, 打算"
calculus,n. 结石；微积分学
calcify,"vi. 变成石灰质, 钙化
vt. 使钙化"
calcium,"n. 钙
"
stratum,"n. 层, 地层, 阶层
"
stratosphere,"n. 同温层, 最上层, 尖端的学科领域
"
substratal,"a. 基础的,基本的,根本的"
prostrate,"a. 拜倒的, 降伏的, 俯卧的, 衰竭的, 沮丧的
vt. 弄倒, 使屈服, 使俯伏, 使平卧"
stratify,"vt. (使)成层
"
opaque,"n. 不透明物
a. 不透明的, 不传热的, 不传导的, 阴暗的
"
aquarium,"n. 水族馆, 养鱼池, 水草缸
"
aquatic,"n. 水生动物, 水生植物
a. 水生的, 水中的, 水上的"
subaqueous,"a. 水中的, 水下用的
"
humble,"a. 低下的, 谦逊的, 粗陋的
vt. 使...卑下, 降低...地位, 贬抑"
humiliate,"vt. 使丢脸, 使蒙羞, 屈辱"
humid,"a. 潮湿的, 湿润的, 多湿气的"
humility,"n. 谦逊, 谦虚, 谦卑"
inhume,"vt. 埋葬, 土葬"
posthumous,"a. 遗腹的, 死后的
"
humidify,vt. 使潮湿
humidifier,"n. 增湿器, 湿润器
"
dehumidify,"vt. 除湿, 使干燥"
dehumidifier,[化] 减湿器; 除湿器
hydrogen,"n. 氢
"
hydrant,"n. 给水栓, 水龙头, 消火栓"
carbohydrate,"n. 碳水化合物, 糖类
"
hydroplane,"n. 水上飞机, 水上滑艇, 水平舵"
hydropower,n. 水力发出的电力
dehydrate,"vt. (使)脱水
"
hydrosphere,"n. 水圈, 水界, 水气"
hydrous,a. 含水的
anhydrous,"a. 无水的
"
hydrate,"n. 水合物, 水化合物, 氢氧化物
vt. 使成水化合物"
radical,"n. 激进分子, 词根, 基础, 根式, 根
a. 激进的, 根本的, 基本的, 根的"
eradicate,"vt. 根除, 扑灭, 根绝, 消灭"
radicalism,n. 激进主义
eradication,"n. 连根拔除, 歼灭, 消灭, 根除, 使断根
"
irradicable,a. 不能根除的
cytogenetics,"n. 细胞遗传学
"
cytogenous,"a. 细胞发生的, 细胞生成的
"
cytochrome,"n. 细胞色素
"
cytogenesis,"n. 细胞发生, 细胞生成
"
cytology,"n. 细胞学
"
fiber,"n. 纤维, 构造, 纤维制品
"
fibrescope,n. 纤维镜
fibriform,"a. 纤维状的
"
fiberglass,"n. 玻璃纤维, 玻璃丝
"
fibril,"n. 小纤维, 须根
"
fibrous,"a. 纤维的, 纤维性的
"
fibroid,"a. 纤维性的, 纤维状的
n. 纤维瘤"
seismic,a. 地震的
seismograph,"n. 地震仪
"
seismology,n. 地震学
isoseismic,等震的
atmosphere,"n. 大气, 空气, 气氛
"
atmos,"大气, 空气"
atmology,n. 水蒸气学
atmospheric,"a. 大气的
"
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
reply,"n. 答复, 回答, 答辩
vi. 答复, 回答, 回击, 反响, 答辩
vt. 回答
"
explicit,"a. 详述的, 清楚的, 直言的"
imply,"vt. 暗示, 意味
"
comply,"vi. 顺从, 依从
"
perplex,"vt. 使困惑, 使复杂化, 使为难
"
complicate,"vt. 弄复杂, 使错综, 使恶化
vi. 变复杂"
implicate,"vt. 涉及, 含意, 暗示, 牵连
n. 包含的东西"
implicit,"a. 暗示的, 含蓄的, 固有的, 绝对的
"
complexity,"n. 复杂, 复杂性, 复杂的事物"
complication,"n. 复杂化, 复杂情况
"
replicate,"vt. 折叠, 折转, 复制
n. 复现试验, 复制品, 高八度音
a. 复现的, 复制的, 折转的, 弯回的"
pliable,"a. 易弯的, 柔顺的, 圆通的"
duplex,"a. 双的, 复式的, 双联的, 二重的, 二倍的
"
replica,"n. 复制品
"
accomplice,"n. 共犯, 同谋
"
explicate,"vt. 详细说明, 解释, 说明, 引伸"
vacant,"a. 空的, 空白的, 空虚的, 空闲的, 茫然的, 空缺的
"
vacation,"n. 假期, 休假
"
vacuum,"n. 真空, 空间, 真空吸尘器
a. 真空的, 产生真空的, 利用真空的
vt. 用吸尘器打扫"
vanish,"vi. 消失, 不见, 成为零"
void,"n. 空虚, 空间, 空白, 空隙, 空虚感
a. 空的, 无效的, 无人的, 没有的, 无用的
"
evacuate,"v. 疏散, 撤出, 排泄"
vanity,"n. 虚荣心, 虚无, 自负, 空虚, 时髦的小摆饰"
devoid,"a. 全无的, 缺乏的"
vacuous,"a. 空的, 空虚的, 没有思想的"
evanescent,"a. 逐渐消失的, 容易消散的, 短暂的
"
chronic,"a. 慢性的, 习惯性的
n. 慢性病患者"
chronology,"n. 年代学, 资料按年月次序的排列, 按时间顺序编制的表格, 年表"
chronological,"a. 年代学的, 按时间顺序的, 按照年月顺序的
"
synchronize,"vt. 使同步, 使合拍
vi. 同时发生
"
chronicle,"n. 年代记, 记录, 编年史
vt. 把...载入编年史"
synchronous,"a. 同时的, 同步的
"
dignity,"n. 尊严, 高贵
"
dignify,"vt. 增威严, 使高贵, 故作显贵"
indignity,"n. 侮辱
"
indignation,"n. 愤怒, 愤慨, 义愤"
indignant,"a. 愤怒的, 愤慨的"
condign,"a. (尤指惩罚)应得的, 适宜的"
aggregate,"n. 合计, 总计, 聚集体
a. 合计的, 聚集的
v. 聚集, 集合, 合计达
"
egregious,"a. 异乎寻常的, 过分的, 惊人的"
gregarious,"a. 社交的, 群居的"
segregate,"a. 分离的, 被隔离的
vi. 分离, 隔离, 分凝
vt. 使分离, 使隔离"
save,"n. 救球
vt. 解救, 挽救, 储蓄, 保存, 节省, 保留
vi. 挽救, 节省, 救球
prep. 除...之外
"
salve,"n. 油膏, 药膏, 安慰, 奉承话
vt. 涂油膏于, 安慰, 缓和, 抢救, 打捞"
salver,"n. 浅盘, 托盘"
savior,"n. 救助者, 救世主, 救星"
salvage,"n. 海上救助, 抢救, 打捞, 抢救出来的财物
vt. 海上救助, 抢救, 打捞, 营救
"
salutary,"a. 有益的, 有用的, 有益健康的
"
salvation,"n. 拯救, 救助, 救世"
pacific,"n. 太平洋
a. 太平洋的, 太平洋沿岸的, 爱好和平的, 安静的, 平息的"
pacification,"n. 讲和, 绥靖, 平定
"
pacificatory,"a. 和解性的, 调停的, 和平性的"
pacify,"vt. 使平静, 安慰, 绥靖, 使服从"
pacifist,"n. 和平主义者, 反战论者, 不抵抗主义者"
consider,"v. 考虑, 思考, 认为"
considerate,"a. 体贴的, 体谅的, 考虑周到的"
president,"n. 总统, 总裁, 董事长, (学院)院长, (大学)校长, 主管人, 主持人
"
residence,"n. 住宅, 居留, 驻扎, 居住期间
"
preside,"vi. 统辖, 当主人, 主持
"
reside,"vi. 住, 居留, 属于
"
subsidy,"n. 补助金, 津贴
"
subsidiary,"n. 子公司, 附件, 辅助者
a. 辅助的, 次要的, 津贴的"
subside,"vi. 沉淀, 沉降, 平息"
assiduous,"a. 勤勉的, 刻苦的"
dissident,"a. 意见不同的, 持不同政见的
n. 意见不同的人, 持不同政见者"
residue,"n. 残渣, 剩余, 余数
"
sedate,"a. 沉着的, 镇静的, 安静的
vt. 给...服镇静剂"
insidious,"a. 隐伏的, 阴险的, 狡猾的
"
accent,"n. 重音, 口音, 特点, 注重点
vt. 重读, 加重音号于, 强调"
descant,"n. 曲调, 歌曲, 评论
vi. 评论, 唱歌"
accentuate,"vt. 以重音念, 强调, 重读"
incentive,"n. 动机
a. 激励的"
recant,"vt. 放弃
vi. 放弃信仰, 撤回声明, 公开认错"
persecute,"vt. 迫害, 虐待, 困扰, 同...捣乱
"
consequence,"n. 结果, 重要性
"
sequence,"n. 序列, 续发事件, 顺序, 连续
vt. 按顺序排好
"
consecutive,"a. 连续的, 联贯的
"
prosecute,"vt. 告发, 起诉, 彻底进行, 执行, 从事
vi. 告发, 起诉, 作检察官"
sequential,"a. 继续的, 后果的
"
subsequence,"n. 随后, 后来, 随后发生的事情
"
sequacious,"a. 盲从的, 卑贱的, 合于逻辑的"
obsequious,"a. 谄媚的, 奉承的, 顺从的"
salty,"a. 有盐分的, 咸味浓的, 海洋的, 辛辣的, 有经验的"
salary,"n. 薪水
vt. 给...加薪"
saline,"a. 盐的, 苦涩的, 由碱金属(或含镁之盐类)组成的
n. 盐湖, 盐田, 碱盐泻药, 生理盐水"
salinity,"n. 盐性, 盐度
"
devour,"vt. 吞食, 挥霍, 吞没"
voracious,"a. 贪吃的, 狼吞虎咽的, 贪婪的"
carnivorous,"a. 食肉的
"
herbivorous,"a. 食草的
"
omnivorous,"a. 无所不吃的, 杂食的, 什么都喜欢的"
arbitrary,"a. 任意的, 武断的, 专治的, 霸道的"
arbitrate,"vt. 仲裁, 公断
vi. 进行仲裁"
arbitration,"n. 仲裁, 公断
"
arbitrator,"n. 仲裁人, 公断者
"
arbiter,"n. 仲裁人, 裁决者, 公断人
"
addict,"vt. 使沉溺, 使上瘾
n. 入迷的人, 上瘾者"
dictator,"n. 命令者, 独裁者"
dictionary,"n. 字典, 词典
"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
predict,"v. 预知, 预言, 预报"
contradictory,"a. 反驳的, 反对的, 抗辩的
n. 矛盾因素, 对立物"
indicate,"vt. 显示, 象征, 指示, 指出
"
dictate,"vi. 听写, 口述, 口授
vt. 口述, 使听写, 命令
n. 命令, 指挥, 指令"
verdict,"n. 裁决, 判决, 判断性意见, 定论, 结论
"
predicate,"n. 谓语, 谓项
a. 谓语的
vt. 断定为, 使基于, 意味着, 预言
vi. 断言
"
indict,"vt. 起诉, 控告, 指控
"
diction,"n. 措辞, 发音, 用语"
abdicate,"vt. 正式放弃
vi. 退位, 退出, 辞职"
edict,"n. 布告, 法令
"
interdict,"vt. 禁止, 封锁, 停止, 制止
n. 禁令, 禁止"
document,"n. 文件, 公文, 文档
vt. 证明, 为...引证
"
doctor,"n. 医生, 博士
vt. 授以博士学位, 诊断, 修改
vi. 行医"
docile,"a. 容易教的, 温顺的"
doctrine,"n. 教条, 学说
"
orthodox,"a. 正统的, 传统的, 惯常的"
paradox,"n. 似非而是的论点, 自相矛盾的话, 悖论, 怪人怪事
"
doctrinaire,"n. 空论家, 纯理论家, 教条主义者
a. 空谈理论的, 脱离实际的"
dogma,n. 教条
heterodox,"a. 非正统的, 异端的"
glutton,"n. 暴食者, 酷爱...的人"
gluttonize,v. 暴食
gluttonous,"a. 暴食的, 贪吃的, 贪心的"
glut,"n. 大量, 供过于求
vt. 使充满, 使吃饱, 过多供应
vi. 吃得过多, 狼吞虎咽"
medley,"n. 混合, 混杂, 杂录
a. 混合的, 拼凑的"
mingle,v. (使)混合
miscellaneous,"a. 各种的, 多方面的
"
nonmiscible,"a. 不混合的, 不容易混合的"
miscellany,"n. 杂集, 杂录, 混杂"
commute,"vt. 交换, 折偿, 减轻
vi. 代偿, 经常乘车来往"
mutual,"a. 相互的, 共有的
"
commutable,"a. 可取代的
"
mutable,"a. 易变的, 性情不定的"
mutinous,"a. 暴动的, 反抗的"
rotate,"a. 辐状的
vt. 使旋转, 使转动, 使轮流
vi. 旋转, 循环
"
rotatory,"a. 旋转的, 引起旋转的, 轮流的
"
rotary,"a. 旋转的, 轮流的
n. 旋转式机器"
rotation,"n. 旋转, 循环, 轮流
"
rotund,"a. 圆的, 圆胖的, 洪亮的, (表现)华丽的"
torture,"n. 拷问, 苦闷
vt. 拷问, 曲解, 折磨, 使弯曲"
distort,"vt. 扭曲, 歪曲
"
torment,"n. 使人痛苦的东西, 折磨者, 苦痛
vt. 使苦恼, 纠缠, 歪曲, 拷问"
retort,"n. 反驳, 顶嘴, 蒸馏器, 曲颈甑
vi. 反驳, 回嘴, 反击
vt. 反击, 反驳, 蒸馏"
contort,"vt. 扭弯, 曲解
vi. 扭弯"
extort,"vt. 勒索, 敲诈, 强要
"
compel,"vt. 强迫, 迫使"
impulse,"n. 冲动, 驱使, 刺激, 推动, 冲力, 建议, 脉冲
vt. 推动"
repel,"vt. 逐退, 抵制, 使厌恶, 抗御
vi. 使厌恶, 相互排斥"
pulse,"n. 脉冲, 脉搏, 情绪, 意向, 拍子, 豆类
vi. 跳动, 脉跳
vt. 使跳动, 用脉冲调制
"
impulsive,"a. 冲动的, 受感情驱使的, 任性的
"
expel,"vt. 驱逐, 逐出, 排出, 开除
"
compulsory,"a. 被强制的, 强迫的, 义务的
"
propel,"vt. 推进, 驱使
"
repulse,"n. 击退, 拒绝
vt. 厌恶, 击退, 拒绝"
dispel,"vt. 驱散, 驱逐"
rapture,"n. 兴高采烈, 着迷, 欢天喜地, 狂喜
vt. 使狂喜"
ravage,"n. 破坏, 蹂躏
v. 毁坏, 破坏, 掠夺"
ravenous,"a. 贪婪的, 饿极的, 狼吞虎咽的"
rape,"n. 抢夺, 掠夺, 强奸, 葡萄渣, 芸苔
vt. 掠夺, 抢夺, 强奸"
rapacious,"a. 强夺的, 贪欲的, 贪婪的"
rapt,"a. 全神贯注的, 入迷的, 出神的
rap的过去式和过去分词"
enrapture,vt. 使狂喜
ravish,"vt. 强夺, 夺走, 使出神, 强奸
"
intrude,"vi. 闯入, 侵入
vt. 强加于"
detrude,"vt. 推出, 逐出"
protrude,"vi. 伸出, 突出
vt. 使伸出, 使突出"
abstruse,"a. 难解的, 深奥的"
extrude,"vt. 挤出, 压出, 逐出
vi. 伸出, 突出"
obtrude,"vt. 逼使, 强迫, 伸出
vi. 打扰, 强行闯入"
turbine,"n. 涡轮机
"
turbulence,"n. 混乱, 动荡, 骚乱, 紊流
"
turbulent,"a. 狂暴的, 骚乱的, 紊乱的"
perturb,"vt. 扰乱, 使混乱, 使心绪不宁"
turbid,"a. 浑浊的, 污浊的, 混乱的, 雾重的
"
turmoil,"n. 骚动, 混乱"
imperturbable,"a. 沉着的, 泰然自若的, 镇静的"
abundant,"a. 丰富的, 充分的, 大量的"
redundant,"a. 多余的, 过多的, 冗长的
"
abound,"vi. 大量存在, 富于, 充满"
inundate,"vt. 浸水, 泛滥, 淹没, 使充满"
redound,"vi. 被累加, 有助于, 报偿
"
undulate,"a. 波动的, 起伏的
vi. 波动, 起伏, 呈波浪形
vt. 使起伏, 使波动"
vibrate,"vi. 振动, 颤动, 激动, 摇摆, 踌躇
vt. 使颤动, 使振动, 使摆动"
revibrate,v. 再震动
vibration,"n. 振动, 颤动
"
vibrant,"a. 振动的, 战栗的, 响亮的, 活跃的"
vibrator,"n. 振动装置, 振动器, 振动按摩器
"
vibrancy,"n. 振动, 振响, 活力"
eraser,n. 擦子
razor,"n. 剃刀
vt. 剃"
erase,"vt. 抹去, 擦掉
"
abrase,"v. (=abrade)磨损, 擦去"
abrasive,"n. 研磨料
a. 有研磨作用的"
abrade,"vt. 擦伤, 磨损, 磨
"
raze,"vt. 毁灭, 刮去, 把...夷为平地, 消除, 抹去, 破坏"
acerbate,"vt. 使变酸, 使发怒, 使气恼
a. 恼怒的"
acumen,"n. 敏锐, 聪明"
acme,"n. 顶点, 极度, 最高点
"
acrid,"a. 苦味的, 辛辣的, 讥讽的, 刻薄的
"
acuity,"n. 尖锐, (疾病的)剧烈, 敏锐
"
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
sophistic,"a. 诡辩的, 诡辩法的, 古代诡辩派的"
pansophic,[网络] 全知的；无所不知的；有广泛知识的
sophomore,"n. (大学)二年级生
a. 二年级学生的, 二年级的"
sophisticate,"n. 久经世故的人, 精于...之道的人
vt. 篡改, 曲解, 使变得世故, 掺合, 弄复杂
vi. 诡辩"
psychologist,"n. 心理学家
"
psychology,"n. 心理学, 心理状态
"
psychiatry,"n. 精神病学, 精神病治疗
"
psychical,"a. 精神的, 心理的, 灵魂的, 超自然现象的, 通灵的
n. 巫师, 女巫, 精神上的现象, 超自然的现象"
psychiatrist,"n. 精神病医生, 精神病学家
"
psychic,"a. 灵魂的, 精神的, 心灵的
n. 巫师, 灵物, 心灵现象"
psychal,"a. 精神的,心理的"
psyche,"n. 灵魂, 精神, 普赛克(希腊神话中人类灵魂的化身)
"
animal,"n. 动物
"
unanimous,"a. 意见一致的, 无异议的"
animate,"vt. 使有生气, 赋予生命
a. 有生命的, 有生气的"
longanimous,"a. 忍受的, 忍耐的"
magnanimous,"a. 宽宏大量的, 有雅量的
"
mortality,"n. 必死的命运, 死亡数目, 死亡率
"
immortal,"n. 不朽人物, 神仙
a. 永远的, 不死的, 长久的"
mortal,"n. 生物, 人类
a. 不免一死的, 人类的, 临终的"
immortalize,"vt. 使不灭, 使名垂千古"
mortify,"vt. 抑制, 苦修, 使受辱
vi. 禁欲, 苦修"
moribund,"a. 垂死的
n. 垂死的人"
amortize,"vt. 摊还, 摊销, 分期偿还
"
toxic,"a. 有毒的, 中毒的
"
toxin,"n. 毒素
"
detoxify,"vt. 使解毒
"
toxication,n. [医]中毒
intoxicate,"vt. 使陶醉, 使喝醉"
submerge,"vt. 使浸水, 使陷入, 淹没
vi. 潜入水中"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
immerse,"vt. 沉浸, 使陷入
"
merge,"vt. 使合并, 使消失, 吞没
vi. 合并, 渐渐消失
"
submersion,"[医] 浸没, 浸入"
immerge,"vi. 浸入, 隐没, 埋头"
refuse,"vt. 拒绝, 谢绝
vi. 拒绝
n. 废物
a. 扔掉的, 无用的"
confuse,"vt. 使混乱, 使狼狈, 使困惑
"
effusive,"a. 感情横溢的, 奔放的, 流出的"
refute,"vt. 反驳, 驳斥；驳倒"
profuse,"a. 很多的, 丰富的, 浪费的, 慷慨的"
transfuse,"vt. 输血, 充满
"
suffuse,"vt. 遍布, 弥漫, 充满"
solar,"a. 太阳的, 日光的, 源自太阳的
"
console,"vt. 安慰, 藉慰
n. 控制台
"
parasol,"n. 阳伞, 伞翼机"
solarize,"vt. 使过度曝光, 晒
vi. 曝光过度"
solarium,"n. 日光浴室, 日晷
"
solace,"n. 安慰, 安慰之物
vt. 安慰, 抚慰, 给与安慰, 使轻松"
insolate,vt. 使曝晒
territorial,"a. 领土的, 土地的, 地方的, 区域性的
n. 本土自卫队队员"
territory,"n. 领土, 领地, 版图, 地区, 活动范围
"
Mediterranean,"n. 地中海
adj. 地中海的"
terrain,"n. 地带, 地区, 地形, 领域, 范围"
terrace,"n. 阶地, 梯田, 房屋之平顶, 阳台, 沿岸防地, 露台
a. 叠层式的
vt. 使成梯田, 使成有平台屋顶"
inter,"vt. 埋葬
prep. 在中间"
disinter,"vt. 掘出, 发掘, 使显露"
nation,"n. 国家, 民族
"
nationality,"n. 国籍, 国家, 民族性
"
native,"n. 本地人, 土产, 当地人
a. 本国的, 与生俱来的, 自然的"
nature,"n. 自然, 大自然, 本性, 性格, 性质
"
naive,"a. 天真的, 纯真的, 幼稚的"
renaissance,"n. 复活, 复兴, 文艺复兴
a. 文艺复兴的"
natal,"a. 出生的, 诞生的
"
cognate,"a. 同族的, 同语系的, 同词源的, 母族的, 同性质的, 同类的, 同种的
n. 亲族, 同语系的语言, 同词源的词, 同性质的东西, 同源物
"
innate,"a. 先天的, 天生的
"
nascent,"a. 发生中的, 开始存在的, 初期的
"
renascent,"a. 再生的, 复活的"
astronaut,"n. 太空旅行者, 宇航员
"
astronomy,n. 天文学
disaster,"n. 灾祸, 不幸, 彻底失败"
astrology,"n. 占星术, 占星学"
astrospace,n. 星际空间
asteroid,"n. 小行星, 海盘车
a. 星状的"
flame,"n. 火焰, 火舌, 热情, 光辉
vt. 焚烧, 用火焰给...灭菌, 用火焰传送(信号), 点燃, 激动
vi. 燃烧, 爆发, 闪耀
"
flammable,"a. 易燃的, 可燃性的
"
inflammable,"a. 易燃的, 易怒的
"
inflame,"vt. 激怒, 点火, 激起
vi. 着火, 激动, 发炎"
nonflammable,"a. 不燃烧的
"
flagrant,"a. 极端明显的, 不能容忍的, 恶名昭著的
"
conflagration,"n. 大火灾, 大火, 冲突
"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
elapse,"vi. 逝去, 过去
n. 逝去, 过去"
lapse,"n. 过失, 流逝, 失效
vi. 犯错, 堕落, 减退, 消失, 流逝
vt. 使失效"
illapse,[网络] 不正常
relapse,"n. 回复, 故态复萌, 复发
vi. 故态复萌, 再陷邪道, 再度堕落"
pure,"a. 纯的, 纯净的, 纯洁的, 清白的, 完美的, 无瑕的, 抽象的
"
purity,"n. 纯净, 纯正, 纯粹
"
impure,"a. 不纯的, 肮脏的, 掺杂的, 混合的
"
purify,"vi. 变纯净
vt. 使纯净, 净化, 提纯, 精炼"
impurity,"n. 杂质, 不洁, 不纯
"
purge,"n. 净化, 清除, 泻药
v. (使)净化, 清除, (使)通便
"
expurgate,"vt. 删除, 修订, 使纯洁"
purgative,"a. 净化的, 通便的, 赎罪的
n. 泻剂"
cave,"n. 洞, 穴
vi. 凹陷, 塌落
vt. 挖洞, 使凹陷, 损坏...的基础"
cavity,"n. 洞, 空穴, 腔
"
cavelet,[网络] 小心翼翼
cavern,"n. 巨穴, 洞窟, 深处
vt. 放于山洞中, 挖空"
concave,"a. 凹的
"
excavate,"v. 挖空, 挖出, 凿通"
sphere,"n. 球, 球面, 球体, 天体, 地球仪, 范围
vt. 包围, 使成球体, 放入球内"
hemisphere,"n. 半球, 地球的半面, 大脑半球
"
spherical,"a. 球的, 球面的, 球状的, 天体的
"
biosphere,"n. 生物圈
"
chromosphere,"n. 太阳的色球层
"
vapor,"n. 汽, 蒸气
vi. 蒸发
vt. 使蒸发"
evaporate,"vi. 蒸发, 失去水分, 消失
vt. 使蒸发, 使脱水, 使消失"
vaporization,"n. 蒸发, 汽化
"
vaporize,v. (使)蒸发
vaporous,"a. 雾的, 蒸气的, 雾状的, 多蒸气的, 有雾的, 无实际内容的, 空想的, 浮夸的"
marine,"n. 舰队, 水兵, 海景画
a. 海的, 海产的, 海底的, 船舶的, 海运的"
maritime,"a. 海的, 海上的, 海事的, 沿海的, 海员的
"
marinate,vt. 用腌泡汁腌/泡(肉/鱼)
submarine,"n. 潜水艇, 海底生物
a. 海中的, 生长在海中的
vt. 用潜水艇攻击
vi. 在下疾行, 在下滑动"
mariculture,n. 海上养殖
thermometer,"n. 温度计, 体温计
"
thermal,"a. 热的, 热量的, 温泉的
n. 上升温暖气流"
diathermal,a. [医]透热疗法的
isotherm,"n. 等温线
"
crude,"a. 天然的, 未成熟的, 粗糙的, 粗鲁的
n. 天然的物质"
crudeness,"n. 天然的状态, 未成熟, 生硬"
crudification,n. 粗制滥造(的东西)
crudity,"n. 简陋, 粗糙, 不成熟状态"
recrudesce,"vi. 复发, 再发作, 再爆发"
connect,"v. 连接, 联合, 联系"
connection,"n. 连接, 关系, 前后关系
"
connective,"a. 易于连接的, 连接的
n. 连接物, 关联词
"
disconnect,"vt. 使分离, 使不相连, 拆开
vi. 断开
"
annex,"n. 附加物, 附属建筑物
vt. 附加, 盖(印), 并吞"
interconnected,"v. 互相连接, 互相联系( interconnect的过去式和过去分词)"
nexus,"n. 连结, 关系
"
annexation,"n. 合并, 附加, 附加物
"
section,"n. 区段, 部分, 区域, 节, 截面, 处, 科, 区, 扇区
vt. 把...分段, 把...切片
vi. 被切成片
"
sector,"n. 扇形, 部门, 部分, 函数尺, 象限仪, 段, 区段
vt. 把...分成扇形
"
vivisect,"vi. 活体解剖
vt. 对...作活体解剖"
segment,"n. 片段, 部分, 分节, 段
v. 分割, 分裂
"
intersection,"n. 交集, 十字路口, 交叉点
"
intersect,"vt. 贯穿, 横穿
vi. 交错, 相交"
dissection,"n. 解剖, 切开
"
