ambiguity,"n. 不明确, 含糊
"
innocuous,"a. 无害的, 无伤大雅的
"
communiqué,无
nag,"n. 老马, 驽马, 劣等竞赛马, 唠叨
v. 不断地唠叨, 恼人"
jumble,"vi. 搀杂, 混杂
vt. 搞乱, 使混乱
n. 混乱, 薄饼"
proffer,"vt. 提供, 贡献, 提议
n. 提供, 提议"
rationale,"n. 基本原理
"
contraceptive,"a. 避孕的
n. 避孕剂, 避孕用具"
quip,"n. 妙语, 遁辞, 讽刺
v. 说讽刺话, 嘲弄"
rant,"v. 咆哮, 痛骂
n. 咆哮, 大话"
defamation,"n. 破坏名誉, 中伤, 诽谤
"
reprimand,"n. 谴责, 惩戒, 非难
vt. 谴责, 惩戒, 严责"
devious,"a. 偏僻的, 迂回的"
revile,"v. 辱骂, 斥责"
audacity,"n. 大胆, 厚颜无耻"
slur,"n. 连音符, 诽谤, 玷污, 印刷模糊
vt. 草率地看过, 忽略, 含糊地念
vi. 模糊不清"
overdose,"n. 配药量过多
vt. 配药过量, 使过分沉溺"
plagiarism,"n. 剽窃, 抄袭, 剽窃物
"
sputter,"n. 喷溅声, 劈啪声, 语无伦次
vi. 唾沫飞溅, 结结巴巴地讲, 发劈啪声
vt. 喷出, 飞溅出, 气急败坏地说"
squabble,"vi. 争吵, 口角
n. 争吵, 口角"
dementia,"n. 痴呆
"
goody,"n. 身分低微之老妇, 糖果, 姥姥
a. 感伤的, 伪善的
interj. 太好了"
squeal,"n. 尖叫, 抱怨
vi. 发出尖叫声, 高声埋怨
vt. 用尖声说"
elf,"n. 小精灵, 矮人, 淘气鬼
"
cynic,"n. 犬儒学派的人, 玩世不恭的人, 愤世嫉俗者, 好挖苦人的人
a. 犬儒学派的"
taunt,"n. 辱骂, 嘲弄
vt. 嘲弄, 奚落
a. 很高的"
crap,"n. 废物, 废话
vi. 掷骰子"
tout,"vi. 招徕顾客, 兜售物品
vt. 招徕, 刺探...情报
n. 兜售者, 侦查者"
sedative,"a. 使安静的, 使镇静的
n. 镇静剂"
respiratory,"a. 呼吸的
"
at first,起先
covert,"a. 隐蔽的, 偷偷摸摸的, 隐密的
n. 树丛, 隐藏处"
penchant,"n. 爱好, 嗜好"
unearth,"vt. 发掘, 掘出, 从洞中赶出, 揭露, 发现"
recalcitrant,"a. 反抗的, 反对的, 顽抗的
n. 反抗者, 顽抗者"
bombard,"vt. 炮击, 攻击, 轰击
n. 射石炮"
squadron,"n. 骑兵营, 分遣队, 小舰队"
rowdy,"n. 好吵闹的人
a. 吵闹的"
brandish,"vt. 挥, 挥舞
n. 挥舞"
sickle,n. 镰刀
withdrawn,withdraw的过去分词
goldsmith,n. 金匠
burnish,"vt. 擦亮, 打磨, 磨光
vi. 磨光发亮
n. 光辉, 光泽"
rodent,"a. 咬的, 啮齿类的
n. 啮齿动物"
burrow,"n. 洞穴, 藏身处
vi. 掘洞穴, 躲藏
vt. 掘, 打洞"
magnolia,"n. 木兰, 浅桃红色
"
conjure,"vt. 念咒文召唤, 变戏法, 想象
vi. 变戏法, 施魔法"
jay,"n. 鸟, 喋喋不休的人, 傻瓜"
stein,n. 啤酒杯
crumple,"vt. 弄皱, 压皱
vi. 崩溃, 变皱"
lingerie,n. 女式内衣
drape,"n. 布帘, 褶皱
vt. 用布帘覆盖, 披上
vi. 成褶皱状"
commando,"n. 突击队, 突击队员, (南非)布尔人部队"
anthem,"n. 圣歌, 赞美诗"
the national anthem,n. 国歌
dredge,"n. 挖泥机, 拖网
vt. 用挖泥机疏浚, (用船)采捞"
carcass,"n. 尸体
"
pneumonia,"n. 肺炎
"
exhale,"v. 呼气, 发出, 散发"
suffer from ...,"忍受, 遭受
"
tenor,"n. 稳定的进程, 思路, 要旨, 大意, 誊本, 票据的限期, 男高音
a. 男高音的"
fiddle,"n. 小提琴, 提琴类乐器
vt. 虚度时光, 拉小提琴
vi. 拉小提琴, (无目的地)拨弄, 瞎搞"
fondle,"vt. 爱, 爱抚, 溺爱
vi. 爱抚"
irate,"a. 发怒的, 生气的"
rebuff,"n. 断然拒绝, 严厉拒绝, 漠不关心
vt. 严厉拒绝"
meet with ...,"偶遇, 遭受"
enclave,"n. 被包围的领土
"
gala,"n. 节日, 祝贺"
frolic,"n. 嬉戏
vi. 嬉戏
a. 嬉戏的, 欢乐的"
duel,"n. 决斗, 斗争
vi. 决斗"
gloat,"vi. 满足地看, 幸灾乐祸, 贪婪地盯视
n. 贪婪的盯视, 满足的注视, 幸灾乐祸"
cub,"n. 幼兽, 年轻人"
gnaw,"v. 咬, 啃, 侵蚀, 消耗, 折磨"
doe,"n. 母鹿, 雌兔"
unruly,"a. 难控制的, 无法无天的, 任性的"
grapple,"v. 抓住, 掌握
n. 抓住, 系紧, 掌握, 与...扭打"
grope,"v. 摸索
n. 摸索"
coffer,"n. 保险箱, 金库
vt. 把...锁进箱子"
handcuff,"vt. 给...戴上手铐
n. 手铐"
intractable,"a. 不听话的, 倔强的, 棘手的
"
thug,"n. 恶棍, 刺客, 凶手
"
lead ... away,使盲从
asteroid,"n. 小行星, 海盘车
a. 星状的"
hurtle,"vi. 猛冲, 碰撞, 突进
vt. 猛撞, 猛投
n. 投掷, 碰撞, 碰撞声"
platoon,"n. 排, 一组, 一群人"
barrage,"n. 弹幕, 掩护炮火
vt. 以密集炮火进攻"
hustle,"n. 心碌, 挤, 推, 拥挤喧嚷
vt. 催促, 乱挤活动, 硬逼, 强夺
vi. 赶紧, 硬挤过去"
stronghold,"n. 要塞, 堡垒, 大本营"
exacting,"a. 苛求的, 吃力的"
implant,"vt. 深植, 灌输, 嵌入
n. 植入物, 植入管"
roach,"n. 斜齿鳊
vt. 使成凹状"
infest,"vt. 骚扰, 寄生于, 大批出没
"
hulk,"n. 船体, 笨重的船, 废然大物"
township,"n. 小镇, 镇区
"
inhale,"vt. 吸入
vi. 吸气"
pernicious,"a. 有害的, 致命的, 恶劣的, 险恶的
"
jab,"v. 刺, 戳, 猛击
n. 刺, 戳, 猛击"
arthritis,"n. 关节炎
"
sodium,"n. 钠
"
leach,"vt. 过滤, 萃取
vi. 滤掉
n. 过滤, 过滤器, 沥出物"
sewage,"n. 脏水, 污水
"
deterioration,"n. 恶化, 衰退, 退化
"
lob,"vt. 把球挑高
vi. 蹒跚地走
n. 笨人, 高球"
picket,"n. 桩, 尖桩, 警戒哨, 巡逻艇, 纠察队
vt. 围住, 警戒, 派...担任纠察
vi. 担任纠察"
a tear gas grenade,无
ark,"n. 方舟, 柜"
lurch,"n. 惨败, 倾斜, 挫折, 举步蹒跚, 徘徊
vi. 惨败, 倾斜, 徘徊
vt. 击败"
deluge,"n. 大洪水, 泛滥
vt. 使泛滥"
Noah,n. 诺亚
grueling,"a. 折磨人的, 使人精疲力尽的
n. 痛打, 惩罚"
nestle,"vi. 舒适地坐定, 挨靠, 偎依
vt. 抱, 安置"
nibble,"n. 少量食物, 细咬, 轻咬, 啃
v. 一点一点地咬, 细咬, 吹毛求疵
"
nutty,a. 产坚果的
bun,"n. 小面包
"
nudge,"n. 用肘轻推, 推动, 讨厌家伙"
pew,"n. 教堂长椅, 会众, 座位
vt. 为(教堂)安装座位, 把...围在一起"
blister,"n. 水疱
"
translucent,"a. 半透明的, 透明的"
ooze,"n. 渗流, 分泌物
v. 渗出, 泄漏"
putt,"vt. 击球入洞
vi. 轻击高尔夫球
n. 轻轻一击(入洞)"
footing,"n. 站稳, 立足点, 立场, 关系
"
sire,"n. 陛下, 殿下, 父亲
vt. 生殖, 创作"
colt,"n. 小马, 苔绳, 无经验的年轻人"
romp,"n. 喧闹游玩, 顽皮女孩
vi. 喧闹玩耍, 轻快奔跑"
battalion,"n. 营, 军队, 集团"
rove,"n. 徘徊, 粗纺, 流浪
vt. 漂泊于, 漫游于
vi. 流浪, 飘忽不定
reeve的过去式和过去分词"
prowess,"n. 英勇, 勇敢, 超凡技术"
renegade,"n. 背教者, 变节者, 脱党者
a. 背弃的, 脱离的, 叛徒的
vi. 背叛, 背弃, 脱离"
scoff,"n. 嘲笑, 愚弄, 笑柄, 食品
v. 嘲笑, 嘲弄, 贪吃, 狼吞虎咽地吃"
deity,"n. 神, 神性"
screech,"n. 尖声喊叫, 尖叫声, 煞车声
vt. 尖声讲
vi. 发出尖声"
gruesome,"a. 可怕的, 令人毛骨悚然的, 阴森的"
shear,"n. 修剪, 剪下的东西, 大剪刀, 切变, 剪切机, 切
vt. 修剪, 割, 剥夺, 横越, 削剪
vi. 剪, 修剪, 剪羊毛, 切断"
sideline,"n. 副业, 旁线, 界线, 兼职, 旁观者看法
vt. 使退出比赛场地"
epitaph,"n. 墓志铭, 碑文"
slouch,"n. 没精打采的样子, 耷拉, 笨人
vi. 没精打采地走, 耷拉着
vt. 使低垂"
in despair,绝望地
pimp,"n. 皮条客, 男妓, 恶棍, 窥探情人者, 告密者
vi. 拉皮条, 告密"
smirk,"vi. 傻笑, 假笑, 得意地笑
n. 傻笑, 假笑, 得意的笑"
brawl,"n. 争吵
vi. 争吵, 哗哗地流水"
panther,"n. 豹, 黑豹, 美洲豹"
snarl,"vi. 吼叫, 怒骂, 缠结
vt. 咆哮着说, 搞乱, 使缠结
n. 咆哮, 吼叫, 怒骂, 缠结, 混乱"
headlong,"a. 头向前的, 仓猝而用力的, 轻率的
adv. 头向前地, 猛然地, 用力地"
sprint,"n. 短距离赛跑
vi. 全速跑, 冲刺
vt. 全速跑过"
marquee,"n. 大帐篷, 遮篷, 选取框
"
squirm,"vi. 蠕动, 辗转不安
n. 蠕动"
obscenity,"n. 淫秽, 淫秽的语言(或行为、动作), 可憎的事
"
footage,"n. 英尺长度, 英板尺, (影片的)连续镜头"
strew,"vt. 散播, 撒满"
petal,"n. 花瓣
"
primate,"n. 大主教, 灵长目动物
"
protagonist,"n. 主人公, 主角, 领导者"
swagger,"n. 大摇大摆, 吹牛, 妄自尊大, 威吓
vi. 虚张声势吓人, 大摇大摆, 吹牛
vt. 吓唬, 恫吓
a. 漂亮的, 时髦的"
turner,"n. 车工, 体育协会会员"
tamper,"vi. 干预, 拨弄, 贿赂, 损害, 篡改
vt. 篡改
n. 捣棒, 打夯机, 填塞者"
pivot,"n. 枢轴, 支点, 旋转运动, 中枢, 关键人物
a. 枢轴的, (如)在枢轴上转动的
vi. 在枢轴上转动, 随着转移
vt. 装枢轴于, 以...为中心旋转
"
throttle,"n. 节流阀, 节气阀, 喉咙
vt. 扼喉咙, 使窒息, 压制, 使节流
vi. 窒息, 节流, 减速"
retaliation,"n. 报复
"
perennial,"a. 常年的, 长期的, 反复的
"
in retaliation for ...,无
trudge,"n. 沉重的步伐, 长途跋涉
vi. 步履艰难地走, 蹒跚地走
vt. 跋涉"
logging,"n. (木材)采运作业, (事物状况的)记录
"
whirlwind,n. 旋风
veer,"vi. 转向
vt. 使转向
n. 转向"
whack,"vt. 猛击, 重打, 削减
vi. 重击
n. 重击, 重打"
dent,"n. 凹痕
vt. 使凹下, 削弱
vi. 塌陷"
forlorn,"a. 孤独的, 悲惨的, 凄凉的"
plywood,"n. 夹板, 合板
"
whine,"n. 哀叫声, 嘎嘎声, 哀鸣
vi. 哭诉, 嘎嘎响, 发呜呜声
vt. 哀诉"
whisk,"n. 掸, 扫帚, 毛掸子, 搅拌器, 拂
vt. 扫, 拂, 挥动, 迅速移动, 搅拌
vi. 飞奔"
inferno,"n. 地狱, 地狱似的地方"
wizard,"n. 男巫, 术士, 奇才
a. 男巫的, 巫术的
"
wield,"vt. 挥舞, 运用"
anemia,"n. 贫血, 贫血症, 无活力
"
wobble,"n. 摆动, 摇晃, 不稳定, 抖动
vi. 摇晃, 摇摆, 游移不定
vt. 使摇摆, 使颤动"
align,"vi. 排列, 排成一行, 结盟
vt. 使结盟, 使成一行, 校正"
autocratic,"a. 独裁的, 专制的"
caucus,"n. 领导人会议, 核心会议
vi. 开核心会议"
raider,"n. 奇袭者, 侵入者
"
annex,"n. 附加物, 附属建筑物
vt. 附加, 盖(印), 并吞"
French,"n. 法国人, 法文, 法式
a. 法国的, 法国人的, 法语的"
Japanese,"n. 日本人, 日语
a. 日本的, 日语的"
appease,"vt. 抚慰, 缓解, 平息, 姑息
"
clientele,"n. 诉讼委托人, 客户
"
cadet,"n. 军官学校学生
"
avenge,"vt. 为...报复, 报仇"
swear to do,[网络] 发誓做某事
proprietor,"n. 所有者
"
balk,"n. 障碍, 错误, 失败
vt. 阻止, 错过, 推诿
vi. 逡巡不前"
prodigy,"n. 惊人的事物, 奇迹, 不凡的人, 奇才, 神童, 预兆"
botch,"v. 拙笨地修补, 糟蹋
n. 拙笨的修补, 难看的补缀"
benefactor,"n. 恩人, 捐助者, 施主
"
capitalize,"vt. 以大写字母写, 使资本化, 估计...的价值
"
capitulate,"vi. (有条件)投降
"
horrendous,"a. 可怕的, 骇人的, 不得了的"
bombardment,"n. 炮击
"
circumvent,"vt. 绕行, 陷害, 包围, 智取"
windfall,"n. 被风吹落的果子, 横财
"
flurry,"n. 疾风, 飓风, 慌张
vt. 使恐慌, 使激动
vi. 慌张"
stock market,"股票市场
"
clinch,"n. 钉牢
v. 敲弯, 用臂钳住"
insurgent,"a. 谋叛的, 起义的, 澎湃的
n. 起义者, 叛乱者"
insurrection,"n. 起义, 暴动, 反抗
"
flirtation,"n. 调情, 挑逗, 调戏, 不认真的考虑"
concoct,"vt. 调合, 捏造, 编造
"
warden,"n. 典狱官, 渔猎法监督官, 看守人
"
condone,"vt. 赦, 宽恕
"
hoax,"vt. 欺骗, 哄骗, 愚弄
n. 愚弄人, 恶作剧"
confiscate,"vt. 没收, 把...充公, 查抄
a. 被没收的"
cohort,n. 一群；步兵大队；支持者；共同特点的一群人
firearm,"n. 火器, 枪炮"
cull,"vt. 采, 摘, 拣
n. 拣出的等外品, 被剔出的动物"
exemplary,"a. 可仿效的, 可做模范的, 惩戒性的, 示范的
"
corpus,"n. (事物的)主体, 文集, 本金, 语料库
"
English,[网络] 英语
ensemble,"n. 全体, 合唱曲, (女人的)全套服装
"
curtail,"vt. 缩减, 剥夺, 简略
"
fall in,"集合, 倒塌, 到期
"
genteel,"a. 有教养的, 上流的, 优雅的"
debase,"vt. 贬低, 降低"
lewd,"a. 淫荡的
"
adultery,"n. 通奸
"
informant,"n. 提供消息者, 密告者, 被调查者
"
divulge,"vt. 泄露, 透露"
homicide,"n. 杀人, 杀人者
"
involved in ...,涉及；包含；牵涉进…
be involved in ..., 涉及，专心; 卷入
diabetic,"a. 糖尿病的
n. 糖尿病患者"
eschew,"vt. 避开, 远避"
exhort,"v. 劝诫, 忠告"
extremist,[经] 偏激份子
bigotry,"n. 盲从, 偏见, 偏执的行为(或态度)"
ferment,"n. 酵素, 发酵, 动乱
v. (使)发酵, (使)动乱"
tepid,"a. 微温的, 温热的, 不太热烈的
"
microbe,"n. 微生物, 细菌
"
flaunt,"n. 炫耀, 飘扬
v. 炫耀, 飘扬"
booty,"n. 战利品, 获得之物
"
flex,"vt. 弯曲, 伸缩, 折曲
vi. 弯曲
n. 屈曲, 折曲"
buyout,n. 全部买下; 买下（公司或产业）
junta,"n. 以武力政变上台的(军)政府, 私党, 阴谋小集团, 政务会"
flounder,"vi. 挣扎, 折腾；错乱地做事或说话"
soon after ...,之后不久
garner,"n. 谷仓, 积蓄
vt. 储存, 贮藏"
sumptuous,"a. 奢侈的, 华丽的"
perk,"vi. 昂首, 振作, 举止高傲, 神气活现, 滤煮
vt. 竖起, 打扮, 使振作, 滤煮
n. 小费"
glean,"v. 拾落穗, 收集"
euphemism,"n. 委婉说法, 委婉语"
lexicon,"n. 词汇, 词典, 辞典
"
measles,"n. 麻疹, 风疹, 家畜囊尾蚴病, 米珠
"
goad,"n. 赶牛棒, 激励, 刺激
vt. 用刺棒驱赶, 激励, 刺激, 唆使, 煽动"
inoculation,"n. 灌输, 接种
"
pundit,"n. 学者, 梵文学者, 博学的印度人, 权威"
harry,"vt. 掠夺, 使苦恼, 强使前行, 折磨, 骚扰"
metaphysical,"a. 形而上学的, 纯粹哲学的, 抽象的"
outspoken,"a. 直言无讳的, 坦率的, 坦白无隐的"
wrangle,"vi. 争论, 口角
vt. 辩驳, 放牧
n. 口角, 吵嘴"
hone,"n. 磨刀石, 抱怨, 想念
vt. 用磨刀石磨, 磨练"
drawl,"v. 慢吞吞地说, 故意拉长调子讲话
n. 慢吞吞拉长调子的说话方式"
impart,"vt. 给予, 传授, 告知"
convent,"n. 女修道会
"
terrain,"n. 地带, 地区, 地形, 领域, 范围"
impede,"vt. 妨碍, 阻碍, 阻止"
reconnaissance,"n. 侦察, 勘察队
"
incite,"vt. 刺激, 激励, 引诱
"
zealot,"n. 热心者, 狂热者, 犹太教狂热信徒
"
multiple terrorist attacks,无
masterly,"a. 巧妙的, 熟练的
adv. 巧妙地, 熟练地"
inflame,"vt. 激怒, 点火, 激起
vi. 着火, 激动, 发炎"
stalwart,"n. 健壮的人
a. 高大结实的, 坚定的"
inter,"vt. 埋葬
prep. 在中间"
rover,"n. 漂泊者, 流浪者, 海盗
"
jettison,"n. 投弃, 投弃货物
"
affiliated,a. 有关连的；附属的
stagnation,"n. 淤塞, 停滞
"
jeopardy,"n. 危难, 危险
"
opium,"n. 鸦片
"
launder,"n. 流水槽
v. 洗衣, 烫衣"
liken,"vt. 比喻, 比拟"
abbey,n. 大修道院
narrate,"v. 说故事, 说明, 叙述"
persona,"n. 人, 人物, 角色, 外表印象, 人格面具
"
staunch,"vt. 止住, 止血
a. 坚固的, 坚强的, 忠实的, 忠诚的, 不透水的"
affable,"a. 和蔼可亲的, 友善的, 亲切的, 慈祥的"
pamper,"vt. 放纵, 使吃饱, 使过量"
backer,"n. 援助者, 支持者
"
patronize,"vt. 保护, 支援, 赞助, 庇护, 惠顾"
peddle,"vi. 挑卖, 沿街叫卖, 游荡, 闲混
vt. 叫卖, 兜售, 散播"
dope,"n. 吸毒者, 笨蛋, 麻醉药物, 粘稠物
vt. 麻痹, 上涂料, 预测出
vi. 吸毒"
rabid,"a. 猛烈的, 热烈的, 急进的, 狂怒的, 偏激的, 疯狂的
"
sectarian,"a. 宗派的, 党派的, 偏狭的
n. 宗派成员, 闹宗派的人"
perpetrate,"vt. 做(恶), 犯(罪), 胡说, 恶劣地做
"
vandalism,"n. 故意毁坏文物的行为, 破坏他人财产的行为"
skirmish,"n. 前哨战, 小争论, 小冲突
vi. 发生小争论, 侦察"
quell,"vt. 压制, 平息, 减轻"
recoup,"vt. 偿还, 赔偿, 补偿, 扣除
vi. 补偿损失"
centennial,"n. 百年纪念
a. 一百年的"
reinstate,"vt. 使复原, 使恢复, 使复立"
misdemeanor,"n. 行为不检, 品行不良, 轻罪, 不端行为"
injunction,"n. 命令, 禁令, 劝告
"
relinquish,"vt. 放弃, 撤回, 停止, 松开, 让与
"
renovate,"vt. 更新, 革新, 刷新, 修复, 使恢复活力"
courthouse,"n. 法院, 郡政府所在地"
replenish,"vt. 把...重新补足, 把...再装满
vi. 被再装满, 充满"
requisite,"n. 必需品, 要素, 必要物品
a. 必要的, 需要的"
oil reserves,"un. 石油蕴藏量
"
replicate,"vt. 折叠, 折转, 复制
n. 复现试验, 复制品, 高八度音
a. 复现的, 复制的, 折转的, 弯回的"
disintegration,"n. 瓦解
"
resurrect,"vi. 复活
vt. 使复活, 复兴, 恢复, 盗掘"
hyperbole,n. 夸张法
opus,n. 作品
Greek,"n. 希腊人, 希腊语
a. 希腊的, 希腊人的
"
grudge,"n. 怨恨, 恶意
vt. 怀恨, 嫉妒, 吝惜"
retaliate,"vt. 报复, 回敬
vi. 报复, 以牙还牙"
revamp,"vt. 换新鞋面, 修理, 修补, 修改
"
rendition,"n. 译文, 施舍, 表演
"
English,[网络] 英语
crackdown,"n. 制裁, 镇压, 痛击"
revoke,"vt. 撤回, 废除
vi. 藏牌
n. 藏牌
"
counterfeit,"n. 赝品, 伪造品
a. 假冒的, 假装的
v. 仿造, 伪装, 假装"
CD,"abbr. (=compact disc)激光唱片
n. 光盘
"
compact disc,"n. 镭射碟, 镭射唱片
"
rout,"n. 溃败, 大败, 乌合之众, 盛大晚会
vt. 使溃败, 使败逃, 打垮, 用鼻拱, 挖起, 搜, 唤起
vi. 用鼻拱地, 搜"
fluke,"v. 侥幸成功
n. 锚爪, 侥幸, 偶然事故"
salvage,"n. 海上救助, 抢救, 打捞, 抢救出来的财物
vt. 海上救助, 抢救, 打捞, 营救
"
sierra,n. 呈齿状起伏的山脉
a voice recorder,无
scour,"vt. 擦亮, 洗涤, 清洗, 冲刷成, 急速穿过
vi. 擦, 洗, 冲刷, 腹泻, 急速穿行
n. 擦, 洗, 腹泻, 洗涤剂"
epicenter,"n. 震中, 中心"
annuity,"n. 年金, 年金保险, 年金领受权
"
scuttle,"n. 箩, 筐, 急速逃走, 天窗, 小舱口
vi. 急速逃走, 急忙撤退
vt. 凿沉, 毁坏"
impasse,"n. 难局, 僵局, 死路, 死胡同"
secede,"vi. 正式脱离(或退出), 分离
"
League of Nations,[法] 国际联盟
spearhead,"n. 矛尖, 先锋队, 先头部队
vt. 做先锋, 带头"
prostitution,"n. 卖淫, 糟蹋, 滥用
"
splice,"vt. 接合, 捻接, 胶接, 使结婚
n. 接合, 胶接, 结婚
"
perimeter,"n. 周长, 周界, 边缘
"
spurn,"n. 踢开, 拒斥
vt. 踢开, 冷落, 践踏, 唾弃
vi. 藐视, 摒弃"
preposterous,"a. 反常的, 乖戾的, 荒谬的, 首末倒置的"
paranoia,"n. 偏执狂, 多疑症
"
grow worse,无
squander,"vt. 浪费, 使分散
vi. 浪费, 漂泊, 四散"
patronage,"n. 赞助, 恩赐态度, 光顾, 任免权, 保护人的身分
"
the Medici,无
Italy,n. 意大利
stave,"n. 狭板, 梯级, 棍棒, 诗句
vt. 击穿, 弄破, 敲打, 赶走
vi. 穿孔, 破碎"
attrition,"n. 摩擦, 磨损
"
abstinence,"n. 节制, 禁欲, 戒酒
"
succumb,"vi. 屈从, 屈服, 死"
Scotch,"n. 苏格兰人, 苏格兰语, 刻痕
a. 苏格兰人的, 苏格兰语的
vt. 刻痕于, 伤害, 镇压, 妨碍"
Scotch whisky,苏格兰威士忌酒
infringement,"n. 违犯, 侵害, 违反, 侵犯
"
thwart,"a. 横放的
vt. 反对, 阻挠, 横过
prep. 横过
adv. 横过"
copyright infringement,[法] 侵犯著作权
vie,"vi. 争, 竞争, 争胜
vt. 提出...来竞争, 以...作较量"
hegemony,"n. 霸权, 领导权, 支配权, 拥有支配权的政府
"
Diet,"n. 日常饮食, 议会
vt. 照规定饮食
vi. 忌食"
miscarriage,"n. 失败, 误送, 流产
"
vindicate,"vt. 辩护, 证明...无辜, 维护
"
a miscarriage of justice,"误 判(案),审判 不公(案)"
waive,"vt. 不坚持要求, 放弃, 推迟考虑, 丢弃
"
eligibility,"n. 适任, 合格
"
conservationist,n. 自然资源保护论者
bemoan,"vt. 哀悼, 惋惜, 认为遗憾, 哀叹"
oracle,"n. 神谕, 神谕处, 预言"
decipher,"vt. 译解, 解释
n. 密电译文"
genetics,"n. 遗传学
"
delve,"v. 探究, 查考
n. 坑, 穴"
downplay,vt. 不予重视
cardiac,"n. 心脏病患者, 强心剂, 健胃药
a. 心脏的, (胃的)贲门的"
pathology,"n. 病理学, 病理, 病状, 病变
"
chaplain,n. 牧师
endear,"vt. 使受喜爱, 使受钟爱"
evangelical,"a. 福音派教会的
n. 福音派信徒"
entreat,"v. 恳求, 乞求"
lama,n. 喇嘛
espouse,"vt. 支持, 赞成, 嫁, 娶
"
altruism,"n. 利他主义, 利他"
dire,"a. 可怕的, 悲惨的, 阴沉的, 极端的"
etch,"vt. 蚀刻, 蚀镂
vi. 施行蚀刻法
n. 腐蚀剂
"
archipelago,"n. 群岛, 多岛屿的海"
legion,"n. 军团, 军队, 众多的人"
exult,"vi. 非常高兴, 欢欣"
truce,"n. 停战, 休战
vi. 停战, 休止
vt. 以休战结束"
bring about ...,"na. 造成；带来；【航】(使船)回转
"
fathom,"n. 英寻(长度单位,合6英尺)
vt. 测量深度, 看穿, 彻底了解
vi. 测深"
lore,"n. 知识, 眼光"
tome,"n. 册, 卷, 大本书"
loathe,"vt. 厌恶, 憎恶"
incest,"n. 近亲相奸, 乱伦
"
mortify,"vt. 抑制, 苦修, 使受辱
vi. 禁欲, 苦修"
snag,"n. (尖利的)突出物, (衣服等的)戳破处, 断牙, 意外障碍
vt. 造成阻碍, 抓住机会, 抢到, 清除障碍物"
mull,"n. 软薄布, 混乱
vt. 研磨, 细想
vi. 深思熟虑"
fiasco,"n. 惨败, 大失败"
farce,"n. 闹剧, 滑稽剧, 胡闹"
bidder,"n. 出价人, 投标人
"
rue,"n. 懊悔, 后悔, 芸香
v. 后悔, 悲伤, 懊悔"
Rembrandt,"伦布兰特(van Rijn [Ryn], 1609-1669, 荷兰画家)"
squint,"n. 斜视眼, 斜着
a. 斜视的
vt. 使变斜视眼
vi. 斜视, 倾向, 斜行"
writ,"n. 令状, 文书, 文件, 书面命令
"
litigation,"n. 诉讼, 起诉
"
incarnation,"n. 典型, 特殊阶段, 化身, 体现"
heyday,"n. 全盛期
interj. 嘿"
swoon,"n. 昏晕, 晕厥
vi. 昏晕, 着迷, 渐渐消失"
Dionysus,"n. [希神]狄俄尼索斯(酒神, 即罗马神话中的Bacchus)"
unravel,"vt. 阐明, 解决, 解开
vi. 散开"
schizophrenia,"n. 精神分裂症
"
falcon,"n. 隼, 猎鹰"
fin,"n. 鳍, 鱼翅, 鳍状物, 五元纸币
vi. 猛挥鳍
vt. 装上翅, 切除鳍"
mule,"n. 骡, 倔强之人"
catalyst,"n. 触媒, 接触剂, 催化剂, 刺激因素, 促进因素
"
clout,"n. 敲击, 破布
vt. 打补钉"
anesthesia,"n. 麻醉, 麻木
"
antidote,"n. 解毒剂, 解毒药
"
biopsy,"n. 活组织检查
"
chromosome,"n. 染色体
"
containment,"n. 抑制, 牵制, 遏制
"
contraception,"n. 避孕, 避孕法
"
cortex,"n. 皮层
"
efficacy,"n. 功效, 效力
"
euthanasia,"n. 安乐死
"
fetus,"n. 胎儿
"
genital,"a. 生殖的
"
hypertension,"n. 高血压, 过度紧张
"
leukemia,"n. 白血病, 白血球过多症
"
marrow,"n. 髓, 骨髓, 精华, 活力, 配偶
"
menopause,"n. 绝经期
"
metabolism,"n. 新陈代谢, 变态
"
mole,"n. 痣, 鼹鼠, 防波堤, 摩尔, 克分子
"
nausea,"n. 反胃, 晕船, 恶心, 厌恶
"
neuron,"n. 神经原, 轴索, 神经细胞
"
nipple,"n. 乳头, 奶头, 奶嘴
"
placebo,"n. (为死者所诵的)晚祷歌, 安慰剂, 安慰的话, 使人宽慰的事
"
pore,"n. 毛孔, 小孔, 气孔
vi. 专心阅读, 细想, 钻研, 沉思, 注视
vt. 使注视得"
reflex,"n. 反射, 反射光, 映像
a. 反射的, 折转的
vt. 使折转, 使折回"
relapse,"n. 回复, 故态复萌, 复发
vi. 故态复萌, 再陷邪道, 再度堕落"
retina,"n. 视网膜
"
scalp,"v. 剥头皮
n. 头皮, 战利品"
tuberculosis,"n. 肺结核
"
womb,"n. 子宫, 发源地
"
bravado,n. 虚张声势
clamor,"n. 喧闹, 叫嚷, 大声的要求
v. 喧嚷, 大声地要求"
complacency,"n. 满足, 自鸣得意, 自满"
contrition,"n. 完全悔悟, 悔改, 悔罪"
cynicism,n. 犬儒主义
deference,"n. 顺从, 尊重"
demeanor,"行为, 品行, 举止"
derision,n. 嘲笑
empathy,"n. 移情作用, 共鸣
"
euphoria,"n. 兴奋, 陶醉, 陶醉感
"
funk,"n. 怯懦, 恐惧, 臭味
vt. 畏缩, 害怕, 使闻到臭味
vi. 惊恐, 发出臭味"
furor,"n. 喧闹, 激怒, 感动, 狂热
"
glee,"n. 欢乐, 高兴"
