evict,"vt. 逐出, 赶出, 驱逐
"
anticyclone,"n. 反旋风, 高气压
"
breakdown,"n. 崩溃, 故障
"
crystal,"n. 水晶, 水晶装饰品, 结晶
a. 水晶的, 水晶一样的, 透明的"
tenuous,"a. 稀薄的, 微细的, 纤细的, 脆弱的
"
spectroscope,"n. 分光镜
"
torque,"n. 扭转力, 转矩, 项圈
"
undulate,"a. 波动的, 起伏的
vi. 波动, 起伏, 呈波浪形
vt. 使起伏, 使波动"
bounce,"n. 跳, 跳跃, 弹力, 撞击
vi. 反跳, 弹跳
vt. 使跳回, 撞击
"
disorder,"n. 杂乱, 混乱
vt. 扰乱, 使失调"
periscope,"n. 潜望镜(镜头)
"
work,"n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程
vi. 工作, 劳动, 做, 运转, 起作用, 被加工
vt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成"
fusion,"n. 熔合物, 结合, 熔合
"
data,"pl. 资料, 数据
"
induct,"vt. 引导, 使入门, 引入, 使就职"
electromagnet,"n. 电磁石
"
brightness,"n. 光亮, 明亮, 聪明
"
translucent,"a. 半透明的, 透明的"
counterpoint,"n. 对位法, 旋律配合, 复调"
timer,"n. 计时员, 计时器
"
granule,"n. 小粒, 细粒, 颗粒
"
sensitivity,"n. 敏感, 灵敏度
"
vaporize,v. (使)蒸发
projector,"n. 计划人, 发起人, 规划人, 放映机, 映画器, 幻灯机, 幻灯, 探照灯, 发射器
"
liquid,"n. 液体, 流体, 流音
a. 液体的, 透明的, 明亮的, 流动的, 易变的"
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
"
pressure,"n. 压, 榨, 按, 强制, 压力, 压迫, 压强
vt. 迫使, 使增压, 密封"
annihilation,"n. 歼灭, 湮灭
"
scanner,"n. 扫描仪, 扫描盘, 审视者
"
tepid,"a. 微温的, 温热的, 不太热烈的
"
volt,"n. 伏特
"
force,"n. 力量, 武力, 势力, 影响力, 军队, 力, 效力
vt. 强迫, 强夺, 推动, 提高
"
ether,"n. 醚, 苍天, 以太
"
lead,"n. 铅, 铅条, 领导, 超前量, 领引, 榜样, 主角, 导线
vt. 引导, 带领, 领导, 指挥, 致使, 加铅于, 用铅包
vi. 领导, 带头, 导致, 用测深锤测深, 被铅覆盖
a. 带头的, 最重要的"
recurrent,"a. 再发生的, 定期重复的, 循环的
"
photography,"n. 摄影, 摄影术
"
solidification,"n. 团结, 凝固, 固体化
"
battery,"n. 电池, 殴打
"
capacitor,"n. 电容器
"
coil,"n. 线圈, 盘绕, 骚动, 卷
vt. 盘绕, 卷"
speed,"n. 速率, 速度, 迅速
vi. 加速, 超速, 快进
vt. 快速传送, 促进, 使加速
"
barometer,"n. 气压计
"
eyepiece,"n. (接)目镜
"
mite,"n. 尽绵薄之力的捐献, 细微, 微少, 螨
"
malleable,"a. 有延展性的, 可锻的
"
experiment,"n. 实验, 试验, 实验仪器
vi. 实验, 尝试"
attraction,"n. 吸引, 吸引人的事物, 吸引力
"
projectile,"n. 发射体, 抛射物
a. 发射的, 投射的"
motor,"n. 马达, 发动机, 原动力, 汽车
a. 马达的, 发动机的, 汽车的, 发动的
vt. 推动, 以汽车载运
vi. 乘汽车, 驾车"
saponaceous,"a. 肥皂似的, 肥皂质的, 圆滑的
"
transpire,"vt. 使蒸发, 使排出
vi. 蒸发, 散发, 泄露"
vacuum,"n. 真空, 空间, 真空吸尘器
a. 真空的, 产生真空的, 利用真空的
vt. 用吸尘器打扫"
hydraulic,"a. 与水有关的, 水力的, 水压的
"
resilience,"n. 弹回, 有弹力, 恢复力
"
parameter,"n. 参变数, 参变量, 参数, 参量
"
hadron,[化] 强子(强相互作用粒子)
slit,"n. 裂缝, 投币口, 狭长裂口
vt. 切开, 扯裂, 使有狭缝
vi. 纵切, 纵裂"
oscillate,"vi. 振动, 彷徨, 犹豫
vt. 使振动, 使动摇"
manometer,"n. 压力计
"
pendulum,"n. 钟摆, 摇锤, 摇摆不定的事态(或局面)
"
heat,"n. 热, 热度, 体温, 高潮
vi. 加热, 激昂, 加剧
vt. 把...加热, 使激动"
echo,"n. 回声, 回音, 回波
vi. 发回声, 随声附和
vt. 摹仿, 重复, 反射
"
acceleration,"n. 加速, 促进, 加速度
"
quantum,"n. 量, 量子
"
electron,"n. 电子
"
thermal,"a. 热的, 热量的, 温泉的
n. 上升温暖气流"
penumbra,"n. 半影, 明暗交界部分, 边缘部分, 周围的气氛
"
output,"n. 输出, 产品, 产量
"
gas,"n. 气体, 汽油, 瓦斯
"
tension,"n. 紧张, 不安, 拉紧, 张力, 压力, 电压
vt. 拉紧, 使紧张"
impulse,"n. 冲动, 驱使, 刺激, 推动, 冲力, 建议, 脉冲
vt. 推动"
transistor,"n. 晶体管
"
weight,"n. 重, 重量, 体重, 砝码, 重大, 影响, 力量
vt. 加重量于, 压迫, 使加权, 称重量
"
input,"n. 输入, 输入电路
vt. 输入
"
wavelength,"n. 波长
"
electroscope,"n. 验电器
"
radar,"n. 雷达, 无线电探测器
"
magnification,"n. 扩大, 放大率, 放大的复制品
"
reasoning,"n. 推论, 推理, 论证
"
prism,"n. 棱镜, 棱柱
"
trough,"n. 槽, 水槽, 饲料槽
"
motley,"a. 杂色的, 穿杂色衣的, 杂乱的, 混杂的
n. 杂色, 杂色衣服, 混杂, 小丑"
insulator,"n. 绝缘体, 从事绝缘工作的工人
"
subside,"vi. 沉淀, 沉降, 平息"
protuberate,"vi.隆起,凸出"
momentum,"n. 动力, 动量
"
matter,"n. 事件, 物质, 原因, 素材, 实体, 重要
vi. 有关系"
acoustics,"n. 音响效果, 声学
"
reactor,"n. 反应者, 反应器, 反应堆, 电抗器
"
peak,"n. 山峰, 巅, 山顶, 顶点, 尖峰, 帽舌
a. 最高的, 最大值的
vi. 到达最高点, 消瘦, 变憔悴, 逐渐缩小
vt. 使竖起, 使达到最高点"
mechanics,"n. 机械学, 结构, 力学
"
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
"
repulsion,"n. 击退, 排斥力, 反感
"
inertia,"n. 惯性, 惰性, 迟钝
"
galaxy,"n. 银河, 星系, 一群(显赫的人物)
"
friction,"n. 摩擦, 摩擦治疗, 不和
"
cosmic,"a. 宇宙的, 宇宙航行的, 无限的, 有秩序的
"
centripetal,"a. 向心的
"
centrifugal,"a. 离心的
n. 离心机, (离心机的)转筒"
a mass on a spring,无
absolute acceleration,[化] 绝对加速度
absolute error,
absolute motion,[化] 绝对运动
absolute temperature,
absolute temperature scale,[机] 绝对温标
absolute velocity,[化] 绝对速度
absolute zero,"绝对零度
"
absorption spectrum,
absorptivity,"n. 吸收性, 吸收率
"
accelerated motion,[化] 加速运动
acceleration of gravity,[化] 重力加速度
accidental error,
acting force,[化] 作用力
actual power,有效[实际]功率
air pump,"气泵, 抽气机
"
air table,[化] 气垫桌
air track,[化] 气垫导轨
Albert Einstein,"阿尔伯特·爱因斯坦（著名物理学家, 相对论的提出者）"
alternating current,"交流电
"
alternating current circuit,[电] 交流电路
alternating current generator,[电] 交流发电机
ammeter,"n. 安培计
"
amperemeter,"n. 电流计, 安培计
"
ampere force,[化] 安培力
Ampere's experiment,无
Ampere's law,[计] 安培定律
Andre Marie Ampere,[网络] 安培；安培氏；安德烈-玛丽·安培
angle of rotation,[化] 转动角; 自转角
angular acceleration, 角加速度
angular displacement,
angular velocity,[化] 角速度
anisotropy,
Archimedes principle,[化] 阿基米德原理
arm of force,[机] 力臂
astigmatoscope,"n. 散光检查器, 散光计"
atmospheric pressure,
atomic bomb,
atomic nucleus,
atomic physics,n. 原子物理学
atomic spectra,[机] 原子光谱
atomic structure,
Atwood's machine,阿特午机
average power,平均功率
average velocity,[化] 平均速度
Avogadro constant,阿伏加德罗常数
Avogadro law,[化] 阿伏伽德罗定律
ballistic galvanometer,[化] 冲击电流计
band spectrum,[化] 带谱; 带状光谱; 带状谱图
basic quantity,＝ base quantity
basic unit,= base unit
charger,"n. 充电器, 冲锋者, 战马
"
accumulator,"n. 积聚者, 蓄能器, 蓄电池
"
betatron,"n. 电子回旋加速器
"
Bohr atom model,[化] 玻尔原子模型
boiling point,"沸点
"
bound charge,[化] 束缚电荷
bound electron,[化] 束缚电子
Boyle law,[化] 玻义耳定律
Brown motion,无
Brownian motion,[物] 布朗运动
buoyancy force,[流] 浮力
capillarity,"n. 毛细作用, 毛细现象
"
cathode ray,[化] 阴极射线
cathode-ray tube,"n. 阴极射线管
"
cell battery,太阳能电池
Celsius scale,[医] 摄氏温度标
center of gravity,[化] 重心
center of mass,[化] 质心
centrifugal force,[化] 离心力
centripetal acceleration,[化] 向心加速度
centripetal force,[化] 向心力
chain reaction,"连锁反应
"
characteristic spectrum,特征[标识]光谱
Charle law,无
charged body,[化] 带电体
charged particle,[化] 带电粒子
Charles Augustin de Coulomb,[网络] 夏尔·奥古斯丁·库仑；库伦；查尔斯·奥古斯丁·库仑
Christian Huygens,[网络] 惠更斯；人惠更斯；荷兰科学家贺金斯
circuit diagram,[化] 电路图; 线路图
circular hole diffraction,[化] 圆孔衍射
circular motion,[化] 圆周运动
classical mechanics,
classical physics,[化] 经典物理; 经典物理学
closed circuit,
cloud chamber,
coefficient of maximum static friction,[化] 最大静摩擦系数
coefficient of restitution,[化] 恢复系数
coefficient of sliding friction,[化] 滑动摩擦系数
coefficient of stiffness,刚性系数
coherent light,相参光;相干光
coherent wave source,无
coherent wave,[化] 相干波
component velocity,[化] 分速度
composition of forces,[化] 力的合成
composition of velocities,[化] 速度合成; 速度的合成
concave lens,
concave mirror,凹镜
concurrent force,"共点力,汇交力"
conducting medium,[化] 导电介质
conservative force,[化] 保守力
conservative force field,保守力场
constant current,[医] 直电流
constant force,
continuous spectrum,
control variable method,控制变量法
convergent lens,[化] 会聚透镜
convex lens,
convex mirror,
coplanar force,[化] 共面力
Coriolis force,柯瑞来力
Coriolis theorem,柯若利斯定理
corpuscular property,[化] 粒子性
corpuscular theory,[化] 微粒说
Coulomb force,[化] 库仑力
Coulomb's law,
creepage,"n. 蠕动, 漏电"
critical angle,
critical resistance,[电] 临界电阻
critical temperature,
current density,[化] 电流密度
current element,[化] 电流元
current source,[化] 电源
current strength,[电] 电流强度
curvilinear motion,[化] 曲线运动
cyclotron,"n. 回旋加速器
"
damped vibration,[化] 阻尼振动
damping,"n. 阻尼, 衰减, 减幅
"
Daniell cell,[化] 丹聂耳电池
data processing,（资料）处理
defocusing,[化] 散焦
derived quantity,导出量
derived unit,[电] 导出单位
diffraction,"n. 衍射
"
diffraction pattern,[化] 衍射图样; 衍射花样
diffuse reflection,[化] 漫反射
digital timer,[化] 数字计时器
dimensional exponent,量纲幂；量纲指数
diopter,"n. 屈光度, 折光度
"
direct current,
DC,abbr. direct-chill 直接冷铸（铸造）; direct-current (adjective) 直流电的
direct impact,[化] 正碰
direct measurement,[化] 直接测量
dispersion,"n. 散布
"
divergent lens,[化] 发散透镜
Doppler effect,[化] 多普勒效应
double slit diffraction,[化] 双缝衍射
driving force,[化] 驱动力
dry cell,"干电池
"
earth magnetic field,地球磁场
eddy current,
effective value,
virtual value,"有效值
"
elastic body,[化] 弹性体
elastic deformation,[化] 弹性形变
elastic energy, 弹性能量
elastic force,[化] 弹力; 弹性力
electric charge,[化] 电荷
electric circuit,[化] 电路
electric corona,电晕放电
electric current,"电流
"
electric energy,[化] 电能
electric field,
electric field force,电场力
electric field intensity,[化] 电场强度
electric field line,[化] 电场线
electric flux,[化] 电通量
electric leakage,[化] 漏电
electric neutrality,[化] 电中性
electric potential,[化] 电势
electric potential difference,[化] 电势差
electric potential energy,电位能；电势能
electric power,[化] 电力; 电功率
electric quantity,[化] 电量
electric work,电气工程
electrical apparatus,气设备，电气装置，电机，电器
electrification by friction,[化] 摩擦起电
electrified body,[化] 带电体
electromagnetic damping,[化] 电磁阻尼
electromagnetic field,[电磁] 电磁场
electromagnetic induction,电磁感应
electromagnetic radiation,(电磁)放射
electromagnetic wave,"电磁波
"
electromagnetic wave spectrum,[化] 电磁波谱
electromagnetism induction phenomenon,无
electrometer,"n. 静电计
"
electromotive force,[网络] 电动力；电动势
EMF,[计] Windows增强元文件
electron beam,
electron cloud,[化] 电子云
electron microscope,
electron volt,
electron-volt,
electrostatic equilibrium,[化] 静电平衡
electrostatic field,
electrostatic force,[化] 静电力; 库仑力
electrostatic induction,
electrostatic shielding,[化] 静电屏蔽
electrostatic screening,[化] 静电屏蔽
elementary charge,[化] 元电荷; 基元电荷
emission spectrum,
energy level,[化] 能级
equation of state,[建] 状态方程式
equilibrium condition,
equilibrium of forces,[化] 力的平衡
equilibrium position,[化] 平衡位置
equilibrium state,[化] 平衡态
equipotential surface,[化] 等势面
equivalent resistance,[电] 等值电阻
equivalent source theorem,等效电源定理
erect image,[化] 正像
Ernest Rutherford,卢瑟福
excitation,"n. 刺激, 鼓舞, 兴奋
"
excitation state,[化] 激发态
experimental physics,[化] 实验物理; 实验物理学
external circuit,[机] 外电路
external force,[化] 外力
far sight,[化] 远视
farad,"n. 法拉(电容单位)
"
Faraday cylinder,[化] 法拉第筒; 法拉第圆筒
Faraday's law of electromagnetic induction,法拉第电磁感应定律
fastening,"n. 紧固件, 系结物"
thin-film interference,[网络] 薄膜干涉；薄膜干涉作用
final velocity,[化] 末速; 末速度
first cosmic velocity,[化] 第一宇宙速度
fixed-axis rotation,[物] 定轴转动
flat mirror,[医] 平面[返光]镜
flotation balance,[化] 浮力秤
focal length,
focusing,[化] 调焦; 聚焦
forced vibration,[化] 受迫振动; 强迫振动
fractal,n. 不规则碎片形
free charge,
free electron,
free fall,"n. 自由降落（尤指降落伞张开前的降落）, （尤指火箭等的）惯性运动"
free period, 免费期间; 自由课; 自习课; 空课时间
freely-falling body,自由落体
freezing point,"n. 冰点, 凝固点
"
friction force,[化] 摩擦力
fundamental unit,[机] 基本单位
Galileo Galilei,伽利略
galvanometer,"n. 电流计
"
galvanothermy,n. [医]电热
general physics,[化] 普通物理; 普通物理学
Geory Simon Ohm,无
good conductor,[化] 良导体
graphic representation of forces,无
gravitational energy,重力能
gravitational potential energy,重[引]力位能
gravity field,[化] 重力场
ground earth,无
ground state,[化] 基态
ground wire,[化] 避雷地线
half-life period,[化] 半衰期
heat transfer,[化] 传热; 热传递
Heinrich Friedrich Emil Lenz,无
Heinrich Rudolph Hertz,[网络] 赫兹；德国物理学家赫兹
henry,"n. 亨利
"
hertz,"n. 赫, 赫兹
"
Hooke law,[化] 胡克定律
humidity,"n. 湿气, 潮湿, 湿度
"
hydrogen bomb,[化] 氢弹
ice point,[化] 冰点
ideal gas,[化] 理想气体
image distance,[化] 像距
image height,[化] 像高
images of speed,无
imperfect inelastic collision,无
incident angle,[化] 入射角
incident ray,[化] 入射线
indirect measurement,[化] 间接测量
induced attraction,= induction force
induced electric current,感生电流;感应电流
induced electric field,[化] 感生电场
induction current,
induction electromotive force,[化] 感应电动势
inductive electromotive force,感应电动势
induction motor,[化] 感应电动机
inertial force,[化] 惯性力
inertial system,惯性系
infrasonic wave,[化] 次声波
initial phase,[计] 初始阶段
initial velocity,[化] 初速; 初速度
instantaneous power,[电] 瞬时功率
instantaneous velocity,[化] 瞬时速度
insulated conductor,[化] 绝缘导体; 绝缘导线
insulating medium,[化] 绝缘介质
intensity of sound,[化] 声强
interference fringe,[化] 干涉条纹
interference pattern,
interferometer,"n. 干涉仪
"
internal circuit,内电路
internal energy,[化] 内能; 内部能量
internal force,[化] 内力
internal resistance,[化] 内阻; 内电阻
internal voltage,内电压
inverted image,
invisible light,[化] 不可见光
ion beam,[化] 离子束
irreversible process,[化] 不可逆过程
Isaac Newton,艾萨克·牛顿（英国物理学家和数学家以及天文学家）
isobar,"n. 等压线, 同重元素, 同重核
"
isobaric process,[化] 等压过程
isochoric process,[化] 等体过程; 等体积过程; 等容过程
isothermal process,[化] 等温过程
isotropy,
James Prescott Joule,[网络] 詹姆斯·普雷斯科特·焦耳；詹姆士斯科特焦耳；詹姆士·普雷斯科特·焦耳
Jospeh Louis Gay-Lussac,无
joule,"n. 焦耳
"
Joule heat,[化] 焦耳热
Joule energy,焦耳能量
Joule's law,[化] 焦耳定律
Kelvin,
Kepler,"n. 开普勒（德国天文学家, 物理学家, 开普勒定律的发现者）；开普勒环形山（在月球东北象限, 直径为35公里）"
Kepler's law,[网络] 开普勒定律；凯普勒定律；刻卜勒定律
kinematics,"n. 运动学
"
kinetic energy,
energy of motion,动能
Laplace's equation,【数学】拉普拉斯方程
law of conservation of angular momentum,角动量守恒定律
law of conservation of energy,[化] 能量守恒定律; 能量守恒与转化定律
law of conservation of mass,[化] 质量守恒定律
law of conservation of mechanical energy,机械能守恒定律
law of conservation of momentum,[化] 动量守恒定律
law of electric charge conservation,无
law of resistance,电阻定律
law of universal gravitation,万有引力定律
the International system of Units,无
SI,"abbr. 国际单位制（源自法语 Système International）
n. 【乐】长音阶的第七音
"
left-hand rule,[化] 左手定则
lens formula,[化] 透镜公式
Lenz's law,[电] Lenz's定律
lepton,"n. 轻子, 雷普顿(希腊货币单位)
"
light source,
light wave,
lightning rod,"避雷针
"
line spectrum,[化] 线状谱
line voltage,[化] 线电压
linear velocity,[化] 线速度
lines of current,无
lines of force of electric field,无
liquefaction,"n. 液化, 溶解, 液化作用
"
liquefaction point,液化点
liquid crystal,
longitudinal wave,
Lorentz force,[化] 洛伦兹力
luminous intensity,
magnetic electricity,[医] 磁电
magnetic field,"磁场
"
magnetic field force,无
magnetic field intensity,[化] 磁场强度
magnetic field line,[化] 磁场线
magnetic flux,[化] 磁通量
magnetic induction flux,磁感应束
magnetic induction line,[化] 磁感线; 磁感应线
magnetic intensity, 磁场强度，磁化强度，磁场强度
magnetic material,[化] 磁性材料
magnetic needle,[化] 磁针
magnetic pole,[化] 磁极
magnetization,"n. 磁化
"
magnifier,"n. 放大镜, 放大器
"
man-made earth satellite,人造地球卫星
mass defect,
mass-energy equation,【物理学】 (表示质与能关系的)质能方程
matter wave,物质波
Maxwell's equations,[网络] 麦克斯韦方程组；马克士威方程式；麦克斯事方程
mean kinetic energy,平均动能
mean speed,[化] 平均速率
mean velocity,[化] 平均速度
mechanical energy,[化] 机械能
mechanical motion,[化] 机械运动
mechanical vibration,
mechanical wave,[化] 机械波
mechanical work,[化] 机械功
melting fusion,无
melting point,"熔点
"
metre rule,[化] 米尺
Michael Faraday,[网络] 法拉第；家法拉第；迈克尔·法拉第
microdetector,[电] 灵敏电流计
micrometer caliper,"千分卡尺
"
microscopic particle,[化] 微观粒子
mirror reflection,[化] 镜反射; 镜面反射; 镜像反射
mixed unit system,无
modern physics,[化] 近代物理; 近代物理学
molar volume,[化] 摩尔体积
molecular spectrum,[化] 分子光谱
molecular structure,
moment of force,[化] 力矩
momentum of electromagnetic field,电磁场动量
monocrystal,"n. 单晶体
a. 单晶的"
motion for body projected horizontally,无
motion of body projected obliquely,无
motion of body projected vertically upward,无
multimeter universal meter,无
musical quality,[化] 音色
mutual inductance,
natural frequency,
natural light,[化] 自然光
natural period,[计] 自然周期
natural vibration,[化] 固有振动
negative charge,
negative crystal,
negative ion,"阴离子
"
negative plate,
neutral plane,[电] 中和平面
newton,"n. 牛顿
"
Newton's first law,[网络] 牛顿第一定律
Newton's second law,[网络] 牛顿第二定律；牛顿第二运动定律
Newton's third law,[网络] 牛顿第三定律；牛顿第三运动定律
Nikola Tesla,[网络] 特斯拉；尼古拉特斯拉；台斯拉
non-crystal,非晶体的
nonequilibrium state,"un. 不平衡状态
"
non-soakage,无
nuclear energy,
nuclear force,
null gravity,"失重状态,零重力"
zero gravity,"零重量, 无重量, 失重"
condensation nucleus,凝结核
object distance,[化] 物距
object height,[化] 物高
Oersted's experiment,无
Ohm's law,[网络] 欧姆定律；欧姆订律
ohmmeter,"n. 欧姆计, 电阻表
"
open circuit,
optical bench,[化] 光具座
optical centre of lens,[化] 透镜光心
optical fiber,
optical glass,[化] 光学玻璃
optical instrument,[化] 光学仪器
optical lever,
optical path,
optical path difference,[化] 光程差
optically denser medium,[化] 光密介质
optically thinner medium,[化] 光疏介质
oscillating current,"[医] 振荡电流, 振动电流"
oscillatory circuit,[电] 振荡电路
oscillograph,"n. 示波器
"
parallel connection of condensers,无
parallelogram,"n. 平行四边形
"
parallelogram law,平行四边形法则
rule,"n. 规则, 统治, 控制, 支配, 规律, 标准, 章程, 破折号, 铅线
vt. 规定, 统治, 管理, 控制, 支配, 裁决
vi. 统治, 管辖, 裁定
"
parallel-resonance circuit,并联共振[谐振]电路
Pascal's law,[医] 帕斯卡耳氏定律(液体压)
pendulum length,摆长
perfect tester,无
perfect conductor,
perfect elastic collision,[化] 完全弹性碰撞
perfect inelastic collision,[化] 完全非弹性碰撞
permanent magnet,
permittivity,"n. 介电常数, 电容率
"
permittivity of vacuum,[化] 真空电容率; 真空介电常量
phase voltage,[化] 相电压
photocurrent,"n. 光电流
"
photoelectric cell,[网络] 光电池；光电管
photoelectric effect,光电效应
photoelectron,"n. 光电子
"
physical balance,[化] 物理天平
physical model,物理[实体]模型
physical quantity,
piezometer,"n. 压力计, 压强计
"
Planck constant,[化] 普朗克常数; 普朗克作用量子
plastic deformation,[化] 塑性变形
point charge,[化] 点电荷
polarized light,
polycrystal,"n. 多晶体
"
poor conductor,
positive charge,
positive crystal,[化] 正晶体
positive electrical charge,n. 正电荷
positive ion,
positive plate,
positron,"n. 正电子
"
potential energy,"势能
"
potentiometer,"n. 电位计, 分压计
"
power supply,"电源
"
power source,
primary coil,
principle of constancy of light velocity,光速不变原理
projectile motion,[化] 抛体运动
pulley block,"滑轮组
"
quantity of electrical charge,无
quantity of heat,热量
quantization,"n. 量子化
"
quantum mechanics,
quantum number,
Raber Boyle,无
radiating object,无
radioactive decay,[网络] 放射衰变
radioactive isotope, [医]放射性同位素
radioactive source,
radius of gyration,[化] 回转半径; 转动半径
random motion,[化] 无规运动
rated output,
rated voltage,[化] 额定电压
reacting force,[化] 反作用力
real image,
real object,[化] 实物
rectilinear motion with constant acceleration,无
reference frame,
reference system,[化] 参考系
reflected angle,反射角
reflected ray,[化] 反射线
reflection coefficient,
reflection law,[化] 反射定律
reflectivity,"n. 反射率
"
refracted angle,[电] 折射角
refracted ray,[化] 折射线
refraction coefficient,[化] 折射系数
refraction law,[化] 折射定律
refractive index,[化] 折光率; 折射率
relative humidity,[化] 相对湿度
resistivity,"n. 抵抗力, 电阻系数
"
resistance,"n. 抵抗力, 反抗, 耐力, 阻力, 电阻
"
resultant force,[化] 合力
net force,净力
right-hand rule, 右手定则
rotational axis,旋转轴(线)
Rutherford's Model,拉瑟福德模型
scalar,"n. 数量, 纯量
a. 数量的, 分等级的, 梯状的
"
scalar field, 纯量场
second cosmic velocity,[化] 第二宇宙速度
selective absorption,
self-induced electromotive force,无
self-inductance,自感现象
self-induction phenomenon,无
semi-transparent film,[化] 半透膜; 半透明膜
sensitive galvanometer,灵敏电流计
sensitometer,"n. 感光计, 曝光表
"
series connection of condensers,无
series-resonance circuit,串联共振电路
short circuit,"短路
"
short sight,[化] 近视
shunt resistor,分流电阻器
significant figure,
simple harmonic motion,[化] 简谐运动
SHM,[网络] 简谐运动；简谐振荡；私人
simple harmonic wave,[化] 简谐波
simple pendulum,[化] 单摆
sine alternating current,无
single crystal,
single slit diffraction,[化] 单缝衍射
sinusoidal alternating current,无
sinusoidal current,
sliding friction,[化] 滑动摩擦
sliding friction force,无
soakage,"n. 浸润, 浸渍, 浸透, 渗透量"
solar cell,
solenoid,"n. 螺线管
"
solidifying point,[化] 凝固点
solvation,n. [化学] 溶解；[化学] 溶剂化作用；溶化
sound source,[化] 声源
sound velocity,[化] 声速
sound wave,[化] 声波
spaceship,n. 宇宙飞船
spacecraft,n. 航天飞船
spark discharge,[电] 火花放电
special relativity,[化] 狭义相对论
specific heat capacity,【物理学】；比热；(原指)一物质与标准物质的热容量之比
spectacles,"n. 眼镜
"
spectral analysis,[化] 光谱分析; 光谱分析法
spectral line,
spectrograph,"n. 光谱仪, 摄谱仪
"
spectrography,"n. 摄谱仪使用法, 分光摄象仪使用法
"
spectroscopy,"n. 光谱学
"
spherical mirror,[化] 球面镜
spontaneous radiation,[化] 自发辐射
spring balance,"弹簧秤
"
stabilized current supply,[化] 稳流电源
stabilized voltage supply,[化] 稳压电源
standard atmospheric pressure,[化] 标准大气压
standard cell,
standing wave,"驻波
"
static friction,[化] 静摩擦
static friction force,静摩擦力
stationary state,
steady current source,无
steady current,
steady voltage source,无
steam point,[化] 汽点
stiffness,"n. 坚硬, 呆板, 刻板
"
stimulated radiation,[化] 受激辐射
stopwatch,"n. 计时表, 码表"
sublimation,"n. 净化, 升华作用, 高尚化
"
superconduct,"vi.vt. 显示超导性, 无电阻导电, 起超导性作用"
superconductivity,"n. 超导性, 超导电性
"
superconductor,"n. 超导体, 超导电体
"
superposition principle of electric field,无
superposition theorem,[计] 叠加定理
supersaturation,"n. 过度饱和
"
supersonic speed,[化] 超声速
supersonic wave,超音波
ultrasound wave,[化] 超声波
supply transformer,[化] 供电变压器
surface resistance,[化] 表面电阻
surface tension,
system of concurrent forces,[化] 共点力系
system of particles,[化] 质点系
system of units,[化] 单位制
systematic error,[化] 系统误差
terminal voltage,[化] 端电压
the law of gravity,万有引力定律
the magnetic earth,无
theorem of kinetic energy,[化] 动能定理
theorem of momentum,[化] 动量定理
theoretical physics,[化] 理论物理; 理论物理学
thermal capacity,
thermal energy,热能
thermal equilibrium,[化] 热平衡
thermal motion,[化] 热运动
thermal transmission,[化] 传热
thermodynamic scale of temperature,热力学温标
thermometric scale,[化] 温标
thermonuclear reaction,[化] 热核反应
thick lens,[化] 厚透镜
thin lens,[化] 薄透镜
third cosmic velocity,[化] 第三宇宙速度
Thomson's model,无
three-phrase alternating current,无
torsion balance,
total internal reflection,[电] 总内部反射
total reflection,[化] 全反射
transmission line,"传输线, 波导线
"
transmissivity,"透射比,透射率,透射系数"
transverse wave,
triboelectrification,n. [电]摩擦生电
triode,"n. 三极管
"
tuning fork,"音叉
"
turbulent flow,
ultraviolet ray,紫外线
umbra,"n. 阴影, 本影, 暗影
"
undulatory property,[化] 波动性
uniform dielectric,[化] 均匀电介质
uniform electric field,匀强电场
uniform magnetic field,[计] 均匀磁场
uniform motion,[化] 匀速运动
uniform rectilinear motion,无
universal constant,
universal gravitation,n. 万有引力
vacuum tube,"真空管, 电子管
"
value of amplitude,无
vernier,"n. 游尺, 游标, 游标尺
"
vernier caliper,[化] 游标卡尺
vibrational wave,无
viewing angle,[化] 视角
viewing field,[化] 视场
virtual image,
virtual object,[化] 虚物
visible light,
voltage divider,
voltage division circuit,无
voltaic cell,[化] 伏打电池
voltmeter,"n. 伏特计
"
voltmeter-ammeter method,[网络] 电压电流表法
vortex electric field,无
wave crest,[电] 波顶
wave equation,
wave theory,
wave velocity,[电] 波速
wave-particle dualism,[化] 波粒二象性
white light,[化] 白光
Wilhelm Conrad Rontgen,无
Wilhelm Weber,无
work function,[化] 逸出功; 自由能; 亥姆霍兹自由能
Young experiment,[化] 杨实验; 杨氏实验
zero line,[化] 零位线; 基准线
numeration,"n. 计算, 命数法, 数字的读法"
trapezoid,"n. 梯形, 不规则四边形
"
edge,"n. 边缘, 尖锐, 刀刃, 优势
vt. 使锐利, 挤进, 镶边
vi. 缓缓移动"
midpoint,"n. 中点, 一半"
inequality,"n. 不平等, 不同, 不平坦, 不平均
n. 不平等, 不等式
"
division,"n. 分, 分开, 除法, 部门(如部、处、系等), 师
"
