evident,"a. 显然的, 明显的"
rectify,"vt. 订正, 矫正, 改正, 调正, 校正, 精馏, 整流
"
recur,"vi. 复发, 回到, 重现, 再来, 诉诸, 采用, 循环"
redundant,"a. 多余的, 过多的, 冗长的
"
refer,"vt. 提交, 归诸于, 把...提交, 使求助于
vi. 提到, 涉及, 查阅, 查询, 咨询"
reference,"n. 参考, 索引, 参照
vt. 给...加上参考资料
vt. 引用
vi. 引用
"
refine,"vt. 精炼, 净化, 使优雅, 使精炼
vi. 被精炼, 被净化"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
refrain,"n. 重复的话, 叠句, 副歌
vi. 节制, 避免, 克制"
refutation,"n. 反驳, 辩驳, 反驳的证据
"
regard,"n. 关心, 注意, 尊敬, 关系, 问候
vt. 视为, 注意, 考虑, 和...有关, 看待
vi. 注视, 注意"
register,"n. 寄存器, 记录, 登记簿, 注册
vt. 记录, 注册, 提示, 表达, 把...挂号
vi. 登记, 注册, 挂号
"
regret,"n. 遗憾, 后悔, 悔恨, 抱歉, 歉意
vt. 为...感到遗憾, 后悔, 惋惜, 懊悔, 抱歉
vi. 感到抱歉"
reinforce,"vt. 加强, 增援, 补充
vi. 求援, 得到增援
n. 加固材料"
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
rejoice,"vt. 使欢喜
vi. 欣喜, 高兴, 庆祝"
relay,"n. 驿马, 替班, 中继, 接力
vt. 分程传递, 转播, 使接替
vi. 接力传送, 转播"
release,"n. 释放, 发泄, 豁免, 发行, 释放证书
vt. 释放, 解除, 放松, 豁免, 免除, 发布, 放弃, 让与
n. 发布
"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
relieve,"vt. 减轻, 救济, 解除, 使免除, 换...的班, 使得到调剂, 使不单调, 衬托, 使显著
vi. 救济, 当替补投手, 呈鲜明突出"
reluctant,"a. 不情愿的, 勉强的
"
rely,"vi. 信赖, 依赖, 信任"
reliable,"a. 可靠的, 可信赖的
"
remarkable,"a. 不平常的, 值得注意的, 显著的"
reminder,"n. 提醒的人, 暗示
"
remote,"a. 遥远的, 偏僻的, 疏远的, 微少的
"
renege,"vi. 违例出牌, 食言, 毁约
vt. 否认, 放弃, 拒绝
n. 出牌违例"
renounce,"vt. 拒绝, 放弃, 否认, 垫牌
vi. 垫牌, 声明放弃权利
n. 垫牌"
repay,"v. 偿还, 报答, 报复"
repel,"vt. 逐退, 抵制, 使厌恶, 抗御
vi. 使厌恶, 相互排斥"
repent,"vi. 后悔, 懊悔, 忏悔
vt. 后悔
a. 匍匐生根的"
reproach,"n. 责备, 耻辱
vt. 责备, 申斥, 使丢脸"
reputation,"n. 名誉, 名声, 声望
"
require,"vt. 需要, 命令, 要求
"
resemble,"vt. 相似, 类似"
resent,"vt. 愤恨, 憎恶, 怨恨"
reserve,"n. 储备品, 贮量, 后备军, 自然保护区, 保留, 拘谨, 节制, 储备金
vt. 保留, 保存, 预订, 延期, 推迟"
reside,"vi. 住, 居留, 属于
"
resign,"vt. 辞职, 放弃, 使顺从
vi. 辞职, 屈从"
resist,"v. 抵抗, 耐得住, 抵制, 反抗
n. 防染材料"
resolve,"vi. 决定, 分解, 决心
vt. 使分解, 解析, 解决, 消除, 决心
n. 决定之事, 决心, 坚决"
resonance,"n. 共鸣, 回声, 反响, 谐振, 共振
"
resort,"n. 度假胜地, 手段, 凭借, 常去之地
vi. 诉诸, 常去"
respect,"n. 尊敬, 尊重, 问候
vt. 尊敬, 注意, 遵守"
respectable,"a. 值得尊重的, 人格高尚的, 相当数量的
n. 品格高尚的人"
respectful,"a. 表示尊敬的, 有礼貌的, 谦恭的"
respective,"a. 分别的, 各自的"
respire,v. 呼吸
respond,"vt. 以...回答
vi. 回答, 响应, 回报, 有反应, 承担责任"
restore,"vt. 回复, 恢复, 归还, 修补, 修复
vt. 还原
vi. 还原
"
restriction,"n. 限制, 限定, 约束
"
restrain,"vt. 抑制, 阻止, 束缚
"
resume,"vt. 重新开始, 取回, 恢复
vi. 再开始
n. 摘要, 个人简历
"
retail,"n. 零售
a. 零售的
vt. 零售, 详述, 传播
vi. 零售"
retain,"vt. 保持, 保有, 留住, 记得, 付定金聘请
"
retreat,"n. 休息寓所, 撤退, 隐居, 退避
vi. 撤退, 隐退, 向后倾
vt. 退(棋)"
retribution,"n. 报应, 惩罚, 报酬
"
retrospect,"n. 回顾, 追忆, 回溯
v. 回顾, 追忆"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
revenge,"n. 报仇, 复仇, 报复
vt. 报仇, 报复"
revenue,"n. 收入, 岁入, 税收, 税务局
"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
"
revise,"n. 校订, 修正, 改样
vt. 校订, 修正, 校正"
review,"n. 检讨, 复习, 回顾, 检阅, 评论
vt. 温习, 检讨, 评论, 再检察, 复审
vi. 复习功课, 写评论"
revival,"n. 复兴, 复活, 恢复精神, 苏醒
"
revoke,"vt. 撤回, 废除
vi. 藏牌
n. 藏牌
"
revolve,"v. (使)旋转, 反复考虑, 循环出现"
reward,"n. 报酬, 酬谢, 赏金
vt. 奖赏, 酬谢, 给...应有报应"
ridiculous,"a. 荒谬的, 可笑的"
rigorous,"a. 严厉的, 严酷的, 严格的, 苛刻的, 严密的, 精确的"
robotics,"[计] 机器人学, 自动机工程学"
rotate,"a. 辐状的
vt. 使旋转, 使转动, 使轮流
vi. 旋转, 循环
"
routine,"n. 常规, 日常工作, 惯例, 例行公事
a. 日常的, 常规的
"
rhythm,"n. 旋律, 节奏, 韵律, 匀称, 张弛节律
"
sacrifice,"n. 牺牲, 供奉, 祭品
vt. 牺牲, 祭祀, 贱卖
vi. 献祭"
satire,"n. 讽刺文学, 讽刺"
saturate,"vt. 使渗透, 浸透, 使充满, 使饱和
a. 浸透的, 饱和度高的, 深颜色的
n. 饱和化合物, 饱和脂肪酸"
scale,"n. 刻度, 衡量, 比例, 比例尺, 数值范围, 等级, 规模, 天平, 秤, 鳞, 积垢
vt. 依比例决定, 攀登, 测量, 绘制, 刮鳞, 使生垢, 过秤
vi. 剥落, 生水垢, 重量为, 攀登, 衡量
"
scarce,"a. 难得的, 稀罕的, 缺乏的"
scatter,"n. 消散, 分散, 散播, 散射, 散布, 酒馆
vi. 散布, 散播, 消散
vt. 使消散, 使分散, 撒, 散布, 散播, 散射
"
scapegoat,"n. 替罪羔羊, 替人顶罪者, 替身
"
sceptical,"a. 怀疑论的, 怀疑的"
scholar,"n. 学者, 奖学金获得者, 有文化者, 学习者"
scold,"n. 好骂街的人, 责骂
v. 责骂"
scorn,"n. 轻蔑, 藐视, 嘲笑, 被嘲弄的人
vt. 轻蔑, 不屑做"
scout,"n. 守候, 侦察, 搜索, 侦察员, 侦察机
vi. 守候, 侦察, 巡视, 嘲笑
vt. 侦察, 跟踪, 发现, 监视, 嘲弄"
scrutinize,"vt.vi. 细看, 仔细检查, 审查, 细阅
"
section,"n. 区段, 部分, 区域, 节, 截面, 处, 科, 区, 扇区
vt. 把...分段, 把...切片
vi. 被切成片
"
sector,"n. 扇形, 部门, 部分, 函数尺, 象限仪, 段, 区段
vt. 把...分成扇形
"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
semester,n. 学期
sensible,"a. 有感觉的, 敏感的, 明智的
"
sensitive,"a. 敏感的, 易感的, 灵敏的, 感光的
"
sentimental,"a. 感伤的, 感情用事的"
session,"n. 期间, 开庭期, 会议, 学期
"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
"
shield,"n. 盾, 防卫物, 保护者, 屏蔽
vt. 保护, 遮蔽, 屏蔽, 庇护, 挡开, 避开
vi. 起保护作用"
shrewd,"a. 精明的, 锐利的, 剧烈的, 机灵的, 厉害的"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
signify,"vt. 象征, 预示
vi. 要紧, 重要"
simulate,"vt. 模拟, 假装, 模仿
"
simultaneous,"a. 同时的, 同时发生的
"
sincere,"a. 诚实的, 正直的, 真挚的, 纯净的"
slack,"n. 松弛, 松懈, 淡季, 闲散, 家常裤
a. 松弛的, 不流畅的, 疏忽的, 无力的, 呆滞的, 软弱的, 漏水的
adv. 马虎地, 缓慢地
vt. 放松, 使缓慢
vi. 松懈, 减弱, 松弛"
slight,"n. 轻蔑, 怠慢
a. 轻微的, 纤细的, 脆弱的, 苗条的
vt. 轻视, 忽略, 怠慢"
slim,"a. 瘦的, 苗条的, 微小的, 稀少的, 微薄的
vi. 变苗条
vt. 使苗条"
slit,"n. 裂缝, 投币口, 狭长裂口
vt. 切开, 扯裂, 使有狭缝
vi. 纵切, 纵裂"
smash,"n. 打碎, 粉碎, 打碎时哗啦声, 猛击, 扣球, 杀球, 经营失败, 破产, 硬币, 假硬币
a. 非常轰动的, 了不起的
vt. 打碎, 粉碎, 击溃, 使破产, 使裂变, 使用假硬币
vi. 碎裂, 猛撞, 破产, 扣球, 杀球
adv. 轰隆一声, 哗啦一声"
smog,"n. 烟雾
"
snatch,"n. 抢夺, 攫取, 片断
vt. 夺取, 攫取
vi. 想抢走, 攫取"
snobbish,"a. 自命不凡的, 势利的"
solely,"adv. 仅仅, 单独地"
speciality,"n. 专长, 擅长, 特种技能, 详细说明, 特性, 特产, 专业
"
specialist,"n. 专门医师, 专家
a. 专业的, 专家的"
spectacle,"n. 引人羡慕的东西, 景象, 眼镜, 场面, 公开展示"
spectator,"n. 观众, 目击者, 旁观者"
speculate,"vi. 深思, 推测, 投机
"
sphere,"n. 球, 球面, 球体, 天体, 地球仪, 范围
vt. 包围, 使成球体, 放入球内"
splash,"n. 飞溅, 污点, 一点儿, 溅泼声, 色斑
vi. 溅湿, 溅开, 飞溅
vt. 溅, 泼, 使溅起水, 洒, 使成斑驳状"
spook,"n. 幽灵, 鬼
vt. 惊吓, 鬼怪般地出没
vi. 惊吓而逃窜, 受惊"
spontaneity,"n. 自然发生, 自生, 自发"
spur,"n. 马刺, 刺激物, 鼓舞
vt. 刺激, 激励, 用马刺策(马)前进
vi. 用马刺驱马, 疾驰"
squeeze,"n. 紧握, 挤, 榨, 榨取, 佣金
vt. 紧握, 挤, 榨取
vi. 压榨, 榨"
stable,"n. 马房, 牛棚
a. 稳定的, 安定的, 坚固的, 坚定的
vt. 赶入马房
vi. 被关在马厩"
stain,"n. 污染, 污点, 着色剂
vt. 沾染, 染污, 着色
vi. 变脏"
stake,"n. 桩, 炮烙刑, 木柱, 赌注, 奖金
vt. 打桩, 用桩撑, 下赌注, 资助
vi. 打赌"
stakeholder,"n. 赌金保管者
"
stationary,"a. 不动的, 静止的, 不变的, 固定的, 停留的
"
steer,"vt. 引导, 驾驶, 航行, 控制
vi. 驾驶, 掌舵, 行驶
n. 驾驶指示, 劝告"
stern,"n. 尾部, 船尾, 臀
a. 严厉的, 严格的, 坚定的, 坚决的"
steward,"n. 管理人, 招待员, 管家, 乘务员
"
stimulus,"n. 刺激, 激励, 刺激品
"
strain,"n. 紧张, 拉紧, 张力, 过劳, 扭伤, 血缘, 种, 族, 气质, 曲调, 旋律, 口吻
vt. 使劳累, 拉紧, 过分使用, 扭伤, 滥用, 曲解, 滤
vi. 尽力, 努力, 紧拉, 弯曲, 被滤出"
strategic,"a. 战略的, 战略上的
"
stretch,"n. 伸展, 张开, 连绵, 一段路, 一段时间
a. 可伸缩的, 弹性的
vt. 伸展, 张开, 曲解, 使过度伸展
vi. 伸展, 延伸
"
strengthen,"vt. 加强, 变坚固
vi. 变强, 股票上涨"
striking,"a. 醒目的, 惊人的, 打击的, 罢工的
"
string,"n. 线, 细绳, 一串, 字符串
vt. 串起, 成串, 收紧, 缚, 扎
vi. 成一串
"
stubborn,"a. 顽固的, 不听话的, 执拗的, 棘手的"
stumble,"n. 绊倒, 蹒跚而行, 失足
vt. 使绊倒, 使困惑
vi. 绊倒, 失足, 失策, 犯错, 蹒跚, 踌躇"
stunning,"a. 打昏迷的, 弄得人昏头昏脑的, 令人震惊的"
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
submillimeter, 亚毫米
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
subordinate,"n. 属下, 附属物
a. 下级的, 次要的, 附属的
vt. 使居下位, 使服从"
subscribe,"vt. 捐献, 签署
vi. 赞成, 同意, 捐款, 预订, 认购
"
subsequent,"a. 后来的, 接下去的
"
subside,"vi. 沉淀, 沉降, 平息"
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
"
subtle,"a. 敏锐的, 精细的, 狡猾的, 稀薄的, 灵巧的, 微妙的
"
subtract,"vt. 减去, 扣掉, 减少
vi. 做减法
"
succeed,"vi. 成功, 继承, 继续
vt. 继承, 接替"
sufficient,"a. 充分的, 足够的
"
suicide,"n. 自杀, 自杀者
v. 自杀
a. 自杀的"
summon,"vt. 召唤, 召集, 号召, 振奋, 唤起, 鼓起
"
superb,"a. 极度的, 华丽的, 极好的"
superficial,"n. 表面, 外表
a. 表面的, 肤浅的, 面积的"
superfluous,"a. 多余的, 过剩的"
supersonic,"a. 超声波的
"
superstition,"n. 迷信
"
supervise,"v. 监督, 管理, 指导"
supplement,"n. 补充物, 增刊, 补充, 补遗, 补编, 附录, 补角
vt. 补充, 增补"
suppress,"vt. 镇压, 使止住, 禁止, 抑制, 查禁
"
supreme,"n. 至高, 霸权
a. 至高的, 终极的, 极端的, 最大的"
surge,"n. 巨涌, 汹涌, 澎湃
vi. 汹涌, 澎湃, 颠簸, 猛冲, 突然放松
vt. 使汹涌奔腾, 急放
"
surpass,"vt. 超越, 凌驾, 胜过"
surplus,"n. 剩余, 过剩, 盈余
a. 过剩的, 剩余的"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
susceptible,"a. 易受影响的, 易感动的, 容许...的
"
suspect,"n. 被怀疑者, 嫌疑犯
a. 令人怀疑的, 不可信的, 可疑的
v. 怀疑, 猜想"
suspend,"vt. 悬, 吊, 使悬浮, 暂停, 中止, 推迟
vi. 暂停, 中止, 悬浮, 停止偿付债务
"
sustain,"vt. 承受, 支持, 供养, 继续, 忍受, 蒙受, 证实, 准许
"
swarm,"n. 群, 大群, 蜂群, 分蜂群
vi. 分群, 群集, 聚集一块, 云集, 攀
vt. 挤满, 爬, 攀"
swing,"n. 摇摆, 振幅, 音律, 节奏, 涨落, 秋千, 旋转, 行动自由
vi. 摇摆, 悬挂, 旋转, 大摇大摆地走, 转向
vt. 挥舞, 使旋转, 使转向, 悬挂, 吊运
a. 旋转的, 悬挂的, 强节奏爵士音乐的"
switch,"n. 开关, 电闸, 转换, 软枝, 鞭子, 道岔
vt. 转变, 切换, 摆动, 转换, 使转轨
vi. 转换, 变换, 摆动
"
symmetry,"n. 对称, 匀称
"
sympathy,"n. 同情, 赞同, 怜悯, 慰问, 吊唁
"
symposium,"n. 讨论会, 座谈会, 专题报告会, 专题论文集"
symptom,"n. 症状, 征候, 征兆
"
synthesis,"n. 综合, 组织, 综合体
"
tactic,"n. 一项战术, 一条策略
a. 战术的, 顺序的, 排列的"
talent,"n. 天才, 才能, 有才干的人, 天资"
temper,"n. (钢等的)硬度, 脾气, 心情, 中和剂, 倾向, 回火
vt. 使回火, 锻炼, 调和, 使缓和
vi. 回火"
temporary,"a. 暂时的, 临时的
n. 临时工, 临时雇员
"
tempt,"vt. 诱惑, 引诱, 引起...的兴趣, 吸引, 冒...风险"
tend,"vi. 走向, 有某种的倾向, 易于, 照顾, 注意
vt. 照料, 护理"
intend,"vt. 计划, 打算, 意思是
"
tense,"a. 紧张的, 拉紧的
v. (使)紧张, (使)拉紧
n. 时态"
terminal,"n. 终端机, 终点, 末端, 极限, 终点站
a. 终点的, 定期的, 致死的, 结尾的, 末端的, 晚期的
"
terrify,"vt. 使恐惧, 恐吓"
territory,"n. 领土, 领地, 版图, 地区, 活动范围
"
testify,"v. 证明, 作证, 声明, 表明"
thermostat,"n. 自动调温器, 温度自动启闭装置
"
thrive,"vi. 繁荣, 兴旺, 茁壮成长
"
throne,"n. 王座, 君主"
thumb,"n. 拇指
vt. 以拇指拨弄, 笨拙地摆弄, 用拇指翻旧, 迅速翻阅, 作搭车手势"
token,"n. 表征, 记号, 代币
a. 象征的, 表意的
"
tolerate,"vt. 宽容, 容许, 有耐力"
tone,"n. 音调, 音质, 语调, 语气, 色调, 气氛, 状况, 思想状态
vt. 给...定色调, 增强, 使...的声调和谐, 定音调
vi. 颜色调和
"
torture,"n. 拷问, 苦闷
vt. 拷问, 曲解, 折磨, 使弯曲"
toss,"n. 投掷, 抛, 摇摆, 震荡, 掷钱币决定
vt. 投掷, 猛抬, 摇荡, 使不安, 掷钱币决定
vi. 被到处扔, 摇摆, 颠簸, 辗转, 掷钱币决定某事"
transaction,"n. 交易, 办理, 学报, 和解协议
"
transfer,"n. 迁移, 移动, 传递, 转让, 转移, 过户, 汇兑, 换车
vt. 使转移, 调转, 调任, 改变, 传递, 转让
vi. 转移, 转学, 转职, 换车
"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
transistor,"n. 晶体管
"
transition,"n. 转变, 转换, 变迁, 过渡时期, 临时转调
"
transmit,"vt. 传输, 传染, 传达, 遗传, 发射, 传播
vi. 发射信号, 留传下来
"
transplant,"vt. 使移居, 移植, 使迁移
vi. 移居, 耐移植
n. 移居者, 移植"
triumph,"n. 凯旋, 胜利, 欢欣
vi. 得胜, 成功"
turbulent,"a. 狂暴的, 骚乱的, 紊乱的"
turnover,"n. 翻倒, 翻转, 半圆酥饼, 营业额, 流通, 周转
a. 可翻转的"
typical,"a. 典型的, 象征性的
"
ultimate,"n. 终极, 根本, 顶点, 基本原则
a. 终极的, 根本的, 极限的, 最远的, 最后的, 最大的"
underlying,"a. 在下面的
"
undermine,"vt. 在...下面挖, 渐渐破坏, 暗地里破坏
"
undertreatment,处理不足
undulate,"a. 波动的, 起伏的
vi. 波动, 起伏, 呈波浪形
vt. 使起伏, 使波动"
unfocused,a. 不聚成焦点的
unfold,"vt. 展开, 打开, 披露, 开展, 挑明
vi. 伸展, 开花, 呈现"
uniform,"n. 制服
a. 统一的, 一律的, 始终如一的"
unique,"a. 独一无二的, 独特的, 稀罕的"
universe,"n. 宇宙, 星系, (思想等)范围"
upfront,"a. 正直的, 坦率的; 最前面的, 首要的; 在前面的; 预先的
adv. 在最前面; 提前支付（工资）"
uphold,"vt. 支撑, 赞成, 鼓励, 举起, 坚持
"
upset,"a. 弄翻的, 混乱的, 心烦的
vt. 弄翻, 颠覆, 推翻, 打乱, 使不适, 使心烦
vi. 翻倒"
vacant,"a. 空的, 空白的, 空虚的, 空闲的, 茫然的, 空缺的
"
vaccine,"n. 牛痘苗, 疫苗
a. 疫苗的, 牛痘的"
vacuum,"n. 真空, 空间, 真空吸尘器
a. 真空的, 产生真空的, 利用真空的
vt. 用吸尘器打扫"
vague,"a. 含糊的, 不清楚的, 茫然的"
valueless,"a. 无价值的, 不值钱的
"
vanish,"vi. 消失, 不见, 成为零"
vanity,"n. 虚荣心, 虚无, 自负, 空虚, 时髦的小摆饰"
variable,"n. 易变的事物, 变数, 可变物, 变量
a. 可变的, 不定的, 易变的, 变量的
"
variation,"n. 变更, 变化, 变种, 变奏
"
velocity,"n. 速度, 迅速
"
ventilate,"vt. 使空气流通, 使通风, 公开讨论, 公开
"
verdict,"n. 裁决, 判决, 判断性意见, 定论, 结论
"
verify,"vt. 证明, 查证, 证实, 检验, 校验
"
versatile,"a. 多才多艺的, 万用的, 万向的"
version,"n. 一种描述, 版本, 译文
"
versus,"prep. 对...
"
vertical,"a. 垂直的, 直立的
"
vibrant,"a. 振动的, 战栗的, 响亮的, 活跃的"
vicious,"a. 邪恶的, 堕落的, 品性不端的, 恶毒的, 恶性的, 有错误的
"
victim,"n. 受害人, 牺牲者, 牺牲品
"
vigorous,"a. 精力充沛的, 元气旺盛的, 茁壮的, 有力的"
violent,"a. 暴力的, 猛烈的, 激烈的, 极端的, 凶暴的"
virtually,adv. 事实上
vision,"n. 视觉, 眼光, 视力, 幻想
vt. 梦见, 想象, 显示"
visual,"a. 视觉的
"
visualize,"vt. 使看得见, 使具体化, 想象, 设想
vi. 想象, 显形"
visible,"a. 看得见的, 明显的, 显然的
n. 可见物"
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
"
vocal,"a. 嗓音的, 声音的, 有声的, 歌唱的
n. 元音, 声乐作品"
void,"n. 空虚, 空间, 空白, 空隙, 空虚感
a. 空的, 无效的, 无人的, 没有的, 无用的
"
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
"
weaken,"vt. 削弱, 减弱, 使虚弱
vi. 变弱, 变软弱"
weird,"a. 怪异的, 超自然的, 不可思议的
n. 命运, 预言, 符咒"
wholesale,"n. 批发
a. 批发的, 大规模的
adv. 大规模, 照批发方式
vi. 经营批发业, 批发
vt. 批发"
withhold,"vt. 使停止, 扣留, 保留, 拒给
vi. 克制, 忍住"
worthwhile,"a. 值得花时间的, 值得做的, 有真实价值的"
zeal,"n. 热心, 热衷, 热诚"
