according to,"根据, 按照；取决于；据…所说"
canteen,"n. 水壶, 军中俱乐部, 临时流动餐馆, 小卖部"
capsule,"n. 胶囊, 蒴果, 瓶帽, 航天舱
"
carbon,"n. 碳, 副本, 复写纸
"
carpenter,n. 木匠
carpet,"n. 地毯, 地毯状物
vt. 铺以地毯, 铺盖"
carriage,"n. 马车, 客车, 举止, 运输
"
carrier,"n. 运送者, 邮递员, 带菌者
"
carrot,"n. 胡萝卜
"
carve,"v. 雕刻, 切开"
cash,"n. 现金
vt. 兑现"
cassette,"n. 盒式磁带, 珠宝箱, 暗盒
"
cast,"n. 演员阵容, 投掷, 铸件, 预测, 特性
vt. 投, 掷, 抛, 脱落, 铸, 使弯曲, 计算
vi. 投, 计算, 浇铸成型"
castle,"n. 城堡, 象棋中的车
vt. 置于城堡中, 盘踞于"
casual,"a. 偶然的, 不经意的, 便装的
n. 临时工, 待命士兵"
catalog,"n. 目录, 大学概况手册
vt. 编目录
"
catastrophe,"n. 大灾难, 大祸
"
catch,"n. 捕捉, 陷阱, 捕捉之物, 抓, 拉手
vt. 捕捉, 赶上, 感染, 听清楚
vi. 抓住, 燃着"
category,"n. 种类, 类项
"
cater,"v. 提供饮食及服务, 投合, 迎合"
catholic,"n. 天主教徒
a. 天主教的, 普遍的, 广泛的, 宽宏大量的"
cathedral,n. 大教堂
cattle,"n. 牛, 家畜
"
caution,"n. 小心, 慎重, 警示
vt. 警告
"
cautious,"a. 谨慎的, 小心的"
cave,"n. 洞, 穴
vi. 凹陷, 塌落
vt. 挖洞, 使凹陷, 损坏...的基础"
ceiling,"n. 天花板
"
cell,"n. 单元, 细胞, 电池
"
cellar,"n. 地窖, 地下室, 藏酒"
centigrade,"a. 百分度的, 摄氏的
"
centimetre,"n. 厘米, 公分"
central,"a. 中央的, 重要的
"
ceremony,"n. 典礼, 仪式, 礼节
"
certain,"a. 确定的, 某一个的, 必然的
"
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
chain,"n. 链, 枷锁, 束缚
vt. 用铁练锁住, 束缚, 囚禁"
chalk,"n. 粉笔, 白垩
vt. 用粉笔写, 记录"
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
champion,"n. 冠军, 拥护者, 战士
vt. 保卫, 拥护
a. 优胜的"
chaos,"n. 大混乱, 混沌
"
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
"
charge,"n. 指控, 费用, 冲锋, 电荷, 炸药, 主管, 被托管人, 命令
vt. 控诉, 加罪于, 使充满, 使充电, 使承担
vi. 冲锋, 要价, 收费"
chapter,"n. 章, 篇, 重要章节
"
chart,"n. 图表, 海图
vt. 制成图表
"
chat,"n. 闲谈
vi. 闲谈, 聊天"
cheat,"n. 欺骗, 作弊, 骗子
v. 欺骗, 逃脱, 骗取"
cheek,"n. 颊, 厚颜, 脸蛋
"
chef,n. 厨师
chemical,"n. 化学药品
a. 化学的, 化学上用的"
chemist,"n. 化学家, 药剂师
"
cheque,n. 支票
chest,"n. 胸, 胸部, 衣柜, 箱子
"
chew,"vt. 咀嚼, 嚼碎
vi. 咀嚼, 细想
n. 咀嚼, 咀嚼物"
chief,"n. 领袖, 酋长, 长官, 主要部分
a. 主要的, 首位的"
childhood,"n. 孩童时期
"
chimney,"n. 烟囱, 灯罩
"
choice,"n. 选择, 精选品, 选择权
a. 精选的, 挑三拣四的, 上等的
"
choke,"vt. 窒息, 阻塞, 噎, 抑制
vi. 窒息, 阻塞, 噎
n. 窒息, 噎, 阻气门"
chorus,"n. 合唱队, 齐声
v. 齐声说道, 合唱"
Christian,"n. 基督徒, 正派人
a. 基督的, 基督教的"
cigar,n. 雪茄
circuit,"n. 电路, 环(行)道, 巡回
"
circulate,"v. (使)流通, (使)循环, (使)传播"
circus,"n. 马戏团, 马戏, 竞技场"
citizen,"n. 市民, 公民
"
civil,"a. 市民的, 公民的, 有礼貌的
"
civilian,"n. 平民, 民法专家
a. 平民的, 百姓的, 民用的"
civilization,"n. 文明, 教化
"
clap,"n. 拍手, 拍手声, 霹雳声, 花柳病
v. 鼓掌, (使)啪地关上"
clarify,"vi. 澄清, 阐明
vt. 使明晰"
classic,"n. 古典作品, 杰作, 大艺术家
a. 第一流的, 最优秀的, 古典的"
classify,"vt. 分类, 归类, 分等
"
claw,"n. 爪, 螯, 抓伤
v. 用爪抓, 挖, 搜刮"
clay,"n. 泥土, 肉体, 黏土
"
click,"n. 咔哒声, 啪嗒声
vi. 作咔哒声
vt. 使发咔哒声
"
climate,"n. 气候, 社会趋势, 气候区
"
clinic,"n. 诊所, 临床教学
"
clock,"n. 时钟, 计时器, (袜子上的)绣花边花
vt. 绣花样, 记时, 记录
vi. 记录时间
"
clone,"n. 无性系
"
cloth,"n. 布料, 织品, 布
"
clothe,"vt. 给...穿衣, 盖上, 赋予"
clumsy,"a. 笨拙的, 不雅观的, 粗陋的"
coach,"n. 四轮大马车, 教练
vt. 训练, 指导
vi. 坐马车旅行, 作指导"
coal,"n. 煤, 木炭
v. 加煤"
coast,"n. 海岸, 滑坡
v. 沿海岸而行"
coincidence,"n. 巧合, 同时发生
"
collar,"n. 衣领, 颈圈
vt. 控制, 扭住衣领, 给...装上领子"
colleague,"n. 同事, 同僚"
collection,"n. 收集, 采集, (一批)收藏品, 募捐
"
collision,"n. 碰撞, 冲突, 抵触
"
comb,"n. 头梳, 鸡冠
vt. 梳头发, 梳毛
vi. (浪)涌起"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
comedy,"n. 喜剧, 有趣的事情"
comfort,"n. 舒适, 安慰, 安慰者
vt. 安慰"
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
committee,"n. 委员会
"
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
communication,"n. 交流, 交通, 通讯
"
communism,n. 共产主义
companion,"n. 朋友, 陪伴, 指南, 升降口围罩
vt. 陪伴"
compass,"n. 指南针, 范围, 音域
vt. 包围, 达到, 图谋, 理解"
compensate,"v. 偿还, 补偿, 付报酬"
compete,"vi. 竞争, 对抗"
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
"
composition,"n. 作文, 创作, 组成
"
comprehension,"n. 理解, 包含"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
compulsory,"a. 被强制的, 强迫的, 义务的
"
comrade,"n. 同志, 伙伴"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
concept,"n. 观念, 概念
"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
conclusion,"n. 结论, 结尾, 推论
"
concrete,"n. 凝结物, 混凝土
a. 具体的, 实在的, 混凝土的
v. (使)凝结, 用混凝土浇筑"
condition,"n. 情况, 条件
vt. 使健康, 以...为条件, 决定, 使适应
"
condemn,"vt. 判刑, 责备, 谴责
"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
conductor,"n. 领导者, 指挥者, 售票员, 向导
"
confidential,"a. 机密的, 获他人信赖的, 易于信任他人的
"
conference,"n. 会议
"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
congratulate,"vt. 祝贺, 庆贺"
connection,"n. 连接, 关系, 前后关系
"
conscience,"n. 良心
"
consensus,"n. 合意, 一致, 同感
"
consequence,"n. 结果, 重要性
"
conservation,"n. 保护, 保存
"
conservative,"a. 保守的, 守旧的, 有保存力的
"
considerate,"a. 体贴的, 体谅的, 考虑周到的"
consideration,"n. 考虑, 原因
"
consist,"vi. 组成, 存在于, 一致"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
"
constitution,"n. 构成, 宪法, 体格
"
construct,"vt. 构造, 建造, 对...进行构思, 作图
n. 构成物"
construction,"n. 建筑, 构造, 建筑物
"
consult,"vi. 商讨, 商量, 协商, 会诊
vt. 向...请教, 查阅, 考虑"
consultant,"n. 顾问, 征询意见者
"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
contain,"vt. 包含, 容纳, 控制
vi. 自制"
container,"n. 容器, 集装箱
"
contemporary,"n. 同时代的人
a. 同时代的, 属于同一时期的"
content,"n. 内容, 满足, 意义, 要旨
a. 满足的, 满意的
vt. 使...满足, 使...安心
"
continent,"n. 大陆, 洲
a. 自制的"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
contrary,"a. 相反的, 矛盾的, 对立的
n. 相反, 对立面
adv. 相反地"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
contribution,"n. 捐助, 捐助之物, 贡献
"
controversial,"a. 争论的, 论争的, 被议论的"
convenience,"n. 方便, 便利的事物, 方便的时候"
conventional,"a. 传统的, 习惯的, 约定的
"
convey,"vt. 传达, 运输, 转让
"
convince,"vt. 说服, 使相信
"
corn,"n. 玉蜀黍, 谷类, 谷粒, 鸡眼
vt. 使成颗粒, 腌"
corporation,"n. 公司, 合作, 法人团体
"
correspond,"vi. 符合, 通信, 相当
"
corrupt,"a. 腐败的, 贪污的, 讹误充斥的
vt. 使腐烂, 腐蚀, 使恶化
vi. 腐烂, 堕落"
cosy,"a. 温暖舒适的
n. 保暖套"
cottage,"n. 小屋, 茅舍"
cotton,"n. 棉花
vi. 和谐, 有好感, 理解"
counter,"n. 计算器, 计算者, 柜台, 筹码
a. 反方向的, 相反的
adv. 反方向地, 相反地
"
countryside,"n. 乡下地方, 乡下居民"
couple,"n. 对, 夫妇, 数个
vt. 使成双, 连接, 使成婚, 把...联系起来
vi. 结合, 成婚"
courage,"n. 勇气, 胆量"
course,"n. 课程, 路线, 过程, 一道菜, 道路
v. 追, (使)跑"
court,"n. 法院, 庭院, 奉承
vt. 献殷勤, 追求, 招致
vi. 求爱"
courtyard,"n. 庭院, 天井"
crash,"n. 哗啦声, 猛撞, 崩溃, 粗布
v. 撞碎, 破碎, (使)...坠毁
a. 速成的
"
create,"vt. 创造, 建造, 引起, 任命"
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
"
criminal,"n. 罪犯, 犯人, 刑事
a. 犯了罪的, 刑事的, 有罪的"
crew,"n. 全体人员, 一群人, 全体队员
crow的过去式"
criterion,"n. 标准, 准则, 规范
"
crop,"n. 农作物, 产量, 平头
vt. 收割, 修剪, 种植
vi. 收获
"
crowd,"n. 群众, 一伙人
vt. 拥挤, 挤满, 挤进"
cruel,"a. 残酷的, 令人极痛苦的
"
cube,"n. 立方体, 立方
"
cupboard,"n. 食橱, 碗柜, 餐具柜"
cure,"n. 治疗, 治愈, 治疗法
vt. 治疗, 治愈, 改正, 腌制, 加工处理, 使硫化
vi. 受治疗, 被加工处理, 被硫化"
curious,"a. 好奇的, 求知的, 古怪的"
currency,"n. 货币, 通货, 流通, 通用
"
curriculum,"n. 课程
"
curtain,"n. 帐, 幕, 窗帘
vt. 装帘子于, 遮蔽"
cushion,"n. 垫子, 橡皮软垫
vt. 加垫褥, 缓冲, 掩盖"
custom,"n. 习惯, 风俗, 海关, 自定义
a. 定制的
"
cycle,"n. 周期, 循环, 自行车, 一段时间, 整套
vi. 循环, 轮转, 骑自行车
vt. 使循环, 使轮转
"
daily,"a. 每日的, 日常的
adv. 每日地, 日常地
n. 日报"
dam,"n. 水坝, 障碍
v. 控制, 筑坝
"
damage,"n. 损害, 伤害
v. 损害"
damp,"n. 潮湿, 湿气
a. 潮湿的
vt. 使潮湿, 使阻尼, 抑止
vi. 变潮湿, 衰减"
dash,"n. 冲撞, 破折号, 短跑
vi. 猛冲, 冲撞
vt. 泼溅, 使猛撞, 搀和, 使破灭, 使沮丧"
data,"pl. 资料, 数据
"
database,"n. 数据库
"
dawn,"n. 破晓, 黎明
vi. 破晓"
daylight,"n. 白昼, 日光
vt. 使沐浴于日光
vi. 享有日光"
deadline,"n. 最后期限, 截止期限
"
death,"n. 死亡
"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
debt,"n. 债务, 罪过
"
decade,"n. 十年, 十"
declare,"v. 宣布, 声明, 申报, 断言"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
decorate,v. 装饰
decrease,"n. 减少, 减少量
v. 减少"
deed,"n. 行为, 实行, 契约
vt. 立契转让"
defence,"n. 防卫, 防卫设备
"
delay,"n. 耽搁, 迟滞
v. 耽搁, 延迟
"
delicate,"a. 细致优雅的, 微妙的, 美味的
"
deliver,"vt. 递送, 陈述, 释放, 发表, 引渡, 投递, 交付
"
demand,"n. 要求, 需求, 需要
v. 要求, 查询"
departure,"n. 离开, 出发, 违背, 偏离
"
deposit,"n. 存款, 定金, 堆积物
vt. 存放, 堆积
vi. 沉淀"
depth,"n. 深度, 深处, 深奥
"
description,"n. 描述, 说明, 种类
"
desert,"n. 沙漠, 应得的赏罚, 功劳
a. 沙漠的, 不毛的
vt. 放弃, 遗弃, 擅离
vi. 逃掉"
deserve,"vt. 该得到, 值得
vi. 应得报答"
design,"n. 设计, 图样, 方案, 企图
v. 设计, 计划"
desire,"n. 欲望, 要求
vt. 想要, 请求
vi. 渴望"
desperate,"a. 不顾一切的, 危急的, 令人绝望的, 极渴望的"
destination,"n. 目的地, 目标, 目的
"
detective,"n. 侦探
a. 侦探的"
determine,"v. 决定, 决心"
devote,"vt. 投入于, 献身"
diagram,n. 图表；图解
dial,"n. 刻度盘, 钟面, 转盘
v. 拨"
diamond,"n. 钻石, 菱形
"
dictation,"n. 听写, 口述, 命令"
diet,"n. 日常饮食, 议会
vt. 照规定饮食
vi. 忌食"
differ,"vi. 不一致, 不同
"
dig,"vt. 挖, 翻土, 发掘
vi. 挖掘
n. 挖掘
"
digest,"n. 文摘
vi. 消化
vt. 消化, 理解
"
dignity,"n. 尊严, 高贵
"
dilemma,"n. 困境, (进退两难的)窘境"
dimension,"n. 尺寸, 次元, 面积, 维数
vt. 标出尺寸"
dine,"vi. 用正餐, 进餐
vt. 宴请"
dip,"v. 浸, 降下, 把(手、勺等)伸入, 舀取
n. 浸, 涉猎
"
diploma,"n. 文凭, 毕业证书
"
direction,"n. 方向, 指导, 趋势
"
director,"n. 主管, 导演, 董事
"
directory,"n. 目录, 工商名录, 指南
"
dirt,"n. 污垢, 泥土
"
disappoint,vt. 使失望
disaster,"n. 灾祸, 不幸, 彻底失败"
discount,"n. 折扣, 贴现率
vt. 打折扣
vi. 贴现"
discourage,"vt. 使气馁, 阻碍"
discovery,"n. 发现, 被发现的事物
"
dislike,"n. 嫌恶
vt. 讨厌, 不喜欢"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
dispose,"vt. 处理, 排列, 布置
vi. 处置"
distant,"a. 远的, 疏远的
"
distinction,n. 区别
distinguish,"v. 区别, 辨别"
distribute,"vt. 分配, 散布, 分发
"
disturb,"vt. 扰乱, 妨碍, 使不安
"
dive,"n. 潜水, 跳水
vi. 跳水, 俯冲, 猛冲
vt. 把...突然伸入"
diverse,"a. 不同的, 变化多的"
division,"n. 分, 分开, 除法, 部门(如部、处、系等), 师
"
divorce,"n. 离婚
vt. 与...离婚"
dizzy,"a. 晕眩的, 眼花缭乱的
vt. 使晕眩"
document,"n. 文件, 公文, 文档
vt. 证明, 为...引证
"
dot,"n. 点, 圆点, 小数点, 小东西, 嫁妆
vt. 作小点记号, 加小点于
vi. 打上点
"
doubt,"n. 怀疑, 疑惑
v. 怀疑, 不信"
downward,a. 向下的
draft,"n. 气流, 草稿, 汇票, 草案
vt. 起草, 征兵
"
drag,"n. 拖, 拖累
v. 拖累, 拖拉, 沉重缓慢地走, 拖动
"
drawback,"n. 缺点, 退税
"
drawer,"n. 抽屉, 开票人
"
draw,"vi. 拉, 拖, 拔剑
vt. 拖拉, 挨近, 领取, 打成平局, 引导, 抽签决定, 画, 描写, 制订, 草拟, 吸引
n. 拉, 拖, 拔出, 抽签, 平局
"
drill,"n. 钻孔机, 钻子, 播种机, 粗斜纹布
v. 训练, 钻孔"
drown,"vi. 淹死
vt. 把...淹死, 淹没"
drug,"n. 药, 麻药, 麻醉药
vi. 吸毒
vt. 使服麻醉药, 使麻木"
drum,"n. 鼓, 鼓声
vi. 击鼓, 作鼓声
vt. 打鼓奏出
"
drink,"n. 饮料, 酒
v. 喝, 喝酒"
due,"n. 应得的东西, 应付款
a. 到期的, 应得的, 应付的, 约定的"
dusk,"n. 薄暮, 傍晚, 黄昏
a. 微暗的
v. (使)微暗"
dust,"n. 灰尘, 尘埃, 粉末, 花粉, 土, 骚乱
vt. 拂去灰尘, 撒, 弄成粉末
vi. 拂去灰尘, 化为粉末"
dynamic,"a. 动态的, 有活力的, 有力的, 动力的, 不断变化的
n. 动力, 动态
"
dynasty,"n. 朝代, 王朝"
eager,"a. 热心的, 渴望的, 热望的"
eagle,"n. 鹰, 鹰状标饰"
earthquake,n. 地震
ease,"n. 安乐, 安逸, 悠闲
vt. 使安乐, 使安心, 减轻, 放松
vi. 减轻, 放松, 灵活地移动"
Easter,n. 复活节
ecology,"n. 生态学, 社会生态学
"
edge,"n. 边缘, 尖锐, 刀刃, 优势
vt. 使锐利, 挤进, 镶边
vi. 缓缓移动"
edition,"n. 版本, 版, 翻版"
editor,"n. 编者, 编辑, 主笔, 编辑器, 编辑装置
"
educate,"vt. 教育, 培养, 训练"
effect,"n. 结果, 影响, 效果, 印象
vt. 实行, 引起, 完成
"
elder,"n. 年长者, 老人, 前辈
a. 年长的, 资深的"
elect,"n. 当选人, 被选的人
a. 被选的, 选出的
vt. 选举, 选择
vi. 作选择"
electrical,"a. 电的, 有关电的
"
electricity,"n. 电, 电流, 电学, 热情, 电力供应
"
electronic,"a. 电子的
"
elegant,"a. 优雅的, 端庄的, 高雅的"
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
embassy,"n. 大使馆, 大使馆全体人员
"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
emperor,"n. 皇帝, 君主"
empire,"n. 帝国, 帝权"
employ,"n. 雇用
vt. 雇用, 使用, 使从事于"
end,"n. 结束, 终点, 目标, 末端, 梢, 死亡, 残余
v. 结束, 终结, 终止
"
enemy,"n. 敌人, 仇敌, 敌军
a. 敌人的"
energetic,"a. 精力充沛的, 积极的"
engine,"n. 引擎, 发动机, 机车
vt. 安装发动机于"
enlarge,"vt. 扩大, 增大
vi. 扩大, 详述"
enterprise,"n. 企业, 事业心, 进取心, 干事业
"
entertainment,"n. 娱乐, 款待, 娱乐表演"
enthusiastic,"a. 狂热的, 热心的, 热烈的"
entire,"n. 整个, 全部
a. 全体的, 完全的, 全部的"
entry,"n. 登录, 条目, 进入, 入口, 报关
"
envelope,"n. 信封, 封套, 封袋
"
envy,"n. 羡慕, 嫉妒
vt. 羡慕, 嫉妒"
equal,"n. 对手, 匹敌, 同辈
a. 相等的, 平等的, 胜任的, 合适的, 平静的, 不相上下的
vt. 等于, 比得上
"
equality,"n. 平等, 均匀, 相等
"
equip,"vt. 装备, 配备
"
equipment,"n. 装备, 设备, 才能
"
error,"n. 错误, 过失, 失误, 误差
"
erupt,"vi. 爆发
vt. 喷出"
escape,"n. 逃亡, 避难设备, 逃跑
vi. 逃脱, 避开, 溜走
vt. 逃避, 避免, 被...忘掉"
essay,"n. 随笔, 短文, 评论, 企图
vt. 试图"
evaluate,"vt. 评估, 评价, 赋值"
eventually,"adv. 最后, 终于"
evidence,"n. 根据, 证据, 迹象
"
evident,"a. 显然的, 明显的"
evolution,"n. 进化, 发展, 进展, (气体)放出, 开方
"
exact,"a. 精确的, 准确的, 精密的
vt. 强求, 急需"
examine,"v. 检查, 调查, 考试"
exchange,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所
v. 交换, 交易, 兑换
"
excite,"vt. 刺激, 使兴奋, 激励"
exist,"vi. 存在, 生存, 发生"
existence,"n. 存在, 生存
"
exit,"n. 出口, 退场, 离去, 去世
vi. 退出, 脱离, 去世
"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
expectation,"n. 期待, 指望, 展望
"
expense,"n. 费用, 代价, 开支, 损失
"
experiment,"n. 实验, 试验, 实验仪器
vi. 实验, 尝试"
explanation,"n. 解释, 说明, 辩解, 表明
"
explicit,"a. 详述的, 清楚的, 直言的"
explode,"vi. 爆炸, 爆发, 激增
vt. 使爆炸"
exploit,"n. 功绩, 勋绩
vt. 开发, 利用, 开拓, 剥削"
explore,"v. 探险, 探测, 探究"
export,"n. 输出品, 输出
vt. 输出, 出口
vi. 输出物资
"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
expression,"n. 表达, 表现, 词语, 措辞
"
extension,"n. 延长, 扩充, 范围, 扩展名
a. 伸缩的
"
extinct,"a. 熄灭的, 灭绝的, 耗尽的
"
extra,"n. 额外的事物, 另外的收费
a. 额外的, 特别的
adv. 额外地, 特别地, 非常地"
extraordinary,"a. 非常的, 特别的, 非凡的
"
extreme,"n. 极端, 末端
a. 极端的, 尽头的, 极度的, 偏激的"
eyesight,"n. 视力, 目力"
fade,"vi. 褪色, 消失, 凋谢
vt. 使褪色
n. 淡入, 淡出
a. 平淡的"
failure,"n. 失败, 失败者, 不足, 缺乏, 破产
"
fair,"n. 展览会, 市集, 美好的事物
a. 公平的, 按规则进行的, 不好不坏的, 晴朗的, 美丽的
adv. 公平地, 正面地, 有教养地, 清楚地
vi. 转晴"
