coda,"n. 尾音, 乐章结尾部, 结尾段"
scuff,"vi. 拖着脚走, 磨损
vt. 拳打, 攻击, 用足尖触, 使磨损
n. 拖着脚走, 磨损, 家用平底拖鞋"
bluff,"n. 断崖, 绝壁, 吓唬
a. 直率的
v. 吓唬, 欺骗"
aloof,"a. 远离的, 冷淡的
adv. 远离, 冷漠超然地"
spoof,"n. 幽默的讽刺诗文, 愚弄, 戏弄
v. 对...作幽默讽刺, 戏弄, 哄骗
a. 哄骗认的"
reproof,"n. 谴责, 非难
"
foolproof,"a. 十分简单的, 十分安全的"
windbag,"n. 空话连篇的人, 风囊"
gag,"n. 箝口物, 箝制言论, 讨论终结
vt. 阻塞, 压制言论自由, 使窒息, 使呕吐, 插科打浑, 欺骗
vi. 窒息, 作呕, 欺骗, 插科打浑"
lag,"n. 落后, 囚犯, 迟延, 桶板, 防护套
a. 最后的
vi. 落后, 蹒跚, 缓缓而行, 滞后
vt. 落后于, 押往监狱, 加上外套
"
flag,"n. 标志, 旗标, 旗子, 信号旗, 菖蒲
vt. 悬旗, 打旗号, 铺石板
vi. 无力地下垂
"
snag,"n. (尖利的)突出物, (衣服等的)戳破处, 断牙, 意外障碍
vt. 造成阻碍, 抓住机会, 抢到, 清除障碍物"
wag,"vt. 摇摆, 摇动, 饶舌
vi. 摆动, 喋喋不休
n. 摇摆, 爱说笑打趣的人"
bracing,"a. 新鲜的, 凉爽的, 爽快的, 振奋精神的
n. 联条, 支撑物, 支柱, 背带"
padding,"n. 垫充, 垫塞, 填料, 废话, 虚报的费用
"
plodding,"a. 沉重缓慢的, 单调乏味的"
abiding,"a. 永久的, 持久的, 不变的"
demanding,"a. 要求高的, 费力的"
condescending,"a. 谦逊的, 故意屈尊的, 有优越感的"
impending,"a. 即将发生的, 迫切的, 悬空的
"
heartrending,"a. 令人心碎的, 悲惨的"
astounding,a. 令人惊骇的
unflagging,"a. 不衰的, 不屈不挠的, 不松懈的"
obliging,"a. 乐于施惠的, 体贴的, 有礼貌的"
bewitching,"a. 迷人的, 令人销魂的"
dashing,"a. 闯劲足的, 有力的"
refreshing,"a. 使清爽的, 有精神的, 爽快的"
scathing,"a. 伤害的, 损伤的, 严厉的"
painstaking,"n. 辛苦, 苦心, 工夫
a. 辛苦的, 勤勉的, 小心的"
appealing,"a. 有感染力的, 动人的, 恳求的"
cling,"vi. 粘紧, 附着, 紧贴, 坚持"
piddling,"a. 不重要的, 琐屑的"
grueling,"a. 折磨人的, 使人精疲力尽的
n. 痛打, 惩罚"
trifling,"a. 没什么价值的, 微不足道的, 轻浮的"
fledgling,"n. 羽毛初长的雏鸟, 刚会飞的幼鸟, 无经验的人"
smuggling,"n. 走私
"
unavailing,"a. 无益的, 无用的, 无效的, 徒劳的
"
inkling,"n. 暗示, 微微觉得"
compelling,"a. 强制的, 强迫性的, 激发兴趣的"
telling,"a. 有效的, 显著的, 显露内心活动的"
sterling,"n. 英国货币, 标准纯银
a. 英国货币的, 标准纯银的, 含标准成分的"
sling,"n. 投石器, 抛掷, 吊索, 吊钩
vt. 用投石器投掷, 用吊钩吊上, 吊起"
dazzling,"a. 眼花缭乱的, 耀眼的"
teeming,"a. 充满的, 群集的, 多产的
"
overweening,"a. 骄傲的, 自负的, 过于自信的, 过分的"
cunning,"a. 狡猾的, 巧妙的, 可爱的
"
overbearing,"a. 傲慢的, 骄傲自大的, 蛮横的, 压倒一切的
"
sparing,"a. 节约的, 节制的, 吝啬的, 爱惜的, 吝惜的, 节省的, 贫乏的, 少量的"
sweltering,"a. 闷热的, 热得难受的, 中暑的"
smattering,"n. 肤浅的知识, 一知半解的知识, 片断的知识, 少数, 少量"
jarring,"a. 辗轧的, 刺耳的, 不和谐的
n. 辗轧声, 震动, 冲突"
hamstring,"n. 后腿腱
vt. 切断腿腱使成跛腿, 使瘫痪"
imposing,"a. 令人难忘的, 壮丽的, 威风的"
prepossessing,a. 给人好感的
self-defeating,自我挫败
ingratiating,"a. 逢迎的, 迎合的"
self-perpetuating,a. 能使自身永久存在的
exacting,"a. 苛求的, 吃力的"
fleeting,"a. 疾驰的, 短暂的, 飞逝的"
riveting,"a. 非常有趣的, 引人注目的
"
wanting,"a. 欠缺的, 不足的, 不够格的
prep. 没有, 缺少"
everlasting,"a. 永恒的, 持久的
n. 上帝, 神"
arresting,"a. 引人注意的
"
earsplitting,a. 震耳欲聋的
unremitting,"a. 不懈的, 不断的, 坚忍的, 持续的
"
unwitting,"a. 不知情的, 没有意识到的, 不知不觉的"
misbehaving,v. 行为不端( misbehave的现在分词 )
misgiving,"n. 疑虑, 不安, 害怕, 担扰, 疑惧"
taxing,"a. 繁重的, 费力的
"
cloying,a. 厌烦的；倒胃口的；因过量而厌烦的
headlong,"a. 头向前的, 仓猝而用力的, 轻率的
adv. 头向前地, 猛然地, 用力地"
prolong,"vt. 延长, 拖延, 拖长
"
throng,"n. 群, 人群, 群集, 众多
a. 拥挤的
vi. 群集, 蜂拥
vt. 在...群集, 使拥塞"
unsung,"a. 未被唱颂的, 未赞颂的"
hangdog,"a. 鬼鬼祟祟的, 卑躬屈膝的, 低贱的
n. 卑微的人"
agog,"a. 兴奋着的, 急切的
adv. 急切地, 渴望"
jog,"n. 轻推, 轻撞, 慢跑
v. 轻推, (使)蹒跚行进, (使)慢跑"
clog,"n. 障碍, 脚坠
v. 障碍, 阻塞"
humbug,"vt. 欺骗, 哄骗
vi. 行骗
n. 骗子, 欺骗, 欺诈"
lug,"v. 拖, 拉
n. 一拖, 一拉, 耳朵, 耳状物, 装腔作势, 勒索"
smug,"a. 自以为是的, 自鸣得意的, 整洁的
n. 书呆子, 自命不凡的家伙"
shrug,"n. 耸肩
v. 耸肩"
pariah,"n. 贱民(印度的最低阶级), 被放逐者"
breach,"n. 裂口, 违背, 破坏, 违反, 突破, 破裂
vt. 攻破, 突破
vi. 跳出水面"
preach,"v. 传道, 讲道, 说教, 宣讲, 鼓吹
n. 说教, 布道"
stomach,"n. 胃, 食欲, 欲望, 肚子
vt. 吃下, 忍受"
poach,"vt. 水煮(蛋), 偷猎, 侵入, 窃取
vi. 偷猎, 陷入泥中"
broach,"n. 烧肉叉, 凿子, 钻头
vt. 用凿子修琢(石块), 钻孔
vi. 露出水面"
reproach,"n. 责备, 耻辱
vt. 责备, 申斥, 使丢脸"
detach,"vt. 使分离, 分遣
"
beseech,"v. 恳求, 哀求"
squelch,"n. 嘎吱声, 压碎的一堆, 使对手哑口无言的话
vt. 压碎, 镇压, 使咯吱咯吱响
vi. 咯吱咯吱响, 涉水而过
"
drench,"vt. 使湿透, 使充满
n. 滂沱大雨, 弄湿"
retrench,"vt. 紧缩, 减少, 删除
vi. 削减费用"
stench,"n. 恶臭, 臭气
v. (使)发恶臭"
quench,"vt. 熄灭, 结束, 使冷却, 将...淬火
vi. 熄灭, 平息"
inch,"n. 英寸, 身高, 小岛
vi. 慢慢前进, 慢慢移动
vt. 使缓慢地移动"
flinch,"vi. 畏缩, 退缩, 畏首畏尾
n. 退缩, 弗林奇戏"
staunch,"vt. 止住, 止血
a. 坚固的, 坚强的, 忠实的, 忠诚的, 不透水的"
monarch,"n. 帝王, 统治者, 元首
"
parch,"vt. 烤, 烘, 使干透
vi. 烤干, 焦干"
besmirch,vt. 弄污
scorch,"n. 烧焦, 枯萎
v. 烧焦, 拷焦, (使)枯萎, 讽刺"
lurch,"n. 惨败, 倾斜, 挫折, 举步蹒跚, 徘徊
vi. 惨败, 倾斜, 徘徊
vt. 击败"
dispatch,"vt. 派遣
n. 派遣, 急件
"
etch,"vt. 蚀刻, 蚀镂
vi. 施行蚀刻法
n. 腐蚀剂
"
glitch,[计] 假信号
stitch,"n. 一针, 疼痛, 针法, 碎布条, 针脚
v. 缝, 缝合, 装订"
scotch,"n. 苏格兰人, 苏格兰语, 刻痕
a. 苏格兰人的, 苏格兰语的
vt. 刻痕于, 伤害, 镇压, 妨碍"
notch,"n. 刻痕, 等级, 峡谷
vt. 刻凹痕, 用刻痕计算, 赢得"
crutch,"n. 拐杖, 支撑, 依靠
vt. 支撑"
slouch,"n. 没精打采的样子, 耷拉, 笨人
vi. 没精打采地走, 耷拉着
vt. 使低垂"
retouch,"v. 润饰, 修整
n. 润饰, 修整, 修整部分"
vouch,"vi. 担保, 保证, 证明, 确定地说
vt. 担保, 证明, 断定, 传唤...出庭作证"
inveigh,"vi. 痛骂, 漫骂, 臭骂"
bash,"v. 猛击, 打坏
n. 猛撞, 猛击"
abash,"vt. 使不安, 使羞愧, 使困窘"
slapdash,"n. 草率
a. 猛烈的, 粗心的"
balderdash,n. 胡言乱语
rehash,"vt. 重讲, 改头换面地重复
n. 改头换面的作品"
lash,"n. 鞭子, 鞭打, 睫毛, 责骂, 讽刺
vt. 鞭打, 摆动, 扎捆, 冲击, 讽刺, 煽动
vi. 冲洗, 鞭打, 责骂"
mash,"n. 碎麦芽, 饲料, 糊状物
vt. 调情, 捣碎"
rash,"a. 轻率的, 匆忙的, 鲁莽的
n. 皮疹"
brash,"a. 性急的, 仓促的, 无礼的, 傲慢的
n. 胃灼热, 骤雨, 碎石堆"
quash,"vt. 撤销, 平息, 镇压
"
awash,"a. 与水面齐平的, 被浪冲打的"
mesh,"n. 网孔, 网丝, 网眼, 网状物, 圈套, 陷阱, 啮合
vt. 以网捕捉, 啮合, 使缠住
vi. 落网, 相啮合"
snobbish,"a. 自命不凡的, 势利的"
outlandish,"a. 外国气派的, 偏僻的, 古怪的"
brandish,"vt. 挥, 挥舞
n. 挥舞"
prudish,"a. 拘守礼仪的, 过分规矩的, 表面正经的"
raffish,"a. 名誉不好的, 无赖的, 卑鄙的, 俗艳的"
offish,"a. 不亲热的, 冷漠的, 疏远的, 健康较差的"
sluggish,"a. 偷懒的, 懒惰的, 迟钝的
"
rakish,"a. 轻快的, 潇洒的, 放荡的"
puckish,"a. 顽皮的, 恶作剧的"
mawkish,"a. 淡而无味的, 令人作呕的, 感伤的"
relish,"n. 滋味, 风味, 美味, 爱好, 食欲, 调味品
vt. 调味, 喜欢, 玩味
vi. 有味道"
ticklish,"a. 易倒的, 不稳定的, 难对付的, 怕痒的"
churlish,a. 粗野的
mulish,"a. 似骡的, 执拗的, 顽固的"
squeamish,"a. 过于拘谨的, 神经质的, 易呕吐的"
blemish,"n. 污点, 缺点
vt. 弄脏, 玷污, 损害"
banish,"vt. 驱逐, 消除
"
replenish,"vt. 把...重新补足, 把...再装满
vi. 被再装满, 充满"
diminish,"v. (使)减少, (使)变小"
admonish,"vt. 警告, 劝告, 训诫, 告诫"
tarnish,"n. 失泽, 失泽膜, 污点
vt. 使失去光泽, 玷污
vi. 失去光泽, 被玷污"
varnish,"n. 清漆, 虚饰, 光泽的表面
vt. 粉饰, 涂清漆于, 装饰, 使有光泽"
burnish,"vt. 擦亮, 打磨, 磨光
vi. 磨光发亮
n. 光辉, 光泽"
clownish,a. 滑稽的
garish,"a. 穿着花哨的, 炫耀的, 过分装饰的"
perish,"vi. 毁灭, 丧生, 凋谢, 颓丧, 死亡, 腐烂
vt. 毁坏, 使麻木, 使丧生, 耗尽"
boorish,"a. 粗野的, 粗鄙的"
flourish,"vi. 繁荣, 茂盛, 活跃, 手舞足蹈
vt. 挥舞, 夸耀
n. 挥舞, 炫耀, 茂盛, 兴旺, 华丽词藻"
nourish,"vt. 滋养, 使健壮, 怀有"
coltish,"a. 小马似的, 蹦蹦跳跳的, 不守纪律的"
skittish,"a. 易惊的, 轻佻的, 三心二意的, 不可靠的, 羞怯的, 活泼的, 爱蹦跳的, 活跃的"
loutish,"a. 粗野的, 无礼的"
languish,"vi. 憔悴, 凋萎, 苦思"
extinguish,"vt. 熄灭, 使消亡, 压制, 使减色
"
cliquish,a. 小集团的
vanquish,"vt. 打败, 征服, 克服
"
relinquish,"vt. 放弃, 撤回, 停止, 松开, 让与
"
lavish,"a. 大方的, 丰富的, 浪费的
vt. 浪费, 滥用, 慷慨给予"
ravish,"vt. 强夺, 夺走, 使出神, 强奸
"
dovish,"a. 鸽派的, 温和派的"
harsh,"a. 粗糙的, 刺耳的, 严厉的
"
gush,"n. 涌出, 滔滔不绝地讲话
v. 涌出, 迸出, 滔滔不绝的讲话"
lush,"a. 苍翠繁茂的, 多青草的, 丰富的
n. 酒, 酒鬼
v. 饮"
flush,"n. 流溢, 面红, 旺盛, 发烧, 惊飞的鸟, 同花牌
a. 丰足的, 齐平的, 满盈的, 泛滥的
adv. 齐平地, 直接地
vi. 脸发红, 奔涌, 旺盛, 惊飞
vt. 淹没, 冲洗, 使脸红, 使激动, 使齐平, 使惊飞"
plush,"n. 长毛绒, 长毛绒裤
a. 长毛绒制的, 豪华的"
polymath,n. 博学者
loath,"a. 不情愿的, 厌恶的"
zenith,n. 顶点；最高点；顶峰
stealth,"n. 秘密行动, 秘密, 鬼祟
"
labyrinthine,[医] 迷路的
sloth,"n. 怠惰, 懒惰"
dearth,"n. 缺乏, 粮食不足, 饥馑"
mirth,"n. 欢笑, 欢乐, 愉快"
uncouth,"a. 笨拙的, 粗野的, 荒凉的"
outgrowth,"n. 自然的发展, 结果, 副产物, 分枝
"
alibi,"n. 不在犯罪现场, 托辞
v. 为...辩解"
illuminati,n. 先觉者
ennui,"n. 倦怠, 厌倦
"
cloak,"n. 斗蓬, 大氅, 掩护
vt. 遮掩, 隐匿, 使披斗蓬"
soak,"n. 浸, 湿透, 大雨
vt. 使上下湿透, 浸, 吸入, 吸收, 浸洗掉
vi. 浸泡, 渗透"
hack,"n. 劈, 砍, 砍痕, 出租车, 干咳, 晒架, 鹤嘴锄
vt. 劈, 砍, 出租, 用旧
vi. 劈, 砍, 干咳, 驾驶出租车
a. 出租的"
slack,"n. 松弛, 松懈, 淡季, 闲散, 家常裤
a. 松弛的, 不流畅的, 疏忽的, 无力的, 呆滞的, 软弱的, 漏水的
adv. 马虎地, 缓慢地
vt. 放松, 使缓慢
vi. 松懈, 减弱, 松弛"
knack,"n. 熟练技术, 巧妙手法, 诀窍
"
quack,"n. 鸭叫声, 冒牌医生, 冒充内行之人
a. 冒牌医生的
v. 嘎嘎叫, 当冒牌医生, 夸大广告"
bedeck,"vt. 装饰, 修饰"
check,"n. 检查, 支票, 阻止物, 寄物牌, 象棋中将军
vt. 检查, 阻止, 核对, 寄存, 托运
vi. 逐项相符, 开支票
"
peck,"n. 配克(英美干量单位), 啄痕, 啄食, 许多
vt. 啄, 啄食, 琢, 凿成, 扔
vi. 啄, 吹毛求疵, 啄食, 勉强吃
"
speck,"n. 斑点, 有斑点的东西, 污点, 缺点, 微粒, 肥肉
vt. 使有斑点"
nitpick,vi. 挑剔；吹毛求疵
goldbrick,"vi. 逃避工作, 游手好闲
n. 假金砖, 赝品, 懒汉"
maverick,"n. 未烙饲主印记的小牛, 持不同意见的人
vi. 迷路"
deadlock,"n. 僵局, 停顿
v. (使)停顿, (使)相持不下
"
flock,"n. 兽群, 鸟群, 一群人, 大量, 棉束
vi. 成群而行, 聚集
vt. 用棉束填满"
interlock,"v. (使)连结, (使)连锁
n. 连锁, 连结
"
stock,"n. 树干, 祖先, 血统, 原料, 备料, 库存, 牲畜, 股票, 股份, 保留剧目
a. 存货的, 常备的, 平凡的, 普通的, 股票的, 保留剧目的, 繁殖用的
vt. 装把手于, 进货, 备有, 放牧
vi. 出新芽, 备货, 囤积"
buck,"n. 元, 雄鹿, 纨绔子弟, 鞍马, 培克(赌博时的庄家标志), 碱水, 自夸, 谈话
vi. 马背突然拱起, 反对, 吹牛, 闲聊
vt. 马背突然拱起将骑手摔下, 反对, 用碱水洗
a. 雄的"
pluck,"n. 勇气, 猛拉, 动物内脏
vt. 摘, 猛拉, 拔, 拉, 扯, 采
vi. 拉, 拽"
sleek,"a. 光滑的, 油嘴滑舌的, 线条明快的, 圆滑的, 时髦的
vt. 使光滑, 掩盖
vi. 打扮漂亮, 滑动"
meek,"a. 温顺的, 逆来顺受的"
balk,"n. 障碍, 错误, 失败
vt. 阻止, 错过, 推诿
vi. 逡巡不前"
milk,"n. 奶, 乳状物
vt. 挤乳, 榨取
vi. 产乳"
sulk,"n. 闹情绪, 闷闷不乐
vi. 不高兴, 闷闷不乐, 不悦, 生气, 愠怒"
dank,"a. 阴湿的, 潮湿的"
lank,"a. 瘦的, 细长的, 长而柔软的"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
hoodwink,"vt. 遮眼, 蒙蔽, 欺骗"
debunk,"vt. 揭穿, 暴露, 拆穿假面具"
brook,"n. 小溪
vt. 容忍"
crook,"n. 钩, 弯曲部分, 坏蛋
vt. 使弯曲, 诈骗
vi. 弯曲"
debark,"vt. 使登陆, 使下船, 卸(货)
vi. 登陆"
embark,"vi. 乘船, 着手, 从事, 上飞机
vt. 使上船, 使上飞机, 使从事"
hallmark,"n. 纯度检验证明, 品质证明
vt. 加盖纯度检验证明"
irk,"vt. 使厌倦, 使苦恼"
shirk,"vi. 溜掉, 逃避, 推卸
vt. 逃避"
smirk,"vi. 傻笑, 假笑, 得意地笑
n. 傻笑, 假笑, 得意的笑"
patchwork,"n. 拼缝物, 拼凑物"
lurk,"n. 潜伏, 潜行
vi. 暗藏, 潜伏, 埋伏
"
brisk,"a. 强烈的, 寒冷而干燥的, 活泼的
vt. 使活泼
vi. 活跃起来"
husk,"n. 外壳, 皮, 无价值之物
vt. 剥...的壳, 削皮"
methodical,"a. 有方法的, 有系统的"
periodical,"n. 期刊
a. 定期出版的, (有关)期刊的, 间歇(性的), 周期的, 定期的"
pedagogical,"a. 教师的, 教学法的, 适宜于教师的"
pathological,"a. 病理学的, 由疾病引起的, (非正式)不合理的, 仅由想象引起的, 不理智的
"
hierarchical,"[计] 分级的, 分层的, 层次的"
inimical,"a. 有敌意的, 有害的, 抵触的"
ecumenical,"a. 一般的, 普遍的, 全基督教的, 泛基督教主义的"
empirical,"a. 完全跟据经验的, 经验主义的
"
categorical,"a. 范畴的, 绝对的, 明确的"
rhetorical,"a. 修辞学的, 符合修辞学的, 修辞的"
theatrical,"a. 剧场的, 夸张的, 戏剧性的
n. 戏剧演出"
asymmetrical,"a. 不对称的, 偏位的
"
whimsical,"a. 怪念头多的, 反复无常的, 古怪的, 异想天开的"
commonsensical,a. (符合)常识的
metaphysical,"a. 形而上学的, 纯粹哲学的, 抽象的"
antithetical,"a. 对立的, 正相反的"
heretical,"a. 异教的, 异端的"
hypocritical,"a. 伪善的, 伪善者的"
elliptical,"a. 椭圆的
"
nautical,"a. 海上的, 航海的, 船员的"
univocal,"a. 单一意思的, 意义明确的"
soft-pedal,"钢琴弱音踏板, 减弱效果的东西"
conceal,"vt. 隐藏, 掩盖, 隐瞒
"
ordeal,"n. 严酷考验, 痛苦经历, 煎熬
"
congeal,"v. (使)冻结, (使)凝结"
repeal,"n. 废止, 撤消
vt. 废止, 撤消, 放弃"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
ethereal,"a. 轻的, 飘渺的, 天上的
"
corporeal,"a. 肉体的, 有形的, 物质的
"
zeal,"n. 热心, 热衷, 热诚"
prodigal,"n. 浪费者
a. 浪费的, 挥霍的, 丰富的"
frugal,"a. 节俭的, 朴素的"
apocryphal,"a. 伪的, 不足凭信的"
lethal,"a. 致命的
n. 致死因子"
glacial,"a. 冰的, 冰川的, 冰川时代的, 冰冷的
"
superficial,"n. 表面, 外表
a. 表面的, 肤浅的, 面积的"
provincial,"n. 外地人, 粗野的人
a. 省的, 外地的, 偏狭的"
crucial,"a. 决定性的, 重要的, 严厉的
"
cordial,"n. 兴奋剂, 补品
a. 热忱的, 诚恳的, 有兴奋作用的"
primordial,"a. 原始的, 自原始时代的
"
parochial,"a. 教区的, 地方性的, 目光偏狭的"
genial,"a. 和蔼的, 亲切的, 友善的
"
congenial,"a. 协调的, 一致的, 适意的, 趣味相同的"
menial,"a. 适合仆人做的, 卑微的
n. 仆人"
venial,"a. 可原谅的, 可宽恕的, 轻微的
"
imperial,"a. 帝王的, 宗主国的, 至尊的, 壮丽的
n. 特等品"
immaterial,"a. 非物质的, 无形的, 精神的
"
immemorial,"a. 太古的, 远古的, 无法追忆的
"
sartorial,"a. 裁缝匠的, 缝工的, 裁缝的"
mercurial,"a. 水星的, 敏捷的, 活泼的, 水银的
n. 汞剂"
ambrosial,a. 特别美味的
palatial,"a. 宫殿似的, 宏伟的, 堂皇的, 庄严的"
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
providential,"a. 天意的, 根据神意的, 天佑的, 幸运的"
torrential,"a. 奔流的, 急流的, 猛烈的"
inconsequential,"a. 不合逻辑的, 不合理的, 不重要的"
partial,"a. 部分的, 偏袒的, 偏爱的
n. 分音"
trivial,"a. 琐碎的, 不重要的, 轻微的, 平常的"
jovial,"a. 快活的, 高兴的, 愉快的
"
abysmal,"a. 深不可测的, 无底的"
cataclysmal,"a. 洪水的, 灾变的, 政治和社会大变动的"
banal,"a. 平凡的, 陈腐的"
phenomenal,"a. 现象的, 能知觉的, 异常的, 显著的, 惊人的"
venal,"a. 可收买的, 贪污的, 用金钱买得的
"
signal,"n. 信号, 暗号, 近因, 导火线
vt. 向...作信号, 标志, 用信号通知
vi. 发信号
a. 作为信号的, 显著的
"
cardinal,"n. 红衣主教, 鲜红色
a. 主要的, 深红色的"
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
marginal,"a. 边缘的, 最低限度的, 有旁注的
"
seminal,"a. 精液的, 种子的, 生殖的
"
subliminal,"a. 下意识的, 潜在意识的
"
nominal,"a. 名义上的, 名字的, 有名无实的, 稍许的
n. 名词性词"
provisional,"a. 暂时的, 暂定的, 临时的
"
rational,"a. 理性的, 合理的
n. 有理数"
conditional,"a. 有条件的, 有前提的
"
exceptional,"a. 例外的, 异常的, 特别的"
carnal,"a. 肉体的, 肉欲的
"
eternal,"a. 永恒的, 永远的, 不灭的"
diurnal,"a. 每日的, 一日间的, 白天的
"
nocturnal,"a. 夜的, 夜曲的
"
shoal,"n. 浅水, 浅滩, 沙洲, 鱼群, 暗礁, 潜在危险
a. 浅的
vi. 鱼成群而游, 变浅
vt. 使变浅"
liberal,"n. 自由主义者
a. 慷慨的, 不拘泥的, 宽大的, 自由主义的"
principal,"n. 校长, 首长, 本金, 主犯, 资本, 委托人
a. 主要的, 最重要的, 首要的"
feral,"a. 野生的, 凶猛的, 野兽的
"
peripheral,"a. 周边的, 周围的, 圆周的, 无关紧要的, 肤浅的
"
ephemeral,"a. 朝生暮死的, 短命的, 短暂的
"
integral,"n. 整体, 积分, 整数
a. 固有的, 整体的, 整数的, 积分的
"
sepulchral,"a. 坟墓的, 埋葬的"
temporal,"a. 时间的, 暂时的, 现世的, 世俗的, 颞的, 太阳穴的
n. 世间万物, 教会财产"
preternatural,"a. 超自然的, 异常的"
rehearsal,"n. 预演, 排演, 练习, 叙述, 复述
"
colossal,"a. 巨大的, 巨像似的"
accidental,"a. 意外的, 偶然的, 非主要的, 附属的
n. 临时记号, 次要方面"
pivotal,"a. 枢轴的, 关键的, 起中心作用的"
distal,"a. 末梢的
"
residual,"a. 残渣的, 剩余的
n. 残渣, 剩余, 余数"
perpetual,"a. 永久的, 不断的, 无期限的, 没完没了的, 四季开花的
"
coeval,"a. 同时代的
n. 同时代的人"
avowal,"n. 公开表示, 坦率承认
"
peel,"n. 皮, 外壳
vt. 削...皮, 剥去...的壳
vi. 蜕皮, 剥落, 脱皮, 脱去衣服"
reel,"n. 卷轴, 一卷, 纺车, 旋转, 蹒跚
vt. 卷...于轴上, 绕, 使旋转
vi. 蹒跚地走, 旋转, 眩晕, 摇晃, 退缩
"
genteel,"a. 有教养的, 上流的, 优雅的"
yokel,"n. (贬)乡巴佬, 土包子, 乡下佬"
enamel,"n. 珐琅, 瓷釉
vt. 涂以瓷釉, 彩饰"
channel,"n. 海峡, 航道, 频道
vt. 引导, 在...上挖沟, 形成河道
"
repel,"vt. 逐退, 抵制, 使厌恶, 抗御
vi. 使厌恶, 相互排斥"
mongrel,"n. 杂种, 杂种狗, 混血儿
a. 杂种的, 混血儿的"
wastrel,"n. 浪费者, 饭桶, 浪子, 废品, 流浪者"
sequel,"n. 继续, 续集, 后果
"
ravel,"vt. 使纠缠, 使混乱, 拆开, 弄清
vi. 散开, 解除
n. 纠缠的一团, 散纱"
revel,"n. 作乐, 狂欢
vi. 狂欢作乐, 陶醉, 着迷
vt. 耗费"
drivel,"vi. 淌口水, 说傻话
vt. 胡说
n. 胡言乱语, 糊涂话"
novel,"n. 小说, 长篇故事
a. 新奇的, 异常的"
grovel,"vi. 趴, 匍匐, 卑躬屈膝"
marvel,"n. 奇异事物, 罕见例子
vt. 惊异于
vi. 惊异"
blackmail,"n. 勒索
vt. 勒索"
rail,"n. 横杆, 围栏, 栏杆, 铁轨, 扶手, 秧鸡
vt. 以横木围栏, 给...铺铁轨
vi. 责骂, 抱怨"
frail,"a. 脆弱的, 虚弱的, 意志薄弱的
n. 少女, 少妇, 灯心草篓"
assail,"vt. 攻击, 质问
"
entail,"vt. 使成为必需, 需要, 使承担, 遗传给
n. 限定继承"
curtail,"vt. 缩减, 剥夺, 简略
"
quail,"n. 鹌鹑
vi. 胆怯, 畏缩"
travail,"n. 分娩的痛苦, 阵痛, 辛劳
vi. 发生阵痛, 辛劳"
countervail,"vt. 补偿, 抵销
vi. 抵销"
nil,"n. 无, 全无, 零
"
recoil,"n. 畏缩, 后退, 弹回, 反作用, 后坐力
vi. 退却, 畏缩, 弹回, 撤退, 反冲, 报应"
foil,"n. 箔, 烘托, 衬托
vt. 贴箔于, 衬托, 阻止, 挡开, 挫败"
turmoil,"n. 骚动, 混乱"
roil,"vt. 搅浑, 使焦急"
cavil,"n. 无端的指责, 挑剔
v. 吹毛求疵"
daredevil,"n. 铤而走险的人, 蛮勇的人
a. 蛮勇的, 不怕死的"
windfall,"n. 被风吹落的果子, 横财
"
pitfall,"n. 陷阱, 诱惑, 阴谋, 易犯的错误, 意想不到的困难"
gall,"n. 胆汁, 五倍子, 苦味, 肿痛, 恼怒, 磨损处
vt. 烦恼, 屈辱, 磨伤
vi. 被磨伤"
pall,"n. 棺罩, 柩衣, 遮盖物
vi. 失去吸引力, 乏味
vt. 覆盖, 使笼罩阴影, 使乏味"
appall,"vt. 使丧胆, 使惊骇"
enthrall,"vt. 迷惑, 奴役, 迷住"
forestall,"vt. 预先阻止, 先...一步行动, 占先一步, 垄断, 阻碍
"
squall,"n. 飑, 喊叫
vi. 起飑, 嚎啕, 叫嚷
vt. 尖叫"
stonewall,"vi. 防守挡击, 围以石墙, 妨碍或阻碍"
quell,"vt. 压制, 平息, 减轻"
thrill,"n. 震颤, 激动, 刺激性, 一阵激动
vi. 震颤, 颤抖, 激动
vt. 使激动, 使颤动"
distill,"vt. 蒸馏
vi. 滴下"
instill,"vt. 滴注, 慢慢地灌输"
loll,"vi. 懒散地闲荡, 垂下头, 伸舌
vt. 垂, 伸, 靠着"
gull,"n. 鸥, 易受骗之人, 呆子
vt. 欺诈, 骗"
lull,"n. 暂停, 间歇, 稍息, 使人安静的东西
vt. 使平静, 哄骗, 使安静
vi. 变平静"
idyll,"n. 叙事诗, 田园景色, 田园诗, 田园乐曲, 牧歌"
gambol,"n. 跳跃, 雀跃, 嬉戏
vi. 跳跃, 雀跃, 耍闹"
protocol,"n. 草案, 礼仪, 协议
v. 拟定
"
extol,"vt. 颂扬, 称赞, 吹捧"
snarl,"vi. 吼叫, 怒骂, 缠结
vt. 咆哮着说, 搞乱, 使缠结
n. 咆哮, 吼叫, 怒骂, 缠结, 混乱"
