species,"n. 种, 类, 外形
"
profitable,"a. 有利润的, 有利益的, 赚钱的
"
projector,"n. 计划人, 发起人, 规划人, 放映机, 映画器, 幻灯机, 幻灯, 探照灯, 发射器
"
reclaim,"vt. 开垦, 改造, 感化, 纠正, 回收
vi. 喊叫, 抗议"
replacement,"n. 归还, 更换, 代替者
"
ruin,"n. 毁灭, 推翻, 废墟
vi. 毁灭, 衰败, 破坏, 破产, 堕落
vt. 使毁灭, 毁坏, 使破产"
sculptor,n. 雕刻家
seat,"n. 座, 座位, 位子, 席位, 所在地
vt. 使坐下, 使就座, 为...设座于, 使就职
vi. 安装在底座上"
sibling,"n. 兄弟, 同胞
"
specialization,"n. 专业化, 特殊化, 专门化
"
spin,"n. 旋转, 自旋, 疾驰, 情绪低落
vt. 纺织, 纺, 使旋转, 编造
vi. 纺纱, 吐丝, 作茧, 结网, 旋转, 自旋, 疾驰"
staple,"n. 主要产物, 常用品, 主要要素, 原料, 订书钉, 钩环
a. 主要的, 重要的
vt. 分级, 钉住"
stencil,"n. 模版, 蜡纸
vt. 用蜡纸印, 用模版印刷"
stick,"n. 棍, 棒, 刺, 枯枝, 茎, 条状物
vt. 插进, 刺入, 钉住, 伸出, 粘贴, 停止
vi. 粘住, 停留, 坚持, 陷住, 伸出"
strain,"n. 紧张, 拉紧, 张力, 过劳, 扭伤, 血缘, 种, 族, 气质, 曲调, 旋律, 口吻
vt. 使劳累, 拉紧, 过分使用, 扭伤, 滥用, 曲解, 滤
vi. 尽力, 努力, 紧拉, 弯曲, 被滤出"
studio,"n. 工作室, 画室, 演播室, 电影制片厂"
subtle,"a. 敏锐的, 精细的, 狡猾的, 稀薄的, 灵巧的, 微妙的
"
suck,"vt. 吸, 吮, 吸入, 吮吸, 吸收
vi. 吸, 吸奶
n. 吸, 吸入, 吮吸"
swallow,"n. 燕子, 吞咽, 喉
vt. 咽, 淹没, 吞没, 耗尽, 轻信, 忍受, 抑制
vi. 吞下, 咽下"
symptom,"n. 症状, 征候, 征兆
"
terrain,"n. 地带, 地区, 地形, 领域, 范围"
textile,"n. 纺织品, 纺织业
a. 织的, 纺织的"
theatrical,"a. 剧场的, 夸张的, 戏剧性的
n. 戏剧演出"
tidal,"a. 潮汐的, 受潮汐影响的"
tuition,"n. 学费, 讲授"
vent,"n. 排气口, 出口, 通风孔, 发泄
vt. 发泄, 排出, 给...开孔"
wartime,n. 战时
weigh,"vt. 称...重量, 衡量, 把...压弯, 考虑, 权衡, 起锚
vi. 称分量, 有意义, 重压, 起锚
n. 过秤, 称分量"
wheat,n. 小麦
aesthetic,"a. 美学的, 审美的, 有美感的"
aggregate,"n. 合计, 总计, 聚集体
a. 合计的, 聚集的
v. 聚集, 集合, 合计达
"
alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
antelope,n. 羚羊
banker,"n. 银行家, 庄家
"
besides,"prep. 除...之外
adv. 而且, 此外"
bias,"n. 偏见, 斜纹
a. 偏斜的
adv. 偏斜
vt. 使有偏见
"
biome,n. 生物群落区
blush,"vi. 脸红, 羞愧
vt. 弄成红色
n. 脸红"
canvas,"n. 帆布, 画布, 油画
"
centigrade,"a. 百分度的, 摄氏的
"
commodity,"n. 农产品, 商品, 有用的物品
"
compass,"n. 指南针, 范围, 音域
vt. 包围, 达到, 图谋, 理解"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
cope,"vi. 竞争, 应付
n. 长袍"
counter,"n. 计算器, 计算者, 柜台, 筹码
a. 反方向的, 相反的
adv. 反方向地, 相反地
"
crustal,"a. 地壳的
"
deceive,"v. 欺骗, 行骗"
depletion,"n. 消耗, 耗尽, 放血
"
dimensional,"a. ...维的
"
drainage,"n. 排水
"
enrich,"vt. 使富足, 使肥沃"
equatorial,"a. 近赤道的, 赤道的
"
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
"
exceptional,"a. 例外的, 异常的, 特别的"
excessive,"a. 过度的, 过多的, 极端的
"
filter,"n. 滤波器, 过滤器, 滤光器, 过滤嘴, 去尘器
vt. 过滤, 渗透, 走漏
vi. 滤过, 渗入
"
fragile,"a. 易碎的, 脆的
"
illuminate,"vt. 照明, 用灯装饰, 阐明, 说明, 使灿烂
vi. 照亮, 用灯装饰"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
incredible,a. 难以置信的
indication,"n. 指示, 象征, 暗示
"
infect,"vt. 传染, 感染
"
landfill,n. 垃圾堆；垃圾填埋地
merely,adv. 只
mobility,"n. 可动性, 流动性, 机动性
"
moist,"a. 潮湿的, 多雨的, 感伤的, 含泪的
"
narrative,"n. 叙述, 故事
a. 叙述的, 叙事的, 故事体的"
nomadic,"a. 游牧的, 游牧生活的, 流浪的
"
nomadism,"n. 游牧, 流浪"
notable,"n. 著名人士, 值得注意之事物
a. 值得注意的, 显著的"
overland,"a. 经由陆路的, 经过陆地的
adv. 经由陆路地"
possession,"n. 拥有, 占有, 所有, 财产, 领土, 领地, 自制, 着迷
"
predation,掠夺行为
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
procedure,"n. 程序, 过程, 手续
"
properly,"adv. 适当地, 相当地"
quit,"vi. 离开, 辞职, 停止
vt. 离开, 放弃, 使解除, 停止
n. 离开
"
readiness,"n. 预备, 准备, 敏捷"
rectangular,"a. 成直角的
"
regulation,"n. 规则, 管理, 调整
"
resolve,"vi. 决定, 分解, 决心
vt. 使分解, 解析, 解决, 消除, 决心
n. 决定之事, 决心, 坚决"
rigid,"a. 坚硬的, 刚性的, 严格的, 精密的, 刻板的"
sedentary,"a. 久坐的, 坐惯的, 定栖的
"
slab,"n. 平板, 厚片
vt. 切成厚板, 以平板盖上"
sponsor,"n. 保证人, 赞助者, 发起者, 倡议者, 教父
vt. 发起, 赞助, 倡议"
stationary,"a. 不动的, 静止的, 不变的, 固定的, 停留的
"
storytelling,"n. 说故事, 说谎话"
strengthen,"vt. 加强, 变坚固
vi. 变强, 股票上涨"
strip,"n. 长条, 条状, 带, 脱衣舞
vt. 脱衣, 被剥去, 剥夺, 拆卸
vi. 脱衣服"
succeed,"vi. 成功, 继承, 继续
vt. 继承, 接替"
terrace,"n. 阶地, 梯田, 房屋之平顶, 阳台, 沿岸防地, 露台
a. 叠层式的
vt. 使成梯田, 使成有平台屋顶"
thatch,"n. 盖屋顶的茅草, 用草盖的屋顶, 浓密头发
vt. 用茅草覆盖"
tiredness,"n. 疲劳, 疲倦
"
tundra,"n. 苔原, 冻原"
turbine,"n. 涡轮机
"
undertake,"vt. 试图, 从事, 保证, 承担, 同意, 接受
"
uniform,"n. 制服
a. 统一的, 一律的, 始终如一的"
utilize,vt. 利用
valid,"a. 有确实根据的, 有法律效力的, 正当的, 正确的
"
via,"prep. 经由, 经过, 通过
"
violate,"vt. 违犯, 亵渎, 违反, 侵犯, 妨碍
"
workshop,"n. 工场, 车间, 研讨会
"
alternate,"a. 交替的, 轮流的, 间隔的
v. 轮流, (使)交替"
assessment,"n. 评估, 估定, 评定的款额
"
bead,"n. 珠子, 滴
vt. 用珠装饰
vi. 形成珠
"
bend,"vi. 变弯曲, 屈服
vt. 使弯曲, 使屈服
n. 弯曲"
blossom,"n. 花, 花开的状态, 兴旺期
vi. 开花, 兴旺, 发展"
candidate,"n. 候选人, 投考者
"
carbonate,"n. 碳酸盐
vt. 使碳酸盐化, 使充满二氧化碳"
cascade,"n. 小瀑布, 瀑布状物
vi. 成瀑布落下
"
chick,"n. 小鸡, 小鸟, 竹帘"
collectively,"adv. 集合, 聚合性, 共同, 集体主义, 集团, 集体"
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
comparable,"a. 可比较的, 比得上的"
complement,"n. 补足物, 补语, 补数
vt. 补充, 补足
"
congress,"n. 国会, 会议, 讨论会
"
conquest,"n. 战胜, 征服, 战利品
"
conservationist,n. 自然资源保护论者
crude,"a. 天然的, 未成熟的, 粗糙的, 粗鲁的
n. 天然的物质"
curious,"a. 好奇的, 求知的, 古怪的"
descend,"vi. 下降, 世代相传, 屈尊, 袭击
vt. 下降"
dialect,"n. 方言, 同源语"
diatom,"n. 硅藻
"
disagreement,"n. 不合, 争论, 不一致
"
drastically,"adv. 激烈地, 彻底地"
emphasis,"n. 强调, 加强, 重点, 强语气"
enforce,"vt. 强迫, 执行, 坚持
"
exceed,"vt. 超过, 超越, 胜过
vi. 超过其他"
exchange,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所
v. 交换, 交易, 兑换
"
exclusive,"a. 排外的, 独占的, 唯一的
"
familiarity,"n. 熟悉, 精通, 亲密"
figurative,"a. 比喻的, 象征的, 修饰丰富的"
frontality,n. (绘画及雕塑中对人物、风景等的)正面描绘
glow,"n. 赤热, 光辉, 热情, 热烈, 红光
vi. 发红光, 红光焕发, 发热, 洋溢, 激动"
herb,"n. 药草, 香草
"
horn,"n. 角, 角质, 喇叭, 号角
a. 角制的
vt. 用角触, 长角于"
horticulture,n. 园艺
hurricane,"n. 飓风, 暴风, 暴风雨"
hypothesize,"vt. 假设, 假定"
inaccurate,"a. 错误的, 不准确的
"
incomplete,"a. 不完全的, 未完成的, 不完善的
"
laboratory,"n. 实验室, 研究室, 化工厂
"
mangrove,n. 红树属树木
manufacturer,"n. 制造业者, 厂商
"
mast,"n. 桅, 桅杆, 杆
vt. 装桅杆于"
metallic,"a. 金属的, 含金属的, 产生金属的
"
microclimate,"n. 小气候
"
migration,"n. 移民, 移往, 移动
"
mode,"n. 模态, 调式, 样式, 文体, 状态, 方式, 风尚
"
moderate,"a. 适度的, 稳健的, 中等的, 节制的
vt. 节制, 减轻, 使缓和
vi. 变缓和, 主持会议"
mysterious,"a. 神秘的, 难解的, 不可思议的"
notably,"adv. 显著地, 著名地, 尤其, 特别"
notion,"n. 概念, 观念, 想法, 打算, 别致的小东西
"
offshore,"a. 海面的, 吹向海面的, 近海的
adv. 向海面"
offspring,"n. 子孙, 后代, 产物
"
outsider,"n. 外人, 局外人, 非会员, 外行, 门外汉, 比赛中获胜可能性不大的选手
"
oven,"n. 烤箱, 灶, 子宫
"
oxide,"n. 氧化物
"
panel,"n. 嵌板, 仪表板, 专题讨论小组, 全体陪审员
vt. 嵌镶板"
peepshow,n. 西洋镜；拉洋片
photographic,"a. 照相的, 摄影用的, 详细记录的, 逼真的, 酷似的"
pitch,"n. 程度, 坡度, 顶点, 前倾, 倾斜, 投掷, 音高, 螺距, 节距, 摊位, 树脂, 沥青
vt. 投, 掷, 向前倾跌, 扎营, 竭力推销, 为...定调, 定位于, 用沥青涂
vi. 搭帐篷, 投掷, 向前跌, 猛然摔倒, 坠落, 倾斜
"
pond,"n. 池塘
v. 筑成池塘"
practically,"adv. 几乎, 差不多, 事实上"
precede,"vt. 在...之前, 优于, 较...优先
vi. 在前面"
priority,"n. 优先权, 优先
"
probability,"n. 可能性, 或然率, 几率, 概率
"
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
pulp,"n. 果肉, 纸浆
vt. 使化成纸浆, 除去...果肉
vi. 变成纸浆"
rail,"n. 横杆, 围栏, 栏杆, 铁轨, 扶手, 秧鸡
vt. 以横木围栏, 给...铺铁轨
vi. 责骂, 抱怨"
rally,"n. 重振旗鼓, 集合, 群众集会, 跌停回升
v. 重整旗鼓, 集合, 恢复精神, 团结, 挖苦, 嘲笑"
realization,"n. 实现, 领悟, 实得
"
refill,"n. 再注满, 替换物
vt. 再将...注满
vi. 被再注满"
regardless,"a. 不管, 不注意, 不顾"
registrar,"n. 记录者, 登记者, 登记官员
"
reliability,"n. 信度, 可靠性
"
religion,"n. 宗教, 信仰
"
repeatedly,"adv. 重复地, 再三地"
sheer,"a. 绝对的, 全然的, 纯粹的, 透明的, 峻峭的
vi. 偏转, 偏航
vt. 使急转向, 使偏航
adv. 完全, 全然, 峻峭
n. 偏航"
snowflake,"n. 雪片, 雪花, 雪片莲"
specialist,"n. 专门医师, 专家
a. 专业的, 专家的"
spiral,"n. 螺旋形之物, 螺线
a. 螺旋形的, 盘旋的
vi. 螺旋形下降, 螺旋形上升, 螺旋形行进
vt. 使螺旋形行进"
steppe,n. 大草原
strict,"a. 严厉的, 绝对的, 详尽的, 严格的, 精确的
"
superorganism,n. [生]超个体(指群居昆虫等的群体)
supplement,"n. 补充物, 增刊, 补充, 补遗, 补编, 附录, 补角
vt. 补充, 增补"
tale,"n. 故事, 谎言, 谣言, 陈述, 叙述
"
thaw,"n. 融解, 融化, 解冻时期
vt. 使融解, 使缓和
vi. 融化, 解冻"
tight,"a. 紧的, 密封的, 吝啬的, 严厉的
adv. 紧紧地"
tingle,"vi. 激动, 感到刺痛, 抖动
vt. 使感刺痛
n. 刺痛, 震颤, 耳鸣"
transplant,"vt. 使移居, 移植, 使迁移
vi. 移居, 耐移植
n. 移居者, 移植"
trash,"n. 垃圾, 废物
vt. 丢弃"
vibration,"n. 振动, 颤动
"
warn,"vt. 警告, 提醒, 通知
vi. 发出警告"
admission,"n. 准许进入, 入场费, 录用, 承认
"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
airflow,"n. 空气的流动, 气流"
ammonia,"n. 氨水, 阿摩尼亚
"
ancestral,"a. 祖先的, 祖传的
"
assure,"vt. 保证, 使确信, 弄清楚, 担保
"
attain,"vt. 达到, 获得
vi. 达到"
blast,"n. 一阵风, 爆炸, 枯萎病
vt. 炸, 使枯萎
vi. 炸, 猛攻, 猛烈抨击, 枯萎"
bulk,"n. 大小, 体积, 大块, 大多数
vt. 显得大, 显得重要"
calculator,"n. 计算者, 计算器
"
carol,"n. 颂歌, 欢乐的歌
v. 歌颂, 欢唱"
cavity,"n. 洞, 空穴, 腔
"
chaotic,"a. 混乱的, 无秩序的
"
coil,"n. 线圈, 盘绕, 骚动, 卷
vt. 盘绕, 卷"
commerce,"n. 商业, 商务, 贸易
"
commission,"n. 委任状, 任官令, 所委职责, 佣金, 犯, 委托, 所托之事
vt. 委任, 委托制作, 使服役"
commitment,"n. 委托, 交押, 承担义务, 赞助
"
compress,"vt. 压缩, 压紧
vi. 受压缩小
"
conceal,"vt. 隐藏, 掩盖, 隐瞒
"
concrete,"n. 凝结物, 混凝土
a. 具体的, 实在的, 混凝土的
v. (使)凝结, 用混凝土浇筑"
democrat,"n. 民主人士, 民主主义者, 民主党党员
"
diffusion,"n. 散播, 传播, 蔓延
"
dispersal,"n. 散布, 传播, 分散"
distort,"vt. 扭曲, 歪曲
"
dozen,"n. 打, 十二个
a. 一打的"
egalitarian,"a. 平等主义的
n. 平等主义"
eggshell,n. 蛋壳
election,"n. 选举, 当选, 选择权
"
estuary,"n. 河口, 港湾"
evident,"a. 显然的, 明显的"
excavation,"n. 挖掘, 发掘, 挖掘的洞
"
excellent,"a. 优良的, 杰出的, 出色的"
exclude,"vt. 除外, 排除, 排斥
"
fame,"n. 名望, 名声, 传说"
flaw,"n. 缺点, 裂纹, 瑕疵, 一阵狂风
"
frustrate,"vt. 挫败, 击败, 破坏
a. 无益的, 挫败的, 挫折的"
genetically,"adv. 创始, 遗传学, 生殖, 基因, 遗传, 发生"
gourmet,n. 美食家
habituation,"n. 使习惯, 习惯, 熟习
"
harden,"vt. 使变硬, 使坚强, 使冷酷
vi. 变硬, 变冷酷"
harmony,"n. 协调, 和睦, 调和
"
hierarchy,"n. 等级制度, 僧侣统治, 等级体系
"
hint,"n. 暗示, 提示
v. 暗示, 示意"
impressionism,"n. 印象主义, 印象派"
inability,"n. 无能, 无力"
inadequate,"a. 不充分的, 不适当的
"
industrialize,"vt. 使工业化
vi. 实现工业化"
insight,"n. 察看, 洞察力, 见识
"
intelligent,"a. 聪明的, 智能的, 了解的"
judge,"n. 法官, 裁判员, 审判官, 鉴定人
vt. 审理, 鉴定, 判断, 判决, 裁定
vi. 下判断, 作评价"
kiln,"n. 窑, 炉, 干燥炉
vt. 烧窑, (在干燥炉)烘干"
leap,"n. 跳跃, 剧增, 急变, 被越过之物
vi. 跳跃, 突然经过
vt. 跃过, 使跃过"
literacy,"n. 读写能力, 识字, 精通文学"
lizard,"n. 蜥蜴
"
lunar,"a. 阴历的, 月的, 微亮的(指光)
"
magnetic,"a. 有磁性的, 有吸引力的, 催眠术的
"
manipulate,"vt. 操纵, 利用, 操作, 巧妙地处理, 假造"
mask,"n. 面具, 假面具, 掩饰, 石膏面模
vt. 戴面具, 掩饰, 使模糊
vi. 化装, 戴面具, 掩饰, 参加化装舞会
"
mechanic,"n. 机械工, 技工
a. 手工的"
mercantile,"a. 商业的, 商人的
"
minimize,"vt. 将...减到最少
vt. 最小化
vi. 最小化
"
noticeable,"a. 显而易见的, 显著的, 值得注意的"
novelty,"n. 新奇, 新鲜, 新奇的事物"
nutritional,"a. 营养的, 滋养的
"
paradox,"n. 似非而是的论点, 自相矛盾的话, 悖论, 怪人怪事
"
patent,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
pave,"vt. 铺设, 安排, 铺满, 为...铺路
"
penmanship,"n. 书法, 笔法, 笔迹, 文体"
perennial,"a. 常年的, 长期的, 反复的
"
Persian,"n. 波斯人, 波斯语"
platform,"n. 站台, 月台, 讲台, 论坛, 平台
"
practitioner,"n. 从业者, 开业者
"
precious,"a. 宝贵的, 珍贵的, 过于精致的, 珍爱的"
precipitate,"n. 沉淀物, 凝结物, 结果
vt. 猛抛, 使陷入, 促成, 使沉淀
vi. 猛地落下
a. 突然的, 猛地落下的, 轻率的"
predominate,"vt. 掌握, 控制, 支配
vi. 占主导地位, 占优势"
prevail,"vi. 获胜, 流行, 盛行
"
prosperity,"n. 繁荣, 茂盛, 成功
"
prosperous,"a. 成功的, 繁盛的, 幸运的
"
protective,"a. 给予保护的, 保护的
"
pursue,"vt. 追赶, 追踪, 追随, 追求, 实行, 继续, 从事
vi. 追赶, 继续"
questionable,"a. 可疑的
"
refrigerator,"n. 电冰箱, 冷藏库
"
regularity,"n. 规则性, 匀整, 正规, 经常
"
rehearse,"vt. 预演, 排演, 使熟练掌握, 练习, 复述
vi. 排练, 练习, 演习"
reliance,"n. 信任, 信赖, 受信赖的人(或事)
"
repetition,"n. 重复, 背诵, 循环, 复制品, 副本
"
reputation,"n. 名誉, 名声, 声望
"
restless,"a. 不安静的, 慌张的, 休息不充分的
"
revolutionary,"n. 革命者, 革命党人
a. 革命的, 革命性的"
rib,"n. 肋骨, 肋状物, 笑话
vt. 装肋状物于, 戏弄"
rid,"vt. 免除, 以...清除, 使获自由, 使摆脱
"
salvage,"n. 海上救助, 抢救, 打捞, 抢救出来的财物
vt. 海上救助, 抢救, 打捞, 营救
"
sanctuary,"n. 圣所(指教堂、寺院等), 耶路撒冷的神殿, 避难所
"
scratch,"n. 抓痕, 搔, 抓, 擦伤, 刮擦声, 乱写, 零分, 起跑线
vt. 搔, 抓, 挖出, 擦, 刮, 乱涂, 勾抹掉
vi. 搔, 抓, 发刮擦声, 勉强糊口
a. 碰巧的, 凑合的, 打草稿用的
"
shrine,"n. 圣地, 神龛, 庙
vt. 将...置于神龛内"
slice,"n. 薄的切片, 一部分, 菜刀
vt. 切成薄片, 切下
vi. 切
"
soak,"n. 浸, 湿透, 大雨
vt. 使上下湿透, 浸, 吸入, 吸收, 浸洗掉
vi. 浸泡, 渗透"
stabilize,"vt. 使安定, 使稳固
vi. 稳定, 安定"
subduction,"[医] 下转, 眼球下转"
subsurface,a. 表面下的
supernatural,"a. 超自然的, 神奇的
"
suspend,"vt. 悬, 吊, 使悬浮, 暂停, 中止, 推迟
vi. 暂停, 中止, 悬浮, 停止偿付债务
"
symbolic,"a. 象征的, 符号的
"
tame,"a. 驯服的, 柔顺的, 被开垦的, 顺从的, 乏味的, 平淡的
vt. 驯养, 驯服, 制服, 失去锋芒
vi. 变得驯服"
tar,"n. 焦油, 柏油, 水手
vt. 涂以焦油, 玷污, 怂恿
a. 焦油的"
tomb,"n. 坟墓, 死亡
vt. 埋葬"
tract,"n. 大片土地, 地带, 小册子
"
turkey,"n. 火鸡, 无用的家伙, 土耳其"
unexpected,"a. 料想不到的, 突然的, 意外的
"
union,"n. 联盟, 联合, 结合, 工会
"
utilitarian,"a. 有效用的, 实利主义的, 功利主义的
n. 功利主义者"
vicinity,"n. 附近, 邻近, 附近地区, 近处
"
vocalization,"n. 发声, 元音化
"
wagon,"n. 四轮马车, 货车
"
wakefulness,"[医] 不眠症, 失眠"
acceptance,"n. 接受, 接纳, 承认, 同意, 赞同, 容忍, 相信
"
acidic,"a. 成酸的, 尖刻的, 酸性的
"
adequate,"a. 适当的, 足够的
"
Antarctic,"a. 南极的, 南极地带的
n. 南极地区"
antibiotic,"n. 抗生素
a. 抗生的"
applicant,"n. 申请者
"
apprentice,"n. 学徒, 生手
vt. 使做学徒"
await,"vt. 等候
vi. 等待着"
backbone,"n. 脊椎, 志气, 骨干, 支柱
"
barren,"a. 不育的, 贫瘠的
n. 荒地"
biochemical,"a. 生物化学的
"
birch,"n. 桦树, 桦木, 桦条
"
blow,"n. 吹, 打击, 殴打, 花开
v. 吹, 风吹, 吹响, 开花"
breakthrough,"n. 突破
"
bump,"n. 撞击, 肿块
vt. 碰撞
vi. 撞, 颠簸而行"
cabin,"n. 小屋, 客舱
vt. 关在小屋"
caffeine,"n. 咖啡因, 咖啡碱
"
calculus,n. 结石；微积分学
cap,"n. 盖子, 帽子
vt. 戴帽子, 覆盖, 胜过
vi. 脱帽致意
"
capability,"n. 能力, 性能, 约束力
"
cellulose,"n. 纤维素
"
chew,"vt. 咀嚼, 嚼碎
vi. 咀嚼, 细想
n. 咀嚼, 咀嚼物"
circadian,a. 24小时生理节奏的
clement,"a. 仁慈的, 宽厚的, 温和的"
cohesive,"a. 黏合在一起的
"
collective,"a. 集体的, 聚集的, 共同的
"
compel,"vt. 强迫, 迫使"
compelling,"a. 强制的, 强迫性的, 激发兴趣的"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
conspicuous,"a. 显著的, 显眼的, 出众的"
constituent,"n. 成分, 选民, 构成物
a. 构成的, 组织的, 选举的"
contradiction,"n. 反驳, 矛盾
"
convection,"n. 传送, 对流, 传导
"
conversion,"n. 转变, 转换, 改变宗教信仰, 换位法
"
coordinate,"n. 同等的人(或物), 坐标
a. 同等的, 并列的
v. (使)协调"
costly,"a. 昂贵的, 奢华的, 费用大的"
costume,"n. 装束, 服装"
court,"n. 法院, 庭院, 奉承
vt. 献殷勤, 追求, 招致
vi. 求爱"
custodian,"n. 管理人, 保管人, 监护人
"
dam,"n. 水坝, 障碍
v. 控制, 筑坝
"
deform,"vt. 使残缺, 使变形
vi. 变形"
demonstration,"n. 示范, 实证
"
deplete,"vt. 耗尽, 使衰竭
"
devote,"vt. 投入于, 献身"
disturb,"vt. 扰乱, 妨碍, 使不安
"
dominance,"n. 优势, 显性, 统治, 控制, 支配
"
dwarf,"n. 矮子, 侏儒
v. (使)变矮小"
eager,"a. 热心的, 渴望的, 热望的"
edition,"n. 版本, 版, 翻版"
editorial,"n. 社论, 评论
a. 编辑的, 主笔的, 社论的"
ejecta,"n. 喷出物, 渣, 废物
"
entry,"n. 登录, 条目, 进入, 入口, 报关
"
equip,"vt. 装备, 配备
"
evaluation,"n. 评估, 估价, 求值
"
exotic,"a. 异国的, 外来的
n. 外来人, 外来物, 舶来品"
exterior,"n. 外部, 表面, 外貌
a. 外部的, 外在的, 表面的"
faint,"n. 昏厥, 昏倒
a. 模糊的, 微弱的, 无力的
vi. 昏倒, 变得微弱"
feat,"n. 壮举, 功绩, 技艺表演
a. 灵巧的, 合适的, 整洁的"
fertilize,"vt. 施肥, 使丰饶, 使受精"
figurine,n. 小雕像
franchise,"n. 公民权, 特权, 特许经营权, 免赔额
vt. 给以特权, 给以...公民权"
graduate,"n. 毕业生, 量杯
a. 已得学位的, 研究生的, 毕业的
vi. 毕业, 得学位, 逐渐变为
vt. 准予...毕业, 授予...学位, 分等级, 刻刻度"
grained,"a. 有木纹的, 漆成花纹的, 去毛的"
grand,"a. 庄重的, 壮观的, 显赫的, 重大的, 最高的, 雄伟的, 宏大的, 豪华的, 傲慢的
"
guideline,"n. 指导路线, 方针, 指标
"
handedness,[医] 左利或右利(偏于用一侧手工作)
handicraft,"n. 手工艺, 手艺
"
harness,"n. 马具, 挽具状带子, 甲胄
vt. 给...上挽具, 驾驭, 披上甲胄, 利用...以产生动力"
harpsichord,n. 羽管键琴
herder,"n. 牧人, (美)(非正式)监狱看守
"
hexagonal,"a. 六角形的, 六边的, 底面为六角的
"
highway,"n. 公路, 大道, 捷径
"
hull,"n. 壳, 皮, 船体
vt. 去壳"
humid,"a. 潮湿的, 湿润的, 多湿气的"
inequality,"n. 不平等, 不同, 不平坦, 不平均
n. 不平等, 不等式
"
inspiration,"n. 灵感, 鼓舞人心的人或物, 妙计, 吸气
"
instinct,"n. 本能, 直觉
a. 充满着的"
intensive,"a. 加强的, 内涵的, 集中的
n. 加强器"
interstellar,a. 星际的
intrigue,"n. 阴谋, 复杂的事
vi. 密谋, 私通
vt. 激起...的兴趣, 用诡计取得"
intrinsic,"a. 本质的, 原有的, 真正的
"
invader,"n. 侵略者
"
irrelevant,"a. 不恰当的, 无关系的, 不相干的
"
jewelry,"n. 珠宝, 珠宝类"
load,"n. 负荷, 担子, 重担, 装载量, 负载, 工作量, 加载
vt. 装载, 装填, 使担负
vi. 装货, 上客, 装料
"
locally,"adv. 地方性地, 局部性地, 在当地"
luxury,"n. 奢侈, 豪华
a. 奢侈的, 豪华的"
magical,"a. 魔术的, 有魔力的, 不可思议的"
manganese,"n. 锰
"
marker,"n. 作记号的人, 记分员, 书签, 纪念碑, 里程碑, 标识物, 标记
"
meadow,"n. 草地, 牧场"
melon,"n. 瓜, 甜瓜, 红利, 赃物
"
methane,"n. 甲烷, 沼气
"
minimum,"a. 最小的, 最低的
n. 最小值
"
moose,"n. 麋, 驼鹿"
moss,"n. 苔藓, 泥沼
vt. 使长满苔藓"
mustard,"n. 芥末, 芥菜, 强烈的兴趣
"
naturalistic,"a. 自然的, 自然主义的"
nebular,a. 星云的
octopus,n. 章鱼
olfactory,"a. 嗅觉的, 味道的
n. 嗅觉器官, 嗅神经"
ornament,"n. 装饰, 点缀品, 教堂用品
vt. 装饰, 修饰"
outwork,"n. 户外工作, 外勤工作
vt. 工作比...做得更好, 圆满地完成"
overcast,"a. 阴天的, 阴暗的, 愁闷的"
overlie,"vt. 躺在...上面, 压在...上面, 盖得使窒息, 压得...闷死"
permafrost,n. [地]永久冻结带
pianist,"n. 钢琴家, 钢琴演奏者"
piston,"n. 活塞, 活塞阀键
"
plankton,"n. (总称)浮游生物
"
plausible,"a. 貌似真实的, 貌似合理的, 说得煞有其事的
"
pollinate,vt. 对...授粉
potassium,"n. 钾
"
predatory,"a. 掠夺成性的, 捕食生物的, 掠夺的
"
prestige,"n. 声望, 威望, 威信
"
profession,"n. 职业, 表白, 声明
"
progressively,"adv. 进步, 先进, 向前进, 不断前进, 累进, 渐进, 逐渐, 渐次, 主张进步, 进行性"
prolong,"vt. 延长, 拖延, 拖长
"
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
prone,"a. 俯伏的, 面向下的, 有...倾向的
"
punctuate,"vt.vi. 给文章加标点, 加标点符号
vt. 强调, 加强, (常用被动)不时打断
n. 标点, 标点法, 标点符号"
radical,"n. 激进分子, 词根, 基础, 根式, 根
a. 激进的, 根本的, 基本的, 根的"
radically,"adv. 根本地, 完全地"
refund,"n. 偿还
vt. 付还, 偿还借款
vi. 归还, 偿还"
