able,"a. 能干的, 能够的"
mountain,"n. 山, 山脉, 大堆"
mouse,"n. 老鼠, 胆小羞怯的人, 鼠标
vi. 捕鼠, 窥探
vt. 探出
"
mouth,"n. 嘴, 口, 口腔, 口状物
vi. 装腔作势说话, 做鬼脸
vt. 说出, 做作地说"
move,"n. 移动, 迁居, 步骤
vt. 移动, 开动, 感动, 搬(家)
vi. 移动, 离开, 运行, 迁移, 摇动, 搬家, 交往, 进展, 脱手
"
movie,n. 电影
Mr.,"abbr. （用于男子的姓氏或姓名前）先生；（用于称呼要员）先生
"
Mrs.,n. 先生
Ms.,"abbr. 多发性硬化
n. “M”的复数
"
much,"n. 大量, 许多, 重要的事
a. 很多的, 重要的
adv. 多, 甚, 几乎"
music,"n. 音乐, 乐曲"
must,"n. 必须, 未发酵葡萄汁, 绝对必要的事物
aux. 必须"
my,"pron. 我的
"
myself,"pron. 我自己, 我亲自, 我独自"
name,"n. 名字, 名称, 姓名, 名义, 名誉, 文件名
vt. 命名, 称呼, 任命, 提名, 列举
a. 姓名的, 据以取名的
"
narrow,"n. 狭窄部分, 隘路
a. 狭窄的, 仔细的, 有限的, 勉强的, 狭隘的, 手紧的
vi. 变窄
vt. 使变狭窄"
nature,"n. 自然, 大自然, 本性, 性格, 性质
"
near,"a. 近的, 近亲的, 近似的
adv. 接近, 亲近
prep. 靠近, 近似于
v. 接近, 走近"
nearby,"a. 附近的, 近旁的
adv. 在附近, 近旁地
prep. 在...附近"
nearly,"adv. 几乎, 密切地"
neat,"a. 整洁的, 巧妙的, 匀称的, 简洁的
n. 牛"
neck,"n. 脖子, 衣领, 颈
vi. 拥抱, 拥吻, 收缩
vt. 割颈"
need,"n. 需要, 必须, 缺乏
vt. 需要, 必需
vi. 贫困, 有必要
aux. 需要"
neither,"adv. 皆不, 两个都不
a. (两者)都不的
pron. 两者都不
conj. 既非, 既不"
nervous,"a. 神经紧张的, 不安的, 神经的
"
nest,"n. 巢, 窝, 休息所, 隐匿处
vi. 筑巢, 找鸟巢
vt. 为...设窝, 使套叠
"
net,"n. 网, 网状物, 罗网, 净利, 净价
a. 净的, 最终的
vt. 用网捕, 撒网, 净赚, 得到
vi. 编网
"
never,"adv. 从不, 决不, 不曾
"
new,"a. 新的, 陌生的, 最近的, 不熟悉的
"
news,"n. 新闻, 消息, 报导
"
next,"n. 下一个
a. 下一个的, 其次的, 贴近的
adv. 然后, 下次, 次于
"
nice,"a. 美好的, 和蔼的, 正派的, 做得好的, 精密的, 细微的, 挑剔的, 谨慎的"
night,"n. 夜, 夜晚, 晚上, 黑暗, 夜晚的工作
"
no,"n. 不, 拒绝, 否决票
a. 没有, 不是, 绝非
adv. 不"
No.,"adv. 没有；无；并不；禁止
int. 没有；不是；不要；（用于否定的回答或陈述）不
adj. 禁止；(一个也)没有；一点儿也没有；什么也"
nobody,"n. 小人物, 无名小卒
pron. 无人, 没有人"
nod,"n. 点头, 打盹, 晃动
vi. 点头, 打盹
vt. 点头表示, 点(头)"
noise,"n. 噪音, 杂音, 响声, 喧闹
vt. 谣传
vi. 喧闹
"
none,"adv. 一点也不, 毫不
pron. 没有人, 无一物, 并无一个
a. 没有的"
noodle,"n. 面条, 笨蛋"
noon,"n. 正午, 中午, 全盛期"
nor,"conj. 也不, 也没有
"
normal,"n. 常态, 标准, 正常, 普通
a. 正常的, 正规的, 标准的, 师范的, 正态的
"
north,"n. 北方, 北
a. 北的, 北方的
adv. 向北方, 在北方"
northeast,"n. 东北
a. 东北的, 向东北的, 来自东北的
adv. 向东北, 来自东北"
northwest,"n. 西北, 西北方
a. 西北的, 在西北的, 来自西北的
adv. 向西北"
nose,"n. 鼻子, 突出部分, 嗅觉
vt. 嗅到, 探出, 用鼻子触
vi. 闻, 嗅, 探听, 告密"
not,"adv. 不, 非, 未
"
nothing,"n. 无, 不关紧要之事, 零
adv. 毫不, 决不
interj. 什么也没有, 无"
now,"adv. 现在, 刚才, 目前
n. 现在
a. 现在的
conj. 由于"
nowhere,"adv. 无处, 到处都无"
number,"n. 数, 数字, 数目, 号码
vt. 数, 计算, 共计
vi. 计算, 报数
"
nurse,"n. 护士, 保姆, 奶妈
vt. 看护, 照顾, 培养
vi. 喂奶, 看护病人"
nut,"n. 坚果, 核心, 螺帽
"
obey,"vt. 服从, 遵从, 顺从
vi. 服从"
ocean,"n. 海洋, 广阔, 许多, 一大片
"
o'clock,"n. ...点钟, 钟头"
of,"prep. 的, 属于"
off,"a. 关着的, 不再生效的, 处于...境况的, 休假的, 空闲的
adv. 走开, ...掉, ...下, 休息, 出发, 隔断
prep. 离开, 脱落, 不在从事......, 在...之外
vi. 离开, 滚开
vt. 杀死
n. 关闭状态
"
office,"n. 办公室, 部, 公职, 职责
"
often,"adv. 时常, 常常"
oh,interj. (表示惊讶、恐怖、赞叹)哦
oil,"n. 油, 石油, 油画颜料
vt. 涂油于, 使融化成油状, 加油于
vi. 加燃油, 融化"
old,"n. 以前, 往昔
a. 老的, 旧的, 古老的, 年长的, 老练的"
on,"prep. 在...之上
adv. ...上去
a. 正起作用的
"
once,"adv. 一次, 曾经, 一旦
conj. 一旦, 一经
n. 一次
a. 从前的"
one,"n. 一(个)
pron. 一, 任何人
num. 一, 一个
a. 一致的, 完整的"
oneself,"pron. 自己, 亲自"
only,"a. 唯一的, 仅有的, 最佳的
adv. 只有, 仅仅, 只能
conj. 但是, 不过"
onto,prep. 在...之上
open,"n. 公开, 户外, 空旷
a. 开着的, 开放的, 开阔的, 营业着的, 公开的, 悬而未决的
vt. 打开, 公开, 开放
vi. 展开, 开始, 展现
"
opinion,"n. 意见, 评价, 主张
"
or,"conj. 或, 或者
"
oral,"n. 口试
a. 口头的, 口述的, 口部的"
orange,"n. 柑橘, 桔子, 橘色
a. 橘色的"
order,"n. 次序, 规则, 命令
vi. 命令, 定货
vt. 整理, 命令, 定购
n. 顺序, 阶数
"
other,"a. 其他的, 另外的, 从前的
pron. 其他的, 他人, 另外一个"
ought,"aux. 应该, 大概
n. 责任"
our,pron. 我们的
ours,pron. 我们的
ourselves,pron. 我们自己
out,"a. 外面的, 熄灭的, 结束的
adv. 在外, 熄灭, 出现
prep. 出自, 离去, 向"
outside,"n. 外面, 外表, 外界
a. 外面的, 外表的, 外界的
adv. 外面, 外表, 外界"
over,"adv. 结束, 越过, 从头到尾
prep. 在...之上, 遍于...之上, 越过
a. 上面的
vt. 越过"
own,"n. 自己的
a. 自己的, 嫡亲的, 同胞的
vt. 拥有, 支配, 自认, 承认, 顺从于
vi. 承认, 供认"
aboard,"adv. 在船上, 在火车上, 在飞机上
prep. 在...之上"
accent,"n. 重音, 口音, 特点, 注重点
vt. 重读, 加重音号于, 强调"
acid,"n. 酸, 酸类物质, 尖刻, 迷幻药
a. 酸的, 酸性的, 尖刻的, 敏锐的
"
acre,n. 英亩
airline,"n. 航线, 航线的设备, 航空公司"
airmail,n. 航空邮件
airspace,"n. 空域, 空间
"
allergic,"a. 对...过敏的, 极反感的
"
alphabet,"n. 字母
"
ambassador,"n. 大使
"
ambulance,"n. 救护车
"
amusement,"n. 兴味, 娱乐, 消遣
"
ancestor,"n. 祖先, 祖宗"
anchor,"n. 锚
vt. 抛锚停泊, 使固定
"
angle,"n. 角, 角度, 角落
vi. 钓鱼, 谋取, 博取, 斜向移动, 转变角度
vt. 使转动角度, 在...钓鱼, 获取"
ankle,"n. 踝
"
ant,n. 蚂蚁
Antarctic,"a. 南极的, 南极地带的
n. 南极地区"
apartment,"n. 房间, 公寓"
approximately,"adv. 大约, 大致, 近于
"
apron,"n. 围裙
"
Arctic,"a. 北极的, 极寒的
n. 北极圈, 北极"
armchair,n. 扶手椅
arithmetic,"n. 算术, 算术知识
"
arrow,"n. 箭, 箭状物, 箭头记号"
ash,"n. 灰, 灰烬
"
ashamed,"a. 惭愧的, 羞耻的"
astronaut,"n. 太空旅行者, 宇航员
"
astronomy,n. 天文学
Atlantic,"n. 大西洋
a. 大西洋的"
atom,"n. 原子, 核能, 微粒, 微量
"
avenue,"n. 大街, 途径, 林荫路"
bacon,"n. 熏猪肉
"
badminton,n. 羽毛球运动
baggage,"n. 行李
"
balloon,"n. 气球
vt. 使成气球状
vi. 膨胀如气球, 激增"
bamboo,"n. 竹子
"
band,"n. 带子, 队, 乐队
v. 联合, 结合
"
barbecue,"n. 烤肉
vt. 烤肉, 烧烤"
bark,"n. 树皮, 吠声
vi. 吠, 叫骂
vt. 喊出, 剥树皮"
baseball,"n. 棒球
"
basement,"n. 地下室, 墙脚
"
basin,"n. 盆, 盆地
"
bat,"n. 蝙蝠, 球棒
v. 用球棒打, 眨眼
"
bath,"n. 沐浴, 浴室
"
bathe,"vt. 沐浴, 用水洗
vi. 洗澡"
bathroom,"n. 浴室, 厕所"
bathtub,n. 浴缸
battery,"n. 电池, 殴打
"
beard,"n. 胡须
vt. 抓住胡须, 公开反对"
beast,"n. 畜生, 动物, 野兽, 兽性"
belt,"n. 带子, 地带
"
bench,"n. 长椅子
"
bend,"vi. 变弯曲, 屈服
vt. 使弯曲, 使屈服
n. 弯曲"
beneath,"prep. 在...下方
adv. 在...下方"
bite,"n. 咬, 一口
v. 咬, 刺痛, 穿透"
blanket,"n. 毛毯, 毯子
vt. 掩盖, 覆盖
a. 总共的"
bond,"n. 捆绑物, 结合, 债券, 契约, 粘合剂, 保证人, 键, 关栈保留
vt. 存入关栈, 使黏合
vi. 结合"
boot,"n. 长靴, 踢, 解雇, 效用
vt. 使穿靴, 踢, 解雇, 有用
"
border,"n. 边缘, 边境, 边界, 花坛
vt. 在...上镶边, 接近
vi. 接界, 近似
"
bowling,n. 保龄球戏
boxing,"n. 拳击
"
brake,"n. 刹车, 阻碍, 丛林
v. 刹车"
breast,"n. 胸部, 乳房, 胸怀
vt. 以胸对着, 面对"
bride,n. 新娘
bridegroom,n. 新郎
broom,"n. 扫帚, 金雀花
vt. 扫除"
brush,"n. 刷子, 毛笔, 争吵
vt. 刷
vi. 擦过, 掠过
"
buffet,"n. 自助餐, 小卖部, 碗橱, 殴打, 冲击
vt. 连续打, 冲击, 搏斗
vi. 奋斗"
bunch,"n. 串, 束
"
burglar,"n. 窃贼
"
bush,"n. 矮树丛
"
butcher,"n. 屠夫, 肉商, 小贩
vt. 屠宰, 屠杀"
butterfly,"n. 蝴蝶
"
candle,"n. 蜡烛
vt. 对着光检查"
candy,"n. 糖果, 冰糖
vt. 用糖煮, 使结晶为砂糖
vi. 结晶为砂糖"
canteen,"n. 水壶, 军中俱乐部, 临时流动餐馆, 小卖部"
cap,"n. 盖子, 帽子
vt. 戴帽子, 覆盖, 胜过
vi. 脱帽致意
"
captain,"n. 船长, 指挥官, 海军上校, 首领
vt. 率领, 指挥"
carpenter,n. 木匠
carpet,"n. 地毯, 地毯状物
vt. 铺以地毯, 铺盖"
carriage,"n. 马车, 客车, 举止, 运输
"
cassette,"n. 盒式磁带, 珠宝箱, 暗盒
"
castle,"n. 城堡, 象棋中的车
vt. 置于城堡中, 盘踞于"
cattle,"n. 牛, 家畜
"
cave,"n. 洞, 穴
vi. 凹陷, 塌落
vt. 挖洞, 使凹陷, 损坏...的基础"
ceiling,"n. 天花板
"
cent,"n. 分
"
centigrade,"a. 百分度的, 摄氏的
"
centimetre,"n. 厘米, 公分"
centimeter,"n. 厘米
"
chant,"n. 圣歌, 赞美诗
v. 吟唱, 诵扬"
chapter,"n. 章, 篇, 重要章节
"
chart,"n. 图表, 海图
vt. 制成图表
"
cheek,"n. 颊, 厚颜, 脸蛋
"
cheese,"n. 乳酪
"
chef,n. 厨师
cheque,n. 支票
chess,"n. 国际象棋
"
chest,"n. 胸, 胸部, 衣柜, 箱子
"
chew,"vt. 咀嚼, 嚼碎
vi. 咀嚼, 细想
n. 咀嚼, 咀嚼物"
cigar,n. 雪茄
circus,"n. 马戏团, 马戏, 竞技场"
clap,"n. 拍手, 拍手声, 霹雳声, 花柳病
v. 鼓掌, (使)啪地关上"
claw,"n. 爪, 螯, 抓伤
v. 用爪抓, 挖, 搜刮"
clerk,"n. 办事员, 职员, 文书
vi. 当店员"
clinic,"n. 诊所, 临床教学
"
cocoa,"n. 可可粉, 可可茶, 可可色
"
coke,"n. 可口可乐, 焦炭
v. (使)成焦炭"
collar,"n. 衣领, 颈圈
vt. 控制, 扭住衣领, 给...装上领子"
comb,"n. 头梳, 鸡冠
vt. 梳头发, 梳毛
vi. (浪)涌起"
cookie,"n. 饼干, 小甜点
"
cottage,"n. 小屋, 茅舍"
countryside,"n. 乡下地方, 乡下居民"
courtyard,"n. 庭院, 天井"
cozy,"a. 舒适的, 安逸的, 惬意的
n. (茶壶等的)保暖罩, 舒适的座位
vt. 以假话使安心"
cream,"n. 乳酪, 奶油, 面霜
"
crossroads,"n. 十字路口, 交叉路口, 聚会的中心地点, (喻)需作抉择的重要关头, 紧要关头"
cupboard,"n. 食橱, 碗柜, 餐具柜"
curtain,"n. 帐, 幕, 窗帘
vt. 装帘子于, 遮蔽"
cycle,"n. 周期, 循环, 自行车, 一段时间, 整套
vi. 循环, 轮转, 骑自行车
vt. 使循环, 使轮转
"
cyclist,n. 骑脚踏车的人
dentist,"n. 牙科医生
"
dessert,n. 餐后甜点
dial,"n. 刻度盘, 钟面, 转盘
v. 拨"
dinosaur,n. 恐龙
dip,"v. 浸, 降下, 把(手、勺等)伸入, 舀取
n. 浸, 涉猎
"
dish,"n. 盘子, 碟, 菜肴
"
disk,"n. 圆盘, 磁盘
"
dive,"n. 潜水, 跳水
vi. 跳水, 俯冲, 猛冲
vt. 把...突然伸入"
dormitory,n. 宿舍
drawer,"n. 抽屉, 开票人
"
drill,"n. 钻孔机, 钻子, 播种机, 粗斜纹布
v. 训练, 钻孔"
dusk,"n. 薄暮, 傍晚, 黄昏
a. 微暗的
v. (使)微暗"
dust,"n. 灰尘, 尘埃, 粉末, 花粉, 土, 骚乱
vt. 拂去灰尘, 撒, 弄成粉末
vi. 拂去灰尘, 化为粉末"
dustbin,n. 垃圾箱
eagle,"n. 鹰, 鹰状标饰"
Easter,n. 复活节
eggplant,n. 茄子
embassy,"n. 大使馆, 大使馆全体人员
"
enquiry,"n. 询问
"
eyesight,"n. 视力, 目力"
fax,"n. 传真
vt. 发传真
"
fellow,"n. 男人, 朋友, 同事
a. 同伴的, 同事的, 同道的"
fence,"n. 围墙, 栅栏, 买卖赃物的人, 剑术
vt. 用篱笆围住, 练习剑术, 防护
vi. 击剑, 搪塞"
fisherman,"n. 渔夫, 钓鱼者, 渔船"
fist,"n. 拳头, 手
vt. 拳打, 握成拳, 紧握"
flashlight,"n. 手电筒, 闪光信号灯"
flour,"n. 面粉, 粉沫, 碎粉
"
forehead,"n. 额, 前额, 前部
"
fork,"n. 叉子, 叉状物, 分岔
vi. 分支, 分歧
vt. 做成叉形, 叉起
"
franc,n. 法郎
freeway,n. 高速公路
frost,"n. 霜, 冰冻, 冷漠
vt. 覆着霜, 冻结, 结霜
vi. 受冻, 起霜"
fur,"n. 毛皮
vt. 以毛皮制作, 使生苔, 使生水垢
vi. 生苔, 积水垢"
furniture,"n. 家具, 帆具"
garage,"n. 车库, 汽车修理厂, 机库
vt. 把车送入修车场"
garbage,"n. 垃圾, 废物
"
garlic,"n. 大蒜
"
giraffe,"n. 长颈鹿, 鹿豹座"
glue,"n. 胶, 粘性物
vt. 粘合, 胶合"
goose,"n. 鹅, 雌鹅, 鹅肉, 弯把熨斗
vt. 与...性交, 突然加大油门, 使生色, 喝倒彩"
grain,"n. 谷粒, 颗粒, 谷类, 纹理, 本质
v. (使)成谷粒"
gram,"n. 克, 绿豆, 鹰嘴豆
"
graph,"n. 曲线图, 图表, 图形
"
greengrocer,"n. 蔬菜水果商, 菜贩"
grocer,n. 食品商
gym,"n. +体育馆, 体育训练, 体育课, 体操"
gymnastics,"n. 体操, 体育
"
ham,"n. 火腿, 后腿, 笨拙演员
a. 过火的, 做作的
v. 演得过火"
hammer,"n. 锤, 铁锤, 钉锤
vt. 锤打, 敲打, 钉
vi. 连续锤打
"
handkerchief,"n. 手帕, 头巾, 围巾"
headmaster,"n. (中小学)校长, 监工"
headmistress,n. (中小学)女校长
heel,"n. 脚后跟, 踵, 后部, 倾侧
vt. 尾随, 装以鞋跟, 倾侧, 追赶
vi. 紧随, 用脚后跟传球"
helicopter,"n. 直升机
vt. 由直升机运送
vi. 乘直升机"
highway,"n. 公路, 大道, 捷径
"
hotdog,v. 卖弄
howl,"n. 嗥叫, 吠声, 号叫
vi. 狂吠, 咆哮, 呼啸
vt. 对...吼叫, 狂喊着说"
hydrogen,"n. 氢
"
inch,"n. 英寸, 身高, 小岛
vi. 慢慢前进, 慢慢移动
vt. 使缓慢地移动"
ink,"n. 墨水, 墨汁
vt. 涂墨水于, 签署, 加墨水"
inn,"n. 旅馆, 客栈
vi. 住旅馆"
insect,"n. 昆虫, 卑鄙的人
"
insert,"n. 插入物
vt. 插入, 把(人造卫星)射入(轨道), 添写
vi. 附着
"
interpreter,"n. 直译程序, 解释者, 口译者, 注释器
"
iron,"n. 铁, 熨斗, 铁器, 坚强, 烙铁, 镣铐
vt. 烫平, 熨, 用铁包
vi. 烫平"
jar,"n. 广口瓶, 震动, 刺耳声
vi. 震惊, 冲突, 发刺耳声, 不一致
vt. 震动, 刺激"
jaw,"n. 颚, 颌
v. 闲谈, 教训, 唠叨"
jazz,"n. 爵士乐, 喧闹
a. 爵士乐的, 喧吵的
vi. 演奏爵士乐, 跳爵士舞, 游荡
vt. 奏爵士乐, 使活泼"
kangaroo,"n. 袋鼠
"
kettle,"n. 茶壶, 罐
"
keyboard,"n. 键盘
"
kindergarten,n. 幼稚园
knee,"n. 膝, 膝盖
vt. 膝行, 用膝盖碰"
lamb,"n. 小羊, 羔羊
v. 产羊羔"
lap,"n. 膝盖, 舔, 一圈, 下摆, 衣兜, 山坳
vi. 重叠, 围住, 轻拍, 舔
vt. 包围, 抱...在膝上, 使重叠, 舔, 拍打, 泼溅
"
leather,"n. 皮革, 皮制品, 马镫的皮带
vt. 覆以皮革, 鞭苔, 抽打
a. 皮革的, 皮制的"
lemon,"n. 柠檬, 柠檬树, 柠檬色
"
lemonade,"n. 柠檬水
"
lid,"n. 盖子, 限制, 眼睑
vt. 给...盖盖子"
lightning,"n. 闪电
vi. 闪电
a. 闪电的"
lip,"n. 唇, 口缘, 唇状构造
vt. 以嘴唇碰, 轻轻说出
a. 口头上的
"
liquid,"n. 液体, 流体, 流音
a. 液体的, 透明的, 明亮的, 流动的, 易变的"
litre,"n. 升, 公升
"
litter,"n. 垃圾, 杂乱, 轿, 担架
vt. 乱丢, 铺草, 弄乱
vi. 产仔, 乱丢垃圾"
lorry,"n. 卡车, 货车
"
luggage,"n. 行李, 皮箱"
lung,"n. 肺, 肺脏, 空地
"
march,"n. 三月, 进行, 行军, 步伐, 长途跋涉, 进行曲, 边界
vi. 进军, 前进, 交界
vt. 使行军, 使行进"
mat,"n. 垫, 丛, 衬边
a. 粗糙的, 无光泽的
vi. 纠缠在一起
vt. 铺席于...上, 使无光泽, 使缠结"
menu,"n. 菜单, (功能)选择单
"
mild,"a. 温和的, 温柔的, 淡味的, 适度的, 轻微的, (肥皂等)软性的
"
millimetre,"n. 毫米
"
minus,"n. 负号, 不足
a. 减的, 负的, 阴性的
prep. 减, 缺
"
missile,"n. 发射物, 导弹, 飞弹, 火箭
a. 可发射的"
mist,"n. 雾, 迷蒙, 朦胧不清
vt. 使模糊, 使蒙上雾
vi. 变模糊, 下雾"
mosquito,"n. 蚊子
"
motorcycle,"n. 摩托车
"
moustache,"n. 髭, 小胡子, 触须"
mud,"n. 泥, 诽谤
vt. 弄脏"
mushroom,"n. 蘑菇形物, 蘑菇, 暴发户
vi. 迅速生长, 迅速增加, 采蘑菇
a. 蘑菇形的, 迅速生长的"
mutton,n. 羊肉
nail,"n. 钉子, 指甲
vt. 用钉钉牢, 使固定, 截住, 揭露"
necklace,n. 项链
needle,"n. 针, 尖
vt. 用针缝
vi. 缝纫
"
nephew,"n. 侄子, 外甥"
niece,"n. 侄女, 甥女"
notebook,"n. 笔记本, 手册, 期票簿"
nuclear,"a. 核子的, 原子能的, 核的, 中心的
"
nursery,"n. 托儿所, 苗圃, 温床
"
Oceania,n. 大洋洲
onion,"n. 洋葱
vt. 因洋葱使掉泪"
outer,"a. 外部的, 外面的, 在外的, 远离中心的
"
outgoing,"n. 外出, 开支, 流出
a. 喜欢外出的, 即将离职的, 乐于助人的"
outing,"n. 郊游, 远足
a. 远足适用的"
overcoat,n. 外套大衣
ox,n. 牛
oxygen,"n. 氧
"
