disastrous,"a. 损失惨重的, 悲伤的"
invest,"vt. 投资, 花费, 笼罩, 授予
vi. 投资, 利用"
atomic,"a. 原子的, 原子能的
"
trial,"n. 审判, 试验, 艰苦, 麻烦事, 考验
a. 审讯的, 试验性的"
repeatedly,"adv. 重复地, 再三地"
dense,"a. 密集的, 浓厚的"
delivery,"n. 递送, 交付, 分娩, 交货, 引渡
"
identical,"a. 同一的, 恒等的, 完全相同的
"
avail,"vi. 有用, 有利
vt. 有利于
n. 效用, 利益"
boom,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
decode,"vt. 解码, 译解
"
feminine,"a. 女性的, 阴性的, 柔弱的
"
tuition,"n. 学费, 讲授"
chase,"n. 追求, 狩猎, 追逐
vt. 追捕, 追逐, 雕刻, 在...上镶嵌宝石
vi. 追赶, 奔跑"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
deprive,"vt. 剥夺, 使丧失
"
element,"n. 元件, 元素, 要素
"
sorrow,"n. 悲伤, 哀惜, 不幸
vi. 悲伤, 懊悔, 遗憾"
empirical,"a. 完全跟据经验的, 经验主义的
"
sake,"n. 目的, 缘故, 理由"
predominant,"a. 占主导地位的, 卓越的
"
marvellous,"a. 奇异的, 神奇的, 奇迹般的, 惊人的, 不可思议的, 绝妙的, 妙极的"
dominate,"v. 支配, 占优势"
ignite,"vt. 点燃, 使灼热, 使兴奋"
temporary,"a. 暂时的, 临时的
n. 临时工, 临时雇员
"
accurate,"a. 正确的, 精确的
"
likelihood,"n. 可能, 可能性"
pursue,"vt. 追赶, 追踪, 追随, 追求, 实行, 继续, 从事
vi. 追赶, 继续"
conquest,"n. 战胜, 征服, 战利品
"
tenant,"n. 承租人, 房客, 居住者
vt. 租借
"
meantime,"n. 间隔时间, 其时
adv. 其间"
undergo,"vt. 遭受, 经历, 忍受
"
sphere,"n. 球, 球面, 球体, 天体, 地球仪, 范围
vt. 包围, 使成球体, 放入球内"
senior,"n. 年长者, 资深者, 毕业班学生
a. 年长的, 高级的, 资深的"
negligible,"a. 可以忽略的, 不足取的, 无用的
"
esthetic,"a. 审美的
"
immunise,"vt. 使免除, 使免疫"
denote,"vt. 指示, 表示"
afflict,"vt. 使苦恼, 折磨"
fatality,"n. 不幸, 厄运, 致命性, 死亡者, 厄运, 天命"
detain,"vt. 扣留, 扣押, 耽搁
"
reshuffle,"vt. 重新洗牌, 改组, 撤换
n. 重新洗牌, 改组, 撤换"
impromptu,"n. 即席演出, 即兴曲
a. 即席的
adv. 即席"
subsidy,"n. 补助金, 津贴
"
martyr,"n. 烈士, 受苦者, 受难者
vt. 使成为烈士, 使受苦"
verge,"n. 边缘, 边界, 起始点
vi. 处在边缘, 接近, 下沉, 趋向"
intelligible,"a. 可理解的, 易理解的, 纯概念性的"
aerial,"a. 空中的, 航空的, 空气的, 空想的
n. 天线"
stitch,"n. 一针, 疼痛, 针法, 碎布条, 针脚
v. 缝, 缝合, 装订"
retrieve,"vt. 取回, 挽回, 弥补, 恢复, 补偿, 回忆, 检索
vi. 找回猎物
n. 取回, 恢复, 救险球
"
baffle,"vt. 困惑, 为难, 使挫折
vi. 徒作挣扎
n. 迷惑, 挡板"
junk,"n. 垃圾, 乌七八糟的东西, 舢板
"
sergeant,"n. 警察小队长, 军士"
sarcasm,"n. 挖苦, 讽刺, 讽刺话, 讽刺性"
magnitude,"n. 巨大, 重大, 重要, 大小, 数量, 星等(指星的亮度)
"
grease,"n. 脂肪, 兽脂, 油脂, 贿赂
vt. 涂脂于, 贿赂"
wedge,"n. 楔子, 楔形物, 起因, 导致分裂的东西
vt. 楔住, 挤进, 楔入
vi. 楔入, 挤进"
concise,"a. 简洁的, 简明的"
massacre,"n. 大屠杀
vt. 大屠杀, 残杀"
insulate,"vt. 使绝缘, 隔离
"
adversary,"n. 敌手, 对手
a. 敌手的, 敌对的"
bilateral,"a. 有两边的, 双边的, 双方的
"
embroidery,"n. 刺绣品, 粉饰, 刺绣"
collaborate,"vi. 合作, 勾结
"
turkey,"n. 火鸡, 无用的家伙, 土耳其"
herald,"n. 使者, 传令官, 先驱
vt. 预报, 宣布, 传达, 欢呼"
beset,"vt. 围绕, 使苦恼, 镶嵌"
orphan,"n. 孤儿
a. 无双亲的, 孤儿的
vt. 使成孤儿
"
Marxism,"n. 马克思主义
"
plumber,"n. 水管工人
"
commune,"n. 恳谈, 社区, 公社
vi. 亲密交谈, (感情上)融为一体"
malignant,"a. 有恶意的, 恶性的, 有害的
"
antenna,"n. 天线, 触须, 触角
"
maternal,"a. 母亲的, 母系的, 母方的
"
vendor,"n. 小贩, 卖主, 自动售货机
"
superstition,"n. 迷信
"
astronaut,"n. 太空旅行者, 宇航员
"
hospitable,"a. 好客的, 招待周到的"
badminton,n. 羽毛球运动
avenge,"vt. 为...报复, 报仇"
dissertation,n. 论文
eminent,"a. 显赫的, 杰出的, 有名的"
sanctuary,"n. 圣所(指教堂、寺院等), 耶路撒冷的神殿, 避难所
"
homeland,"n. 本国, 故国"
nitrogen,"n. 氮
"
interrogate,"vt. 质问, 讯问, 审问
vi. 质问, 讯问"
genre,"n. 类型, 流派"
lavish,"a. 大方的, 丰富的, 浪费的
vt. 浪费, 滥用, 慷慨给予"
involve,"vt. 包括, 使陷于, 潜心于, 包围
"
confuse,"vt. 使混乱, 使狼狈, 使困惑
"
cynical,"a. 愤世嫉俗的, 讽刺的, 冷嘲的"
precise,"a. 精确的, 严谨的, 明确的
"
ascribe,"vt. 归因于, 归咎于
"
so-called,adj. 所谓的
tempt,"vt. 诱惑, 引诱, 引起...的兴趣, 吸引, 冒...风险"
portion,"n. 部分, 一份, 命运, 嫁妆
vt. 分配, 给...嫁妆"
competent,"a. 能干的, 胜任的, 有效的, 足够的
"
jury,"n. 陪审团, 评判委员会
a. 应急的"
vibrate,"vi. 振动, 颤动, 激动, 摇摆, 踌躇
vt. 使颤动, 使振动, 使摆动"
angle,"n. 角, 角度, 角落
vi. 钓鱼, 谋取, 博取, 斜向移动, 转变角度
vt. 使转动角度, 在...钓鱼, 获取"
curse,"n. 咒骂, 诅咒
vt. 诅咒, 咒骂"
comparison,"n. 比较, 对照, 比喻
"
incomplete,"a. 不完全的, 未完成的, 不完善的
"
session,"n. 期间, 开庭期, 会议, 学期
"
charge,"n. 指控, 费用, 冲锋, 电荷, 炸药, 主管, 被托管人, 命令
vt. 控诉, 加罪于, 使充满, 使充电, 使承担
vi. 冲锋, 要价, 收费"
construction,"n. 建筑, 构造, 建筑物
"
confident,"a. 有信心的, 有把握的"
offense,"n. 犯罪, 伤感情, 攻击"
consequence,"n. 结果, 重要性
"
youngster,"n. 小孩, 年轻人, 少年
"
qualify,"vi. 取得资格, 有资格
vt. 使有资格, 使合格, 限定, 限制, 准予"
desire,"n. 欲望, 要求
vt. 想要, 请求
vi. 渴望"
breakthrough,"n. 突破
"
declaration,"n. 宣告, 说明, 宣布
"
upright,"a. 正直的, 诚实的, 公正的, 垂直的, 竖式的
"
column,"n. 专栏, 圆柱, 纵队, 列, 柱形物
"
umbrella,"n. 伞, 雨伞, 保护伞
a. 伞的, 包罗万象的
vt. 用伞遮掩"
pregnant,"a. 怀孕的, 充满的, 思想丰富的, 成果丰硕的
"
damn,"n. 一点, 诅咒, 丝毫
interj. 该死, 该死的
vt. 诅咒, 罚...下地狱
vi. 指责, 谴责, 骂...该死, 证明...有罪"
pray,"v. 祈祷, 恳求, 请"
deadline,"n. 最后期限, 截止期限
"
estate,"n. 不动产, (人生的)阶段, 阶层, 财产
"
detection,"n. 发现, 察觉, 探测
"
rhythm,"n. 旋律, 节奏, 韵律, 匀称, 张弛节律
"
symphony,"n. 交响乐, 交响曲"
medium,"n. 媒体, 方法, 媒介
a. 半生熟的, 中间的
"
advisable,"a. 适当的, 明智的"
commence,"v. (使)开始, 得学位"
exceptional,"a. 例外的, 异常的, 特别的"
professional,"n. 专业人才
a. 专业的, 职业的"
input,"n. 输入, 输入电路
vt. 输入
"
simplicity,"n. 单纯, 简朴, 朴素, 坦率, 天真
"
induce,"vt. 引诱, 招致, 归纳出, 感应
"
inner,"a. 内部的, 内心的
n. 内部"
drought,"n. 干旱, 缺乏"
specialise,"vt. 特加指明, 列举, 使专门化, 限定...的范围
vt.vi. (使)特化, (使)专化
vi. 成为专家, 专务, 专攻, 专门研究, 逐条详述"
arrange,"v. 安排, 排列, 达成协议
"
executive,"n. 执行部门, 执行委员会, 执行者, 经理主管人员
a. 执行的, 善于执行的, 善于经营的
"
chip,"n. 屑片, 薄片, 碎片
vt. 削, 切, 削成碎片, 使摔倒, 凿
vi. 削下屑片
"
persuasion,"n. 说服, 信念, 派别, 说服力"
complaint,"n. 诉苦, 抱怨, 控诉
"
critic,"n. 批评家, 鉴定家"
disable,"vt. 使失去能力, 使残废, (律)使无资格
"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
initiative,"n. 主动行动, 首创精神, 主动权
a. 自发的, 起始的"
foremost,"a. 最初的, 最重要的
adv. 在最前"
sensitive,"a. 敏感的, 易感的, 灵敏的, 感光的
"
riot,"n. 暴动, 喧闹, 放纵
vi. 发动, 暴动, 纵情, 放荡
vt. 浪费, 挥霍"
alter,v. 改变
launch,"n. 下水, 汽艇, 发射
vt. 使下水, 发射, 发动
vi. 起飞, 下水, 投入, 开始"
pose,"n. 姿势, 姿态, 装模作样, 伪装
vi. 摆姿势, 装模作样, 假装
vt. 使摆好姿势, 提出, 造成"
affirm,"v. 断言, 确认"
outward,"a. 向外的, 表面的, 外服的
adv. 向外, 在外, 表面"
genius,"n. 天才, 天赋, 精神, 神魔
"
arouse,"vt. 唤醒, 鼓励, 引起
vi. 醒来"
consult,"vi. 商讨, 商量, 协商, 会诊
vt. 向...请教, 查阅, 考虑"
classical,"a. 古典的, 正统派的, 经典的
"
denial,"n. 否认
"
faculty,"n. 才能, 能力, 全体教员, (大学的)系
"
supervise,"v. 监督, 管理, 指导"
imperative,"n. 命令, 必要的事, 规则, 祈使语气
a. 命令式的, 急需的, 势在必行的, 强制的"
beneath,"prep. 在...下方
adv. 在...下方"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
rap,"n. 轻敲, 拍击, 责骂, 无价值的东西
vt. 轻敲, 厉声说出, 叱责, 抢走, 使着迷
vi. 敲击, 发敲击声, 交谈, 同情
"
intermittent,"a. 间歇的, 断断续续的
"
diligent,"a. 勤勉的, 用功的"
adjacent,"a. 毗连的, 邻近的, 连接的
"
deport,"vt. 举止, 驱逐出境
"
sneak,"vi. 鬼鬼祟祟做事
vt. 偷偷地做
n. 鬼鬼祟祟的人, 偷偷摸摸的行为, 帆布胶底运动鞋
a. 暗中进行的"
blunt,"a. 钝的, 坦率的, 麻痹的"
retort,"n. 反驳, 顶嘴, 蒸馏器, 曲颈甑
vi. 反驳, 回嘴, 反击
vt. 反击, 反驳, 蒸馏"
inhibit,"vt. 禁止, 抑制
vi. 起抑制作用"
retrospect,"n. 回顾, 追忆, 回溯
v. 回顾, 追忆"
deductive,"a. 推论的, 演绎的
"
conscientious,"a. 有责任心的, 负责的, 本着良心的
"
escort,"n. 护送者, 护卫者, 护航舰
vt. 护卫, 护送"
desirous,"a. 想要的, 想望的, 渴望的"
prospective,"a. 预期的, 将来的
"
incompetence,"n. 不胜任, 不够格, 不合格, 不适合, 无能力, 不熟练, 无资格
"
seniority,"n. 长辈, 老资格
"
console,"vt. 安慰, 藉慰
n. 控制台
"
slack,"n. 松弛, 松懈, 淡季, 闲散, 家常裤
a. 松弛的, 不流畅的, 疏忽的, 无力的, 呆滞的, 软弱的, 漏水的
adv. 马虎地, 缓慢地
vt. 放松, 使缓慢
vi. 松懈, 减弱, 松弛"
dispense,"vt. 分发, 分配
vi. 特许, 豁免"
tract,"n. 大片土地, 地带, 小册子
"
petition,"n. 请愿, 诉状, 陈情书, 申请, 祈求, 祷文
v. 正式请求, 恳求, 请愿"
broadband,[计] 宽带
brace,"n. 支柱, 曲柄, 支撑, 一对
vt. 紧缚, 支撑, 激励
vi. 打起精神
"
quarantine,"n. 隔离, 封锁交通, 检疫期
vt. 隔离, 排斥"
anecdote,"n. 轶事, 奇闻"
baby boom,n. 生育高峰
bleach,"vt. 漂白
vi. 变白
n. 漂白, 漂白剂"
trickle,"n. 滴, 细流
vi. 滴, 细细地流
vt. 使滴, 使小量流动
"
crow,"n. 啼叫, 乌鸦, 鸡鸣, 撬棍
vi. 啼叫, 报晓"
jargon,"n. 专门术语, 行话, 梦话, 土语
"
peep,"n. 一瞥, 偷看, 不完全的景象, 初现, 吱吱声, 嘀咕抱怨声, 汽车喇叭声
vi. 窥视, 出现, 吱吱叫
vt. 使隐约显现"
proximate,"a. 最近的, 将临的, 近似的
"
smog,"n. 烟雾
"
consulate,"n. 领事, 领事任期, 领事馆
"
brag,"n. 吹牛
v. 吹牛"
peddle,"vi. 挑卖, 沿街叫卖, 游荡, 闲混
vt. 叫卖, 兜售, 散播"
navigate,"vi. 航行
vt. 航行于, 驾驶, 操纵, 使通过"
amass,"vt. 积聚, 堆积"
mar,"vt. 损毁, 损伤, 糟蹋
n. 三月"
ceramic,"a. 陶瓷的
n. 陶瓷制品"
convoy,"n. 护送, 护卫
vt. 护航, 护送"
enlist,"vt. 征募, 参与, 谋取
vi. 从军, 应募, 赞助"
shred,"n. 碎布条, 细片, 少量
v. 撕碎"
pasta,"n. 意大利面食
"
salon,"n. 大会客室, 大厅, 客厅, 交谊室, 沙龙, 美术展览馆, 画廊, 美容院, 发廊"
app,"[计] 应用, 应用程序; 相联并行处理器"
bout,"n. 一回, 回合, 较量
"
monotony,"n. 单调, 缺乏变化"
solitary,"n. 独居者
a. 孤独的, 独居的"
jeep,"n. 吉普车
vi. 乘吉普车
vt. 用吉普车运"
mentor,"n. 指导者, 良师益友"
caravan,"n. 旅行队, 有篷顶的大车
"
mingle,v. (使)混合
property,"n. 财产, 所有权, 性质, 属性
"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
rarely,"adv. 很少地, 罕有地"
trap,"n. 圈套, 陷阱, 诡计, 存水弯
vi. 设圈套, 设陷阱
vt. 诱捕, 诱骗, 抓住, 使受限制
"
obscure,"a. 模糊的, 昏暗的, 难解的, 晦涩的, 偏僻的, 微贱的, 无名的
vt. 使变暗, 隐藏, 使变模糊, 使难解"
doubtful,"a. 可疑的, 疑心的, 不明确的
"
priority,"n. 优先权, 优先
"
forth,"adv. 往前, 以后, 向外"
suspend,"vt. 悬, 吊, 使悬浮, 暂停, 中止, 推迟
vi. 暂停, 中止, 悬浮, 停止偿付债务
"
altitude,"n. 高度, 海拔, 高处
"
pilot,"n. 飞行员, 领航员, 航船者, 导向器, 驾驶仪, 向导, 领导人
vt. 领航, 驾驶, 引导, 试用
a. 引导的, 控制的, 试点的
"
bear,"n. 熊
vt. 忍受, 支承, 产生, 怀有, 通过卖空使跌价
vi. 忍受, 结果实, 压挤, 行进, 转向"
pull,"vt. 拉, 拖, 拔, 牵, 撕开, 吸引
vi. 拉, 拖, 拔, 有吸引力
n. 拉, 拖, 拔, 拉力, 牵引力, 划船, 吸引"
treat,"n. 宴请, 款待
vt. 视为, 对待, 论述, 治疗, 款待
vi. 讨论, 谈判, 作东"
praise,"n. 赞美, 称赞, 崇拜
vt. 称赞, 赞美
vi. 赞扬, 表扬"
collective,"a. 集体的, 聚集的, 共同的
"
delightful,"a. 令人愉快的, 可爱的"
destruction,"n. 破坏, 毁灭
"
reply,"n. 答复, 回答, 答辩
vi. 答复, 回答, 回击, 反响, 答辩
vt. 回答
"
appear,"vi. 出现, 显得, 来到
"
opposite,"a. 相对的, 相反的, 对面的
prep. 对面
n. 对立面"
succeed,"vi. 成功, 继承, 继续
vt. 继承, 接替"
standard,"n. 标准, 规格, 旗, 军旗, 本位
a. 标准的, 合规格的
"
steam,"n. 蒸汽, 精力
a. 蒸汽的
vi. 蒸发, 行驶, 发怒
vt. 蒸, 煮, 散发"
beat,"n. 心跳(声), 打, 敲打声, 拍子
v. 打, 拍打, 打败
a. 疲乏的, 颓废的
beat的过去式
"
bow,"n. 弓, 眼睛框
v. 用弓拉琴, 弯成弓形
n. 鞠躬, 屈服"
stare,"vi. 注视, 凝视, 瞪视, 显眼
vt. 盯
n. 凝视"
ego,"n. 自我
"
delight,"n. 高兴, 愉快
vt. 使高兴, 乐于
vi. 感到高兴(或愉快、快乐)"
physical,"a. 身体的, 物质的, 自然的, 物理学的, 好色的
n. 体格检查"
annoy,"vt. 使恼怒, 骚扰"
seek,"vt. 寻求, 寻找, 探索, 追求, 搜索, 请求
vi. 寻找, 搜索
"
deficiency,"n. 缺乏, 不足
"
deliver,"vt. 递送, 陈述, 释放, 发表, 引渡, 投递, 交付
"
assemble,"vt. 集合, 收集, 装配
vi. 集合
"
punch,"n. 打洞器, 钻孔机, 冲压机, 冲床, 潘趣酒
vt. 以拳重击, 开洞, 冲压
vi. 用拳猛击"
irritate,"vt. 激怒, 使发怒, 使兴奋, 使发炎
vi. 引起不快"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
patch,"n. 片, 补缀, 碎片, 斑, 傻瓜
vt. 补缀, 掩饰, 拼凑, 平息
"
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
incredible,a. 难以置信的
layer,"n. 层, 产卵鸡, 放置者
vt. 分层堆积, 压植
"
suburb,"n. 市郊住宅区, 郊区, 边缘"
elite,"n. 精华, 精锐, 中坚分子"
prompt,"n. 激励, 提示, 提醒物, 提词, 付款期限
a. 迅速的, 敏捷的, 立刻的, 提词员的
vt. 激励, 鼓动, 提示
adv. 准时地
"
oblige,"vt. 强制, 施恩惠于, 使感激
vi. 施恩惠, 帮忙"
deny,"v. 否认, 拒绝"
correspondent,"n. 通讯记者, 通信者
"
vision,"n. 视觉, 眼光, 视力, 幻想
vt. 梦见, 想象, 显示"
flock,"n. 兽群, 鸟群, 一群人, 大量, 棉束
vi. 成群而行, 聚集
vt. 用棉束填满"
specify,"vt. 详列, 指定, 说明
"
occasion,"n. 场合, 时机, 机会, 诱因, 理由
vt. 惹起, 引起"
ponder,"v. 沉思, 考虑"
provision,"n. (政府提供的)钱和设备, 准备, 供应品, 规定, 条款
vt. 供给...食物及必需品"
stem,"n. 茎, 干, 柄, 船首, 血统, 堵塞物
vt. 摘掉茎, 装柄于, 阻止, 堵住, 逆行
vi. 堵住, 逆行"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
moreover,"adv. 而且, 此外"
benefit,"n. 利益
vt. 有益于
vi. 受益"
threshold,"n. 门槛, 入口, 开端, 阈
"
expire,"vi. 期满, 呼气, 断气
vt. 呼出"
profess,"vt. 声称, 以...为业, 伪称, 讲授
vi. 表白, 承认, 当教授"
equality,"n. 平等, 均匀, 相等
"
multiply,"v. 繁殖, 乘, 增加
"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
"
caution,"n. 小心, 慎重, 警示
vt. 警告
"
investigate,"v. 调查, 审查"
extend,"v. 扩充, 延伸, 伸展, 扩大
"
ornament,"n. 装饰, 点缀品, 教堂用品
vt. 装饰, 修饰"
crisis,"n. 危机, 危险期, 紧要关头
"
germ,"n. 细菌, 种子, 生殖细胞, 根源
"
reconcile,"vt. 使和解, 调停, 使和谐, 使一致, 使听从
"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
"
install,"vt. 安装, 安置, 使就职
"
transit,"n. 经过, 通行, 运输, 运输线, 转变
vt. 运送, 使通过, 经过
vi. 通过"
contrive,"v. 发明, 设计, 图谋"
graze,"n. 吃草, 放牧, 擦伤, 轻擦
v. (使)吃草, 放牧, 轻擦, 擦伤"
inconsistency,"n. 不一致, 易变, 前后矛盾的事物
"
reconciliation,"n. 和解, 和好, 复交, 调解, 调停, 和谐, 一致, 甘愿, 顺从
"
composite,"a. 合成的, 混合成的, 菊科的
n. 合成物, 复合材料, 菊科"
onset,"n. 开始, 攻击, 进攻
"
harassment,"n. 困扰, 烦扰, 烦恼
"
terrace,"n. 阶地, 梯田, 房屋之平顶, 阳台, 沿岸防地, 露台
a. 叠层式的
vt. 使成梯田, 使成有平台屋顶"
secrecy,"n. 秘密, 保密
"
submarine,"n. 潜水艇, 海底生物
a. 海中的, 生长在海中的
vt. 用潜水艇攻击
vi. 在下疾行, 在下滑动"
fuse,"n. 保险丝, 导火线
v. 熔化, 融合"
mastery,"n. 征服, 统治权, 优势, 精通, 掌握
"
scramble,"n. 攀缘, 爬行, 抢夺, 混乱, 紧急起飞
vi. 攀缘, 杂乱蔓延, 争夺, 拼凑, 匆忙
vt. 攀登, 扰乱, 使混杂"
detention,"n. 阻止, 监禁, 拘留
"
disjointed,"a. 关节脱位的, 脱臼的, 脱节的, 没有条理的, 次序混乱的, 杂乱的, 支离的
"
unilateral,"a. 单方面的, 单边的, 片面的
"
feasibility,"n. 可行性, 可能性
"
missionary,"n. 传教士, 负有任务者, 工作人员
a. 传教的, 传教士的"
shutter,"n. 百叶窗, 关闭物, 照相机快门, 关闭者
vt. 为...装百叶窗, 以百叶窗遮闭"
batter,"v. 连续猛打（尤其指妇女），猛击
n. 面糊（食物），击球员，打击手"
entail,"vt. 使成为必需, 需要, 使承担, 遗传给
n. 限定继承"
consultative,"a. 商议的, 协议的, 咨询的
"
formidable,"a. 巨大的, 优秀的, 可怕的, 艰难的"
actuality,"n. 事实, 现实, 现状"
allotment,"n. 分配, 拨款, 命运
"
lily,"n. 百合, 百合花
a. 洁白的, 纯白色的, 纯洁的"
affluent,"a. 丰富的, 富裕的
n. 支流, 富人"
corporal,"n. 下士
a. 肉体的, 身体的, 个人的"
poultry,n. 家禽
hamburger,"n. 汉堡(德国港口), 肉饼, 汉堡包, 纯精牛肉, 汉堡牛排"
exponent,"n. 说明者, 倡导者, 说明物, 指数
a. 说明的
"
antagonism,"n. 对立, 敌对, 敌意
"
depot,"n. 停车场, 车站, 贮藏所, 仓库
"
high-tech,高技术
obsess,"vt. 迷住, 使困扰"
augment,"v. 增加, 增长
"
attic,"n. 阁楼, 顶楼
"
helmet,"n. 钢盔, 盔, 防护帽
vt. 给...戴头盔"
Buddhism,n. 佛教
plumbing,"n. 测深, 管子工行业, 管道设备"
wield,"vt. 挥舞, 运用"
stout,"a. 结实的；矮胖的；勇敢的；激烈的
n. 矮胖子；烈性啤酒"
aftermath,"n. 结果, 后果
"
teller,"n. 叙述者, 讲故事者, 出纳员
"
naughty,"a. 顽皮的, 没规矩的, 不适当的, 下流的"
awe,"n. 敬畏
vt. 使敬畏"
legacy,"n. 祖先传下来之物, 遗赠物
"
numb,"a. 麻木的, 失去知觉的
vt. 使麻木, 使昏迷, 使失去知觉"
underlie,"vt. 位于...之下, 成为...的基础"
ardent,"a. 热心的, 激动的, 燃烧般的
"
unemployed,"a. 失业的, 未被利用的
"
detergent,"n. 清洁剂
"
bin,"n. (贮存谷物等的)容器, 箱子
"
whereas,"conj. 然而, 鉴于
"
alarm,"n. 惊恐, 警报, 警钟
vt. 使惊恐, 警告
"
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
mount,"n. 乘骑用马, 框, 衬纸, 山
vi. 乘马, 爬上, 增长
vt. 爬上, 使上马, 装上, 装裱, 安放, 制作...的标本, 设置, 上演
"
assess,"vt. 估定, 对...征税, 评定
"
excessive,"a. 过度的, 过多的, 极端的
"
logical,"a. 合乎逻辑的, 合理的
"
capacity,"n. 容量, 能力, 才能, 资格
"
creation,"n. 创造, 创作物, 发明
"
capable,"a. 有能力的, 能的, 能干的"
match,"n. 比赛, 火柴, 对手
vt. 使相配, 使比赛, 与...竞争
vi. 结婚, 相配
"
divorce,"n. 离婚
vt. 与...离婚"
classic,"n. 古典作品, 杰作, 大艺术家
a. 第一流的, 最优秀的, 古典的"
surf,"n. 海浪, 拍岸浪
vi. 作冲浪运动"
clap,"n. 拍手, 拍手声, 霹雳声, 花柳病
v. 鼓掌, (使)啪地关上"
discover,"vt. 发现, 找到, 暴露
vi. 发现"
password,"n. 密码, 口令, 通行手段
"
virus,"n. 病毒, 滤过性病毒, 毒害
"
naval,"a. 海军的, 军舰的, 有舰队的
"
ruin,"n. 毁灭, 推翻, 废墟
vi. 毁灭, 衰败, 破坏, 破产, 堕落
vt. 使毁灭, 毁坏, 使破产"
involved,"a. 难懂的, 复杂的, 不易懂的, 卷入...之中的, 累及..., 与...有关, 被纠缠的
"
curiosity,"n. 好奇心, 新奇的事物, 珍品"
waist,"n. 腰部, 腰
"
repeat,"n. 重复, 反复
vt. 重做, 重复, 复述, 使再现, 复制
vi. 重复
"
solve,"vt. 解决, 付给, 溶解
vt. 求解
vi. 求解
"
academy,"n. 学院, 院校, 学会"
limited,"a. 有限制的, 有限的, 有限责任的
n. 特别快车"
yoghurt,"n. 酸乳, 酸奶"
isolate,"vt. 使隔离, 使孤立, 使绝缘
n. 隔离种群"
measure,"n. 尺寸, 量度器, 量度标准, 测量, 量具, 程度, 范围, 限度, 分寸, 措施, 方法
vt. 测量, 测度, 估量, 权衡, 调节, 拿(自己或自己的力量等)作较量
vi. 度量"
continent,"n. 大陆, 洲
a. 自制的"
pink,"n. 粉红色, 石竹花, 化身, 典范, 头面人物, 极度
a. 粉红的, 石竹科的, 比较激进的, 脸色发红的, 精致的, 有点下流的
vt. 刺, 扎, 刺痛, 射伤, 使面红耳赤, 使变粉红色
vi. 变粉红色"
destination,"n. 目的地, 目标, 目的
"
recover,"vt. 重新获得, 恢复, 复原, 拯救
vi. 痊愈, 复原, 胜诉
"
considerable,"a. 相当的, 可观的, 重要的"
widespread,"a. 充分伸展的, 广布的, 普及的, 流传广的"
acute,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
"
feeble,"a. 微弱的, 衰弱的, 无效的
"
terrify,"vt. 使恐惧, 恐吓"
efficiency,"n. 效率, 效能, 功效
"
evoke,"vt. 唤起, 引起, 召(魂)
"
costume,"n. 装束, 服装"
boast,"n. 吹牛
vi. 吹牛, 自夸
vt. 夸口说, 自恃有"
pledge,"n. 诺言, 保证, 誓言, 抵押, 信物, 保人, 祝愿
vt. 许诺, 保证, 使发誓, 抵押, 典当, 举杯祝...健康"
terror,"n. 恐怖, 可怕的人
"
pension,"n. 养老金, 退休金, 津贴, 年金, 抚恤金, 膳宿学校, 膳宿费
vt. 发给退休金, 用津贴拉拢"
define,"vt. 定义, 规定, 使明确
"
terminate,"a. 有结尾的, (可)结束的
vi. 结束, 终止, 满期
vt. 使停止, 使结束, 使终止
"
assert,"vt. 主张, 坚称, 断言
"
elsewhere,adv. 在别处
conceal,"vt. 隐藏, 掩盖, 隐瞒
"
skim,"vt. 撇取浮沫, 略读, 掠过
vi. 擦过, 浏览
n. 脱脂乳, 擦过, 表层物
a. 撇去浮沫的"
authentic,"a. 可靠的, 可信的, 真正的
"
logic,"n. 逻辑, 逻辑学, 推理的方法, 推理, 逻辑性
"
participant,"n. 参加者, 参与者
a. 有份的, 参加的, 参与的"
inherit,"vt. 继承, 遗传
vi. 接受遗产"
machinery,"n. 机器, 机械装置, 机构
"
presumably,"adv. 推测上, 大概"
masculine,"n. 阳性, 男性
a. 男性的, 阳性的, 有丈夫气的"
core,"n. 核心, 果心, 要点
vt. 挖...的核
"
applaud,"v. 拍手喝彩, 称赞, 赞同"
dimension,"n. 尺寸, 次元, 面积, 维数
vt. 标出尺寸"
intrigue,"n. 阴谋, 复杂的事
vi. 密谋, 私通
vt. 激起...的兴趣, 用诡计取得"
delicate,"a. 细致优雅的, 微妙的, 美味的
"
