able,"a. 能干的, 能够的"
torrent,"n. 奔流, 倾盆大雨, 倾注, 迸发"
brick,"n. 砖块, 积木
a. 用砖做的
vt. 用砖造, 用砖砌"
tile,"n. 砖瓦, 瓷砖, 瓦片
vt. 铺以瓦, 铺以瓷砖
"
porcelain,"n. 瓷器, 瓷
a. 瓷制的"
briefcase,n. 公事包
sack,"n. 麻布袋, 洗劫
vt. 把...装入袋, 洗劫"
brisk,"a. 强烈的, 寒冷而干燥的, 活泼的
vt. 使活泼
vi. 活跃起来"
brittle,"a. 易碎的, 脆弱的, 易坏的
"
smash,"n. 打碎, 粉碎, 打碎时哗啦声, 猛击, 扣球, 杀球, 经营失败, 破产, 硬币, 假硬币
a. 非常轰动的, 了不起的
vt. 打碎, 粉碎, 击溃, 使破产, 使裂变, 使用假硬币
vi. 碎裂, 猛撞, 破产, 扣球, 杀球
adv. 轰隆一声, 哗啦一声"
grind,"n. 磨, 碾, 苦差, 摩擦声, 用功的学生
vt. 磨擦, 磨碎, 磨光, 折磨, 压榨
vi. 磨, 磨碎, 苦干"
crush,"n. 压碎, 粉碎, 群众, 迷恋
vt. 压破, 征服, 塞, 弄皱, 榨出
vi. 被压碎, 起皱, 挤"
frail,"a. 脆弱的, 虚弱的, 意志薄弱的
n. 少女, 少妇, 灯心草篓"
frailty,"n. 弱点, 脆弱, 意志薄弱
"
sturdy,"a. 强健的, 健全的
"
brook,"n. 小溪
vt. 容忍"
pond,"n. 池塘
v. 筑成池塘"
trench,"n. 渠, 沟渠, 战壕
vt. 在...开沟, 挖战壕于, 用战壕围住
vi. 挖战壕, 开沟"
inlet,"n. 进口, 插入物
"
catalogue,"n. 目录, 大学情况一览
vt. 编入目录"
bruise,"n. 青肿, 挫伤, 擦伤
vi. 受伤, 擦伤
vt. 使受伤, 研碎"
scar,"n. 疤痕, 伤痕, 悬崖
vi. 结疤, 愈合, 痊愈
vt. 使有伤痕"
impair,"vt. 损害, 减少, 削弱
"
mischief,"n. 损害, 伤害, 灾祸, 恶作剧, 淘气
"
shatter,"n. 碎片, 粉碎, 落叶, 喷洒
vt. 打碎, 使散开, 粉碎, 破坏
vi. 粉碎, 损坏, 脱落"
persecute,"vt. 迫害, 虐待, 困扰, 同...捣乱
"
persecution,"n. 虐待, 迫害运动, 迫害, 烦扰
"
buffet,"n. 自助餐, 小卖部, 碗橱, 殴打, 冲击
vt. 连续打, 冲击, 搏斗
vi. 奋斗"
cafeteria,"n. 自助餐厅
"
dine,"vi. 用正餐, 进餐
vt. 宴请"
napkin,"n. 餐巾, 餐巾纸, 尿布"
bully,"n. 欺凌弱小者, 土霸
vt. 威胁, 恐吓, 欺负
vi. 欺负
a. 特好的, 第一流的
adv. 十分"
intimidation,"n. 恐吓, 威胁
"
menace,"n. 威胁, 胁迫
v. 威吓, 胁迫"
bump,"n. 撞击, 肿块
vt. 碰撞
vi. 撞, 颠簸而行"
burglar,"n. 窃贼
"
traitor,"n. 叛逆者, 叛国者
"
treason,"n. 叛逆, 不忠, 叛国罪
"
pirate,"n. 海盗, 盗印者, 侵犯专利权者
vt. 盗印, 掠夺, 翻印
vi. 做海盗, 从事劫掠"
cab,"n. 出租车, 出租汽车, 出租马车
vi. 乘出租马车(或汽车)"
trolly,"n. 手推车, 货车"
trolley,"n. 电车, 手推车, 台车
vt. 用手推车运
vi. 乘电车"
wagon,"n. 四轮马车, 货车
"
waggon,"n. 运货车, 四轮运货马车, (英)铁路货车, 流动服务车, 小型客车, 囚车, 童车"
carriage,"n. 马车, 客车, 举止, 运输
"
compartment,"n. 分隔间, 卧车包房, 防水舱隔
"
locomotive,"n. 火车头, 机车
a. 运转的, 火车头的, 移动的"
lorry,"n. 卡车, 货车
"
shuttle,"n. 穿梭, 梭子, 往返移动之物
v. (使)穿梭移动, 往返运送"
ferry,"n. 渡船, 渡口
"
steamer,"n. 汽船, 蒸汽机
"
tanker,"n. 坦克手, 油船, 空中加油飞机, 运油飞机, 油槽/水槽汽车
"
liner,"n. 班机, 划线者, 定期船, 衬里
"
dock,"n. 码头, 船坞, 被告席, 尾巴的骨肉部分
vt. 使靠码头, 使(船)进港, 剪短
vi. 进港"
fleet,"n. 舰队, 港湾, 小河
a. 快速的, 敏捷的, 浅的, 短暂的
adv. 浅
vi. 疾驰, 飞逝, 掠过
vt. 消磨, 变换船(或船员)的位置"
spaceship,n. 宇宙飞船
cosmology,"n. 宇宙哲学, 宇宙论
"
canoe,"n. 独木舟, 轻舟
vi. 乘独木舟
vt. 用独木舟运"
oar,"n. 桨, 桨手, 搅棒
vi. 划桨
vt. 划动"
paddle,"n. 桨, 划桨, 明轮翼
vi. 划桨, 戏水, 涉水
vt. 用桨划, 划船运送, 搅, 拌"
deck,"n. 甲板, (汽车后部的)行李仓
vt. 装饰, 打扮, 装甲板
"
embark,"vi. 乘船, 着手, 从事, 上飞机
vt. 使上船, 使上飞机, 使从事"
crew,"n. 全体人员, 一群人, 全体队员
crow的过去式"
pedal,"n. 踏板, 脚蹬子
a. 脚的, 脚踏的
vt. 用脚踏动
vi. 踩踏板, 骑车"
detrain,v. (使)下火车
fare,"n. 费用, 旅客, 食物
vi. 进展, 进步, 经营, 过活"
canvas,"n. 帆布, 画布, 油画
"
panorama,"n. 全景, 全貌, 概论, 范围"
portrait,"n. 肖像, 人像, 半身像, 描写, 竖排格式
"
poster,"n. 海报, 招贴, 驿马"
capsule,"n. 胶囊, 蒴果, 瓶帽, 航天舱
"
chemist,"n. 化学家, 药剂师
"
caption,"n. 说明, 字幕, 标题
vt. 加上标题, 加上说明
"
cardinal,"n. 红衣主教, 鲜红色
a. 主要的, 深红色的"
staple,"n. 主要产物, 常用品, 主要要素, 原料, 订书钉, 钩环
a. 主要的, 重要的
vt. 分级, 钉住"
caress,"n. 爱抚, 拥抱
vt. 爱抚, 抱, 宠爱"
cargo,"n. 货物
"
discharge,"vt. 卸下, 放出, 解雇, 拔染, 履行, 放电
vi. 卸货, 流出
n. 卸货, 流出, 放电"
warehouse,"n. 仓库, 货栈, 大商店
vt. 储入仓库"
carpenter,n. 木匠
cashier,"n. 出纳员
"
fireman,"n. 救火队员, 消防队员
"
fisherman,"n. 渔夫, 钓鱼者, 渔船"
typist,n. 打字员
demographer,n. 人口统计学家
colonel,"n. 陆军上校, 长官"
chef,n. 厨师
recipe,"n. 食谱, 处方, 秘诀
"
tutor,"n. 家庭教师, 导师, 助教, 监护人
vt. 当...的教师, 教, 指导, 约束, 克制
vi. 当家庭教师, 受家庭教师的指导"
induct,"vt. 引导, 使入门, 引入, 使就职"
cassette,"n. 盒式磁带, 珠宝箱, 暗盒
"
disastrous,"a. 损失惨重的, 悲伤的"
refugee,"n. 难民, 流亡者
"
wreck,"n. 失事, 残骸, 破坏
vt. 使失事, 拆毁, 破坏
vi. (船)失事, 营救失事船只"
cathedral,n. 大教堂
missionary,"n. 传教士, 负有任务者, 工作人员
a. 传教的, 传教士的"
pope,"n. 罗马教皇, 主教"
clergy,"n. 牧师, 僧侣, 神职人员"
meditate,"vt. 想, 考虑, 计划
vi. 沉思, 反省"
devil,"n. 魔鬼
vt. 折磨, 戏弄"
centigrade,"a. 百分度的, 摄氏的
"
thermometer,"n. 温度计, 体温计
"
certainty,"n. 确定, 确实的事情
"
chap,"n. 小伙子, 颌, 龟裂
v. 皲裂"
lad,"n. 青年, 家伙, 少年, 情人"
chill,"n. 寒冷, 寒意, 失意
a. 寒冷的, 冷漠的
vt. 使寒心, 冷冻
vi. 变冷"
frost,"n. 霜, 冰冻, 冷漠
vt. 覆着霜, 冻结, 结霜
vi. 受冻, 起霜"
thermal,"a. 热的, 热量的, 温泉的
n. 上升温暖气流"
warmth,"n. 温暖, 温情, 暖和, 激动, 生气"
gasp,"n. 喘气
vi. 喘气, 喘息, 渴望
vt. 气喘吁吁地说"
pant,"n. 喘息, 悸动
vi. 喘息, 渴望
vt. 气喘吁吁地说"
inhale,"vt. 吸入
vi. 吸气"
chorus,"n. 合唱队, 齐声
v. 齐声说道, 合唱"
vowel,"n. 元音
a. 元音的"
circular,"a. 圆形的, 循环的, 间接的
"
diameter,"n. 直径
"
radius,"n. 半径, 范围, 辐射光线
"
cylinder,"n. 圆筒, 圆筒状物, 汽缸, 柱面
"
disc,"n. 圆盘, 唱片
vt. 灌唱片"
disk,"n. 圆盘, 磁盘
"
hemicycle,"n. 半圆形, 半圆形斗技场, 半圆形房间"
oval,"n. 椭圆形
a. 卵形的, 椭圆形的"
loop,"n. 环, 圈, 弯曲部分, 循环
vt. 使成环, 以圈结, 以环连结
vi. 打环, 翻筋斗
"
coil,"n. 线圈, 盘绕, 骚动, 卷
vt. 盘绕, 卷"
reel,"n. 卷轴, 一卷, 纺车, 旋转, 蹒跚
vt. 卷...于轴上, 绕, 使旋转
vi. 蹒跚地走, 旋转, 眩晕, 摇晃, 退缩
"
cube,"n. 立方体, 立方
"
civilian,"n. 平民, 民法专家
a. 平民的, 百姓的, 民用的"
demos,"n. 人民, 民众, 大众
"
clap,"n. 拍手, 拍手声, 霹雳声, 花柳病
v. 鼓掌, (使)啪地关上"
pat,"n. 轻拍
v. 轻拍
adv. 适时, 正好, 恰好, 毫不迟疑, 熟记地
a. 恰好的, 合适的, 熟练的, 坚定的, 人为的"
slap,"n. 掴, 掌击, 侮辱, 拍击声
v. 拍击, 惩罚
adv. 正面地, 直接地, 突然地"
clasp,"n. 扣子, 钩, 紧握
v. 扣紧, 紧握"
hug,"n. 紧抱, 拥抱
vt. 紧抱, 坚持, 使沾沾自喜"
clay,"n. 泥土, 肉体, 黏土
"
mud,"n. 泥, 诽谤
vt. 弄脏"
plaster,"n. 石膏, 灰泥, 安慰(缓解)用品, 膏药
vt. 涂以灰泥, 敷以膏药, 掩饰, 使平服, 彻底击败, 减轻, 粘贴"
ash,"n. 灰, 灰烬
"
clockwise,"a. 顺时针方向的
adv. 顺时针方向地"
pendulum,"n. 钟摆, 摇锤, 摇摆不定的事态(或局面)
"
dial,"n. 刻度盘, 钟面, 转盘
v. 拨"
clutch,"n. 抓紧, 掌握, 离合器, 一窝小鸡
vt. 抓住, 踩汽车离合器踏板
vi. 抓
"
prehension,"n. 抓住, 理解
"
intelligible,"a. 可理解的, 易理解的, 纯概念性的"
opaque,"n. 不透明物
a. 不透明的, 不传热的, 不传导的, 阴暗的
"
lightproof,"a. 防光的, 不透光的"
cohabit,"vi. 同居
"
reconcile,"vt. 使和解, 调停, 使和谐, 使一致, 使听从
"
unanimity,"n. 无异议, 同意, (全体)一致
"
unanimous,"a. 意见一致的, 无异议的"
discord,"n. 不调和, 不和
vi. 不一致, (声音)刺耳"
discordant,"a. 不调和的, 不和的"
strife,"n. 争吵, 竞争, 冲突"
discrepancy,"n. 不符合, 差异, 不相符之处
"
comedian,n. 喜剧演员
comic,"n. 连环漫画, 喜剧演员, 滑稽的人
a. 滑稽的, 有趣的, 喜剧的"
ridiculous,"a. 荒谬的, 可笑的"
giggle,"v. 吃吃地笑, 咯咯地笑
n. 咯咯笑, 傻笑"
grin,"n. 露齿笑
v. 露齿而笑"
commence,"v. (使)开始, 得学位"
terminate,"a. 有结尾的, (可)结束的
vi. 结束, 终止, 满期
vt. 使停止, 使结束, 使终止
"
commonplace,"n. 寻常事, 老生常谈, 普通的东西
a. 平凡的, 普通的"
mediocre,"a. 不好不坏的, 通常, 平凡的"
commonwealth,n. 共和国；联邦；国民整体
empire,"n. 帝国, 帝权"
emperor,"n. 皇帝, 君主"
crown,"n. 王冠, 王权, 顶点
vt. 使成王, 加冕, 居...之顶"
enthrone,"vt. 立...为王, 使登基, 任为主教, 崇拜"
dynasty,"n. 朝代, 王朝"
feudal,"a. 封建制度的, 封地的, 领地的"
majesty,"n. 最高权威, 威严, 王权, 雄伟, 庄严"
paramount,"n. 首长, 最高当局
a. 最重要的, 最高的, 至上的"
supremacy,"n. 至高无上, 霸权地位, 优势, 至上
"
commune,"n. 恳谈, 社区, 公社
vi. 亲密交谈, (感情上)融为一体"
compact,"a. 紧凑的, 紧密的, 简洁的
vt. 使紧密结合, 压缩
vi. 变坚实"
deflate,"vt. 放气, 抽出空气, 使缩小
vi. 缩小"
deflation,"n. 放气, 缩小, 通货紧缩
"
constrict,"vt. 压缩, 束紧, 使收缩
vi. 收缩"
constriction,"n. 压缩, 收缩, 紧压的感觉
"
retract,"v. 缩回, 收回, 取消, 撤消"
compass,"n. 指南针, 范围, 音域
vt. 包围, 达到, 图谋, 理解"
complexion,"n. 肤色, 情况, 局面
"
concision,"n. 切断, 简明, 简洁"
compliment,"n. 称赞, 恭维, 敬意
vt. 称赞, 褒扬, 恭维"
comprise,"vt. 包含, 构成"
compulsion,"n. 强迫, 强制
"
conceal,"vt. 隐藏, 掩盖, 隐瞒
"
veil,"n. 面纱, 面罩, 借口, 幕, 帐, 遮蔽物
vt. 戴面纱, 隐藏, 遮蔽, 掩饰
vi. 蒙上面纱"
naked,"a. 裸体的, 无装饰的, 无保护的, 赤贫的
"
uncover,"vt. 揭露, 揭开, 暴露, 脱帽致敬
vi. 脱帽致敬, 揭去盖子"
concur,"vi. 同意, 一致, 同时发生
"
concurrent,"n. 同时发生的事件
a. 同时发生的, 一致的
"
simultaneously,"adv. 同时发生, 一齐, 同时, 同时存在"
confidential,"a. 机密的, 获他人信赖的, 易于信任他人的
"
consecutive,"a. 连续的, 联贯的
"
consecution,"n. 连续, 推理, 条理"
serial,"n. 分期连载作品, 连载小说
a. 连续的, 一连串的, 连载的, 分期偿还的
"
disruption,"n. 分裂, 崩溃, 瓦解"
intermittent,"a. 间歇的, 断断续续的
"
interim,"a. 暂时的, 临时的, 间歇的
n. 过渡时期"
instantaneous,"a. 即时的, 瞬间的, 猝发的
"
transitory,"a. 暂时的, 短暂的, 昙花一现的
"
eternal,"a. 永恒的, 永远的, 不灭的"
conscribe,"vt. 征召入伍, 招募"
conscript,"a. 被征入伍的, 被征召的
n. 征兵
vt. 征召"
corps,"n. 军, 队, 部队, 兵种
"
proceeding,"n. 进行, 程序, 行动, 诉讼程序, 事项
"
procession,"n. 队伍, 连续, 列队行进, 涌出"
queue,"n. 辫子, 一队人, 队列
vt. 使排队, 将...梳成辫子
vi. 排队
"
console,"vt. 安慰, 藉慰
n. 控制台
"
conspire,"vi. 阴谋, 协力, 共谋
vt. 图谋"
contrive,"v. 发明, 设计, 图谋"
intrigue,"n. 阴谋, 复杂的事
vi. 密谋, 私通
vt. 激起...的兴趣, 用诡计取得"
hatch,"n. 孵化, 舱口
vt. 孵, 孵出, 策划
vi. 孵化"
plot,"n. 小块土地, 地区图, 图, 阴谋, 情节
vt. 划分, 绘图, 密谋
vi. 密谋, 策划
"
contemplative,"a. 沉思的, 爱默想的, 冥想的
"
meditation,"n. 沉思, 冥想"
gaze,"n. 注视, 凝视
vi. 注视, 凝视"
peep,"n. 一瞥, 偷看, 不完全的景象, 初现, 吱吱声, 嘀咕抱怨声, 汽车喇叭声
vi. 窥视, 出现, 吱吱叫
vt. 使隐约显现"
controvert,"vt. 议论, 辩驳, 驳击
vi. 参加辩论"
repulse,"n. 击退, 拒绝
vt. 厌恶, 击退, 拒绝"
repulsive,"a. 排斥的, 可恶的, 击退的"
reproach,"n. 责备, 耻辱
vt. 责备, 申斥, 使丢脸"
convict,"n. 囚犯, 罪犯
vt. 宣告有罪, 使知罪"
misdeed,"n. 罪行, 犯罪
"
copyright,"n. 版权, 著作权
"
cord,"n. 绳索, 束缚
"
lash,"n. 鞭子, 鞭打, 睫毛, 责骂, 讽刺
vt. 鞭打, 摆动, 扎捆, 冲击, 讽刺, 煽动
vi. 冲洗, 鞭打, 责骂"
whip,"n. 鞭子, 抽打, 车夫, 搅拌器
vt. 鞭打, 搅拌, 煽动, 召集, 仓促制成
vi. 拍击, 急走, 抽打"
corrode,"vt. 使腐蚀, 侵蚀, 破坏
vi. 被侵蚀, 起腐蚀作用"
erosion,"n. 腐蚀, 冲蚀, 侵蚀
"
cosy,"a. 温暖舒适的
n. 保暖套"
restless,"a. 不安静的, 慌张的, 休息不充分的
"
coward,"n. 懦弱的人, 胆小的人"
timid,"a. 胆小的, 羞怯的"
timidity,"n. 胆小, 胆怯, 羞怯"
cradle,"n. 摇篮, 发祥地, 孩提时代
vt. 放在摇篮内, 抚育
vi. 刈割"
crane,"n. 鹤, 起重机
vt. 伸颈, 起重机起吊
vi. 伸颈看, 迟疑"
hoist,"n. 升高, 起重机, 推动
v. 升起, 升高, 举起"
heave,"n. 举, 抛, 起伏, 鼓起
vt. 用力举起, 使举起, 使鼓起
vi. 抛出, 起伏, 喘息, 凸起"
zoom,"n. 急速上升, 变焦摄影, 嗡嗡声
vi. 猛增, 急速上升, 摄象机移动
vt. 使摄象机移动
"
escalate,"vi. 逐步扩大, 逐步升高, 逐步增强
vt. 使逐步上升"
creep,"n. 爬, 徐行, 蠕动
vi. 爬, 蔓延, 潜行"
reptile,"n. 爬行动物, 爬虫, 卑鄙的人
a. 爬行的, 爬虫类的, 卑鄙的"
scramble,"n. 攀缘, 爬行, 抢夺, 混乱, 紧急起飞
vi. 攀缘, 杂乱蔓延, 争夺, 拼凑, 匆忙
vt. 攀登, 扰乱, 使混杂"
mount,"n. 乘骑用马, 框, 衬纸, 山
vi. 乘马, 爬上, 增长
vt. 爬上, 使上马, 装上, 装裱, 安放, 制作...的标本, 设置, 上演
"
remount,"vi. 再骑上, 回溯
vt. 再登, 重镶上"
surmount,"vt. 战胜, 超越, 克服"
cripple,"n. 跛者, 残废
vt. 使跛, 使成残废, 削弱
a. 跛的, 残废的"
limp,"n. 跛行
a. 柔软的, 无力的, 软弱的
vi. 跛行"
deform,"vt. 使残缺, 使变形
vi. 变形"
deformed,"a. 畸形的, 残废的, 丑陋的"
deformation,"n. 损形, 变丑, 畸形
"
crust,"n. 外壳, 坚硬外皮, 面包皮
vt. 盖以硬皮
vi. 结硬皮"
crystal,"n. 水晶, 水晶装饰品, 结晶
a. 水晶的, 水晶一样的, 透明的"
jewelry,"n. 珠宝, 珠宝类"
jewel,"n. 珠宝, 贵重物, 镶珠宝的饰物
vt. 饰以珠宝, 镶以宝石"
necklace,n. 项链
pearl,"n. 珍珠, 珠灰色, 杰出者, 珍贵之物
vt. 用珍珠镶, 使成珠状
vi. 成珠子状, 采珍珠, 用珍珠做"
ruby,"n. 红宝石, 深红色
a. 红宝石色的, 深红色的
vt. 使带红宝石色
"
marble,"n. 大理石, 石弹, 雕刻品
a. 大理石的, 冷酷无情的, 有大理石花纹的"
ore,"n. 矿石
"
pebble,"n. 小圆石, 小鹅卵石, 水晶透镜, 碎石花纹
"
quartz,"n. 石英
"
cushion,"n. 垫子, 橡皮软垫
vt. 加垫褥, 缓冲, 掩盖"
mat,"n. 垫, 丛, 衬边
a. 粗糙的, 无光泽的
vi. 纠缠在一起
vt. 铺席于...上, 使无光泽, 使缠结"
pad,"n. 填补, 衬垫, 印色盒, 路
vt. 填补, 走, 夸大
vi. 步行
"
rug,"n. 小块地毯, 揭露某人"
dairy,"n. 牛奶公司, 乳品店, 乳牛场"
dash,"n. 冲撞, 破折号, 短跑
vi. 猛冲, 冲撞
vt. 泼溅, 使猛撞, 搀和, 使破灭, 使沮丧"
slam,"n. 砰然声, 猛然, 猛烈的抨击
vt. 猛然关上, 砰地关上, 猛烈抨击
vi. 砰地关上, 猛攻"
hammer,"n. 锤, 铁锤, 钉锤
vt. 锤打, 敲打, 钉
vi. 连续锤打
"
stroke,"n. 笔划, 打, 中风, 抚, 摩, 冲程
vt. 划尾桨, 抚, 摩, 划去
"
daylight,"n. 白昼, 日光
vt. 使沐浴于日光
vi. 享有日光"
eclipse,"n. 日食, 月食, (地位名誉等的)消失
vt. 引起日食, 引起月食, 使黯然失色"
solar,"a. 太阳的, 日光的, 源自太阳的
"
sunrise,"n. 日出, 黎明, 拂晓"
sunset,"n. 日落, 晚年"
sunshine,"n. 阳光, 光明, 晴天"
lunar,"a. 阴历的, 月的, 微亮的(指光)
"
decimal,"a. 十进位的, 小数的
n. 十进制, 小数
"
degenerative,"a. 退步的, 退化的, 变质的
"
ebb,"n. 退潮, 衰退
vi. 潮退, 衰退"
delimit,"vt. 定界限, 划界
"
unacceptable,"a. 无法接受的, 不受欢迎的
"
depletion,"n. 消耗, 耗尽, 放血
"
depose,"vt. 免职, 废黜, 作证
vi. 作证, 供证"
exemption,"n. 解除, 免除, 免税
"
depreciate,"vi. 贬值
vt. 降价, 贬低"
depreciation,"n. 价值减低, 减价, 跌落, 贬低, 折旧
"
devaluation,"n. 降低价值, 贬值
"
devalue,"vt.vi. 降低...的价值, 贬值, 降低价值, 使(货币)贬值
"
detain,"vt. 扣留, 扣押, 耽搁
"
linger,"vi. 逗留, 消磨, 徘徊
vt. 消磨"
dew,"n. 露珠, 露水
vt. (用露水)沾湿
vi. 结露水"
mist,"n. 雾, 迷蒙, 朦胧不清
vt. 使模糊, 使蒙上雾
vi. 变模糊, 下雾"
discreet,"a. 小心的, 慎重的"
hasten,"vt. 催促, 加紧
vi. 赶快, 急忙"
despatch,"v. 派遣
n. 派遣"
dispatch,"vt. 派遣
n. 派遣, 急件
"
disorient,"vt. 使失去方向, 使迷惑"
dispel,"vt. 驱散, 驱逐"
dissipate,"vt. 散失, 驱散, 浪费
vi. 消散, 放荡"
expulsion,"n. 逐出, 开除, 驱逐, 排气
"
ejection,"n. 驱逐, 喷出, 排出物
"
displacement,"n. 换置, 移位, 移动, 取代
"
relocate,"vt. 重新安置, 再配置, 放在新地方
"
immigrate,"vt. 使移居入境
vi. 移入"
disuse,"n. 不被使用, 废弃
vt. 停止使用, 废止"
obsolete,"a. 荒废的, 成废物的, 陈旧的, 老式的
n. 废词, 废物"
scrap,"n. 碎片, 残余物, 些微, 片断, 铁屑, 吵架
vt. 扔弃, 敲碎, 拆毁
vi. 互相殴打
a. 零碎拼凑成的, 废弃的"
litter,"n. 垃圾, 杂乱, 轿, 担架
vt. 乱丢, 铺草, 弄乱
vi. 产仔, 乱丢垃圾"
dive,"n. 潜水, 跳水
vi. 跳水, 俯冲, 猛冲
vt. 把...突然伸入"
submarine,"n. 潜水艇, 海底生物
a. 海中的, 生长在海中的
vt. 用潜水艇攻击
vi. 在下疾行, 在下滑动"
dizzy,"a. 晕眩的, 眼花缭乱的
vt. 使晕眩"
dorm,n. 宿舍
dormitory,n. 宿舍
dormant,"a. 睡眠状态的, 静止的
"
dormancy,"n. 不活动性, 休眠, 蛰伏
"
lodge,"n. 小屋, 门房, 支部, 旅舍, 分会
vi. 临时住宿, 倒伏, 寄宿, 投宿
vt. 安顿, 容纳, 提出, 把...射入, 存放"
dot,"n. 点, 圆点, 小数点, 小东西, 嫁妆
vt. 作小点记号, 加小点于
vi. 打上点
"
drainage,"n. 排水
"
irrigate,"vt. 灌溉, 冲洗伤口, 使清新
vi. 灌溉"
irrigation,"n. 灌溉, 冲洗
"
drip,"n. 水滴
v. (使)滴下"
tick,"n. 滴答声, 一瞬间, 壁虱, 褥套, 信用, 赊欠
vi. 滴答响, 活动
vt. 滴答地记录, 标记号于"
drum,"n. 鼓, 鼓声
vi. 击鼓, 作鼓声
vt. 打鼓奏出
"
drummer,"n. 鼓手, 旅行推销员
"
guitar,n. 吉他
violin,n. 小提琴
whistle,"n. 口哨, 汽笛, 啸啸声, 口哨声
vi. 吹口哨, 鸣汽笛, 发嘘嘘声
vt. 用口哨或吹哨传意, 用口哨演奏"
dual,"a. 双重的, 双的
n. 双数"
duality,"n. 二元性
"
duplex,"a. 双的, 复式的, 双联的, 二重的, 二倍的
"
twofold,"a. 两倍的, 两重的
adv. 两倍地, 两重地"
secondary,"a. 中级的, 中等的, 次要的, 第二的, 从属的, 辅助的
"
threefold,"a. 三倍的, 三重的
adv. 三倍地, 三重地"
duct,"n. 管, 输送管
vt. 通过管道输送"
valve,"n. 活瓣, 阀, 活门
v. 装阀, 用阀调节"
plumber,"n. 水管工人
"
dump,"n. 垃圾场
vt. 倾倒, 倾销
vi. 倒垃圾, 倾销商品
"
duplication,"n. 副本, 复制
"
replicate,"vt. 折叠, 折转, 复制
n. 复现试验, 复制品, 高八度音
a. 复现的, 复制的, 折转的, 弯回的"
dusk,"n. 薄暮, 傍晚, 黄昏
a. 微暗的
v. (使)微暗"
ecology,"n. 生态学, 社会生态学
"
physiology,"n. 生理学, 生理机能
"
psychiatry,"n. 精神病学, 精神病治疗
"
microprocessor,"n. 微处理器
"
submicroscopic,"a. 亚微观的, 普通显微镜下看不出的
"
macrostructure,"n. 宏观结构
"
texture,"n. (织物的)密度, (材料等的)结构, 纹理
"
ego,"n. 自我
"
lofty,"a. 高的, 傲慢的, 崇高的, 高级的, 玄虚的"
elapse,"vi. 逝去, 过去
n. 逝去, 过去"
empower,"vt. 授予权力, 允许, 使能够
"
inhibit,"vt. 禁止, 抑制
vi. 起抑制作用"
inhibition,"n. 禁止, 抑制, 压抑
"
uninhibited,"a. 不受禁令约束的, 不受拘束的, 自由自在的, 随心所欲的, 大吵大闹的
"
siege,"n. 包围, 围攻, 再三的努力
vt. 包围, 围攻"
encyclopedia,n. 百科全书
legible,"a. 清晰的, 易读的"
endanger,"vt. 危及
"
hazard,"n. 冒险, 危险, 机会
vt. 冒...的危险, 赌运气, 使冒危险
"
salvation,"n. 拯救, 救助, 救世"
endow,"vt. 捐赠, 捐助, 赋予
"
impart,"vt. 给予, 传授, 告知"
impartible,"a. 不可分的, 不能分割的
"
entity,"n. 实体, 实存物, 存在
"
equator,"n. 赤道
"
tropic,n. 回归线
tropical,"a. 热带的, 热情的
"
longitude,"n. 经度, 经线
"
equivalence,"n. 同等, 等价, 等值
"
outnumber,"vt. 数目超过, 比...多"
esteem,"n. 尊敬, 尊重
vt. 尊敬, 尊重, 认为"
esthetic,"a. 审美的
"
aesthetic,"a. 美学的, 审美的, 有美感的"
exquisite,"a. 精致的, 细腻的, 敏锐的"
gorgeous,"a. 华丽的, 灿烂的"
evacuation,"n. 撤退, 疏散
"
void,"n. 空虚, 空间, 空白, 空隙, 空虚感
a. 空的, 无效的, 无人的, 没有的, 无用的
"
hollow,"n. 洞, 窟窿, 山谷
a. 空的, 虚伪的, 空腹的, 凹的
vi. 形成空洞
vt. 挖空"
distill,"vt. 蒸馏
vi. 滴下"
excerpt,"n. 摘录
v. 引用, 摘录"
transcribe,"vt. 抄写, 译, 意译, 录制, 改编
"
transcript,"n. 抄本, 副本, 成绩单
"
scribe,"n. 文书, 抄写员, 划线器
vi. 担任抄写员
vt. 用划线器划"
script,"n. 手迹, 手稿, 正本, 手写体
vt. 改编为演出本
"
excursion,"n. 远足, 游览圆, 短程旅行
"
sightseeing,"n. 观光, 游览
a. 观光的, 游览的"
sightseer,n. 观光客
motel,n. 汽车旅馆
pub,"n. 酒馆, 客栈"
excursive,"a. 游览的, 离题的, 散漫的
"
exile,"n. 放逐, 流放, 被放逐者
vt. 放逐, 流放, 使背井离乡"
expedition,"n. 远征, 探险队, 迅速"
underneath,"adv. 在下面
prep. 在...的下面"
extracurriculum,"a. 课程以外的, 业余的"
fabulous,"a. 传说的, 寓言般的, 难以置信的"
fable,"n. 寓言, 神话, 谎言
vi. 虚构, 作寓言"
fairy,"n. 仙女, 精灵
a. 仙女的"
facile,"a. 容易的, 灵巧的, 温和的"
fake,"n. 假货, 欺骗, 诡计
a. 假的
vt. 假造, 仿造
vi. 伪装"
sham,"n. 假, 赝品, 骗子, 哄骗
a. 假的, 伪造的
vt. 假装, 冒充
vi. 装假"
ingenuous,"a. 坦白的, 正直的, 天真的"
naive,"a. 天真的, 纯真的, 幼稚的"
fallacy,"n. 错误的观念(或信念), 谬见, 谬论
"
lapse,"n. 过失, 流逝, 失效
vi. 犯错, 堕落, 减退, 消失, 流逝
vt. 使失效"
rational,"a. 理性的, 合理的
n. 有理数"
