abolish,"vt. 废止, 革除, 消灭
"
speculation,"n. 沉思, 推测, 投机
"
suspicion,"n. 怀疑, 觉察, 嫌疑
"
suspicious,"a. 可疑的, 多疑的, 怀疑的
"
prosper,"vi. 繁荣, 兴隆, 成功
vt. 使成功, 使昌盛"
prosperous,"a. 成功的, 繁盛的, 幸运的
"
prosperity,"n. 繁荣, 茂盛, 成功
"
disperse,"vt. 分散, 传播, 散开
vi. 分散
a. 分散的
"
dispersion,"n. 散布
"
aspiration,"n. 热望, 志向, 渴望
"
expire,"vi. 期满, 呼气, 断气
vt. 呼出"
expiration,"n. 终止, 满期, 呼出, 呼气
"
inspiration,"n. 灵感, 鼓舞人心的人或物, 妙计, 吸气
"
inspiring,a. 鼓舞人心的
correspondence,"n. 相符, 通信, 信件
"
corresponding,"a. 相当的, 一致的, 通信的
"
responsible,"a. 有责任的, 负责的, 责任重大的
"
responsibility,"n. 责任, 职责, 负担, 可靠性
"
spontaneous,"a. 自然的, 自发的, 未经琢磨的
"
estate,"n. 不动产, (人生的)阶段, 阶层, 财产
"
instantaneous,"a. 即时的, 瞬间的, 猝发的
"
obstinate,"a. 倔强的, 顽固的, 不让步的"
obstinacy,"n. 倔强, 顽固, 固执行为, (疼痛等)难治"
stability,"n. 安定, 稳定性, 坚实, 巩固
"
instability,"n. 不安定, 不稳定
"
stabilize,"vt. 使安定, 使稳固
vi. 稳定, 安定"
stabilization,"n. 安定, 稳定, 平抑, 安定化, 稳定化
"
stationary,"a. 不动的, 静止的, 不变的, 固定的, 停留的
"
statistics,"n. 统计学, 统计资料
"
substance,"n. 物质, 实质, 主旨, 资产, 本质, 牢固
"
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
substantive,"a. 表示实在的, 有实质的, 独立存在的, 大量的, 重大的, 坚实的, 名词的
n. 名词性实词, 名词"
installment,"n. 就职, 装设, 分期付款
"
stereotype,"n. 铅版, 陈规, 老套
vt. 使用铅版, 把...印制成盲文, 套用老套, 使一成不变"
distill,"vt. 蒸馏
vi. 滴下"
distillation,"n. 蒸馏
"
distinct,"a. 清楚的, 显著的, 不同的"
distinction,n. 区别
distinguish,"v. 区别, 辨别"
extinct,"a. 熄灭的, 灭绝的, 耗尽的
"
extinction,"n. 消失, 消灭, 废止
"
extinguish,"vt. 熄灭, 使消亡, 压制, 使减色
"
extinguisher,"n. 熄灭者, 灭火器, 消灭者
"
sting,"n. 叮, 刺痛, 刺激, 讽刺
vt. 叮, 刺痛, 刺激, 使苦恼
vi. 叮, 刺痛"
constituent,"n. 成分, 选民, 构成物
a. 构成的, 组织的, 选举的"
constitution,"n. 构成, 宪法, 体格
"
superstition,"n. 迷信
"
superstitious,"a. 迷信的
"
bestow,"vt. 授予, 使用, 贮藏, 留宿"
straighten,"vt. 弄直, 整顿, 清理, 使改正
vi. 直起来, 改正, 好转"
straightforward,"a. 笔直的, 率直的, 明确的, 简单的, 直接的"
straightforwardly,adv. 正直地
constrain,"vt. 强迫, 限制, 关押"
constraint,"n. 强制, 约束
"
restrain,"vt. 抑制, 阻止, 束缚
"
restraint,"n. 抑制, 克制, 束缚
"
catastrophe,"n. 大灾难, 大祸
"
destruction,"n. 破坏, 毁灭
"
destructive,"a. 毁灭性的, 破坏的, 有害的
"
construction,"n. 建筑, 构造, 建筑物
"
instructor,"n. 教员, 讲师
"
instruction,"n. 指令, 教导, 命令
"
instrumental,"a. 仪器的, 器具的, 可作为手段的
"
persuasion,"n. 说服, 信念, 派别, 说服力"
persuade,"vt. 劝, 使相信, 恳求, 敦促, 说服
vi. 劝服, 被说服"
ensue,"vi. 跟着发生, 继起
vt. 追求"
assault,"n. 攻击, 袭击
vt. 袭击, 攻击
vi. 发动攻击"
resultant,"a. 结果的, 合成的
n. 结果, 合力, 生成物"
assumption,"n. 假定, 自负, 担任, 假装
"
consumer,"n. 消费者
"
consumption,"n. 消费, 消费量, 痨病
"
presume,"vt. 假定, 推测, 擅自, 意味着
vi. 擅自行动, 相信"
presumption,"n. 专横, 放肆, 假定, 推测
"
presumably,"adv. 推测上, 大概"
resume,"vt. 重新开始, 取回, 恢复
vi. 再开始
n. 摘要, 个人简历
"
summary,"n. 摘要, 概要
a. 摘要的, 简略的
"
summarize,"v. 概述, 总结"
summit,"n. 顶点, 最高阶层, 最高级会议
a. 政府首脑的, 最高级的"
superiority,"n. 优越, 高傲
"
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
assurance,"n. 保证, 把握, 信心, 保险
"
reassure,"vt. 使...安心, 向...再保证
"
reassurance,"n. 安心, 放心, 再保证"
absurd,"a. 荒谬的, 不合理的, 可笑的
n. 荒诞"
systematic,"a. 有系统的, 分类上的, 体系的
"
systematically,"adv. 有系统地, 有组织地, 有条理地"
tabulate,"vt. 作成表, 作成一览表, 使成平面
a. 平板状的, 平面的
"
tabulation,"n. 作表, 表格
"
attachment,"n. 连接, 附属物, 连接物, 爱慕
"
detach,"vt. 使分离, 分遣
"
detachment,"n. 分离, 分遣, 分遣队
"
contact,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
contaminate,"vt. 弄污, 弄脏, 污染, 毒害
"
contamination,"n. 污染, 污物
"
contaminant,"n. 污染物, 沾染物
"
intact,"a. 尚未被人碰过的, 原封不动的, 完整的
"
tact,"n. 机智, 手法, 老练
"
tactful,"a. 机智的, 老练的"
tactless,"a. 不机智的, 不机敏的"
tactics,"n. 用兵学, 战术, 兵法
"
tactical,"a. 战术的, 用兵上的, 策略的"
tangible,"n. 可触知的东西, 有形资产
a. 可触摸的, 有实体的, 非相像的, 有形的, 明确的"
detail,"n. 细节, 详情
vt. 详述, 选派
vi. 画详图
"
retail,"n. 零售
a. 零售的
vt. 零售, 详述, 传播
vi. 零售"
continental,"a. 大陆的, 洲的
n. 欧洲大陆人"
continuity,"n. 连续性
"
continuous,"a. 连续的, 继续的, 连续不断的
"
detain,"vt. 扣留, 扣押, 耽搁
"
entertainment,"n. 娱乐, 款待, 娱乐表演"
pertinent,"a. 相关的, 中肯的, 切题的
"
retention,"n. 保持, 留置, 保留, 保持力, 保留物, 记忆, 停滞, 固位
"
retentive,"a. 保持的, 有保持力的, 记性好的"
sustain,"vt. 承受, 支持, 供养, 继续, 忍受, 蒙受, 证实, 准许
"
retard,"n. 阻止, 延迟
vt. 妨碍, 延迟, 使减速
vi. 减速, 延迟"
detective,"n. 侦探
a. 侦探的"
detection,"n. 发现, 察觉, 探测
"
detector,"n. 发现者, 检验器, 检波器
"
telecommunications,"n. 电信, 通讯, 电信学
"
telex,"n. 用户直通电报, 电传打字机
"
temperament,"n. 气质, 性格, 性情
"
tempo,"n. 速度, 节奏, 进行速度, (棋的)一着"
contemplate,"vt. 注视, 沉思, 盘算
vi. 冥思苦想"
contempt,"n. 轻视, 轻蔑
"
attendance,"n. 出席, 出席的人数, 照料
"
attendant,"n. 随从, 侍者, 出席者
a. 侍候的, 伴随的, 出席的, 在场的"
contend,"vi. 奋斗, 斗争, 竞争
vt. 为...斗争"
contention,"n. 争论, 争辩, 所持的论点
"
extension,"n. 延长, 扩充, 范围, 扩展名
a. 伸缩的
"
extensive,"a. 广的, 广泛的, 多方面的
"
intensify,"vt. 加强
vi. 强化"
intensive,"a. 加强的, 内涵的, 集中的
n. 加强器"
intent,"n. 意图, 含义, 故意
a. 专心的, 决心的, 热心的"
tensile,"a. 可拉长的, 可伸长的, 张力的, 拉力的
"
tension,"n. 紧张, 不安, 拉紧, 张力, 压力, 电压
vt. 拉紧, 使紧张"
tentative,"n. 试验
a. 试验性的, 暂时的"
terminal,"n. 终端机, 终点, 末端, 极限, 终点站
a. 终点的, 定期的, 致死的, 结尾的, 末端的, 晚期的
"
terminus,"n. 终点, 界标, 终点站
"
terminate,"a. 有结尾的, (可)结束的
vi. 结束, 终止, 满期
vt. 使停止, 使结束, 使终止
"
termination,"n. 终止, 结束, 结果, 词尾
"
terminology,"n. 术语, 术语学
"
terminological,"a. 术语的, 术语学的"
terrace,"n. 阶地, 梯田, 房屋之平顶, 阳台, 沿岸防地, 露台
a. 叠层式的
vt. 使成梯田, 使成有平台屋顶"
terrain,"n. 地带, 地区, 地形, 领域, 范围"
terrific,"a. 非常好的, 极端的, 可怕的"
terrifically,"adv. 非常地, 极端地, 可怕地"
terrify,"vt. 使恐惧, 恐吓"
terrorist,"n. 恐怖分子
"
terrorism,"n. 恐怖主义, 恐怖统治, 恐怖状态
"
testify,"v. 证明, 作证, 声明, 表明"
testimony,"n. 证言, 证据, 声明
"
context,"n. 上下文, 背景, 来龙去脉
n. 上下文
"
contextual,"a. 上下文的, 前后关系的"
pretext,"n. 借口, 托词
v. 以...为借口"
texture,"n. (织物的)密度, (材料等的)结构, 纹理
"
enthusiastic,"a. 狂热的, 热心的, 热烈的"
enthusiasm,"n. 巨大的热情, 热心"
thermal,"a. 热的, 热量的, 温泉的
n. 上升温暖气流"
thermometer,"n. 温度计, 体温计
"
hypothesis,"n. 假设
"
synthesis,"n. 综合, 组织, 综合体
"
synthetic,"n. 合成物质
a. 综合(性)的, 人造的, 合成的"
thesis,"n. 论题, 论文"
intimidate,"vt. 威胁, 恐吓
"
timid,"a. 胆小的, 羞怯的"
timidity,"n. 胆小, 胆怯, 羞怯"
entitle,"vt. 给...权利, 取名为, 给予名称, 叫做
"
tolerant,"a. 宽容的, 容忍的, (对冷、热)能耐的
"
tolerance,"n. 宽容, 忍受, 容忍, 容许量, 公差
"
intonation,"n. 朗诵, 语调, 唱
"
distort,"vt. 扭曲, 歪曲
"
distortion,"n. 扭曲, 变形, 曲解
"
retort,"n. 反驳, 顶嘴, 蒸馏器, 曲颈甑
vi. 反驳, 回嘴, 反击
vt. 反击, 反驳, 蒸馏"
retortion,"n. 扭曲, 后弯, 报复"
torment,"n. 使人痛苦的东西, 折磨者, 苦痛
vt. 使苦恼, 纠缠, 歪曲, 拷问"
torture,"n. 拷问, 苦闷
vt. 拷问, 曲解, 折磨, 使弯曲"
attorney,"n. 代理人, 律师
"
toxic,"a. 有毒的, 中毒的
"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
abstraction,"n. 抽象化, 心不在焉, 空想, 提炼, 抽象派作品
"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
distract,"vt. 转移, 分心, 使发狂"
distraction,"n. 娱乐, 分心的事物, 分心
"
extract,"n. 榨出物, 精汁, 摘录, 选段
vt. (费力地)取出, 采掘, 榨取, 摘录, 吸取
"
extraction,"n. 抽出, 取出, 拔出术, 抽出物
"
entreat,"v. 恳求, 乞求"
entreaty,"n. 恳求, 乞求"
trench,"n. 渠, 沟渠, 战壕
vt. 在...开沟, 挖战壕于, 用战壕围住
vi. 挖战壕, 开沟"
attribute,"n. 属性, 标志, 定语
vt. 把...归于, 认为...属于
"
attribution,"n. 归因
"
tribute,"n. 贡物, 礼物, 颂辞"
intricacy,"n. 纷乱, 复杂, 错综"
intricate,"a. 复杂的, 错综的, 缠结的, 难懂的"
intrigue,"n. 阴谋, 复杂的事
vi. 密谋, 私通
vt. 激起...的兴趣, 用诡计取得"
retrieve,"vt. 取回, 挽回, 弥补, 恢复, 补偿, 回忆, 检索
vi. 找回猎物
n. 取回, 恢复, 救险球
"
tropic,n. 回归线
tropical,"a. 热带的, 热情的
"
intuition,"n. 直觉, 直觉的知识"
intuitive,a. 直觉的
disturbance,"n. 扰乱, 不安, 忧虑
"
turbulent,"a. 狂暴的, 骚乱的, 紊乱的"
turbulence,"n. 混乱, 动荡, 骚乱, 紊流
"
tuition,"n. 学费, 讲授"
tyranny,"n. 专制, 暴政
"
tyrant,"n. 暴君
"
tyrannical,"a. 暴虐的, 暴君的, 残暴的"
ultimate,"n. 终极, 根本, 顶点, 基本原则
a. 终极的, 根本的, 极限的, 最远的, 最后的, 最大的"
reunion,"n. 团圆, 重聚
"
unify,"v. 统一, 使成一体"
unification,"n. 统一, 联合, 一致
"
unique,"a. 独一无二的, 独特的, 稀罕的"
universally,"adv. 宇宙, 全世界, 普遍, 一般, 普通, 全体, 一致, 通用, 万能, 广用, 广泛"
universalize,"vt. 使一般化, 使普遍化, 普及"
abundance,"n. 丰富, 充足, 大量
"
abundant,"a. 丰富的, 充分的, 大量的"
redundant,"a. 多余的, 过多的, 冗长的
"
utensil,"n. 器皿, 用具"
utilization,"n. 利用
"
evacuate,"v. 疏散, 撤出, 排泄"
evacuation,"n. 撤退, 疏散
"
evade,"v. (巧妙地)逃脱, 规避, 逃避"
evasion,"n. 逃避, 藉口
"
extravagant,"a. 奢侈的, 挥霍无度的, 浪费的"
extravagance,"n. 奢侈, 浪费, 放肆的言行"
avail,"vi. 有用, 有利
vt. 有利于
n. 效用, 利益"
available,"a. 可利用的, 可获得的, 有效的
"
availability,"n. 有效性, 可利用性, 可利用的人
"
prevalent,"a. 普遍的, 流行的"
prevalence,"n. 普遍, 流行, 广泛
"
validity,"n. 有效性, 正确性
"
invalid,"n. 病人, 残废者
a. 有病的, 无效的"
valuable,"a. 有价值的, 贵重的, 宝贵的, 可估价的
"
valuate,vt. 对…作估价
invaluable,"a. 无价的, 价值无法衡量的"
evaporate,"vi. 蒸发, 失去水分, 消失
vt. 使蒸发, 使脱水, 使消失"
evaporation,"n. 蒸发, 脱水, 消失
"
invariably,"adv. 不变化地, 恒定地, 始终如一地"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
revelation,"n. 揭露, 泄露, 发觉, 默示, 启示"
veil,"n. 面纱, 面罩, 借口, 幕, 帐, 遮蔽物
vt. 戴面纱, 隐藏, 遮蔽, 掩饰
vi. 蒙上面纱"
advent,"n. 来到, 来临"
convene,"vt. 集合, 召集, 召唤
vi. 聚集, 集合"
convention,"n. 大会, 协定, 惯例, 约定
"
conventional,"a. 传统的, 习惯的, 约定的
"
intervene,"vi. 插入, 调停, 干涉
"
intervention,"n. 插入, 介入, 调停
"
inventory,"n. 详细目录, 存货清单
vt. 列入详细目录, 清点存货
"
prevention,"n. 阻止, 妨碍, 预防
"
revenue,"n. 收入, 岁入, 税收, 税务局
"
revenge,"n. 报仇, 复仇, 报复
vt. 报仇, 报复"
vengeance,"n. 复仇, 报仇
"
vent,"n. 排气口, 出口, 通风孔, 发泄
vt. 发泄, 排出, 给...开孔"
ventilate,"vt. 使空气流通, 使通风, 公开讨论, 公开
"
ventilation,"n. 通风, 空气流通, 公开讨论
"
verdict,"n. 裁决, 判决, 判断性意见, 定论, 结论
"
verify,"vt. 证明, 查证, 证实, 检验, 校验
"
verifiable,"a. 可核实的, 可证实的
"
verbal,"a. 用言辞的, 言语的, 口头的, 逐字的, 动词的
"
proverb,"n. 谚语, 格言, 箴言
vt. 使众所周知, 用谚语表达"
proverbial,"a. 谚语的, 谚语式的, 闻名的"
verge,"n. 边缘, 边界, 起始点
vi. 处在边缘, 接近, 下沉, 趋向"
converge,"vi. 聚合, 集中于一点
vt. 使集合"
adverse,"a. 不利的, 敌对的, 相反的, 逆的
"
avert,"vt. 转开, 避免, 防止"
controversy,"n. 论争, 辩论, 论战, 争论
"
controvert,"vt. 议论, 辩驳, 驳击
vi. 参加辩论"
convert,"n. 皈依者, 改变宗教信仰者
vt. 使改变信仰, 转换, 兑换, 倒置
vi. 皈依
"
conversion,"n. 转变, 转换, 改变宗教信仰, 换位法
"
diversify,"vt. 使多样化, 使变化"
divert,"vt. 转移, 使欢娱
vi. 转移"
diversion,"n. 转移
"
inversely,"adv. 相反地
"
invert,"a. 转化的
vt. 使反转, 使颠倒, 使转化
n. 颠倒的事物
"
inversion,"n. 倒转, 倒置, 倒装
"
overt,"a. 明显的, 公然的, 蓄意的
"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
"
transverse,"n. 横断物
a. 横的, 横向的"
traverse,"n. 越过, 横贯, 横断物, 屏障, 否认, 反驳
vt. 横过, 穿过, 经过, 详细研究, 反对, 在...来回移动
vi. 横越, 横断, 旋转, 来回移动
a. 横亘的, 横贯的"
traversable,"a. 能横过的, 能越过的, 可否认的
"
versatile,"a. 多才多艺的, 万用的, 万向的"
versatility,"n. 多用途, 多才多艺, 易变"
verse,"n. 诗, 韵文, 诗句
vt. 用诗表达
vi. 作诗"
version,"n. 一种描述, 版本, 译文
"
vertical,"a. 垂直的, 直立的
"
violate,"vt. 违犯, 亵渎, 违反, 侵犯, 妨碍
"
violation,"n. 违反, 违背, 妨碍
"
convey,"vt. 传达, 运输, 转让
"
deviate,"vi. 脱离, 偏离
vt. 使偏离
a. 脱离常规的
n. 脱离常规的人"
deviation,"n. 背离
"
deviationist,"n. 异端分子
a. 异端的"
trivial,"a. 琐碎的, 不重要的, 轻微的, 平常的"
triviality,"n. 琐事, 平凡, 浅薄"
vicinity,"n. 附近, 邻近, 附近地区, 近处
"
conviction,"n. 定罪, 信服, 坚信
"
convince,"vt. 说服, 使相信
"
dividend,"n. 被除数, 股利
"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
subdivide,"vt.vi. (把...)再分, (把...)细分
"
subdivision,"n. 细分, 分部
"
revive,"vt. 使苏醒, 使复兴, 使振奋, 回想起, 重播
vi. 苏醒, 复活, 复兴, 恢复精神"
revival,"n. 复兴, 复活, 恢复精神, 苏醒
"
survival,"n. 生存, 残存, 幸存者
a. 赖以生存的"
vigorous,"a. 精力充沛的, 元气旺盛的, 茁壮的, 有力的"
vitality,"n. 活力, 生命力
"
vitalize,"vt. 赋予生命, 给予活力, 使有生气
"
envisage,"vt. 面对, 正视, 想象"
provision,"n. (政府提供的)钱和设备, 准备, 供应品, 规定, 条款
vt. 供给...食物及必需品"
supervise,"v. 监督, 管理, 指导"
supervision,"n. 监督, 管理
"
visa,"n. 签证
vt. 签发"
visualize,"vt. 使看得见, 使具体化, 想象, 设想
vi. 想象, 显形"
visualization,"n. 可见性, 形象化
"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
advocacy,"n. 拥护, 支持, 鼓吹, 辩护, 辩护术
"
evoke,"vt. 唤起, 引起, 召(魂)
"
provoke,"vt. 激怒, 惹起, 诱导
"
provocative,"a. 激发感情的, 挑拨的, 刺激的
n. 刺激物, 挑拨物, 兴奋剂"
provocation,"n. 激怒, 刺激, 挑拨
"
revoke,"vt. 撤回, 废除
vi. 藏牌
n. 藏牌
"
vocal,"a. 嗓音的, 声音的, 有声的, 歌唱的
n. 元音, 声乐作品"
vocational,"a. 职业的
"
volunteer,"n. 志愿者
a. 志愿的
v. 自愿"
voluntary,"a. 自动的, 自愿的, 故意的, 志愿的, 自发的
n. 自愿行动, 志愿者, 自由调"
evolution,"n. 进化, 发展, 进展, (气体)放出, 开方
"
revolve,"v. (使)旋转, 反复考虑, 循环出现"
devour,"vt. 吞食, 挥霍, 吞没"
devotion,"n. 热爱, 投入"
adolescent,"a. 青春期的, 青少年的
n. 青少年"
adolescence,"n. 青春期
"
air-conditioning,"用空调设备调节空气, 空调设备
"
aisle,"n. 走廊, 侧廊, 过道
"
allowance,"n. 津贴, 零用钱, 限额, 折扣, 允许
vt. 定量供应"
alloy,"n. 合金
vt. 将...铸成合金, 减低成色
vi. 合铸"
appease,"vt. 抚慰, 缓解, 平息, 姑息
"
appeasement,"n. 抚慰, 缓解, 平息, 姑息
"
appliance,"n. 器械, 用具, 应用
"
apt,"a. 有...倾向的, 易于的, 恰当的, 聪明的
"
aptly,"adv. 适当地, 适宜地"
antenna,"n. 天线, 触须, 触角
"
antennal,a. 触角的
arena,"n. 角斗场, 舞台, 场地
"
array,"n. 排列, 衣服, 大批, 军队
vt. 布署, 打扮, 排列
"
artery,"n. 动脉, 干道, 要道
"
articulate,"a. 发音清晰的, 口才好的
vt. 明白地说, 以关节连接, 使成为系统的整体"
assassination,"n. 暗杀
"
assessment,"n. 评估, 估定, 评定的款额
"
atlas,"n. 地图集, 图表集
"
authentic,"a. 可靠的, 可信的, 真正的
"
awkward,"a. 笨拙的, 棘手的"
axis,"n. 轴
"
badge,"n. 徽章, 标记
"
baffle,"vt. 困惑, 为难, 使挫折
vi. 徒作挣扎
n. 迷惑, 挡板"
bald,"a. 秃头的, 光秃的, 单调的, 赤裸的
vi. 变秃"
ballet,n. 芭蕾舞
banquet,n. 宴会
barren,"a. 不育的, 贫瘠的
n. 荒地"
batch,"n. 一次所烘的面包, 一次所制之量, 一组, 批, 成批, 分批
v. 成批, 分批处理
"
belly,"n. 腹部, 食欲
vt. 使鼓起
vi. 鼓起, 匍匐前进"
betray,"vt. 出卖, 背叛, 辜负, 暴露
"
betrayer,"n. 叛徒, 叛国贼
"
beware,"v. 小心, 谨防"
bewilder,"vt. 使迷惑, 使不知所措"
bewildering,"a. 令人困惑的, 使人昏乱的"
bizarre,a. 奇异的
blacksmith,"n. 铁匠
"
blaze,"n. 火焰, 烈火, 光辉
vi. 燃烧, 发光
vt. 使燃烧, 宣布, 在树皮上刻痕"
blink,"vi. 眨眼, 闪亮
vt. 眨眼, 使闪亮
n. 眨眼, 瞬间, 闪光, 闪烁
"
blossom,"n. 花, 花开的状态, 兴旺期
vi. 开花, 兴旺, 发展"
blunder,"n. 大错, 大失策
vi. 失策, 跌跌撞撞地走, 犯错
vt. 做错"
blunderer,n. 轻率粗心的人
blunt,"a. 钝的, 坦率的, 麻痹的"
bluntness,"n. 钝, 率直, 迟钝"
blur,"vt. 使模糊, 弄脏
vi. 弄脏, 模糊"
blurry,"a. 模糊的, 不清楚的, 污脏的"
blush,"vi. 脸红, 羞愧
vt. 弄成红色
n. 脸红"
booklet,n. 小册子
booth,"n. 亭, 摊棚
"
bowel,"n. 肠, 内脏, 内部
vt. 挖...的内脏"
boycott,"n. 联合抵制
vt. 联合抵制"
bracket,"n. 支架, 括弧, 托架
vt. 装托架, 括入括弧
"
breach,"n. 裂口, 违背, 破坏, 违反, 突破, 破裂
vt. 攻破, 突破
vi. 跳出水面"
breakthrough,"n. 突破
"
breed,"n. 种类, 品种
v. 养育, 引起, 饲养, 繁殖"
breeder,"n. 饲养员, 养育员, 起因, 起源者"
brew,"n. 酿造酒, 酝酿
v. 酿造, 酝酿"
bribe,"n. 贿赂
vt. 贿赂, 收买
vi. 行贿"
bribery,"n. 贿赂行为, 行贿, 受贿
"
brink,"n. 边缘, 陡岸"
brisk,"a. 强烈的, 寒冷而干燥的, 活泼的
vt. 使活泼
vi. 活跃起来"
brochure,"n. 小册子, 小册"
bronze,"n. 青铜, 铜像
a. 青铜色的"
brood,"n. 一窝, 一伙
vt. 孵, 沉思"
broody,"a. (要)抱窝的, 多产的, 思考的"
bruise,"n. 青肿, 挫伤, 擦伤
vi. 受伤, 擦伤
vt. 使受伤, 研碎"
brutal,"a. 残忍的, 野蛮的, 不讲理的"
brutality,"n. 残忍, 无慈悲, 野蛮的行为"
buck,"n. 元, 雄鹿, 纨绔子弟, 鞍马, 培克(赌博时的庄家标志), 碱水, 自夸, 谈话
vi. 马背突然拱起, 反对, 吹牛, 闲聊
vt. 马背突然拱起将骑手摔下, 反对, 用碱水洗
a. 雄的"
bud,"n. 芽, 花蕾
vi. 发芽, 萌芽
vt. 使发芽"
budget,"n. 预算
vi. 编预算
vt. 编入预算, 安排
a. 廉价的"
budgetary,"a. 预算的
"
bulletin,"n. 公告, 布告, 公报
"
bully,"n. 欺凌弱小者, 土霸
vt. 威胁, 恐吓, 欺负
vi. 欺负
a. 特好的, 第一流的
adv. 十分"
bump,"n. 撞击, 肿块
vt. 碰撞
vi. 撞, 颠簸而行"
burial,"n. 埋葬, 葬礼
"
bust,"n. 半身像, 胸部, 失败, 殴打
vt. 使爆裂, 使破产
vi. 爆裂, 破产
"
buzz,"n. 嗡嗡声, 流言
vi. 发出嗡嗡声, 说闲话
vt. 使嗡嗡叫, 散布"
bypass,"n. 旁路
vt. 省略, 绕过, 忽视, 回避"
cable,"n. 电缆, 海底电报, 缆, 索
vi. 打海底电报
vt. 发海底电报, 缚住
"
cafeteria,"n. 自助餐厅
"
cancel,"n. 取消, 撤消, 盖销(邮票)
vt. 取消, 删去, 抵销, 盖销
vi. 相互抵销
"
cancellation,"n. 取消, 作废, 注销戳
"
cane,"n. 手杖, 细长的茎, 藤条
vt. 以杖击, 以藤编制"
cannon,"n. 大炮, 加农炮
v. 炮轰"
canvas,"n. 帆布, 画布, 油画
"
capsule,"n. 胶囊, 蒴果, 瓶帽, 航天舱
"
carve,"v. 雕刻, 切开"
carver,"n. 雕刻匠, 雕工, 切肉刀
"
cater,"v. 提供饮食及服务, 投合, 迎合"
caterer,"n. 备办食物者, 备办宴席者"
Catholic,"n. 天主教徒
a. 天主教的, 普遍的, 广泛的, 宽宏大量的"
Catholicism,n. 天主教的信仰
caution,"n. 小心, 慎重, 警示
vt. 警告
"
cautious,"a. 谨慎的, 小心的"
ceramic,"a. 陶瓷的
n. 陶瓷制品"
ceramist,"n. 陶瓷技师, 陶瓷制造者"
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
challenging,"a. 挑战的, 引起争论的"
champagne,"n. 香槟酒, 香槟酒色
"
champion,"n. 冠军, 拥护者, 战士
vt. 保卫, 拥护
a. 优胜的"
championship,"n. 冠军身份, 冠军称号, 捍卫"
chant,"n. 圣歌, 赞美诗
v. 吟唱, 诵扬"
chanter,"n. 吟唱者, 调旋律管, 唱诗班成员"
chapel,"n. 小教堂, 礼拜式"
cholesterol,"n. 胆固醇
"
chord,"n. 弦, 和音
"
chorus,"n. 合唱队, 齐声
v. 齐声说道, 合唱"
chunk,"n. 大块, 矮胖的人(或物)
"
clamp,"n. 夹钳
vt. 夹紧, 强加"
clan,"n. 氏族, 宗族, 集团
"
clannish,"a. 氏族的, 宗族的, 团结心很强的"
clash,"n. 冲突, 撞击声, 抵触
vi. 冲突, 抵触
vt. 使发出撞击声
"
clasp,"n. 扣子, 钩, 紧握
v. 扣紧, 紧握"
client,"n. 客户, 顾客, 委托人
"
climax,"n. 高潮, 极点, 层进法
v. (使)达到顶点, (使)达到高潮"
cling,"vi. 粘紧, 附着, 紧贴, 坚持"
clip,"n. 修剪, 夹子, 回形针, 剪下来的东西
vt. 修剪, 痛打, 夹牢, 剪报
vi. 剪报"
clockwise,"a. 顺时针方向的
adv. 顺时针方向地"
clone,"n. 无性系
"
clutch,"n. 抓紧, 掌握, 离合器, 一窝小鸡
vt. 抓住, 踩汽车离合器踏板
vi. 抓
"
coalition,"n. 结合体, 结合, 联合
"
coarse,"a. 粗糙的, 下等的, 粗俗的
"
coarsely,"adv. 粗糙地, 粗俗地, 鄙俗地"
cocaine,"n. 可卡因, 古柯碱
"
cocktail,"n. 鸡尾酒, 开味品
a. 鸡尾酒会的"
collide,"vi. 碰撞, 互撞, 抵触"
collision,"n. 碰撞, 冲突, 抵触
"
comet,n. 彗星
cometary,"a. 彗星的, 彗星似的"
commence,"v. (使)开始, 得学位"
commencement,"n. 开始, 毕业典礼
"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
contrive,"v. 发明, 设计, 图谋"
contrivance,"n. 发明, 发明的才能, 想出的办法, 发明物
"
cork,"n. 软木塞, 软木树, 软木
"
corkage,"n. 拔瓶塞, 开瓶费"
corpse,"n. 尸体
"
costume,"n. 装束, 服装"
counsel,"n. 商议, 忠告, 法律顾问
v. 商议, 劝告"
counselor,"n. 顾问, 参事, 法律顾问"
counterpart,"n. 副本, 复本, 配对物, 相应物
"
