precise,"a. 精确的, 严谨的, 明确的
"
swell,"n. 增大, 隆起的部分, 巨浪, 肿胀
a. 优秀的, 一流的
vi. 增大, 膨胀, 肿胀, 增强, 骄傲
vt. 使膨胀, 使增大, 使上涨, 使骄傲"
string,"n. 线, 细绳, 一串, 字符串
vt. 串起, 成串, 收紧, 缚, 扎
vi. 成一串
"
devote,"vt. 投入于, 献身"
term,"n. 术语, 专有名词, 期限, 学期, 任期, 条件, 价钱, 关系, 地位, 项, 界石
vt. 称, 呼
"
affair,"n. 事件, 事务, 恋爱事件"
absolute,"a. 绝对的, 专制的, 完全的, 独立的
n. 绝对事物"
political,"a. 政治的, 政治上的, 政党的, 从事政治的
"
humour,"n. 幽默, 诙谐, 情绪, 体液
vt. 使满足, 迁就"
upper,"a. 上面的, 较高的, 上级的, 上院的, 穿在外面的, 北部的, 地表的, 后期的
n. 鞋帮, 上齿"
bless,"vt. 祝福, 祈佑, 使神圣化"
ray,"n. 光线, 射线, 闪烁, 光辉
vi. 射出光线, 浮现, 放射光线
vt. 放射, 显出"
envy,"n. 羡慕, 嫉妒
vt. 羡慕, 嫉妒"
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
blow,"n. 吹, 打击, 殴打, 花开
v. 吹, 风吹, 吹响, 开花"
arrangement,"n. 排列, 整齐, 安排
"
distinction,n. 区别
dusk,"n. 薄暮, 傍晚, 黄昏
a. 微暗的
v. (使)微暗"
explain,"v. 解释, 说明"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
steady,"a. 稳定的, 不动摇的, 沉着的, 稳固的, 坚定的, 经常的
vt. 使稳定, 使坚定
vi. 变为沉着, 稳固"
anchor,"n. 锚
vt. 抛锚停泊, 使固定
"
recite,"v. 背诵, 朗读, 叙述"
fridge,n. 电冰箱
dislike,"n. 嫌恶
vt. 讨厌, 不喜欢"
delight,"n. 高兴, 愉快
vt. 使高兴, 乐于
vi. 感到高兴(或愉快、快乐)"
currency,"n. 货币, 通货, 流通, 通用
"
studio,"n. 工作室, 画室, 演播室, 电影制片厂"
ability,"n. 能力, 才干
"
equal,"n. 对手, 匹敌, 同辈
a. 相等的, 平等的, 胜任的, 合适的, 平静的, 不相上下的
vt. 等于, 比得上
"
eyesight,"n. 视力, 目力"
shape,"n. 形状, 形态, 外形, 形式, 身材
vt. 定形, 使成形, 塑造, 计划, 使符合
vi. 成形, 形成, 成长
"
squeeze,"n. 紧握, 挤, 榨, 榨取, 佣金
vt. 紧握, 挤, 榨取
vi. 压榨, 榨"
pancake,"n. 薄烤饼, 薄煎饼, 烙饼"
carve,"v. 雕刻, 切开"
garment,"n. 衣服, 衣装, 外表"
supreme,"n. 至高, 霸权
a. 至高的, 终极的, 极端的, 最大的"
resist,"v. 抵抗, 耐得住, 抵制, 反抗
n. 防染材料"
relay,"n. 驿马, 替班, 中继, 接力
vt. 分程传递, 转播, 使接替
vi. 接力传送, 转播"
choose,"vt. 选择, 宁愿, 欲
vi. 作出选择, 愿意
"
lock,"n. 锁, 刹车, 水闸, 一缕头发
vt. 锁, 锁上, 拘禁, 隐藏, (用锁等)拴住, 刹住
vi. 锁住, (齿轮等)啮合, (船)过闸"
interpreter,"n. 直译程序, 解释者, 口译者, 注释器
"
gifted,a. 有天才的
prize,"n. 奖赏, 奖金, 奖品, 战利品, 捕获
a. 得奖的
vt. 珍视, 估价, 捕获, 撬, 撬动"
rude,"a. 粗鲁无礼的, 粗陋的, 粗暴的, 原始的, 未开化的, 大略的, 崎岖不平的, 狂暴的"
decorate,v. 装饰
magic,"n. 魔术, 魔法
a. 魔术的, 有魔力的, 不可思议的"
increase,"n. 增加, 增进, 利益
vt. 增加, 加大
vi. 增加, 繁殖"
commitment,"n. 委托, 交押, 承担义务, 赞助
"
risen,"a. 升起的, 复活的
rise的过去分词"
spear,"n. 矛, 枪, 持矛者, 嫩枝
vt. 用矛刺
vi. 刺, 戳
a. 父系的"
enterprise,"n. 企业, 事业心, 进取心, 干事业
"
replace,"vt. 代替, 替换, 放回, 归还
"
incorrect,"a. 不正确的
"
neat,"a. 整洁的, 巧妙的, 匀称的, 简洁的
n. 牛"
export,"n. 输出品, 输出
vt. 输出, 出口
vi. 输出物资
"
athlete,"n. 运动员, 运动选手
"
show,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相
vt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领
vi. 露面, 显现, 演出
"
nutrition,"n. 营养, 营养学
"
tasteless,"a. 没味道的, 无鉴赏力的"
subscribe,"vt. 捐献, 签署
vi. 赞成, 同意, 捐款, 预订, 认购
"
prepare,"vt. 准备, 筹备, 使在思想上有准备, 制造, 调制
vi. 预备"
alcohol,"n. 酒精, 酒
"
forward,"a. 向前的, 早的, 迅速的, 在前的, 进步的
vt. 促进...的生长, 转寄, 运送
adv. 向前地
"
expression,"n. 表达, 表现, 词语, 措辞
"
delete,"vt. 删除
"
overhead,"n. 经常开支, 普通用费, 天花板
a. 在头上的, 高架的
adv. 在头顶上, 在空中, 在高处, 从头到脚全部没入地
"
action,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼
vt. 对...起诉
"
suitable,"a. 适当的, 相配的
"
stubborn,"a. 顽固的, 不听话的, 执拗的, 棘手的"
roll,"n. 卷, 滚动, 名单, 案卷, 压路机
vi. 滚, 滚动, 飘流, 起伏, 卷, 绕
vt. 使滚动, 卷, 绕"
height,"n. 高度, 海拔, 高地, 顶点
"
suit,"n. 套装, 诉讼, 请求, 起诉, 套, 组
vt. 适合, 使适应
vi. 合适, 相称"
effect,"n. 结果, 影响, 效果, 印象
vt. 实行, 引起, 完成
"
passage,"n. 通道, 通过, 移居, 航行, 一段, 走廊
vi. 通过, 经过, 航行, 横渡, 争吵
vt. (使)马以斜横步前进, 使传代"
fade,"vi. 褪色, 消失, 凋谢
vt. 使褪色
n. 淡入, 淡出
a. 平淡的"
tie,"n. 带子, 线, 鞋带, 领带, 领结, 关系, 束缚, 平局, 不分胜负
vt. 系, 打结, 扎, 约束, 与...成平局
vi. 结合, 打结, 不分胜负"
referee,"n. 仲裁人, 调解人, 裁判员
v. 仲裁, 裁判"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
fright,"n. 惊骇, 吃惊
"
accelerate,"v. 加速, 促进"
thriller,"n. 使人激动的东西, 使人毛骨悚然的东西, 使人毛骨悚然的小说"
basis,"n. 基础, 主要成分
"
smoke-free,无烟
reuse,"vt. 再使用
n. 重新使用"
frighten,"vt. 使惊吓
vi. 惊恐"
noble,"n. 贵族
a. 高贵的, 高尚的, 贵族的, 辉煌的"
signature,"n. 签字, 识别标志, 调号
"
presentation,"n. 赠与, 描述, 介绍
"
rubbish,"n. 废物, 垃圾, 胡说"
obvious,"a. 明显的, 明白的, 显然的, 平淡无奇的"
especially,"adv. 尤其, 特别, 格外"
statistics,"n. 统计学, 统计资料
"
master,"n. 主人, 硕士, 大师, 母机
a. 主人的, 主要的
vt. 征服, 控制, 精通"
butterfly,"n. 蝴蝶
"
training,"n. 训练, 培养
"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
sacrifice,"n. 牺牲, 供奉, 祭品
vt. 牺牲, 祭祀, 贱卖
vi. 献祭"
shore,"n. 海岸, 海滨, 斜撑柱
vt. 把...送上岸, 支撑, 支持"
bored,a. 无聊的；烦人的；无趣的
promote,"vt. 促进, 晋升, 创办, 推销
"
devotion,"n. 热爱, 投入"
souvenir,n. 纪念品
major,"n. 主修课, 成年人, 陆军少校
a. 主要的, 较多的, 大部分的, 成年的, 严重的
vi. 主修
"
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
hydrogen,"n. 氢
"
tough,"n. 恶棍
a. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的"
trade,"n. 贸易, 商业, 交易, 生意, 职业, 顾客, 信风
vi. 进行交易, 做买卖, 经商, 对换, 购物
vt. 用...进行交换"
settlement,"n. 安顿, 解决, 处理, 结算, 殖民, 殖民地, 沉降
"
religious,"a. 宗教性的, 虔诚的, 宗教上的, 严谨的
n. 修道士, 出家人"
plastic,"n. 塑料, 可塑体, 可塑性物质
a. 塑料的, 塑造的, 有可塑性的, 造型的, 易受影响的, 有创造力的"
apology,"n. 道歉, 辩护
"
responsibility,"n. 责任, 职责, 负担, 可靠性
"
passport,"n. 护照, 手段, 通行证
"
hand,"n. 手, 爪, 指针, 掌握, 协助, 人手, 手艺, 手迹, 支配, 插手
vt. 交给, 支持, 搀扶"
litter,"n. 垃圾, 杂乱, 轿, 担架
vt. 乱丢, 铺草, 弄乱
vi. 产仔, 乱丢垃圾"
just,"a. 正直的, 合理的, 正确的, 应得的
adv. 刚刚, 正好, 仅仅"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
immediately,"adv. 直接地, 立刻, 立即"
graph,"n. 曲线图, 图表, 图形
"
leading,"n. 领导, 指挥, 神示, 铅板
a. 领导的, 主要的, 在前的"
remind,"vt. 提醒, 使想起"
version,"n. 一种描述, 版本, 译文
"
continue,"vi. 继续, 延续, 延长
vt. 使继续, 使延长"
weep,"n. 哭, 哭泣
vi. 哭泣, 流泪, 哀悼, 滴落
vt. 哭着使..., 悲叹, 滴下"
cafeteria,"n. 自助餐厅
"
grocer,n. 食品商
risk,"n. 冒险, 危险, 保险额
vt. 冒...的危险, 冒险干"
experience,"n. 经历, 经验, 体验
vt. 经历, 经验, 体验"
mine,"n. 矿, 矿藏, 地雷
vt. 挖掘, 开采, 在...布雷, 破坏
vi. 开矿, 埋设地雷
pron. 我的"
porridge,"n. 粥, 糊"
directory,"n. 目录, 工商名录, 指南
"
ward,"n. 病房, 守卫, 保卫, 保护, 监护, 牢房, 行政区, 锁孔内的榫舌
vt. 使入病房, 守护, 保卫"
crowded,"a. 拥挤的, 塞满的"
underwear,n. 内衣
cross,"n. 十字架, 十字架形物件, 交叉, 十字标, 交叉路, 磨难, 杂交
a. 生气的, 交叉的, 相反的
v. 交叉, 横过, 越过
"
ballet,n. 芭蕾舞
right-handed,"adj. 惯用右手的；向右旋转的；〈罕〉可原谅的
adv. 用右手
"
surround,"vt. 包围, 环绕, 围绕
n. 围绕物"
immediate,"a. 立即的, 直接的, 接近的
"
refusal,"n. 拒绝, 推却, 优先决定权
"
construction,"n. 建筑, 构造, 建筑物
"
powder,"n. 粉, 粉末, 火药
vt. 搽粉于, 搽粉, 撒粉, 使成粉末
vi. 搽粉, 变成粉末"
sparrow,n. 麻雀
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
rectangle,"n. 长方形, 矩形
"
delighted,"a. 高兴的, 快乐的"
scan,"n. 审视, 浏览, 扫描, 细查
vt. 细看, 浏览, 扫描, 详细调查, 标出格律
vi. 押韵, 扫描
"
windbreaker,"n. 防风林, 防风茄克衫, 风衣"
behave,"vi. 举止端正, 行为规矩
vt. 检点(自己的)行为, 使表现好"
discover,"vt. 发现, 找到, 暴露
vi. 发现"
educate,"vt. 教育, 培养, 训练"
skip,"n. 跳跃, 跳读
vi. 跳越, 跳读, 跳绳, 遗漏, 跳级
vt. 跳过, 遗漏
"
celebrate,"v. 庆祝, 祝贺, 举行"
majority,"n. 多数, 大半
"
thus,"adv. 如此, 因此, 到如此程度
"
connect,"v. 连接, 联合, 联系"
get-together,"聚集, 收集, 积累"
vacation,"n. 假期, 休假
"
succeed,"vi. 成功, 继承, 继续
vt. 继承, 接替"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
self-service,自饲
employ,"n. 雇用
vt. 雇用, 使用, 使从事于"
anxiety,"n. 焦虑, 忧虑, 令人焦虑的事
"
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
"
concrete,"n. 凝结物, 混凝土
a. 具体的, 实在的, 混凝土的
v. (使)凝结, 用混凝土浇筑"
advertise,"vt. 做广告, 通知, 公布
vi. 做广告"
scream,"n. 尖叫声
vi. 尖叫, 大笑, 尖啸, 令人震惊
vt. 尖叫着说, 大叫大嚷着要求"
detective,"n. 侦探
a. 侦探的"
caption,"n. 说明, 字幕, 标题
vt. 加上标题, 加上说明
"
camp,"n. 露营, 帐篷
vi. 露营, 扎营
vt. 使扎营"
consult,"vi. 商讨, 商量, 协商, 会诊
vt. 向...请教, 查阅, 考虑"
intention,"n. 意图, 目的, 含义
"
introduction,"n. 介绍, 传入, 采用, 初步"
tour,"n. 旅游, 观光旅行, 任期
vi. 旅行, 周游, 巡回
vt. 周游, 观光, 游历, 使巡回演出"
struggle,"n. 斗争, 努力, 奋斗
vi. 努力, 奋斗, 挣扎"
relate,"vt. 讲, 叙述, 使互相关联
vi. 有关, 符合, 相处得好"
ankle,"n. 踝
"
well-known, 众所周知的; 出名的
natural,"n. 白痴
a. 自然的, 自然界的, 本能的, 天然的, 物质的, 正常的, 原始的, 自然数的"
finance,"n. 财政, 财务
vt. 供给...经费, 负担经费
vi. 筹措资金"
tolerate,"vt. 宽容, 容许, 有耐力"
comfortable,"a. 舒服的, 轻松的
n. 盖被"
custom,"n. 习惯, 风俗, 海关, 自定义
a. 定制的
"
break,"n. 休息, 中断, 破裂处, 绝交, 破晓, 突变
vt. 打破, 弄破, 弄坏, 破坏, 违反, 打断, 削弱, 放弃
vi. 破碎, 决裂, 破晓, 突变, 变弱, 暂停
n. 分隔符
"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
refuse,"vt. 拒绝, 谢绝
vi. 拒绝
n. 废物
a. 扔掉的, 无用的"
vain,"a. 无价值的, 徒然的, 空虚的, 自负的, 愚蠢的"
radiation,"n. 辐射
"
hang,"n. 悬挂, 诀窍, 意义
vt. 悬挂, 附着, 装饰, 垂下, 踌躇, 绞死, 使悬而未决
vi. 悬着, 垂下, 被绞死, 悬而不决"
ancestor,"n. 祖先, 祖宗"
depth,"n. 深度, 深处, 深奥
"
visual,"a. 视觉的
"
strength,"n. 力量, 实力, 强度, 浓度, 人数, 抵抗力
"
illegal,"a. 违法的, 不合规定的
"
sauce,"n. 酱油, 调味汁, 酱
vt. 给...调味, 使增加趣味"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
redirect,"vt. 重新寄送, 使改道, 使改方向
"
perfume,"n. 香水, 香气, (悦人的)气氛, 美名
vt. 洒香水于, 薰香, 使充满香气"
various,"a. 不同的, 各种的, 多方面的, 许多的, 个别的, 杂色的
"
purchase,"n. 购买, 购买品, 紧握, 绞辘
vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)"
pleasant,"a. 愉快的, 可爱的, 活泼的, 亲切的"
edition,"n. 版本, 版, 翻版"
distribute,"vt. 分配, 散布, 分发
"
passive,"a. 消极的, 被动的, 冷漠的, 顺从的, 无源的
"
bond,"n. 捆绑物, 结合, 债券, 契约, 粘合剂, 保证人, 键, 关栈保留
vt. 存入关栈, 使黏合
vi. 结合"
hungry,"a. 饥饿的, 荒年的, 渴望的, 不毛的
"
spoken,"a. 口头讲的, 口语的
speak的过去分词"
tremble,"n. 战栗, 颤抖
vi. 战栗, 忧虑, 摇晃"
tournament,"n. 比赛, 竞赛, 锦标赛, 联赛"
punishment,"n. 处罚, 刑罚, 惩罚
"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
living,"n. 生活, 生计, 生存
a. 活的, 逼真的, 现存的"
garage,"n. 车库, 汽车修理厂, 机库
vt. 把车送入修车场"
ambulance,"n. 救护车
"
fundamental,"n. 基本原理, 原则, 基波
a. 基本的, 重要的, 原音的"
dam,"n. 水坝, 障碍
v. 控制, 筑坝
"
explore,"v. 探险, 探测, 探究"
accustomed,"a. 惯常的, 习惯了的"
escape,"n. 逃亡, 避难设备, 逃跑
vi. 逃脱, 避开, 溜走
vt. 逃避, 避免, 被...忘掉"
grasp,"n. 把握, 抓紧, 理解, 抓, 柄, 控制
vt. 抓住, 紧握, 领会
vi. 抓"
national,"a. 国家的, 国立的, 全国性的, 民族的
"
situation,"n. 情形, 境遇, 位置
"
mask,"n. 面具, 假面具, 掩饰, 石膏面模
vt. 戴面具, 掩饰, 使模糊
vi. 化装, 戴面具, 掩饰, 参加化装舞会
"
sew,"vt. 缝纫, 缝合, 缝
vi. 缝纫"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
evidence,"n. 根据, 证据, 迹象
"
cupboard,"n. 食橱, 碗柜, 餐具柜"
rid,"vt. 免除, 以...清除, 使获自由, 使摆脱
"
sacred,"a. 神圣的, 献给上帝的, 庄严的, 祭祀的
"
link,"n. 环, 连结物, 链接, 火把
vt. 连结, 联合, 挽住
vi. 连接起来
"
angle,"n. 角, 角度, 角落
vi. 钓鱼, 谋取, 博取, 斜向移动, 转变角度
vt. 使转动角度, 在...钓鱼, 获取"
policy,"n. 政策, 方针, 策略, 保险单
"
oilfield,n. 油田
dormitory,n. 宿舍
adolescence,"n. 青春期
"
slim,"a. 瘦的, 苗条的, 微小的, 稀少的, 微薄的
vi. 变苗条
vt. 使苗条"
marriage,"n. 婚姻, 结婚, 婚礼, 合并
"
figure,"n. 数字, 价格, 图形, 形状
vt. 描绘, 表示, 演算, 认为
vi. 计算, 出现, 估计"
desire,"n. 欲望, 要求
vt. 想要, 请求
vi. 渴望"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
disappoint,vt. 使失望
possession,"n. 拥有, 占有, 所有, 财产, 领土, 领地, 自制, 着迷
"
fetch,"n. 取得, 拿, 诡计, 魂
vt. 接来, 取来, 售得, 带来, 推出, 引出, 杀死, 吸引, 到达
vi. 取物, 前进
"
polish,"a. 波兰的
n. 波兰人, 上光剂, 光泽, 优雅
vt. 擦亮, 擦去, 使完美
vi. 擦亮, 变得光亮"
receiver,"n. 接收器；接受者；收信机；收款员, 接待者"
departure,"n. 离开, 出发, 违背, 偏离
"
origin,"n. 起源, 起因, 出身, 开端
"
drunk,"a. 喝醉了的
drink的过去式"
receptionist,n. 接待员
unable,"a. 不能的, 不会的
"
drop,"n. 滴, 微量, 落下, 空投
vi. 放下, 掉下, 下降
vt. 使滴下, 放下, 丢失, 遗漏
"
forbid,"vt. 禁止, 不准, 妨碍
"
narrow,"n. 狭窄部分, 隘路
a. 狭窄的, 仔细的, 有限的, 勉强的, 狭隘的, 手紧的
vi. 变窄
vt. 使变狭窄"
once,"adv. 一次, 曾经, 一旦
conj. 一旦, 一经
n. 一次
a. 从前的"
exchange,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所
v. 交换, 交易, 兑换
"
zip,"n. 尖啸声, 拉链, 活力
vt. 给...以速度, 使增加活力, 拉(拉链)
vi. 有力而迅速地行动, 嘘嘘地响, 拉拉链"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
institute,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
steal,vt. 剽窃；偷偷地做；偷窃；vi. 窃取；偷偷地行动；[棒球]偷垒；n. [口]偷窃；便宜货；偷垒；[篮球]断球
justice,"n. 正义, 公平, 公正, 正确, 司法, 审判"
refreshment,"n. 点心, 起提神作用的事物, 精神爽快"
apparent,"a. 清晰可见的, 显然的, 表面上的
"
furnished,"a. 家具, 有家具的"
govern,"v. 统治, 支配, 管理"
correction,"n. 订正, 改正, 改正的地方
"
twist,"n. 一扭, 扭曲, 曲折, 歪曲, 螺旋状, 新手法
vt. 拧, 扭, 捻, 编织, 使扭转, 缠绕, 盘绕, 歪曲, 使转动, 使苦恼, 使混乱, 使旋转
vi. 转向, 弯曲, 缠绕, 扭动, 呈螺旋形"
alley,"n. 小路, 巷"
chopstick,n. 筷子
sniff,"n. 以鼻吸气, 嗅, 气息
vi. 嗅, 蔑视, 嗤之以鼻
vt. 闻, 用力吸, 发觉"
facial,"n. 美颜, 脸部按摩
a. 脸的, 表面的, 脸部用的"
medal,"n. 奖牌, 勋章
vt. 授勋予"
profession,"n. 职业, 表白, 声明
"
enjoy,"vt. 享受, 喜欢, 欣赏
"
unbearable,"a. 无法忍受的, 承受不住的"
engine,"n. 引擎, 发动机, 机车
vt. 安装发动机于"
concept,"n. 观念, 概念
"
ending,"n. 终止, 终了, 收场
"
punctuate,"vt.vi. 给文章加标点, 加标点符号
vt. 强调, 加强, (常用被动)不时打断
n. 标点, 标点法, 标点符号"
shortcoming,"n. 缺点, 短处"
minority,"n. 少数, 未成年, 少数民族
a. 少数的, 属于少数派的"
tendency,"n. 趋向, 倾向
"
headteacher,n. 中小学的校长
powerful,"a. 有力的, 有权力的, 强大的
"
entertainment,"n. 娱乐, 款待, 娱乐表演"
mend,"n. 改进, 修补, 好转
vt. 修改, 改进, 加快, 修理
vi. 好转, 改善"
surrounding,"n. 环境
a. 周围的"
welfare,"n. 福利, 安宁, 幸福, 福利事业
a. 福利的"
disadvantage,"n. 缺点, 不利, 坏处"
rhyme,"n. 韵, 押韵, 韵文
vi. 押韵
vt. 使押韵, 用韵诗表达"
neighbourhood,"n. 邻接, 周围, 附近一带, 邻近, 邻居关系, 地区, 街道, 街坊, 四邻
"
cabbage,"n. 卷心菜
"
frost,"n. 霜, 冰冻, 冷漠
vt. 覆着霜, 冻结, 结霜
vi. 受冻, 起霜"
smog,"n. 烟雾
"
stick,"n. 棍, 棒, 刺, 枯枝, 茎, 条状物
vt. 插进, 刺入, 钉住, 伸出, 粘贴, 停止
vi. 粘住, 停留, 坚持, 陷住, 伸出"
drink,"n. 饮料, 酒
v. 喝, 喝酒"
part-time,n. 兼任，部分时间
shut,"n. 关闭
vt. 关上, 闭起, 幽禁, 合拢, 轧住
vi. 关上, 停止营业"
distinguish,"v. 区别, 辨别"
terrify,"vt. 使恐惧, 恐吓"
outgoing,"n. 外出, 开支, 流出
a. 喜欢外出的, 即将离职的, 乐于助人的"
bridegroom,n. 新郎
engineer,"n. 工程师, 工兵
vt. 设计, 监造, 精明地处理, 策划"
conservation,"n. 保护, 保存
"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
fall,"n. 落下, 瀑布, 采伐量, 下降, 落差, 降低, 堕落, 秋天
vi. 倒下, 落下, 来临, 失守, 阵亡, 下跌, 减弱, 倾斜, 垮台, 轮到, 变成, 降低
a. 秋天的"
disaster,"n. 灾祸, 不幸, 彻底失败"
experiment,"n. 实验, 试验, 实验仪器
vi. 实验, 尝试"
judgement,"n. 审判, 判决, 判断
"
merciful,"a. 仁慈的, 慈悲的"
barber,n. 理发师
friction,"n. 摩擦, 摩擦治疗, 不和
"
hardship,"n. 艰难, 辛苦, 苦难
"
instruction,"n. 指令, 教导, 命令
"
barbecue,"n. 烤肉
vt. 烤肉, 烧烤"
enjoyable,"a. 可从中得到乐趣的, 令人愉快的"
several,"a. 几个的, 一些的, 各自的
pron. 几个"
digest,"n. 文摘
vi. 消化
vt. 消化, 理解
"
dilemma,"n. 困境, (进退两难的)窘境"
treasure,"n. 宝物, 财富
vt. 珍爱, 重视, 秘藏"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
support,"n. 支持, 支撑, 援助, 供养, 支撑物
vt. 支援, 支撑, 帮助, 支持, 忍受, 供养, 证实
"
alcoholic,"n. 酒鬼, 酒精中毒者
a. 酒精的"
outing,"n. 郊游, 远足
a. 远足适用的"
salary,"n. 薪水
vt. 给...加薪"
companion,"n. 朋友, 陪伴, 指南, 升降口围罩
vt. 陪伴"
prohibit,"vt. 禁止, 阻止
"
flash,"n. 闪光, 闪现, 一瞬间
vi. 闪光, 闪现, 反射
vt. 使闪光, 反射"
swap,"n. 以货易货
v. 交换, 替换, 交易
"
wonderful,"a. 令人惊奇的, 奇妙的, 极好的"
blanket,"n. 毛毯, 毯子
vt. 掩盖, 覆盖
a. 总共的"
illness,"n. 疾病, 恶意
"
opinion,"n. 意见, 评价, 主张
"
adjustment,"n. 调整, 调节, 校正
"
muddy,"a. 泥泞的, 浑浊的, 模糊的
vt. 使污浊, 使沾上泥污"
gentle,"a. 温和的, 文雅的"
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
grow,"vt. 种植, 使长满
vi. 生长, 变成, 发展"
considerate,"a. 体贴的, 体谅的, 考虑周到的"
boom,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
gallery,"n. 走廊, 最高楼座, 画廊, 收集, 图库
"
skillful,"a. 熟练的, 巧妙的
"
pardon,"n. 原谅, 赦免
vt. 宽恕, 原谅"
athletic,a. 运动的
attend,"vt. 参加, 照料, 伴随
vi. 专心于, 照顾, 服侍, 出席"
organ,"n. 风琴, 器官, 元件, 机构, 机关
"
pink,"n. 粉红色, 石竹花, 化身, 典范, 头面人物, 极度
a. 粉红的, 石竹科的, 比较激进的, 脸色发红的, 精致的, 有点下流的
vt. 刺, 扎, 刺痛, 射伤, 使面红耳赤, 使变粉红色
vi. 变粉红色"
absurd,"a. 荒谬的, 不合理的, 可笑的
n. 荒诞"
thrill,"n. 震颤, 激动, 刺激性, 一阵激动
vi. 震颤, 颤抖, 激动
vt. 使激动, 使颤动"
tiresome,"a. 累人的, 烦人的"
wrinkle,"n. 皱纹, 妙计, 方法, 技巧
vi. 起皱
vt. 使起皱纹"
highway,"n. 公路, 大道, 捷径
"
sponsor,"n. 保证人, 赞助者, 发起者, 倡议者, 教父
vt. 发起, 赞助, 倡议"
serve,"vt. 可作...用, 服务, 经历, 招待, 供应, 送交, 对待
vi. 服务, 服役, 侍应, 适合, 有用, 开球
n. 发球, 轮到发球"
zipper,n. 拉链
wonder,"n. 奇迹, 惊奇, 惊愕
vt. 惊奇, 想知道
vi. 惊讶, 怀疑"
spiritual,"a. 精神上的, 神圣的, 崇高的, 高尚的, 鬼的, 招魂术的
n. 有关教会的事"
fair,"n. 展览会, 市集, 美好的事物
a. 公平的, 按规则进行的, 不好不坏的, 晴朗的, 美丽的
adv. 公平地, 正面地, 有教养地, 清楚地
vi. 转晴"
mix,"n. 混合物, 混乱, 糊涂
vt. 使混合, 弄混, 使结合, 混淆
vi. 相混合, 交往, 参与"
laundry,"n. 洗衣店, 洗好的衣服, 洗涤
"
inland,"a. 内陆的, 国内的
n. 内地"
liberty,"n. 自由, 特权, 许可, 冒失
"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
nationwide,"a. 全国性的
"
partner,"n. 合伙人, 股东, 伙伴, 伴侣
vt. 与...合伙, 组成一对
vi. 做伙伴, 当助手"
ache,"n. 疼痛
vi. 痛, 哀怜, 渴望"
possibility,"n. 可能性, 可能的事
"
wrist,"n. 手腕, 腕关节
"
measure,"n. 尺寸, 量度器, 量度标准, 测量, 量具, 程度, 范围, 限度, 分寸, 措施, 方法
vt. 测量, 测度, 估量, 权衡, 调节, 拿(自己或自己的力量等)作较量
vi. 度量"
architecture,"n. 建筑学, 建筑式样
"
suffer,"vt. 遭受, 经历, 忍受
vi. 受痛苦, 受损害"
timetable,n. 时间表
instant,"n. 立即, 瞬间
a. 紧急的, 立即的, 即时的"
optimistic,"a. 乐观的, 乐观主义的, 乐天的"
thorough,"a. 十分的, 彻底的"
headmistress,n. (中小学)女校长
dentist,"n. 牙科医生
"
minibus,"n. 中客车, 小型公共汽车"
weight,"n. 重, 重量, 体重, 砝码, 重大, 影响, 力量
vt. 加重量于, 压迫, 使加权, 称重量
"
superb,"a. 极度的, 华丽的, 极好的"
