finale,"n. 结局, 最后乐章, 终曲"
blunder,"n. 大错, 大失策
vi. 失策, 跌跌撞撞地走, 犯错
vt. 做错"
thirty-two,[网络] 三十二
chime,"n. 钟声, 钟, 和谐
vi. 鸣, 奏出谐和的乐声, 和谐
vt. 敲出和谐的声音, 打钟报时, 重复说"
hoax,"vt. 欺骗, 哄骗, 愚弄
n. 愚弄人, 恶作剧"
replete,"a. 装满的, 充满的, 充实的, 吃饱的"
forward,"a. 向前的, 早的, 迅速的, 在前的, 进步的
vt. 促进...的生长, 转寄, 运送
adv. 向前地
"
clutter,"n. 杂乱
vt. 弄乱, 使凌乱"
winged,"a. 有翼的, 高速的, 迅速的, 飞行的, 翼受伤的"
junction,"n. 连接, 会合处, 交叉点
"
peg,"n. 钉, 桩, 栓, 藉口, 销子, 借口
vt. 钉木钉, 固定, 限制, 使受约束
vi. 坚持不懈地奋力于, 疾行"
computational,a. 计算的
thorny,"a. 多刺的, 令人苦恼的"
memento,"n. 纪念物, 令人回忆的东西"
intrinsically,[计] 本质的
allot,"vt. 分配, 分摊指定
"
posh,"a. 豪华的, 漂亮的, 优雅的, 极好的
interj. 呸"
hole,"n. 孔, 洞, 穴, 漏洞
vt. 挖洞, 掘坑
vi. 进洞, 凿洞"
jostle,"n. 推挤, 冲撞
vi. 推挤, 冲撞
vt. 推, 挤, 煽动"
stand-up,"na. 站起来；持久；露头角；〔美俚〕背约
"
seaweed,"n. 海草, 海藻
"
blocking,
eel,"n. 鳗鱼, 鳝鱼"
cull,"vt. 采, 摘, 拣
n. 拣出的等外品, 被剔出的动物"
encase,"vt. 把...装入箱内, 包住"
pare,"vt. 剥, 削, 消减"
axle,"n. 轴, 车轴
"
pharmaceutical,"a. 药学的, 制药的, 药用的, 药物的, 药剂师的, 药师的
n. 药品, 成药, 药剂"
stir,"n. 骚动, 轰动, 搅动, 监狱
vt. 移动, 摇动, 激起, 惹起, 搅拌
vi. 走动, 传播, 搅拌"
primordial,"a. 原始的, 自原始时代的
"
budgetary,"a. 预算的
"
mouthful,"n. 一口, 满口"
wacky,a. 古怪的
urn,"n. 瓮, 缸, 坟墓"
manslaughter,"n. 杀人, 过失杀人罪"
choosing,v. 选择；决定（choose的ing形式）
heterogeneous,"a. 异种的, 异质的, 由不同成分形成的
"
standardize,"vt. 使标准化, 使合于标准, 用标准检验
"
magically,adv. 用魔法地；如魔法般地
stripper,"n. 剥...的人, 刮毛器, 折卸器, 剥皮器, 露天矿矿工, 低产井, 枯竭井
"
mobile,"a. 移动的, 易变的, 机动的
n. 活动物体"
blonde,"a. (头发)亚麻色的, 淡色的, 白肤金发碧眼的, 白里透红的, 白皙的, 淡黄色的
n. 肤色白皙的金发女人"
mismanagement,n. 管理不善；处置失当
newscast,n. 新闻广播
angst,"n. 焦虑, 疑惧
"
sore,"a. 悲伤的, 痛的, 引起痛苦的
n. 痛处, 溃疡, 疮"
nonstop,"a. 直达的, 不着陆的, 不休息的
adv. 不休息地
n. 直达车, 直达行驶"
custard,"n. 蛋奶糕
"
configure,"vt. 装配, 使成形"
muck,"n. 垃圾, 肥料
vt. 施肥, 弄脏, 弄糟
vi. 搬运矸石"
increment,"n. 增加, 增值, 盈余
"
pornographic,"a. 淫秽作品的, 色情的
"
mull,"n. 软薄布, 混乱
vt. 研磨, 细想
vi. 深思熟虑"
secluded,"a. 隐退的, 隐蔽的"
veritable,"a. 名副其实的, 真实的, 确实的, 真的"
clot,"n. 凝块, 一团
v. (使)凝结, (使)聚集"
handcuff,"vt. 给...戴上手铐
n. 手铐"
eyelash,"n. 睫毛
"
in,"prep. 在...期间, 在...之内, 处于...之中, 从事于, 按照, 穿着
adv. 进入, 朝里, 在里面, 在屋里
a. 在里面的, 在朝的
n. 执政者, 交情"
behemoth,n. 庞然大物
abate,"vt. 减少, 减轻, 减弱, 废除, 打折扣
vi. 减轻, 减弱, 减少, 失效, 被废除"
wisp,"n. 小把, 小物体, 纤细的东西
vt. 把...卷成小把"
attendant,"n. 随从, 侍者, 出席者
a. 侍候的, 伴随的, 出席的, 在场的"
infuriate,"a. 狂怒的
vt. 激怒"
beneath,"prep. 在...下方
adv. 在...下方"
savvy,"v. 理解, 领悟
n. 理解能力, 机智, 悟性"
expatriate,"n. 移居国外者, 侨民, 被流放者, 背井离乡者
vt. 逐出国外, 脱离国籍, 放逐
vi. 移居国外"
sheltered,"a. 受庇护的, 受保护的"
nascent,"a. 发生中的, 开始存在的, 初期的
"
electrician,"n. 电学家, 电气技师, 电工
"
minuscule,"n. 小书写体, 小写字
a. 用小书写体的, 小写字的"
tropics,n. 热带地区
elitist,"n. 优秀人材, 杰出人材
a. 优秀人材的, 杰出人材的"
one-man,"adj. 只要一个人的；只关于一个人的
"
marinate,vt. 用腌泡汁腌/泡(肉/鱼)
geneticist,"n. 遗传学家
"
fanfare,"n. 喇叭边(或号角)嘹亮吹奏声, 吹牛"
corrective,"a. 纠正的, 改正的, 矫正的
n. 改善法, 矫正物"
father-in-law,"[法] 岳父, 继父"
glint,"n. 闪光, 一闪
vi. 闪耀, 闪闪发光, 反射, 迅速移动
vt. 使发光, 使闪光"
crazed,a. 癫狂的；疯狂的
two-dimensional, 二维的
psychotic,"a. 精神病的
n. 精神病患者"
mainstay,"n. 主桅支索, 支柱, 中流砥柱"
sprinkler,"n. 洒水车, 洒水器"
wiry,"a. 金属线制的, 瘦长结实的
"
mortal,"n. 生物, 人类
a. 不免一死的, 人类的, 临终的"
chemically,"adv. 用化学, 以化学方法"
scuba,n. 自携式水中呼吸器
linoleum,"n. 油地毡, 漆布
"
nutritious,"a. 滋养的, 营养的
"
asking,n. 请求
nutritionist,"n. 营养学家
"
Filipino,n. 菲律宾人
molten,"a. 熔化的, 炽热的, 铸造的
melt的过去分词"
impromptu,"n. 即席演出, 即兴曲
a. 即席的
adv. 即席"
nah,"a. 没有；很少, 很小"
colonize,"vi. 开拓殖民地
vt. 殖民于, 移植于"
unquestionably,"adv. 毫无疑问, 不成问题, 无可非议, 确实"
little-known, 不为人知的; 名不见经传
deafening,a. 震耳欲聋的
cardiologist,"n. 心脏病学家
"
borrowed,"a. 借来的, 伪造的, 虚构的"
observance,"n. 观察, 遵守, 仪式, 风俗习惯
"
inconceivable,"a. 不能想象的, 想不到的, 难信的"
polyester,"n. 聚酯
"
hooker,"n. 用钩子的人, 渔船"
rotting,"vt. 深蚀刻；腐败, 腐坏之（rot的现在分词形式）"
deduce,"vt. 推论, 演绎出
"
prick,"vt. 刺, 戳, 刺痛, 使竖起
vi. 刺, 竖起
n. 扎, 一刺, 刺痛
a. 竖起的"
coil,"n. 线圈, 盘绕, 骚动, 卷
vt. 盘绕, 卷"
inward,"a. 内心的, 向内的, 本来的
"
triple,"n. 三倍数, 三个一组
a. 三倍的
vt. 使增至三倍
vi. 增至三倍"
evolving,a. 展开的；进化的
bribery,"n. 贿赂行为, 行贿, 受贿
"
land-use,土地利用;土地利用计划
broadband,[计] 宽带
well-established, 地位稳固的；树立起声誉的；得到确认的
levy,"n. 税款, 所征的人数, 征收
vi. 征税, 课税
vt. 征收, 强求, 召集"
biographical,a. 传记的
caper,"n. 跳跃
vi. 雀跃, 蹦跳"
kiosk,"n. 亭, 凉亭, 报摊"
stereotypical,a. 典型的; 带有成见的
pamper,"vt. 放纵, 使吃饱, 使过量"
politicize,"vi. 搞政治
vt. 使具有政治性"
forcibly,"adv. 强制地, 用力地"
unrestricted,a. 无限制的
procure,"vt. 获得, 取得, 导致
vi. 拉皮条"
sonic,"a. 音波的, 音速的, 声音的
"
postage,"n. 邮资
"
nocturnal,"a. 夜的, 夜曲的
"
lull,"n. 暂停, 间歇, 稍息, 使人安静的东西
vt. 使平静, 哄骗, 使安静
vi. 变平静"
brooding,a. 沉思的；徘徊不去的
stubbornly,adv. 倔强地；顽固地
inherited,a. 遗传的；继承权的；通过继承得到的
beep,"n. 短而尖的声音, 嘟
v. 嘟嘟响"
constitutionally,"adv. 本质地, 天生, 体质上"
implied,"a. 暗指的, 含蓄的
"
intercom,"n. 内部通信联络系统, 内部通话系统
"
single-family,单身家庭
reformed,"a. 改革过的, 改革派的"
approximate,"a. 大约的, 接近的, 近似的
vt. 接近, 使接近, 粗略估计
vi. 接近于"
gouge,"n. 圆凿, 用圆凿凿成的槽, 挖, 掘
vt. 用圆凿削, 挖出, 欺骗"
inefficiency,"n. 无效率, 无能
"
tote,"vt. 提, 负, 携带, 加, 合计
n. 负担, 携带"
doubly,"adv. 加倍地, 双重地
"
alibi,"n. 不在犯罪现场, 托辞
v. 为...辩解"
dermatologist,"n. 皮肤学者, 皮肤科医生
"
blackboard,n. 黑板
waffle,"vi. 胡扯, 闲聊
n. 华夫饼干, 胡扯
"
geek,n. 做低级滑稽表演的人
Syrian,"n. 叙利亚人, 叙利亚语
a. 叙利亚语的, 叙利亚人的"
know-how,[化] 专门技术; 窍门
battleship,"n. 战列舰, 主力舰"
steamer,"n. 汽船, 蒸汽机
"
dislodge,"vt. 逐出, 使移动, 驱逐
vi. 离开原位"
cultivated,"a. 耕耘的, 栽植的, 有教养的"
preface,"n. 序, 绪言, 前言
vi. 作序, 写前言
vt. 给...作序, 以...开始"
dripping,"n. 滴, 滴下物, 水滴"
pendant,"n. 垂饰, 下垂物, 补充的东西, 补编
"
wail,"n. 恸哭, 哀号, 嚎啕, 呼啸(声)
vi. 恸哭, 呼啸, 悲叹, 哀号, 嚎啕"
impulsive,"a. 冲动的, 受感情驱使的, 任性的
"
stout,"a. 结实的；矮胖的；勇敢的；激烈的
n. 矮胖子；烈性啤酒"
shudder,"n. 战栗, 发抖
vi. 战栗, 发抖"
funk,"n. 怯懦, 恐惧, 臭味
vt. 畏缩, 害怕, 使闻到臭味
vi. 惊恐, 发出臭味"
headline,"n. 大标题, 新闻摘要
vt. 为...做标题, 写标题"
radiator,"n. 暖气装置, 散热器, 辐射体
"
haste,"n. 匆忙, 急忙"
circumstantial,a. 依照情况的
fumble,"n. 摸索, 笨拙的行动, 漏球
vt. 摸索, 乱摸, 笨拙的处理, 漏接(球)
vi. 摸索, 笨手笨脚, 漏球"
yell,"vi. 叫喊, 大叫, (齐声)呐喊欢呼
vt. 喊叫着说
n. 叫声, 喊声, 呐喊"
shipyard,"n. 造船厂
"
ace,"n. 幺点, 好手, 少许, 发球得分
a. 一流的, 杰出的
"
estuary,"n. 河口, 港湾"
consolidated,a. 整理过的；巩固的；统一的
misgiving,"n. 疑虑, 不安, 害怕, 担扰, 疑惧"
monoxide,"n. 一氧化物
"
repertory,"n. 仓库, 库存, 储备, 保留剧目轮演"
skylight,n. 天窗
subsidized,"v. 给…津贴或补贴, 资助或补助…( subsidize的过去式和过去分词 )"
muffle,"n. 低沉的声音, 拳击手套, 唇鼻部, 围巾, 头巾
vt. 围裹, 抑制, 发低沉的声音"
archival,"a. 档案的, 档案中的"
darkly,"adv. 暗, 黑, 呈黑"
smuggling,"n. 走私
"
retardation,"n. 迟延, 妨碍, 阻止
"
pre-war,"adj. 战前的
"
Methodist,n. 墨守成规者
debtor,"n. 债务人, 借主, 借方
"
bias,"n. 偏见, 斜纹
a. 偏斜的
adv. 偏斜
vt. 使有偏见
"
unregulated,a. 未经调节的；未校准的
slit,"n. 裂缝, 投币口, 狭长裂口
vt. 切开, 扯裂, 使有狭缝
vi. 纵切, 纵裂"
spade,"n. 铲子, 锄, 铲刀, 黑桃
vt. 以锄掘, 把...弄实抹平
vi. 铲"
toss,"n. 投掷, 抛, 摇摆, 震荡, 掷钱币决定
vt. 投掷, 猛抬, 摇荡, 使不安, 掷钱币决定
vi. 被到处扔, 摇摆, 颠簸, 辗转, 掷钱币决定某事"
vehemently,adv. 激烈地; 暴烈地; 强烈地; 热烈地
fascism,"n. 法西斯主义, 极端国家主义"
chide,"v. 斥责, 责骂"
pre-service,"un. 预处理；预先服务
"
musically,adv. 音乐上
adventurer,"n. 冒险家, 投机者
"
downhill,"a. 下坡的
adv. 下坡, 向下"
leisurely,"a. 悠闲的, 从容的
adv. 从容地, 悠闲地"
mater,"n. 母亲
"
uncontrolled,"a. 不受抑制的, 不受控制的, 自由的"
nozzle,"n. 管口, 喷嘴
"
banned,a. 被禁的
cashmere,"n. 开士米, 山羊绒
"
million-dollar,[网络] 百万美金
minimally,adv. 最低限度地；最低程度地
flaunt,"n. 炫耀, 飘扬
v. 炫耀, 飘扬"
apex,"n. 顶, 尖端, 最高潮
"
slant,"n. 倾斜, 斜面, 观点, 偏见, 歪曲
a. 倾斜的
v. (使)倾斜"
tortoise,"n. 龟, 行动迟缓的人"
crumpled,"a. 弄皱了的, 被扭弯的, 弯曲的
"
payout,"n. 支出, 付出款项
"
hip,"n. 臀部, 蔷薇果, 忧郁
a. 熟悉内情的
vt. 使忧郁, 给(屋顶)造屋脊
interj. 喝彩声"
repressed,"a. 被镇压的, 受约束的, 被抑制的"
grit,"n. 砂砾, 粗砂石
vt. 覆以砂砾, 咬牙切齿地说
vi. 摩擦作声"
aggressor,"n. 侵略者, 挑畔者
"
dispatcher,"n. 发送者, 配车员, 调度员
"
climatic,a. 气候的
dislocation,"n. 脱臼, 转位, 混乱
"
popularize,"vt. 使成通俗性, 使平易, 使普及
vi. 通俗化"
Philharmonic,"a. 爱好音乐的, 交响乐团的, 爱乐团体的
n. 音乐爱好者, 音乐协会, 音乐会, 交响乐团"
juniper,"n. 杜松属
"
pathological,"a. 病理学的, 由疾病引起的, (非正式)不合理的, 仅由想象引起的, 不理智的
"
skid,"vt. 刹住, 滚滑
vi. 打滑
n. 刹车, 滑动垫木"
juxtapose,"vt. 并置, 并列
"
stalemate,"n. 僵持状态, 僵局, 陷于困境, 胶着状况
vt. 将...逼和, 使僵持, 使陷入困境"
overture,"n. 主动表示, 事件的开端, 序言, 提议, 提案, 初步交涉
vt. 提议, 为...奏前奏曲"
guarded,"a. 被防护着的, 被监视着的, 警戒着的"
acknowledgement,"n. 承认, 确认, 感谢, 收到的通知
"
Lithuanian,"n. 立陶宛人
a. 立陶宛的, 立陶宛人的, 立陶宛语的"
beset,"vt. 围绕, 使苦恼, 镶嵌"
diffuse,"v. 散播, 传播
a. 散开的, 弥漫的"
naming,"n. 命名
"
fiberglass,"n. 玻璃纤维, 玻璃丝
"
buggy,"a. 多虫的
n. 双轮单座轻马车, 四轮单座马车"
discreetly,"adv. 谨慎地, 小心地"
veneer,"n. 饰面薄板, 饰面, 外表
vt. 镶饰, 胶合, 虚饰"
thick,"a. 厚的, 粗壮的, 浓的, 迟钝的, 浑浊的, 多雾的, 过分的, 口齿不清的
adv. 厚地, 密地, 浓浓地
n. 最浓处, 最厚处, 最密集处
"
chronological,"a. 年代学的, 按时间顺序的, 按照年月顺序的
"
wastewater,n. 废水
minister,"n. 部长, 牧师, 公使
vi. 服侍, 救助, 主持宗教仪式"
pennant,"n. 尖旗, 三角旗, 三角锦旗, 三角信号旗"
hotline,"n. 热线电话, 咨询电话；热线"
eleventh,"num. 第十一, 十一分之一"
thump,"n. 重打, 重击声
v. 重打, 撞击, 痛打"
Parisian,"n. 巴黎人
a. 巴黎的, 巴黎人的"
siding,"n. 侧线, 旁轨, 边宽"
Pakistani,"a. 巴基斯坦的
n. 巴基斯坦人"
chassis,"n. 底盘
"
miniseries,n. 电视连续短剧
landscaping,n. 景观美化
cod,"n. 鳕, 欺骗, 愚弄
v. 欺骗, 愚弄"
exact,"a. 精确的, 准确的, 精密的
vt. 强求, 急需"
honored,a. 已承兑或付款的；受尊敬的
responsibly,"adv. 认真负责地, 可信赖地, 可靠地"
fore,"a. 在前的, 以前的
adv. 在前面, 在船头
prep. 在...前"
centrist,"n. 中间党派的成员, 温和主义者
"
bustle,"n. 喧闹, 裙撑
vi. 奔忙, 喧闹
vt. 使忙碌, 催促"
crepe,"n. 绉丝, 绉呢, 绉绸, 绉布, 绉线, 绉橡胶, 皱胶, 绉纸, 黑绉纱, 小而极薄的烤饼
"
attune,"vt. 为乐器调音, 使协调, 使合拍"
garb,"n. 打扮, 装束
vt. 打扮, 穿衣"
habitual,"a. 习惯的, 惯常的, 平常的
"
Celtic,"a. 凯尔特族的, 凯尔特语的
n. 凯尔特语"
eerily,a. 怪诞的；奇异的；可怕的
cheaply,adv. 便宜地
valet,"n. 贴身男仆
vt. 伺候"
ordering,"n. 有序化
"
faith-based,[网络] 基于信仰；信仰为基础；以信仰为基础的
age-old,"adj. 年代久远的
"
elf,"n. 小精灵, 矮人, 淘气鬼
"
liturgical,a. 礼拜仪式的
prioritize,"vt. 按优先次序列出, 优先考虑"
inconvenient,"a. 不便的, 有困难的"
ya,abbr. 年轻人（young adult）；偏航轴（yaw axis）
gubernatorial,"a. 州长的, 统治者的"
apprehensive,"a. 惴惴不安的, 敏悟的, 知晓的"
fertilize,"vt. 施肥, 使丰饶, 使受精"
binding,"n. 装订
"
snowstorm,"n. 暴风雪
"
Sioux,a. 苏人的；苏语的
diversification,"n. 变化, 多样化
"
sarcasm,"n. 挖苦, 讽刺, 讽刺话, 讽刺性"
must,"n. 必须, 未发酵葡萄汁, 绝对必要的事物
aux. 必须"
postmodernism,n. 后现代主义
Australian,"n. 澳大利亚人
a. 澳大利亚的, 澳洲的, 澳洲人的"
residuals, 剩余误差
mummy,"n. 木乃伊, 瘦而干瘪之人, 妈咪
"
Armenian,"a. 亚美尼亚的, 亚美尼亚人的
n. 亚美尼亚人, 亚美尼亚语"
reconnect,vt. 使再接合
major-league, [体]甲级联赛
ruffle,"n. 皱褶, 波纹, 生气, 混乱
vt. 弄皱, 触怒, 洗(牌), 连续轻擂(鼓)
vi. 起皱, 发脾气, 连续轻擂"
believable,a. 可信的
potency,"n. 力量, 权力, 效力
"
workday,"n. 工作日, (一天的)工作时数
"
unfit,"a. 不适当的, 不胜任的, 不健康的
vt. 使不相宜, 使不合格"
idly,"adv. 懒惰地, 空闲地"
grown-up,"成年的,适于成年人的"
veranda,"n. 阳台, 走廊"
fathom,"n. 英寻(长度单位,合6英尺)
vt. 测量深度, 看穿, 彻底了解
vi. 测深"
personalize,"vt. (贬)使个人化, 体现, 使人格化, 在(物品)上标明姓名/标出地址/标出记号"
mantel,n. 壁炉架
chasm,"n. 陷窟, 裂口"
spatula,"n. 刮刀, 压舌片, 匙突
"
purify,"vi. 变纯净
vt. 使纯净, 净化, 提纯, 精炼"
archbishop,n. 大主教
full-size,
mouth,"n. 嘴, 口, 口腔, 口状物
vi. 装腔作势说话, 做鬼脸
vt. 说出, 做作地说"
pretext,"n. 借口, 托词
v. 以...为借口"
preposterous,"a. 反常的, 乖戾的, 荒谬的, 首末倒置的"
kerosene,"n. 煤油, 火油, 灯油
"
lowered,v. 降低；削弱（lower的过去分词）
organizing,[经] 组织
discursive,"a. 离题的, 东拉西扯的"
ultra,"a. 过分的, 极端的
n. 极端主义者, 过激论者, 急进论者"
communicator,"n. 传播者, 通信装置, 列车内通话装置"
run-down,"na. 下乡；(钟表等)停止；衰弱；赶上(人,猎物)
"
exile,"n. 放逐, 流放, 被放逐者
vt. 放逐, 流放, 使背井离乡"
intestinal,"a. 肠的, 肠内的
"
endeavor,"n. 努力, 尽力
vi. 努力, 尽力"
visceral,"a. 内脏的
"
feign,"vt. 假装, 装作
vi. 作假"
drop-off,"na. 同“drop”；睡着；(客)(一一)散去；衰落
"
Romanian,"n. 罗马尼亚人, 罗马尼亚语
a. 罗马尼亚的"
dreaded,"a. 令人畏惧的, 可怕的"
decentralized,"a. 分散化, 分散式；分散管理的；分散的；去中心化"
clipboard,"n. 有纸夹的写字板, 剪贴板
"
carrying,[法] 运载
gypsy,"n. 吉卜赛人, 吉卜赛语
a. 象吉卜赛人的
vi. 流浪"
RNA,abbr. 核糖核酸（Ribonucleic Acid）；浪漫派小说家协会（Romantic Novelists ' Association）
murdered,v. 糟蹋( murder的过去式和过去分词 ); （尤指在团队运动中）彻底打败; 打垮
shifting,"[计] 移位, 移位操作"
Eucharist,n. 圣餐
defect,"n. 缺点
"
swimsuit,n. 游泳衣
upland,"n. 山地, 高地, 高原
a. 高地的, 山地的"
coincidentally,adv. 巧合地；一致地
conversational,"a. 会话的, 对话的, 健谈的
"
jeweler,"n. 宝石商, 宝石匠, 珠宝商"
futility,"n. 无用, 无益, 无价值"
backside,"n. 背部, 背后, 后方"
vigilance,"n. 警戒, 警觉, 失眠症
"
confrontational,a. 挑衅的; 对抗的
surmise,"n. 推测, 猜测
v. 推测, 臆测"
starch,"n. 淀粉, 浆糊, 刻板
vt. 浆硬"
rubric,"n. 红字标题, 红色印刷, 题目
"
legitimately,adv. 正当地；合理地
normalize,"vt. 使常态化, 使合标准, 使合规格
"
rework,"vt. 重做, 修订, 修改
"
evocative,"a. 唤出...的, 唤起...的"
acronym,"n. 首字母缩拼词, 首字母组合词
"
self-image,n. 对自己的看法
distrust,"n. 不信任
vt. 不信任"
swipe,"n. 强打, 用力挥击, 尖刻的话, 碰擦, 起重杆
vt. 强打, 用力挥击, 偷"
exhibitor,"n. (展览会的)参加者, 电影院经理, 电影院老板, 电影放映者, 展出者
"
stump,"n. 残株, 树桩, 烟蒂, 讲演台
vt. 砍断, 挑战, 难住
vi. 蹒跚而走"
unbelievably,"adv. 难以置信地, 不可信地"
observable,"a. 可遵守的, 可庆祝的, 看得见的, 可辨别的, 观测得到的, 值得注意的, 显著的
n. 感觉到的事物, 现象"
charging,
much-needed,[网络] 急需的；特别需要的；大量需要
oceanic,"a. 海洋的, 产于海洋的, 在海洋中生活的, 广阔的"
philanthropy,"n. 慈善, 仁慈, 博爱, 慈善事业, 慈善机构(团体)"
recount,"vt. 详述, 叙述, 重新计算
n. 重新计算"
epistemological,a. 认识论的
hotly,"adv. 暑热地, 激烈地, 热心地"
aquifer,[化] 含水层
trivia,n. 琐事
finesse,"n. 策略, 手段, (桥牌中的)飞牌
v. 用计谋处理, 出小牌"
chimp,n. 黑猩猩
ideologically,"adv. 思想上, 思想体系, 意识形态, 观念形态"
TNT,[网络] 吨黄色炸药；三硝基甲苯；梯恩梯
heavy-duty,[经] 重税
fluke,"v. 侥幸成功
n. 锚爪, 侥幸, 偶然事故"
regular-season,n. 常规赛; [体]季赛
hilltop,n. 小山顶
Albanian,n. 阿尔巴尼亚人
unbroken,"a. 未破损的, 未被征服的, 未打垮的, 不屈服的, 不涣散的, 整齐的, 未中断的
"
confluence,"n. 合流, 合流点, 集合, 人群
"
cool,"n. 凉爽, 凉爽的空气
a. 凉爽的, 冷淡的, 冷静的
vi. 冷却, 平息
vt. 使冷却, 使平静"
tiptoe,"n. 脚尖
vi. 用脚尖走
adv. 踮着脚
a. 踮着脚走的, 偷偷摸摸的"
stockpile,"n. 储蓄, 积蓄, 库存
vt. 储蓄, 贮存"
saxophone,"n. 萨克斯管
"
crusty,"a. 有硬皮的, 易怒的
"
extremity,"n. 极端, 极点, 困境, 绝境
"
innovator,"n. 改革者, 创新者"
ready,"n. 预备好的状态, 现款
a. 准备好的, 备用的, 可以使用的
adv. 预先, 迅速
vt. 使准备好"
limitless,"a. 无限的, 无界限的"
melodic,"a. 有旋律的, 旋律美妙的"
striker,"n. 打击者, 罢工者
"
despair,"n. 绝望, 失望
vi. 绝望"
Creole,"n. 克里奥耳人, 克里奥耳语, 克里奥耳人所讲的法语
a. 克里奥耳人的, 克里奥耳式法语的"
informational,"a. 信息的, 情报的, 提供消息的, 介绍情况的, 提供情报的
"
kidnapper,"n. 拐子, 绑架者
"
pre-existing,"a. 先已存在的, 早已存在的, 业已存在的"
rowing,n. 划船
hegemonic,"a. 支配的, 霸权的"
forecaster,n. 预报员
complicity,"n. 同谋, 串通, 复杂
"
puzzling,"a. 使迷惑的, 把人难住的"
cautionary,a. 警告的
immunization,"n. 免疫
"
defined,"a. 清晰的, 轮廓分明的；有定义的, 确定的"
wafer,"n. 薄酥饼, 圣饼, 晶片, 圆片, 干胶片
vt. 用干胶片封
"
fiancee,n. 未婚妻
knot,"n. 结, 群, 难题
v. 打结, (使)纠缠"
mellow,"a. 成熟的, 醇的, 熟练的"
vowel,"n. 元音
a. 元音的"
hawk,"n. 鹰, 掠夺者, 鹰派成员
vi. 放鹰行猎, 像鹰一般地袭击, 清嗓, 咳嗽
vt. 捕捉, 咳出, 兜售, 叫卖, 散播"
saturation,"n. 饱和, 渗透, 浸透, 色饱和度
"
forbidding,"a. 严峻的, 可怕的, 令人难亲近的"
chunky,a. 矮矮胖胖的
brash,"a. 性急的, 仓促的, 无礼的, 傲慢的
n. 胃灼热, 骤雨, 碎石堆"
Swede,n. 瑞典人
fed,"feed的过去式和过去分词
"
lite,a. 低盐的；清淡的；简化的
automation,"n. 自动化, 自动操作
"
vile,"a. 恶劣的, 肮脏的, 低廉的, 卑鄙的
"
veterinary,"a. 兽医的
n. 兽医"
smirk,"vi. 傻笑, 假笑, 得意地笑
n. 傻笑, 假笑, 得意的笑"
fanciful,"a. 奇怪的, 稀奇的, 想像的"
brave,"a. 勇敢的, 美好的, 华丽的
n. 勇敢者
vt. 勇敢地面对"
aching,"a. 疼痛的, 使人痛苦的"
plethora,"n. 过多, 过剩, 多血症
"
tax-free,"adj. 免税的；上过税的
"
anatomical,"a. 解剖的, 解剖学的, 构造上的
"
weaver,"n. 织布者, 织工"
melancholy,"n. 忧郁, 悲哀, 愁思
a. 忧郁的, 使人悲伤的, 愁思的"
condolence,"n. 哀悼, 吊唁"
old-time,"adj. 古时的
"
attractiveness,"[经] 吸引性, 有利可图"
delinquent,"n. 行为不良的人, 违法者
a. 怠忽的, 有过失的"
bathrobe,n. 浴衣
blackberry,"n. 刺, 黑莓
"
porous,"a. 多孔的, 有气孔的, 多孔性的, 能渗透的
"
partisanship,"n. 党派性, 党派偏见, 对党派的忠诚"
choreographer,n. 舞蹈指导
malice,"n. 恶意, 蓄意害人, 怨恨
"
commencement,"n. 开始, 毕业典礼
"
cleavage,"n. 劈开, 裂片, 分裂
"
populous,"a. 人口多的, 人口稠密的"
distressed,"a. 痛苦的, 哀伤的"
vested,"a. 穿衣服的, 既得的, 既定的
"
hydrocarbon,"n. 碳氢化合物
"
crony,"n. 密友, 亲密伙伴, 好朋友"
lump,"n. 块, 瘤, 很多, 肿块, 笨人
vt. 使成块状, 混在一起
vi. 结块"
cheesecake,"n. 干酪饼, 半裸体的女人照片"
perseverance,"n. 毅力, 忍耐, 锲而不舍, 不屈不挠"
pelvis,"n. 骨盆
"
wean,"vt. 使断奶, 使丢弃, 使断念
n. 小儿"
screenwriter,"n. 电影剧本作家, 编剧家"
piracy,"n. 海盗行为, 海上劫掠, 剽窃, 著作权侵害, 非法翻印
"
glorify,"vt. 赞美, 美化, 赞扬, 使辉煌"
gully,"n. 小峡谷, 排水沟"
balsamic,"a. 香膏质的, 如香油的, 镇静的
"
parka,"n. 皮制连帽大衣, 派克大衣"
deforestation,"n. 采伐森林, 森林开伐
"
HIV-positive,"HIV-positive
adj.
【免疫学】 HIV 阳性的"
whine,"n. 哀叫声, 嘎嘎声, 哀鸣
vi. 哭诉, 嘎嘎响, 发呜呜声
vt. 哀诉"
methodically,"adv. 有系统地, 有方法地"
rapid,"a. 迅速的, 飞快的, 急促的, 陡的
n. 急流"
gleam,"n. 光束, 微光, 反光
vi. 闪烁, 隐约地闪现
vt. 使发微光, 使闪烁"
inactive,"a. 不活动的, 停止的, 怠惰的, 闲置的
"
sinful,"a. 有罪的, 罪孽深重的
"
doctrinal,"a. 教义的, 教诲的, 学说的"
lowly,"a. 地位低的, 卑下的, 谦卑的
adv. 位置低下的, 低声地, 谦逊地"
decorator,"n. 装饰家, 裱糊工, 室内外墙壁油漆工, 制景人员"
quip,"n. 妙语, 遁辞, 讽刺
v. 说讽刺话, 嘲弄"
unease,n. 不安
expressly,"adv. 明白地, 清楚地, 特意地"
adapter,"n. 适应者, 改编者, 接合器
"
