economy,"n. 经济, 理财, 节约
"
migrant,"n. 候鸟, 移居者
"
migration,"n. 移民, 移往, 移动
"
immigrate,"vt. 使移居入境
vi. 移入"
immigrant,"n. 移民
a. 移入的, 移民的"
immigration,"n. 移民, 移居
"
emigrate,"v. (使)移居, (使)移民"
emigrant,"n. 移民, 侨民
a. 移民的, 移居的"
emigration,"n. 移民, 移居外国(或外地)
"
grateful,"a. 感谢的, 感激的, 令人快意的, 受欢迎的"
penalty,"n. 处罚, 刑罚, 罚款, 罚球, 报应, 不利结果, 妨碍
"
penalize,"vt. 处刑, 对...处罚(刑), 使不利
"
pupil,"n. 学生, 门生, 未成年人, 瞳孔
"
purple,"n. 紫色, 帝位
a. 紫色的, 帝王的, 华而不实的
v. (使)成紫色"
puzzle,"n. 难题, 迷惑
vt. 使困惑, 使为难
vi. 迷惑, 苦思"
puzzlement,n. 迷惑
plaza,"n. 广场, 市场, 购物区"
dizzy,"a. 晕眩的, 眼花缭乱的
vt. 使晕眩"
dazzle,"v. (使)眼花, 炫耀
n. 耀眼"
rational,"a. 理性的, 合理的
n. 有理数"
rationalize,"vt. 使合理, 合理地处理, 使有理化
vi. 合理地思考"
irrational,"n. 无理数
a. 无理性的, 不合理的"
ration,"n. 定额, 定量, 配给
vt. 配给, 定量供应"
rationing,"n. 定量配给
"
radiate,"vt. 放射, 散发, 辐射, 传播, 广播
vi. 发光, 辐射, 流露
a. 有射线的, 辐射状的"
radiation,"n. 辐射
"
radiator,"n. 暖气装置, 散热器, 辐射体
"
radiant,"a. 发光的, 明亮的, 辐射的, 容光焕发的
"
scene,"n. 场, 情景, 镜头, 发生地点, 道具, 布景, 景色
"
scenic,"a. 风景好的, 戏剧性的, 舞台的, 布景的
n. 风光影片, 风景照片"
scenery,"n. 风景, 景色, 舞台布景"
scenario,"n. 剧本提纲, 情节, 剧本, 方案, 事态
"
obscene,"a. 淫秽的, 猥亵的, 讨人厌的, 可憎的
"
obscenity,"n. 淫秽, 淫秽的语言(或行为、动作), 可憎的事
"
dedicate,"vt. 献出, 贡献"
dedication,"n. 奉献, 献身, 献辞
"
delicate,"a. 细致优雅的, 微妙的, 美味的
"
delicacy,"n. 细软, 精致, 精美的食品, 娇气, 微妙, 棘手, 娇弱, 灵敏, 灵巧"
duplicate,"n. 副本, 复本, 复制品
a. 复制的, 二重的
vt. 复制, 使加倍
"
duplication,"n. 副本, 复制
"
ongoing,"a. 前进的, 进行的, 不间断的
n. 前进, 发展"
era,"n. 时代, 纪元, 时期"
arena,"n. 角斗场, 舞台, 场地
"
embed,"vt. 使插入, 使嵌入, 使深留脑中
"
bedding,"n. 被褥, 寝具, 床上用品, 基床
"
shed,"n. 车棚, 小屋, 脱落之物, 分水岭
vt. 使流出, 放射, 脱落, 散发, 摆脱
vi. 流出, 散布, 脱落"
shred,"n. 碎布条, 细片, 少量
v. 撕碎"
wed,"vt. 与...结婚, 使结合
vi. 结婚"
wedding,"n. 婚礼, 结婚, 结婚周年纪念日, 结合
"
injure,"vt. 伤害, 损害, 使受冤屈
"
injury,"n. 伤害, 侮辱
"
injurious,"a. 有害的, 不公正的
"
alarm,"n. 惊恐, 警报, 警钟
vt. 使惊恐, 警告
"
arm,"n. 手臂, 袖子, 狭长港湾, 武器
vt. 武装, 装备
vi. 武装起来
"
disarm,"vt. 解除武装, 裁军, 缓和
vi. 放下武器"
disarmament,"n. 裁军
"
charm,"n. 吸引力, 魔力, 符咒
vt. 迷住, 使陶醉, 行魔法
vi. 用符咒, 有魅力"
charming,"a. 迷人的, 有吸引力的"
harmony,"n. 协调, 和睦, 调和
"
harmonious,"a. 和睦的, 调和的, 和谐的, 协调的"
garment,"n. 衣服, 衣装, 外表"
super,"n. 跑龙套角色, 冗员, 特级品, 特大号, 管理人
a. 上等的, 特大的, 超级的, 极好的, 十分的, 过分的
adv. 非常"
superb,"a. 极度的, 华丽的, 极好的"
superficial,"n. 表面, 外表
a. 表面的, 肤浅的, 面积的"
supernatural,"a. 超自然的, 神奇的
"
superpower,"n. 超级强权, 超级大国
"
superstition,"n. 迷信
"
superstitious,"a. 迷信的
"
supreme,"n. 至高, 霸权
a. 至高的, 终极的, 极端的, 最大的"
supremacy,"n. 至高无上, 霸权地位, 优势, 至上
"
paradox,"n. 似非而是的论点, 自相矛盾的话, 悖论, 怪人怪事
"
paradoxical,"a. 似非而是的, 矛盾的, 诡论的
"
orthodox,"a. 正统的, 传统的, 惯常的"
boxing,"n. 拳击
"
false,"a. 错误的, 虚伪的, 假的, 不老实的
adv. 不准确地, 欺诈地"
falsehood,"n. 谎言, 虚假(性)
"
fraud,"n. 欺骗, 欺诈, 诡计, 骗子
"
fraudulent,"a. 欺诈的, 不正的, 不诚实的
"
genuine,"a. 真正的, 真实的, 诚恳的
"
genius,"n. 天才, 天赋, 精神, 神魔
"
stripe,"n. 斑纹, 条纹
"
ripe,"a. 成熟的, 熟练的, 成年的
"
ripen,"vt. 使成熟
vi. 成熟"
swipe,"n. 强打, 用力挥击, 尖刻的话, 碰擦, 起重杆
vt. 强打, 用力挥击, 偷"
wipe,"n. 擦拭, 用力打, 凸轮
vt. 擦, 揩, 消灭, 涂上, 拭去
vi. 擦, 打"
pipe,"n. 管, 导管, 输送管, 管状器官, 声带, 尖细的声音, 烟斗, 笛, 管乐器
vt. 以管输送, 吹哨子, 吹奏, 尖声唱
vi. 吹笛, 尖叫, 吹长哨发令
"
recipe,"n. 食谱, 处方, 秘诀
"
verbal,"a. 用言辞的, 言语的, 口头的, 逐字的, 动词的
"
allege,"vt. 宣称, 主张, 提出, 断言
"
allegation,"n. 断言, 主张, 申辩
"
allegedly,adv. 依其申述
alleged,"a. 被断言的, 所谓的
"
allergy,"n. 变应性, 反感, 厌恶
"
allergic,"a. 对...过敏的, 极反感的
"
alley,"n. 小路, 巷"
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
privileged,"a. 有特权的, 有特别恩典的
"
besiege,"vt. 围攻, 包围"
siege,"n. 包围, 围攻, 再三的努力
vt. 包围, 围攻"
collar,"n. 衣领, 颈圈
vt. 控制, 扭住衣领, 给...装上领子"
account for,对…负有责任；对…做出解释；说明……的原因；导致；（比例）占
calendar,"n. 日历, 日程表
vt. 列入表中
"
lunar,"a. 阴历的, 月的, 微亮的(指光)
"
solar,"a. 太阳的, 日光的, 源自太阳的
"
vulgar,"a. 粗俗的, 庸俗的, 普通的, 通俗的, 方言的
"
vulgarity,"n. 粗俗, 粗鄙, 粗话
"
amaze,vt. 使吃惊
amazing,a. 令人惊异的
amazement,"n. 惊愕, 惊异"
blaze,"n. 火焰, 烈火, 光辉
vi. 燃烧, 发光
vt. 使燃烧, 宣布, 在树皮上刻痕"
graze,"n. 吃草, 放牧, 擦伤, 轻擦
v. (使)吃草, 放牧, 轻擦, 擦伤"
gaze,"n. 注视, 凝视
vi. 注视, 凝视"
haze,"n. 薄雾, 阴霾, 疑惑
vt. 使变朦胧, 使变糊涂
vi. 变朦胧, 变糊涂"
hazy,"a. 朦胧的, 模糊的, 烟雾弥漫的"
assemble,"vt. 集合, 收集, 装配
vi. 集合
"
assembly,"n. 与会者, 集会, 装配, 组件
"
resemble,"vt. 相似, 类似"
lose sight of,"不再看见, 忽略, 忘记"
resemblance,"n. 相似处, 类似, 肖像"
tremble,"n. 战栗, 颤抖
vi. 战栗, 忧虑, 摇晃"
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
embarrassment,"n. 困难, 阻碍, 困窘
"
embassy,"n. 大使馆, 大使馆全体人员
"
ambassador,"n. 大使
"
biography,n. 传记
biographical,a. 传记的
biographer,n. 传记作者
autobiography,n. 自传
autobiographic,"a. 自传的, 自传体的"
bibliography,"n. 参考书目
"
bible,n. 圣经
biblical,a. 圣经的
utter,"a. 全然的, 绝对的, 完全的
vt. 发出声音, 做声, 发表, 发射, 流通"
utterly,"adv. 完全地, 全然, 绝对"
butter,"n. 奶油, 黄油
vt. 涂黄油于"
butcher,"n. 屠夫, 肉商, 小贩
vt. 屠宰, 屠杀"
flutter,"n. 摆动, 鼓翼, 烦扰
vi. 摆动, 鼓翼, 烦扰
vt. 拍(翅), 使焦急
"
mutter,"n. 喃喃低语
vi. 喃喃自语, 作低沉声
vt. 出怨言, 抱怨地说"
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
"
cast,"n. 演员阵容, 投掷, 铸件, 预测, 特性
vt. 投, 掷, 抛, 脱落, 铸, 使弯曲, 计算
vi. 投, 计算, 浇铸成型"
on top of,"熟练掌握, 在...之上, 完全控制着, 另外, 紧接着"
broadcast,"n. 广播, 传播
a. 广播的
v. 广播
adv. 经广播, 四散地
"
podcast,n. 播客
webcast,n. 网路广播；网络广播；网络直播
clarity,"n. 清楚, 明晰
"
clarification,"n. 澄清, 净化
"
clarify,"vi. 澄清, 阐明
vt. 使明晰"
charity,"n. 慈悲, 博爱, 慈善团体, 施舍
"
charitable,"a. 大慈大悲的, 宽厚的, 慈善的
"
cavity,"n. 洞, 空穴, 腔
"
sole,"n. 脚掌, 鞋底, 底部
a. 唯一的, 仅有的, 单独的, 独身的
vt. 上鞋底, 触底"
solely,"adv. 仅仅, 单独地"
console,"vt. 安慰, 藉慰
n. 控制台
"
consolation,"n. 安慰, 令人安慰的事物
"
solo,"n. 独奏, 独唱, 单独表演
a. 单独的, 独奏的, 独唱的
vi. 放单飞"
solemn,"a. 严肃的, 郑重的, 庄严的"
solemnity,"n. 严肃, 一本正经
"
convenient,"a. 方便的, 合宜的
"
convenience,"n. 方便, 便利的事物, 方便的时候"
convene,"vt. 集合, 召集, 召唤
vi. 聚集, 集合"
club,"n. 俱乐部, 木棍, 球棒
vt. 用棍棒打, 缴纳
vi. 联合起来
a. 俱乐部的"
clumsy,"a. 笨拙的, 不雅观的, 粗陋的"
cube,"n. 立方体, 立方
"
cubic,"a. 立方体的, 立方的
"
destination,"n. 目的地, 目标, 目的
"
destiny,"n. 命运, 定数"
destined,"a. 预定的, 注定的, 命定的"
dynasty,"n. 朝代, 王朝"
deny,"v. 否认, 拒绝"
denial,"n. 否认
"
diploma,"n. 文凭, 毕业证书
"
diplomacy,"n. 外交, 外交手腕, 交际手段
"
diplomat,"n. 外交官, 有外交手腕的人
"
diplomatic,"a. 外交的, 老练的
"
dilemma,"n. 困境, (进退两难的)窘境"
dogma,n. 教条
undermine,"vt. 在...下面挖, 渐渐破坏, 暗地里破坏
"
mine,"n. 矿, 矿藏, 地雷
vt. 挖掘, 开采, 在...布雷, 破坏
vi. 开矿, 埋设地雷
pron. 我的"
mineral,"n. 矿物, 无机物, 苏打水
a. 矿物的, 似矿物的"
mining,"n. 采矿
"
dine,"vi. 用正餐, 进餐
vt. 宴请"
divine,"a. 神的, 神圣的, 非凡的
n. 神学家"
pine,"n. 松树, 松木
vi. 消瘦, 憔悴, 痛苦, 怀念, 渴望
"
shine,"n. 光泽, 阳光
vt. 使发光
vi. 照耀, 发光, 发亮"
shiny,"a. 有光泽的, 发光的, 辉煌的, 磨光的, 磨损的"
spine,"n. 背骨, 脊柱, 尖刺
"
spinal,"a. 针的, 尖刺的, 尖刺状突起的, 脊骨的
"
wine,"n. 葡萄酒, 果酒, 暗红色
v. (请)喝酒"
winery,n. 葡萄酒厂
duty,"n. 责任, 关税, 职务, 尊敬
"
dub,"vt. 配音, 轻点, 授予称号, 击
n. 一下击鼓声, 笨蛋"
red flag,红旗
dubious,"a. 可疑的, 不确定的"
infant,"n. 婴儿, 儿童, 初学者
a. 婴儿的, 幼稚的"
fancy,"n. 想象力, 幻想, 喜好
a. 想象的, 精美的, 新奇的, 奇特的, 高价的, 特级的
vt. 想象, 设想, 相信, 喜爱
vi. 想象, 幻想"
fantasy,"n. 幻想, 想象的产物
"
fantastic,"a. 奇妙的, 稀奇的, 空想的"
grocer,n. 食品商
grocery,"n. 食品杂货店, 食品杂货业"
hang,"n. 悬挂, 诀窍, 意义
vt. 悬挂, 附着, 装饰, 垂下, 踌躇, 绞死, 使悬而未决
vi. 悬着, 垂下, 被绞死, 悬而不决"
bang,"n. 重击, 突然巨响, 刘海
v. 发巨响, 重击
adv. 砰然地, 突然巨响地, 直接地
"
gang,"n. 队, 群, 帮
vi. 成群结队, 结成一伙
vt. 使成群结队"
gangster,"n. 流氓, 歹徒
"
harsh,"a. 粗糙的, 刺耳的, 严厉的
"
marsh,"n. 沼泽, 湿地
a. 沼泽的"
marshal,"n. 元帅, 陆空军高级将官, 典礼官, 执法官
vt. 整理, 引领, 统率
vi. 排列, 各就各位"
hate,"n. 憎恨, 恨, 厌恶
vt. 憎恨, 憎恶
vi. 仇恨"
hatred,"n. 憎恨, 仇恨, 憎恶
"
hateful,"a. 憎恨的, 可恨的, 可恶的"
haste,"n. 匆忙, 急忙"
hasty,"a. 匆匆的, 轻率的, 性怠的"
hasten,"vt. 催促, 加紧
vi. 赶快, 急忙"
interpret,"vt. 解释, 演出, 翻译, 理解
vi. 翻译, 解释"
interpretation,"n. 解释, 演出, 翻译
"
interpreter,"n. 直译程序, 解释者, 口译者, 注释器
"
misinterpret,vt. 曲解
integral,"n. 整体, 积分, 整数
a. 固有的, 整体的, 整数的, 积分的
"
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
integration,"n. 综合, 与环境协调的行为, 集成
"
disintegrate,"vt. (使)分解, (使)碎裂
"
disintegration,"n. 瓦解
"
integrity,"n. 正直, 廉正, 完整
"
tenure,"n. 享有, 保有期
"
lure,"n. 饵, 诱惑
vt. 引诱, 诱惑"
allure,"vt. 引诱, 吸引
n. 魅力, 诱惑力"
allurement,"n. 引诱, 诱惑"
pure,"a. 纯的, 纯净的, 纯洁的, 清白的, 完美的, 无瑕的, 抽象的
"
purity,"n. 纯净, 纯正, 纯粹
"
purify,"vi. 变纯净
vt. 使纯净, 净化, 提纯, 精炼"
shadow,"n. 阴影, 荫, 影子, 影像, 阴暗, 幽灵, 少许, 隐蔽处, 庇护
vt. 遮蔽, 使朦胧, 预示, 尾随
vi. 渐变, 变阴暗
"
overshadow,"vt. 遮阴, 使阴暗, 使失色, 使相形见绌, 使蒙上阴影"
shadowy,"a. 有影的, 暗黑的, 朦胧的, 虚幻的"
endow,"vt. 捐赠, 捐助, 赋予
"
meadow,"n. 草地, 牧场"
widow,"n. 寡妇, 孀妇
vt. 使成寡妇"
widower,"n. 鳏夫
"
minimum,"a. 最小的, 最低的
n. 最小值
"
minimize,"vt. 将...减到最少
vt. 最小化
vi. 最小化
"
minimal,"a. 最小的, 极微的, 最小限度的
"
maximum,"n. 极点, 最大量, 极大
a. 最高的, 最大的, 最大极限的
"
maximize,"vt. 取...最大值, 使增加(或扩大)到最大限度
"
maximal,"a. 最大的, 最高的
"
medium,"n. 媒体, 方法, 媒介
a. 半生熟的, 中间的
"
media,"n. 媒体
"
premium,"n. 额外补贴, 奖金, 奖赏, 保险费
"
stadium,"n. 露天大型运动场
"
vacuum,"n. 真空, 空间, 真空吸尘器
a. 真空的, 产生真空的, 利用真空的
vt. 用吸尘器打扫"
mode,"n. 模态, 调式, 样式, 文体, 状态, 方式, 风尚
"
code,"n. 代码, 密码, 法规, 法典
vt. 把...编码
"
decode,"vt. 解码, 译解
"
erode,"vt. 腐蚀, 侵蚀
vi. 受腐蚀"
sway,"n. 摇摆, 影响力, 支配
vt. 摇动, 支配, 弄歪, 使倾斜, 使动摇, 影响
vi. 摇动, 摇摆, 倾斜, 动摇, 统治, 转向"
erosion,"n. 腐蚀, 冲蚀, 侵蚀
"
erosive,"a. 腐蚀的, 侵蚀的, 冲蚀的
"
corrode,"vt. 使腐蚀, 侵蚀, 破坏
vi. 被侵蚀, 起腐蚀作用"
corrosion,"n. 腐蚀, 侵蚀, 腐蚀产生的物质, 铁锈, 锈
"
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
"
modification,"n. 修正, 修饰, 修改
"
modifier,"n. 修正的人, 修饰语
"
ratify,"vt. 批准, 认可
"
ratification,"n. 批准, 承认, 认可
"
verify,"vt. 证明, 查证, 证实, 检验, 校验
"
verification,"n. 证实, 查证, 证明属实
"
shut,"n. 关闭
vt. 关上, 闭起, 幽禁, 合拢, 轧住
vi. 关上, 停止营业"
nut,"n. 坚果, 核心, 螺帽
"
gut,"n. 剧情, 内容, 内脏, 肚子, 海峡, 勇气
vt. 取出内脏, 毁坏...的内部"
parliament,"n. 国会, 议会
"
parliamentary,"a. 国会的, 议会的, 议会制度的"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
permanence,"n. 永久, 持久, 固定性
"
tournament,"n. 比赛, 竞赛, 锦标赛, 联赛"
ornament,"n. 装饰, 点缀品, 教堂用品
vt. 装饰, 修饰"
ornamental,"n. 装饰物, 观赏植物
a. 装饰性的, 装饰的, 观赏用的"
detriment,"n. 损害, 损害物
"
detrimental,a. 有害的
regiment,"n. （军队）团, 大量（人或物）
v. 组编成团，组织，严格管制"
regimental,"a. 团的, 附属于团的
n. 团服, 军服"
iron,"n. 铁, 熨斗, 铁器, 坚强, 烙铁, 镣铐
vt. 烫平, 熨, 用铁包
vi. 烫平"
irony,"n. 反语, 讽刺, 具有讽刺意味的事"
ironic,"a. 冷嘲的, 挖苦的, 反话的, 讽刺的, 令人啼笑皆非的, 出乎意料的"
ironical,"a. 讽刺的, 用反语的"
ironically,"adv. 冷嘲地, 挖苦地, 讽刺地, 令人啼笑皆非地"
icon,"n. 画像, 肖像, 偶像, 图标, 像标
"
ivory,"n. 象牙, 乳白色
a. 象牙制的, 乳白色的"
patron,"n. 赞助人, 顾客, 保护人
"
patronize,"vt. 保护, 支援, 赞助, 庇护, 惠顾"
patronage,"n. 赞助, 恩赐态度, 光顾, 任免权, 保护人的身分
"
pardon,"n. 原谅, 赦免
vt. 宽恕, 原谅"
ribbon,"n. 缎带, 色带, 带状物
vt. 用丝带装饰, 把...撕成条状
vi. 形成带状
"
phenomenon,"n. 现象, 迹象, 表现, 奇迹, 奇才
"
fierce,"a. 凶猛的, 猛烈的, 热烈的, 暴躁的"
pierce,"vt. 刺穿, 穿透, 打眼于, 洞悉, (声音)响彻, (亮光)照进, 深深地打动
vi. 刺入, 穿入, 透入, 进入"
piece,"n. 块, 片, 篇, 碎片, 部分, 部件, 标准量
vt. 修补, 修理, 拼合, 接线头
vi. 吃零食"
poet,n. 诗人
poetic,"a. 诗的, 诗意的, 诗人的"
poetry,"n. 诗, 韵文, 诗歌艺术"
poem,"n. 诗, 诗般美的事物"
proof,"n. 证据, 证明, 试验, 检验, 考验
a. 不能透入的, 证明用的, 防...的, 耐...的
vt. 检验, 试验, 校对, 使不被穿透
"
proofread,"vt. 校正, 校对"
bulletproof,a. 防弹的
waterproof,"n. 防水材料
a. 不透水的, 防水的
vt. 使防水"
Senate,"n. 参议院, 立法机构, 评议会"
Senator,"n. 参议员, (某些大学的)理事
"
seminar,"n. 研究班, 专题讨论会
"
tone,"n. 音调, 音质, 语调, 语气, 色调, 气氛, 状况, 思想状态
vt. 给...定色调, 增强, 使...的声调和谐, 定音调
vi. 颜色调和
"
tongue,"n. 舌, 语言能力, 讲话方式, 语言
vt. 舔, 斥责, 发...的音
vi. 使用舌头, 吹管乐器"
tonnage,"n. 吨位
"
cornerstone,"n. 奠基石, 基础"
milestone,"n. 里程碑, 里程石, 里程标"
stony,"a. 多石的, 无情的"
astonish,vt. 使惊讶
astonishment,"n. 惊异, 惊愕, 使人惊异的事物"
tutor,"n. 家庭教师, 导师, 助教, 监护人
vt. 当...的教师, 教, 指导, 约束, 克制
vi. 当家庭教师, 受家庭教师的指导"
tutorial,"n. 个别指导, 论文, 学习指南, 指导手册
a. 个别指导的, 家庭教师的, 辅导的
"
mentor,"n. 指导者, 良师益友"
craze,"n. 狂热, 大流行
v. (使)发狂, (使)开裂"
lazy,"a. 懒惰的, 怠惰的, 缓慢的
vi. 懒散"
laziness,"n. 怠惰, 无精打采"
hunt,"n. 狩猎, 追捕, 搜寻, 猎区
vt. 狩猎, 打猎, 搜索
vi. 打猎, 猎食, 搜寻"
hunting,"n. 狩猎, 猎狐, 探求
"
hunter,"n. 猎人, 猎犬, 追求者"
hunger,"n. 饥饿, 渴望, 饥荒
vt. 使挨饿
vi. 挨饿, 渴望"
hungry,"a. 饥饿的, 荒年的, 渴望的, 不毛的
"
fossil,"n. 化石, 古物
a. 化石的, 陈腐的, 守旧的"
gross,"n. 总数, 总量
a. 总共的, 未打折扣的, 恶劣的, 粗野的
vt. 总共收入"
toss,"n. 投掷, 抛, 摇摆, 震荡, 掷钱币决定
vt. 投掷, 猛抬, 摇荡, 使不安, 掷钱币决定
vi. 被到处扔, 摇摆, 颠簸, 辗转, 掷钱币决定某事"
crossing,"n. 横越, 横渡, 交叉点, 渡口
"
valid,"a. 有确实根据的, 有法律效力的, 正当的, 正确的
"
validity,"n. 有效性, 正确性
"
invalid,"n. 病人, 残废者
a. 有病的, 无效的"
validate,"vt. 使有效, 使生效, 确认, 证实, 验证
"
lid,"n. 盖子, 限制, 眼睑
vt. 给...盖盖子"
audience,"n. 听众, 观众, 读者
"
audit,"n. 审计, 查帐
vt. 查(帐), 旁听
vi. 查账
"
auditing,
auditor,"n. 审计员, 听者, 旁听生
"
auditorium,"n. 听众席, 礼堂
"
forum,"n. 论坛, 公开讨论的广场, 法庭, 讨论会
"
drum,"n. 鼓, 鼓声
vi. 击鼓, 作鼓声
vt. 打鼓奏出
"
rumor,"n. 谣言, 传闻
vt. 谣传"
category,"n. 种类, 类项
"
cater,"v. 提供饮食及服务, 投合, 迎合"
endorse,"vt. 支持, 赞同, 背书于, 签署
"
endorsement,"n. 支持, 认可, 背书
"
veteran,"n. 老手, 退伍军人, 老兵, 老树
a. 老兵的, 老练的, 经验丰富的"
panic,"n. 恐慌, 惊慌
a. 惊慌的, 没有理由的, 恐慌的
vt. 使惊慌, 使狂热
vi. 惊慌"
frantic,"a. 狂乱的, 疯狂的"
of all stripes,[网络] 形形色色的
frantically,"adv. 狂暴地, 疯狂似地"
boil,"n. 煮沸, 沸腾, 疖
v. 煮沸, 激动"
boiler,"n. 煮器, 汽锅, 锅炉
"
coil,"n. 线圈, 盘绕, 骚动, 卷
vt. 盘绕, 卷"
foil,"n. 箔, 烘托, 衬托
vt. 贴箔于, 衬托, 阻止, 挡开, 挫败"
spoil,"n. 战利品, 赃物, 奖品, 变质, 次品
vt. 损坏, 破坏, 溺爱
vi. 腐坏, 掠夺"
toil,"n. 辛苦, 苦工, 网, 罗网, 圈套
vi. 苦干, 跋涉"
turmoil,"n. 骚动, 混乱"
multiple,"n. 倍数, 并联
a. 多样的, 许多的, 多功能的"
multiplication,"n. 乘法, 增加, 乘法运算
"
multiply,"v. 繁殖, 乘, 增加
"
municipal,"a. 市政的, 自治区的, 内政的
"
municipality,"n. 自治区, 市当局, 市民
"
pride,"n. 骄傲, 自尊心, 自豪, 精华, 勇气
vt. 以...自豪"
bride,n. 新娘
bridegroom,n. 新郎
override,"vt. 推翻, 无视, 对...有最后发言权, 制服, 践踏, 奔越过
"
stride,"n. 大步, 步幅, 步态, 进步
v. 迈大步走, 跨过, 跨"
foresee,"vt. 预见, 预知"
unforeseen,a. 未预料的
foreseeable,"a. 可预知的, 能预测的
"
drive down,压低
fore,"a. 在前的, 以前的
adv. 在前面, 在船头
prep. 在...前"
foretell,"vt. 预言, 预告, 预示"
filter out,[化] 滤出
beforehand,adv. 预先
tropic,n. 回归线
tropical,"a. 热带的, 热情的
"
trophy,"n. 战利品, 奖品
vt. 用战利品装饰"
trolley,"n. 电车, 手推车, 台车
vt. 用手推车运
vi. 乘电车"
ceiling,"n. 天花板
"
veil,"n. 面纱, 面罩, 借口, 幕, 帐, 遮蔽物
vt. 戴面纱, 隐藏, 遮蔽, 掩饰
vi. 蒙上面纱"
unveil,"vt. 揭开, 揭幕, 除去...的面纱
vi. 显露, 除去面纱"
vein,"n. 血管, 静脉, 纹理, 气质, 情绪
vt. 使有脉络, 像脉络般分布于"
catastrophe,"n. 大灾难, 大祸
"
catastrophic,"a. 悲惨的, 灾难的"
astronaut,"n. 太空旅行者, 宇航员
"
astronomy,n. 天文学
astronomer,n. 天文学家
astronomical,"a. 天文学的, 庞大的"
atrocity,"n. 残暴, 凶恶, 暴行
"
atrocious,"a. 残暴的, 凶恶的"
video,"n. 影像, 电视
a. 图像的, 电视的"
audio,"a. 音频的, 声音的
"
studio,"n. 工作室, 画室, 演播室, 电影制片厂"
bacteria,"pl. 细菌
"
hysteria,"n. 歇斯底里症, 不正常的兴奋, 癔病
"
hysterical,"a. 歇斯底里的, 异常兴奋的
"
criterion,"n. 标准, 准则, 规范
"
village,"n. 村庄
a. 乡村的, 村庄的"
villager,n. 村民
voyage,"n. 航行, 航海, 航程, 旅行, 航空
vi. 航海, 航行
vt. 航行越过, 飞过"
bandage,"n. 绷带
"
cottage,"n. 小屋, 茅舍"
garbage,"n. 垃圾, 废物
"
savage,"a. 未开化的, 野蛮的, 无礼的, 残酷的, 原始的, 粗鲁的, 未开发的
vt. 用暴力对付, 凶猛攻击
n. 原始人, 粗鲁人"
salvage,"n. 海上救助, 抢救, 打捞, 抢救出来的财物
vt. 海上救助, 抢救, 打捞, 营救
"
salvation,"n. 拯救, 救助, 救世"
barrier,"n. 障碍, 栅栏
"
barrel,"n. 桶
vt. 装入桶内"
quarrel,"n. 吵架, 反目, 怨言, 方头凿
vi. 吵架, 争论, 挑剔"
quarrelsome,"a. 喜欢吵架的, 好争论的"
barren,"a. 不育的, 贫瘠的
n. 荒地"
combat,"n. 争斗, 战斗
vi. 战斗, 争斗
vt. 与...战斗, 与...斗争"
combative,"a. 好斗的, 好事的"
bat,"n. 蝙蝠, 球棒
v. 用球棒打, 眨眼
"
flat,"a. 平坦的, 单调的, 无力的, 浅的, 萧条的, 干脆的, 无聊的
adv. 平直地, 断然地
n. 扁平物, 平面, 平地, 平原, 平板车
v. (使)变平"
mat,"n. 垫, 丛, 衬边
a. 粗糙的, 无光泽的
vi. 纠缠在一起
vt. 铺席于...上, 使无光泽, 使缠结"
pat,"n. 轻拍
v. 轻拍
adv. 适时, 正好, 恰好, 毫不迟疑, 熟记地
a. 恰好的, 合适的, 熟练的, 坚定的, 人为的"
rat,"n. 鼠, 卑鄙的人, 破坏者, 变节者
vi. 捕鼠, 变节
vt. 弄蓬松"
cabinet,"n. 橱柜, 内阁
a. 内阁的, 细木工做的
"
cab,"n. 出租车, 出租汽车, 出租马车
vi. 乘出租马车(或汽车)"
cabin,"n. 小屋, 客舱
vt. 关在小屋"
carpet,"n. 地毯, 地毯状物
vt. 铺以地毯, 铺盖"
carpenter,n. 木匠
ceremony,"n. 典礼, 仪式, 礼节
"
ceremonial,"n. 仪式
a. 正式的"
ceramic,"a. 陶瓷的
n. 陶瓷制品"
ceramics,"n. 制陶术
"
cripple,"n. 跛者, 残废
vt. 使跛, 使成残废, 削弱
a. 跛的, 残废的"
criticize,"v. 批评, 吹毛求疵, 非难"
criticism,"n. 批评, 评论, 非难
"
critic,"n. 批评家, 鉴定家"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
hypocrisy,"n. 伪善
"
hypocrite,"n. 伪君子, 伪善者"
hypocritical,"a. 伪善的, 伪善者的"
cynical,"a. 愤世嫉俗的, 讽刺的, 冷嘲的"
cynicism,n. 犬儒主义
deteriorate,v. (使)恶化
deterioration,"n. 恶化, 衰退, 退化
"
decorate,v. 装饰
decoration,"n. 装饰, 装饰品"
decorative,a. 装饰性的
diligent,"a. 勤勉的, 用功的"
diligence,n. 勤奋
brilliant,"a. 光辉的, 灿烂的, 有才气的
"
brilliance,"n. 卓越, 光辉
"
downtown,"n. 市中心区
a. 市中心的
adv. 往闹市区"
