technology,"n. 技术, 工业技术, 术语
"
lifeline,"n. 救生索, 生命线"
likelihood,"n. 可能, 可能性"
lonely,"a. 孤单的, 孤寂的, 荒凉的"
loop,"n. 环, 圈, 弯曲部分, 循环
vt. 使成环, 以圈结, 以环连结
vi. 打环, 翻筋斗
"
magical,"a. 魔术的, 有魔力的, 不可思议的"
magnetic,"a. 有磁性的, 有吸引力的, 催眠术的
"
massively,"adv. 大而重, 厚实, 粗大, 强有力, 结实, 魁伟, 大块, 大量, 大规模, 实心, 块状
"
mechanical,"a. 机械的, 机械性的, 力学的
"
molecular,"a. 分子的, 由分子组成的
"
naturalize,"vt. 授与...以国籍, 使入国籍, 移植, 移养, 采纳, 顺化, 归化"
newsletter,"n. 时事通讯, 业务通讯, 时事传报
"
omit,"vt. 省略, 删除, 疏忽, 遗漏
"
operational,"a. 操作的, 运作的
"
optimize,"vt. 使完美, 使完善, 充分利用, 乐观地对待, 优化
vi. 持乐观态度
"
outrageous,"a. 暴虐的, 极无礼的, 可恶的"
oversimplify,v. (使)过分地单纯化
ponder,"v. 沉思, 考虑"
predictable,a. 可预言的
prescription,"n. 处方, 命令, 指定
"
proclaim,"vt. 宣布, 公告, 宣言, 表明, 赞扬
"
provoke,"vt. 激怒, 惹起, 诱导
"
punctuality,"n. 严守时间, 正确"
rationally,adv. 理性地；讲道理地
regulatory,"a. 受控制的, 统制的, 调整的
"
reliability,"n. 信度, 可靠性
"
reputational,"a. reputation（名声, 声誉）的变形"
respectively,"adv. 各自地, 独自地, 个别地, 分别地"
retort,"n. 反驳, 顶嘴, 蒸馏器, 曲颈甑
vi. 反驳, 回嘴, 反击
vt. 反击, 反驳, 蒸馏"
revelation,"n. 揭露, 泄露, 发觉, 默示, 启示"
scary,"a. 容易受惊的, 胆小的, 提心吊胆的"
sceptical,"a. 怀疑论的, 怀疑的"
segment,"n. 片段, 部分, 分节, 段
v. 分割, 分裂
"
settlement,"n. 安顿, 解决, 处理, 结算, 殖民, 殖民地, 沉降
"
shortcut,"n. 捷径, 最短路线
"
sightseeing,"n. 观光, 游览
a. 观光的, 游览的"
similarity,"n. 类似, 类似处
"
skillful,"a. 熟练的, 巧妙的
"
skilful,"a. 灵巧的, 熟练的, 制作精巧的"
sphere,"n. 球, 球面, 球体, 天体, 地球仪, 范围
vt. 包围, 使成球体, 放入球内"
stubborn,"a. 顽固的, 不听话的, 执拗的, 棘手的"
stupidity,"n. 愚蠢, 糊涂事
"
subscribe,"vt. 捐献, 签署
vi. 赞成, 同意, 捐款, 预订, 认购
"
subscription,"n. 捐献, 订金, 订阅, 签署, 同意
"
therapist,"n. 治疗学家
"
thereby,adv. 因此
troublesome,"a. 麻烦的, 令人讨厌的"
upbringing,n. 教养
vastly,"adv. 广大地, 许多, 巨大"
vogue,"n. 时尚, 时髦, 流行
a. 流行的, 时髦的"
weird,"a. 怪异的, 超自然的, 不可思议的
n. 命运, 预言, 符咒"
withstand,"vt. 抵住, 顶住, 经得起"
workaholism,"n. 醉心工作, 迷恋工作"
wrapping,"n. 用于包裹的材料
"
accessory,"n. 附件, 零件, 附加物, 从犯, 同谋
a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的
"
accidentally,"adv. 偶然地, 意外地"
adaptable,"a. 能适应的, 适合的, 可修改的"
adaptation,"n. 适应, 改编, 改编本
"
adventurous,"a. 喜欢冒险的, 有进取心的, 危险的"
agony,"n. 极大的痛苦, 挣扎
"
arbitrary,"a. 任意的, 武断的, 专治的, 霸道的"
astronomically,adv. 天文学上地；宇航学地；天体地
benign,"a. 善良的, 良性的
"
blessing,n. 祝福
bolster,"n. 支持, 长枕
vt. 支持, 支撑"
broom,"n. 扫帚, 金雀花
vt. 扫除"
bud,"n. 芽, 花蕾
vi. 发芽, 萌芽
vt. 使发芽"
burdensome,"a. 累赘的, 恼人的, 繁重的
"
calendar,"n. 日历, 日程表
vt. 列入表中
"
carefree,"a. 无忧无虑的, 不负责的"
coincide,"vi. 一致, 符合
"
commentary,"n. 注释, 评论, 说明
"
commentator,"n. 评论员, 实况广播员, 注释者, 时事评论员"
commercialization,[计] 商业化
compact,"a. 紧凑的, 紧密的, 简洁的
vt. 使紧密结合, 压缩
vi. 变坚实"
compensate,"v. 偿还, 补偿, 付报酬"
compound,"n. 混合物, 复合词, 化合物, 院子
a. 复合的, 混合的, 化合的
vi. 化合, 和解, 妥协
vt. 使复合, 使化合"
comprise,"vt. 包含, 构成"
conscientious,"a. 有责任心的, 负责的, 本着良心的
"
consciousness,"n. 意识, 知觉, 自觉
"
consolation,"n. 安慰, 令人安慰的事物
"
constrain,"vt. 强迫, 限制, 关押"
coordinate,"n. 同等的人(或物), 坐标
a. 同等的, 并列的
v. (使)协调"
crawl,"n. 爬行, 匍匐而行, 养鱼池
v. 爬行"
creep,"n. 爬, 徐行, 蠕动
vi. 爬, 蔓延, 潜行"
crystal,"n. 水晶, 水晶装饰品, 结晶
a. 水晶的, 水晶一样的, 透明的"
deceased,"a. 已故的
n. 死者"
deceive,"v. 欺骗, 行骗"
decorative,a. 装饰性的
defect,"n. 缺点
"
deformation,"n. 损形, 变丑, 畸形
"
demographics,n. 人口统计资料
dentist,"n. 牙科医生
"
detrimental,a. 有害的
devour,"vt. 吞食, 挥霍, 吞没"
diligently,adv. 勤奋地；勤勉地
dimensional,"a. ...维的
"
disposable,"a. 可任意处理的
"
dispose,"vt. 处理, 排列, 布置
vi. 处置"
disposition,"n. 性情, 处置, 处理, 布置
"
divert,"vt. 转移, 使欢娱
vi. 转移"
embody,"vt. 具体表达, 使具体化
"
enrichment,"n. 丰富, 肥沃
"
eradication,"n. 连根拔除, 歼灭, 消灭, 根除, 使断根
"
eternal,"a. 永恒的, 永远的, 不灭的"
exclaim,"v. 大叫, 呼喊, 大声叫"
expedition,"n. 远征, 探险队, 迅速"
explicitly,adv. 明确地；明白地
extensively,"adv. 广大, 广延, 外延, 大面积(耕种), 粗放, 广博, 广泛, 广阔"
extravagant,"a. 奢侈的, 挥霍无度的, 浪费的"
fallout,"n. 原子尘的降下, 辐射性微尘, 原子尘, 附带结果
"
flawed,a. 有缺陷的；有裂纹的；有瑕疵的
foremost,"a. 最初的, 最重要的
adv. 在最前"
fragility,"n. 脆弱, 虚弱
"
framework,"n. 结构, 骨架, 参照标准, 准则, 观点
"
frankly,adv. 坦白地
garment,"n. 衣服, 衣装, 外表"
glamorous,"a. 富有魅力的, 迷人的"
glimpse,"n. 一瞥, 一闪
vi. 投以一瞥, 闪烁不定
vt. 瞥见"
glove,"n. 手套
vt. 给...戴手套"
hamper,"n. 食篮, 阻碍物, 食盒
vt. 阻碍, 使困累, 妨碍, 牵制"
headway,"n. 前进, 航行速度, 进展
"
heighten,"vt. 增高, 提高, 加强
vi. 升高, 变大"
illiteracy,"n. 文盲, 无知"
illogical,"a. 不合逻辑的, 无缘由的
"
immerse,"vt. 沉浸, 使陷入
"
impetus,"n. 动力, 推动力, 动量
"
impractical,"a. 不切实际的, 不能实行的, 不现实的, 不合情理的"
incomplete,"a. 不完全的, 未完成的, 不完善的
"
inconsistent,"a. 不一致的, 易变的, 前后矛盾的
"
indecision,"n. 优柔寡断
"
indication,"n. 指示, 象征, 暗示
"
inject,"vt. 注射, 注入, 使入轨
"
innovator,"n. 改革者, 创新者"
input,"n. 输入, 输入电路
vt. 输入
"
intensify,"vt. 加强
vi. 强化"
intermediary,"n. 仲裁者, 调解者, 媒介物, 中间人
a. 中间的, 媒介的"
irrigate,"vt. 灌溉, 冲洗伤口, 使清新
vi. 灌溉"
lengthen,"vt. 加长, 使延长
vi. 变长"
liberate,"vt. 解放, 释放, 使自由
"
likability,n. 可爱
likewise,"adv. 同样地, 也"
materialize,"vt. 赋予实质, 使体现, 物质化
vi. 成有形, 体现, 实现"
materialise,"vi.vt. (使)物质化, (使)具体化, (使)追求物质利益, (使)显形, 成为事实, 实现
vi. 突然出现"
melt,"n. 熔化, 熔化物, 溶解
v. (使)熔化, (使)溶解, (使)消散, (使)变软"
mercy,"n. 仁慈, 宽恕, 慈悲, 怜悯, 幸运
"
messy,"a. 散乱的, 污秽的, 麻烦的"
methodologically,adv. 方法学(methodological的变形)
misfortune,"n. 不幸, 灾祸, 坏运气
"
misuse,"n. 误用, 滥用
vt. 误用, 滥用, 虐待"
musical,"n. 音乐片, 音乐舞台剧
a. 音乐的, 声音美妙的, 喜爱音乐的"
nevertheless,"adv. 然而, 虽然如此
conj. 然而"
nightmare,"n. 梦魇, 恶梦, 可怕的事物(或情景、人物)
"
notoriously,"adv. 臭名昭著的, 声名狼藉的"
numerical,"a. 数字的, 数值的, 以数字表示的, 擅长于计数的
"
nurture,"n. 养育, 营养物, 培育
vt. 养育, 供给营养物, 教养"
obedient,"a. 服从的, 顺从的, 孝顺的
"
overshadow,"vt. 遮阴, 使阴暗, 使失色, 使相形见绌, 使蒙上阴影"
partially,"adv. 部分地, 一部分地, 不公平地"
perseverance,"n. 毅力, 忍耐, 锲而不舍, 不屈不挠"
pinpoint,"n. 极小之物, 针尖, 立锥之地, 精确位置
vt. 精确地找到, 准确地轰炸, 刺穿, 准确描述, 使突出, 强调
a. 针尖的, 极微的, 精确的, 详尽的, 精确定位的"
pitfall,"n. 陷阱, 诱惑, 阴谋, 易犯的错误, 意想不到的困难"
popularisation,n. <主英>=popularization
popularization,"n. 通俗化, 平易化, 普及"
populate,"vt. 使人口聚居在...中, 殖民于, 移民于, 居住于, 定居于"
precaution,"n. 预防, 留心, 警戒
vt. 预先警告"
predictor,"n. 预言者
"
adolescent,"a. 青春期的, 青少年的
n. 青少年"
ecosystem,"n. 生态系统
"
cognitive,"a. 认知的, 认识的"
penguin,"n. 企鹅, 空军地勤人员"
debris,"n. 碎片, 残骸
"
stereotype,"n. 铅版, 陈规, 老套
vt. 使用铅版, 把...印制成盲文, 套用老套, 使一成不变"
sanctuary,"n. 圣所(指教堂、寺院等), 耶路撒冷的神殿, 避难所
"
census,"n. 户口普查
vt. 实施统计调查"
conservation,"n. 保护, 保存
"
antibiotic,"n. 抗生素
a. 抗生的"
exotic,"a. 异国的, 外来的
n. 外来人, 外来物, 舶来品"
snail,"n. 蜗牛, 行动迟缓的人, 脑筋迟钝的人, 蜗形凸轮
vt. (蜗牛般)缓慢地打发(时间)
vi. 缓慢移动"
tropical,"a. 热带的, 热情的
"
appropriate,"a. 适当的
"
extinction,"n. 消失, 消灭, 废止
"
incorporate,"a. 合并的, 组成公司的, 一体化的
vt. 吸收, 合并, 使组成公司, 体现
vi. 合并, 混合, 组成公司"
intervention,"n. 插入, 介入, 调停
"
trait,"n. 特征, 特性, 一笔, 少许"
acupuncture,"n. 针刺, 针刺疗法
vt. 施以针灸"
extract,"n. 榨出物, 精汁, 摘录, 选段
vt. (费力地)取出, 采掘, 榨取, 摘录, 吸取
"
livestock,"n. 家畜
"
pasta,"n. 意大利面食
"
celebrity,"n. 名声, 名人"
correlate,"n. 有相互关系的东西, 相关物
vt. 使有相互关系
vi. 相关"
graze,"n. 吃草, 放牧, 擦伤, 轻擦
v. (使)吃草, 放牧, 轻擦, 擦伤"
hawk,"n. 鹰, 掠夺者, 鹰派成员
vi. 放鹰行猎, 像鹰一般地袭击, 清嗓, 咳嗽
vt. 捕捉, 咳出, 兜售, 叫卖, 散播"
metabolism,"n. 新陈代谢, 变态
"
portray,"vt. 描绘, 描写, 描绘...的肖像"
predator,"n. 食肉动物, 掠夺者
"
pyramid,"n. 角锥, 金字塔
v. (使)成金字塔状, (使)渐增, (使)上涨"
alien,"n. 外国人, 外侨
a. 外国的, 相异的"
deplete,"vt. 耗尽, 使衰竭
"
hypothesis,"n. 假设
"
premium,"n. 额外补贴, 奖金, 奖赏, 保险费
"
prolong,"vt. 延长, 拖延, 拖长
"
syndrome,"n. 并发症状, 综合征, 同时存在的事物
"
transition,"n. 转变, 转换, 变迁, 过渡时期, 临时转调
"
adverse,"a. 不利的, 敌对的, 相反的, 逆的
"
bizarre,a. 奇异的
dedicate,"vt. 献出, 贡献"
depict,"vt. 描述, 描写"
devastate,"vt. 毁坏
"
epidemic,"n. 传染病, 流行病
a. 流行的, 传染性的"
navigate,"vi. 航行
vt. 航行于, 驾驶, 操纵, 使通过"
retrieve,"vt. 取回, 挽回, 弥补, 恢复, 补偿, 回忆, 检索
vi. 找回猎物
n. 取回, 恢复, 救险球
"
subsidy,"n. 补助金, 津贴
"
texture,"n. (织物的)密度, (材料等的)结构, 纹理
"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
alleviate,"vt. 减轻, 使缓和"
autonomy,"n. 自治, 自治权
"
calcium,"n. 钙
"
certification,"n. 证明
"
conducive,"a. 有益于...的, 有助于...的, 助长的"
distort,"vt. 扭曲, 歪曲
"
endorse,"vt. 支持, 赞同, 背书于, 签署
"
haven,"n. 港, 避难所, 安息所
vt. 安置...于港中, 庇护, 入港"
hemisphere,"n. 半球, 地球的半面, 大脑半球
"
indigenous,"a. 本土的, 国产的, 固有的
"
medication,"n. 药物治疗, 药物处理, 医药
"
merge,"vt. 使合并, 使消失, 吞没
vi. 合并, 渐渐消失
"
obsess,"vt. 迷住, 使困扰"
pasture,"n. 牧场, 草地, 牧草
vt. 放牧
vi. 吃草"
pest,"n. 令人讨厌之物, 有害之物, 害虫, 瘟疫
"
redundant,"a. 多余的, 过多的, 冗长的
"
refuge,"n. 避难所, 安全地带, 避难, 庇护
vi. 躲避
vt. 给予...庇护"
scenario,"n. 剧本提纲, 情节, 剧本, 方案, 事态
"
simultaneous,"a. 同时的, 同时发生的
"
unprecedented,"a. 空前的
"
array,"n. 排列, 衣服, 大批, 军队
vt. 布署, 打扮, 排列
"
aspire,"vi. 渴望, 立志于"
bureaucracy,"n. 官僚, 官吏
"
carbohydrate,"n. 碳水化合物, 糖类
"
civic,"a. 市的, 市民的, 公民的
"
cricket,"n. 蟋蟀, 板球"
default,"n. 违约, 不履行责任, 缺席, 默认值
v. 疏怠职责, 缺席, 拖欠, 默认
"
diesel,"n. 内燃机, 柴油机, 柴油"
diminish,"v. (使)减少, (使)变小"
epic,"n. 史诗, 叙事诗
a. 史诗的, 叙事诗的"
foster,"a. 收养的, 养育的
vt. 养育, 抚育, 培养, 鼓励, 抱(希望)"
hectic,"a. 脸上发红, 发热的, 潮热的, 肺病的
n. 脸红, 潮热病人"
hover,"vi. 盘旋, 翱翔, 徘徊
vt. 孵
n. 翱翔"
iceberg,"n. 冰山, 冷冰冰的人"
impair,"vt. 损害, 减少, 削弱
"
indebted,"a. 负债的, 受惠的
"
indulge,"vt. 纵情于, 使高兴, 放任, 迁就
vi. 沉溺"
ingenuity,"n. 心灵手巧, 精巧, 精巧设计"
inherent,"a. 固有的, 与生俱来的
"
kidney,"n. 肾, 个性
"
lawsuit,"n. 诉讼
"
legacy,"n. 祖先传下来之物, 遗赠物
"
longevity,"n. 长命, 长寿, 寿命
"
magnify,"vt. 放大, 扩大, 赞美, 夸大
vi. 有放大能力"
medieval,"a. 中古的, 中世纪的"
metaphor,n. 隐喻
milestone,"n. 里程碑, 里程石, 里程标"
miniature,"n. 缩图, 小画像
a. 小规模的, 纤小的"
multitude,"n. 多数, 群众"
olive,"n. 橄榄, 橄榄树, 橄榄色, 橄榄枝
a. 黄绿色的, 黄褐色的, 橄榄色的"
profile,"n. 侧面, 轮廓, 传略
vt. 描绘...轮廓, 写...的传略
"
rational,"a. 理性的, 合理的
n. 有理数"
sculpture,"n. 雕刻, 雕塑
vt. 雕刻, 雕塑
vi. 当雕刻师"
snap,"vt. 使突然中断, 猛咬, 争夺, 拉断, 使有啪啪声, 厉声说, 突然射击, 用快照拍摄
vi. 咬, 扑, 抓, 折断, 劈啪地响, 厉声说, 砰然关上
n. 猛咬, 猛扑, 劈啪声, 申斥, 快照, 活力, 一般时期的寒冷天气, 揿钮
a. 突然的, 装搭扣的
adv. 猛地
"
stun,"vt. 使昏迷, 使震惊, 打昏
n. 昏迷, 猛击"
tactic,"n. 一项战术, 一条策略
a. 战术的, 顺序的, 排列的"
tempt,"vt. 诱惑, 引诱, 引起...的兴趣, 吸引, 冒...风险"
toxic,"a. 有毒的, 中毒的
"
tranquility,n. 宁静
vocal,"a. 嗓音的, 声音的, 有声的, 歌唱的
n. 元音, 声乐作品"
wrestle,"n. 摔跤, 角力, 扭斗
vi. 摔跤, 搏斗, 斗争, 斟酌
vt. 与(对手)摔跤"
activate,"vt. 使活动, 使激活, 正式建成
vi. 有活力"
align,"vi. 排列, 排成一行, 结盟
vt. 使结盟, 使成一行, 校正"
ape,"n. 无尾猿
"
aristocrat,n. 贵族
assert,"vt. 主张, 坚称, 断言
"
atlas,"n. 地图集, 图表集
"
brew,"n. 酿造酒, 酝酿
v. 酿造, 酝酿"
butt,"n. 粗大的一头, 烟头, 靶, 笑柄
"
casualty,"n. 意外事故, 伤亡, 受害者
"
catastrophe,"n. 大灾难, 大祸
"
chronic,"a. 慢性的, 习惯性的
n. 慢性病患者"
chunk,"n. 大块, 矮胖的人(或物)
"
coalition,"n. 结合体, 结合, 联合
"
cocaine,"n. 可卡因, 古柯碱
"
coincide,"vi. 一致, 符合
"
collide,"vi. 碰撞, 互撞, 抵触"
conspire,"vi. 阴谋, 协力, 共谋
vt. 图谋"
constraint,"n. 强制, 约束
"
converge,"vi. 聚合, 集中于一点
vt. 使集合"
crude,"a. 天然的, 未成熟的, 粗糙的, 粗鲁的
n. 天然的物质"
cumulative,"a. 累积的
"
degradation,"n. 降格, 堕落, 退化
"
dissertation,n. 论文
duplicate,"n. 副本, 复本, 复制品
a. 复制的, 二重的
vt. 复制, 使加倍
"
dwell,"vi. 居住, 居住(于), 存在(于)"
edible,"n. 食品, 食物
a. 可食用的"
entail,"vt. 使成为必需, 需要, 使承担, 遗传给
n. 限定继承"
entity,"n. 实体, 实存物, 存在
"
envelope,"n. 信封, 封套, 封袋
"
equity,"n. 公平, 公正
"
esteem,"n. 尊敬, 尊重
vt. 尊敬, 尊重, 认为"
expire,"vi. 期满, 呼气, 断气
vt. 呼出"
frantic,"a. 狂乱的, 疯狂的"
grid,"n. 格子, 栅格
"
hop,"n. 单脚跳, 跳跃, 舞会, 飞行
vi. 单脚跳, 跳跃
vt. 跃过, 跳上, 加蛇麻子于, 服麻醉药
"
illiterate,"n. 文盲
a. 目不识丁的, 没受教育的"
imminent,"a. 即将来临的, 逼近的"
incur,"vt. 招致, 蒙受, 遭遇
"
intimidate,"vt. 威胁, 恐吓
"
irritate,"vt. 激怒, 使发怒, 使兴奋, 使发炎
vi. 引起不快"
legitimate,"a. 合法的, 正当的, 婚生的
vt. 认为正当, 立为嫡嗣, 使合法"
metropolitan,"n. 大都市居民, 都主教, 宗主国的公民
a. 大都市的, 都主教区的, 宗主国的"
midst,"n. 中间
prep. 在...中间"
nominee,"n. 被提名者, 被任命者
"
nonetheless,"conj. 然而, 尽管, 不过
adv. 不过, 仍然, 尽管如此, 然而"
offspring,"n. 子孙, 后代, 产物
"
orthodox,"a. 正统的, 传统的, 惯常的"
outfit,"n. 用具, 配备, 机构
vt. 配备, 供应
vi. 得到装备"
owl,"n. 猫头鹰
"
oxide,"n. 氧化物
"
peninsula,"n. 半岛, 突出的地方, 伊比利亚半岛"
plausible,"a. 貌似真实的, 貌似合理的, 说得煞有其事的
"
precedent,"n. 先例, 前例
a. 在先的, 在前的"
prestige,"n. 声望, 威望, 威信
"
rehearsal,"n. 预演, 排演, 练习, 叙述, 复述
"
relic,"n. 遗物, 遗迹, 纪念物, 遗风, 残留物"
revival,"n. 复兴, 复活, 恢复精神, 苏醒
"
robust,"a. 健康的, 强健的, 要用力气的, 坚定的, 粗野的
"
saturate,"vt. 使渗透, 浸透, 使充满, 使饱和
a. 浸透的, 饱和度高的, 深颜色的
n. 饱和化合物, 饱和脂肪酸"
slash,"v. 猛砍, 乱砍
n. 猛砍, 乱砍, 删减
"
slum,"n. 贫民窟
vi. 访问贫民区"
spicy,"a. 香的, 多香料的, 辛辣的, 下流的"
spider,"n. 蜘蛛, 设圈套者
"
stance,"n. 准备击球姿势, 站立的姿势, 位置, 姿态
"
subsistence,"n. 生存, 生活
"
surpass,"vt. 超越, 凌驾, 胜过"
threshold,"n. 门槛, 入口, 开端, 阈
"
thrill,"n. 震颤, 激动, 刺激性, 一阵激动
vi. 震颤, 颤抖, 激动
vt. 使激动, 使颤动"
turbulent,"a. 狂暴的, 骚乱的, 紊乱的"
turnover,"n. 翻倒, 翻转, 半圆酥饼, 营业额, 流通, 周转
a. 可翻转的"
underlie,"vt. 位于...之下, 成为...的基础"
verge,"n. 边缘, 边界, 起始点
vi. 处在边缘, 接近, 下沉, 趋向"
viable,"a. 能养活的, 能生长发育的
"
warrant,"n. 授权, 正当理由, 根据, 证明, 批准, 凭证, 令状, 委任状
vt. 授权给, 保证, 担保, 批准, 使有正当理由"
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
accessory,"n. 附件, 零件, 附加物, 从犯, 同谋
a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的
"
advent,"n. 来到, 来临"
allure,"vt. 引诱, 吸引
n. 魅力, 诱惑力"
amass,"vt. 积聚, 堆积"
ambiguous,"a. 不明确的, 模棱两可的
"
amplify,"vt. 增强, 放大, 扩大, 详述
vi. 引伸"
anecdote,"n. 轶事, 奇闻"
avert,"vt. 转开, 避免, 防止"
barge,"n. 驳船
vt. 用船运输
vi. 蹒跚, 闯入"
barren,"a. 不育的, 贫瘠的
n. 荒地"
benign,"a. 善良的, 良性的
"
bolster,"n. 支持, 长枕
vt. 支持, 支撑"
bruise,"n. 青肿, 挫伤, 擦伤
vi. 受伤, 擦伤
vt. 使受伤, 研碎"
bust,"n. 半身像, 胸部, 失败, 殴打
vt. 使爆裂, 使破产
vi. 爆裂, 破产
"
carton,"n. 硬纸盒, 纸板箱
"
commodity,"n. 农产品, 商品, 有用的物品
"
complement,"n. 补足物, 补语, 补数
vt. 补充, 补足
"
conception,"n. 观念, 概念
"
consecutive,"a. 连续的, 联贯的
"
cosy,"a. 温暖舒适的
n. 保暖套"
cozy,"a. 舒适的, 安逸的, 惬意的
n. (茶壶等的)保暖罩, 舒适的座位
vt. 以假话使安心"
crave,"v. 渴望, 热望, 恳求"
cripple,"n. 跛者, 残废
vt. 使跛, 使成残废, 削弱
a. 跛的, 残废的"
culmination,"n. 顶点, 高潮, 最高点"
dazzle,"v. (使)眼花, 炫耀
n. 耀眼"
delicacy,"n. 细软, 精致, 精美的食品, 娇气, 微妙, 棘手, 娇弱, 灵敏, 灵巧"
demographic,"a. 人口统计的
"
deploy,"v. 展开, 配置"
detrimental,a. 有害的
discern,"v. 辨别, 看清楚, 了解"
discrepancy,"n. 不符合, 差异, 不相符之处
"
dodge,"v. 避开, 躲避
n. 诡计, 躲藏"
domain,"n. 领域, 领土, 产业, 范围
"
eligible,"a. 有资格当选的, 合格的
n. 有资格者, 合格者, 适任者"
embark,"vi. 乘船, 着手, 从事, 上飞机
vt. 使上船, 使上飞机, 使从事"
embed,"vt. 使插入, 使嵌入, 使深留脑中
"
embody,"vt. 具体表达, 使具体化
"
empirical,"a. 完全跟据经验的, 经验主义的
"
emulate,"vt. 效法, 尽力赶上, 同...竞争
"
eradicate,"vt. 根除, 扑灭, 根绝, 消灭"
escalate,"vi. 逐步扩大, 逐步升高, 逐步增强
vt. 使逐步上升"
evaporate,"vi. 蒸发, 失去水分, 消失
vt. 使蒸发, 使脱水, 使消失"
falsehood,"n. 谎言, 虚假(性)
"
feat,"n. 壮举, 功绩, 技艺表演
a. 灵巧的, 合适的, 整洁的"
finite,"a. 有限的, 有穷的, 限定的
n. 有限物"
flip,"vt. 掷, 弹, 轻击, 空翻
vi. 用指轻弹, 抽打, 蹦跳
n. 抛, 弹, 筋斗
a. 无礼的
"
fury,"n. 愤怒, 狂暴, 狂怒的人
"
greedy,"a. 贪婪的, 贪得的, 贪吃的"
hamper,"n. 食篮, 阻碍物, 食盒
vt. 阻碍, 使困累, 妨碍, 牵制"
havoc,"n. 大破坏, 蹂躏
vt. 严重破坏"
herbal,"a. 草药的
"
hitherto,"adv. 迄今, 至今"
hybrid,"n. 混血儿, 杂种, 混合物
a. 混合的, 杂种的, 混合语的
"
ideology,"n. 思想体系, 意识形态, 观念学, 空论
"
idol,"n. 偶像, 崇拜物, 宠儿, 幻象, 谬论"
illuminate,"vt. 照明, 用灯装饰, 阐明, 说明, 使灿烂
vi. 照亮, 用灯装饰"
impart,"vt. 给予, 传授, 告知"
imperative,"n. 命令, 必要的事, 规则, 祈使语气
a. 命令式的, 急需的, 势在必行的, 强制的"
injection,"n. 注射, 注射剂
"
intrigue,"n. 阴谋, 复杂的事
vi. 密谋, 私通
vt. 激起...的兴趣, 用诡计取得"
jeopardize,"vt. 危害, 使受危困, 使陷危地"
kidnap,"vt. 绑架, 诱拐, 拐骗
"
loom,"n. 织布机, 若隐若现的景象
vi. 朦胧地出现, 隐约可见, 可怕地出现"
loop,"n. 环, 圈, 弯曲部分, 循环
vt. 使成环, 以圈结, 以环连结
vi. 打环, 翻筋斗
"
magnitude,"n. 巨大, 重大, 重要, 大小, 数量, 星等(指星的亮度)
"
malpractice,"n. 不当治疗, 不端行为, 渎职
"
mandate,"n. 命令, 指令, 要求
vt. 委任统治"
manifest,"n. 载货单, 运货单, 旅客名单
a. 显然的, 明白的
vi. 显示, 出现
vt. 表明, 表现, 证明"
mansion,"n. 大厦, 宅邸"
melody,"n. 曲子, 美妙音乐, 曲调"
molecular,"a. 分子的, 由分子组成的
"
momentum,"n. 动力, 动量
"
monopolize,"vt. 独占, 垄断
"
mortality,"n. 必死的命运, 死亡数目, 死亡率
"
notorious,"a. 声名狼藉的, 臭名昭著的, 众人皆知的"
oak,"n. 橡树, 橡木
a. 橡木制的"
obscure,"a. 模糊的, 昏暗的, 难解的, 晦涩的, 偏僻的, 微贱的, 无名的
vt. 使变暗, 隐藏, 使变模糊, 使难解"
overstate,"vt. 夸大的叙述, 夸张, 过分强调
"
paradise,"n. 天堂, 乐园, 伊甸园"
parameter,"n. 参变数, 参变量, 参数, 参量
"
physiological,"a. 生理学的, 生理学上的, 生理机能的
"
poised,"a. 平衡的, 均衡的, [表]作好准备的, (褒)沉着的, 泰然自若的, 自信的"
potent,"a. 有力的, 有说服力的, 有效的
"
practitioner,"n. 从业者, 开业者
"
predominance,"n. 主导地位, 优势"
premature,"a. 早产的, 过早的, 不成熟的
n. 早产儿, 过早发生的事物"
presume,"vt. 假定, 推测, 擅自, 意味着
vi. 擅自行动, 相信"
probe,"n. 探索, 调查, 探针, 探测器
v. 用探针探测, 调查, 探索"
propel,"vt. 推进, 驱使
"
psychiatric,"a. 精神病学的, 医精神病的
"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
ration,"n. 定额, 定量, 配给
vt. 配给, 定量供应"
recipe,"n. 食谱, 处方, 秘诀
"
rein,"n. 缰绳, 统治, 支配
vt. 驾驭, 以缰绳控制, 控制
vi. 勒住马"
remnant,"n. 剩余, 零料, 遗迹
a. 剩余的, 残余的"
retort,"n. 反驳, 顶嘴, 蒸馏器, 曲颈甑
vi. 反驳, 回嘴, 反击
vt. 反击, 反驳, 蒸馏"
sanitation,"n. (环境)卫生, 环境卫生的提倡/维持, 卫生设备, 下水道设施, 卫生设施
"
satire,"n. 讽刺文学, 讽刺"
sceptical,"a. 怀疑论的, 怀疑的"
skeptical,"a. 怀疑论的, 怀疑的, 不可知论的
"
shield,"n. 盾, 防卫物, 保护者, 屏蔽
vt. 保护, 遮蔽, 屏蔽, 庇护, 挡开, 避开
vi. 起保护作用"
signify,"vt. 象征, 预示
vi. 要紧, 重要"
