absence,"n. 缺席, 缺乏, 没有
"
thermal,"a. 热的, 热量的, 温泉的
n. 上升温暖气流"
thrilled,"a. 非常兴奋的; 极为激动的
vt. “thrill”的过去式和过去分词"
tissue,"n. 薄的织物, 薄纱, 棉纸, 组织, 一套
"
tolerate,"vt. 宽容, 容许, 有耐力"
tolerant,"a. 宽容的, 容忍的, (对冷、热)能耐的
"
tolerance,"n. 宽容, 忍受, 容忍, 容许量, 公差
"
toleration,"n. 宽容, 默认, 信仰自由
"
toll,"n. 通行费, 代价, 钟声
vt. 征收, 敲钟, 鸣钟, 勾引, 引诱
vi. 征税, 鸣钟"
toss,"n. 投掷, 抛, 摇摆, 震荡, 掷钱币决定
vt. 投掷, 猛抬, 摇荡, 使不安, 掷钱币决定
vi. 被到处扔, 摇摆, 颠簸, 辗转, 掷钱币决定某事"
tragic,"a. 悲惨的, 悲剧的"
tragedy,"n. 悲剧, 惨案, 悲剧作品
"
trainee,"n. 实习生, 新兵, 受培训者
"
transcribe,"vt. 抄写, 译, 意译, 录制, 改编
"
tricky,"a. 狡猾的, 机敏的"
trick,"n. 诡计, 欺诈, 谋略, 恶作剧, 习惯, 决窍
vt. 愚弄, 欺骗, 装饰
vi. 哄骗, 戏弄
a. 有决窍的, 特技的, 欺诈的, 漂亮的, 靠不住的"
tube,"n. 管, 软管, 隧道
vt. 把...装管, 使通过管子
"
turnover,"n. 翻倒, 翻转, 半圆酥饼, 营业额, 流通, 周转
a. 可翻转的"
ultraclean,"a. 超净的,特净的"
unaided,"a. 无助的, 未受协助的"
underpin,"vt. 从下面支承, 支撑, 支持
"
unfold,"vt. 展开, 打开, 披露, 开展, 挑明
vi. 伸展, 开花, 呈现"
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
vague,"a. 含糊的, 不清楚的, 茫然的"
ventilation,"n. 通风, 空气流通, 公开讨论
"
ventilate,"vt. 使空气流通, 使通风, 公开讨论, 公开
"
ventilator,"n. 通风设备, 送风机, 换气扇
"
vibration,"n. 振动, 颤动
"
vibrate,"vi. 振动, 颤动, 激动, 摇摆, 踌躇
vt. 使颤动, 使振动, 使摆动"
vice versa,"反之亦然
"
vigorous,"a. 精力充沛的, 元气旺盛的, 茁壮的, 有力的"
vigor,"n. 精力, 活力"
vocal,"a. 嗓音的, 声音的, 有声的, 歌唱的
n. 元音, 声乐作品"
vocalist,"n. 声乐家, 歌手"
vocalization,"n. 发声, 元音化
"
vocational,"a. 职业的
"
vocation,"n. 职业, 天命, 天职, 才能, 行业
"
volatile,"a. 挥发性的, 可变的, 不稳定的, 飞行的, 轻快的, 爆炸性的
n. 有翅动物, 挥发物
"
volatility,"n. 挥发性, 挥发度, 轻快, 易变, 短暂
"
wag,"vt. 摇摆, 摇动, 饶舌
vi. 摆动, 喋喋不休
n. 摇摆, 爱说笑打趣的人"
warehouse,"n. 仓库, 货栈, 大商店
vt. 储入仓库"
waterfront,"n. 水边, 滨水区, 滩, 海滨, 江边"
waterproof,"n. 防水材料
a. 不透水的, 防水的
vt. 使防水"
weird,"a. 怪异的, 超自然的, 不可思议的
n. 命运, 预言, 符咒"
wobble,"n. 摆动, 摇晃, 不稳定, 抖动
vi. 摇晃, 摇摆, 游移不定
vt. 使摇摆, 使颤动"
wrap,"n. 外套, 围巾, 包裹物, 限制, 约束, 秘密, 换行
vt. 包装, 卷, 缠绕, 包, 裹, 覆盖, 遮蔽, 隐藏, 掩护
vi. 缠绕, 穿外衣, 包起来
"
wrapper,"n. 包装者, 包裹者, 包装物, 覆盖物, 外包烟叶, 包纸, 书的封皮, 妇女晨衣
"
abate,"vt. 减少, 减轻, 减弱, 废除, 打折扣
vi. 减轻, 减弱, 减少, 失效, 被废除"
abide,"vi. 停留, 遵守, 居留, 继续下去
vt. 忍受, 经受, 屈从于"
abject,"a. 绝望无助的, 可怜的, 糟透的, 卑鄙的, 自卑的
"
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
abolish,"vt. 废止, 革除, 消灭
"
absolute,"a. 绝对的, 专制的, 完全的, 独立的
n. 绝对事物"
absurdity,"n. 荒谬, 悖理, 荒谬的言行"
accentuate,"vt. 以重音念, 强调, 重读"
acclaim,"n. 喝彩, 欢呼, 赞同
v. 欢呼, 喝彩, 称赞"
acclimatise,v. <主英>=acclimatize
accrue,"vi. 自然增加, 产生
"
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
achievable,"a. 做得成的, 可完成的, 可有成就的"
acrobatic,"a. 杂技演员的, 杂技的"
adjoin,"v. 邻接, 毗连"
adolescence,"n. 青春期
"
adornment,"n. 装饰, 装饰品"
aeration,"n. 通风
"
aerobics,n. 有氧运动法；增氧健身法
aeronautical,"a. 航空的, 航空学的
"
affiliation,"n. 联系, 从属关系
"
afflict,"vt. 使苦恼, 折磨"
affluent,"a. 丰富的, 富裕的
n. 支流, 富人"
afield,"adv. 离开着, 偏离着, 在战场上"
aggravate,"vt. 使恶化, 使更严重, 加重"
agreeable,"a. 令人愉快的, 同意的
"
airy,"a. 空气的, 空中的, 通风的, 幻想的, 轻快的"
align,"vi. 排列, 排成一行, 结盟
vt. 使结盟, 使成一行, 校正"
alleged,"a. 被断言的, 所谓的
"
allowance,"n. 津贴, 零用钱, 限额, 折扣, 允许
vt. 定量供应"
alpine,"a. 高山的, 高山生长的"
altruistic,"a. 利他的, 无私心的"
ambassador,"n. 大使
"
amidst,prep. 在...当中
amphibious,"a. 水陆两栖的, 能两栖作战的, 陆海空军协同作战的
"
amplifier,"n. 扩大的人(物), 放大器, 扩音器
"
amplify,"vt. 增强, 放大, 扩大, 详述
vi. 引伸"
anatomist,"n. 解剖学家
"
animate,"vt. 使有生气, 赋予生命
a. 有生命的, 有生气的"
anniversary,n. 周年纪念
antenna,"n. 天线, 触须, 触角
"
apace,"adv. 快速地, 急速地"
appalling,"a. 骇人的, 令人震惊的"
apparatus,"n. 装置, 器具, 器官
"
apportion,"vt. 分配, 分摊, 分派
"
apprehensive,"a. 惴惴不安的, 敏悟的, 知晓的"
apprenticeship,"n. 学徒身分, 见习(期)
"
aquarium,"n. 水族馆, 养鱼池, 水草缸
"
arable,"a. 适于耕种的, 可耕的"
arduous,"a. 费力的, 努力的, 险峻的"
arena,"n. 角斗场, 舞台, 场地
"
ascribe,"vt. 归因于, 归咎于
"
ash,"n. 灰, 灰烬
"
ashamed,"a. 惭愧的, 羞耻的"
assimilation,"n. 同化, 同化作用, 吸收
"
assortment,"n. 分类, 各种各样
"
astound,"vt. 使惊骇, 使大惊"
astray,"adv. 迷途地, 入歧途地
"
atom,"n. 原子, 核能, 微粒, 微量
"
attendance,"n. 出席, 出席的人数, 照料
"
audio-visual,视听;直观
autocratic,"a. 独裁的, 专制的"
automobile,"n. 汽车
"
avid,"a. 渴望的, 急切的, 劲头十足的"
await,"vt. 等候
vi. 等待着"
awayday,"n. （不在工作场所的）外出研讨日
"
awkward,"a. 笨拙的, 棘手的"
babyish,"a. 幼稚的, 稚气的"
bachelor,"n. 单身汉, 学士
"
backlash,"n. 后冲, 强烈反对
"
backup,"n. 倒车, 后退, 后援, 支持, 阻塞
vt. 做备份
a. 候补的, 支持的
"
baggage,"n. 行李
"
bale,"n. 包, 捆, 货物, 灾难
vt. 打包, 捆包"
banal,"a. 平凡的, 陈腐的"
barge,"n. 驳船
vt. 用船运输
vi. 蹒跚, 闯入"
basement,"n. 地下室, 墙脚
"
bathing,"n. 游泳, 洗海水澡"
batter,"v. 连续猛打（尤其指妇女），猛击
n. 面糊（食物），击球员，打击手"
baulk,"n. 障碍, 错误, 失败
vt. 阻止, 错过, 推诿"
besiege,"vt. 围攻, 包围"
bestow,"vt. 授予, 使用, 贮藏, 留宿"
bewildering,"a. 令人困惑的, 使人昏乱的"
blade,"n. 叶片, 刀锋, 刀口, 剑
"
bleeper,"n. 无线电传呼机, BP机"
blink,"vi. 眨眼, 闪亮
vt. 眨眼, 使闪亮
n. 眨眼, 瞬间, 闪光, 闪烁
"
blonde,"a. (头发)亚麻色的, 淡色的, 白肤金发碧眼的, 白里透红的, 白皙的, 淡黄色的
n. 肤色白皙的金发女人"
bloom,"n. 花, 开花, 青春, 钢块
vi. 开花, 焕发青春, 茂盛
vt. 使茂盛, 把...轧成钢坯"
bombard,"vt. 炮击, 攻击, 轰击
n. 射石炮"
booth,"n. 亭, 摊棚
"
botanist,n. 植物学家
bounty,"n. 慷慨, 宽大, 礼物
"
bout,"n. 一回, 回合, 较量
"
bow,"n. 弓, 眼睛框
v. 用弓拉琴, 弯成弓形
n. 鞠躬, 屈服"
breast,"n. 胸部, 乳房, 胸怀
vt. 以胸对着, 面对"
bribe,"n. 贿赂
vt. 贿赂, 收买
vi. 行贿"
brittle,"a. 易碎的, 脆弱的, 易坏的
"
broker,"n. 掮客, 经纪人
"
brood,"n. 一窝, 一伙
vt. 孵, 沉思"
brute,"n. 畜生, 残忍或好色之人
a. 残忍的, 无理性的, 畜生的"
bulge,"n. 胀, 膨胀
vi. 凸出
vt. 使膨胀"
bulk,"n. 大小, 体积, 大块, 大多数
vt. 显得大, 显得重要"
bump,"n. 撞击, 肿块
vt. 碰撞
vi. 撞, 颠簸而行"
bumper,"n. 缓冲器, 满杯
a. 大胜利的"
bureaucratic,"a. 官僚的
"
burglar,"n. 窃贼
"
bygone,"n. 过去的事, 往事
a. 过去的"
camouflage,"vt. 伪装, 掩饰
n. 伪装, 伪装物, 幌子"
capriciousness,[医] 心境变态
capsize,"v. 翻覆, 倾覆"
carefree,"a. 无忧无虑的, 不负责的"
carton,"n. 硬纸盒, 纸板箱
"
cartoon,"n. 卡通画, 漫画
v. 画漫画"
catastrophic,"a. 悲惨的, 灾难的"
cavern,"n. 巨穴, 洞窟, 深处
vt. 放于山洞中, 挖空"
cavort,vi. 腾跃
cease,"n. 停止
v. 停止, 终了"
censor,"n. 检查员
vt. 检查, 审查, 删改"
cerebrospinal,"a. 脑脊髓的
"
certify,"v. 证明, 保证"
chant,"n. 圣歌, 赞美诗
v. 吟唱, 诵扬"
chaplain,n. 牧师
cheat,"n. 欺骗, 作弊, 骗子
v. 欺骗, 逃脱, 骗取"
checklist,"n. 清单, (美)选举人名单, 名册, 目录册"
chic,"n. 漂亮, 别致的款式
a. 漂亮的, 别致的"
chorus,"n. 合唱队, 齐声
v. 齐声说道, 合唱"
cinematic,"a. 电影的, 影片的"
cipher,"n. 零, 暗号, 密码, 无用的东西, 阿拉伯数字
v. 计算, 做算术"
circuit,"n. 电路, 环(行)道, 巡回
"
circumscribe,"vt. 在...周围画线, 限制"
civic,"a. 市的, 市民的, 公民的
"
cling,"vi. 粘紧, 附着, 紧贴, 坚持"
coachload,n. 长途汽车的全体乘客
coffer,"n. 保险箱, 金库
vt. 把...锁进箱子"
cognition,"n. 认识, 认识力, 认识的结果
"
collateral,"a. 并行的, 附随的, 旁系的
n. 旁系亲属, 担保品"
collectively,"adv. 集合, 聚合性, 共同, 集体主义, 集团, 集体"
collision,"n. 碰撞, 冲突, 抵触
"
colonist,"n. 殖民地居民, 移民"
colourfast,"a. 不退色的,不掉色的"
comic,"n. 连环漫画, 喜剧演员, 滑稽的人
a. 滑稽的, 有趣的, 喜剧的"
commute,"vt. 交换, 折偿, 减轻
vi. 代偿, 经常乘车来往"
compassionate,"a. 慈悲的, 富于同情心的, 照顾性的
vt. 怜悯, 同情"
complement,"n. 补足物, 补语, 补数
vt. 补充, 补足
"
complexity,"n. 复杂, 复杂性, 复杂的事物"
compression,"n. 压缩, 压紧
"
concise,"a. 简洁的, 简明的"
condemn,"vt. 判刑, 责备, 谴责
"
conditioner,"n. 调节器, 土壤团粒结构促进剂
"
confer,"vt. 授予, 带来
vi. 协商"
conform,"vt. 使一致, 使遵守, 使符合
vi. 一致, 符合, 适应"
congratulation,"n. 祝贺, 恭喜"
connotation,"n. 含蓄, 内涵"
consequent,"n. 随后发生的事情, 结果
a. 作为结果的, 合乎逻辑的"
consignment,"n. 委托
"
conspicuous,"a. 显著的, 显眼的, 出众的"
consumerism,n. 保护消费者利益运动
containerization,"n. 集装箱化
"
contingent,"a. 或许发生的, 附随的, 偶然发生的
n. 偶然事件, 分遣队"
contradiction,"n. 反驳, 矛盾
"
converge,"vi. 聚合, 集中于一点
vt. 使集合"
converse,"n. 相反的事物, 倒, 逆向
a. 相反的, 逆向的, 颠倒的
vi. 交谈, 谈话"
conversion,"n. 转变, 转换, 改变宗教信仰, 换位法
"
convict,"n. 囚犯, 罪犯
vt. 宣告有罪, 使知罪"
cornerstone,"n. 奠基石, 基础"
corps,"n. 军, 队, 部队, 兵种
"
cortical,"a. 皮层的
"
costume,"n. 装束, 服装"
counterproductive,a. 反生产的；使达不到预期目标的
courtship,"n. 求爱, 求婚, 求爱时期"
craze,"n. 狂热, 大流行
v. (使)发狂, (使)开裂"
credibility,"n. 可信用, 确实性, 可靠
"
cruel,"a. 残酷的, 令人极痛苦的
"
crystalline,a. 透明的；水晶般的；水晶制的
curb,"n. 抑制, 勒马绳, 边石
vt. 抑制, 束缚, 勒住"
curly,"a. 拳曲的, 卷毛的, 弯曲的"
curtail,"vt. 缩减, 剥夺, 简略
"
daunted,"v. 使（某人）气馁, 威吓( daunt的过去式和过去分词 )"
dearth,"n. 缺乏, 粮食不足, 饥馑"
deception,"n. 欺骗, 诡计
"
decipher,"vt. 译解, 解释
n. 密电译文"
decrepit,a. 衰老的
defer,"vi. 推迟, 延期, 听从
vt. 使推迟, 使延期"
degenerate,"a. 堕落的
vi. 退化, 堕落
vt. 使变质, 使退化"
delegate,"n. 代表
vt. 委派...为代表"
delightful,"a. 令人愉快的, 可爱的"
dementia,"n. 痴呆
"
demographer,n. 人口统计学家
demolish,"vt. 毁坏, 破坏, 粉碎"
denomination,"n. 名称, 教派, 面额
"
deploy,"v. 展开, 配置"
deregulate,[法] 解除管制
desolate,a. 荒凉的
despise,vt. 轻视
detach,"vt. 使分离, 分遣
"
detergent,"n. 清洁剂
"
devour,"vt. 吞食, 挥霍, 吞没"
dilapidate,"v. (使)荒废, (使)毁坏"
dilemma,"n. 困境, (进退两难的)窘境"
diligent,"a. 勤勉的, 用功的"
dilute,"vt. 冲淡, 稀释
a. 淡的, 稀释的"
diplomatic,"a. 外交的, 老练的
"
discontinue,"vi. 中断, 终止, 停止
vt. 使中止"
discouraging,a. 令人气馁的
disdain,"n. 蔑视
vt. 蔑视, 鄙弃"
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
disgusting,a. 令人厌恶的
disillusioned,"a. 幻想破灭了的, 大失所望的, 醒悟了的"
disjunction,"n. 分离, 分裂, 分断"
disorganised,"a. 组织混乱的, 无系统的, 杂乱无章的"
disparate,"a. 根本不同的, 全异的, 不相干的
n. 无法相比的东西(或人)"
dispiriting,v. 沮丧的( dispirited的过去分词 )
disproportionately,"adv. 不匀称, 不相称"
disqualify,"vt. 使不适合, 取消...资格"
dissolve,"v. 溶解, 解散"
distaste,"n. 讨厌, 嫌恶"
distressing,"a. 使痛苦的, 使烦恼的"
divert,"vt. 转移, 使欢娱
vi. 转移"
dizziness,"n. 头昏眼花
"
dot,"n. 点, 圆点, 小数点, 小东西, 嫁妆
vt. 作小点记号, 加小点于
vi. 打上点
"
downside,n. 底侧；下降趋势
downwind,"a. 顺风的
adv. 顺风"
drab,"a. 土褐色的, 单调的"
drastic,"a. 激烈的
"
dual,"a. 双重的, 双的
n. 双数"
dump,"n. 垃圾场
vt. 倾倒, 倾销
vi. 倒垃圾, 倾销商品
"
dwindle,"vi. 减少, 缩小, 衰落
vt. 使缩小"
eagerly,"adv. 渴望, 热衷于, 热切"
earnest,"n. 定金, 诚挚, 认真
a. 认真的, 热心的, 重要的"
eccentricity,"n. 古怪, 古怪行为, 怪癖
"
edging,"n. 边缘, 边饰"
ejection,"n. 驱逐, 喷出, 排出物
"
elapse,"vi. 逝去, 过去
n. 逝去, 过去"
elicit,"vt. 引出, 推导出, 引起"
eligibility,"n. 适任, 合格
"
elitist,"n. 优秀人材, 杰出人材
a. 优秀人材的, 杰出人材的"
eloquently,adv. 善辩地；富于表现力地
elucidate,"vt. 阐明, 说明"
embarrassment,"n. 困难, 阻碍, 困窘
"
embassy,"n. 大使馆, 大使馆全体人员
"
embellish,"vt. 修饰, 装饰, 润色"
embezzlement,"n. 盗用, 挪用, 侵占
"
emblazoned,"v. 用纹章装饰, 颂扬, 盛饰( emblazon的过去式和过去分词 )"
embryonic,"a. 萌芽的, 初期的, 未成熟
"
emergent,"a. 紧急的, 浮现的, 出现的, 自然发生的
"
emeritus,"a. 名誉退休的, 退休后保留头衔的"
eminent,"a. 显赫的, 杰出的, 有名的"
empirical,"a. 完全跟据经验的, 经验主义的
"
encapsulate,"vt. 装入胶囊, 封进内部, 压缩
vi. 做成胶囊"
endorse,"vt. 支持, 赞同, 背书于, 签署
"
enervation,"n. 削弱, 衰弱, 虚弱
"
enfranchise,"vt. 给予自治权, 给予选举权, 解放
"
enigma,"n. 谜, 费解的事物"
enlighten,"vt. 教育, 启发, 启蒙, 开导, 教导"
ensue,"vi. 跟着发生, 继起
vt. 追求"
entice,"vt. 诱骗, 引诱, 怂恿"
entrust,"vt. 信托, 交托, 委托
"
entwine,"v. (使)缠住, (使)盘绕, (使)纠缠"
epitomise,"vt. 对...作摘要, 集中体现, 成为...的化身, 成为...的缩影, 概括"
equality,"n. 平等, 均匀, 相等
"
equilibrium,"n. 平衡, 平静, 均衡
"
erupt,"vi. 爆发
vt. 喷出"
ethereal,"a. 轻的, 飘渺的, 天上的
"
ethnicity,n. 种族划分
evil,"n. 邪恶, 不幸, 罪恶
a. 邪恶的, 不幸的, 有害的, 讨厌的"
excavate,"v. 挖空, 挖出, 凿通"
expiry,"n. 终结, 满期, 呼气, 断气
"
extracurricular,"a. 课外的, 业余的"
extrapolation,"n. 推断, 外推法
"
extravagance,"n. 奢侈, 浪费, 放肆的言行"
extrusion,"n. 挤出, 推出, 赶出
"
exuberant,"a. 繁茂的, 丰富的, 生气勃勃的
"
facilitator,n. 服务商；促进者
facsimile,"n. 摹(真)本, 传真
vt. 传真, 临摹
a. 复制的
"
familiarise,vt.<主英>=familiarize
farewell,"n. 辞别, 再见, 再会
interj. 再会"
fatal,"a. 致命的, 重大的, 命运注定的, 粗心的, 不幸的
"
feminism,"n. 女权主义, 男女平等主义
"
fickle,"a. 变幻无常的, 浮燥的, 薄情的"
fidelity,"n. 忠实, 诚实, 忠诚, 保真度
"
filler,"n. 装填者, 补白, 装填物
"
finitude,"n. 界限, 限制"
fledgling,"n. 羽毛初长的雏鸟, 刚会飞的幼鸟, 无经验的人"
flimsy,"a. 易坏的, 脆弱的, 浅薄的
n. 易损坏的东西(或材料), 薄纸, 描图用薄纸, 薄纸稿纸"
flip,"vt. 掷, 弹, 轻击, 空翻
vi. 用指轻弹, 抽打, 蹦跳
n. 抛, 弹, 筋斗
a. 无礼的
"
flock,"n. 兽群, 鸟群, 一群人, 大量, 棉束
vi. 成群而行, 聚集
vt. 用棉束填满"
fluent,"a. 流利的, 流畅的"
flustered,"a. 慌张的; 激动不安的
v. 使慌乱, 使不安( fluster的过去式和过去分词)"
foe,"n. 仇敌, 反对者, 敌人, 对手"
foil,"n. 箔, 烘托, 衬托
vt. 贴箔于, 衬托, 阻止, 挡开, 挫败"
footage,"n. 英尺长度, 英板尺, (影片的)连续镜头"
foregone conclusion,"预定的事, 预知的结局"
forfeit,"n. 没收物, 罚金, 丧失
vt. 没收, 丧失
a. 丧失了的"
forgive,"vt. 原谅, 宽恕, 免除
"
forgo,"vt. 摒绝, 放弃"
formality,"n. 礼节, 拘谨, 正式手续
"
formulation,"n. 系统陈述, 公式化, 配制
"
forthcoming,"a. 即将来临的
n. 来临"
fossilise,"vt.vi. 使成化石, 变成化石, 使(思想)陈旧, 使僵化"
fourfold,"a. 四重的, 四倍的, 四垒的
adv. 四倍, 四重"
fraction,"n. 小部分, 破片, 分数
"
fragmentation,"n. 分裂, 破碎
"
fraught,"a. 含有...的, 伴着...的, 充满...的"
freeway,n. 高速公路
friction,"n. 摩擦, 摩擦治疗, 不和
"
fringe,"n. 边缘, 端, 流苏, 穗, 初步
vt. 加穗于, 加饰边于
a. 边缘的, 附加的"
frost,"n. 霜, 冰冻, 冷漠
vt. 覆着霜, 冻结, 结霜
vi. 受冻, 起霜"
froth,"n. 泡, 泡沫, 琐物
vt. 使生泡沫
vi. 发泡, 吹泡"
frown,"n. 皱眉
vi. 皱眉头
vt. 皱眉表示"
gauge,"n. 标准度量, 计量器
vt. 精确计量, 估计
"
gaze,"n. 注视, 凝视
vi. 注视, 凝视"
generalisation,"n. 概括, 普遍化, 一般化, 归纳"
gimmick,"n. 暗机关
vt. 耍花招改变, 使暗机关"
glacial,"a. 冰的, 冰川的, 冰川时代的, 冰冷的
"
gloomy,"a. 抑沉的, 忧闷的, 黑暗的, 悲观的"
gorgeous,"a. 华丽的, 灿烂的"
gossip,"n. 闲聊, 随笔, 流言, 爱讲闲话的人
vi. 说闲话, 闲聊"
grab,"n. 抓握, 掠夺, 强占, 东方沿岸帆船
vi. 抓取, 抢去
vt. 攫取, 捕获, 霸占"
grace,"n. 优雅, 风度, 慈悲, 恩惠, 体面, 赦免, 恩典, 谢恩祷告
vt. 使优美"
grapple,"v. 抓住, 掌握
n. 抓住, 系紧, 掌握, 与...扭打"
gratuity,"n. 小费, 赠物, 赏钱
"
grease,"n. 脂肪, 兽脂, 油脂, 贿赂
vt. 涂脂于, 贿赂"
greet,"vt. 问候, 致敬, 欢迎, 映入眼帘"
grenade,n. 手榴弹
grim,"a. 冷酷的, 坚强的, 残忍的, 可怕的, 讨厌的"
groan,"n. 呻吟, 叹息
vi. 呻吟, 抱怨, 受压迫
vt. 呻吟地说"
guilty,"a. 犯罪的, 有过失的, 自觉有错的, 心虚的
"
gush,"n. 涌出, 滔滔不绝地讲话
v. 涌出, 迸出, 滔滔不绝的讲话"
gust,"n. 突然一阵, 趣味, 爱好"
habitual,"a. 习惯的, 惯常的, 平常的
"
hardwired,a. 电路的
hardy,"a. 难的, 艰苦的, 坚硬的, 勇敢的
adv. 努力地, 辛苦地, 坚硬地"
harmonise,"vi.vt. 以和声歌唱/演奏, (使)协调, (使)一致, (使)相称, (使)调和"
harridan,"n. 凶恶的老妇, 丑婆, 鬼婆"
hasten,"vt. 催促, 加紧
vi. 赶快, 急忙"
haunting,"a. 常浮现于脑海中的, 不易忘怀的"
havoc,"n. 大破坏, 蹂躏
vt. 严重破坏"
headline,"n. 大标题, 新闻摘要
vt. 为...做标题, 写标题"
headquarters,"n. 总部, 司令部, 总部人员
"
heady,"a. 顽固的, 任性的, 性急的, 猛烈的"
heaven,"n. 天堂, 上帝, 天空"
hedge,"n. 树篱, 障碍, 套头交易
vt. 用树篱围, 套期保值, 妨碍, 两面下注以防...的损失
vi. 筑树篱, 躲闪, 两面下注以防损失
a. 树篱的, 偷偷摸摸的"
hiccup,"n. 打嗝
v. 打嗝"
hierarchy,"n. 等级制度, 僧侣统治, 等级体系
"
hiker,n. 徒步旅行者
hindquarters,"n. 后腿, 后半部"
hindrance,"n. 妨害, 障碍, 阻碍物"
homogenous,"a. 同质的, 相似的
"
honoraria,n. 酬金；谢礼（honorarium的复数）
hormonal,"a. 荷尔蒙的
"
hospitality,"n. 款待, 亲切, 殷勤"
hostile,"a. 敌人的, 怀敌意的, 敌对的
n. 敌对分子"
hover,"vi. 盘旋, 翱翔, 徘徊
vt. 孵
n. 翱翔"
hunch,"n. 肉峰, 预感, 大块
vt. 弯腰驼背, 预感到, 耸肩
vi. 向前移动, 隆起"
hurdle,"n. 障碍, 跳栏, 临时活动篱笆
vt. 用篱笆围, 越过, 克服"
hydropower,n. 水力发出的电力
hype,n. 大肆宣传；皮下注射
hypnotic,"a. 催眠的, 在受催眠状态中, 易于催眠的
n. 催眠药, 安眠药, 催眠状态的人"
iconic,[计] 图标的
idiom,"n. 习语, 成语, 惯用语法, 方言"
idiosyncratic,"a. 特质的, 异质的, 特殊的
"
idyllic,"a. 田园诗的, 牧歌的, 悠闲的"
illusion,"n. 幻影, 错觉, 幻想
"
imitation,"n. 模仿, 效法, 冒充, 赝品
"
immerse,"vt. 沉浸, 使陷入
"
immigration,"n. 移民, 移居
"
impartial,"a. 公平的, 不偏不倚的
"
impede,"vt. 妨碍, 阻碍, 阻止"
imperative,"n. 命令, 必要的事, 规则, 祈使语气
a. 命令式的, 急需的, 势在必行的, 强制的"
impetus,"n. 动力, 推动力, 动量
"
impinge,"vi. 撞击, 起作用, 侵犯
vt. 撞击"
implicate,"vt. 涉及, 含意, 暗示, 牵连
n. 包含的东西"
implicit,"a. 暗示的, 含蓄的, 固有的, 绝对的
"
importation,"n. 进口, 输入品
"
impoverished,"a. 穷困的, 无力的,用尽了的"
improvise,"vt. 即席创作, 临时做"
inaccessible,"a. 难得到的, 难接近的, 难达成的"
inaugurate,"vt. 开始, 举行...就职典礼"
incapacitate,"vt. 使无能力, 使无行为能力
"
incineration,"n. 烧成灰, 焚化, 灰化
"
inclination,"n. 倾向, 趋向, 倾斜度, 点头
"
incompatible,"a. 不相容的, 不能并存的, 矛盾的
"
incongruous,"a. 不协调的, 不一致的, 不合适的"
incredible,a. 难以置信的
increment,"n. 增加, 增值, 盈余
"
inedible,a. 不适于食用的
infect,"vt. 传染, 感染
"
infirmity,"n. 虚弱, 病身, 疾病
"
inflation,"n. 胀大, 夸张, 通货膨胀
"
inflict,"vt. 施以, 加害, 使承受
"
influenza,"n. 流行性感冒
"
innate,"a. 先天的, 天生的
"
innocent,"a. 无罪的, 不懂事的, 无知的
n. 天真的人, 笨蛋"
instalment,"n. 就职, 装设, 分期付款"
intent,"n. 意图, 含义, 故意
a. 专心的, 决心的, 热心的"
interchangeable,"a. 可互换的
"
interdependence,n. 互相依赖
interminable,"a. 无限的, 冗长的"
intermittently,adv. 间歇地
intermix,"v. (使)混和, (使)混杂"
intermodal,联合运输的
internationalist,"n. 国际主义者, 国际法学家
"
interpreter,"n. 直译程序, 解释者, 口译者, 注释器
"
interruption,"n. 打扰, 中断, 障碍物
"
intrusion,"n. 闯入, 侵扰
"
inundation,"n. 淹水, 洪水, 大水"
invalid,"n. 病人, 残废者
a. 有病的, 无效的"
invaluable,"a. 无价的, 价值无法衡量的"
inventory,"n. 详细目录, 存货清单
vt. 列入详细目录, 清点存货
"
irrelevant,"a. 不恰当的, 无关系的, 不相干的
"
irresistible,"a. 不可抵抗的, 不能压制的
"
irrevocable,"a. 不能挽回的, 不能取消的, 不能变更的
"
irrigate,"vt. 灌溉, 冲洗伤口, 使清新
vi. 灌溉"
jealously,"adv. 嫉妒, 羡慕, 留心, 戒备"
jerky,"a. 急动的, 抽筋的, 不平稳的
n. 牛肉干"
jet lag,"n. 飞行时差反应, 时差感"
jolt,"n. 震摇, 摇动, 颠簸
vi. 颠簸而行, 震摇
vt. 使颠簸, 使慌张, 猛击"
judicious,"a. 头脑精明的, 贤明的, 判断正确的"
judo,"n. 柔道
"
jury,"n. 陪审团, 评判委员会
a. 应急的"
justice,"n. 正义, 公平, 公正, 正确, 司法, 审判"
justification,"n. 辩护, 证明正当, 释罪
"
kidney,"n. 肾, 个性
"
lantern,"n. 灯笼, 提灯, 航标灯
vt. 装上提灯"
largish,a. 稍大的
lash,"n. 鞭子, 鞭打, 睫毛, 责骂, 讽刺
vt. 鞭打, 摆动, 扎捆, 冲击, 讽刺, 煽动
vi. 冲洗, 鞭打, 责骂"
laundry,"n. 洗衣店, 洗好的衣服, 洗涤
"
lawlessness,n. 不服从法律; 不受法律制约; 未实施法律; 目无法纪
lease,"n. 租约, 租期, 租
vt. 出租, 租出, 租得"
