appropriate,"a. 适当的
"
subsequent,"a. 后来的, 接下去的
"
subsidy,"n. 补助金, 津贴
"
subway,"n. 地铁, 地道
vi. 乘地铁"
sufficient,"a. 充分的, 足够的
"
summit,"n. 顶点, 最高阶层, 最高级会议
a. 政府首脑的, 最高级的"
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
supervise,"v. 监督, 管理, 指导"
surf,"n. 海浪, 拍岸浪
vi. 作冲浪运动"
surge,"n. 巨涌, 汹涌, 澎湃
vi. 汹涌, 澎湃, 颠簸, 猛冲, 突然放松
vt. 使汹涌奔腾, 急放
"
surpass,"vt. 超越, 凌驾, 胜过"
survey,"n. 纵览, 视察, 测量, 俯瞰, 调查
vt. 审视, 视察, 俯瞰, 通盘考虑
vi. 测量土地"
suspicion,"n. 怀疑, 觉察, 嫌疑
"
sustain,"vt. 承受, 支持, 供养, 继续, 忍受, 蒙受, 证实, 准许
"
swallow,"n. 燕子, 吞咽, 喉
vt. 咽, 淹没, 吞没, 耗尽, 轻信, 忍受, 抑制
vi. 吞下, 咽下"
swamp,"n. 沼泽, 进退两难的困境
vt. 淹没, 击溃, 清除, 使陷于沼泽
vi. 陷于沼泽, 淹没"
swarm,"n. 群, 大群, 蜂群, 分蜂群
vi. 分群, 群集, 聚集一块, 云集, 攀
vt. 挤满, 爬, 攀"
swell,"n. 增大, 隆起的部分, 巨浪, 肿胀
a. 优秀的, 一流的
vi. 增大, 膨胀, 肿胀, 增强, 骄傲
vt. 使膨胀, 使增大, 使上涨, 使骄傲"
switch,"n. 开关, 电闸, 转换, 软枝, 鞭子, 道岔
vt. 转变, 切换, 摆动, 转换, 使转轨
vi. 转换, 变换, 摆动
"
sympathetic,"a. 有同情心的, 合意的, 赞成的
n. 交感神经, 容易感受的人"
systematic,"a. 有系统的, 分类上的, 体系的
"
tackle,"n. 工具, 复滑车, 滑车, 装备, 扭倒
vt. 固定, 处理, 抓住
vi. 扭倒"
target,"n. 目标, 靶子, 指标
vt. 对准, 订指标"
tariff,"n. 关税, 关税表, 价格表, 收费表
vt. 课以关税
"
temperament,"n. 气质, 性格, 性情
"
temple,"n. 圣堂, 庙宇, 教堂, 礼拜堂, 太阳穴, 鬓角
"
temporary,"a. 暂时的, 临时的
n. 临时工, 临时雇员
"
testify,"v. 证明, 作证, 声明, 表明"
testimony,"n. 证言, 证据, 声明
"
textile,"n. 纺织品, 纺织业
a. 织的, 纺织的"
theme,"n. 主题, 话题, 题目"
thrill,"n. 震颤, 激动, 刺激性, 一阵激动
vi. 震颤, 颤抖, 激动
vt. 使激动, 使颤动"
thrive,"vi. 繁荣, 兴旺, 茁壮成长
"
throng,"n. 群, 人群, 群集, 众多
a. 拥挤的
vi. 群集, 蜂拥
vt. 在...群集, 使拥塞"
toil,"n. 辛苦, 苦工, 网, 罗网, 圈套
vi. 苦干, 跋涉"
torrent,"n. 奔流, 倾盆大雨, 倾注, 迸发"
tranquil,a. 安静的
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
transition,"n. 转变, 转换, 变迁, 过渡时期, 临时转调
"
transmission,"n. 传输, 传送, 变速器
"
transmit,"vt. 传输, 传染, 传达, 遗传, 发射, 传播
vi. 发射信号, 留传下来
"
treaty,"n. 条约, 谈判
"
tremendous,"a. 巨大的, 非常的, 可怕的"
trigger,"n. 触发器, 扳机
vt. 触发, 发射, 引起
vi. 松开扳柄
"
trim,"n. 整齐, 情形, 修剪
a. 整齐的
vt. 使整齐, 整理, 修剪
vi. 调整, 见风使舵
"
triumph,"n. 凯旋, 胜利, 欢欣
vi. 得胜, 成功"
tuition,"n. 学费, 讲授"
tumble,"n. 跌倒, 摔跤, 翻斤斗
vi. 翻倒, 摔倒, 倒塌, 滚动, 翻斤斗, 仓促地行动
vt. 使摔倒, 使滚翻, 弄乱"
turbulent,"a. 狂暴的, 骚乱的, 紊乱的"
turf,"n. 草皮, 泥炭, 跑马场
vt. 覆草皮于"
twilight,"n. 暮光, 曙光, 黎明, 黄昏, 微光, 朦胧状态
a. 微明的"
twinkle,"n. 闪烁, 闪耀, 瞬息
vi. 闪烁
vt. 使闪耀"
ultimate,"n. 终极, 根本, 顶点, 基本原则
a. 终极的, 根本的, 极限的, 最远的, 最后的, 最大的"
umbrella,"n. 伞, 雨伞, 保护伞
a. 伞的, 包罗万象的
vt. 用伞遮掩"
unconscious,"a. 未意识到的, 无意识的, 无知觉的
"
undergo,"vt. 遭受, 经历, 忍受
"
underground,"n. 地下, 地铁, 地道, 秘密活动
a. 地下的, 秘密的
adv. 在地下, 秘密地"
urban,"a. 都市的, 住在都市的, 习惯于都市的
"
utter,"a. 全然的, 绝对的, 完全的
vt. 发出声音, 做声, 发表, 发射, 流通"
vaccinate,v. 预防接种
vacuum,"n. 真空, 空间, 真空吸尘器
a. 真空的, 产生真空的, 利用真空的
vt. 用吸尘器打扫"
vague,"a. 含糊的, 不清楚的, 茫然的"
vapor,"n. 汽, 蒸气
vi. 蒸发
vt. 使蒸发"
vapour,"n. 汽, 蒸气
vi. 蒸发, 吹牛
vt. 使蒸发, 使汽化"
vendor,"n. 小贩, 卖主, 自动售货机
"
venture,"n. 冒险, 风险
vt. 敢于, 冒...的危险
vi. 冒险"
venue,"n. 犯罪地点, 审判地, 发生地点"
verify,"vt. 证明, 查证, 证实, 检验, 校验
"
veto,"n. 否决权
vt. 否决, 禁止"
villain,"n. 坏人, 恶棍
"
violate,"vt. 违犯, 亵渎, 违反, 侵犯, 妨碍
"
violence,"n. 猛烈, 暴力, 暴虐, 暴行
"
violent,"a. 暴力的, 猛烈的, 激烈的, 极端的, 凶暴的"
virtually,adv. 事实上
virus,"n. 病毒, 滤过性病毒, 毒害
"
vivid,"a. 生动的, 鲜明的, 鲜艳的, 活泼的, 逼真的, 清晰的"
volcano,n. 火山
vow,"n. 誓约, 誓言, 许愿
vi. 起誓, 发誓, 郑重宣言
vt. 立誓, 起誓要, 郑重地宣布"
wagon,"n. 四轮马车, 货车
"
waggon,"n. 运货车, 四轮运货马车, (英)铁路货车, 流动服务车, 小型客车, 囚车, 童车"
weary,"a. 疲倦的, 萎靡的, 厌倦的, 厌烦的
vt. 使疲倦, 使厌烦
vi. 疲乏, 生厌, 不耐烦"
welfare,"n. 福利, 安宁, 幸福, 福利事业
a. 福利的"
whistle,"n. 口哨, 汽笛, 啸啸声, 口哨声
vi. 吹口哨, 鸣汽笛, 发嘘嘘声
vt. 用口哨或吹哨传意, 用口哨演奏"
withdraw,"vt. 撤回, 取回, 撤消, 使撤退, 拉开, 移开
vi. 撤退, 离开"
witness,"n. 证人, 目击者, 证据, 证词
vt. 目击, 作证, 证明, 表明
vi. 作证人, 作为证据"
workload,"n. 工作量
"
wreck,"n. 失事, 残骸, 破坏
vt. 使失事, 拆毁, 破坏
vi. (船)失事, 营救失事船只"
yearn,"vi. 渴望, 想念, 怀念, 同情"
yell,"vi. 叫喊, 大叫, (齐声)呐喊欢呼
vt. 喊叫着说
n. 叫声, 喊声, 呐喊"
cultural difference,文化差异
cultural discrepancy,无
custom,"n. 习惯, 风俗, 海关, 自定义
a. 定制的
"
melting pot,[化] 熔化锅
salad bowl,n. 色拉盘
hierarchical,"[计] 分级的, 分层的, 层次的"
confrontation,n. 对抗；对质；面对
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
collectivism,"n. 集体主义(制度)
"
individualism,"n. 个人主义, 个人特征
"
backbone,"n. 脊椎, 志气, 骨干, 支柱
"
reputation,"n. 名誉, 名声, 声望
"
humiliate,"vt. 使丢脸, 使蒙羞, 屈辱"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
recognition,"n. 赞誉, 认得, 识别, 承认, 认可, 认识
"
moral,"n. 道德, 品行, 寓意
a. 道德的, 品性端正的, 精神上的"
propriety,"n. 礼貌, 规矩, 适当
"
sensitivity,"n. 敏感, 灵敏度
"
frustrate,"vt. 挫败, 击败, 破坏
a. 无益的, 挫败的, 挫折的"
interfere,"vi. 妨碍, 冲突, 干涉, 抵触
"
commence,"v. (使)开始, 得学位"
permeate,"vt. 弥漫, 渗透, 充满, 影响, 感染
vi. 透入, 散布"
intercultural,a. 不同文化间的
cross-culture,跨文化
stereotype,"n. 铅版, 陈规, 老套
vt. 使用铅版, 把...印制成盲文, 套用老套, 使一成不变"
prejudice,"n. 偏见, 成见, 侵害
vt. 使存偏见, 使有成见, 侵害"
discrimination,"n. 差别, 岐视, 辨别力
"
perception,"n. 知觉, 感觉, 领悟力, 获取
"
generalisation,"n. 概括, 普遍化, 一般化, 归纳"
category,"n. 种类, 类项
"
politician,"n. 政客, 政治家, 从事党派政治的人
"
irrational,"n. 无理数
a. 无理性的, 不合理的"
hatred,"n. 憎恨, 仇恨, 憎恶
"
resentful,"a. 岔恨的, 易怨恨的, 不满的, 显然不满的"
attorney,"n. 代理人, 律师
"
seminar,"n. 研究班, 专题讨论会
"
objective,"n. 目的, 目标, 宗旨, 宾格, 实物
a. 客观的, 如实的, 无偏见的, 宾格的"
subjective,"a. 主观的, 个人的
"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
momentary,"a. 瞬间的, 刹那间的"
spontaneous,"a. 自然的, 自发的, 未经琢磨的
"
enchant,"vt. 施魔法, 使入迷"
inferior,"a. 次等的, 较差的, 下方的, 下级的
n. 部下, 次品, 下标(符号)"
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
saint,"n. 圣徒, 圣人
a. 神圣的
"
therapist,"n. 治疗学家
"
analogous,"a. 类似的, 相似的
"
decisive,"a. 决定性的, 坚定的, 果断的"
mainstream,n. 主流
interaction,"n. 交互作用, 交感
"
cultural identity,文化认同
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
assumption,"n. 假定, 自负, 担任, 假装
"
misunderstanding,"n. 误会, 误解
"
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
"
hesitation,"n. 犹豫, 踌躇, 含糊, 口吃, 暂停
"
awkward,"a. 笨拙的, 棘手的"
initiative,"n. 主动行动, 首创精神, 主动权
a. 自发的, 起始的"
immerse,"vt. 沉浸, 使陷入
"
protectorate,"n. 摄政职位, 摄政政体
"
colony,"n. 殖民地, 移民队
"
primary language,主要语言
deflect,"vt. 转移, 使偏斜
vi. 偏斜"
consultant,"n. 顾问, 征询意见者
"
familiarity,"n. 熟悉, 精通, 亲密"
consent,"n. 同意, 许可
vi. 同意, 赞同"
framework,"n. 结构, 骨架, 参照标准, 准则, 观点
"
negative,"n. 否定, 否定语, 负数, 底片
a. 否定的, 消极的, 负的, 阴性的
n. 负数, 负值
"
positive impact,[网络] 积极影响；正面影响；正面的影响
negotiation,"n. 谈判, 磋商, 交涉
"
domestic,"a. 家庭的, 国内的, 驯养的
"
linguistic implication,无
slogan,"n. 呐喊声, 标语, 口号"
blunder,"n. 大错, 大失策
vi. 失策, 跌跌撞撞地走, 犯错
vt. 做错"
harmonious relationship,[网络] 和睦关系；和谐关系
premise,"n. 前提, 房屋连地基, 上述各项
vt. 预先提出, 引出, 作为...的前提
vi. 作出前提"
explicit,"a. 详述的, 清楚的, 直言的"
implicit,"a. 暗示的, 含蓄的, 固有的, 绝对的
"
vague,"a. 含糊的, 不清楚的, 茫然的"
microscope,"n. 显微镜
"
connotation,"n. 含蓄, 内涵"
advertorial,n. 社论式广告( 指常作为杂志中心插页的正式广告文字)
dominant,"a. 占优势的, 支配的
"
ideology,"n. 思想体系, 意识形态, 观念学, 空论
"
rebellious,"a. 造反的, 反抗的
"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
aspiration,"n. 热望, 志向, 渴望
"
slang,"n. 俚语
v. 辱骂, 用俚语说"
metaphor,n. 隐喻
stumbling block,"障碍物, 绊脚石"
confusion,"n. 混乱, 混淆, 无秩序
"
conditional,"a. 有条件的, 有前提的
"
hypothetical,"a. 假设的, 有待证实的, 假定的, 有前提的
"
variation,"n. 变更, 变化, 变种, 变奏
"
cultural variable,无
acquaintance,"n. 认识, 相识者"
insult,"n. 侮辱, 无礼, 损害
vt. 损害, 侮辱, 攻击"
guideline,"n. 指导路线, 方针, 指标
"
drawback,"n. 缺点, 退税
"
pertinent,"a. 相关的, 中肯的, 切题的
"
plain,"n. 平原, 草原, 朴实无华的东西, 无格式
a. 简单的, 明白的, 平常的, 不好看的, 朴素的, 清晰的, 普通的, 平坦的, 十足的
adv. 清楚地, 显然地
"
courtroom,"n. 法庭, 审判室
"
high,"n. 高度, 高处
a. 高的, 高级的, 主要的, 高尚的, 高原的, 高音的, 昂贵的, 傲慢的
adv. 高度地, 奢侈地"
low context,[网络] 低语境；低情境；低脉络
spectrum,"n. 光谱, 范围, 系列
"
banner,"n. 旗帜
a. 显著的, 特别好的"
masculine,"n. 阳性, 男性
a. 男性的, 阳性的, 有丈夫气的"
feminine culture,无
competitiveness,[经] 竞争
assertiveness,"n. 魄力, 自信"
material possession,[网络] 材料占有
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
"
display,"n. 显示, 陈列, 炫耀, 显示器
vt. 陈列, 显示, 表现, 夸示
"
encroach,"vi. 侵犯, 侵蚀, 蚕食
"
democracy,"n. 民主政治, 民主主义
"
entity,"n. 实体, 实存物, 存在
"
demography,"n. 人口统计学
"
assimilation,"n. 同化, 同化作用, 吸收
"
geography,"n. 地理学, 地理
"
worldview,n. 看; 视力; 观点; 目的
tribe,"n. 宗族, 部落, 一群人
"
civilisation,"n. 文明, 文明世界, 文化, 开化, 教化"
dimension,"n. 尺寸, 次元, 面积, 维数
vt. 标出尺寸"
dynamic,"a. 动态的, 有活力的, 有力的, 动力的, 不断变化的
n. 动力, 动态
"
probe,"n. 探索, 调查, 探针, 探测器
v. 用探针探测, 调查, 探索"
acknowledgment,"n. 承认, 答谢, 认可, 谢礼, 收到的通知, 收到的回音, 谢意
"
systematic,"a. 有系统的, 分类上的, 体系的
"
opponent,"n. 对手, 敌手, 反对者
a. 敌对的, 反对的, 对面的"
prism,"n. 棱镜, 棱柱
"
inherit,"vt. 继承, 遗传
vi. 接受遗产"
norm,"n. 基准, 模范, 标准, 准则, 平均数
"
reiterate,"vt. 反复地说, 重申, 反复地做
"
cultural distinctiveness,无
costume,"n. 装束, 服装"
historical heritage,[网络] 历史遗产；历史文物；历史遗产地
trait,"n. 特征, 特性, 一笔, 少许"
cumulative,"a. 累积的
"
perpetual,"a. 永久的, 不断的, 无期限的, 没完没了的, 四季开花的
"
subtraction,"n. 减少
"
static,"n. 静电, 静电干扰
a. 静态的, 静止的, 固有的, 静电的"
isolation,"n. 隔绝, 孤立, 隔离
"
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
territory,"n. 领土, 领地, 版图, 地区, 活动范围
"
household,"n. 一家人, 家庭, 家族, 王室
a. 家庭的, 家常的, 王室的"
inevitable,"a. 不可避免的, 必然的
"
indigenous,"a. 本土的, 国产的, 固有的
"
arbitrary,"a. 任意的, 武断的, 专治的, 霸道的"
ethnical,"a. 种族的, 异教徒的, 人种学的"
manifestation,"n. 显示, 证明, 示威运动
"
artifact,"n. 人工制品
"
artefact,"n. 人工制品, 制造物, 人为现象, 膺象, 矫作物, 古代文物
"
reinforce,"vt. 加强, 增援, 补充
vi. 求援, 得到增援
n. 加固材料"
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
solidify,"v. (使)凝固, (使)团结, 巩固"
accustom,vt. 使习惯于
ethnocentrism,n. 民族优越感
tendency,"n. 趋向, 倾向
"
empathy,"n. 移情作用, 共鸣
"
commonality,"n. 共同特性, 平民百姓"
swarm,"n. 群, 大群, 蜂群, 分蜂群
vi. 分群, 群集, 聚集一块, 云集, 攀
vt. 挤满, 爬, 攀"
crane,"n. 鹤, 起重机
vt. 伸颈, 起重机起吊
vi. 伸颈看, 迟疑"
intimidate,"vt. 威胁, 恐吓
"
hurdle,"n. 障碍, 跳栏, 临时活动篱笆
vt. 用篱笆围, 越过, 克服"
bail out,"na. 保释(被告)；委托(货物)；(从飞机上)跳伞
"
idiolect,n. 个人言语方式
sarcastic,"a. 讽刺的, 讥讽的"
potent,"a. 有力的, 有说服力的, 有效的
"
index finger,"[医] 食指, 示指"
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
"
flirtatious,"a. 爱调戏的, 轻浮的"
prolong,"vt. 延长, 拖延, 拖长
"
peril,"n. 危险, 冒...之险, 险境, 险因
vt. 置...于险境, 冒险, 危及"
punctuality,"n. 严守时间, 正确"
jealous,"a. 嫉妒的, 羡慕的, 留心的, 戒备的"
intuitive,a. 直觉的
parody,"n. 打油诗文, 诙谐的模仿诗文, 拙劣的模仿
vt. 拙劣模仿, 作模仿诗文"
withdrawal,"n. 提款, 撤退, 退回, 撤消, 退隐, 戒毒过程
"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
bow,"n. 弓, 眼睛框
v. 用弓拉琴, 弯成弓形
n. 鞠躬, 屈服"
vulgar,"a. 粗俗的, 庸俗的, 普通的, 通俗的, 方言的
"
abusive,"a. 恶言谩骂的, 被滥用的, 腐败的, 虐待的"
salutation,"n. 招呼, 寒喧, 问候"
interruption,"n. 打扰, 中断, 障碍物
"
default,"n. 违约, 不履行责任, 缺席, 默认值
v. 疏怠职责, 缺席, 拖欠, 默认
"
deference,"n. 顺从, 尊重"
hostility,"n. 敌意, 敌对, 反对"
extraordinary,"a. 非常的, 特别的, 非凡的
"
intimate,"a. 亲密的, 私人的, 秘密的
vt. 暗示, 通知, 告诉
n. 至交"
rapport,"n. 关系, 融洽, 一致
"
preamble,"n. 引言, 序文, 前言
"
sequence,"n. 序列, 续发事件, 顺序, 连续
vt. 按顺序排好
"
resilience,"n. 弹回, 有弹力, 恢复力
"
aesthetic,"a. 美学的, 审美的, 有美感的"
cuisine,"n. 烹调风格, 烹调法, 烹饪, 厨房"
ethnicity,n. 种族划分
heterogeneity,"n. 异种, 异质, 不同成分
"
mandatory,"a. 命令的, 托管的
"
influx,"n. 流入, 河口, 汇集
"
chauvinism,"n. 盲目的爱国主义, 沙文主义
"
grandeur,"n. 庄严, 伟大, 壮丽"
ascendancy,"n. 优势, 支配地位"
urbanization,"n. 都市化
"
autonomy,"n. 自治, 自治权
"
metropolitan,"n. 大都市居民, 都主教, 宗主国的公民
a. 大都市的, 都主教区的, 宗主国的"
lesbian,"a. 女同性恋的
n. 女同性恋者"
homosexual,"a. 同性恋的
n. 同性恋者"
architectural,"a. 有关建筑的, 建筑学的"
theatrical,"a. 剧场的, 夸张的, 戏剧性的
n. 戏剧演出"
vibrate,"vi. 振动, 颤动, 激动, 摇摆, 踌躇
vt. 使颤动, 使振动, 使摆动"
repression,"n. 抑制, 压抑, 制止
"
colloquial,"a. 会话的, 口语的, 口语体的"
couturier,"n. 时髦女服商店, 时髦女服商/女设计师"
mass manufacture,大量制造
innovation,"n. 改革, 创新
"
luxury,"n. 奢侈, 豪华
a. 奢侈的, 豪华的"
immortalize,"vt. 使不灭, 使名垂千古"
neoclassicism,n. 新古典主义
genre,"n. 类型, 流派"
dissent,"n. 异议
vi. 持异议, 不同意"
subordinate,"n. 属下, 附属物
a. 下级的, 次要的, 附属的
vt. 使居下位, 使服从"
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
converse,"n. 相反的事物, 倒, 逆向
a. 相反的, 逆向的, 颠倒的
vi. 交谈, 谈话"
the Eiffel Tower,[网络] 埃菲尔铁塔；巴黎铁塔；法国艾菲尔铁塔
authoritarian,"a. 独裁的, 独裁主义的"
ambiguity,"n. 不明确, 含糊
"
ultimate,"n. 终极, 根本, 顶点, 基本原则
a. 终极的, 根本的, 极限的, 最远的, 最后的, 最大的"
mishap,"n. 不幸之事, 灾祸, 恶运"
animate,"vt. 使有生气, 赋予生命
a. 有生命的, 有生气的"
stiff,"a. 坚硬的, 严厉的, 呆板的, 生硬的, 刚强的, 强烈的, 粘的, 稠的, 艰难的
n. 死尸, 醉鬼, 钞票
vt. 不肯付...小费"
intention,"n. 意图, 目的, 含义
"
projection,"n. 发射, 计划, 突出部分, 设计, 推测
"
credentials,"n. 信任状, 国书, 文件, 身份证明, 证书
"
oratory,"n. 演讲, 雄辩术, 演讲术, 雄辩"
brevity,"n. 短暂, 简短"
slump,"n. 暴跌, 垂头弯腰的姿态
vi. 猛然掉落, 陷入, 衰落(经济等)"
extrovert,"n. 外向性格的人
"
introvert,"n. 个性内向者
vt. 使内向, 使内弯, 内陷
vi. 内省, 内弯
a. 性格内向的"
frown,"n. 皱眉
vi. 皱眉头
vt. 皱眉表示"
nonverbal communication,"un. 非话通信
"
special relation,无
cue,"n. 提示, 线索
vt. 给...暗示(或提示)
"
overt,"a. 明显的, 公然的, 蓄意的
"
inflict,"vt. 施以, 加害, 使承受
"
incongruous,"a. 不协调的, 不一致的, 不合适的"
grief,"n. 伤心, 忧愁, 悲痛, 不幸, 灾难"
sorrow,"n. 悲伤, 哀惜, 不幸
vi. 悲伤, 懊悔, 遗憾"
proxemics,[复] n.[用作单][社]空间关系学
condescension,"n. 屈尊, 傲慢态度"
lexicon,"n. 词汇, 词典, 辞典
"
semantics,n. [语]语义学；语义论
phonology,"n. 音系学, 历时音系学
"
dialect,"n. 方言, 同源语"
Anglo-Saxon,"n. 五世纪左右移居英国的日耳曼族人民；盎格鲁撒克逊族；盎格鲁撒克逊语
adj. 盎格鲁撒克逊族"
renaissance,"n. 复活, 复兴, 文艺复兴
a. 文艺复兴的"
Norman,"adj. 诺曼第人的；诺曼第语的
n. 法国诺曼第人"
convert,"n. 皈依者, 改变宗教信仰者
vt. 使改变信仰, 转换, 兑换, 倒置
vi. 皈依
"
Christianity,"n. 基督教, 基督教精神"
implementation,"n. 安装启用, 实行, 履行
"
evolve,"vi. 进展, 进化, 展开
vt. 使发展, 使推断出, 使进化"
regulate,"vt. 管理, 控制, 调节, 调整, 校准
"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
universal,"a. 全世界的, 普遍的, 宇宙的, 通用的
n. 一般概念"
elementary,"a. 初步的, 基本的
"
preposition,"n. 前置词, 介词"
conjunction,"n. 连接词, 联合, 结合
"
comma,"n. 逗点, 逗号"
etymology,"n. 语源, 语源学"
transient,"n. 瞬, 短期居留者, 过境鸟, 瞬变现象
a. 短暂的, 易变的, 瞬变的, 路过的
"
substitution,"n. 代替, 替换, 代替物
"
consonant,"n. 辅音
a. 一致的, 调和的"
analects,"n. 文选, 论集"
romance,"n. 冒险故事, 浪漫史, 传奇文学
vi. 写传奇, 作空想, 虚构"
ideographic language,无
pronunciation,"n. 发音, 读法"
informative,"a. 提供消息的, 见闻广博的"
entropy,"n. 熵
"
alphabet,"n. 字母
"
corresponding,"a. 相当的, 一致的, 通信的
"
silent reading,默读
vigorous,"a. 精力充沛的, 元气旺盛的, 茁壮的, 有力的"
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
"
volume,"n. 册, 卷, 体积, 容量, 大量, 许多, 份量, 音量
vi. 成团卷起
vt. 把...收集成卷
a. 大量的
"
synonym,n. 同义词
prodigious,"a. 庞大的, 惊人的, 异常的"
prefix,"前缀, 称谓
"
suffix,"n. 后缀, 下标
vt. 添后缀
"
fixation,"n. 定置, 固定, 定色
"
vaunt,"v. 自夸
n. 自吹自擂"
dispense,"vt. 分发, 分配
vi. 特许, 豁免"
contentious,"a. 好争吵的, 爱争论的, 有异议的
"
mastery,"n. 征服, 统治权, 优势, 精通, 掌握
"
subtle,"a. 敏锐的, 精细的, 狡猾的, 稀薄的, 灵巧的, 微妙的
"
tonal,"a. 音调的, 色调的"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
notorious,"a. 声名狼藉的, 臭名昭著的, 众人皆知的"
diacritical,"a. 区分的, 可区别的
"
homophone,n. 同音异形异义字
cosmopolitan,"a. 世界主义的, 世界性的, 全世界的, 遍生的, 不偏狭的, 卓有见识的
n. 世界主义者, 世界性"
jargon,"n. 专门术语, 行话, 梦话, 土语
"
concise,"a. 简洁的, 简明的"
legitimacy,"n. 合法, 正统, 正当
"
substance,"n. 物质, 实质, 主旨, 资产, 本质, 牢固
"
intrinsic,"a. 本质的, 原有的, 真正的
"
plethora,"n. 过多, 过剩, 多血症
"
elaborate,"a. 精细的, 详尽的, 精心计划(或制作)的
vt. 详细地说明, 用心地制作, 发挥
vi. 变复杂, 作详细说明"
proficiency,"n. 精通, 熟练, 精练"
conjugation,"n. 结合, 配合, 动词的词形变化
"
idiom,"n. 习语, 成语, 惯用语法, 方言"
prevalent,"a. 普遍的, 流行的"
podcast,n. 播客
spur,"n. 马刺, 刺激物, 鼓舞
vt. 刺激, 激励, 用马刺策(马)前进
vi. 用马刺驱马, 疾驰"
intermediate,"n. 中间物, 调停者, 中级
a. 中间的, 中级的
vi. 起媒介作用
"
foothold,"n. 立足处, 据点, 根据地"
transliterate,"vt. 字译, 按另一字母体系拼出, 翻译
"
nuance,n. 细微差别
approx,abbr. 大约（Approximate）
particle,"n. 颗粒, 粒子, 质点, 极小量
"
diligent,"a. 勤勉的, 用功的"
decipher,"vt. 译解, 解释
n. 密电译文"
transcribe,"vt. 抄写, 译, 意译, 录制, 改编
"
equatorial,"a. 近赤道的, 赤道的
"
mariachi,"墨西哥流浪乐队艺人, 墨西哥流浪乐队"
intensive learning,无
extensive learning, 博学; 茹古含今
formulate,"vt. 用公式表示, 明确叙述, 制订
"
succinct,"a. 简洁的, 紧缩的"
presupposition,"n. 预想, 假定, 预先推测"
vocal communication,声音传讯
circumscribe,"vt. 在...周围画线, 限制"
organ,"n. 风琴, 器官, 元件, 机构, 机关
"
precise,"a. 精确的, 严谨的, 明确的
"
intelligibility,"n. 可理解性, 明了
"
dividing line,"分界线,界限"
impede,"vt. 妨碍, 阻碍, 阻止"
infancy,"n. 幼年, 初期, 幼儿期
"
facilitate,"vt. 使容易, 促进, 帮助
"
syntax,"n. 句法, 语法, 句子构造
"
morphology,"n. 形态学, 词法, 形态
"
pragmatic,"a. 忙碌的, 爱管闲事的, 自负的, 固执己见的, 实际的, 务实的, 国事的, 国务的
"
infiltrate,"vt. 使浸润, 使潜入, 使渗入
vi. 渗入
n. 渗透物"
encompass,"vt. 围绕, 完成, 包括, 包含, 环绕, 包围"
complacency,"n. 满足, 自鸣得意, 自满"
lingua franca,"n. 混合语, 任何混合国际商业用的语言"
equitable,"a. 公平的, 公正的
"
subjugation,"n. 征服, 镇压, 平息
"
galvanize,"vt. 通电, 镀锌, 使...感到震惊"
imperial,"a. 帝王的, 宗主国的, 至尊的, 壮丽的
n. 特等品"
supremacy,"n. 至高无上, 霸权地位, 优势, 至上
"
teething,"n. 出牙, 出牙现象
"
mimic,"a. 模仿的, 摹拟的
n. 效颦者, 模仿者, 小丑, 仿制品
vt. 模仿, 摹拟"
wiggle,"v. 扭动着行进, 摆动
n. 扭动, 摆动"
clench,"n. 牢牢抓住, 钉紧, 敲弯钉尖
vt. 紧握, 牢牢地抓住, 确定, 敲弯
vi. 握紧, 钉牢"
fussy,"a. 易怒的, 爱挑剔的, 难取悦的, 易烦恼的"
lethargic,"a. 昏睡的, 无生气的, 泠漠的, 冷淡的
"
fatigue,"n. 疲乏, 疲劳
vt. 使疲劳, 使心智衰弱
vi. 疲劳
a. 疲劳的"
scenario,"n. 剧本提纲, 情节, 剧本, 方案, 事态
"
