abscissa,"n. 横坐标
"
ultimate,"n. 终极, 根本, 顶点, 基本原则
a. 终极的, 根本的, 极限的, 最远的, 最后的, 最大的"
simultaneously,"adv. 同时发生, 一齐, 同时, 同时存在"
synchronize,"vt. 使同步, 使合拍
vi. 同时发生
"
sequence,"n. 序列, 续发事件, 顺序, 连续
vt. 按顺序排好
"
imminent,"a. 即将来临的, 逼近的"
instantaneous,"a. 即时的, 瞬间的, 猝发的
"
precaution,"n. 预防, 留心, 警戒
vt. 预先警告"
precede,"vt. 在...之前, 优于, 较...优先
vi. 在前面"
predate,"vt. 倒填...的日期, 把...的日期填早, 在日期上早于, 在日期上先于
"
predecessor,"n. 前任, 先辈, 前身
"
preliminary,"n. 初步做法, 初步措施, 预试, 预选赛
a. 初步的, 开始的, 预备的"
previous,"a. 早先的, 前面的, 过急的
"
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
"
primordial,"a. 原始的, 自原始时代的
"
proactive,a. 〈心理〉前摄的
prompt,"n. 激励, 提示, 提醒物, 提词, 付款期限
a. 迅速的, 敏捷的, 立刻的, 提词员的
vt. 激励, 鼓动, 提示
adv. 准时地
"
unprecedented,"a. 空前的
"
dense,"a. 密集的, 浓厚的"
intimate,"a. 亲密的, 私人的, 秘密的
vt. 暗示, 通知, 告诉
n. 至交"
replete,"a. 装满的, 充满的, 充实的, 吃饱的"
drastic,"a. 激烈的
"
emergent,"a. 紧急的, 浮现的, 出现的, 自然发生的
"
enormous,"a. 巨大的, 庞大的"
exaggerate,"v. 夸大, 夸张"
excessive,"a. 过度的, 过多的, 极端的
"
exhaustive,"a. 消耗的, 枯竭的, 彻底的, 详尽的"
exorbitant,"a. 过度的, 过高的, 过分的"
immoderate,"a. 无节制的, 过度的, 不合理的, 过分的"
extremely,"adv. 极端地, 非常地"
radical,"n. 激进分子, 词根, 基础, 根式, 根
a. 激进的, 根本的, 基本的, 根的"
rudimentary,"a. 基本的, 起码的, 初步的, 发展不完全的, 残留的, 退化的
"
thorough,"a. 十分的, 彻底的"
ingrained,"a. 根深蒂固的, 彻底的, 深染的"
underlying,"a. 在下面的
"
intact,"a. 尚未被人碰过的, 原封不动的, 完整的
"
moderate,"a. 适度的, 稳健的, 中等的, 节制的
vt. 节制, 减轻, 使缓和
vi. 变缓和, 主持会议"
permissive,"a. 许可的, 获准的, 宽容的, 放任的, 放纵的, 允许选择的, 自由的
"
pertinent,"a. 相关的, 中肯的, 切题的
"
immature,"a. 不成熟的, 未完全发育的, 粗糙的
"
mature,"a. 成熟的, 到期的, 充分考虑的
vt. 使成熟
vi. 成熟, 到期"
premature,"a. 早产的, 过早的, 不成熟的
n. 早产儿, 过早发生的事物"
coverage,"n. 覆盖的范围, 保险总额, 新闻报导
"
extent,"n. 范围, 程度, 区域
"
incidence,"n. 发生, 发生率, 影响, 负担者, 入射, 倾角
"
span,"n. 指距, 全长, 跨距, 一段时间, 小范围
vt. 以手指测量, 跨越, 架设, 持续"
extensive,"a. 广的, 广泛的, 多方面的
"
pervasive,"a. 普遍的, 流行的, 到处蔓延的, 到处渗透的"
universal,"a. 全世界的, 普遍的, 宇宙的, 通用的
n. 一般概念"
widespread,"a. 充分伸展的, 广布的, 普及的, 流传广的"
endemic,"n. 地方病
a. 某地(或某些人中)流行的, 地方的"
in-house, 内部的; 室内的
residential,"a. 住宅的, 与居住有关的
"
phase,"n. 时期, 局面, 方面, 位相, 相, 阶段
vt. 使调整相位, 使定相, 使一致, 逐步执行, 实行
"
exception,"n. 例外, 除外, 异议
"
external,"n. 外部, 外面
a. 外部的, 客观的, 表面的"
extrinsic,"a. 外在的, 外来的, 非国有的, 外表的
"
outermost,"a. 最外面的, 最远离中心的"
outmost,"a. 最外面的
"
without,"prep. 没有, 不, 在...之外
adv. 在外面, 户外
n. 外面, 外部"
frontal,"a. 前面的, 正面的, 额的
n. 额骨, 祭坛(前面的)帏帘, (建筑物的)正面"
interior,"n. 内部, 内政
a. 内部的, 心灵的, 内地的, 内政的"
lateral,"n. 侧部, 支线, 边音
a. 侧面的, 旁边的"
unilateral,"a. 单方面的, 单边的, 片面的
"
verge,"n. 边缘, 边界, 起始点
vi. 处在边缘, 接近, 下沉, 趋向"
wayside,"n. 路旁
a. 路旁的"
proximity,"n. 接近, 亲近"
vicinity,"n. 附近, 邻近, 附近地区, 近处
"
outskirts,"n. 近郊, 市郊"
suburban,"a. 郊外的, 郊区的, (贬)偏狭的, 土气的, 见识不广的
n. 郊区居民"
interstate,"a. 州际的
"
underlie,"vt. 位于...之下, 成为...的基础"
colorize,vt. 使...有色彩
hue,"n. 样子, 色度, 色彩, 叫声, 色调
"
monochrome,"n. 单色画, 单色, 黑白
a. 单色的, 黑白的
"
immense,"a. 极广大的, 无边的, 非常好的"
jumbo,"n. 庞然大物
a. 巨大的"
metropolitan,"n. 大都市居民, 都主教, 宗主国的公民
a. 大都市的, 都主教区的, 宗主国的"
prodigious,"a. 庞大的, 惊人的, 异常的"
sensational,"a. 使人感动的, 非常好的"
titanic,"a. 四价钛的
"
tremendous,"a. 巨大的, 非常的, 可怕的"
peerless,"a. 无比的, 出类的, 无双的"
unparalleled,"a. 无比的, 无双的, 空前的"
predominate,"vt. 掌握, 控制, 支配
vi. 占主导地位, 占优势"
miniature,"n. 缩图, 小画像
a. 小规模的, 纤小的"
dispassionate,"a. 冷静的, 不带感情的"
equitable,"a. 公平的, 公正的
"
impartial,"a. 公平的, 不偏不倚的
"
impartiality,"n. 公平, 无私, 不偏
"
impersonal,"a. 客观的, 和个人无关的, 没有人情味的, 非人称的
n. 非人称动词(或代词)"
soundness,"n. 完全坚固, 稳固, 公正
"
neutral,"n. 中立者, 中立国, 非彩色, 空档
a. 中立的, 中性的, 无色的"
procedure,"n. 程序, 过程, 手续
"
constitute,"vt. 构成, 组成, 任命
"
formation,"n. 形成, 构造, 编队
"
frame,"n. 框, 结构, 体格
vt. 构成, 设计, 制定, 使适合, 陷害
"
framework,"n. 结构, 骨架, 参照标准, 准则, 观点
"
platform,"n. 站台, 月台, 讲台, 论坛, 平台
"
scenario,"n. 剧本提纲, 情节, 剧本, 方案, 事态
"
skeleton,"n. 骨骼, 骨瘦如柴的人, 梗概, 骨干, 残骸
a. 骨骼的, 概略的, 基层的, 骨干的
"
inflection,"n. 屈曲, 变调, 音调变化"
live,"a. 活的, 生动的, 精力充沛的, 实况转播的
vi. 活, 生存, 居住
vt. 过着, 度过, 经历
adv. 实况地"
retention,"n. 保持, 留置, 保留, 保持力, 保留物, 记忆, 停滞, 固位
"
static,"n. 静电, 静电干扰
a. 静态的, 静止的, 固有的, 静电的"
stationary,"a. 不动的, 静止的, 不变的, 固定的, 停留的
"
status quo,n. 现状
status quo ante,"[法] 原状, 以前的状态, 旧状"
servitude,"n. 奴隶状态, 惩役, 地役权
"
stiff,"a. 坚硬的, 严厉的, 呆板的, 生硬的, 刚强的, 强烈的, 粘的, 稠的, 艰难的
n. 死尸, 醉鬼, 钞票
vt. 不肯付...小费"
lamellar,"a. 片状的, 层状的
"
oval,"n. 椭圆形
a. 卵形的, 椭圆形的"
plumb,"n. 铅锤, 垂直
a. 垂直的
vt. 使垂直, 探测
vi. 成垂直"
spiny,"a. 多刺的, 尽是尖刺的, 尖刺状的, 麻烦的, 棘手的"
stubby,"a. 又短又秃的(铅笔), 粗而短的(身材), 浓密短硬的(毛发)"
wedge-shaped,楔状
rapidity,"n. 迅速, 急速, 速度"
tempo,"n. 速度, 节奏, 进行速度, (棋的)一着"
hasty,"a. 匆匆的, 轻率的, 性怠的"
abridge,"vt. 缩短, 删节, 减少, 剥夺
"
alleviate,"vt. 减轻, 使缓和"
curtail,"vt. 缩减, 剥夺, 简略
"
cutback,"n. 情节倒叙, 减少, 短截植物
"
decelerate,v. (使)减速
deduct,"vt. 扣除, 减去
"
deduction,"n. 减除, 扣除, 减除额, 推论
"
diminish,"v. (使)减少, (使)变小"
diminution,"n. 减少, 缩小, 减低
"
reduction,"n. 减少, 缩影, 变化
"
dwindle,"vi. 减少, 缩小, 衰落
vt. 使缩小"
minimize,"vt. 将...减到最少
vt. 最小化
vi. 最小化
"
debilitate,vt. 使衰弱
disarm,"vt. 解除武装, 裁军, 缓和
vi. 放下武器"
ease,"n. 安乐, 安逸, 悠闲
vt. 使安乐, 使安心, 减轻, 放松
vi. 减轻, 放松, 灵活地移动"
mitigate,"vt. 温和, 缓和, 减轻
"
subdue,"vt. 使服从, 压制, 减弱, 抑制, 克制"
sap,"n. 树液, 体液, 活力, 坑道, 消弱, 警棍
vt. 使排出体液, 使伤元气, 使衰竭, 挖坑道逼近, 逐渐侵蚀
vi. 挖坑道, 消弱
"
discount,"n. 折扣, 贴现率
vt. 打折扣
vi. 贴现"
downsizing,[计] 小型化
relegate,"vt. 驱逐, 使降低地位, 把...归类, 把...委托给
"
impair,"vt. 损害, 减少, 削弱
"
retard,"n. 阻止, 延迟
vt. 妨碍, 延迟, 使减速
vi. 减速, 延迟"
regressive,"a. 后退的, 退化的, 回归的
"
steep,"n. 浸渍, 悬崖
a. 险峻的, 陡峭的, 急剧升降的, 夸大的
v. 浸, 泡"
accelerate,"v. 加速, 促进"
accretion,"n. 自然增大, 添加, 添加物, 连生
"
accrue,"vi. 自然增加, 产生
"
additional,"a. 附加的, 另外的, 额外的
"
enhance,"vt. 提高, 加强, 增加"
upgrade,"n. 上坡, 升级, 上升
adv. 往上
vt. 使升级, 提升, 改良品种
vi. 升级
"
upsurge,"vi. 高涨, 涌起
n. 增长, 高潮"
upturn,"n. 情况好转, 向上趋势
v. (使)向上, 转朝上, 翻转"
zoom,"n. 急速上升, 变焦摄影, 嗡嗡声
vi. 猛增, 急速上升, 摄象机移动
vt. 使摄象机移动
"
boom,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
maximize,"vt. 取...最大值, 使增加(或扩大)到最大限度
"
burgeon,"n. 芽, 嫩枝
v. 萌芽, 发芽"
aggravate,"vt. 使恶化, 使更严重, 加重"
exacerbate,"vt. 使恶化, 使增剧, 激怒, 使加剧"
consolidate,"vt. 巩固, 使联合, 统一
vi. 巩固
"
fortify,"vt. 设要塞于, 加强, 使坚强, 增加
vi. 筑防御工事"
intensify,"vt. 加强
vi. 强化"
reinforce,"vt. 加强, 增援, 补充
vi. 求援, 得到增援
n. 加固材料"
strengthen,"vt. 加强, 变坚固
vi. 变强, 股票上涨"
substantiate,"vt. 使实体化, 证实
"
additive,"a. 添加的, 附加的, 加法的, 累积的
n. 添加物"
agglomeration,"n. 结块, 聚结, 大块
"
amass,"vt. 积聚, 堆积"
amplify,"vt. 增强, 放大, 扩大, 详述
vi. 引伸"
broaden,"vi. 变宽, 扩大
vt. 放宽, 使扩大"
bulge,"n. 胀, 膨胀
vi. 凸出
vt. 使膨胀"
enrich,"vt. 使富足, 使肥沃"
escalate,"vi. 逐步扩大, 逐步升高, 逐步增强
vt. 使逐步上升"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
swell,"n. 增大, 隆起的部分, 巨浪, 肿胀
a. 优秀的, 一流的
vi. 增大, 膨胀, 肿胀, 增强, 骄傲
vt. 使膨胀, 使增大, 使上涨, 使骄傲"
prolong,"vt. 延长, 拖延, 拖长
"
expedite,"vt. 加快, 促进, 发出
a. 畅通的, 无阻碍的, 迅速的, 方便的"
adaptation,"n. 适应, 改编, 改编本
"
amend,"vt. 修改, 改善, 改良
vi. 改过自新"
revise,"n. 校订, 修正, 改样
vt. 校订, 修正, 校正"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
convert,"n. 皈依者, 改变宗教信仰者
vt. 使改变信仰, 转换, 兑换, 倒置
vi. 皈依
"
diversion,"n. 转移
"
distract,"vt. 转移, 分心, 使发狂"
distort,"vt. 扭曲, 歪曲
"
fluctuate,"vi. 变动, 起伏, 动摇
vt. 使波动, 使动摇"
innovation,"n. 改革, 创新
"
metamorphose,"vt. 使变形, 使变态, 使变质
vi. 变形, 变质"
mutation,"n. 变化, 突变, 元音变化
"
perversion,"n. 走入邪路, 败坏, 堕落, 违反常情, 变态, 反常, 误用, 滥用, 歪曲, 颠倒
"
renovate,"vt. 更新, 革新, 刷新, 修复, 使恢复活力"
switch,"n. 开关, 电闸, 转换, 软枝, 鞭子, 道岔
vt. 转变, 切换, 摆动, 转换, 使转轨
vi. 转换, 变换, 摆动
"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
upheaval,"n. 举起, 隆起, 大变动, 剧变"
variation,"n. 变更, 变化, 变种, 变奏
"
variety,"n. 多样, 种类, 变种, 杂耍
"
volatile,"a. 挥发性的, 可变的, 不稳定的, 飞行的, 轻快的, 爆炸性的
n. 有翅动物, 挥发物
"
impressionable,"a. 易感的, 敏感的, 可塑的"
invariable,"n. 不变的东西, 常数
a. 不变的, 常数的"
decent,"a. 有分寸的, 得体的, 大方的"
malleable,"a. 有延展性的, 可锻的
"
absenteeism,"n. 经常无故缺席, 旷职, 旷工, 旷课
"
avoidance,"n. 避免, 避开, 逃避
"
circumvent,"vt. 绕行, 陷害, 包围, 智取"
elude,"vt. 逃避, 规避, 把...难倒"
elusive,"a. 难懂的, 易忘的, 难以捉摸的"
eschew,"vt. 避开, 远避"
indispensable,"n. 不可缺少之物
a. 不可缺少的, 责无旁贷的, 绝对必要的"
inevitable,"a. 不可避免的, 必然的
"
sidestep,"n. 横跨的一步, 台阶
vt. 横跨一步躲避, 回避
vi. 回避问题, 躲避打击"
activate,"vt. 使活动, 使激活, 正式建成
vi. 有活力"
actuate,"vt. 开动, 驱使, 激励"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
impetus,"n. 动力, 推动力, 动量
"
incentive,"n. 动机
a. 激励的"
promote,"vt. 促进, 晋升, 创办, 推销
"
trigger,"n. 触发器, 扳机
vt. 触发, 发射, 引起
vi. 松开扳柄
"
spur,"n. 马刺, 刺激物, 鼓舞
vt. 刺激, 激励, 用马刺策(马)前进
vi. 用马刺驱马, 疾驰"
stimulate,"vt. 刺激, 激励, 鼓舞
vi. 起刺激作用"
breakthrough,"n. 突破
"
impulse,"n. 冲动, 驱使, 刺激, 推动, 冲力, 建议, 脉冲
vt. 推动"
groundbreaking,"a. 开创性的, 突破性的"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
expectation,"n. 期待, 指望, 展望
"
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
"
foresee,"vt. 预见, 预知"
inspiration,"n. 灵感, 鼓舞人心的人或物, 妙计, 吸气
"
omen,"n. 预兆, 前兆, 征兆
vt. 预示, 有...的前兆, 显出...的预兆"
portend,"vt. 成为...的前兆, 预知, 给与...的警告"
precursor,"n. 先驱者, 前导, 前兆
"
prediction,"n. 预言, 预报
"
symptom,"n. 症状, 征候, 征兆
"
estimate,"n. 估计, 判断
vt. 估计, 评价, 判断
vi. 估计"
prescient,"a. 预知的, 有先见之明的"
prospective,"a. 预期的, 将来的
"
assumption,"n. 假定, 自负, 担任, 假装
"
extrapolate,"v. 推断, 外推"
hypothesis,"n. 假设
"
hypothesize,"vt. 假设, 假定"
postulate,"n. 假定, 基本条件
vt. 要求, 假定"
presume,"vt. 假定, 推测, 擅自, 意味着
vi. 擅自行动, 相信"
compile,"vt. 编译, 编辑, 编纂, 收集
"
compress,"vt. 压缩, 压紧
vi. 受压缩小
"
condense,"vt. 使浓缩, 使压缩, 缩短
vi. 浓缩, 凝结"
encapsulate,"vt. 装入胶囊, 封进内部, 压缩
vi. 做成胶囊"
epitome,"n. 概要, 缩影, 象征"
caustic,"n. 腐蚀剂
a. 腐蚀性的"
corrode,"vt. 使腐蚀, 侵蚀, 破坏
vi. 被侵蚀, 起腐蚀作用"
erode,"vt. 腐蚀, 侵蚀
vi. 受腐蚀"
crack,"n. 裂缝, 爆裂声
v. (使)爆裂, (使)裂开, (使)发出爆裂声
a. 第一流的
adv. 啪地一声"
debacle,"n. 崩溃, 大失败"
dismember,"vt. 割断手足, 支解, 分割"
fracture,"n. 破碎, 骨折
v. (使)破碎, (使)破裂"
rupture,"n. 破裂, 断裂, 裂开, 决裂, 不和
v. (使)破裂"
scatter,"n. 消散, 分散, 散播, 散射, 散布, 酒馆
vi. 散布, 散播, 消散
vt. 使消散, 使分散, 撒, 散布, 散播, 散射
"
segregate,"a. 分离的, 被隔离的
vi. 分离, 隔离, 分凝
vt. 使分离, 使隔离"
fissure,"n. 裂缝, 裂沟
v. (使)裂开, (使)分裂"
fragment,"n. 碎片, 破片, 片段
"
fragmentary,"a. 碎片的, 碎屑的, 片断的, 断片的, 碎块的, 不完全的, 不连续的, 不完整的"
partially,"adv. 部分地, 一部分地, 不公平地"
respective,"a. 分别的, 各自的"
crumple,"vt. 弄皱, 压皱
vi. 崩溃, 变皱"
crumble,"v. (使)粉碎, (使)成为碎屑, 瓦解, 崩溃, 败落"
debris,"n. 碎片, 残骸
"
demolish,"vt. 毁坏, 破坏, 粉碎"
disintegration,"n. 瓦解
"
fragile,"a. 易碎的, 脆的
"
decay,"n. 衰退, 腐败
v. (使)衰退, (使)腐败"
degenerate,"a. 堕落的
vi. 退化, 堕落
vt. 使变质, 使退化"
degrade,"v. (使)降级, (使)退化"
deteriorate,v. (使)恶化
delineate,"vt. 描绘...的轮廓, 描绘, 描写"
depict,"vt. 描述, 描写"
elaborate,"a. 精细的, 详尽的, 精心计划(或制作)的
vt. 详细地说明, 用心地制作, 发挥
vi. 变复杂, 作详细说明"
embody,"vt. 具体表达, 使具体化
"
narrator,"n. 讲述者, 叙述者
"
portray,"vt. 描绘, 描写, 描绘...的肖像"
sketch,"n. 素描, 草图, 小品
v. 描绘略图, 画素描或速写"
specify,"vt. 详列, 指定, 说明
"
reiterate,"vt. 反复地说, 重申, 反复地做
"
underscore,"vt. 划线于...下
n. (表强调的)下划线
"
excerpt,"n. 摘录
v. 引用, 摘录"
quotation,"n. 引用语, 语录, 牌价, 报价
"
delinquent,"n. 行为不良的人, 违法者
a. 怠忽的, 有过失的"
erroneous,"a. 错误的, 不正确的
"
flawed,a. 有缺陷的；有裂纹的；有瑕疵的
fallacy,"n. 错误的观念(或信念), 谬见, 谬论
"
fault,"n. 过错, 故障, 毛病
vt. 挑剔
vi. 产生断层, 弄错
"
malfunction,"n. 故障, 失灵, 疾病
vi. 发生故障, 不起作用
"
mishap,"n. 不幸之事, 灾祸, 恶运"
mismatch,"n. 错配
vt. 错配, 使...成不相配的婚姻"
disregard,"n. 忽视, 漠视
vt. 忽视, 不顾"
negligence,"n. 疏忽, 粗心大意, 忽视
"
oversight,"n. 勘漏, 失察, 失败, 照料
"
drain,"n. 排水沟, 消耗, 排水
vt. 排出, 喝光, 耗尽
vi. 排水, 流干"
drift,"n. 漂流物, 漂流, 动向
v. (使)漂流"
drizzle,"n. 细雨
v. 下毛毛雨"
eject,"vt. 逐放, 放逐, 喷射
"
spill,"n. 溢出, 溅出, 摔下, 溢出量, 木片, 小塞子
vt. 使溢出, 使散落, 洒, 使流出, 倒出, 使摔下
vi. 溢出, 涌流, 摔下"
instill,"vt. 滴注, 慢慢地灌输"
irrigate,"vt. 灌溉, 冲洗伤口, 使清新
vi. 灌溉"
implant,"vt. 深植, 灌输, 嵌入
n. 植入物, 植入管"
influx,"n. 流入, 河口, 汇集
"
spray,"n. 水沫, 浪花, 水花, 喷雾, 喷雾器, 小树枝
vt. 喷雾, 扫射, 喷射
vi. 喷, 溅开"
inundate,"vt. 浸水, 泛滥, 淹没, 使充满"
submerge,"vt. 使浸水, 使陷入, 淹没
vi. 潜入水中"
saturate,"vt. 使渗透, 浸透, 使充满, 使饱和
a. 浸透的, 饱和度高的, 深颜色的
n. 饱和化合物, 饱和脂肪酸"
rinse,"n. 清洗, 染发, 染发剂
vt. 以清水冲洗, 漱, 漂清
vi. 被漂净"
scour,"vt. 擦亮, 洗涤, 清洗, 冲刷成, 急速穿过
vi. 擦, 洗, 冲刷, 腹泻, 急速穿行
n. 擦, 洗, 腹泻, 洗涤剂"
scrub,"n. 用力擦洗, 矮树, 矮人, 渺小之物
vt. 用力擦洗, 擦掉, 摩擦
vi. 擦洗干净, 进行手臂消毒
a. 次等的, 矮小的, 非正规球队的, 临时凑合的"
defrost,"vt. 除霜
vi. 解冻"
dip,"v. 浸, 降下, 把(手、勺等)伸入, 舀取
n. 浸, 涉猎
"
evaporate,"vi. 蒸发, 失去水分, 消失
vt. 使蒸发, 使脱水, 使消失"
moisture,"n. 湿气, 水分, 降雨
"
purify,"vi. 变纯净
vt. 使纯净, 净化, 提纯, 精炼"
launder,"n. 流水槽
v. 洗衣, 烫衣"
secrete,"vt. 隐秘, 隐藏, 隐匿, 分泌
"
solvent,"n. 溶剂
a. 有偿付能力的, 有溶解力的"
leakage,"n. 漏, 漏出物, 泄漏
"
mobility,"n. 可动性, 流动性, 机动性
"
osmosis,"n. 渗透作用, 渗透性, 潜移默化, 耳濡目染
"
emanate,"vi. 散发, 发出, 发源"
emit,"vt. 发出, 放射, 发表(意见等), 散发, 发行
"
exhale,"v. 呼气, 发出, 散发"
inhale,"vt. 吸入
vi. 吸气"
fume,"n. 臭气, 烟, 激怒
vt. 熏
vi. 冒烟"
fumigate,"vt. 熏制
"
vent,"n. 排气口, 出口, 通风孔, 发泄
vt. 发泄, 排出, 给...开孔"
fluorescent,"n. 荧光
a. 荧光的"
luminous,"a. 发光的, 明亮的
"
nocturnal,"a. 夜的, 夜曲的
"
optical,"a. 眼睛的, 视觉的, 光学的
"
illuminate,"vt. 照明, 用灯装饰, 阐明, 说明, 使灿烂
vi. 照亮, 用灯装饰"
irradiate,"vt. 照耀, 启发, 使灿烂, 放射
vi. 发光, 变灿烂"
radiate,"vt. 放射, 散发, 辐射, 传播, 广播
vi. 发光, 辐射, 流露
a. 有射线的, 辐射状的"
rekindle,"vt. 再点火, 重新激起
vi. 重新燃烧"
spectrum,"n. 光谱, 范围, 系列
"
campfire,"n. 营火, 营火会"
combustible,"a. 易燃的, 燃烧性的, 易动激情的
n. 易燃物, 可燃物"
ignite,"vt. 点燃, 使灼热, 使兴奋"
ignition,"n. 点火, 点燃
"
incinerate,"vi. 烧成灰, 灰化
vt. 焚化"
sear,"a. 枯萎的, 凋谢的
vt. 烤焦, 使枯萎
vi. 凋谢, 干枯"
weld,"n. 焊接处, 焊接
vt. 焊接, 使密接, 使结合, 使成整体
vi. 焊牢"
abolish,"vt. 废止, 革除, 消灭
"
abrogation,"n. 废除, 取消
"
obsolescence,"n. 荒废, 淘汰, 过时, 退化
"
obsolete,"a. 荒废的, 成废物的, 陈旧的, 老式的
n. 废词, 废物"
repeal,"n. 废止, 撤消
vt. 废止, 撤消, 放弃"
rescind,"vt. 废止, 使无效, 取消, 撤消, 解除
"
abrasion,"n. 磨擦, 磨损, 磨损处
"
attrition,"n. 摩擦, 磨损
"
breakage,"n. 破坏, 破损处, 破损量
"
breakdown,"n. 崩溃, 故障
"
friction,"n. 摩擦, 摩擦治疗, 不和
"
accomplished,"a. 完成的, 实现的, 有造诣的, 熟练的, 善社交的"
adept,"a. 熟练的, 老练的, 巧妙的
n. 能手, 内行"
adroit,"a. 灵巧的, 敏捷的, 聪明的"
deft,"a. 敏捷熟练的, 灵巧的"
dexterous,"a. 灵巧的, 惯用右手的"
acquaintance,"n. 认识, 相识者"
familiarity,"n. 熟悉, 精通, 亲密"
familiarize,"vt. 使熟悉, 使熟知, 使通俗化"
accord,"n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合"
accordingly,"adv. 相应地, 因此, 于是"
approbation,"n. 认可, 满意
"
connive,"vi. 默许, 共谋, 纵容
"
endorse,"vt. 支持, 赞同, 背书于, 签署
"
ratify,"vt. 批准, 认可
"
sanction,"n. 核准, 制裁, 处罚, 约束力
vt. 制定制裁规则, 认可, 核准, 同意"
unanimous,"a. 意见一致的, 无异议的"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
extracurricular,"a. 课外的, 业余的"
pedagogical,"a. 教师的, 教学法的, 适宜于教师的"
didactic,"a. 教训的, 说教的, 教导的, 教诲的
"
curriculum,"n. 课程
"
elective,"a. 选举的, 根据选举的, 选修的
n. 选修课程"
discourse,"n. 谈话, 演讲
vi. 谈话, 讲述"
doctorate,n. 博士头衔
expertise,"n. 专家意见, 专门技术
"
lore,"n. 知识, 眼光"
grade school,小学
primer,"n. 入门书, 初级读本, 雷管, 导火线, 底漆
"
qualification,"n. 资格, 条件, 限制
"
seminar,"n. 研究班, 专题讨论会
"
apprentice,"n. 学徒, 生手
vt. 使做学徒"
proctor,"n. 代理人, 监考人, 代诉人
"
principal,"n. 校长, 首长, 本金, 主犯, 资本, 委托人
a. 主要的, 最重要的, 首要的"
sophomore,"n. (大学)二年级生
a. 二年级学生的, 二年级的"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
envision,"vt. 想象, 预想"
experimental,"a. 实验的, 根据实验的
"
qualify,"vi. 取得资格, 有资格
vt. 使有资格, 使合格, 限定, 限制, 准予"
tuition,"n. 学费, 讲授"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
inaccessible,"a. 难得到的, 难接近的, 难达成的"
acquire,"vt. 获得, 学到
"
acquired,"a. 获得的, 后天的
"
obtainable,a. 能得到的
procure,"vt. 获得, 取得, 导致
vi. 拉皮条"
reclaim,"vt. 开垦, 改造, 感化, 纠正, 回收
vi. 喊叫, 抗议"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
addiction,"n. 入迷, 瘾
"
amateur,"n. 业余爱好者, 外行, 爱好者
"
appetite,"n. 食欲, 欲望, 爱好
"
philanthropy,"n. 慈善, 仁慈, 博爱, 慈善事业, 慈善机构(团体)"
predisposition,"n. 爱好, 素质, 癖性, 天性, 倾向, 易感受性
"
preference,"n. 偏爱, 优先, 喜爱物
"
propensity,"n. 倾向, 爱好, 习性"
admonition,"n. 警告, 劝告, 训诫
"
advisory,"a. 顾问的, 咨询的, 劝告的
"
dissuade,"vt. 劝阻
"
lobby,"n. 大厅, 休息室, 游说议员者
vi. 游说议员, 游说
vt. 游说"
recommend,"vt. 推荐, 介绍, 劝告, 使受欢迎, 托付
"
alien,"n. 外国人, 外侨
a. 外国的, 相异的"
alienate,"vt. 使疏远, 离间, 转让
"
differentiate,"v. 区别, 区分"
discrepant,"a. 不符合的, 有差异的, 矛盾的"
discrete,"a. 不连续的, 离散的
"
discrimination,"n. 差别, 岐视, 辨别力
"
displace,"vt. 移置, 替换, 转移"
diverge,"vi. 分歧, 岔开
vt. 使岔开"
estrange,"vt. 使疏远, 离间, 使离开"
expatriate,"n. 移居国外者, 侨民, 被流放者, 背井离乡者
vt. 逐出国外, 脱离国籍, 放逐
vi. 移居国外"
insulate,"vt. 使绝缘, 隔离
"
isolation,"n. 隔绝, 孤立, 隔离
"
partition,"n. 分割, 隔离物, 隔墙, 财产分割
vt. 区分, 瓜分, 隔开, 分割
"
polarity,"n. 极性, 截然相反
"
split,"n. 劈开, 裂片, 裂缝, 分裂, 派系, 派别, 柳条
a. 劈开的
vi. 分离, 分开, 裂开, 被劈开
vt. 劈开, 切开, 使分裂, 使分离
"
amenable,"a. 服从的, 会接纳的, 有义务的
"
comply,"vi. 顺从, 依从
"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
conform,"vt. 使一致, 使遵守, 使符合
vi. 一致, 符合, 适应"
