acrobatics,"n. 杂技, 杂技表演"
honorary degree,[网络] 荣誉学位；名誉学位；荣誉学位课程
lecturer,"n. 演讲者, 讲师
"
professor,n. 教授
visiting professor,[计] 客座教授
guest professor,[计] 客座教授
associate professor,副教授
assistant professor,[法] 助教授
adviser,"n. 顾问, 劝告者, 指导教师
"
tutor,"n. 家庭教师, 导师, 助教, 监护人
vt. 当...的教师, 教, 指导, 约束, 克制
vi. 当家庭教师, 受家庭教师的指导"
president,"n. 总统, 总裁, 董事长, (学院)院长, (大学)校长, 主管人, 主持人
"
visiting scholar, 访问学者，进修生
dean of studies,[网络] 教务长；教务主任；教务处长
class supervisor,无
part-time teacher,[网络] 兼职教师；兼职补习教师；上讲以兼职
stable,"n. 马房, 牛棚
a. 稳定的, 安定的, 坚固的, 坚定的
vt. 赶入马房
vi. 被关在马厩"
be qualified,鉴定合格
have patience and responsibility,无
explain the knowledge,无
late for classes,无
a lot of free time,无
enjoy different hobbies,无
teacher's college,n. 师范学院
normal university,师范大学
teacher's certificate or license,无
acquire knowledge,[网络] 获得知识；学习知识；获取知识
respectable job,无
conservatory,"a. 保存性的, 有保存力的
n. 温室, 音乐学校"
graduate,"n. 毕业生, 量杯
a. 已得学位的, 研究生的, 毕业的
vi. 毕业, 得学位, 逐渐变为
vt. 准予...毕业, 授予...学位, 分等级, 刻刻度"
dropout,"n. 退学学生, 中途退学
"
alumnus,"n. 男毕业生, 男校友"
alumna,"n. 女毕业生, 女校友"
break,"n. 休息, 中断, 破裂处, 绝交, 破晓, 突变
vt. 打破, 弄破, 弄坏, 破坏, 违反, 打断, 削弱, 放弃
vi. 破碎, 决裂, 破晓, 突变, 变弱, 暂停
n. 分隔符
"
cheat,"n. 欺骗, 作弊, 骗子
v. 欺骗, 逃脱, 骗取"
junior college,专科学校
graduate school,研究生院
attached primary school,附属小学
attached secondary school,无
experimental school,实验学校
vocational school,n. 职业学校
adult school,成人学校
public school,n. 公立中小学
art school, 美术学校
normal school,师范学校
full-time school,无
part-time school,无
correspondence school,"函授学校
"
evening school,n. 夜校
night school,夜校
boarding school,寄宿学校
college of liberal arts,文学院
college of humanities,无
business school,[经] 商业学校
medical college,[医] 医学院
infant education,幼儿教育
preschool education,幼儿[学前]教育
elementary education,"初等教育,小学教育"
secondary education,中等教育
higher education,na. 高等教育
further education,"n. 进修, 继续教育"
adult education,成人教育
compulsory education,[法] 义务教育
academic dress,(大学或同类机构中表示身分、职位、学位或其他资格的)礼服;学生服
graduation ceremony,毕业典礼
graduation certificate,[法] 毕业证书
term paper,学期报告
honours student,[网络] 荣誉学生
top student, 优等生，尖子学生，尖子生
take an examination,参加考试
play truant,"逃学, 逃避责任"
skip a grade,无
prepare lessons,无
ring the bell,"鸣钟, 成功"
dismiss the class,下课
make out an examination,无
test paper,"试卷, 试纸
"
written examination,"口试,笔试"
open-book examination,开书考试
aptitude test,
examination room,检查室
academic calendar,校历
campus newspaper,无
college journal,无
school regulations,无
school badge,无
inspiring,a. 鼓舞人心的
intriguing,"a. 吸引人的, 有趣的"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
qualified,"a. 有资格的
"
main course,"主帆, 主要课程, 主菜"
minor course,无
elective course, 选修课
optional course,选修课
required course,必修课
compulsory course,必修课
makeup course,无
credit course,(给)学分(的)课程
remain in one's memory,无
grasp new skills,无
improve ability,无
qualities of teachers,无
useful information,无
explore answers,无
attain knowledge,无
general interests,全局利益
high score,"un. 高分数
"
arouse interests,无
give advice,"劝告,忠告"
face to face guidance,无
algebra,n. 代数学
arithmetic,"n. 算术, 算术知识
"
geometry,"n. 几何学
"
history,"n. 历史, 过去, 经历, 发展过程, 历史学, 过去的事, 历史记录
"
geography,"n. 地理学, 地理
"
physics,"n. 物理学, 物理过程, 物理现象
"
music,"n. 音乐, 乐曲"
chemistry,"n. 化学, 化学过程
"
politics,"n. 政治, 政治学, 政见, 政治活动
"
drawing,"n. 图画, 制图, 拉
"
biology,"n. 生物学
"
calligraphy,"n. 笔迹, 书法"
physiology,"n. 生理学, 生理机能
"
law,"n. 法律, 法则, 定律, 法律的制约, 法学, 司法界, 诉讼
v. 起诉"
anthropology,"n. 人类学
"
psychology,"n. 心理学, 心理状态
"
archaeology,n. 考古学
linguistics,n. 语言学
economics,"n. 经济学
"
accounting,"n. 会计学, 帐单, 清帐
"
finance,"n. 财政, 财务
vt. 供给...经费, 负担经费
vi. 筹措资金"
rhetoric,"n. 修辞, 修辞学, 雄辩(术)"
statistics,"n. 统计学, 统计资料
"
sociology,"n. 社会学
"
pedagogy,"n. 教育学, 教授法, 教学工作"
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
logic,"n. 逻辑, 逻辑学, 推理的方法, 推理, 逻辑性
"
ethics,"n. 道德规范
"
archives,"n. 档案, 档案室
"
aesthetics,n. 美学
journalism,"n. 新闻业, 报章杂志
"
astronomy,n. 天文学
biochemistry,"n. 生物化学
"
zoology,"n. 动物学, 动物区系
"
botany,"n. 植物学
"
mechanics,"n. 机械学, 结构, 力学
"
mineralogy,"n. 矿物学
"
forestry,"n. 林学, 森林地
"
electronics,"n. 电子学
"
electricity,"n. 电, 电流, 电学, 热情, 电力供应
"
genetics,"n. 遗传学
"
ecology,"n. 生态学, 社会生态学
"
physiology,"n. 生理学, 生理机能
"
anatomy,"n. 剖析, 解剖学, 骨骼, 结构
"
immunology,"n. 免疫学
"
surgery,"n. 外科, 手术, 手术室, 换球术"
technology,"n. 技术, 工业技术, 术语
"
mechanics,"n. 机械学, 结构, 力学
"
architecture,"n. 建筑学, 建筑式样
"
nature study,小学自然课
physical education,[医] 体育
fine arts,[社科] （绘画、雕塑、建筑、诗歌、音乐等）类艺术
general knowledge,常识
military training, 军事训练
liberal arts,文科
world history,世界历史
literary criticism,n. 文艺评论
business administration,"[经] 企业管理, 商业管理"
international finance,国际金融
political science,n. 政治学
philosophy of science,科学哲学
formal logic,[计] 形式逻辑
public relations,"公共关系
"
mass communication,大众传播
environment and resources biology,无
computer science,[计] 计算机科学
painter,"n. 画家, 油漆匠
"
dentist,"n. 牙科医生
"
surgeon,"n. 外科医生, 军医, 船医
"
physician,"n. 医师, 内科医师, 解除痛苦者
"
nurse,"n. 护士, 保姆, 奶妈
vt. 看护, 照顾, 培养
vi. 喂奶, 看护病人"
journalist,"n. 新闻记者, 从事新闻杂志业的人"
engineer,"n. 工程师, 工兵
vt. 设计, 监造, 精明地处理, 策划"
programmer,"n. 程序员
"
architect,"n. 建筑师, 设计者, 缔造者"
designer,"n. 设计者, 谋划者, 制图者
"
hairdresser,"n. 美发师, 理发师"
barber,n. 理发师
tailor,"n. 裁缝, 成衣匠
vt. 缝制, 制作, 使适应
vi. 做裁缝"
model,"n. 模型, 模范, 模特儿
a. 模范的, 作模型用的
vi. 做模型, 做模特儿
vt. 使模仿, 塑造
"
photographer,"n. 摄影师, 摄影者"
artist,"n. 艺术家, 画家"
clerk,"n. 办事员, 职员, 文书
vi. 当店员"
construction worker, 建筑工人
police officer,n. 警察
computer operator,[经] 电脑操作人员
mechanic,"n. 机械工, 技工
a. 手工的"
electrician,"n. 电学家, 电气技师, 电工
"
plumber,"n. 水管工人
"
firefighter,n. <美>消防队员
fisherman,"n. 渔夫, 钓鱼者, 渔船"
florist,"n. 花匠, 花商, 花卉研究者"
grocer,n. 食品商
butcher,"n. 屠夫, 肉商, 小贩
vt. 屠宰, 屠杀"
baker,"n. 面包师
"
chef,n. 厨师
waiter,n. 侍者
waitress,"n. 女侍者, 女服务员"
scientist,"n. 科学家
"
vet,"n. 兽医
vi. 当兽医
vt. 诊断, 检审"
pharmacist,"n. 药师, 药品商, 药商, 药剂师
"
newscaster,"n. 新闻广播员, 新闻评论广播员"
teller,"n. 叙述者, 讲故事者, 出纳员
"
salesperson,n. 售货员
diploma,"n. 文凭, 毕业证书
"
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
degree,"n. 程度, 度数, 学位, 度
"
negotiate,"vi. 商议, 谈判, 交涉
vt. 谈妥, 转让, 处理"
teamwork,"n. 协同作业, 协力
"
experience,"n. 经历, 经验, 体验
vt. 经历, 经验, 体验"
discrimination,"n. 差别, 岐视, 辨别力
"
persistence,"n. 固执, 坚持不懈, 持续(性), 存留(状态)
"
freelancer,n. 自由记者；自由作家
ambition,"n. 野心, 志向"
responsibility,"n. 责任, 职责, 负担, 可靠性
"
career,"n. 事业, 生涯, 成功
"
traditional,"a. 传统的, 惯例的
"
interview,"n. 面谈, 访问, 接见, 面试
vt. 接见, 对...进行面谈(试)"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
business cooperation,"营业合作
业务合作"
sex discrimination,性别歧视
strength and weakness,[网络] 优势和劣势；优势与劣势；强项和弱项
all walks of life,[法] 各行各业
go on business trips,无
enjoy leisure time,无
feel relaxed,无
have relaxation,无
work overtime,[经] 超过规定时间的工作
feel exhausted,感到疲劳
computer skills,无
personal skills,无
newspaper advertisement,[网络] 报纸广告；报章广告；新闻广告购物袋
job hunting, 求职
talent market,无
fixed working hours,无
enlightening,"a. 有启发作用的, 使人领悟的"
decision,"n. 决定, 决心, 决断
"
welfare,"n. 福利, 安宁, 幸福, 福利事业
a. 福利的"
insurance,"n. 保险, 保险业, 保险费
"
timetable,n. 时间表
fierce,"a. 凶猛的, 猛烈的, 热烈的, 暴躁的"
stressful,"a. 着重, 强调, 重读, 使受应力"
energy,"n. 精力, 精神, 活力, 能量
"
motivate,"vt. 给与动机, 刺激, 提高...的学习欲望, 促动
"
cooperation,"n. 合作, 协力, 配合
"
partner,"n. 合伙人, 股东, 伙伴, 伴侣
vt. 与...合伙, 组成一对
vi. 做伙伴, 当助手"
requirement,"n. 需求, 必要条件, 要求
"
efficiency,"n. 效率, 效能, 功效
"
environment,"n. 环境, 外界, 围绕
"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
productivity,"n. 生产力
"
morale,"n. 士气, 道德"
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
profit,"n. 利润, 赢利, 利益
vi. 有益, 获利, 赚钱
vt. 有益于"
pressure,"n. 压, 榨, 按, 强制, 压力, 压迫, 压强
vt. 迫使, 使增压, 密封"
planning,"n. 计划的制订, 策划, 设计, 规划
"
management,"n. 经营, 支配, 管理
"
marketing,"n. 行销, 买卖
"
accounting,"n. 会计学, 帐单, 清帐
"
pension system,退休金制度
legal reserves of housing acquisition,无
medical care,"医疗,医护"
leisure time,[法] 业余时间
work load,
relieve pressure,[网络] 减轻压力；缓解压力；舒缓压力
connections of work,无
basic structures,无
beauty saloons,无
coffee shop,咖啡店
lounge,"n. 闲逛, 休闲室, 长沙发
vi. 闲混, (懒洋洋地)躺
vt. 闲混"
tackle problems,无
communication strategies,[网络] 交际策略；沟通策略；传播战略
business law,"[经] 商业法, 企业法"
economic co-operation,经济合作
comprehensive abilities, 综合能力
response to challenges,无
portrait,"n. 肖像, 人像, 半身像, 描写, 竖排格式
"
bust,"n. 半身像, 胸部, 失败, 殴打
vt. 使爆裂, 使破产
vi. 爆裂, 破产
"
scenic,"a. 风景好的, 戏剧性的, 舞台的, 布景的
n. 风光影片, 风景照片"
photograph,"n. 相片, 照片, 逼真的描绘
v. 照相, 摄影"
photographer,"n. 摄影师, 摄影者"
amateur,"n. 业余爱好者, 外行, 爱好者
"
commemoration,"n. 纪念, 纪念物, 庆典"
portable,"a. 可携带的, 可搬运的, 可移动的
"
recent picture,无
profile photo,无
full-length portrait,无
family photo,[网络] 全家福；家庭照片；全家福照片
keep happiest moment,无
photographic club,无
appreciate different photos,无
take pictures,照相
use different lenses,无
develop films,冲洗胶卷
keep the important moment,无
keep the sweet memories,无
retain precious moments,无
digital photos,[网络] 数码相片；数位相片；数码片儿
amusement park,公共游乐场
share their experience,无
use digital cameras,无
upload the photos,无
print the photos out,无
professional photographer,"un. 专业摄影师
"
places of interest, 名胜古迹
ancient buildings,无
natural beauty, 自然美
satisfy our demand,无
automatic cameras,无
whole structure, 整体结构
use flashlight,无
attract people's attention,无
wedding ceremony,n. 结婚典礼; 婚礼
attractive pictures,无
draw people's attention,无
photography,"n. 摄影, 摄影术
"
lens,"n. 透镜, 镜头, 镜片, 晶状体
vt. 给...摄影"
flasher,"n. 发出闪光之物, 闪光灯, 闪光信号
"
photo supplies,照相材料
wide-angle lens,"un. 广角镜头；广角物镜
"
zoom lens,变焦镜头
view finder, 取录器，探视器
battery container,蓄电池箱
film counter,胶片计数器
shutter button,快门按钮
accomplishment,"n. 成就, 完成"
triumph,"n. 凯旋, 胜利, 欢欣
vi. 得胜, 成功"
frustration,"n. 挫折, 顿挫
"
stress,"n. 压力, 紧迫, 强调, 重音, 重点, 应力
vt. 加压力于, 着重, 重读"
anxiety,"n. 焦虑, 忧虑, 令人焦虑的事
"
unwind,"vt. 展开
"
meditation,"n. 沉思, 冥想"
physical,"a. 身体的, 物质的, 自然的, 物理学的, 好色的
n. 体格检查"
insomnia,"n. 失眠症
"
stomach,"n. 胃, 食欲, 欲望, 肚子
vt. 吃下, 忍受"
compare,"vt. 比较, 比喻, 对照
vi. 相比
n. 比较
"
solidarity,"n. 团结, 团结一致, 共同一致
"
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
celebrate success,无
boost self-esteem,无
daily relaxation,无
be refreshed,无
mental health, 心理健康
go shopping,去买东西
interpersonal relationship,人际关系
lose appetite,[网络] 失去胃口；失去了食欲
cause of stress,无
café,无
cafeteria,"n. 自助餐厅
"
canteen,"n. 水壶, 军中俱乐部, 临时流动餐馆, 小卖部"
refectory,n. 餐厅
bar,"n. 条, 棒, 酒吧, 栅, 障碍物
vt. 禁止, 阻挡, 妨碍
"
saloon,"n. 大厅, 沙龙, 酒吧, 会客室"
feast,"n. 宴会, 酒席, 享受, 节日
vt. 款待, 享乐, 请客
vi. 参加宴会, 尽情地吃, 享受"
banquet,n. 宴会
buffet,"n. 自助餐, 小卖部, 碗橱, 殴打, 冲击
vt. 连续打, 冲击, 搏斗
vi. 奋斗"
picnic,"n. 野餐, 远足, 愉快的经历
vi. 去野餐, 远足"
recipe,"n. 食谱, 处方, 秘诀
"
revolving restaurant,n. 旋转餐厅
Sichuan restaurant,无
snack bar,"快餐柜, 小吃店"
sensitive stomach,无
regular customer,"[经] 经常的主顾, 老主顾"
cozy atmosphere,无
feel at ease, 释然；心里踏实；舒气；实落
remember taste,无
Chinese cuisine, 中国菜
pace of life,n. 生活节奏
food processing,食品加工;食品热杀菌
traditional production,无
side effects,副作用
nutrition loss,无
have a get-together,无
exchange information,[网络] 交流信息；交换信息；交易信息
have more choices,[网络] 有更多的选择
spicy food,辛辣食物
strong flavor,无
salty food,无
reserve seats,备用座席
serve food, 提供食品，上菜
decoration,"n. 装饰, 装饰品"
coupon,"n. 息票, 赠券
"
style,"n. 风格, 时尚, 文体, 风度, 字体, 类型
vt. 称呼, (根据新款式)设计, 使合潮流
n. 风格, 样式
"
soup,"n. 汤, 马力
vt. 加速, 增加马力"
dessert,n. 餐后甜点
pudding,n. 布丁
delicacy,"n. 细软, 精致, 精美的食品, 娇气, 微妙, 棘手, 娇弱, 灵敏, 灵巧"
leftover,"n. 剩货, 残留物, 剩饭
a. 残余的"
vegetarian,"n. 素食者, 食草动物
a. 素食的"
poultry,n. 家禽
sausage,"n. 香肠, 腊肠"
hamburger,"n. 汉堡(德国港口), 肉饼, 汉堡包, 纯精牛肉, 汉堡牛排"
pizza,n. 比萨饼
chips,n. 炸土豆条；小木片；（作赌注用的）圆形筹码；缺口（chip的复数形式）
cheese,"n. 乳酪
"
butter,"n. 奶油, 黄油
vt. 涂黄油于"
bread,"n. 面包, 生计, 食物
vt. 裹以面包屑"
omelet,"n. 煎蛋卷, 煎蛋饼, 炒蛋"
nutritious,"a. 滋养的, 营养的
"
health,"n. 健康, 卫生, 蓬勃, 健康状态
"
vitami,维生素
fiber,"n. 纤维, 构造, 纤维制品
"
mineral,"n. 矿物, 无机物, 苏打水
a. 矿物的, 似矿物的"
fat,"n. 脂肪, 脂油, 肥肉
a. 肥的, 胖的, 油腻的
n. 文件分配表
"
chemical,"n. 化学药品
a. 化学的, 化学上用的"
natural,"n. 白痴
a. 自然的, 自然界的, 本能的, 天然的, 物质的, 正常的, 原始的, 自然数的"
fertilizer,"n. 肥料, 促进发展者, 受精媒介物
"
ltalian specialities,无
American favorites,无
French food, 法国食品
Cantonese cuisine, 广东菜
western food, 西餐
western buffet,无
main course,"主帆, 主要课程, 主菜"
mashed potato, 洋芋泥
slice of bread,面包片
boiled egg, 煮鸡蛋
fried egg,n. 荷包蛋
poached egg,n. 荷包蛋
scrambled egg,"n. (军官军帽上的)金色丝带,金编带"
at one sitting,"同时,一下子,一口气,一举"
put on weight,体重增加
fast food,n. 速食; 快餐
balanced diet,[医] 均衡饮食
oily food, [医]油腻食物
cooking class,无
various dishes,无
healthy food,[网络] 健康食品；健康食物；保健食品
home-made meal,无
cooking school,烹调学校；烹饪学校
diet,"n. 日常饮食, 议会
vt. 照规定饮食
vi. 忌食"
nutrient,"a. 营养的, 滋养的
n. 营养物, 滋养物"
carbohydrate,"n. 碳水化合物, 糖类
"
mineral,"n. 矿物, 无机物, 苏打水
a. 矿物的, 似矿物的"
fiber,"n. 纤维, 构造, 纤维制品
"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
digest,"n. 文摘
vi. 消化
vt. 消化, 理解
"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
bite,"n. 咬, 一口
v. 咬, 刺痛, 穿透"
chew,"vt. 咀嚼, 嚼碎
vi. 咀嚼, 细想
n. 咀嚼, 咀嚼物"
nibble,"n. 少量食物, 细咬, 轻咬, 啃
v. 一点一点地咬, 细咬, 吹毛求疵
"
swallow,"n. 燕子, 吞咽, 喉
vt. 咽, 淹没, 吞没, 耗尽, 轻信, 忍受, 抑制
vi. 吞下, 咽下"
The Food Guide Pyramid,无
major energy source,无
digestive system,[医] 消化系统
starve,"v. (使)饿死, (使)挨饿"
hunger,"n. 饥饿, 渴望, 饥荒
vt. 使挨饿
vi. 挨饿, 渴望"
thirst,"n. 口渴, 渴望
vi. 口渴, 渴望"
starvation,"n. 饥饿, 饿死
"
appetite,"n. 食欲, 欲望, 爱好
"
thirsty,"a. 口渴的, 渴望的, 干燥的"
refreshment,"n. 点心, 起提神作用的事物, 精神爽快"
nourish,"vt. 滋养, 使健壮, 怀有"
portion,"n. 部分, 一份, 命运, 嫁妆
vt. 分配, 给...嫁妆"
course,"n. 课程, 路线, 过程, 一道菜, 道路
v. 追, (使)跑"
menu,"n. 菜单, (功能)选择单
"
fry,"n. 油炸食物, 鱼苗
v. 油炸, 煎"
boil,"n. 煮沸, 沸腾, 疖
v. 煮沸, 激动"
stew,"n. 炖, 烦恼, 热浴, 妓院, 鱼塘
vi. 炖, 焖, 忧虑
vt. 炖, 焖, 使焦虑"
steam,"n. 蒸汽, 精力
a. 蒸汽的
vi. 蒸发, 行驶, 发怒
vt. 蒸, 煮, 散发"
bake,"vt. 烘焙, 烤
vi. 烤面包
n. 烘焙, 烤"
barbecue,"n. 烤肉
vt. 烤肉, 烧烤"
peel,"n. 皮, 外壳
vt. 削...皮, 剥去...的壳
vi. 蜕皮, 剥落, 脱皮, 脱去衣服"
chop,"n. 肋条肉, 排骨, 砍, 戳记, 商标
vt. 剁碎, 砍, 切击, 割断
vi. 砍, 突然转向"
stir,"n. 骚动, 轰动, 搅动, 监狱
vt. 移动, 摇动, 激起, 惹起, 搅拌
vi. 走动, 传播, 搅拌"
freeze,"vi. 冻结, 冷冻, 僵硬, 楞住
vt. 使结冰, 使冻住, 使呆住
n. 结冰, 凝固
"
eatable,"a. 可以吃的
n. 食物"
edible,"n. 食品, 食物
a. 可食用的"
drinkable,"a. 可以喝的, 饮用的
n. 饮料"
digestible,"a. 可消化的, 易消化的, 可摘要的
"
fresh,"a. 新鲜的, 新奇的, 另外的, 淡的, 精神饱满的, 冒失的
adv. 最新地, 刚刚
n. 开始, 泛滥"
raw,"n. 擦伤处, 半成品
a. 生的, 未加工的, 生疏的, 不成熟的, 阴冷的, 刺痛的, 擦掉皮的
vt. 擦伤
"
overdone,overdo的过去分词
underdone,underdo的过去分词
tough,"n. 恶棍
a. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的"
tender,"a. 嫩的, 柔软的, 脆弱的, 温柔的, 亲切的, 未成熟的, 微妙的, 棘手的, 审慎的
vt. 使变嫩, 提供, 偿还
vi. 变柔软, 投标
n. 照料, 看管人, 供应船, 小船, 提出, 偿付, 投标"
appetizing,"a. 开胃的, 促进食欲的, 鲜美可口的"
delicious,a. 美味的
tasty,"a. 好吃的, 可口的"
tasteless,"a. 没味道的, 无鉴赏力的"
pungent,"a. 刺激性的, 尖刻的, 苦痛的
"
spicy,"a. 香的, 多香料的, 辛辣的, 下流的"
delicious,a. 美味的
ingredient,"n. 成分, 因素
"
well-done, 做得不错
mouth-watering,a. 令人馋涎欲滴的
pickle jar,泡菜坛
cookery book, = cookbook
pear,"n. 梨子, 梨树, 梨木
"
tangerine,n. 柑橘
mandarin,"n. 中国官话, 国语, 满清官吏, 柑橘
a. (中国式)紧身马褂的"
orange,"n. 柑橘, 桔子, 橘色
a. 橘色的"
strawberry,n. 草莓
pineapple,"n. 凤梨, 菠萝, 失业救济金
"
plum,n. 李子
litchi,"n. 荔枝, 荔枝果"
peach,"n. 桃子, 桃树, 桃色, 美人儿, 极好的事物
vt. 告发
vi. 告密, 检举"
grape,"n. 葡萄, 葡萄树
"
lemon,"n. 柠檬, 柠檬树, 柠檬色
"
cherry,"n. 樱桃, 樱桃树, 樱桃色
"
sugarcane,"n. 甘蔗, 糖蔗"
watermelon,n. 西瓜
grapefruit,n. 葡萄轴
mango,"n. 芒果
"
plum,n. 李子
apricot,"n. 杏子, 杏树, 杏黄色
a. 杏黄色的"
hawthorn,n. 山楂
hazelnut,"n. 榛实
"
coconut,"n. 椰子
"
date,"n. 日期, 约会, 枣椰树
vt. 约会, 定日期
vi. 注明日期, 过时"
olive,"n. 橄榄, 橄榄树, 橄榄色, 橄榄枝
a. 黄绿色的, 黄褐色的, 橄榄色的"
fig,"n. 无花果, 无价值的东西, 少许, 服装
vt. 打扮, 使马跑快"
almond,"n. 杏仁
"
chestnut,"n. 栗子, 栗树, 栗色
a. 栗色的"
nut,"n. 坚果, 核心, 螺帽
"
apple core,[网络] 苹果核；苹果芯；苹果核心图片
apple skin,无
apple juice, 苹果汁
pear core,无
seedless orange,n. 无核桔
orange peel,[化] 橙皮
tangerine skin,无
navel orange,n. 脐橙
banana skin,n. 香蕉皮; <英><非正>很可能引起麻烦或使人出洋相的事件或情景
peel a banana,无
grape stone, 葡萄核
grape skin,n. 葡萄皮
grape juice,[化] 葡萄汁
seedless watermelon,无子西瓜
watermelon seed,[医] 西瓜子
water chestnut,[医] 荸荠
Chinese chestnut,[化] 板栗
nut shell,【无脊椎动物】胡桃蛤
nut meat,n. 坚果仁
ripe,"a. 成熟的, 熟练的, 成年的
"
unripe,"a. 未熟的, 未成熟的, 生的, 未准备的, 不适时的"
tender,"a. 嫩的, 柔软的, 脆弱的, 温柔的, 亲切的, 未成熟的, 微妙的, 棘手的, 审慎的
vt. 使变嫩, 提供, 偿还
vi. 变柔软, 投标
n. 照料, 看管人, 供应船, 小船, 提出, 偿付, 投标"
crisp,"a. 脆的, 新鲜的, 活泼的
v. (使)烘脆, (使)拳曲, (使)起皱
n. 松脆物"
juicy,"a. 多汁液的, 生动的, 多水分的"
smooth,"a. 平滑的, 平稳的, 流畅的, 和蔼的, 安祥的, 圆滑的, 调匀的, 无毛的
vt. 使光滑, 烫平, 使平和, 消除
vi. 变平滑, 变平静
n. 一块平地, 平滑部分"
soft,"a. 软的, 温和的, 柔和的, 柔滑的, 温柔的, 软弱的, 坡度小的, 笨的, 纸币的
n. 柔软的东西, 笨人, 纸币
adv. 柔软地, 温和地"
spongy,"a. 海绵状的, 海绵质的, 多孔的
"
hard,"a. 坚硬的, 硬的, 难的, 艰苦的, 困难的, 坚固的, 猛烈的, 艰难的, 结实的, 确实的
adv. 坚硬地, 努力地, 辛苦地, 接近地, 猛烈地, 牢固地"
sweet,"n. 甜蜜, 糖果, 情人
a. 甜的, 芳香的, 悦耳的, 漂亮的, 和蔼的, 不咸的, 灵活的, 轻快的"
bitter,"a. 苦的, 痛苦的, 怀恨的
adv. 刺骨
v. (使)变苦"
sour,"a. 酸的, 酸臭的, 发酵的, 愠怒的, 讨厌的, 拙劣的, 不健全的
vi. 变酸, 发酵, 厌烦, 变坏
vt. 使变酸, 使失望
n. 酸味, 酸饮料"
shape,"n. 形状, 形态, 外形, 形式, 身材
vt. 定形, 使成形, 塑造, 计划, 使符合
vi. 成形, 形成, 成长
"
early-maturing, [医]早熟的
late-maturing,n. 晚熟的; 苠
sweet fruit,无
pork,"n. 猪肉
"
beef,"n. 牛肉, 肌肉
vt. 养(牛), 宰(牛)
vi. 抱怨, 告发"
veal,"n. 小牛肉
vt. 宰小牛"
mutton,n. 羊肉
lamb,"n. 小羊, 羔羊
v. 产羊羔"
bacon,"n. 熏猪肉
"
meatball,"n. 肉团, 愚蠢, 飞机降落目标"
sausage,"n. 香肠, 腊肠"
chicken,"n. 小鸡, 鸡肉"
duck,"n. 鸭子
vi. 没入水中, 闪避
vt. 猛按...入水, 躲避"
goose,"n. 鹅, 雌鹅, 鹅肉, 弯把熨斗
vt. 与...性交, 突然加大油门, 使生色, 喝倒彩"
turkey,"n. 火鸡, 无用的家伙, 土耳其"
chicken,"n. 小鸡, 鸡肉"
chicken wing, [体]锁双臂
duck,"n. 鸭子
vi. 没入水中, 闪避
vt. 猛按...入水, 躲避"
fish,"n. 鱼, 鱼肉, 鱼类, 接合板
vt. 钓, 钓鱼, 查出, 用接合板连接
vi. 捕鱼, 钓鱼, 用钩捞取, 摸索寻找"
ham,"n. 火腿, 后腿, 笨拙演员
a. 过火的, 做作的
v. 演得过火"
red meat,红色肉类
frozen meat,冷冻肉
fresh meat,鲜肉
fat meat,肥肉
lean meat,瘦肉
tender meat,嫩肉
white meat,"n. 白肉, 白内（指禽类的胸部和翅膀等处的肉）"
sardine,n. 沙丁鱼
shrimp,"n. 虾, 小虾, 矮子
vi. 捕小虾"
prawn,"n. 明虾, 对虾
vi. 捕虾"
oyster,"n. 牡蛎, 蚝, 沉默者"
octopus,n. 章鱼
crab,"n. 螃蟹, 偏航, 脾气乖戾的人, 沙果
vi. 捕蟹, 偏航, 发牢骚
vt. 使偏航, 抱怨, 破坏"
inkfish,"n. 乌贼, 墨鱼"
kelp,"n. 海草, 巨藻, 海草灰
"
snail,"n. 蜗牛, 行动迟缓的人, 脑筋迟钝的人, 蜗形凸轮
vt. (蜗牛般)缓慢地打发(时间)
vi. 缓慢移动"
conch,n. 海螺壳
salmon,"n. 鲑鱼, 大麻哈鱼
"
sea fish, 海鱼
jelly fish,"n. 水母,海蜇,〈口〉软弱无力的人,软蛋,松包"
sea cucumber,n. 海参; 海黄瓜
freshwater fish,淡水鱼;淡水捕的海栖鱼
shark's fin, 鱼翅
preserved duck egg,无
salted egg,"咸蛋, 硷蛋"
black pudding,[机] 血(香)肠
blood sausage,n. 黑香肠（用猪血、乳脂以及谷粒制成）; 血肠
spinach,"n. 菠菜, 货币, 胡说八道"
lettuce,"n. 莴苣, 生菜, 纸币
"
celery,"n. 芹菜
"
coriander,"n. 芫荽
"
cauliflower,"n. 花椰菜
"
broccoli,n. 花椰菜
