abolish,"vt. 废止, 革除, 消灭
"
be obliged to sb., 不得不; 只得; 必须
participate in,"参加, 参与, 分享"
be liable for,"有...责任, 有...义务"
cast off,丢弃
invest ... in,"投资于, 买进"
keep company with,与...结交
at the back of,在…后方〔背后〕; 支持; 在内心中
place an emphasis on,无
at all events,无论如何
extract from,从…中提取
arrange for sb. to do sth.,无
arrange for sth. to do sth.,无
in excess of,"超过, 较...为多"
be identical with,与...相同
for the benefit of,为…的利益 ; 为惩戒…
be cautious of,"留心..., 谨防..."
be anxious about,"渴望, 担忧"
charge ... for ..., 要价，收费
stand down,"离开证人席, 退出, 顺潮航行
"
expect of,[网络] 对…期望；对……表示期待；期望会作出
fall back,"后退, 退却
"
favorable to,"un. 赞成
"
be favorable to, 有利于，赞成
at first glance," 一看就, 初看, 乍看起来"
at first sight,乍一看
compare ... with ...,"比较…,跟…相比,比得上…"
have a word with sb.,和…说几句话
rely on,"依赖, 依靠"
be particular about,"对…很挑剔,过于讲究"
be particular over,讲究
accord with,"与...符合, 与...一致"
in accord with,与...一致
in consideration of,"考虑到
"
in proportion to,与...成比例
contrast ... with ...,"和...相对照, 与...形成对比"
on the decline,没落
feel equal to ...,"感到有能力做,能胜任…"
admit of,"承认,坦白"
in the interests of,为了，为了…的利益；符合…的利益
be absent from ...,缺席
interfere with,"干涉,干扰,妨碍"
put ... down to ...,[网络] 归因于；说…因而起；归因为
attend to, 处理; 注意; 听取; 致力于
on business,因公
with a will,努力
on account of,由于
pile into,"挤入, 进入"
