ditch,"n. 沟渠
vt. 在...开沟
vi. 开沟"
immediate,"a. 立即的, 直接的, 接近的
"
intermediate,"n. 中间物, 调停者, 中级
a. 中间的, 中级的
vi. 起媒介作用
"
medieval,"a. 中古的, 中世纪的"
mediaeval,"a. 中古的, 中世纪的"
Mediterranean,"n. 地中海
adj. 地中海的"
medium,"n. 媒体, 方法, 媒介
a. 半生熟的, 中间的
"
media,"n. 媒体
"
mediate,"a. 居间的, 间接的
vt. 斡旋, 调停
vi. 处于中间, 调解"
mediator,"n. 调停者, 传递者, 基督
"
intermediary,"n. 仲裁者, 调解者, 媒介物, 中间人
a. 中间的, 媒介的"
telephone,"n. 电话, 电话机
v. 打电话"
telephone,"n. 电话, 电话机
v. 打电话"
telecommunications,"n. 电信, 通讯, 电信学
"
telegram,"n. 电报, 一封电报
"
telegraph,"n. 电报, 电报机
vi. 打电报
vt. 打电报给, 电汇, 流露, 显示出要...的样子"
microphone,"n. 扩音器, 麦克风
"
saxophone,"n. 萨克斯管
"
stereophonic,"a. 立体音响的
"
symphony,"n. 交响乐, 交响曲"
car,"n. 汽车, 客车
"
car,"n. 汽车, 客车
"
carpenter,n. 木匠
cart,"n. 二轮运货马车
vi. 驾运货马车
vt. 用车装载"
caravan,"n. 旅行队, 有篷顶的大车
"
van,"n. 货车, 篷车, 先锋, 前驱, 前卫
vt. 用货车搬运
"
cargo,"n. 货物
"
charge,"n. 指控, 费用, 冲锋, 电荷, 炸药, 主管, 被托管人, 命令
vt. 控诉, 加罪于, 使充满, 使充电, 使承担
vi. 冲锋, 要价, 收费"
discharge,"vt. 卸下, 放出, 解雇, 拔染, 履行, 放电
vi. 卸货, 流出
n. 卸货, 流出, 放电"
chariot,n. 二轮战车
obey,"vt. 服从, 遵从, 顺从
vi. 服从"
obey,"vt. 服从, 遵从, 顺从
vi. 服从"
obedience,"n. 服从, 顺从, 忠实
"
obedient,"a. 服从的, 顺从的, 孝顺的
"
audible,"a. 听得见的
"
audience,"n. 听众, 观众, 读者
"
audio,"a. 音频的, 声音的
"
audit,"n. 审计, 查帐
vt. 查(帐), 旁听
vi. 查账
"
auditorium,"n. 听众席, 礼堂
"
aural,"a. 耳的, 听觉的, 气氛的, 气味的, 光环的
"
together,"adv. 一起, 共同, 彼此"
scatter,"n. 消散, 分散, 散播, 散射, 散布, 酒馆
vi. 散布, 散播, 消散
vt. 使消散, 使分散, 撒, 散布, 散播, 散射
"
together,"adv. 一起, 共同, 彼此"
altogether,"adv. 完全地, 总而言之"
gather,"n. 集合, 聚集
vi. 聚集, 集合, 渐增
vt. 使聚集, 搜集, 积聚"
gathering,"n. 聚集, 集中, 采集
"
aggregate,"n. 合计, 总计, 聚集体
a. 合计的, 聚集的
v. 聚集, 集合, 合计达
"
segregate,"a. 分离的, 被隔离的
vi. 分离, 隔离, 分凝
vt. 使分离, 使隔离"
segregation,"n. 隔离, 偏析, 被隔离的部分, 种族隔离
"
scatter,"n. 消散, 分散, 散播, 散射, 散布, 酒馆
vi. 散布, 散播, 消散
vt. 使消散, 使分散, 撒, 散布, 散播, 散射
"
shatter,"n. 碎片, 粉碎, 落叶, 喷洒
vt. 打碎, 使散开, 粉碎, 破坏
vi. 粉碎, 损坏, 脱落"
animal,"n. 动物
"
animal,"n. 动物
"
animate,"vt. 使有生气, 赋予生命
a. 有生命的, 有生气的"
animated,"a. 活生生的, 能活动的, 活泼的, 欢快的"
unanimous,"a. 意见一致的, 无异议的"
creep,"n. 爬, 徐行, 蠕动
vi. 爬, 蔓延, 潜行"
creep,"n. 爬, 徐行, 蠕动
vi. 爬, 蔓延, 潜行"
cripple,"n. 跛者, 残废
vt. 使跛, 使成残废, 削弱
a. 跛的, 残废的"
reptile,"n. 爬行动物, 爬虫, 卑鄙的人
a. 爬行的, 爬虫类的, 卑鄙的"
empire,"n. 帝国, 帝权"
empire,"n. 帝国, 帝权"
emperor,"n. 皇帝, 君主"
empress,"n. 皇后, 女皇"
imperial,"a. 帝王的, 宗主国的, 至尊的, 壮丽的
n. 特等品"
imperialism,"n. 帝国主义, 帝制
"
imperialist,"n. 帝国主义者, 皇帝统治的拥护者, 皇帝派的人
a. 帝国主义的"
empty,"a. 空的, 空虚的, 空腹的, 空洞的
n. 空的东西, 空车
vt. 倒空, 使变空, 使排出
vi. 流空
"
empty,"a. 空的, 空虚的, 空腹的, 空洞的
n. 空的东西, 空车
vt. 倒空, 使变空, 使排出
vi. 流空
"
exempt,"n. 免税者, 被免除义务者
a. 免除的
vt. 使免除, 豁免"
exemption,"n. 解除, 免除, 免税
"
redeem,"vt. 赎回, 挽回, 恢复, 偿还, 补偿
"
foot,"n. 脚, 步调, 英尺, 底部, 末尾, 步兵
vt. 走在...上, 给...换底, 支付
vi. 跳舞, 步行, 总计"
foot,"n. 脚, 步调, 英尺, 底部, 末尾, 步兵
vt. 走在...上, 给...换底, 支付
vi. 跳舞, 步行, 总计"
footstep,"n. 脚步, 脚步声, 足迹"
expedition,"n. 远征, 探险队, 迅速"
pedal,"n. 踏板, 脚蹬子
a. 脚的, 脚踏的
vt. 用脚踏动
vi. 踩踏板, 骑车"
pedestrian,"n. 行人, 步行者
a. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的"
mortal,"n. 生物, 人类
a. 不免一死的, 人类的, 临终的"
mortal,"n. 生物, 人类
a. 不免一死的, 人类的, 临终的"
immortal,"n. 不朽人物, 神仙
a. 永远的, 不死的, 长久的"
mortality,"n. 必死的命运, 死亡数目, 死亡率
"
mortally,"adv. 致命地, (非正式)极, 非常"
martyr,"n. 烈士, 受苦者, 受难者
vt. 使成为烈士, 使受苦"
shadow,"n. 阴影, 荫, 影子, 影像, 阴暗, 幽灵, 少许, 隐蔽处, 庇护
vt. 遮蔽, 使朦胧, 预示, 尾随
vi. 渐变, 变阴暗
"
shadow,"n. 阴影, 荫, 影子, 影像, 阴暗, 幽灵, 少许, 隐蔽处, 庇护
vt. 遮蔽, 使朦胧, 预示, 尾随
vi. 渐变, 变阴暗
"
shadowy,"a. 有影的, 暗黑的, 朦胧的, 虚幻的"
shade,"n. 荫, 阴暗, 遮光物, 灯罩, 帘, 浓淡, 微量, 底纹
vi. 渐变
vt. 使阴暗, 使渐变, 遮蔽, 微减
"
shade,"n. 荫, 阴暗, 遮光物, 灯罩, 帘, 浓淡, 微量, 底纹
vi. 渐变
vt. 使阴暗, 使渐变, 遮蔽, 微减
"
shed,"n. 车棚, 小屋, 脱落之物, 分水岭
vt. 使流出, 放射, 脱落, 散发, 摆脱
vi. 流出, 散布, 脱落"
shame,"n. 羞耻, 羞愧, 耻辱
vt. 使羞愧, 侮辱"
shame,"n. 羞耻, 羞愧, 耻辱
vt. 使羞愧, 侮辱"
ashamed,"a. 惭愧的, 羞耻的"
shameful,"a. 可耻的, 丢脸的, 不道德的, 淫猥的, 猥亵的, 不体面的"
sham,"n. 假, 赝品, 骗子, 哄骗
a. 假的, 伪造的
vt. 假装, 冒充
vi. 装假"
snake,"n. 蛇, 阴险的人
vi. 曲折行进
vt. 迂回, 拉, 急抽"
snake,"n. 蛇, 阴险的人
vi. 曲折行进
vt. 迂回, 拉, 急抽"
sneak,"vi. 鬼鬼祟祟做事
vt. 偷偷地做
n. 鬼鬼祟祟的人, 偷偷摸摸的行为, 帆布胶底运动鞋
a. 暗中进行的"
sneaker,"n. 鬼鬼祟祟做事的人, 卑鄙者, 帆布胶底运动鞋"
tell,"vt. 告诉, 说, 吩咐, 断定, 知道
vi. 讲述, 泄密, 告发, 表明"
tell,"vt. 告诉, 说, 吩咐, 断定, 知道
vi. 讲述, 泄密, 告发, 表明"
foretell,"vt. 预言, 预告, 预示"
retell,"vt. 再讲, 重复, 重说"
tale,"n. 故事, 谎言, 谣言, 陈述, 叙述
"
with,"prep. 和...在一起, 以, 由于"
side with,"同意, 站在...的一边"
cope with,"与...竞争, 应付, 处理"
deal with,"安排, 处理, 涉及, 做生意"
reckon with,"和...算帐, 认真对付"
interfere with,"干涉,干扰,妨碍"
mess with,"胡乱摆弄,糟蹋,与…厮混;和…一道用膳"
reason with,与...评理
without,"prep. 没有, 不, 在...之外
adv. 在外面, 户外
n. 外面, 外部"
do without,没有...也可以
go without,没有也行
abbreviate,"vt. 缩写, 使...简略, 缩短
vi. 使用缩写词"
abbreviation,"n. 缩写词, 缩写, 缩短, 节略"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
absorbed,"a. 全神贯注的, 一心一意的
"
absorption,"n. 吸收, 专心, 全神贯注
"
academy,"n. 学院, 院校, 学会"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
academician,"n. 学会会员, 院士, 学究, 大学生, 学者"
accelerate,"v. 加速, 促进"
acceleration,"n. 加速, 促进, 加速度
"
accent,"n. 重音, 口音, 特点, 注重点
vt. 重读, 加重音号于, 强调"
incentive,"n. 动机
a. 激励的"
accurate,"a. 正确的, 精确的
"
accuracy,"n. 精确, 正确
"
inaccurate,"a. 错误的, 不准确的
"
acquaint,"vt. 使认识, 介绍"
acquaintance,"n. 认识, 相识者"
add,"vt. 增加, 添加, 附带说明, 计算...总和
vi. 做加法, 积累而成, 增添
"
addition,"n. 加法, 增加的人(或物)
"
additional,"a. 附加的, 另外的, 额外的
"
additive,"a. 添加的, 附加的, 加法的, 累积的
n. 添加物"
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
admirable,"a. 可钦佩的, 极好的, 令人惊奇的"
admiration,"n. 赞赏, 钦佩, 引人赞赏的对象"
admit,"vt. 承认, 接受, 允许进入, 容许
vi. 开向, 容许, 承认"
admission,"n. 准许进入, 入场费, 录用, 承认
"
advance,"n. 前进, 进展, 行过的路程
vi. 前进, 进展, 提高, 上涨
vt. 使前进, 促进, 提出, 提高, 使提前, 预付
a. 前面的, 预先的"
advancement,"n. 前进, 进步, 提升
"
advanced,"a. 在前的, 高级的, 先进的, 年老的
"
adventure,"n. 冒险, 冒险经历
v. 冒险"
venture,"n. 冒险, 风险
vt. 敢于, 冒...的危险
vi. 冒险"
advise,"vt. 劝告, 给...出主意, 通知, 建议
vi. 提意见, 商量"
advisable,"a. 适当的, 明智的"
advisory,"a. 顾问的, 咨询的, 劝告的
"
afford,"vt. 买得起, 足以, 给予"
affordable,[计] 普及型
allow,"vt. 允许, 同意给予, 承认
vi. 容许, 猜想
"
allowance,"n. 津贴, 零用钱, 限额, 折扣, 允许
vt. 定量供应"
alphabet,"n. 字母
"
alphabetic,"a. 按字母次序的, 字母的"
alphabetical,"a. 依字母顺序的, 字母的"
amaze,vt. 使吃惊
amazing,a. 令人惊异的
ample,"a. 大量的, 充足的, 丰富的"
amplify,"vt. 增强, 放大, 扩大, 详述
vi. 引伸"
amplification,"n. 扩大, 放大
"
amplifier,"n. 扩大的人(物), 放大器, 扩音器
"
amuse,"vt. 消遣, 娱乐, 使发笑"
amusing,"a. 有趣的, 引人发笑的"
annoy,"vt. 使恼怒, 骚扰"
annoyance,"n. 烦恼, 打扰, 可厌之事
"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
appealing,"a. 有感染力的, 动人的, 恳求的"
arc,"n. 弧, 弧形, 弓形, 弧光
"
arch,"n. 拱门, 拱形, 足弓
vt. 使成弓形
vi. 拱起, 成弓形
a. 主要的, 调皮的, 傲慢无礼的, 狡猾的"
arm,"n. 手臂, 袖子, 狭长港湾, 武器
vt. 武装, 装备
vi. 武装起来
"
disarm,"vt. 解除武装, 裁军, 缓和
vi. 放下武器"
armament,"n. 军备, 军队, 武器
"
arrogant,"a. 自大的, 傲慢的"
arrogance,"n. 傲慢态度, 自大"
assassin,"n. 暗杀者, 刺客
"
assassinate,"vt. 暗杀, 行刺
"
assassination,"n. 暗杀
"
astonish,vt. 使惊讶
stun,"vt. 使昏迷, 使震惊, 打昏
n. 昏迷, 猛击"
atom,"n. 原子, 核能, 微粒, 微量
"
atomic,"a. 原子的, 原子能的
"
attend,"vt. 参加, 照料, 伴随
vi. 专心于, 照顾, 服侍, 出席"
attendance,"n. 出席, 出席的人数, 照料
"
auto,"n. 汽车
pref. 表示""自己""、""本身"", 表示""自己的"", 表示""自动的"""
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
automation,"n. 自动化, 自动操作
"
automobile,"n. 汽车
"
autonomy,"n. 自治, 自治权
"
avoid,"vt. 避免, 防止, 撤消
"
void,"n. 空虚, 空间, 空白, 空隙, 空虚感
a. 空的, 无效的, 无人的, 没有的, 无用的
"
bank,"n. 银行, 堤, 岸
"
banker,"n. 银行家, 庄家
"
bare,"a. 赤裸的, 缺少的, 无遮蔽的, 坦率的
vt. 使赤裸, 露出"
barely,adv. 几乎不
base,"n. 底部, 垒, 基础, 基地
vt. 以...作基础
a. 卑鄙的, 低劣的
"
basement,"n. 地下室, 墙脚
"
bed,"n. 床, 睡眠处, 河床, 底座, 路基, 一层
vt. 提供宿处, 栽种, 安装
vi. 睡, 形成坚实的一层"
embed,"vt. 使插入, 使嵌入, 使深留脑中
"
behave,"vi. 举止端正, 行为规矩
vt. 检点(自己的)行为, 使表现好"
behavior,"n. 行为, 举止
"
behaviour,"n. 行为, 举止
"
belong,"vi. 属于, 合适"
belongings,"n. 财产, 所有物, 相关事物
"
biography,n. 传记
autobiography,n. 自传
bite,"n. 咬, 一口
v. 咬, 刺痛, 穿透"
bait,"n. 饵
vt. 以饵引诱, 欺负
vi. 中途休息"
bless,"vt. 祝福, 祈佑, 使神圣化"
blessed,"a. 神圣的, 受祝福的
bless的过去式和过去分词"
blessing,n. 祝福
blood,"n. 血, 血统, 流血, 气质, 生命
vt. 使出血, 用血涂"
bloody,"a. 血腥的, 嗜杀的, 有血的"
bleed,"vi. 流血, 悲痛, 渗出
vt. 使出血, 榨取"
blossom,"n. 花, 花开的状态, 兴旺期
vi. 开花, 兴旺, 发展"
bloom,"n. 花, 开花, 青春, 钢块
vi. 开花, 焕发青春, 茂盛
vt. 使茂盛, 把...轧成钢坯"
boast,"n. 吹牛
vi. 吹牛, 自夸
vt. 夸口说, 自恃有"
boastful,"a. 自夸的, 自负的, 喜夸耀的"
body,"n. 身体, 人, 尸体, 主要部分, 团体
vt. 赋以形体
"
embody,"vt. 具体表达, 使具体化
"
book,"n. 书, 书籍, 帐簿, 名册, 工作簿
v. 登记, 预订
"
booklet,n. 小册子
botany,"n. 植物学
"
botanical,"a. 植物学的
n. 植物性药材"
brass,"n. 黄铜, 黄铜制品
a. 黄铜的, 铜管乐器的
v. 镀以黄铜, 支付"
braze,"vt. 使成黄铜色
"
brazen,"a. 黄铜制的, 厚颜无耻的
vt. 厚脸皮地对待"
bronze,"n. 青铜, 铜像
a. 青铜色的"
breed,"n. 种类, 品种
v. 养育, 引起, 饲养, 繁殖"
brood,"n. 一窝, 一伙
vt. 孵, 沉思"
brew,"n. 酿造酒, 酝酿
v. 酿造, 酝酿"
brewery,"n. 啤酒厂, 酿酒厂
"
brief,"n. 摘要, 简报
a. 简短的, 短暂的
vt. 对...作简报, 摘要, 节录"
briefing,"n. 简报
"
bright,"a. 明亮的, 聪明的, 鲜明的, 欢快的
adv. 明亮地, 欢快地"
brighten,"vi. 变亮, 活跃
vt. 使生辉, 使快活"
browse,"v. 浏览, 吃草
n. 浏览, 吃草
"
browser,"n. 吃嫩叶的动物, 浏览书本的人
"
bulk,"n. 大小, 体积, 大块, 大多数
vt. 显得大, 显得重要"
bulky,"a. 庞大的
"
burden,"n. 负担, 重载, 担子, 责任
vt. 装货于, 烦扰, 使负担"
burdensome,"a. 累赘的, 恼人的, 繁重的
"
bureau,"n. 局, 办公处
"
bureaucracy,"n. 官僚, 官吏
"
bureaucrat,"n. 官僚作风的人, 官僚, 官僚主义者
"
bureaucratic,"a. 官僚的
"
button,"n. 钮扣, 按钮
vi. 扣住
vt. 钉钮扣于, 扣紧
"
unbutton,"vt. 解开...的钮扣
vi. 解开钮扣"
canal,"n. 运河, 水道, 管, 沟渠
vt. 开运河"
channel,"n. 海峡, 航道, 频道
vt. 引导, 在...上挖沟, 形成河道
"
capable,"a. 有能力的, 能的, 能干的"
capability,"n. 能力, 性能, 约束力
"
incapable,"a. 无能力的, 不能的
"
carbon,"n. 碳, 副本, 复写纸
"
carbohydrate,"n. 碳水化合物, 糖类
"
carry,"n. 进位, 射程, 运载
vt. 携带, 运送, 支持, 传送, 包含
vi. 被携带, 能达到
"
carrier,"n. 运送者, 邮递员, 带菌者
"
carriage,"n. 马车, 客车, 举止, 运输
"
case,"n. 情形, 情况, 箱, 容器, 事实, 病例, 案例, 框子
vt. 装箱, 包盖"
cassette,"n. 盒式磁带, 珠宝箱, 暗盒
"
cash,"n. 现金
vt. 兑现"
cashier,"n. 出纳员
"
casual,"a. 偶然的, 不经意的, 便装的
n. 临时工, 待命士兵"
casualty,"n. 意外事故, 伤亡, 受害者
"
caution,"n. 小心, 慎重, 警示
vt. 警告
"
cautious,"a. 谨慎的, 小心的"
precaution,"n. 预防, 留心, 警戒
vt. 预先警告"
celebrate,"v. 庆祝, 祝贺, 举行"
celebrated,"a. 驰名的, 有名的"
celebrity,"n. 名声, 名人"
censor,"n. 检查员
vt. 检查, 审查, 删改"
censorship,"n. 检查制度
"
cent,"n. 分
"
century,"n. 世纪, 百年"
percent,"n. 百分比, 百分数, 部分
"
percentage,"n. 百分比, 比率, 部分, 可能性
"
centigrade,"a. 百分度的, 摄氏的
"
centimetre,"n. 厘米, 公分"
centimeter,"n. 厘米
"
change,"n. 变化, 找回的零钱, 找头, 更换
vt. 改变, 更换, 兑换"
exchange,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所
v. 交换, 交易, 兑换
"
chaos,"n. 大混乱, 混沌
"
chaotic,"a. 混乱的, 无秩序的
"
city,"n. 城市, 市
"
citizen,"n. 市民, 公民
"
citizenship,"n. 国籍, 市民权, 市民的身份
"
civil,"a. 市民的, 公民的, 有礼貌的
"
civilian,"n. 平民, 民法专家
a. 平民的, 百姓的, 民用的"
civility,"n. 礼貌, 礼仪"
civilize,"vt. 使开化, 使文明
vi. 变文明"
civilise,"vt. 开化, 使文明, (非正式)教化, 使文雅, 教育, 教导
vi. 变成文明社会"
civilization,"n. 文明, 教化
"
class,"n. 班级, 阶级, 种类, 课
vt. 分类
"
classic,"n. 古典作品, 杰作, 大艺术家
a. 第一流的, 最优秀的, 古典的"
classical,"a. 古典的, 正统派的, 经典的
"
classify,"vt. 分类, 归类, 分等
"
classified,"a. 分类的, 被归入某类的, 被指定为机密的
"
classification,"n. 分类, 分级
"
clinic,"n. 诊所, 临床教学
"
clinical,"a. 临床的, 门诊部的
"
collect,"v. 收集, 聚集, 集中, 搜集
a. 由收到者付款的
adv. 由收到者付款地"
collection,"n. 收集, 采集, (一批)收藏品, 募捐
"
collective,"a. 集体的, 聚集的, 共同的
"
recollect,"vt. 回忆, 回想, 忆起
vi. 回忆"
collide,"vi. 碰撞, 互撞, 抵触"
collision,"n. 碰撞, 冲突, 抵触
"
colony,"n. 殖民地, 移民队
"
colonial,"a. 殖民的, 殖民地的
"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
combination,"n. 组合, 合并, 联合
"
competent,"a. 能干的, 胜任的, 有效的, 足够的
"
competence,"n. 胜任, 职称, 能力
"
incompetence,"n. 不胜任, 不够格, 不合格, 不适合, 无能力, 不熟练, 无资格
"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
afflict,"vt. 使苦恼, 折磨"
inflict,"vt. 施以, 加害, 使承受
"
conquer,"vt. 克服, 征服, 战胜
vi. 得胜"
conqueror,"n. 征服者, 胜利者"
conquest,"n. 战胜, 征服, 战利品
"
continue,"vi. 继续, 延续, 延长
vt. 使继续, 使延长"
continual,"a. 持续不断的, 继续的
"
continuous,"a. 连续的, 继续的, 连续不断的
"
continuation,"n. 继续, 续集, 补编
"
continuance,"n. 继续, 停留, 持续
"
cook,"n. 厨子, 厨师
vt. 烹调, 煮饭, 加热
vi. 在煮着"
cookery,"n. 烹调法, 烹调术"
cord,"n. 绳索, 束缚
"
cordless,"a. 无绳索的, 交直流两用的"
chord,"n. 弦, 和音
"
cover,"n. 盖子, 封面, 藉口
vt. 覆盖, 掩饰, 保护, 掩护, 包括
vi. 覆盖"
coverage,"n. 覆盖的范围, 保险总额, 新闻报导
"
discover,"vt. 发现, 找到, 暴露
vi. 发现"
discovery,"n. 发现, 被发现的事物
"
recover,"vt. 重新获得, 恢复, 复原, 拯救
vi. 痊愈, 复原, 胜诉
"
recovery,"n. 恢复, 复原, 痊愈, 重获
"
cow,"n. 母牛, 母兽
vt. 威胁"
coward,"n. 懦弱的人, 胆小的人"
cowardly,"a. 怯懦的, 懦弱的；胆小的"
credible,"a. 可信的, 可靠的
"
incredible,a. 难以置信的
crown,"n. 王冠, 王权, 顶点
vt. 使成王, 加冕, 居...之顶"
crowning,"a. 最高的, 无比的
"
cube,"n. 立方体, 立方
"
cubic,"a. 立方体的, 立方的
"
curl,"n. 拳曲, 鬈发
vt. 弄卷
vi. 拳曲, 弯曲"
curly,"a. 拳曲的, 卷毛的, 弯曲的"
custom,"n. 习惯, 风俗, 海关, 自定义
a. 定制的
"
accustom,vt. 使习惯于
accustomed,"a. 惯常的, 习惯了的"
damn,"n. 一点, 诅咒, 丝毫
interj. 该死, 该死的
vt. 诅咒, 罚...下地狱
vi. 指责, 谴责, 骂...该死, 证明...有罪"
condemn,"vt. 判刑, 责备, 谴责
"
data,"pl. 资料, 数据
"
datum,"n. 论据, 材料, 资料, 已知数
"
deal,"n. 交易, 协定, 数量, 买卖, 松木板
vi. 处理, 应付, 做生意
vt. 分配, 发牌, 给予
"
dealer,"n. 经销商, 商人
"
debt,"n. 债务, 罪过
"
indebted,"a. 负债的, 受惠的
"
defy,"vt. 藐视, 挑衅, 使落空
n. 挑战"
defiance,"n. 蔑视, 挑战
"
delicate,"a. 细致优雅的, 微妙的, 美味的
"
delicacy,"n. 细软, 精致, 精美的食品, 娇气, 微妙, 棘手, 娇弱, 灵敏, 灵巧"
dense,"a. 密集的, 浓厚的"
condense,"vt. 使浓缩, 使压缩, 缩短
vi. 浓缩, 凝结"
density,"n. 密度
"
dentist,"n. 牙科医生
"
dental,"a. 牙齿的
"
deny,"v. 否认, 拒绝"
denial,"n. 否认
"
desire,"n. 欲望, 要求
vt. 想要, 请求
vi. 渴望"
desirable,"a. 令人想望的, 可取的"
desirous,"a. 想要的, 想望的, 渴望的"
desirability,"n. 值得想望, 可取
"
undesirable,"a. 不受欢迎的, 不合乎社会道德标准的
"
deteriorate,v. (使)恶化
deterioration,"n. 恶化, 衰退, 退化
"
dictation,"n. 听写, 口述, 命令"
dictate,"vi. 听写, 口述, 口授
vt. 口述, 使听写, 命令
n. 命令, 指挥, 指令"
dictator,"n. 命令者, 独裁者"
diet,"n. 日常饮食, 议会
vt. 照规定饮食
vi. 忌食"
dietary,"a. 饮食的
n. 规定食物"
dinner,"n. 晚餐, 正餐, 宴会"
dine,"vi. 用正餐, 进餐
vt. 宴请"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
disciplined,a. 遵守纪律的；受过训练的
disciplinary,"a. 训练的, 纪律的, 训诫的
"
disgust,"n. 厌恶, 嫌恶
vi. 令人厌恶
vt. 使作呕"
disgusting,a. 令人厌恶的
do,"v. 做, 进行, 完成"
undo,"vt. 解开, 取消, 破坏, 毁灭, 扰乱
vi. 松开
"
dog,"n. 狗, 坏蛋
vt. 跟踪, 尾随"
dogged,"a. 顽固的, 顽强的"
drain,"n. 排水沟, 消耗, 排水
vt. 排出, 喝光, 耗尽
vi. 排水, 流干"
drainage,"n. 排水
"
drama,"n. 戏剧, 戏剧艺术"
dramatic,"a. 戏剧性的, 生动的"
dread,"n. 恐惧, 可怕的人(或事)
a. 可怕的, 可怖的
v. 恐惧, 害怕"
dreadful,a. 可怕的
dress,"n. 服装, 覆盖物
vi. 穿着
vt. 给...穿衣, 整理"
undress,"vt. 使脱衣服, 暴露, 使卸去装饰
vi. 脱衣服"
drop,"n. 滴, 微量, 落下, 空投
vi. 放下, 掉下, 下降
vt. 使滴下, 放下, 丢失, 遗漏
"
drip,"n. 水滴
v. (使)滴下"
dry,"a. 干的, 无酒的, 枯燥无味的, 干燥的
vt. 把...弄干
vi. 变干
n. 干, 干涸"
dryer,"n. 干衣机, 干燥剂
"
drier,"n. 干燥机, 干燥剂
"
drought,"n. 干旱, 缺乏"
due,"n. 应得的东西, 应付款
a. 到期的, 应得的, 应付的, 约定的"
undue,"a. 不适当的, 过度的, 未到期的
"
dwell,"vi. 居住, 居住(于), 存在(于)"
dweller,n. 居民
dwelling,"n. 住处
"
earn,"vt. 赚得, 获得, 博得
"
earnings,"n. 所赚的钱, 工资, 收入
"
easy,"a. 容易的, 缓缓的, 舒适的, 从容的, 宽容的, 流畅的, 随便的, 自在的, 疲软的
adv. 容易地, 慢慢地"
uneasy,"a. 心神不安的, 不自在的, 不稳定的, 不舒服的"
ease,"n. 安乐, 安逸, 悠闲
vt. 使安乐, 使安心, 减轻, 放松
vi. 减轻, 放松, 灵活地移动"
economy,"n. 经济, 理财, 节约
"
economist,"n. 经济学者, 经济家
"
economics,"n. 经济学
"
economic,"a. 经济上的, 实用的, 节省的
"
economical,"a. 节俭的, 经济的, 合算的
"
edit,"vt. 编辑, 编校, 修订, 剪辑
"
editorial,"n. 社论, 评论
a. 编辑的, 主笔的, 社论的"
elastic,"n. 松紧带, 橡皮筋
a. 有弹性的, 能伸缩的, 可通融的"
elasticity,"n. 弹力, 弹性
"
element,"n. 元件, 元素, 要素
"
elemental,"a. 元素的, 基本的"
elementary,"a. 初步的, 基本的
"
engineer,"n. 工程师, 工兵
vt. 设计, 监造, 精明地处理, 策划"
engineering,"n. 工程学, 工程, 操纵
"
entertain,"vt. 娱乐, 招待, 怀抱
vi. 款待"
entertainment,"n. 娱乐, 款待, 娱乐表演"
enthusiasm,"n. 巨大的热情, 热心"
enthusiastic,"a. 狂热的, 热心的, 热烈的"
envelope,"n. 信封, 封套, 封袋
"
envelop,"vt. 包封, 遮盖, 包围
n. 信封"
error,"n. 错误, 过失, 失误, 误差
"
erroneous,"a. 错误的, 不正确的
"
essence,"n. 实质, 本质, 香精
"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
evaporate,"vi. 蒸发, 失去水分, 消失
vt. 使蒸发, 使脱水, 使消失"
evaporation,"n. 蒸发, 脱水, 消失
"
event,"n. 事件, 结果, 事情的进程, 竞赛项目
"
eventual,"a. 最后的, 终于的"
eventually,"adv. 最后, 终于"
excellent,"a. 优良的, 杰出的, 出色的"
excel,"vt. 胜过, 优于, 擅长
vi. 胜过其他"
exception,"n. 例外, 除外, 异议
"
exceptional,"a. 例外的, 异常的, 特别的"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
expansion,"n. 扩充, 开展, 膨胀
"
explain,"v. 解释, 说明"
explanatory,"a. 说明的, 解释的, 辩明的
"
fable,"n. 寓言, 神话, 谎言
vi. 虚构, 作寓言"
fabulous,"a. 传说的, 寓言般的, 难以置信的"
facility,"n. 容易, 灵巧, 设备
"
facilitate,"vt. 使容易, 促进, 帮助
"
familiar,"a. 熟悉的, 常见的, 亲密的
n. 熟友, 常客"
familiarize,"vt. 使熟悉, 使熟知, 使通俗化"
familiarise,vt.<主英>=familiarize
famous,"a. 出名的, 极好的"
fame,"n. 名望, 名声, 传说"
fashion,"n. 流行, 风尚, 时样
vt. 形成, 造, 作"
fashionable,"a. 时髦的, 上流社会的, 流行的"
